van	no	van	no		
opnames	aptaujas	opname	aptauja	N;PL	N;NOM;FEM;PL
opnames	aptaujas	opname	aptauja	N;PL	N;NOM;FEM;PL
fotograaf	fotogrāfs	fotograaf	fotogrāfs	N;SG	N;NOM;MASC;SG
mite	ērce	mite	ērce	N;SG	N;NOM;FEM;SG
woud	meža	woud	mežs	N;SG	N;GEN;MASC;SG
woud	mežs	woud	mežs	N;SG	N;NOM;MASC;SG
voorbereiding	pagatavošana	voorbereiding	pagatavošana	N;SG	N;NOM;FEM;SG
voorbereiding	preparāts	voorbereiding	preparāts	N;SG	N;NOM;MASC;SG
voorbereiding	sagatavošana	voorbereiding	sagatavošana	N;SG	N;NOM;FEM;SG
voorbereiding	gatavošanās	voorbereiding	gatavošanās	N;SG	N;NOM;FEM;SG
voorbereiding	sagatavošanās	voorbereiding	sagatavošanās	N;SG	N;NOM;FEM;SG
sirkulasie	aprite	sirkulasie	aprite	N;SG	N;NOM;FEM;SG
hervat	atsākt	hervat	atsākt	V;PRS	V;POS;NFIN
hervat	atsāk	hervat	atsākt	V;PRS	V;FH;IND;2;POS;PRS;FIN;ACT
gevaarlike	bīstamas	gevaarlik	bīstama	ADJ;NOM	ADJ;NOM;FEM;PL
gevaarlike	bīstams	gevaarlik	bīstams	ADJ;NOM	ADJ;NOM;MASC;SG
gevaarlike	bīstama	gevaarlik	bīt	ADJ;NOM	ADJ;NOM;FEM;SG
gevaarlike	bīstamā	gevaarlik	bīstams	ADJ;NOM	ADJ;NOM;FEM;SG
gevaarlike	bīstamas	gevaarlik	bīstama	ADJ;NOM	ADJ;NOM;FEM;PL
gevaarlike	bīstams	gevaarlik	bīstams	ADJ;NOM	ADJ;NOM;MASC;SG
gevaarlike	bīstama	gevaarlik	bīt	ADJ;NOM	ADJ;NOM;FEM;SG
gevaarlike	bīstamie	gevaarlik	bīstams	ADJ;NOM	ADJ;NOM;MASC;PL
diamant	dimanta	diamant	dimanta	N;SG	N;NOM;MASC;SG
diamant	dimants	diamant	dimants	N;SG	N;NOM;MASC;SG
diamant	dimantu	diamant	dimants	N;SG	N;ACC;MASC;SG
vertroue	uzticību	vertroue	uzticība	N;SG	N;ACC;FEM;SG
vertroue	pārliecība	vertroue	pārliecība	N;SG	N;NOM;FEM;SG
vertroue	uzticība	vertroue	uzticība	N;SG	N;NOM;FEM;SG
vertroue	uzticēšanās	vertroue	uzticēšanās	N;SG	N;NOM;FEM;SG
beperkings	ierobežojumi	beperking	ierobežojums	N;PL	N;NOM;MASC;PL
beperkings	ierobežojumi	beperking	ierobežojums	N;PL	N;NOM;MASC;PL
beperkings	limiti	beperking	limiti	N;PL	N;NOM;MASC;PL
beperkings	robežas	beperking	robeža	N;PL	N;NOM;FEM;PL
beperkings	ierobežojumi	beperking	ierobežojums	N;PL	N;NOM;MASC;PL
radikale	radikālas	radikaal	radikāla	ADJ;NOM	ADJ;NOM;FEM;PL
vermeerder	palielināt	vermeerder	palielināt	V;PRS	V;POS;NFIN
vermeerder	pieaug	vermeerder	pieaugt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
vermeerder	palielinās	vermeerder	palielināties	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
vermeerder	palielinot	vermeerder	palielināt	V;PRS	V;V.CVB
kwessies	jautājumi	kwessie	jautājums	N;PL	N;NOM;MASC;PL
roes	rūsas	roes	rūsa	N;PL	N;NOM;FEM;PL
ontvangs	saņemšana	ontvangs	saņemšana	N;SG	N;NOM;FEM;SG
ontvangs	pieņemšana	ontvangs	pieņemšana	N;SG	N;NOM;FEM;SG
ontvangs	uzņemšana	ontvangs	uzņemšana	N;SG	N;NOM;FEM;SG
erosie	eroziju	erosie	erozija	N;SG	N;ACC;FEM;SG
erosie	erozija	erosie	erozija	N;SG	N;NOM;FEM;SG
effektief	efektīvi	effektief	efektīvi	ADV	ADV
terreine	vietnes	terrein	vietne	N;PL	N;NOM;FEM;PL
maatreëls	mērījumi	maatreël	mērījums	N;PL	N;NOM;MASC;PL
maatreëls	mērījumi	maatreël	mērījums	N;PL	N;NOM;MASC;PL
derdes	trešdaļas	derdes	trešdaļa	N;PL	N;NOM;FEM;PL
provence	provansas	provenc	provans	N;PL	N;NOM;FEM;PL
variasies	varianti	variasie	variants	N;PL	N;NOM;MASC;PL
variasies	variantiem	variasie	variants	N;PL	N;DAT;MASC;PL
variasies	variantus	variasie	variants	N;PL	N;ACC;MASC;PL
variasies	variācijas	variasie	variācija	N;PL	N;NOM;FEM;PL
vakansie	nedēļa	vakansie	nedēļa	N;SG	N;NOM;FEM;SG
vakansie	nedēļā	vakansie	nedēļa	N;SG	N;ESS;FEM;SG
vakansie	nedēļu	vakansie	nedēļa	N;SG	N;ACC;FEM;SG
vakansie	brīvdiena	vakansie	brīvdiena	N;SG	N;NOM;FEM;SG
vakansie	brīvdienu	vakansie	brīvdiena	N;SG	N;ACC;FEM;SG
vakansie	atvaļinājums	vakansie	atvaļinājums	N;SG	N;NOM;MASC;SG
vakansie	stunda	vakansie	stunda	N;SG	N;NOM;FEM;SG
vakansie	stundu	vakansie	stunda	N;SG	N;ACC;FEM;SG
koffie	kafiju	koffie	kafija	N;SG	N;ACC;FEM;SG
koffie	kafija	koffie	kafija	N;SG	N;NOM;FEM;SG
skild	vairogs	skild	vairogs	N;SG	N;NOM;MASC;SG
uitvoering	izpilde	uitvoering	izpilde	N;SG	N;NOM;FEM;SG
eeufees	simtgadi	eeufees	simtgade	N;SG	N;ACC;MASC;SG
luiperd	leopards	luiperd	leopards	N;SG	N;NOM;MASC;SG
luiperd	pantera	luiperd	panteris	N;SG	N;NOM;FEM;SG
opstel	konfigurēt	opstel	konfigurēt	V;PRS	V;POS;NFIN
gat	caurumu	gat	caurums	N;SG	N;ACC;MASC;SG
gat	caurums	gat	caurums	N;SG	N;NOM;MASC;SG
boot	laiva	boot	laiva	N;SG	N;NOM;FEM;SG
boot	laivā	boot	laiva	N;SG	N;ESS;FEM;SG
boot	laivu	boot	laiva	N;SG	N;ACC;FEM;SG
afgetree	atvaļināts	aftree	atvaļināt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
atleet	sportists	atleet	sportists	N;SG	N;NOM;MASC;SG
variante	varianti	variant	variants	N;PL	N;NOM;MASC;PL
variante	variantiem	variant	variants	N;PL	N;DAT;MASC;PL
variante	variantus	variant	variants	N;PL	N;ACC;MASC;PL
aanbidding	pielūgšana	aanbidding	pielūgšana	N;SG	N;NOM;FEM;SG
aanbidding	dievkalpojumu	aanbidding	dievkalpojums	N;SG	N;ACC;MASC;SG
diplomatieke	diplomātiskās	diplomatiek	diplomātiska	ADJ;NOM	ADJ;NOM;FEM;PL
diplomatieke	diplomātiskā	diplomatiek	diplomātiska	ADJ;NOM	ADJ;NOM;FEM;SG
fabrieke	rūpnīcas	fabriek	rūpnīca	N;PL	N;NOM;FEM;PL
fabrieke	fabrikas	fabriek	fabrika	N;PL	N;NOM;FEM;PL
liedere	dziesmas	lied	dziesma	N;PL	N;NOM;FEM;PL
drink	dzeramā	drink	dzert	V;PRS	V;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
drink	dzeramais	drink	dzert	V;PRS	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
standpunte	pozīcijas	standpunt	pozīcija	N;PL	N;NOM;FEM;PL
standpunte	nostājas	standpunt	nostāja	N;PL	N;NOM;FEM;PL
riglyne	pamatnostādnes	riglyn	pamatnostādne	N;PL	N;NOM;FEM;PL
riglyne	vadlīnijas	riglyn	vadlīnija	N;PL	N;NOM;FEM;PL
kamera	fotoaparāta	kamera	fotoaparāts	N;SG	N;GEN;MASC;SG
kamera	kamera	kamera	kamers	N;SG	N;NOM;FEM;SG
kamera	fotoaparātu	kamera	fotoaparāts	N;SG	N;ACC;MASC;SG
kamera	kameru	kamera	kamera	N;SG	N;ACC;MASC;SG
skedel	galvaskausa	skedel	galvaskausīt	N;SG	N;NOM;MASC;SG
vergeet	aizmirst	vergeet	aizmirst	V;PRS	V;POS;FIN;ACT
vergeet	aizmirsti	vergeet	aizmirst	V;PRS	V;IMP;PL;2;POS;FIN;ACT
vergeet	aizmirsu	vergeet	aizmirst	V;PRS	V;FH;IND;SG;1;POS;PRS;FIN;ACT
ontplof	eksplodēt	ontplof	eksplodēt	V;PRS	V;POS;NFIN
eksamen	eksāmens	eksamen	eksāmens	N;SG	N;NOM;MASC;SG
welvaart	labturība	welvaart	labturība	N;SG	N;NOM;FEM;SG
welvaart	labklājība	welvaart	labklājība	N;SG	N;NOM;FEM;SG
elektromagnetiese	elektromagnētiskie	elektromagneties	elektromagnētisks	ADJ;NOM	ADJ;NOM;MASC;PL
amerikas	amerika	amerikas	amerika	N;SG	N;NOM;FEM;SG
geïnstalleer	uzstādītas	installeer	uzstādīt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
geïnstalleer	uzstādīts	installeer	uzstādīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
geïnstalleer	uzstādīta	installeer	uzstādīt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
geïnstalleer	uzstādīti	installeer	uzstādīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
geïnstalleer	uzstādīt	installeer	uzstādīt	V;PST;V.PTCP	V;POS;NFIN
vensters	windows	venster	windows	N;PL	N
vensters	logus	venster	logs	N;PL	N;ACC;MASC;PL
vensters	logi	venster	logs	N;PL	N;NOM;MASC;PL
sanskrit	sanskrits	sanskrit	sanskrits	N;SG	N;NOM;MASC;SG
huwelike	laulības	huwelik	laulība	N;PL	N;NOM;FEM;PL
voorlopige	iepriekšēja	voorlopig	iepriekšēja	ADJ;NOM	ADJ;NOM;FEM;SG
standbeelde	statujas	standbeeld	statuties	N;PL	N;NOM;FEM;PL
tydperke	periodi	tydperk	periods	N;PL	N;NOM;MASC;PL
eise	apgalvojumi	eise	apgalvojums	N;PL	N;NOM;MASC;PL
eise	prasības	eise	prasība	N;PL	N;NOM;FEM;PL
eise	pieprasījumi	eise	pieprasījums	N;PL	N;NOM;MASC;PL
tonnel	tunelis	tonnel	tunelis	N;SG	N;NOM;MASC;SG
voorwaarde	nosacījums	voorwaarde	nosacījums	N;SG	N;NOM;MASC;SG
voorwaarde	stāvoklis	voorwaarde	stāvoklis	N;SG	N;NOM;MASC;SG
reekse	diapazoni	reeks	diapazoni	N;PL	N;NOM;MASC;PL
burgerskap	pilsonību	burgerskap	pilsonība	N;SG	N;ACC;FEM;SG
burgerskap	pilsonība	burgerskap	pilsonība	N;SG	N;NOM;FEM;SG
keur	apstiprina	keur	apstiprināt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
keur	apstiprināt	keur	apstiprināt	V;PRS	V;POS;NFIN
ingeskryf	parakstītā	inskryf	parakstīt	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
ingeskryf	parakstītais	inskryf	parakstīt	V;PST;V.PTCP	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
molekulêre	molekulārā	molekulêr	molekulārs	ADJ;NOM	ADJ;NOM;FEM;SG
rekords	ieraksti	rekord	ierakste	N;PL	N;NOM;MASC;PL
rekords	pieraksti	rekord	pieraksts	N;PL	N;NOM;MASC;PL
veldtogte	kampaņas	veldtog	kampaņa	N;PL	N;NOM;FEM;PL
pligte	nodokļi	plig	nodoklis	N;PL	N;NOM;MASC;PL
pligte	nodevas	plig	nodeva	N;PL	N;NOM;FEM;PL
pligte	pienākumi	plig	pienākums	N;PL	N;NOM;MASC;PL
persoonlikhede	personības	persoonlikheid	personība	N;PL	N;NOM;FEM;PL
persoonlikhede	personībām	persoonlikheid	personība	N;PL	N;DAT;FEM;PL
religie	reliģija	religie	reliģija	N;SG	N;NOM;FEM;SG
richmond	ričmonds	richmond	ričmonds	N;SG	N;NOM;MASC;SG
fakulteit	fakultāte	fakulteit	fakultāte	N;SG	N;NOM;FEM;SG
begeerte	vēlme	begeerte	vēlme	N;SG	N;NOM;FEM;SG
begeerte	vēlmi	begeerte	vēlme	N;SG	N;ACC;FEM;SG
lewendige	dzīvas	leefendig	dzīva	ADJ;NOM	ADJ;NOM;FEM;PL
kosakke	kazaki	kosak	kazaks	N;PL	N;NOM;MASC;PL
dinamiese	dinamiskais	dinamies	dinamisks	ADJ;NOM	ADJ;NOM;MASC;SG
dinamiese	dinamiskā	dinamies	dinamiska	ADJ;NOM	ADJ;NOM;FEM;SG
dinamiese	dinamiska	dinamies	dinamiska	ADJ;NOM	ADJ;NOM;FEM;SG
dinamiese	dinamisks	dinamies	dinamisks	ADJ;NOM	ADJ;NOM;MASC;SG
uitvinding	izgudrojums	uitvinding	izgudrojums	N;SG	N;NOM;MASC;SG
moslem	musulmaņi	moslem	musulmanis	N;PL	N;NOM;MASC;PL
moslem	musulmaņu	moslem	musulmana	N;PL	N;GEN;MASC;PL
logiese	loģisks	logies	loģisks	ADJ;NOM	ADJ;NOM;MASC;SG
logiese	loģiskā	logies	loģiska	ADJ;NOM	ADJ;NOM;FEM;SG
gene	gēns	gene	gēns	N;SG	N;NOM;MASC;SG
gene	gēnu	gene	gēns	N;SG	N;ACC;MASC;SG
belowe	solīt	beloof	solīt	V;PRS	V;POS;NFIN
belowe	apsolu	beloof	apsolīt	V;PRS	V;FH;IND;SG;1;POS;PRS;FIN;ACT
busse	autobusiem	busse	autobuss	N;PL	N;DAT;MASC;PL
busse	autobusus	busse	autobuss	N;PL	N;ACC;MASC;PL
busse	autobusi	busse	autobuss	N;PL	N;NOM;MASC;PL
beskawings	civilizācijas	beskawing	civilizācija	N;PL	N;NOM;FEM;PL
uitgesluit	izslēgt	uitsluit	izslēgt	V;PST;V.PTCP	V;POS;NFIN
uitgesluit	izslēgtas	uitsluit	izslēgt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
uitgesluit	izslēgti	uitsluit	izslēgt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
uitgesluit	izslēgts	uitsluit	izslēgt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
uitgesluit	izņemot	uitsluit	izņemot	V;PST;V.PTCP	V;V.CVB
besienswaardighede	skati	besienswaardigheid	skats	N;PL	N;NOM;MASC;PL
frekwensie	biežums	frekwensie	biežums	N;SG	N;NOM;MASC;SG
frekwensie	biežuma	frekwensie	biežums	N;SG	N;GEN;MASC;SG
frekwensie	frekvence	frekwensie	frekvence	N;SG	N;NOM;FEM;SG
agterkant	muguru	agterkant	mugura	N;SG	N;ACC;FEM;SG
agterkant	mugura	agterkant	mugura	N;SG	N;NOM;FEM;SG
agterkant	aizmugure	agterkant	aizmugure	N;SG	N;NOM;FEM;SG
oplossings	šķīdumi	oplossing	šķīdums	N;PL	N;NOM;MASC;PL
oplossings	risinājumi	oplossing	risinājums	N;PL	N;NOM;MASC;PL
keisers	imperatori	keiser	imperators	N;PL	N;NOM;MASC;PL
vereistes	prasības	vereiste	prasība	N;PL	N;NOM;FEM;PL
denis	deniss	denis	deniss	N;SG	N;NOM;MASC;SG
genader	vērsās	nader	vērsties	V;PST;V.PTCP	V;FH;IND;3;POS;REFL;PST;FIN;ACT
lyste	sarakstus	lyste	saraksts	N;PL	N;ACC;MASC;PL
lyste	saraksti	lyste	saraksts	N;PL	N;NOM;MASC;PL
lyste	sarakstiem	lyste	saraksts	N;PL	N;DAT;MASC;PL
verlof	atvaļinājumu	verlof	atvaļinājums	N;SG	N;ACC;MASC;SG
verlof	atvaļinājums	verlof	atvaļinājums	N;SG	N;NOM;MASC;SG
verlof	atvaļinājuma	verlof	atvaļinājums	N;SG	N;GEN;MASC;SG
konsepte	projektus	konsepte	projekts	N;PL	N;ACC;MASC;PL
konsepte	projekti	konsepte	projekts	N;PL	N;NOM;MASC;PL
konsepte	jēdzieni	konsepte	jēdziens	N;PL	N;NOM;MASC;PL
konsepte	koncepcijas	konsepte	koncepcija	N;PL	N;NOM;FEM;PL
bekendstelling	ievešana	bekendstelling	ievešana	N;SG	N;NOM;FEM;SG
bekendstelling	ieviešanu	bekendstelling	ieviešana	N;SG	N;ACC;FEM;SG
bekendstelling	ievads	bekendstelling	ievads	N;SG	N;NOM;MASC;SG
massiewe	masveida	massief	masveida	N;SG	N;NOM;FEM;SG
spreker	runātājs	spreker	runātājs	N;SG	N;NOM;MASC;SG
spreker	runātāja	spreker	runātāja	N;SG	N;NOM;MASC;SG
stasies	stacijas	stasie	stacija	N;PL	N;NOM;FEM;PL
databasis	datubāzi	databasis	datubāze	N;SG	N;ACC;MASC;SG
databasis	datubāzē	databasis	datubāze	N;SG	N;ESS;MASC;SG
databasis	datubāze	databasis	datubāze	N;SG	N;NOM;FEM;SG
herinnering	atmiņa	herinnering	atmiņa	N;SG	N;NOM;FEM;SG
fisieke	fiziskais	fisiek	fizisks	ADJ;NOM	ADJ;NOM;MASC;SG
fisieke	fiziskās	fisiek	fiziska	ADJ;NOM	ADJ;NOM;FEM;PL
fisieke	fiziskie	fisiek	fizisks	ADJ;NOM	ADJ;NOM;MASC;PL
fisieke	fiziska	fisiek	fiziska	ADJ;NOM	ADJ;NOM;FEM;SG
fisieke	fiziskā	fisiek	fiziska	ADJ;NOM	ADJ;NOM;FEM;SG
klippe	akmeņiem	klip	akmens	N;PL	N;DAT;MASC;PL
klippe	akmeņi	klip	akmens	N;PL	N;NOM;MASC;PL
klippe	klintis	klip	klints	N;PL	N;NOM;FEM;PL
klippe	akmeņi	klip	akmens	N;PL	N;NOM;MASC;PL
vergelykings	salīdzinājumi	vergelyking	salīdzinājums	N;PL	N;NOM;MASC;PL
politici	politiķiem	politici	politiķis	N;PL	N;DAT;MASC;PL
politici	politiķi	politici	politiķis	N;PL	N;NOM;MASC;PL
ontwerper	dizaineru	ontwerper	dizainers	N;SG	N;ACC;MASC;SG
tonele	ainas	tonele	aina	N;PL	N;NOM;FEM;PL
kilogram	kilogramu	kilogram	kilograms	N;SG	N;ACC;MASC;SG
alkohol	alkoholu	alkohol	alkohols	N;SG	N;ACC;MASC;SG
alkohol	alkohols	alkohol	alkohols	N;SG	N;NOM;MASC;SG
alkohol	spirts	alkohol	spirts	N;SG	N;NOM;MASC;SG
rif	grēda	rif	grēst	N;SG	N;NOM;FEM;SG
room	krējums	room	krējums	N;SG	N;NOM;MASC;SG
aluminium	alumīnija	aluminium	alumīnija	N;SG	N;NOM;FEM;SG
aluminium	alumīnijs	aluminium	alumīnijs	N;SG	N;NOM;MASC;SG
aluminium	alumīnija	aluminium	alumīnija	N;SG	N;NOM;FEM;SG
aluminium	alumīnijs	aluminium	alumīnijs	N;SG	N;NOM;MASC;SG
verleng	pagarināt	verleng	pagarināt	V;PRS	V;POS;NFIN
verleng	paplašināt	verleng	paplašināt	V;PRS	V;POS;NFIN
gandhi	gandijs	gandhi	gandijs	N;SG	N;NOM;MASC;SG
uitbrei	izvērst	uitbrei	izvērst	V;PRS	V;POS;NFIN
uitbrei	paplašinās	uitbrei	paplašināt	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
uitbrei	paplašināt	uitbrei	paplašināt	V;PRS	V;POS;NFIN
uitbrei	pagarināt	uitbrei	pagarināt	V;PRS	V;POS;NFIN
uitbrei	paplašināt	uitbrei	paplašināt	V;PRS	V;POS;NFIN
wesens	būtnes	wesens	būtne	N;PL	N;NOM;FEM;PL
roetes	maršruti	roete	maršruti	N;PL	N;NOM;MASC;PL
roetes	ceļi	roete	ceļš	N;PL	N;NOM;MASC;PL
roetes	maršrutus	roete	maršruts	N;PL	N;ACC;MASC;PL
soewereiniteit	suverenitāte	soewereiniteit	suverenitāte	N;SG	N;NOM;FEM;SG
springs	atsperes	spring	atspere	N;PL	N;NOM;FEM;PL
tee	tēja	tee	tēja	N;SG	N;NOM;FEM;SG
tee	tēju	tee	tēja	N;SG	N;ACC;FEM;SG
eed	zvērestu	eed	zvērests	N;SG	N;ACC;MASC;SG
gekombineer	kombinēts	kombineer	kombinēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gekombineer	kombinētā	kombineer	kombinēt	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
gekombineer	apvienots	kombineer	apvienot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gekombineer	kombinēt	kombineer	kombinēt	V;PST;V.PTCP	V;POS;NFIN
restaurant	restorāns	restaurant	restorāns	N;SG	N;NOM;MASC;SG
teruggetrek	atsaukts	teruggetrek	atsaukt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
teruggetrek	atsaukta	teruggetrek	atsaukt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
teruggetrek	anulēta	teruggetrek	anulēt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
intelligensie	izlūkošanas	intelligensie	izlūkošana	N;SG	N;NOM;FEM;SG
bekragtig	apstiprināt	bekragtig	apstiprināt	V;PRS	V;POS;NFIN
sleg	slikti	sleg	slikti	ADV	ADV
outomatiese	automātiska	outomaties	automātiska	ADJ;NOM	ADJ;NOM;FEM;SG
outomatiese	automātiskā	outomaties	automātisks	ADJ;NOM	ADJ;NOM;FEM;SG
outomatiese	automātiskais	outomaties	automātisks	ADJ;NOM	ADJ;NOM;MASC;SG
outomatiese	automātisks	outomaties	automātisks	ADJ;NOM	ADJ;NOM;MASC;SG
aksies	darbības	aksie	darbība	N;PL	N;NOM;FEM;PL
datums	datumi	datum	datums	N;PL	N;NOM;MASC;PL
fabriek	rūpnīca	fabriek	rūpnīca	N;SG	N;NOM;FEM;SG
fabriek	fabrika	fabriek	fabrika	N;SG	N;NOM;FEM;SG
mielies	kukurūzas	mielies	kukurūza	N;PL	N;NOM;FEM;PL
soektog	spēkā	soektog	spēks	N;SG	N;ESS;MASC;SG
vervaardigers	ražotāji	vervaardiger	ražotājs	N;PL	N;NOM;MASC;PL
snitte	celiņi	snit	celiņš	N;PL	N;NOM;MASC;PL
snitte	pēdas	snit	pēda	N;PL	N;NOM;FEM;PL
snitte	sliedes	snit	sliede	N;PL	N;NOM;FEM;PL
hipotese	hipotēzi	hipotees	hipotēze	N;SG	N;ACC;FEM;SG
hipotese	hipotēze	hipotees	hipotēze	N;SG	N;NOM;FEM;SG
perse	persieši	pers	persietis	N;PL	N;NOM;MASC;PL
vaardighede	iemaņas	vaardigheid	iemaņa	N;PL	N;NOM;FEM;PL
vaardighede	prasmes	vaardigheid	prasme	N;PL	N;NOM;FEM;PL
neiging	tendence	neiging	tendence	N;SG	N;NOM;FEM;SG
ontbreek	pietrūkst	ontbreek	pietrūkt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
ontbreek	trūkst	ontbreek	trūkt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
wisselwerking	mijiedarbība	wisselwerking	mijiedarbība	N;SG	N;NOM;FEM;SG
elementêre	vienkāršā	elementêre	vienkārša	ADJ;NOM	ADJ;NOM;FEM;SG
aspek	aspekts	aspek	aspekts	N;SG	N;NOM;MASC;SG
senator	senators	senator	senators	N;SG	N;NOM;MASC;SG
vreedsame	mierīga	vreedsaam	mierīga	ADJ;NOM	ADJ;NOM;FEM;SG
lughawens	lidostas	lughawens	lidosta	N;PL	N;NOM;FEM;PL
bed	gultu	bed	gulta	N;SG	N;ACC;FEM;SG
bed	gulta	bed	gulta	N;SG	N;NOM;FEM;SG
besigheid	sanāksme	besigheid	sanāksme	N;SG	N;NOM;FEM;SG
besigheid	satikšanās	besigheid	satikšanās	N;SG	N;NOM;FEM;SG
besigheid	sapulce	besigheid	sapulce	N;SG	N;NOM;FEM;SG
besigheid	tikšanās	besigheid	tikšanās	N;SG	N;NOM;FEM;SG
besigheid	bizness	besigheid	bizness	N;SG	N;NOM;MASC;SG
besigheid	uzņēmējdarbība	besigheid	uzņēmējdarbība	N;SG	N;NOM;FEM;SG
ontploffing	sprādziens	ontploffing	sprādziens	N;SG	N;NOM;MASC;SG
rembrandt	rembranta	rembrandt	rembrants	N;SG	N;GEN;MASC;SG
konserte	koncerti	konserte	koncerts	N;PL	N;NOM;MASC;PL
goedkoop	lēti	goedkoop	lēti	ADV	ADV
rica	kostarikā	rica	kostarika	N;SG	N;ESS;FEM;SG
seremonie	ceremonija	seremonie	ceremonija	N;SG	N;NOM;FEM;SG
seremonie	ceremonijā	seremonie	ceremonija	N;SG	N;ESS;FEM;SG
munte	monētas	munt	monēta	N;PL	N;NOM;FEM;PL
gery	brauca	gery	braukt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
lêers	faili	lêers	faile	N;PL	N;NOM;MASC;PL
lêers	datnes	lêers	datne	N;PL	N;NOM;FEM;PL
lêers	failus	lêers	fails	N;PL	N;ACC;MASC;PL
korrupsie	korupcija	korrupsie	korupcija	N;SG	N;NOM;FEM;SG
korrupsie	korupciju	korrupsie	korupcija	N;SG	N;ACC;FEM;SG
kommunikeer	sazināties	kommunikeer	sazināties	V;PRS	V;POS;REFL;NFIN
noodsaaklike	būtiska	noodsaaklik	būtiska	ADJ;NOM	ADJ;NOM;FEM;SG
noodsaaklike	būtisks	noodsaaklik	būtisks	ADJ;NOM	ADJ;NOM;MASC;SG
noodsaaklike	būtiskas	noodsaaklik	būtiska	ADJ;NOM	ADJ;NOM;FEM;PL
prefektuur	prefektūra	prefektuur	prefektūra	N;SG	N;NOM;FEM;SG
ingedien	iesniegts	indien	iesniegt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
ingedien	iesniegtie	indien	iesniegt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
ingedien	iesniegti	indien	iesniegt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
ingedien	iesniegta	indien	iesniegt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
bye	bitēm	byd	bite	N;PL	N;DAT;FEM;PL
bye	bites	byd	bite	N;PL	N;NOM;FEM;PL
nuttige	noderīga	nuttig	noderīga	ADJ;NOM	ADJ;NOM;FEM;SG
doeltreffend	efektīvi	doeltreffend	efektīvi	ADV	ADV
doeltreffend	efektīvi	doeltreffend	efektīvi	ADV	ADV
saad	sēklu	saad	sēkla	N;SG	N;ACC;MASC;SG
gerangskik	ierindojās	rangskik	ierindoties	V;PST;V.PTCP	V;FH;IND;3;POS;REFL;PST;FIN;ACT
regiment	pulka	regiment	pulka	N;SG	N;NOM;MASC;SG
masjien	dzinējs	masjien	dzinējs	N;SG	N;NOM;MASC;SG
masjien	motors	masjien	motors	N;SG	N;NOM;MASC;SG
masjien	motora	masjien	motors	N;SG	N;GEN;MASC;SG
masjien	mašīna	masjien	mašīna	N;SG	N;NOM;FEM;SG
buitelanders	ārzemniekiem	buitelander	ārzemnieks	N;PL	N;DAT;MASC;PL
vertraag	kavējas	vertraag	kavēties	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
besoeke	iespaidi	besoek	iespaide	N;PL	N;NOM;MASC;PL
besoeke	apmeklējumi	besoek	apmeklējums	N;PL	N;NOM;MASC;PL
besoeke	vizītes	besoek	vizīte	N;PL	N;NOM;FEM;PL
geskatte	aprēķināts	geskat	aprēķināt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
episodes	epizodes	episode	epizode	N;PL	N;NOM;FEM;PL
aanhou	turēt	aanhou	turēt	V;PRS	V;POS;NFIN
