ve	in	ve	in	CONJ	CONJ
kutusu	box	kutu	box	N;NOM;SG;3	N;NOM;MASC;SG
kutusu	zaboj	kutu	zaboj	N;NOM;SG;3	N;NOM;MASC;SG
kutusu	škatlica	kutu	škatlica	N;NOM;SG;3	N;NOM;FEM;SG
kutusu	škatla	kutu	škatla	N;NOM;SG;3	N;NOM;FEM;SG
sahipliği	lastništvo	sahiplik	lastništvo	N;NOM;SG;3	N;NOM;NEUT;SG
kullanıldı	odkupiti	kullan	odkupiti	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;NFIN
çekti	potegnil	çek	potegniti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
toplu	razsuti	toplu	razsutiti		
düştü	padel	düş	pasti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
düştü	padla	düş	pasti	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
düştü	padlo	düş	pasti	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;V.PTCP
düştü	padel	düş	pasti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
düştü	padla	düş	pasti	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
düştü	padlo	düş	pasti	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;V.PTCP
desteği	podpora	destek	podpora	N;NOM;SG;3	N;NOM;FEM;SG
başarısız	neuspešno	başarısız	neuspešen	ADJ	ADJ;NOM;NEUT;SG
başarısız	neuspešen	başarısız	neuspešen	ADJ	ADJ;NOM;INDF;MASC;SG
başarısız	neuspešno	başarısız	neuspešen	ADJ	ADJ;NOM;NEUT;SG
başarısız	neuspešen	başarısız	neuspešen	ADJ	ADJ;NOM;INDF;MASC;SG
başarısız	neuspešni	başarısız	neuspešen	ADJ	ADJ;NOM;MASC;PL
arnavutluk	albanija	arnavutluk	albanija	N;NOM;SG;3	N;NOM;FEM;SG
ilişki	razmerje	ilişki	razmerje	N;NOM;SG;3	N;NOM;NEUT;SG
ilişki	zveza	ilişki	zveza	N;NOM;SG;3	N;NOM;FEM;SG
cumhurbaşkanlığı	predsedstvo	cumhurbaşkanlığı	predsedstvo	N;NOM;SG;3	N;NOM;NEUT;SG
cumhurbaşkanlığı	predsedovanje	cumhurbaşkanlığı	predsedovanje	N;NOM;SG;3	N;NOM;NEUT;SG
demek	pomeni	de	pomeniti	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;SG;3;PRS;FIN
köprüsü	most	köprü	most	N;NOM;SG;3	N;NOM;MASC;SG
köprüsü	bridge	köprü	bridg	N;NOM;SG;3	N;NOM;MASC;SG
yılların	let	yıl	leto	N;GEN;PL;3	N;GEN;NEUT;PL
er	privat	er	privati		
başkanlık	predsedstvo	başkanlık	predsedstvo	N;NOM;SG;3	N;NOM;NEUT;SG
başkanlık	predsedovanje	başkanlık	predsedovanje	N;NOM;SG;3	N;NOM;NEUT;SG
finali	finale	finali	finale	N;NOM;SG;3	N;NOM;MASC;SG
kütüphanesi	knjižnica	kütüphane	knjižnica	N;NOM;SG;3	N;NOM;FEM;SG
barajı	jez	barajı	jez	N;NOM;SG;3	N;NOM;MASC;SG
ters	inverse	ters	invers		
air	zrak	air	zrak	N;NOM;SG;3	N;NOM;MASC;SG
air	air	air	air	N;NOM;SG;3	N;NOM;MASC;SG
sözleri	besedila	söz	besedilo	N;NOM;PL;3	N;NOM;NEUT;PL
mağlup	poražen	mağlup	poražen	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
mağlup	premagani	mağlup	premagan	ADJ	ADJ;NOM;MASC;PL;V.PTCP
mağlup	poraženi	mağlup	poražen	ADJ	ADJ;NOM;MASC;PL;V.PTCP
mağlup	premagan	mağlup	premagan	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
kapağı	pokrovček	kapak	pokrovček	N;NOM;SG;3	N;NOM;MASC;SG
kapağı	pokrov	kapak	pokrov	N;NOM;SG;3	N;NOM;MASC;SG
şehristanı	okrožje	şehristan	okrožje	N;NOM;SG;3	N;NOM;NEUT;SG
şehristanı	okraj	şehristan	okraj	N;NOM;SG;3	N;NOM;MASC;SG
sanatsal	umetniška	sanatsal	umetniški	ADJ	ADJ;NOM;FEM;SG
sanatsal	umetniško	sanatsal	umetniški	ADJ	ADJ;NOM;NEUT;SG
sanatsal	umetniški	sanatsal	umetniški	ADJ	ADJ;NOM;MASC;SG
sanatsal	umetniško	sanatsal	umetniški	ADJ	ADJ;NOM;NEUT;SG
sesi	zvok	ses	zvok	N;NOM;SG;3	N;NOM;MASC;SG
sesi	volumen	ses	volumen	N;NOM;SG;3	N;NOM;MASC;SG
sesi	glasnost	ses	glasnost	N;NOM;SG;3	N;NOM;FEM;SG
sesi	prostornina	ses	prostornina	N;NOM;SG;3	N;NOM;FEM;SG
sesi	zvezek	ses	zvezek	N;NOM;SG;3	N;NOM;MASC;SG
sesi	obseg	ses	obseg	N;NOM;SG;3	N;NOM;MASC;SG
sesi	glas	ses	glas	N;NOM;SG;3	N;NOM;MASC;SG
yerler	kraji	yer	kraj	N;NOM;PL;3	N;NOM;MASC;PL
yerler	lokacije	yer	lokacija	N;NOM;PL;3	N;NOM;FEM;PL
yerler	tla	yer	tla	N;NOM;PL;3	N;NOM;NEUT;PL
yerler	nadstropja	yer	nadstropje	N;NOM;PL;3	N;NOM;NEUT;PL
yerler	destinacije	yer	destinacija	N;NOM;PL;3	N;NOM;FEM;PL
teamb	teamb	teamb	teamba		
hristiyan	kristjan	hristiyan	kristjan	N;NOM;SG;3	N;NOM;MASC;SG
teklif	ponudba	teklif	ponudba	N;NOM;SG;3	N;NOM;FEM;SG
teklif	predlog	teklif	predlog	N;NOM;SG;3	N;NOM;MASC;SG
teklif	predloga	teklif	predlog	N;NOM;SG;3	N;NOM;MASC;SG
teklif	ponudba	teklif	ponudba	N;NOM;SG;3	N;NOM;FEM;SG
ayak	noga	ayak	nog	N;NOM;SG;3	N;NOM;FEM;SG
ayak	stopalo	ayak	stopalo	N;NOM;SG;3	N;NOM;NEUT;SG
siz	ti	siz	ti	PRO;NOM;PL;2	PRO;NOM;MASC;PL;2
bağımsızlık	samostojnost	bağımsızlık	samostojnost	N;NOM;SG;3	N;NOM;FEM;SG
bağımsızlık	neodvisnost	bağımsızlık	neodvisnost	N;NOM;SG;3	N;NOM;FEM;SG
kulesi	stolp	kule	stolp	N;NOM;SG;3	N;NOM;MASC;SG
şampiyonluk	prvenstvo	şampiyonluk	prvenstvo	N;NOM;SG;3	N;NOM;NEUT;SG
istasyonu	postajo	ista	postaja	N;ACC;SG;3	N;ACC;FEM;SG
mühendislik	inženiring	mühendislik	inženiring	N;NOM;SG;3	N;NOM;MASC;SG
oyunlar	tekme	oyun	tekma	N;NOM;PL;3	N;NOM;FEM;PL
oyunlar	igre	oyun	igra	N;NOM;PL;3	N;NOM;FEM;PL
oyunlar	igrice	oyun	igrica	N;NOM;PL;3	N;NOM;FEM;PL
performansı	nastop	performans	nastop	N;NOM;SG;3	N;NOM;MASC;SG
performansı	zmogljivost	performans	zmogljivost	N;NOM;SG;3	N;NOM;FEM;SG
performansı	uspešnost	performans	uspešnost	N;NOM;SG;3	N;NOM;FEM;SG
çocuklar	fantje	çocuk	fant	N;NOM;PL;3	N;NOM;MASC;PL
çocuklar	dečki	çocuk	deček	N;NOM;PL;3	N;NOM;MASC;PL
çocuklar	otroci	çocuk	otrok	N;NOM;PL;3	N;NOM;MASC;PL
çocuklar	fantje	çocuk	fant	N;NOM;PL;3	N;NOM;MASC;PL
çocuklar	otroci	çocuk	otrok	N;NOM;PL;3	N;NOM;MASC;PL
facebook	facebook	facebook	facebook	N;NOM;SG;3	N;NOM;MASC;SG
paralel	vzporedni	paralel	vzporeden	ADJ	ADJ;NOM;MASC;SG
paralel	vzporedna	paralel	vzporeden	ADJ	ADJ;NOM;FEM;SG
erişim	dostop	erişim	dostop	N;NOM;SG;3	N;NOM;MASC;SG
erişim	doseg	erişim	doseg	N;NOM;SG;3	N;NOM;MASC;SG
erişim	reach	erişim	reach	N;NOM;SG;3	N;NOM;MASC;SG
kelimesi	beseda	kelime	beseda	N;NOM;SG;3	N;NOM;FEM;SG
istedi	vprašal	iste	vprašati	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
vergi	obdavčitev	vergi	obdavčitev	N;NOM;SG;3	N;NOM;FEM;SG
vergi	obdavčenje	vergi	obdavčenje	N;NOM;SG;3	N;NOM;NEUT;SG
vergi	davek	vergi	davek	N;NOM;SG;3	N;NOM;MASC;SG
hastalık	bolezen	hastalık	bolezen	N;NOM;SG;3	N;NOM;FEM;SG
hastalık	bolezen	hastalık	bolezen	N;NOM;SG;3	N;NOM;FEM;SG
hastalık	bolezen	hastalık	bolezen	N;NOM;SG;3	N;NOM;FEM;SG
cemal	cemal	cemal	cemati		
şekli	obliko	şekli	oblika	N;ACC;SG;3	N;ACC;FEM;SG
içeriği	vsebnost	içerik	vsebnost	N;NOM;SG;3	N;NOM;FEM;SG
içeriği	vsebina	içerik	vsebina	N;NOM;SG;3	N;NOM;FEM;SG
içeriği	vsebina	içerik	vsebina	N;NOM;SG;3	N;NOM;FEM;SG
devamı	nadalje	devam	nadalje		
dolar	dolarja	dolar	dolar	N;NOM;SG;3	N;NOM;MASC;SG
dolar	dolar	dolar	dolar	N;NOM;SG;3	N;NOM;MASC;SG
getiren	prinese	getir	prinesti	V;PFV;IND;POS;PRS;V.PTCP	V;PFV;IND;SG;3;PRS;FIN
akşam	večer	akşam	večer	N;NOM;SG;3	N;NOM;MASC;SG
akşam	vecer	akşam	vecer	N;NOM;SG;3	N;NOM;MASC;SG
bayrağı	označitev	bayrak	označitev	N;NOM;SG;3	N;NOM;FEM;SG
bayrağı	zastava	bayrak	zastava	N;NOM;SG;3	N;NOM;FEM;SG
yolları	načini	yol	način	N;NOM;PL;3	N;NOM;MASC;PL
yolları	proge	yol	proga	N;NOM;PL;3	N;NOM;FEM;PL
mal	mal	mal	malo		
vermiş	dal	ver	dati	V;PFV;NFH;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
vermiş	dau	ver	dau	V;PFV;NFH;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
vermiş	dala	ver	dati	V;PFV;NFH;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
temsilcisi	rep	temsilci	rep	N;NOM;SG;3	N;NOM;MASC;SG
temsilcisi	zastopnik	temsilci	zastopnik	N;NOM;SG;3	N;NOM;MASC;SG
temsilcisi	zastopnik	temsilci	zastopnik	N;NOM;SG;3	N;NOM;MASC;SG
temsilcisi	predstavnik	temsilci	predstavnik	N;NOM;SG;3	N;NOM;MASC;SG
özellikler	lastnosti	özellik	lastnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikler	značilnosti	özellik	značilnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikler	specifikacije	özellik	specifikacija	N;NOM;PL;3	N;NOM;FEM;PL
özellikler	lastnosti	özellik	lastnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikler	značilnosti	özellik	značilnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikler	atributi	özellik	atribut	N;NOM;PL;3	N;NOM;MASC;PL
özellikler	lastnosti	özellik	lastnost	N;NOM;PL;3	N;NOM;FEM;PL
taşındı	preselil	taşı	preseliti	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;SG;V.PTCP
konumu	lokacijo	konum	lokacija	N;ACC;SG;3	N;ACC;FEM;SG
scoreb	scoreb	scoreb	scoreb		
başlığı	glava	başlık	glava	N;NOM;SG;3	N;NOM;FEM;SG
başlığı	naziv	başlık	naziv	N;NOM;SG;3	N;NOM;MASC;SG
kulüpler	klubi	kulüp	klub	N;NOM;PL;3	N;NOM;MASC;PL
kulüpler	palice	kulüp	palica	N;NOM;PL;3	N;NOM;FEM;PL
may	maj	may	maj		
dersleri	lekcije	ders	lekcija	N;NOM;PL;3	N;NOM;FEM;PL
dersleri	razredi	ders	razred	N;NOM;PL;3	N;NOM;MASC;PL
kolordu	korpus	kolor	korpus	N;NOM;SG;3	N;NOM;MASC;SG
isimler	imena	isim	ime	N;NOM;PL;3	N;NOM;NEUT;PL
elizabeth	elizabeta	elizabeth	elizabet	N;NOM;SG;3	N;NOM;FEM;SG
elizabeth	elizabeth	elizabeth	elizabeth	N;NOM;SG;3	N;NOM;FEM;SG
madalyası	medalja	madalya	medalja	N;NOM;SG;3	N;NOM;FEM;SG
gönderildi	objavil	gönder	objaviti	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;SG;V.PTCP
tarihçi	zgodovinar	tarihçi	zgodovinar	N;NOM;SG;3	N;NOM;MASC;SG
tarihçi	kronist	tarihçi	kronist	N;NOM;SG;3	N;NOM;MASC;SG
mutlu	srečna	mutlu	srečen	ADJ	ADJ;NOM;FEM;SG
mutlu	srečen	mutlu	srečen	ADJ	ADJ;NOM;INDF;MASC;SG
mutlu	vesela	mutlu	vesel	ADJ	ADJ;NOM;FEM;SG
mutlu	srečno	mutlu	srečno	ADJ	ADJ;NOM;NEUT;SG
bölümler	epizode	bölüm	epizoda	N;NOM;PL;3	N;NOM;FEM;PL
bölümler	poglavji	bölüm	poglavje	N;NOM;PL;3	N;NOM;NEUT;PL
bölümler	oddelki	bölüm	oddelek	N;NOM;PL;3	N;NOM;MASC;PL
bölümler	poglavja	bölüm	poglavje	N;NOM;PL;3	N;NOM;NEUT;PL
bölümler	oddelki	bölüm	oddelek	N;NOM;PL;3	N;NOM;MASC;PL
varlığı	prisotnost	varlık	prisotnost	N;NOM;SG;3	N;NOM;FEM;SG
varlığı	navzočnost	varlık	navzočnost	N;NOM;SG;3	N;NOM;FEM;SG
oda	dvorani	oda	dvorana	N;NOM;SG;3	N;NOM;FEM;SG
oda	komora	oda	komor	N;NOM;SG;3	N;NOM;FEM;SG
oda	soba	oda	soba	N;NOM;SG;3	N;NOM;FEM;SG
alınmış	vzet	al	vzet	V;PFV;NFH;IND;POS;PST;PASS	V;PFV;NFIN
yöntemi	metodo	yöntem	metoda	N;ACC;SG;3	N;ACC;FEM;SG
çevresi	obseg	çevre	obseg	N;NOM;SG;3	N;NOM;MASC;SG
çevresi	okolica	çevre	okolica	N;NOM;SG;3	N;NOM;FEM;SG
museum	muzej	museum	muzej	N;NOM;SG;3	N;NOM;MASC;SG
karakterler	liki	karak	lik	N;NOM;PL;3	N;NOM;MASC;PL
karakterler	znaki	karak	znak	N;NOM;PL;3	N;NOM;MASC;PL
alanlar	polji	alan	polje	N;NOM;PL;3	N;NOM;NEUT;PL
alanlar	polja	alan	polje	N;NOM;PL;3	N;NOM;NEUT;PL
alanlar	območja	alan	območje	N;NOM;PL;3	N;NOM;NEUT;PL
alanlar	področja	alan	področje	N;NOM;PL;3	N;NOM;NEUT;PL
alanlar	površine	alan	površina	N;NOM;PL;3	N;NOM;FEM;PL
oyunculuk	igranje	oyunculuk	igranje	N;NOM;SG;3	N;NOM;NEUT;SG
villa	vili	villa	vila	N;NOM;SG;3	N;NOM;FEM;SG
villa	villa	villa	vileti	N;NOM;SG;3	N;NOM;FEM;SG
villa	vila	villa	vilo	N;NOM;SG;3	N;NOM;FEM;SG
seyahat	potovanje	seyahat	potovanje	N;NOM;SG;3	N;NOM;NEUT;SG
seyahat	popotovanje	seyahat	popotovanje	N;NOM;SG;3	N;NOM;NEUT;SG
seyahat	potovanje	seyahat	potovanje	N;NOM;SG;3	N;NOM;NEUT;SG
seyahat	potovanje	seyahat	potovanje	N;NOM;SG;3	N;NOM;NEUT;SG
seyahat	potovanje	seyahat	potovanje	N;NOM;SG;3	N;NOM;NEUT;SG
özgürlük	svoboda	özgürlük	svoboda	N;NOM;SG;3	N;NOM;FEM;SG
özgürlük	prostost	özgürlük	prostost	N;NOM;SG;3	N;NOM;FEM;SG
özgürlük	prostost	özgürlük	prostost	N;NOM;SG;3	N;NOM;FEM;SG
özgürlük	liberty	özgürlük	liberty	N;NOM;SG;3	N;NOM;MASC;SG
kadir	kadir	kadir	kadir		
hizmetleri	storitve	hizmet	storitev	N;NOM;PL;3	N;NOM;FEM;PL
kapısı	gate	kapı	gata	N;NOM;SG;3	N;NOM;MASC;SG
şikayet	poročilo	şikayet	poročilo	N;NOM;SG;3	N;NOM;NEUT;SG
şikayet	pritožba	şikayet	pritožba	N;NOM;SG;3	N;NOM;FEM;SG
şikayet	poročanje	şikayet	poročanje	N;NOM;SG;3	N;NOM;NEUT;SG
öğrenciler	dijaki	öğrenci	dijak	N;NOM;PL;3	N;NOM;MASC;PL
öğrenciler	študentje	öğrenci	študent	N;NOM;PL;3	N;NOM;MASC;PL
öğrenciler	študenti	öğrenci	študent	N;NOM;PL;3	N;NOM;MASC;PL
öğrenciler	učenci	öğrenci	učenec	N;NOM;PL;3	N;NOM;MASC;PL
caddesi	avenue	cadde	avenue	N;NOM;SG;3	N;NOM;MASC;SG
caddesi	avenija	cadde	avenija	N;NOM;SG;3	N;NOM;FEM;SG
galibiyet	zmaga	galibiyet	zmaga	N;NOM;SG;3	N;NOM;FEM;SG
galibiyet	zmaga	galibiyet	zmaga	N;NOM;SG;3	N;NOM;FEM;SG
fabrikası	tovarna	fabrikası	tovarna	N;NOM;SG;3	N;NOM;FEM;SG
kullanmak	odkupi	kullan	odkupiti	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;PFV;IND;SG;3;PRS;FIN
ümit	ümit	ümit	ümit		
yazarlar	pisatelji	yazar	pisatelj	N;NOM;PL;3	N;NOM;MASC;PL
yazarlar	avtorji	yazar	avtor	N;NOM;PL;3	N;NOM;MASC;PL
açılış	odprtje	açılış	odprtje	N;NOM;SG;3	N;NOM;NEUT;SG
açılış	otvoritev	açılış	otvoritev	N;NOM;SG;3	N;NOM;FEM;SG
açılış	odpiranje	açılış	odpiranje	N;NOM;SG;3	N;NOM;NEUT;SG
numarası	številka	numara	številka	N;NOM;SG;3	N;NOM;FEM;SG
numarası	število	numara	število	N;NOM;SG;3	N;NOM;NEUT;SG
kalabalık	množica	kalabalık	množica	N;NOM;SG;3	N;NOM;FEM;SG
kalabalık	množica	kalabalık	množica	N;NOM;SG;3	N;NOM;FEM;SG
kalabalık	gneča	kalabalık	gneča	N;NOM;SG;3	N;NOM;FEM;SG
korumak	zaščiti	koru	zaščititi	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;PFV;IND;SG;3;PRS;FIN
makale	članek	makale	članek	N;NOM;SG;3	N;NOM;MASC;SG
makale	člen	makale	člen	N;NOM;SG;3	N;NOM;MASC;SG
makale	izdelek	makale	izdelek	N;NOM;SG;3	N;NOM;MASC;SG
politikası	politika	politikası	politika	N;NOM;SG;3	N;NOM;FEM;SG
örneği	zgled	örnek	zgled	N;NOM;SG;3	N;NOM;MASC;SG
örneği	primer	örnek	primer	N;NOM;SG;3	N;NOM;MASC;SG
yöntem	metodologija	yöntem	metodologija	N;NOM;SG;3	N;NOM;FEM;SG
yöntem	metoda	yöntem	metoda	N;NOM;SG;3	N;NOM;FEM;SG
tarafsız	nepristransko	tarafsız	nepristranski	ADJ	ADJ;NOM;NEUT;SG
tarafsız	nevtralno	tarafsız	nevtralno	ADJ	ADJ;NOM;NEUT;SG
tarafsız	nevtralni	tarafsız	nevtralen	ADJ	ADJ;NOM;DEF;MASC;SG
tarafsız	nevtralen	tarafsız	nevtralen	ADJ	ADJ;NOM;INDF;MASC;SG
tarafsız	nepristranski	tarafsız	nepristranski	ADJ	ADJ;NOM;MASC;SG
tarafsız	nepristransko	tarafsız	nepristranski	ADJ	ADJ;NOM;NEUT;SG
mesafe	oddaljenost	mesafe	oddaljenost	N;NOM;SG;3	N;NOM;FEM;SG
mesafe	razdalja	mesafe	razdaljati	N;NOM;SG;3	N;NOM;FEM;SG
mesafe	razpon	mesafe	razpon	N;NOM;SG;3	N;NOM;MASC;SG
mesafe	oddaljenost	mesafe	oddaljenost	N;NOM;SG;3	N;NOM;FEM;SG
mezarlığı	pokopališče	mezarlık	pokopališče	N;NOM;SG;3	N;NOM;NEUT;SG
mezarlığı	pokopališče	mezarlık	pokopališče	N;NOM;SG;3	N;NOM;NEUT;SG
köpek	kuža	köpek	kuža	N;NOM;SG;3	N;NOM;MASC;SG
köpek	kuža	köpek	kuža	N;NOM;SG;3	N;NOM;MASC;SG
köpek	pes	köpek	pes	N;NOM;SG;3	N;NOM;MASC;SG
parçaları	koščke	parça	košček	N;ACC;PL;3	N;ACC;MASC;PL
kredi	kredit	kredi	kredit	N;NOM;SG;3	N;NOM;MASC;SG
kredi	posojilo	kredi	posojilo	N;NOM;SG;3	N;NOM;NEUT;SG
kapı	gate	kapı	gata	N;NOM;SG;3	N;NOM;MASC;SG
ağırlığı	tehtanje	ağırlık	tehtanje	N;NOM;SG;3	N;NOM;NEUT;SG
ağırlığı	utež	ağırlık	utež	N;NOM;SG;3	N;NOM;FEM;SG
ağırlığı	teža	ağırlık	teža	N;NOM;SG;3	N;NOM;FEM;SG
diller	jeziki	dil	jezik	N;NOM;PL;3	N;NOM;MASC;PL
deri	usnje	deri	usnji		
önemi	pomembnost	önem	pomembnost	N;NOM;SG;3	N;NOM;FEM;SG
önemi	pomen	önem	pomen	N;NOM;SG;3	N;NOM;MASC;SG
önemi	pomembnost	önem	pomembnost	N;NOM;SG;3	N;NOM;FEM;SG
sandalye	stol	sandalye	stol	N;NOM;SG;3	N;NOM;MASC;SG
sokak	ulica	sokak	ulica	N;NOM;SG;3	N;NOM;FEM;SG
karayolu	pot	karayolu	pot	N;NOM;SG;3	N;NOM;FEM;SG
karayolu	cesta	karayolu	cesta	N;NOM;SG;3	N;NOM;FEM;SG
karayolu	avtocesta	karayolu	avtocesta	N;NOM;SG;3	N;NOM;FEM;SG
kraliçe	kraljica	kraliçe	kraljica	N;NOM;SG;3	N;NOM;FEM;SG
yetersiz	nezadostno	yetersiz	nezadostno	ADJ	ADJ;NOM;NEUT;SG
yetersiz	nezadostni	yetersiz	nezadosten	ADJ	ADJ;NOM;MASC;PL
yetersiz	nezadosten	yetersiz	nezadosten	ADJ	ADJ;NOM;INDF;MASC;SG
yetersiz	nezadostne	yetersiz	nezadosten	ADJ	ADJ;NOM;FEM;PL
yetersiz	nezadostna	yetersiz	nezadosten	ADJ	ADJ;NOM;FEM;SG
yetersiz	nesposobni	yetersiz	nesposoben	ADJ	ADJ;NOM;MASC;PL
yetersiz	nesposoben	yetersiz	nesposoben	ADJ	ADJ;NOM;INDF;MASC;SG
yetersiz	nesposobna	yetersiz	nesposoben	ADJ	ADJ;NOM;FEM;SG
yetersiz	nezadostno	yetersiz	nezadostno	ADJ	ADJ;NOM;NEUT;SG
konular	teme	konu	tema	N;NOM;PL;3	N;NOM;FEM;PL
konular	osebki	konu	osebek	N;NOM;PL;3	N;NOM;MASC;PL
america	amerika	america	amerika	N;NOM;SG;3	N;NOM;FEM;SG
america	america	america	america	N;NOM;SG;3	N;NOM;FEM;SG
matematiksel	matematično	matematiksel	matematično	ADJ	ADJ;NOM;NEUT;SG
matematiksel	matematični	matematiksel	matematičen	ADJ	ADJ;NOM;MASC;SG
down	dol	down	dol		
fikri	ideja	fikir	ideja	N;NOM;SG;3	N;NOM;FEM;SG
fikri	zamisel	fikir	zamisel	N;NOM;SG;3	N;NOM;FEM;SG
atletizm	atletika	atletizm	atletika	N;NOM;SG;3	N;NOM;FEM;SG
sorunlar	problemi	sorun	problem	N;NOM;PL;3	N;NOM;MASC;PL
sorunlar	težave	sorun	težava	N;NOM;PL;3	N;NOM;FEM;PL
sorunlar	vprašanja	sorun	vprašanje	N;NOM;PL;3	N;NOM;NEUT;PL
programları	programi	program	program	N;NOM;PL;3	N;NOM;MASC;PL
programları	programi	program	program	N;NOM;PL;3	N;NOM;MASC;PL
kitaplar	knjige	kitap	knjiga	N;NOM;PL;3	N;NOM;FEM;PL
stratejik	strateško	stratejik	strateški	ADJ	ADJ;NOM;NEUT;SG
stratejik	strateško	stratejik	strateški	ADJ	ADJ;NOM;NEUT;SG
stratejik	strateški	stratejik	strateški	ADJ	ADJ;NOM;MASC;SG
stratejik	strateška	stratejik	strateški	ADJ	ADJ;NOM;FEM;SG
askerler	čete	asker	četa	N;NOM;PL;3	N;NOM;FEM;PL
askerler	vojaki	asker	vojak	N;NOM;PL;3	N;NOM;MASC;PL
fonksiyonu	funkcija	fonksiyon	funkcija	N;NOM;SG;3	N;NOM;FEM;SG
daire	stanovanje	daire	stanovanje	N;NOM;SG;3	N;NOM;NEUT;SG
daire	krog	daire	krog	N;NOM;SG;3	N;NOM;MASC;SG
daire	stanovanje	daire	stanovanje	N;NOM;SG;3	N;NOM;NEUT;SG
ilişkisi	razmerje	ilişki	razmerje	N;NOM;SG;3	N;NOM;NEUT;SG
ilişkisi	zveza	ilişki	zveza	N;NOM;SG;3	N;NOM;FEM;SG
haritası	zemljevid	harita	zemljevid	N;NOM;SG;3	N;NOM;MASC;SG
makine	mašina	makine	mašina	N;NOM;SG;3	N;NOM;FEM;SG
makine	stroj	makine	stroj	N;NOM;SG;3	N;NOM;MASC;SG
icin	za	icin	za		
scorea	scorea	scor	scorea		
sessiz	tiha	sessiz	tih	ADJ	ADJ;NOM;FEM;SG
nasa	nasi	nasa	jaz		
antrenör	trener	antrenör	trener	N;NOM;SG;3	N;NOM;MASC;SG
antrenör	trener	antrenör	trener	N;NOM;SG;3	N;NOM;MASC;SG
antrenör	trenerka	antrenör	trenerka	N;NOM;SG;3	N;NOM;FEM;SG
eğlence	fun	eğlence	fun	N;NOM;SG;3	N;NOM;MASC;SG
eğlence	hec	eğlence	hec	N;NOM;SG;3	N;NOM;MASC;SG
eğlence	zabava	eğlence	zabava	N;NOM;SG;3	N;NOM;FEM;SG
eğlence	zabava	eğlence	zabava	N;NOM;SG;3	N;NOM;FEM;SG
miktarı	količina	miktar	količina	N;NOM;SG;3	N;NOM;FEM;SG
miktarı	znesek	miktar	znesek	N;NOM;SG;3	N;NOM;MASC;SG
miktarı	količina	miktar	količina	N;NOM;SG;3	N;NOM;FEM;SG
maçlar	vžigalice	maç	vžigalica	N;NOM;PL;3	N;NOM;FEM;PL
maçlar	tekme	maç	tekma	N;NOM;PL;3	N;NOM;FEM;PL
maçlar	igre	maç	igra	N;NOM;PL;3	N;NOM;FEM;PL
maçlar	igrice	maç	igrica	N;NOM;PL;3	N;NOM;FEM;PL
parçalar	koščki	parça	košček	N;NOM;PL;3	N;NOM;MASC;PL
parçalar	kosi	parça	kosa	N;NOM;PL;3	N;NOM;MASC;PL
parçalar	deli	parça	del	N;NOM;PL;3	N;NOM;MASC;PL
parçalar	komponente	parça	komponent	N;NOM;PL;3	N;NOM;FEM;PL
görüldü	videl	gör	videti	V;PFV;IND;SG;3;POS;PST;PASS	V;MASC;SG;V.PTCP
hıristiyan	kristjan	hıristiyan	kristjan	N;NOM;SG;3	N;NOM;MASC;SG
yapılar	konstrukcije	yap	konstrukcija	N;NOM;PL;3	N;NOM;FEM;PL
yapılar	strukture	yap	struktura	N;NOM;PL;3	N;NOM;FEM;PL
günleri	dni	gün	dan	N;ACC;PL;3	N;ACC;MASC;PL
günleri	dneve	gün	dan	N;ACC;PL;3	N;ACC;MASC;PL
mükemmel	popolna	mükemmel	popoln	ADJ	ADJ;NOM;FEM;SG
mükemmel	popoln	mükemmel	popoln	ADJ	ADJ;NOM;INDF;MASC;SG
mükemmel	popolno	mükemmel	popoln	ADJ	ADJ;NOM;NEUT;SG
mükemmel	odličen	mükemmel	odličen	ADJ	ADJ;NOM;INDF;MASC;SG
felsefesi	filozofija	felsefe	filozofija	N;NOM;SG;3	N;NOM;FEM;SG
