for	für	for	für	ADP	ADP
tegnede	gezeichnet	tegne	zeichnen	V;IND;PST;FIN;ACT	V;V.PTCP
tegnede	gezeichneten	tegne	gezeichnet	V;IND;PST;FIN;ACT	V;IND;PL;3;FIN
tegnede	abonniert	tegne	abonnieren	V;IND;PST;FIN;ACT	V;V.PTCP
kunde	kunden	kunde	kund	N;INDF;MASC+FEM;SG	N
kunde	kunden	kunde	kund	N;INDF;MASC+FEM;SG	N
læst	lesen	læse	lesen	V;INDF;SG;PST;V.PTCP	V;NFIN
læst	gelesen	læse	lesen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
boet	gelebt	bo	peben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
boet	lebte	bo	leben	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
valley	tal	valley	tal	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
turné	besichtigung	turné	Besichtigung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
læser	gelesen	læse	lesen	V;IND;PRS;FIN;ACT	V;V.PTCP
læser	liest	læse	lesen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
læser	lesen	læse	lesen	V;IND;PRS;FIN;ACT	V;NFIN
læser	lese	læse	lese	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
retninger	richtungen	retning	richtung	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
fakultet	fakultät	fakulte	fakultät	N;DEF;NEUT;SG	N
vandløb	bäche	vandløb	bächen	N;INDF;NEUT;SG	N;NOM
udnytte	ausbeuten	udnytte	ausbeuten	V;NFIN;ACT	V;NFIN
udnytte	ausnutzen	udnytte	ausnutzen	V;NFIN;ACT	V;NFIN
udnytte	ausbeuten	udnytte	ausbeuten	V;NFIN;ACT	V;NFIN
kommandant	kommandeur	kommandant	kommandeur	N;INDF;MASC+FEM;SG	N;SG
management	geschäftsführung	management	geschäftsführung	N;INDF;NEUT;SG	N;NOM;FEM;SG
management	unternehmensführung	management	unternehmensführung	N;INDF;NEUT;SG	N;NOM;FEM;SG
erindringer	erinnerungen	erindring	erinnerung	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
underskrevet	signiert	underskrive	signieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
underskrevet	unterzeichnete	underskrive	unterzeichnen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
underskrevet	unterzeichnet	underskrive	unterzeichnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
underskrevet	unterschrieben	underskrive	unterschreiben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
kommercielle	kommerziellen	kommerciel	kommerziell	ADJ;PL	ADJ
kommercielle	kommerzielle	kommerciel	kommerziell	ADJ;PL	ADJ;NOM;FEM;PL
kommercielle	gewerbliche	kommerciel	gewerblich	ADJ;PL	ADJ;NOM;FEM;PL
kommercielle	kommerziell	kommerciel	kommerziell	ADJ;PL	ADJ
gennemgik	unterzogen	gennemgik	unterziehen	V;IND;PST;FIN;ACT	V;V.PTCP
velkommen	willkommen	velkommen	willkommen	ADJ;INDF;MASC+FEM;SG	ADJ
angives	spezifizieren	angive	spezifizieren	V;IND;PRS;FIN;PASS	V;NFIN
angives	angeben	angive	angeben	V;IND;PRS;FIN;PASS	V;V.PTCP
kirkelige	kirchliche	kirkelig	kirchlich	ADJ;PL	ADJ;NOM;FEM;PL
kirkelige	kirchlichen	kirkelig	kirchlich	ADJ;PL	ADJ;PL
uddelt	vertrieben	uddele	vertreiben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddelt	verteilen	uddele	verteilen	V;INDF;SG;PST;V.PTCP	V;NFIN
uddelt	verteilt	uddele	verteilen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddelt	verliehen	uddele	verleihen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
fortælling	erzählung	fortælling	erzählung	N;INDF;MASC+FEM;SG	N;FEM;SG
sælger	verkaufe	sælge	verkaufen	V;IND;PRS;FIN;ACT	V;SG;FIN
sælger	verkaufen	sælge	verkaufen	V;IND;PRS;FIN;ACT	V;NFIN
sælger	verkaufe	sælge	verkaufen	V;IND;PRS;FIN;ACT	V;SG;FIN
sælger	verkaufen	sælge	verkaufen	V;IND;PRS;FIN;ACT	V;NFIN
skyde	schießt	skyde	schießen	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
skyde	schießen	skyde	schießen	V;NFIN;ACT	V;NFIN
skyde	schieße	skyde	scheißen	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
skyde	schiessen	skyde	schießen	V;NFIN;ACT	V;NFIN
skyde	fotografieren	skyde	fotografieren	V;NFIN;ACT	V;NFIN
skyde	dreharbeiten	skyde	dreharbeit	V;NFIN;ACT	V;NFIN
skyde	schießen	skyde	schießen	V;NFIN;ACT	V;NFIN
skyde	schiessen	skyde	schießen	V;NFIN;ACT	V;NFIN
trussel	bedrohung	trussel	bedrohung	N;INDF;MASC+FEM;SG	N;FEM;SG
trussel	bedrohung	trussel	bedrohung	N;INDF;MASC+FEM;SG	N;FEM;SG
foredrag	vortrag	foredrag	vortragen	N;INDF;NEUT;SG	N;SG
flyve	fliegen	flyve	fliegen	V;NFIN;ACT	V;NFIN
flyve	flieg	flyve	fliegen	V;NFIN;ACT	V;IND;SG;3;FIN
flyve	fliegen	flyve	fliegen	V;NFIN;ACT	V;NFIN
konkrete	konkret	konkret	konkret	ADJ;PL	ADJ
konkrete	konkrete	konkret	konkret	ADJ;PL	ADJ;NOM;FEM;PL
astronomiske	astronomischen	astronomisk	astronomisch	ADJ;PL	ADJ
astronomiske	astronomische	astronomisk	astronomisch	ADJ;PL	ADJ;NOM;FEM;PL
chance	chance	chance	chance	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
monteret	eingebunden	monter	einbinden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
monteret	montiert	monter	montieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
monteret	angebaut	monter	anbauen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
monteret	ausgerüstet	monter	ausrüsten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
monteret	ausgestattet	monter	ausstatten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
monteret	eingebaut	monter	einbauen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
monteret	eingebaut	monter	einbauen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
monteret	installierte	monter	installieren	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
monteret	installiert	monter	installieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
ejendomme	objekte	ejendom	objeken	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
shorts	unterhose	shorts	unterhose	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
flugt	flucht	flugt	fluchen	N;INDF;MASC+FEM;SG	N
flugt	flucht	flugt	fluchen	N;INDF;MASC+FEM;SG	N
indendørs	innenraum	indendørs	innenraum	ADJ	ADJ
indendørs	innenräume	indendørs	innenraum	ADJ	ADJ;NOM;FEM;PL
tillæg	anlage	tillæg	anlage	N;INDF;NEUT;SG	N;NOM;FEM;SG
glæde	glück	glæde	glück	N;INDF;MASC+FEM;SG	N;NOM;SG
forrige	frühere	forrige	früh	ADJ	ADJ;NOM;FEM;PL
forrige	vorherige	forrige	vorherig	ADJ	ADJ;NOM;FEM;PL
forrige	vorhergehende	forrige	vorhergehend	ADJ	ADJ;NOM;FEM;PL
forrige	früheren	forrige	früh	ADJ	ADJ
forrige	vorheriger	forrige	vorherig	ADJ	ADJ
straf	todesstrafe	straf	todesstraf	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
straf	bestrafung	straf	bestrafung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
tilvækst	zunahme	tilvækst	zunahme	N;INDF;MASC+FEM;SG	N;SG
tilvækst	wachstum	tilvækst	wachstum	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
kunsten	kunst	kunst	kunst	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
besked	mitteilung	besked	mitteilung	N;INDF;MASC+FEM;SG	N;FEM;SG
specifikke	spezifisch	specifikke	spezifisch	ADJ;PL	ADJ
specifikke	spezielle	specifikke	speziell	ADJ;PL	ADJ;NOM;FEM;PL
specifikke	spezifischen	specifikke	spezifisch	ADJ;PL	ADJ
specifikke	spezifische	specifikke	spezifisch	ADJ;PL	ADJ;NOM;FEM;PL
kvalifikation	qualifizierung	kvalifikation	qualifizierung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kvalifikation	qualifikation	kvalifikation	qualifikation	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
svagt	schwachen	svag	schwachen	ADJ;INDF;NEUT;SG	ADJ
svagt	schwach	svag	schwach	ADJ;INDF;NEUT;SG	ADJ
svagt	schwacher	svag	schwach	ADJ;INDF;NEUT;SG	ADJ
indføre	vorstellen	indføre	vorstellen	V;NFIN;ACT	V;NFIN
indføre	einzuführen	indføre	einführen	V;NFIN;ACT	V;NFIN
indføre	einführen	indføre	einführen	V;NFIN;ACT	V;NFIN
forsvundet	fehlen	forsvinde	fehlen	V;INDF;SG;PST;V.PTCP	V;NFIN
forsvundet	vermisst	forsvinde	vermissen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
forsvundet	verschwand	forsvinde	verschwinden	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
forsvundet	verschwunden	forsvinde	verschwinden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
vedvarende	hartnäckig	vedvarende	hartnäckig	ADJ	ADJ
vedvarende	anhaltend	vedvarende	anhaltend	ADJ	ADJ
vedvarende	persistente	vedvarende	persistent	ADJ	ADJ;NOM;FEM;SG
vedvarende	erneuerbarer	vedvarende	erneuerbarer	ADJ	ADJ
vedvarende	erneuerbare	vedvarende	erneuerbare	ADJ	ADJ;NOM;FEM;PL
vedvarende	erneuerbaren	vedvarende	erneuerbaren	ADJ	ADJ
vedvarende	nachhaltig	vedvarende	nachhaltig	ADJ	ADJ
vedvarende	aufrechterhalten	vedvarende	aufrechterhalten	ADJ	ADJ
udarbejdet	zusammengestellt	udarbejde	zusammenstellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udarbejdet	erstellt	udarbejde	erstellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udarbejdet	kompiliert	udarbejde	kompilieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udarbejdet	erstellte	udarbejde	erstellt	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
væsen	wesen	væsen	wesen	N;INDF;NEUT;SG	N;NOM;NEUT;SG
erstatte	ersetzen	erstatte	ersetzen	V;NFIN;ACT	V;NFIN
erstatte	ersetzt	erstatte	ersetzen	V;NFIN;ACT	V;V.PTCP
erstatte	ersetzen	erstatte	ersetzen	V;NFIN;ACT	V;NFIN
erstatte	austauschen	erstatte	austauschen	V;NFIN;ACT	V;NFIN
bakterier	bakterien	bakterie	bakterien	N;INDF;MASC+FEM;PL	N;NOM;PL
eksisteret	existierte	eksistere	existieren	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
eksisteret	bestanden	eksistere	bestehen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
opbygning	gliederung	opbygning	gliederung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sammenhængende	schlüssig	sammenhængende	schlüßig	ADJ	ADJ
sammenhængende	kohärent	sammenhængende	kohärent	ADJ	ADJ
sammenhængende	kohärente	sammenhængende	kohärent	ADJ	ADJ;NOM;FEM;PL
sammenhængende	zusammenhängende	sammenhængende	zusammenhängend	ADJ	ADJ;NOM;SG
neutral	leerlauf	neutral	leerlauf	ADJ;INDF;MASC+FEM;SG	ADJ
neutral	neutralen	neutral	neutral	ADJ;INDF;MASC+FEM;SG	ADJ
neutral	neutral	neutral	neutral	ADJ;INDF;MASC+FEM;SG	ADJ
neutral	neutraler	neutral	neutral	ADJ;INDF;MASC+FEM;SG	ADJ
formue	glück	formue	glück	N;INDF;MASC+FEM;SG	N;NOM;SG
fyrste	prinz	fyrste	prinz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
bevis	nachweise	bevis	nachweise	N;INDF;NEUT;SG	N;NOM;FEM;SG
bevis	nachweis	bevis	nachweis	N;INDF;NEUT;SG	N
bevis	nachweise	bevis	nachweise	N;INDF;NEUT;SG	N;NOM;FEM;SG
bevis	nachweis	bevis	nachweis	N;INDF;NEUT;SG	N
eksil	exil	eksil	exil	N;INDF;NEUT;SG	N;NOM;MASC;SG
vendt	umgedreht	vende	umgedreht	V;INDF;SG;PST;V.PTCP	V;V.PTCP
vendt	gewendet	vende	wenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
vendt	drehte	vende	drehen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
vendt	verwandelt	vende	verwandeln	V;INDF;SG;PST;V.PTCP	V;V.PTCP
vendt	wandte	vende	wenden	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
vendt	umgedreht	vende	umgedreht	V;INDF;SG;PST;V.PTCP	V;V.PTCP
vendt	umgelegt	vende	umlegen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
lykkes	gelingen	lykkes	gelingen	V;NFIN;ACT	V;NFIN
vilkår	geschäftsbedingungen	vilkår	geschäftsbedingung	N;INDF;NEUT;PL	N;NOM;FEM;PL
vilkår	geschäftsbedingungen	vilkår	geschäftsbedingung	N;INDF;NEUT;PL	N;NOM;FEM;PL
tyrkisk	türkisch	tyrkisk	türkisch	ADJ;INDF;SG	ADJ
tyrkisk	türkisches	tyrkisk	türkisch	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
antages	angenommen	antage	annehmen	V;NFIN;PASS	V;V.PTCP
tilgang	konzept	tilgang	konzept	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
tilgang	ansatz	tilgang	ansatz	N;INDF;MASC+FEM;SG	N;SG
antyder	suggeriert	antyde	suggerieren	V;IND;PRS;FIN;ACT	V;V.PTCP
sætning	ausdruck	sætning	ausdruck	N;INDF;MASC+FEM;SG	N;SG
sætning	begriff	sætning	begreifen	N;INDF;MASC+FEM;SG	N;MASC;SG
mose	sumpf	mose	sumpf	N;INDF;MASC+FEM;SG	N
mose	sumpf	mose	sumpf	N;INDF;MASC+FEM;SG	N
indebærer	impliziert	indebære	implizieren	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
dødsfald	todesfälle	dødsfald	todesfall	N;INDF;NEUT;PL	N;NOM;FEM;PL
dødsfald	todesfälle	dødsfald	todesfall	N;INDF;NEUT;PL	N;NOM;FEM;PL
militært	militär	militært	militär	ADJ;INDF;NEUT;SG	ADJ
militært	militärisch	militært	militärisch	ADJ;INDF;NEUT;SG	ADJ
militært	militärischen	militært	militärisch	ADJ;INDF;NEUT;SG	ADJ;ACC;SG
militært	militärisch	militært	militärisch	ADJ;INDF;NEUT;SG	ADJ
mødet	tagung	møde	tagung	N;DEF;NEUT;SG	N;NOM;FEM;SG
mødet	besprechung	møde	besprechung	N;DEF;NEUT;SG	N;SG
mødet	sitzung	møde	sitzung	N;DEF;NEUT;SG	N;SG
haver	parkanlagen	have	parkanlagen	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
afledt	abgeleitet	aflede	ableiten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	niedergebrannt	brænde	niederbrennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	gebrannt	brænde	brennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	abgebrannt	brænde	abbrennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	verbrannt	brænde	verbrennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	gebrannt	brænde	brennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	abgebrannt	brænde	abbrennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	verbrannt	brænde	verbrennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	geröstet	brænde	rösten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
brændt	gebraten	brænde	braten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
tjene	verdiene	tjene	verdienen	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
tjene	verdienen	tjene	verdienen	V;NFIN;ACT	V;NFIN
tjene	servieren	tjene	servieren	V;NFIN;ACT	V;NFIN
tjene	dienen	tjene	dienen	V;NFIN;ACT	V;NFIN
forklarer	erklären	forklare	erklären	V;IND;PRS;FIN;ACT	V;NFIN
forklarer	erklärt	forklare	erklären	V;IND;PRS;FIN;ACT	V;V.PTCP
forklarer	erläutert	forklare	erläutern	V;IND;PRS;FIN;ACT	V;V.PTCP
anført	angegeben	anføre	angeben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anført	aufgeführt	anføre	aufführen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anført	gelistet	anføre	listen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anført	aufgelistet	anføre	auflisten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
manuskriptet	manuskript	manuskript	manuskript	N;DEF;NEUT;SG	N;NOM;NEUT;SG
kendetegnet	charakterisiert	kendetegn	charakterisieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
angive	angeben	angive	angeben	V;NFIN;ACT	V;V.PTCP
angive	spezifizieren	angive	spezifizieren	V;NFIN;ACT	V;NFIN
angive	angeben	angive	angeben	V;NFIN;ACT	V;V.PTCP
syge	krank	syg	krank	ADJ;PL	ADJ
syge	krank	syg	krank	ADJ;PL	ADJ
syge	kranker	syg	krank	ADJ;PL	ADJ
løbe	läuft	løbe	laufen	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
løbe	laufen	løbe	laufen	V;NFIN;ACT	V;NFIN
løbe	ausführen	løbe	ausführen	V;NFIN;ACT	V;NFIN
løbe	laufen	løbe	laufen	V;NFIN;ACT	V;NFIN
beslutter	entscheiden	beslutte	entscheiden	V;IND;PRS;FIN;ACT	V;NFIN
beslutter	entscheide	beslutte	entscheiden	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
beslutter	entscheidet	beslutte	entscheiden	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
beslutter	beschließt	beslutte	beschließen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
beslutter	beschließen	beslutte	beschließen	V;IND;PRS;FIN;ACT	V;NFIN
beslutter	entscheiden	beslutte	entscheiden	V;IND;PRS;FIN;ACT	V;NFIN
beslutter	entscheide	beslutte	entscheiden	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
markerede	markierten	markere	markiert	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
kommunale	kommunalen	kommunal	kommunal	ADJ;PL	ADJ
kommunale	kommunal	kommunal	kommunal	ADJ;PL	ADJ
rådet	rat	råd	rat	N;DEF;NEUT;SG	N
socialt	sozial	socialt	sozial	ADJ;INDF;NEUT;SG	ADJ
socialt	gesellschaftlich	socialt	gesellschaftlich	ADJ;INDF;NEUT;SG	ADJ
socialt	soziales	socialt	sozial	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
socialt	sozialer	socialt	sozial	ADJ;INDF;NEUT;SG	ADJ
socialt	sozial	socialt	sozial	ADJ;INDF;NEUT;SG	ADJ
læger	ärzte	læge	ärzen	N;INDF;MASC+FEM;PL	N;NOM;PL
læger	ärzte	læge	ärzen	N;INDF;MASC+FEM;PL	N;NOM;PL
opretholde	beibehalten	opretholde	beibehalten	V;NFIN;ACT	V;V.PTCP
opretholde	pflegen	opretholde	pflegen	V;NFIN;ACT	V;NFIN
opretholde	aufrechtzuerhalten	opretholde	aufrechterhalten	V;NFIN;ACT	V;NFIN
danser	tanzt	danse	tanzen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
danser	tanzen	danse	tanzen	V;IND;PRS;FIN;ACT	V;NFIN
dybe	tief	dyb	tief	ADJ;PL	ADJ
overraskende	überraschen	overraske	überraschen	V;PRS;V.PTCP	V;NFIN
illustreret	illustrierte	illustrere	illustriert	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
illustreret	illustriert	illustrere	illustrieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
retter	höfe	ret	hofen	N;INDF;MASC+FEM;PL	N;NOM;PL
embedsmænd	beamte	embedsmand	beamt	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
belgisk	belgisches	belgisk	belgisch	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
belgisk	belgischen	belgisk	belgisch	ADJ;INDF;SG	ADJ
rigt	reiches	rigt	reich	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
rigt	reich	rigt	reich	ADJ;INDF;NEUT;SG	ADJ
grove	grob	grov	grob	ADJ;PL	ADJ
optagelse	einbindung	optagelse	einbindung	N;INDF;MASC+FEM;SG	N;FEM;SG
optagelse	zulassung	optagelse	zulassung	N;INDF;MASC+FEM;SG	N
optagelse	aufzeichnung	optagelse	aufzeichnung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kunder	kunden	kunde	kund	N;INDF;MASC+FEM;PL	N
kunder	kunden	kunde	kund	N;INDF;MASC+FEM;PL	N
eksistens	dasein	eksistens	dasein	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
udskiftet	ersetzte	udskifte	ersetzen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
udskiftet	ersetzt	udskifte	ersetzen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
havne	häfen	havne	häfen	N;INDF;MASC+FEM;PL	N;NOM;PL
havne	seehäfen	havne	seehäfen	N;INDF;MASC+FEM;PL	N;NOM;PL
bekræftet	bestätigte	bekræfte	bestätigen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
bekræftet	bestätigt	bekræfte	bestätigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
bekræftet	überprüft	bekræfte	überprüfen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
bekræftet	geprüft	bekræfte	prüfen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
bekræftet	verifiziert	bekræfte	verifizieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
bekræftet	bestätigt	bekræfte	bestätigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
ekstremt	extrem	ekstremt	extrem	ADJ;INDF;SG	ADJ
ekstremt	außerordentlich	ekstremt	außerordentlich	ADJ;INDF;SG	ADJ
ekstremt	extrem	ekstremt	extrem	ADJ;INDF;SG	ADJ
ekstremt	extremer	ekstremt	extremer	ADJ;INDF;SG	ADJ
ekstremt	extremen	ekstremt	extrem	ADJ;INDF;SG	ADJ
landene	länder	land	land	N;DEF;NEUT;PL	N;NOM;NEUT;PL
landene	ländern	land	ländern	N;DEF;NEUT;PL	N;PL
processer	prozesse	processe	prozeß	N;INDF;MASC+FEM;PL	N;PL
dyrkede	angebaut	dyrke	anbauen	V;PL;PST;V.PTCP	V;V.PTCP
dyrkede	gezüchtet	dyrke	züchten	V;PL;PST;V.PTCP	V;V.PTCP
strategi	strategie	strategi	strategie	N;INDF;MASC+FEM;SG	N;SG
præster	priestern	præste	priestern	N;INDF;MASC+FEM;PL	N;PL
stopper	stoppt	stoppe	stoppen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
stopper	anhalten	stoppe	anhalten	V;IND;PRS;FIN;ACT	V;NFIN
stopper	stoppen	stoppe	stoppen	V;IND;PRS;FIN;ACT	V;NFIN
nødvendig	erforderlich	nødvendig	erforderlich	ADJ;INDF;MASC+FEM;SG	ADJ
nødvendig	notwendig	nødvendig	notwendig	ADJ;INDF;MASC+FEM;SG	ADJ
nødvendig	nötig	nødvendig	nötig	ADJ;INDF;MASC+FEM;SG	ADJ
nødvendig	notwendig	nødvendig	notwendig	ADJ;INDF;MASC+FEM;SG	ADJ
nødvendig	erforderlich	nødvendig	erforderlich	ADJ;INDF;MASC+FEM;SG	ADJ
regerede	regiert	regere	regieren	V;IND;PST;FIN;ACT	V;V.PTCP
regerede	beherrscht	regere	beherrschen	V;IND;PST;FIN;ACT	V;V.PTCP
regerede	beherrschten	regere	beherrscht	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
regerede	regierte	regere	regieren	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
mellemrum	räume	mellemrum	räumen	N;INDF;NEUT;PL	N;NOM;MASC;PL
glad	fröhlich	glad	fröhlich	ADJ;INDF;SG	ADJ
glad	glücklich	glad	glücklich	ADJ;INDF;SG	ADJ
glad	zufrieden	glad	zufrieden	ADJ;INDF;SG	ADJ
deltagende	teilnehmende	deltagende	teilnehmend	ADJ	ADJ;NOM;FEM;PL
deltagende	teilnehmenden	deltagende	teilnehmend	ADJ	ADJ;PL
interne	interner	interne	intern	ADJ;PL	ADJ
interne	intern	interne	intern	ADJ;PL	ADJ
interne	innere	interne	inner	ADJ;PL	ADJ;NOM;FEM;PL
interne	interne	interne	intern	ADJ;PL	ADJ;NOM;FEM;PL
semifinalen	halbfinale	semifinale	halbfinale	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
foreslår	suggeriert	foreslå	suggerieren	V;IND;PRS;FIN;ACT	V;V.PTCP
foreslår	schlage	foreslå	schlage	V;IND;PRS;FIN;ACT	V;SG;FIN
foreslår	empfehlen	foreslå	empfehlen	V;IND;PRS;FIN;ACT	V;NFIN
foreslår	vorschlagen	foreslå	vorschlagen	V;IND;PRS;FIN;ACT	V;NFIN
foreslår	schlägt	foreslå	schlagen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
schweiziske	schweizerische	schweizisk	schweizerisch	ADJ;PL	ADJ;NOM;FEM;PL
schweiziske	schweizer	schweizisk	schweizer	ADJ;PL	ADJ
indsatte	gefangenen	indsætte	gefangen	V;PL;PST;V.PTCP	V;IND;PL;3;FIN
indsatte	inhaftierten	indsætte	inhaftiert	V;PL;PST;V.PTCP	V;IND;PL;3;PST;FIN
indsatte	gefangenen	indsætte	gefangen	V;PL;PST;V.PTCP	V;IND;PL;3;FIN
spise	fressen	spise	freß	V;NFIN;ACT	V;NFIN
spise	essen	spise	essen	V;NFIN;ACT	V;NFIN
spise	esse	spise	esse	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
spise	isst	spise	essen	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
spise	essen	spise	essen	V;NFIN;ACT	V;NFIN
spise	fressen	spise	freß	V;NFIN;ACT	V;NFIN
behandlet	behandelt	behandle	behandeln	V;INDF;SG;PST;V.PTCP	V;V.PTCP
behandlet	behandelte	behandle	behandeln	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
behandlet	verarbeitet	behandle	verarbeiten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
behandlet	aufbereitet	behandle	aufbereiten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
behandlet	verarbeitete	behandle	verarbeiten	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
behandlet	bearbeitet	behandle	bearbeiten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
stadigvæk	noch	stadigvæk	noch	ADV	ADV
stadigvæk	trotzdem	stadigvæk	trotzdem	ADV	ADV
input	eingang	input	eingehen	N;INDF;NEUT;SG	N;SG
input	eingabe	input	eingabe	N;INDF;NEUT;SG	N;FEM;SG
input	eingänge	input	eingäng	N;INDF;NEUT;SG	N;NOM
