से	vom	से	vom		
उपनिवेश	abrechnung	उपनिवेश	abrechnung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उपनिवेश	ansiedlung	उपनिवेश	ansiedlung	N;NOM;MASC;SG;3	N;SG
हार्मोन	hormon	हार्मोन	hormon	N;NOM;MASC;SG;3	N;NOM;SG
हार्मोन	hormon	हार्मोन	hormon	N;NOM;MASC;SG;3	N;NOM;SG
कष्ट	unglück	कष्ट	unglück	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
पढ़ा	lesen	पढ	lesen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
पढ़ा	gelesen	पढ	lesen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
पढ़ा	lese	पढ	lese	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
संचरण	navigationssystem	संचरण	navigationssystem	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
प्रवास	wanderung	प्रवास	wanderung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रवर्तन	vollstreckung	प्रवर्तन	vollstreckung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रवर्तन	vollzug	प्रवर्तन	vollzug	N;NOM;MASC;SG;3	N
बंधन	anleihe	बंधन	anleihen		
आवेश	empörung	आवेश	empörung	N;NOM;MASC;SG;3	N;SG
लो	nehmen	ले	nehmen	V;SBJV;SG;FIN;ACT	V;NFIN
लो	übernehmen	ले	übernehmen	V;SBJV;SG;FIN;ACT	V;NFIN
क्रोध	empörung	क्रोध	empörung	N;NOM;MASC;SG;3	N;SG
भावनात्मक	emotional	भावनात्मक	emotional	ADJ;NOM	ADJ
भावनात्मक	emotionalen	भावनात्मक	emotional	ADJ;NOM	ADJ
भावनात्मक	emotionaler	भावनात्मक	emotional	ADJ;NOM	ADJ
भावनात्मक	emotionale	भावनात्मक	emotional	ADJ;NOM	ADJ;NOM;FEM;PL
लगाई	platziert	लगा	plazieren	V;PFV;FEM;SG;V.PTCP;ACT	V;V.PTCP
लगाई	platzierte	लगा	plazieren	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
वकालत	fürsprache	वकालत	fürsprechen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वकालत	lobbyarbeit	वकालत	lobbyarbeit	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आयन	ionisation	आयन	ionisation	N;NOM;MASC;SG;3	N
पचास	fünfzig	पचास	fünfzig	NUM	NUM
टेक	tech	टेक	tech		
लड़के	knaben	लड़का	knaben	N;NOM;MASC;PL;3	N;NOM;PL
जयंती	jubiläum	जयंती	jubiläum	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
लेनदेन	geschäft	लेनदेन	schäfen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
लेनदेन	buchung	लेनदेन	buchung	N;NOM;MASC;SG;3	N;FEM;SG
बैठ	sitzen	बैठ	sitzen	V;ACT	V;NFIN
बटन	tasten	बटन	tasten	N;NOM;MASC;SG;3	N
बटन	schaltfläche	बटन	schaltfläche	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ग्लोब	welt	ग्लोब	welt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अगला	nächstes	अगला	nah	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
अगला	nächster	अगला	nah	ADJ;NOM;MASC;SG	ADJ
ताकत	kräfte	ताकत	krafen	N;NOM;FEM;SG;3	N
ताकत	festigkeit	ताकत	Festigkeit	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चौड़ी	breiten	चौड़ी	breit	ADJ;NOM;FEM;SG	ADJ;SG
चौड़ी	breiter	चौड़ी	breit	ADJ;NOM;FEM;SG	ADJ
चौड़ी	breite	चौड़ी	breit	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
चौड़ी	breit	चौड़ी	breit	ADJ;NOM;FEM;SG	ADJ
गैलरी	galerie	गैलरी	galerie	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चर्चित	trend	चर्चित	trend	ADJ	ADJ
चर्चित	tendenz	चर्चित	tendenz	ADJ	ADJ
चर्चित	angesagt	चर्चित	ansagen	ADJ	ADJ
बीमार	krank	बीमार	krank	ADJ	ADJ
बीमार	krank	बीमार	krank	ADJ	ADJ
बीमार	kranker	बीमार	krank	ADJ	ADJ
गिनी	meerschweinchen	गिनी	meerschweinchen		
चिह्नित	markiert	चिह्नित	markieren	ADJ	ADJ;V.PTCP
चिह्नित	gekennzeichnet	चिह्नित	kennzeichnen	ADJ	ADJ;V.PTCP
चिह्नित	markierte	चिह्नित	markiert	ADJ	ADJ;NOM;SG
चिह्नित	markierung	चिह्नित	markierung	ADJ	ADJ
युद्धों	krieg	युद्ध	kriegen	N;ACC;MASC;PL;3	N
गेम्स	spiel	गेम्स	spielen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कपास	baumwolle	कपास	baumwoll	N;NOM;MASC;SG;3	N;SG
रिश्ता	beziehung	रिश्ता	Beziehung	N;NOM;MASC;SG;3	N;SG
आधी	halbzeit	आधा	halbzeit	N;NOM;FEM;SG;3	N
शपथ	schwur	शपथ	schwur	N;NOM;FEM;SG;3	N
गिरने	fallen	गिर	fallen	V;NFIN;ACT	V;NFIN
गिरने	fällt	गिर	fallen|fällen	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
बंध	anleihen	बंध	anleihen	V;ACT	V;NFIN
निवारण	prophylaxe	निवारण	prophylaxe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निवारण	vorbeugung	निवारण	vorbeugung	N;NOM;MASC;SG;3	N;NOM;SG
निवारण	verhütung	निवारण	verhütung	N;NOM;MASC;SG;3	N;SG
आरक्षण	buchung	आरक्षण	buchung	N;NOM;MASC;SG;3	N;FEM;SG
आरक्षण	reservierung	आरक्षण	reservierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आरक्षण	buchung	आरक्षण	buchung	N;NOM;MASC;SG;3	N;FEM;SG
आरक्षण	reservierung	आरक्षण	reservierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्राम	freizeitgestaltung	विश्राम	freizeitstaltung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विश्राम	entspannung	विश्राम	entspannung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आगामी	bevorstehende	आगामी	bevorstehend	ADJ	ADJ;NOM;FEM;PL
आगामी	anstehende	आगामी	anstehend	ADJ	ADJ;NOM;FEM;PL
आगामी	kommende	आगामी	kommend	ADJ	ADJ;NOM;FEM;PL
आगामी	kommenden	आगामी	kommend	ADJ	ADJ;PL
आगामी	nächste	आगामी	nah	ADJ	ADJ;NOM;FEM;PL
आजीवन	lebenszeit	आजीवन	lebenszeien		
दांत	zähne	दांत	zähnen	N;NOM;MASC;SG;3	N;NOM;SG
पुनर्निर्माण	umbau	पुनर्निर्माण	umbau	N;NOM;MASC;SG;3	N
पुनर्निर्माण	rekonstruktion	पुनर्निर्माण	rekonstruktion	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुनर्निर्माण	umbau	पुनर्निर्माण	umbau	N;NOM;MASC;SG;3	N
ब्रदर्स	brüder	ब्रदर्स	brüder	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ब्रदर्स	brüder	ब्रदर्स	brüder	N;NOM;MASC;PL;3	N;NOM;MASC;PL
तीस	dreißig	तीस	dreißig	NUM	NUM
उद्गम	herkunft	उद्गम	herkunft	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दीर्घकालिक	chronischen	दीर्घकालिक	chronisch	ADJ;NOM	ADJ
दीर्घकालिक	chronisch	दीर्घकालिक	chronisch	ADJ;NOM	ADJ
दीर्घकालिक	chronischer	दीर्घकालिक	chronisch	ADJ;NOM	ADJ
दीर्घकालिक	chronische	दीर्घकालिक	chronisch	ADJ;NOM	ADJ;NOM;FEM;PL
स्टोर	geschäft	स्टोर	schäfen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
रक्षक	erlöser	रक्षक	erlös		
रक्षक	erlöser	रक्षक	erlös		
दरवाजे	tür	दरवाजा	tür	N;NOM;MASC;PL;3	N
दरवाजे	tür	दरवाजा	tür	N;NOM;MASC;PL;3	N
ग्यारह	elf	ग्यारह	elf	NUM	NUM
जलीय	wassersport	जलीय	wassersporen		
जलीय	gewässer	जलीय	gewässer		
मधुर	süße	मधुर	süß		
प्रतियोगिताओं	wettkampf	प्रतियोगिता	wettkampf	N;ACC;FEM;PL;3	N
सुई	kanüle	सुई	kanül		
संकाय	fakultät	संकाय	fakultät	N;NOM;MASC;SG;3	N
स्थिरता	umweltverträglichkeit	स्थिरता	umweltverträglichkeit	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निषेध	verbots	निषेध	verbots		
स्राव	entlassung	स्राव	entlassung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्राव	entladung	स्राव	entladung	N;NOM;MASC;SG;3	N;NOM;SG
भेदभाव	diskriminierung	भेदभाव	diskriminierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आदर	achtung	आदर	achtung		
मुखिया	chef	मुखिया	chef	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मानवता	geistes	मानवता	geist	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
सहकारी	genossenschaften	सहकारी	genossenschaft	N;NOM	N;NOM;FEM;PL
कॉफी	kaffe	कॉफी	kaffen		
कॉफी	kaffees	कॉफी	kaffees		
विनिर्माण	fertigung	विनिर्माण	Fertigung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विनिर्माण	herstellung	विनिर्माण	herstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परेशानी	problem	परेशानी	probel	N;NOM;FEM;SG;3	N;NOM;SG
परेशानी	aufwand	परेशानी	aufwinden	N;NOM;FEM;SG;3	N
संतुलित	ausgeglichen	संतुलित	ausgeglichen	ADJ	ADJ
संतुलित	ausgeglichener	संतुलित	ausgeglichen	ADJ	ADJ
संतुलित	ausgewogen	संतुलित	ausgewogen	ADJ	ADJ
संतुलित	ausgewogenheit	संतुलित	ausgewogenheit	ADJ	ADJ
संतुलित	ausgewogenen	संतुलित	ausgewogen	ADJ	ADJ
संतुलित	ausgewogene	संतुलित	ausgewogen	ADJ	ADJ;NOM;FEM;PL
दिमाग	gehirn	दिमाग	gehern	N;NOM;MASC;SG;3	N;NOM;SG
दिमाग	gehirn	दिमाग	gehern	N;NOM;MASC;SG;3	N;NOM;SG
इंटर	inter	इंटर	inter		
टेबल	tafeln	टेबल	tafeln		
जागरूकता	sensibilisierung	जागरूकता	sensibilisierung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कुंजी	tasten	कुंजी	tasten	N;NOM;FEM;SG;3	N
मंदी	krise	मंदी	krise	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मंदी	wirtschaftskrise	मंदी	wirtschaftskrise	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निर्देशांक	koordinierung	निर्देशांक	koordinierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निर्देशांक	koordination	निर्देशांक	koordination	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रशंसक	ventilatoren	प्रशंसक	ventilator	N;NOM;MASC;PL;3	N;NOM;PL
प्रशंसक	ventilatoren	प्रशंसक	ventilator	N;NOM;MASC;PL;3	N;NOM;PL
आँकड़े	statistiken	आँकडा	statistik	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
आँकड़े	statistiken	आँकडा	statistik	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
औजार	tool	औजार	tool	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
औजार	werkzeug	औजार	werkzeug	N;NOM;MASC;SG;3	N;NOM;SG
प्रसंस्करण	bearbeitung	प्रसंस्करण	bearbeitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रसंस्करण	verarbeitung	प्रसंस्करण	verarbeitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रसंस्करण	aufbereitung	प्रसंस्करण	aufbereitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मुद्दा	ausgabe	मुद्दा	ausgeben	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मुद्दा	thema	मुद्दा	thema	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
भाषाएं	programmiersprachen	भाषा	programmiersprachen	N;NOM;FEM;PL;3	N;NOM;FEM;PL
भाषाएं	fremdsprachen	भाषा	fremdsprachen	N;NOM;FEM;PL;3	N;NOM;FEM;PL
तस्वीरें	bilder	तस्वीर	Bild	N;NOM;FEM;PL;3	N;NOM;NEUT;PL
तस्वीरें	bilder	तस्वीर	Bild	N;NOM;FEM;PL;3	N;NOM;NEUT;PL
तस्वीरें	bilder	तस्वीर	Bild	N;NOM;FEM;PL;3	N;NOM;NEUT;PL
आत्मकथा	autobiographie	आत्मकथा	autobiographie	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्लस	plus	प्लस	plus		
प्रस्थान	abgang	प्रस्थान	abgehen	N;NOM;MASC;SG;3	N;SG
दहन	verbrennung	दहन	verbrennung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उधार	anleihe	उधार	anleihen		
सजीव	living	सजीव	living		
यूनिट	einheit	यूनिट	einheit	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कविताएँ	gedichte	कविता	gedicht	N;NOM;FEM;PL;3	N;NOM;NEUT;PL
दीर्घा	galerie	दीर्घा	galerie	N;NOM;FEM;SG;3	N;NOM;FEM;SG
थाई	thai	थाई	thai		
कोर्स	lehrgang	कोर्स	lehrgang	N;NOM;MASC;SG;3	N
वस्तुएं	gegenstände	वस्तु	gegenständ	N;NOM;FEM;PL;3	N;NOM;FEM;PL
परिधि	umfang	परिधि	umfingen		
प्रसव	geburt	प्रसव	geburen	N;NOM;MASC;SG;3	N;SG
उत्तेजित	aufgeregt	उत्तेजित	aufgeregt	ADJ	ADJ
उत्तेजित	gespannt	उत्तेजित	spannen	ADJ	ADJ
उत्तेजित	begeistert	उत्तेजित	begeistern	ADJ	ADJ
क्षतिग्रस्त	beschädigung	क्षतिग्रस्त	Beschädigung	ADJ	ADJ
पंच	schlag	पंच	schlagen		
बोला	sprach	बोल	sprechen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बोला	gesprochen	बोल	sprechen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
विघटन	auflösung	विघटन	auflösung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रासंगिक	relevant	प्रासंगिक	relevant	ADJ	ADJ
प्रासंगिक	relevanz	प्रासंगिक	relevanz	ADJ	ADJ
प्रासंगिक	bedeutung	प्रासंगिक	bedeutung	ADJ	ADJ
प्रासंगिक	relevant	प्रासंगिक	relevant	ADJ	ADJ
प्रासंगिक	relevante	प्रासंगिक	relevant	ADJ	ADJ;NOM;FEM;PL
प्रासंगिक	relevanter	प्रासंगिक	relevant	ADJ	ADJ
प्रासंगिक	einschlägigen	प्रासंगिक	einschlägig	ADJ	ADJ
कूद	sprünge	कूद	sprüngen	N;NOM;FEM;SG;3	N;NOM;SG
रिक्त	null	रिक्त	null		
रिक्त	leere	रिक्त	leer		
रिक्त	leere	रिक्त	leer		
रैंकिंग	rangliste	रैंकिंग	ranglist	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अनु	anu	अनु	anu		
मोर	mor	मोर	mor		
स्थाई	permanente	स्थाई	permanent	ADJ;NOM	ADJ;NOM;FEM;SG
स्थाई	dauerhaft	स्थाई	dauerhaft	ADJ;NOM	ADJ
स्थाई	permanent	स्थाई	permanent	ADJ;NOM	ADJ
स्थाई	ständige	स्थाई	ständig	ADJ;NOM	ADJ;NOM;FEM;PL
स्थाई	ständigen	स्थाई	ständig	ADJ;NOM	ADJ
ढाल	gefälle	ढाल	gefallen		
ढाल	piste	ढाल	piste		
ढाल	gefälle	ढाल	gefallen		
ढाल	rampe	ढाल	rampen		
दरअसल	eigentlich	दरअसल	eigentlich	ADV	ADV
खोलने	öffnungszeiten	खोल	öffnungszeit	V;NFIN;ACT	V;NFIN
खोलने	öffnen	खोल	öffnen	V;NFIN;ACT	V;NFIN
तोड़ने	zerbrechen	तोड़	zerbrechen	V;NFIN;ACT	V;NFIN
तोड़ने	einbruch	तोड़	einbruchen	V;NFIN;ACT	V;IND;SG;3;FIN
तोड़ने	brechen	तोड़	brechen	V;NFIN;ACT	V;NFIN
तोड़ने	durchbrechen	तोड़	durchbrechen	V;NFIN;ACT	V;NFIN
नकल	nachahmung	नकल	nachahmung		
नकल	kopie	नकल	kopie		
परिदृश्य	szenarium	परिदृश्य	szenarium	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कट	ausschneiden	कट	ausschneiden	V;SG;FIN;ACT	V;NFIN
कट	schneiden	कट	schneiden	V;SG;FIN;ACT	V;NFIN
कट	abschneiden	कट	abschneiden	V;SG;FIN;ACT	V;NFIN
हिंसक	gewalttätigen	हिंसक	gewalttätig	ADJ	ADJ
हिंसक	gewalttätig	हिंसक	gewalttätig	ADJ	ADJ
हिंसक	gewalttätige	हिंसक	gewalttätig	ADJ	ADJ;NOM;FEM;PL
हिंसक	gewaltsam	हिंसक	gewaltsam	ADJ	ADJ
हिंसक	heftig	हिंसक	heftig	ADJ	ADJ
सेवाएँ	serviceleistungen	सेवा	serviceleistungen	N;NOM;FEM;PL;3	N;NOM;FEM;PL
सेवाएँ	dienstleistungen	सेवा	dienstleistungen	N;NOM;FEM;PL;3	N;NOM;FEM;PL
बैठने	sitzen	बैठ	sitzen	V;NFIN;ACT	V;NFIN
कवच	rüstung	कवच	rüstung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तैनात	eingesetzte	तैनात	eingesetzt	ADJ	ADJ;NOM;FEM;PL
अनुष्ठान	ritual	अनुष्ठान	ritual	N;NOM;MASC;SG;3	N;NOM;SG
पिक्चर्स	bilder	पिक्चर	Bild	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
कामयाब	erfolgreich	कामयाब	erfolgreich	ADJ	ADJ
कामयाब	erfolgreichen	कामयाब	erfolgreich	ADJ	ADJ
कामयाब	erfolgreiche	कामयाब	erfolgreich	ADJ	ADJ;NOM;FEM;PL
साहस	tapferkeit	साहस	tapferkeit		
सुसज्जित	möbliert	सुसज्जित	möblieren	ADJ	ADJ;V.PTCP
कोट	zitat	कोट	zitat		
कोट	jacke	कोट	jack		
कोट	mantel	कोट	mantel		
कोट	wappen	कोट	wappen		
अपमान	demütigung	अपमान	demütigung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मूवी	kino	मूवी	kino	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
मूवी	kino	मूवी	kino	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
मेटल	metallverarbeitung	मेटल	metallverarbeitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रोफाइल	profil	प्रोफाइल	profil	N;NOM;MASC;SG;3	N;NOM;SG
ब्रिज	brücke	ब्रिज	brücken	N;NOM;MASC;SG;3	N;NOM;FEM;SG
व्याख्यान	vortrag	व्याख्यान	vortragen	N;NOM;MASC;SG;3	N;SG
छोड़ा	ausgelassen	छोड़	auslassen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
छोड़ा	übersprungen	छोड़	überspringen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
छोड़ा	abgebrochen	छोड़	abbrechen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
एक्ट	gesetz	एक्ट	gesetz	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
छठे	sechsten	छठा	sechst	ADJ;ACC;MASC;SG	ADJ;ACC;MASC;SG
छठे	sechster	छठा	sechst	ADJ;ACC;MASC;SG	ADJ
वीज़ा	visum	वीज़ा	visum	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
वीज़ा	visa	वीज़ा	visa	N;NOM;MASC;SG;3	N;NOM;SG
आकाशगंगा	milchstraße	आकाशगंगा	milchstraße	N;NOM;FEM;SG;3	N;NOM;FEM;SG
समायोजन	anpassung	समायोजन	anpassung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समायोजन	anpassung	समायोजन	anpassung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संदिग्ध	verdächtig	संदिग्ध	verdächtig	ADJ;NOM	ADJ
संदिग्ध	misstrauisch	संदिग्ध	misstrauisch	ADJ;NOM	ADJ
संदिग्ध	verdächtiger	संदिग्ध	verdächtiger	ADJ;NOM	ADJ
संदिग्ध	verdächtigen	संदिग्ध	verdächtigen	ADJ;NOM	ADJ
संदिग्ध	verdächtige	संदिग्ध	verdächtige	ADJ;NOM	ADJ;NOM;FEM;PL
संदिग्ध	zweifelhaft	संदिग्ध	zweifelhaft	ADJ;NOM	ADJ
संदिग्ध	zweifelhaften	संदिग्ध	zweifelhaft	ADJ;NOM	ADJ
संदिग्ध	zweifelhafte	संदिग्ध	zweifelhaft	ADJ;NOM	ADJ;NOM;FEM;PL
हां	jep	हाँ	jep		
हां	jap	हाँ	jap		
हां	yes	हाँ	yes		
मॉडलिंग	modellierung	मॉडलिंग	modellierung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मॉडलिंग	modellierung	मॉडलिंग	modellierung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
खुश	fröhlich	खुश	fröhlich	ADJ	ADJ
खुश	glücklich	खुश	glücklich	ADJ	ADJ
खुश	zufrieden	खुश	zufrieden	ADJ	ADJ
हंस	gans	हंस	gans		
हंस	gänse	हंस	gans		
क्रय	ankauf	क्रय	ankauf	N;NOM;MASC;SG;3	N
क्रय	kauf	क्रय	kauf	N;NOM;MASC;SG;3	N;SG
अपहरण	entführung	अपहरण	entführung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ग्रे	grauen	ग्रे	grau		
ग्रे	grauen	ग्रे	grau		
पोल	umfrage	पोल	umfragen		
पोल	umfrage	पोल	umfragen		
गारंटी	gewährleistung	गारंटी	gewährleistung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सातवीं	siebte	सातवां	siebt	ADJ;NOM;FEM;SG	ADJ;NOM;SG
सातवीं	siebenten	सातवां	siebent	ADJ;NOM;FEM;SG	ADJ
सातवीं	siebten	सातवां	siebt	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
सातवीं	siebter	सातवां	siebter	ADJ;NOM;FEM;SG	ADJ
महा	maha	महा	maha		
ऑस्कर	oscarverleihung	ऑस्कर	oscarverleihung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूपांतरित	umgerechnet	रूपांतरित	umgerechnet	ADJ	ADJ
वृत्ति	beruf	वृत्ति	beruf	N;NOM;FEM;SG;3	N;SG
महिलाएँ	weibchen	महिला	weibchen	N;NOM;FEM;PL;3	N;NOM;FEM;PL
सोलह	sechzehn	सोलह	sechzehn	NUM	NUM
भाग्य	glück	भाग्य	glück	N;NOM;MASC;SG;3	N;NOM;SG
भाग्य	bestimmung	भाग्य	bestimmung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भाग्य	glück	भाग्य	glück	N;NOM;MASC;SG;3	N;NOM;SG
पैनल	verkleidung	पैनल	verkleidung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गुट	gruppierung	गुट	gruppierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिस्थापन	ersetzung	प्रतिस्थापन	Ersetzung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिस्थापन	ersetzung	प्रतिस्थापन	Ersetzung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आर्मी	armee	आर्मी	arme	N;NOM;FEM;SG;3	N;NOM;FEM;SG
गर्भवती	schwangeren	गर्भवती	schwangeren	ADJ;NOM	ADJ
गर्भवती	schwangerschaft	गर्भवती	schwangerschaft	ADJ;NOM	ADJ
गर्भवती	schwangere	गर्भवती	schwanger	ADJ;NOM	ADJ;NOM;FEM;PL
गर्भवती	schwanger	गर्भवती	schwanger	ADJ;NOM	ADJ
खरीदा	gekauft	खरीद	kaufen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
खरीदा	erworben	खरीद	erwerben	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
खरीदा	gekauft	खरीद	kaufen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
खरीदा	kaufte	खरीद	kaufen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
सूट	anzug	सूट	anzug	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सूट	anzug	सूट	anzug	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रविष्ट	einfügung	प्रविष्ट	einfügung	N;NOM;MASC;SG;3	N;SG
बर्फ़	eis	बर्फ़	eis	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
विवादित	umstritten	विवादित	umstritten	ADJ	ADJ
विवादित	kontroversen	विवादित	kontrovers	ADJ	ADJ
विवादित	kontroverse	विवादित	kontroverse	ADJ	ADJ;NOM;FEM;SG
विवादित	strittig	विवादित	strittig	ADJ	ADJ
विवादित	kontrovers	विवादित	kontrovers	ADJ	ADJ
विवादित	umstritten	विवादित	umstritten	ADJ	ADJ
बताई	sagte	बता	sagen	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बताई	erzählt	बता	erzählen	V;PFV;FEM;SG;V.PTCP;ACT	V;V.PTCP
बताई	erzählte	बता	erzählen	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बताई	gesagt	बता	sagen	V;PFV;FEM;SG;V.PTCP;ACT	V;V.PTCP
डीन	dekan	डीन	dekan	N;NOM;MASC;SG;3	N
कब्र	grab	कब्र	grab	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
फर्श	etage	फर्श	etag	N;NOM;MASC;SG;3	N;NOM;SG
पैकेज	packung	पैकेज	packung	N;NOM;MASC;SG;3	N;SG
पैकेज	verpackung	पैकेज	verpackung	N;NOM;MASC;SG;3	N
प्रतियोगी	kandidat	प्रतियोगी	kandidat	N;NOM;MASC;SG;3	N
मोती	moti	मोती	moti		
मोती	perl	मोती	perl		
मोती	perle	मोती	perlen		
प्रतिरोधी	antagonisten	प्रतिरोधी	antagonist	N;NOM;MASC;SG;3	N
है	ist	है	sein	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
दया	gnade	दया	gnade		
दया	gnade	दया	gnade		
दया	güte	दया	güt		
अनन्त	ewig	अनन्त	ewig		
सामरिक	strategisch	सामरिक	strategisch	ADJ;NOM	ADJ
सामरिक	strategische	सामरिक	strategisch	ADJ;NOM	ADJ;NOM;FEM;PL
सामरिक	strategisches	सामरिक	strategisch	ADJ;NOM	ADJ;NOM;NEUT;SG
सामरिक	strategischen	सामरिक	strategisch	ADJ;NOM	ADJ
उत्तराधिकार	erbe	उत्तराधिकार	erben	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कारावास	inhaftierung	कारावास	inhaftierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बैठा	sitzt	बैठ	sitzen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
बैठा	sitzen	बैठ	sitzen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
बैठा	saß	बैठ	sitzen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
परमेश्वर	gottes	परमेश्वर	gott	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
परमेश्वर	gott	परमेश्वर	gott	N;NOM;MASC;SG;3	N;NOM;MASC;SG
