年	año	年	año	N	N;MASC;SG
瘤	tumor	瘤	tumor	N	N;MASC;SG
瘤	tumor	瘤	tumor	N	N;MASC;SG
電信	telecom	電信	telecom	N	N;FEM;SG
電信	telecomunicaciones	電信	telecomunicación	N	N;FEM;PL
電信	telecomunicación	電信	telecomunicación	N	N;FEM;SG
電信	telecomunicaciones	電信	telecomunicación	N	N;FEM;PL
電信	telecomunicación	電信	telecomunicación	N	N;FEM;SG
電信	telecomunicaciones	電信	telecomunicación	N	N;FEM;PL
壩	dam	壩	dam	N	N;MASC
壩	presa	壩	presa	N	N;FEM;SG
壩	embalse	壩	embalse	N	N;MASC;SG
壩	represa	壩	represar	N	N;FEM;SG
壩	dique	壩	dique	N	N;MASC;SG
情緒	emoción	情緒	emoción	N	N;FEM;SG
情緒	humor	情緒	humor	N	N;MASC;SG
情緒	ánimo	情緒	ánimo	N	N;MASC;SG
情緒	emociones	情緒	emoción	N	N;FEM;PL
夫妻	pareja	夫妻	pareja	N	N;FEM;SG
夫妻	parejas	夫妻	pareja	N	N;FEM;PL
夫妻	pareja	夫妻	pareja	N	N;FEM;SG
紗	hilo	紗	hilo	N	N;MASC;SG
灌木	arbusto	灌木	arbusto	N	N;MASC;SG
灌木	arbustos	灌木	arbusto	N	N;MASC;PL
甜	dulces	甜	dulce	N	N;MASC;PL
甜	sweet	甜	sweet	N	N
離子	ion	離子	ion	N	N;MASC;SG
離子	iones	離子	ion	N	N;MASC;PL
離子	iones	離子	ion	N	N;MASC;PL
演講	ponencias	演講	ponencia	N	N;FEM;PL
演講	conferencias	演講	conferencia	N	N;FEM;PL
演講	charlas	演講	charla	N	N;FEM;PL
演講	discurso	演講	discurso	N	N;MASC;SG
演講	conferencia	演講	conferencia	N	N;FEM;SG
演講	cátedra	演講	cátedra	N	N;FEM;SG
榴彈	granada	榴彈	granada	N	N;FEM;SG
榴彈	granadas	榴彈	granada	N	N;FEM;PL
偽	pseudo	偽	pseudo		
體制	institución	體制	institución	N	N;FEM;SG
參觀	visite	參觀	visitar	V	V;IMP;SG;3;FIN
參觀	visitar	參觀	visitar	V	V;NFIN
網友	cibernautas	網友	cibernauta	N	N;FEM;PL
網友	internautas	網友	internauta	N	N;PL
土星	saturn	土星	saturn	N	N;FEM;SG
土星	saturno	土星	saturno	N	N;MASC;SG
吉他	guitarrista	吉他	guitarrista	N	N;SG
線路	línea	線路	línea	N	N;FEM;SG
線路	linea	線路	linea	N	N;FEM;SG
挖掘	excavando	挖掘	excavar	V	V;V.MSDR
挖掘	cavando	挖掘	cavar	V	V;V.MSDR
挖掘	cavar	挖掘	cavar	V	V;NFIN
挖掘	excavar	挖掘	excavar	V	V;NFIN
槍械	pistolas	槍械	pistola	N	N;FEM;PL
槍械	guns	槍械	guns	N	N
槍械	fusiles	槍械	fusil	N	N;MASC;PL
槍械	cañones	槍械	cañón	N	N;MASC;PL
槍械	armas	槍械	arma	N	N;FEM;PL
槍械	armas	槍械	arma	N	N;FEM;PL
喉	garganta	喉	garganta	N	N;FEM;SG
順序	orden	順序	orden	N	N;MASC;SG
順序	encargo	順序	encargo	N	N;MASC;SG
順序	secuencia	順序	secuencia	N	N;FEM;SG
順序	secuencias	順序	secuencia	N	N;FEM;PL
順序	sucesión	順序	sucesión	N	N;FEM;SG
護照	pasaporte	護照	pasaporte	N	N;MASC;SG
護照	pasaportes	護照	pasaporte	N	N;MASC;PL
護照	pasaporte	護照	pasaporte	N	N;MASC;SG
罪行	crímenes	罪行	crimen	N	N;MASC;PL
罪行	delitos	罪行	delito	N	N;MASC;PL
罪行	crimenes	罪行	crimen	N	N;MASC;PL
條款	cláusula	條款	cláusula	N	N;FEM;SG
條款	cláusulas	條款	cláusula	N	N;FEM;PL
條款	términos	條款	término	N	N;MASC;PL
條款	terminos	條款	termino	N	N;MASC;PL
條款	condiciones	條款	condición	N	N;FEM;PL
管道	conductos	管道	conducto	N	N;MASC;PL
管道	conducto	管道	conducto	N	N;MASC;SG
管道	gasoducto	管道	gasoducto	N	N;MASC;SG
管道	tubería	管道	tuber	N	N;FEM;SG
管道	oleoductos	管道	oleoducto	N	N;MASC;PL
管道	oleoducto	管道	oleoducto	N	N;MASC;SG
管道	tuberías	管道	tubería	N	N;FEM;PL
管道	tubos	管道	tubo	N	N;MASC;PL
管道	caños	管道	caño	N	N;MASC;PL
管道	pipas	管道	pipa	N	N;FEM;PL
管道	tubo	管道	tubo	N	N;MASC;SG
管道	tubería	管道	tuber	N	N;FEM;SG
管道	pipa	管道	pipa	N	N;FEM;SG
管道	tuberías	管道	tubería	N	N;FEM;PL
管道	tubería	管道	tuber	N	N;FEM;SG
管道	tuberías	管道	tubería	N	N;FEM;PL
管道	plomería	管道	plomería	N	N;FEM;SG
管道	fontanería	管道	fontanería	N	N;FEM;SG
路徑	sendero	路徑	sendero	N	N;MASC;SG
路徑	path	路徑	path	N	N
路徑	camino	路徑	camino	N	N;MASC;SG
路徑	surco	路徑	surco	N	N;MASC;SG
路徑	vías	路徑	vía	N	N;FEM;PL
路徑	senderos	路徑	sendero	N	N;MASC;PL
路徑	caminos	路徑	camino	N	N;MASC;PL
被	mató	被	matar	V;PASS	V;IND;SG;3;PST;FIN
宗教	religion	宗教	religion	N	N;FEM;SG
宗教	religiones	宗教	religión	N	N;FEM;PL
宗教	religión	宗教	religión	N	N;FEM;SG
墓地	cementerio	墓地	cementerio	N	N;MASC;SG
墓地	cementerio	墓地	cementerio	N	N;MASC;SG
看台	stands	看台	stands	N	N;MASC;PL
範	camioneta	範	camioneta	N	N;FEM;SG
範	furgoneta	範	furgoneta	N	N;FEM;SG
範	abanico	範	abanico	N	N;MASC;SG
範	ventilador	範	ventilador	N	N;MASC;SG
範	admirador	範	admirador	N	N;MASC;SG
範	fan	範	fan	N	N;SG
變形	transformarse	變形	transformar	V	V;SBJV;SG;3;PRS;FIN
變形	transformar	變形	transformar	V	V;NFIN
變形	transforma	變形	transformar	V	V;IND;SG;3;PRS;FIN
歡樂	alegria	歡樂	alegria	N	N;FEM;SG
歡樂	alegría	歡樂	alegría	N	N;FEM;SG
歡樂	gozo	歡樂	gozo	N	N;MASC;SG
笛	flauta	笛	flauta	N	N;FEM;SG
海報	poster	海報	poster	N	N;MASC;SG
海報	afiche	海報	afiche	N	N;MASC;SG
海報	cartel	海報	cartel	N	N;MASC;SG
海報	póster	海報	póster	N	N;MASC;SG
海報	afiches	海報	afiche	N	N;MASC;PL
海報	posters	海報	poster	N	N;MASC;PL
海報	carteles	海報	cartel	N	N;MASC;PL
心臟	corazón	心臟	corazón	N	N;MASC;SG
心臟	corazon	心臟	corazon	N	N;MASC;SG
心臟	heart	心臟	heart	N	N
否認	niegan	否認	negar	V	V;IND;PL;3;PRS;FIN
否認	negar	否認	negar	V	V;NFIN
否認	denegar	否認	denegar	V	V;NFIN
否認	niegue	否認	niegue	V	V;IMP;SG;3;FIN
否認	negar	否認	negar	V	V;NFIN
否認	negando	否認	negar	V	V;V.MSDR
公正	imparcialidad	公正	imparcialidad	N	N;FEM;SG
公正	equidad	公正	equidad	N	N;FEM;SG
公正	imparcialidad	公正	imparcialidad	N	N;FEM;SG
公正	justicia	公正	justicia	N	N;FEM;SG
較低	inferior	較低	inferior	ADJ	ADJ;SG
鳥類	pajaritos	鳥類	pajarito	N	N;MASC;PL
鳥類	aves	鳥類	ave	N	N;FEM;PL
鳥類	pájaros	鳥類	pájaro	N	N;MASC;PL
攜	llevar	攜	llevar	V	V;NFIN
攜	portando	攜	portar	V	V;V.MSDR
攜	llevando	攜	llevar	V	V;V.MSDR
電機	motor	電機	motor	N	N;MASC;SG
圖案	patrón	圖案	patrón	N	N;MASC;SG
圖案	patrones	圖案	patrón	N	N;MASC;PL
圖案	patron	圖案	patron	N	N;MASC;SG
圖案	pauta	圖案	pauta	N	N;FEM;SG
童軍	scout	童軍	scout	N	N;SG
童軍	explorador	童軍	explorador	N	N;MASC;SG
童軍	cazatalentos	童軍	cazatalento	N	N;MASC;PL
童軍	exploradores	童軍	explorador	N	N;MASC;PL
童軍	scouts	童軍	scout	N	N;PL
昆蟲	insectos	昆蟲	insecto	N	N;MASC;PL
昆蟲	insectos	昆蟲	insecto	N	N;MASC;PL
昆蟲	insecto	昆蟲	insecto	N	N;MASC;SG
部件	widget	部件	widget	N	N;MASC;SG
部件	repuestos	部件	repuesto	N	N;MASC;PL
部件	piezas	部件	pieza	N	N;FEM;PL
部件	partes	部件	parte	N	N;FEM;PL
男友	novio	男友	novio	N	N;MASC;SG
男友	novios	男友	novio	N	N;MASC;PL
卡片	cartas	卡片	carta	N	N;FEM;PL
卡片	naipes	卡片	naipe	N	N;MASC;PL
卡片	baraja	卡片	barajar	N	N;FEM;SG
卡片	tarjetas	卡片	tarjeta	N	N;FEM;PL
卡片	tarjeta	卡片	tarjeta	N	N;FEM;SG
卡片	tarjetas	卡片	tarjeta	N	N;FEM;PL
卡片	card	卡片	card	N	N
集體	colectivo	集體	colectivo	N	N;MASC;SG
集體	colectividad	集體	colectividad	N	N;FEM;SG
集體	colectivos	集體	colectivo	N	N;MASC;PL
胎	neumático	胎	neumático	N	N;MASC;SG
胎	llanta	胎	llantar	N	N;FEM;SG
近似	aproximar	近似	aproximar	V	V;NFIN
人名	nombres	人名	nombre	N	N;MASC;PL
熱門	populares	熱門	popular	N	N;PL
熱門	cima	熱門	cima	N	N;FEM;SG
熱門	tendencias	熱門	tendencia	N	N;FEM;PL
熱門	tendencia	熱門	tendencia	N	N;FEM;SG
崛起	rise	崛起	rise	N	N
崛起	levántate	崛起	levántate	N	N;FEM;SG
崛起	subida	崛起	subida	N	N;FEM;SG
中隊	escuadra	中隊	escuadra	N	N;FEM;SG
中隊	escuadrón	中隊	escuadrón	N	N;MASC;SG
分手	ruptura	分手	ruptura	N	N;FEM;SG
分手	rompimiento	分手	rompimiento	N	N;MASC;SG
分手	disolución	分手	disolución	N	N;FEM;SG
貨運	cargo	貨運	cargo	N	N;MASC;SG
貨運	cargamento	貨運	cargamento	N	N;MASC;SG
貨運	carga	貨運	carga	N	N;FEM;SG
貨運	cargamento	貨運	cargamento	N	N;MASC;SG
貨運	envío	貨運	envío	N	N;MASC;SG
貨運	envíos	貨運	envío	N	N;MASC;PL
貨運	fletes	貨運	flete	N	N;MASC;PL
貨運	flete	貨運	flete	N	N;MASC;SG
貨運	mercancías	貨運	mercancía	N	N;FEM;PL
水泥	hormigón	水泥	hormigón	N	N;MASC;SG
水泥	cemento	水泥	cemento	N	N;MASC;SG
水泥	cemento	水泥	cemento	N	N;MASC;SG
隊友	mate	隊友	mate	N	N;SG
同位	isótopo	同位	isótopo	N	N;MASC;SG
同位	isótopos	同位	isótopo	N	N;MASC;PL
同位	isótopo	同位	isótopo	N	N;MASC;SG
教皇	papa	教皇	papa	N	N;MASC;SG
大使	embajadas	大使	embajada	N	N;FEM;PL
大使	embajada	大使	embajada	N	N;FEM;SG
大使	embajadas	大使	embajada	N	N;FEM;PL
財產	propiedad	財產	propiedad	N	N;FEM;SG
財產	propiedades	財產	propiedad	N	N;FEM;PL
財產	inmueble	財產	inmueble	N	N;MASC;SG
優先	prelación	優先	prelación	N	N;FEM;SG
優先	prioridad	優先	prioridad	N	N;FEM;SG
碎片	fragmentos	碎片	fragmento	N	N;MASC;PL
碎片	escombros	碎片	escombro	N	N;MASC;PL
碎片	desechos	碎片	desecho	N	N;MASC;PL
碎片	astilla	碎片	astilla	N	N;FEM;SG
怒	rabia	怒	rabia	N	N;FEM;SG
怒	ira	怒	ira	N	N;FEM;SG
怒	enojo	怒	enojo	N	N;MASC;SG
怒	enfado	怒	enfado	N	N;MASC;SG
怒	cólera	怒	cólera	N	N;FEM;SG
怒	ira	怒	ira	N	N;FEM;SG
怒	rabia	怒	rabia	N	N;FEM;SG
怒	rage	怒	rage	N	N;MASC;SG
密集	intensivos	密集	intensivo	N	N;MASC;PL
缺陷	defecto	缺陷	defecto	N	N;MASC;SG
缺陷	falla	缺陷	fallar	N	N;FEM;SG
缺陷	defectos	缺陷	defecto	N	N;MASC;PL
缺陷	fallas	缺陷	falla	N	N;FEM;PL
缺陷	defecto	缺陷	defecto	N	N;MASC;SG
缺陷	deficiencias	缺陷	deficiencia	N	N;FEM;PL
缺陷	defectos	缺陷	defecto	N	N;MASC;PL
流星	meteoro	流星	meteoro	N	N;MASC;SG
流星	meteorito	流星	meteorito	N	N;MASC;SG
對稱	simetría	對稱	simetría	N	N;FEM;SG
電訊	telecom	電訊	telecom	N	N;FEM;SG
電訊	telecomunicaciones	電訊	telecomunicación	N	N;FEM;PL
電訊	telecomunicación	電訊	telecomunicación	N	N;FEM;SG
電訊	telecomunicaciones	電訊	telecomunicación	N	N;FEM;PL
電訊	telecomunicación	電訊	telecomunicación	N	N;FEM;SG
電訊	telecomunicaciones	電訊	telecomunicación	N	N;FEM;PL
戲院	teatros	戲院	teatro	N	N;MASC;PL
戲院	teatro	戲院	teatro	N	N;MASC;SG
戲院	teatros	戲院	teatro	N	N;MASC;PL
戲院	teatro	戲院	teatro	N	N;MASC;SG
戲院	cine	戲院	cine	N	N;MASC;SG
戲院	cinema	戲院	cinema	N	N;MASC;SG
加密	cifrar	加密	cifrar	V	V;NFIN
海盜	pirata	海盜	pirata	N	N;SG
海盜	piratas	海盜	pirata	N	N;PL
流程	caudal	流程	caudal	N	N;MASC;SG
流程	flow	流程	flow	N	N
流程	flujo	流程	flujo	N	N;MASC;SG
武術	marcial	武術	marcial	N	N;MASC;SG
武術	marciales	武術	marciales	N	N;PL
武術	wushu	武術	wushu	N	N;MASC;SG
星球	planet	星球	planet	N	N;SG
星球	planeta	星球	planeta	N	N;MASC;SG
謎	misterio	謎	misterio	N	N;MASC;SG
謎	misterios	謎	misterio	N	N;MASC;PL
謎	rompecabezas	謎	rompecabeza	N	N;FEM;PL
謎	puzzle	謎	puzzle	N	N;MASC;SG
謎	enigma	謎	enigmar	N	N;MASC;SG
後備	refuerzos	後備	refuerzo	N	N;MASC;PL
後備	respaldo	後備	respaldo	N	N;MASC;SG
據點	baluarte	據點	baluarte	N	N;MASC;SG
男爵	barón	男爵	barón	N	N;MASC;SG
男爵	baron	男爵	bar	N	N;MASC;SG
長者	ancianos	長者	anciano	N	N;MASC;PL
長者	ancianos	長者	anciano	N	N;MASC;PL
長者	anciano	長者	anciano	N	N;MASC;SG
長者	anciana	長者	anciana	N	N;FEM;SG
航海	navegación	航海	navegación	N	N;FEM;SG
航海	velero	航海	velero	N	N;MASC;SG
航海	vela	航海	vela	N	N;FEM;SG
師團	divisiones	師團	división	N	N;FEM;PL
末端	extremos	末端	extremo	N	N;MASC;PL
痛苦	sufrimientos	痛苦	sufrimiento	N	N;MASC;PL
痛苦	sufrimiento	痛苦	sufrimiento	N	N;MASC;SG
痛苦	dolores	痛苦	dolor	N	N;MASC;PL
痛苦	dolor	痛苦	dolor	N	N;MASC;SG
助攻	asistencias	助攻	asistencia	N	N;FEM;PL
數值	valores	數值	valor	N	N;MASC;PL
數值	value	數值	valar	N	N
數值	valor	數值	valor	N	N;MASC;SG
月亮	luna	月亮	luna	N	N;FEM;SG
月亮	moon	月亮	moon	N	N
司機	chófer	司機	chófer	N	N;MASC;SG
司機	chofer	司機	chofer	N	N;MASC;SG
司機	controlador	司機	controlador	N	N;MASC;SG
司機	driver	司機	driver	N	N;MASC;SG
司機	chofer	司機	chofer	N	N;MASC;SG
司機	conductor	司機	conductor	N	N;MASC;SG
司機	chófer	司機	chófer	N	N;MASC;SG
滅亡	perecer	滅亡	perecer	V	V;NFIN
叛亂	insurrección	叛亂	insurrección	N	N;FEM;SG
叛亂	insurgencia	叛亂	insurgencia	N	N;FEM;SG
叛亂	rebelión	叛亂	rebelión	N	N;FEM;SG
叛亂	revuelta	叛亂	revuelta	N	N;FEM;SG
叛亂	motín	叛亂	motín	N	N;MASC;SG
叛亂	rebelión	叛亂	rebelión	N	N;FEM;SG
碰撞	chocan	碰撞	chocar	V	V;IND;PL;3;PRS;FIN
簽	firme	簽	firmar	V	V;SBJV;SG;3;PRS;FIN
簽	firmar	簽	firmar	V	V;NFIN
契約	compactos	契約	compacto	N	N;MASC;PL
契約	pacto	契約	pacto	N	N;MASC;SG
契約	compactos	契約	compacto	N	N;MASC;PL
契約	pactos	契約	pacto	N	N;MASC;PL
階級	clase	階級	clase	N	N;FEM;SG
階級	class	階級	clas	N	N;FEM;SG
階級	clases	階級	clase	N	N;FEM;PL
圓形	circunferencia	圓形	circunferencia	N	N;FEM;SG
圓形	círculo	圓形	círculo	N	N;MASC;SG
圓形	circle	圓形	circle	N	N
圓形	circulo	圓形	circulo	N	N;MASC;SG
丘陵	colinas	丘陵	colina	N	N;FEM;PL
丘陵	cerros	丘陵	cerros	N	N;MASC;PL
學科	disciplinas	學科	disciplina	N	N;FEM;PL
後面	detras	後面	detra	N	N;FEM;SG
個	individuo	個	individuo	N	N;MASC;SG
駁	despedir	駁	despedir	V	V;NFIN
駁	descartar	駁	descartar	V	V;NFIN
動態	feed	動態	feed	N	N;MASC;SG
動態	alimentación	動態	alimentación	N	N;FEM;SG
動態	piensos	動態	pienso	N	N;MASC;PL
動態	alimento	動態	alimento	N	N;MASC;SG
動態	historia	動態	historia	N	N;FEM;SG
動態	story	動態	story	N	N
動態	dinamismo	動態	dinamismo	N	N;MASC;SG
動態	dynamic	動態	dynamic	N	N
動態	dinámica	動態	dinámica	N	N;FEM;SG
動態	historias	動態	historia	N	N;FEM;PL
動態	relatos	動態	relato	N	N;MASC;PL
動態	cuentos	動態	cuento	N	N;MASC;PL
動態	actividad	動態	actividad	N	N;FEM;SG
動態	dinámica	動態	dinámica	N	N;FEM;SG
大氣	atmosfera	大氣	atmosfero	N	N;FEM;SG
大氣	ambiente	大氣	ambiente	N	N;MASC;SG
大氣	atmósfera	大氣	atmósfera	N	N;FEM;SG
大氣	atmósfera	大氣	atmósfera	N	N;FEM;SG
預期	expectativa	預期	expectativa	N	N;FEM;SG
預期	expectación	預期	expectación	N	N;FEM;SG
預期	expectativas	預期	expectativa	N	N;FEM;PL
預期	expectativa	預期	expectativa	N	N;FEM;SG
流感	influenza	流感	influenza	N	N;FEM;SG
流感	gripe	流感	gripe	N	N;FEM;SG
流感	gripe	流感	gripe	N	N;FEM;SG
劇院	teatros	劇院	teatro	N	N;MASC;PL
劇院	teatro	劇院	teatro	N	N;MASC;SG
劇院	teatros	劇院	teatro	N	N;MASC;PL
劇院	teatro	劇院	teatro	N	N;MASC;SG
人格	personalidades	人格	personalidad	N	N;FEM;PL
人格	personalidad	人格	personalidad	N	N;FEM;SG
人格	personalidad	人格	personalidad	N	N;FEM;SG
瘋狂	crazy	瘋狂	crazy	N	N;MASC;SG
瘋狂	locura	瘋狂	locura	N	N;FEM;SG
瘋狂	locura	瘋狂	locura	N	N;FEM;SG
綽號	apodo	綽號	apodo	N	N;MASC;SG
綽號	mote	綽號	mote	N	N;MASC;SG
綽號	sobrenombre	綽號	sobrenombre	N	N;MASC;SG
綽號	apodos	綽號	apodo	N	N;MASC;PL
幽默	humor	幽默	humor	N	N;MASC;SG
幽默	humor	幽默	humor	N	N;MASC;SG
實體	entidades	實體	entidad	N	N;FEM;PL
實體	entes	實體	ente	N	N;MASC;PL
實體	entidad	實體	entidad	N	N;FEM;SG
異常	anormales	異常	anormal	ADJ	ADJ;PL
異常	anormal	異常	anormal	ADJ	ADJ;SG
異常	inusuales	異常	inusual	ADJ	ADJ;PL
異常	insólito	異常	insólito	ADJ	ADJ;MASC;SG
異常	inusual	異常	inusual	ADJ	ADJ;SG
每	cada	每	cada	DET	DET;SG
口號	eslóganes	口號	eslógan	N	N;MASC;PL
口號	consignas	口號	consigna	N	N;FEM;PL
口號	lemas	口號	lema	N	N;MASC;PL
口號	consigna	口號	consigna	N	N;FEM;SG
口號	eslogan	口號	eslogan	N	N;MASC;SG
口號	lema	口號	lema	N	N;MASC;SG
翻新	reacondicionamiento	翻新	reacondicionamiento	N	N;MASC;SG
翻新	remodelación	翻新	remodelación	N	N;FEM;SG
翻新	renovación	翻新	renovación	N	N;FEM;SG
翻新	renovaciones	翻新	renovación	N	N;FEM;PL
元帥	alguacil	元帥	alguacil	N	N;MASC;SG
元帥	mariscal	元帥	mariscal	N	N;MASC;SG
元帥	marshal	元帥	marshal	N	N;SG
元帥	comisario	元帥	comisario	N	N;MASC;SG
頸	cuello	頸	cuello	N	N;MASC;SG
頜	mandíbula	頜	mandíbula	N	N;FEM;SG
獎章	medalla	獎章	medalla	N	N;FEM;SG
獎章	medallas	獎章	medalla	N	N;FEM;PL
獎章	medallón	獎章	medallón	N	N;MASC;SG
獎章	medallas	獎章	medalla	N	N;FEM;PL
症狀	síntomas	症狀	síntoma	N	N;MASC;PL
症狀	síntoma	症狀	síntoma	N	N;MASC;SG
蹄	pezuñas	蹄	pezuña	N	N;FEM;PL
蹄	pezuña	蹄	pezuña	N	N;FEM;SG
神聖	sagrado	神聖	sagrado	ADJ	ADJ;MASC;SG
神聖	sagrados	神聖	sagrado	ADJ	ADJ;MASC;PL
神聖	sagrada	神聖	sagrado	ADJ	ADJ;FEM;SG
神聖	santa	神聖	santo	ADJ	ADJ;FEM;SG
地表	superficie	地表	superficie	N	N;FEM;SG
學位	grados	學位	grado	N	N;MASC;PL
學位	títulos	學位	título	N	N;MASC;PL
學位	titulaciones	學位	titulación	N	N;FEM;PL
學位	grado	學位	grado	N	N;MASC;SG
學位	licenciatura	學位	licenciatura	N	N;FEM;SG
光譜	espectros	光譜	espectro	N	N;MASC;PL
光譜	espectro	光譜	espectro	N	N;MASC;SG
光譜	espectro	光譜	espectro	N	N;MASC;SG
光譜	espectroscopia	光譜	espectroscopia	N	N;FEM;SG
景點	atracciones	景點	atracción	N	N;FEM;PL
景點	atracción	景點	atracción	N	N;FEM;SG
適用	aplicar	適用	aplicar	V	V;NFIN
適用	aplica	適用	aplicar	V	V;IND;SG;3;PRS;FIN
適用	aplique	適用	aplicar	V	V;SBJV;SG;3;FIN
業餘	amateurs	業餘	amateur	N	N;FEM;PL
業餘	aficionados	業餘	aficionado	N	N;MASC;PL
業餘	aficionados	業餘	aficionado	N	N;MASC;PL
業餘	amateur	業餘	amateur	N	N;FEM;SG
鯊	tiburones	鯊	tiburón	N	N;MASC;PL
鯊	tiburón	鯊	tiburón	N	N;MASC;SG
腹	abdomen	腹	abdomen	N	N;MASC;SG
寬頻	broadband	寬頻	broadband	N	N;FEM;SG
致命	mortales	致命	mortal	N	N;PL
魚雷	torpedo	魚雷	torpedo	N	N;MASC;SG
魚雷	torpedos	魚雷	torpedo	N	N;MASC;PL
魚雷	torpedos	魚雷	torpedo	N	N;MASC;PL
模糊	fuzzy	模糊	fuzzy	N	N
模糊	borrón	模糊	borrón	N	N;MASC;SG
猿	simios	猿	simio	N	N;MASC;PL
猿	simio	猿	simio	N	N;MASC;SG
猿	simios	猿	simio	N	N;MASC;PL
盆	cuenca	盆	cuenca	N	N;FEM;SG
極限	límite	極限	límite	N	N;MASC;SG
極限	límites	極限	límite	N	N;MASC;PL
極限	limites	極限	limit	N	N;MASC;PL
極限	extremo	極限	extremo	N	N;MASC;SG
極限	extreme	極限	extreme	N	N
極限	extremos	極限	extremo	N	N;MASC;PL
蜂	abeja	蜂	abejar	N	N;FEM;SG
蜂	bee	蜂	bee	N	N
續集	secuelas	續集	secuela	N	N;FEM;PL
續集	secuela	續集	secuelo	N	N;FEM;SG
碗	bowl	碗	bowl	N	N;MASC;SG
碗	bol	碗	bol	N	N;MASC;SG
碗	cuenco	碗	cuenco	N	N;MASC;SG
碗	tazón	碗	tazón	N	N;MASC;SG
碗	tazones	碗	tazón	N	N;MASC;PL
拼	conjuro	拼	conjuro	N	N;MASC;SG
拼	hechizo	拼	hechizo	N	N;MASC;SG
級別	nivel	級別	nivel	N	N;MASC;SG
級別	level	級別	level	N	N
代表	delegación	代表	delegación	N	N;FEM;SG
代表	delegaciones	代表	delegación	N	N;FEM;PL
代表	delegaciones	代表	delegación	N	N;FEM;PL
看	parece	看	parecer	V	V;IND;SG;3;PRS;FIN
挖	excavar	挖	excavar	V	V;NFIN
挖	cavar	挖	cavar	V	V;NFIN
挖	excavando	挖	excavar	V	V;V.MSDR
挖	cavando	挖	cavar	V	V;V.MSDR
挖	cavar	挖	cavar	V	V;NFIN
挖	excavar	挖	excavar	V	V;NFIN
集會	asambleas	集會	asamblea	N	N;FEM;PL
集會	montajes	集會	montaje	N	N;MASC;PL
集會	manifestaciones	集會	manifestación	N	N;FEM;PL
集會	rally	集會	rally	N	N;MASC;SG
集會	mitin	集會	mitin	N	N;MASC;SG
區分	diferenciación	區分	diferenciación	N	N;FEM;SG
區分	distinción	區分	distinción	N	N;FEM;SG
區分	distinciones	區分	distinción	N	N;FEM;PL
區分	distinción	區分	distinción	N	N;FEM;SG
傷亡	bajas	傷亡	baja	N	N;FEM;PL
傷亡	víctimas	傷亡	víctima	N	N;FEM;PL
傷亡	bajas	傷亡	baja	N	N;FEM;PL
傷亡	siniestro	傷亡	siniestro	N	N;MASC;SG
信心	faith	信心	faith	N	N
信心	fe	信心	fe	N	N;FEM;SG
信心	confianza	信心	confianza	N	N;FEM;SG
法文	francés	法文	francés	N	N;MASC;SG
法文	franceses	法文	francés	N	N;MASC;PL
明天	manana	明天	manana	N	N;FEM;SG
明天	tomorrow	明天	tomorrow	N	N;MASC;SG
場合	ocasión	場合	ocasión	N	N;FEM;SG
杖	vara	杖	vara	N	N;FEM;SG
杖	varilla	杖	varilla	N	N;FEM;SG
杖	caña	杖	caña	N	N;FEM;SG
先鋒	pioneer	先鋒	pioneer	N	N;SG
先鋒	pioneros	先鋒	pionero	N	N;MASC;PL
先鋒	vanguardia	先鋒	vanguardia	N	N;FEM;SG
先鋒	pioneros	先鋒	pionero	N	N;MASC;PL
動詞	verbos	動詞	verbo	N	N;MASC;PL
動詞	verbo	動詞	verbo	N	N;MASC;SG
動詞	verbos	動詞	verbo	N	N;MASC;PL
體積	volumen	體積	volumen	N	N;MASC;SG
體積	size	體積	sizar	N	N
體積	talla	體積	talla	N	N;FEM;SG
體積	tamaño	體積	tamaño	N	N;MASC;SG
暗殺	asesinato	暗殺	asesinato	N	N;MASC;SG
暗殺	asesinatos	暗殺	asesinato	N	N;MASC;PL
暗殺	asesinatos	暗殺	asesinato	N	N;MASC;PL
燃燒	arde	燃燒	arder	V	V;IND;SG;3;PRS;FIN
燃燒	quema	燃燒	quema	V	V;IND;SG;3;PRS;FIN
燃燒	quemar	燃燒	quemar	V	V;NFIN
燃燒	ardiendo	燃燒	arder	V	V;V.MSDR
燃燒	quema	燃燒	quema	V	V;IND;SG;3;PRS;FIN
燃燒	quemando	燃燒	quemar	V	V;V.MSDR
燃燒	quemar	燃燒	quemar	V	V;NFIN
感受	sentir	感受	sentir	V	V;NFIN
感受	siente	感受	sentir	V	V;IND;SG;3;PRS;FIN
感受	siento	感受	sentir	V	V;IND;SG;1;PRS;FIN
感受	sintiendo	感受	sentir	V	V;V.MSDR
射程	alcance	射程	alcance	N	N;MASC;SG
射程	intervalo	射程	intervalo	N	N;MASC;SG
射程	gama	射程	gama	N	N;FEM;SG
射程	rango	射程	rango	N	N;MASC;SG
射程	cordillera	射程	cordillera	N	N;FEM;SG
魅力	glamour	魅力	glamour	N	N;MASC;SG
魅力	carisma	魅力	carisma	N	N;MASC;SG
魅力	encanto	魅力	encanto	N	N;MASC;SG
茄	solanum	茄	solanum	N	N
茄	berenjenas	茄	berenjena	N	N;FEM;PL
茄	berenjena	茄	berenjena	N	N;FEM;SG
起義	sublevación	起義	sublevación	N	N;FEM;SG
起義	insurrección	起義	insurrección	N	N;FEM;SG
起義	levantamiento	起義	levantamiento	N	N;MASC;SG
