का	de	का	de	ADP;NOM;MASC;SG	ADP
घोटाला	escándalo	घोटाला	escándalo	N;NOM;MASC;SG;3	N
ईर्ष्या	ciumento	ईर्ष्या	ciumento	N;NOM;FEM;SG;3	N
मेडल	medalla	मेडल	medalla	N;NOM;MASC;SG;3	N
गायों	vacas	गाया	vaca	N;ACC;MASC;PL;3	N
गायकों	canta	गायक	canta	N;ACC;MASC;PL;3	N
किनारा	fronteira	किनारा	fronteira	N;NOM;MASC;SG;3	N
किनारा	lados	किनारा	lado	N;NOM;MASC;SG;3	N
किनारा	bandos	किनारा	bando	N;NOM;MASC;SG;3	N
किनारा	caras	किनारा	cara	N;NOM;MASC;SG;3	N
बुर्ज	torre	बुर्ज	torre	N;NOM;MASC;SG;3	N
बंदरगाहों	porto	बंदरगाह	porto	N;ACC;MASC;PL;3	N
वर्षगांठ	aniversario	वर्षगांठ	aniversario	N;NOM;FEM;SG;3	N
आर्किटेक्चर	arquitectura	आर्किटेक्चर	arquitectura	N;NOM;MASC;SG;3	N
फैक्ट्री	fábrica	फैक्ट्री	fábrica	N;NOM;FEM;SG;3	N
फैक्ट्री	fábricas	फैक्ट्री	fábrica	N;NOM;FEM;SG;3	N
फैक्ट्री	industriais	फैक्ट्री	industrial	N;NOM;FEM;SG;3	N
वॉर्स	guerras	वॉर्स	guerra	N;NOM;MASC;SG;3	N
वॉर्स	guerra	वॉर्स	guerra	N;NOM;MASC;SG;3	N
वायरल	viral	वायरल	viral	N;NOM;MASC;SG;3	N
एडवेंचर	aventura	एडवेंचर	aventura	N;NOM;MASC;SG;3	N
घंटी	campá	घंटी	campá	N;NOM;FEM;SG;3	N
प्लान	plan	प्लान	plan	N;NOM;MASC;SG;3	N
प्लान	plano	प्लान	plano	N;NOM;MASC;SG;3	N
प्लान	posición	प्लान	posición	N;NOM;MASC;SG;3	N
प्लान	oferta	प्लान	oferta	N;NOM;MASC;SG;3	N
माफी	desculpas	माफी	desculpa	N;NOM;FEM;SG;3	N
दंगों	disturbios	दंगा	disturbio	N;ACC;MASC;PL;3	N
वर्ड	palabra	वर्ड	palabra	N;NOM;MASC;SG;3	N
प्रभार	cargo	प्रभार	cargo	N;NOM;MASC;SG;3	N
प्रभार	mando	प्रभार	mando	N;NOM;MASC;SG;3	N
प्रभार	cargos	प्रभार	cargo	N;NOM;MASC;SG;3	N
प्रभार	carga	प्रभार	carga	N;NOM;MASC;SG;3	N
जुलूस	desfile	जुलूस	desfile	N;NOM;MASC;SG;3	N
बधाई	parabéns	बधाई	parabén	N;NOM;FEM;SG;3	N
हॉस्पिटल	hospital	हॉस्पिटल	hospital	N;NOM;MASC;SG;3	N
प्रांगण	patio	प्रांगण	patio	N;NOM;MASC;SG;3	N
उठी	criados	उठ	criar	V;PFV;FEM;SG;V.PTCP;ACT	V
उठी	criamos	उठ	criar	V;PFV;FEM;SG;V.PTCP;ACT	V
स्विंग	abaneo	स्विंग	abaneo	N;NOM;FEM;SG;3	N
स्विंग	xuntas	स्विंग	xunta	N;NOM;FEM;SG;3	N
टिप्पणियाँ	comentarios	टिप्पणी	comentario	N;NOM;FEM;PL;3	N
गिरी	caeu	गिर	caeu	V;PFV;FEM;SG;V.PTCP;ACT	V
गिरी	namorou	गिर	namorar	V;PFV;FEM;SG;V.PTCP;ACT	V
गिरी	adormeceu	गिर	adormecer	V;PFV;FEM;SG;V.PTCP;ACT	V
जागरूक	consciente	जागरूक	consciente	ADJ	ADJ
जागरूक	conscientes	जागरूक	consciente	ADJ	ADJ
विषयवस्तु	contido	विषयवस्तु	contido	N;NOM;FEM;SG;3	N
एजेंटों	axentes	एजेंट	axente	N;ACC;MASC;PL;3	N
प्रेमियों	amantes	प्रेमी	amante	N;ACC;MASC;PL;3	N
आनुवंशिकी	xenética	आनुवंशिकी	xenético	ADJ	ADJ
हथेली	palma	हथेला	palma	N;NOM;FEM;SG;3	N
बटालियन	batallón	बटालियन	batallón	N;NOM;FEM;SG;3	N
पिछला	último	पिछला	último	ADJ;NOM;MASC;SG	ADJ
पिछला	últimos	पिछला	último	ADJ;NOM;MASC;SG	ADJ
पिछला	pasado	पिछला	pasado	ADJ;NOM;MASC;SG	ADJ
पिछला	última	पिछला	último	ADJ;NOM;MASC;SG	ADJ
पिछला	anteriores	पिछला	anterior	ADJ;NOM;MASC;SG	ADJ
झुंड	manada	झुंड	manada	N;NOM;MASC;PL;3	N
झुंड	rabaño	झुंड	rabaño	N;NOM;MASC;PL;3	N
प्रसाधन	baño	प्रसाधन	baño	N;NOM;MASC;SG;3	N
प्रसाधन	recursos	प्रसाधन	recurso	N;NOM;MASC;SG;3	N
ईमानदार	sinceros	ईमानदार	sincero	ADJ	ADJ
कानों	orellas	कान	orella	N;NOM;MASC;PL;3	N
अहसास	sensación	अहसास	sensación	N;NOM;MASC;SG;3	N
अहसास	sentimento	अहसास	sentimento	N;NOM;MASC;SG;3	N
योद्धाओं	guerreiros	योद्धा	guerreiro	N;ACC;MASC;PL;3	N
उंगलियों	dedos	उंगली	dedo	N;ACC;FEM;PL;3	N
चॉकलेट	bombóns	चॉकलेट	bombón	N;NOM;MASC;SG;3	N
राइफल	rifle	राइफल	rifle	N;NOM;FEM;SG;3	N
सुन्दरता	beleza	सुन्दरता	beleza	N;NOM;FEM;SG;3	N
रसोई	cociña	रसोई	cociñar	N;NOM;FEM;SG;3	N
चिकित्सालय	hospital	चिकित्सालय	hospital	N;NOM;MASC;SG;3	N
फंस	atrapado	फँस	atrapar	V;ACT	V
चट्टानें	rochas	चट्टान	rocha	N;NOM;FEM;PL;3	N
चट्टानें	xeo	चट्टान	xeo	N;NOM;FEM;PL;3	N
चट्टानें	pedras	चट्टान	pedra	N;NOM;FEM;PL;3	N
कसम	xuro	कसम	xuro	N;NOM;FEM;SG;3	N
कसम	xúrocho	कसम	xúrocho	N;NOM;FEM;SG;3	N
कसम	xura	कसम	xuro	N;NOM;FEM;SG;3	N
किराया	renda	किराया	renda	N;NOM;MASC;SG;3	N
खिलौने	xoguetes	खिलौना	xoguete	N;NOM;MASC;SG;3	N
महीना	mes	महीना	mes	N;NOM;MASC;SG;3	N
रिपोर्टिंग	información	रिपोर्टिंग	información	N;NOM;FEM;SG;3	N
कीचड़	lama	कीचड	lama	N;NOM;MASC;SG;3	N
डिफ़ॉल्ट	defecto	डिफ़ॉल्ट	defecto	N;NOM;MASC;SG;3	N
ज़िंदगी	vida	ज़िंदगी	vida	N;NOM;FEM;SG;3	N
पेशेवरों	profesionais	पेशेवर	profesional	N;ACC;MASC;PL;3	N
आइटम	obxectos	आइटम	obxecto	N;NOM;MASC;SG;3	N
आइटम	puntos	आइटम	punto	N;NOM;MASC;SG;3	N
आइटम	artigos	आइटम	artigo	N;NOM;MASC;SG;3	N
आइटम	das	आइटम	das	N;NOM;MASC;SG;3	N
पांव	metros	पाँव	metro	N;NOM;MASC;SG;3	N
पांव	pés	पाँव	pés	N;NOM;MASC;SG;3	N
पांव	pé	पाँव	pé	N;NOM;MASC;SG;3	N
बांग्लादेशी	bangladesh	बांग्लादेशी	bangladesh	N;NOM;MASC;SG;3	N
डिज़ाइनर	estilista	डिज़ाइनर	estilista	N;NOM;MASC;SG;3	N
क्रीड़ा	deportes	क्रीड़ा	deporte	N;NOM;MASC;SG;3	N
क्रीड़ा	deporte	क्रीड़ा	deporte	N;NOM;MASC;SG;3	N
एकाग्रता	concentración	एकाग्रता	concentración	N;NOM;FEM;SG;3	N
ईकाई	unidade	ईकाई	unidade	N;NOM;FEM;SG;3	N
भतीजे	sobriño	भतीजा	sobriño	N;NOM;MASC;SG;3	N
संभाव्यता	probabilidade	संभाव्यता	probabilidade	N;NOM;FEM;SG;3	N
दंगे	disturbios	दंगा	disturbio	N;NOM;MASC;SG;3	N
पिस्तौल	pistola	पिस्तौल	pistola	N;NOM;MASC;SG;3	N
विभेदन	resolución	विभेदन	resolución	N;NOM;MASC;SG;3	N
गुफाएं	cavernas	गुफा	caverna	N;NOM;FEM;PL;3	N
गुफाएं	covas	गुफा	cova	N;NOM;FEM;PL;3	N
सीरियल	nixeria	सीरियल	nixeria	N;NOM;MASC;SG;3	N
सीरियल	alxeria	सीरियल	alxeria	N;NOM;MASC;SG;3	N
कार्यपालिका	executivo	कार्यपालिका	executivo	N;NOM;FEM;SG;3	N
कार्यपालिका	ordenanza	कार्यपालिका	ordenanza	N;NOM;FEM;SG;3	N
झटका	choque	झटका	choque	N;NOM;MASC;SG;3	N
झटका	asalto	झटका	asalto	N;NOM;MASC;SG;3	N
झटका	conmoción	झटका	conmoción	N;NOM;MASC;SG;3	N
झटका	electrochoques	झटका	electrochoques	N;NOM;MASC;SG;3	N
कैदी	preso	कैदी	preso	N;NOM;MASC;PL;3	N
कैदी	prisioneira	कैदी	prisioneira	N;NOM;MASC;PL;3	N
कैदी	prisioneiro	कैदी	prisioneiro	N;NOM;MASC;PL;3	N
कैदी	prisioneiros	कैदी	prisioneiro	N;NOM;MASC;PL;3	N
कैदी	presos	कैदी	preso	N;NOM;MASC;PL;3	N
कैदी	prisioneiros	कैदी	prisioneiro	N;NOM;MASC;PL;3	N
विंडो	fiestra	विंडो	fiestra	N;NOM;MASC;SG;3	N
विंडो	xanela	विंडो	xanela	N;NOM;MASC;SG;3	N
विंडो	pola	विंडो	pola	N;NOM;MASC;SG;3	N
खोने	perdendo	खो	perder	V;NFIN;ACT	V
खोने	perder	खो	perder	V;NFIN;ACT	V
खोने	perdeu	खो	perder	V;NFIN;ACT	V
अराजकता	anarquía	अराजकता	anarquía	N;NOM;FEM;SG;3	N
आजीविका	carreira	आजीविका	carreira	N;NOM;MASC;SG;3	N
फायदे	beneficios	फायदा	beneficio	N;NOM;MASC;PL;3	N
प्रतिबंधों	sancións	प्रतिबंध	sanción	N;ACC;MASC;PL;3	N
सर्वसम्मति	consenso	सर्वसम्मति	consenso	N;NOM;FEM;SG;3	N
जीनों	xenes	जीन	xene	N;ACC;FEM;PL;3	N
थाना	prisión	थाना	prisión	N;NOM;MASC;SG;3	N
थाना	cadea	थाना	cadea	N;NOM;MASC;SG;3	N
झूठे	mentiroso	झूठा	mentiroso	ADJ;NOM;MASC;PL	ADJ
झूठे	mentireira	झूठा	mentireiro	ADJ;NOM;MASC;PL	ADJ
अस्थियों	ósos	अस्थी	óso	N;ACC;FEM;PL;3	N
हीट	calefacción	हीट	calefacción	N;NOM;MASC;SG;3	N
हीट	calor	हीट	calor	N;NOM;MASC;SG;3	N
नमाज़	oración	नमाज	oración	N;NOM;FEM;SG;3	N
कर्कट	cancro	कर्कट	cancro	N;NOM;MASC;SG;3	N
शौचालय	baño	शौचालय	baño	N;NOM;MASC;SG;3	N
पर्सनल	persoal	पर्सनल	persoal	N;NOM;MASC;SG;3	N
पहिया	roda	पहिया	roda	N;NOM;MASC;SG;3	N
लोकल	local	लोकल	local	N;NOM;MASC;SG;3	N
लोकल	locais	लोकल	local	N;NOM;MASC;SG;3	N
डेयरी	leitería	डेयरी	leitería	N;NOM;FEM;SG;3	N
छू	tocar	छू	tocar	V;ACT	V
पंक्तियाँ	liñas	पंक्ति	liña	N;NOM;FEM;PL;3	N
पंक्तियाँ	trincheiras	पंक्ति	trincheira	N;NOM;FEM;PL;3	N
पंक्तियाँ	frases	पंक्ति	frase	N;NOM;FEM;PL;3	N
पिताजी	pai	पिताजी	pai	N;NOM;MASC;SG;3	N
पिताजी	pai	पिताजी	pai	N;NOM;MASC;SG;3	N
सबवे	metro	सबवे	metro	N;NOM;MASC;SG;3	N
सबवे	pantalóns	सबवे	pantalón	N;NOM;MASC;SG;3	N
चोटियों	picos	चोटी	pico	N;ACC;FEM;PL;3	N
चोटियों	xemelgos	चोटी	xemelgo	N;ACC;FEM;PL;3	N
कल्याणकारी	causa	कल्याणकारी	causa	N;NOM;MASC;SG;3	N
कल्याणकारी	causas	कल्याणकारी	causa	N;NOM;MASC;SG;3	N
आंखें	ollos	आंख	ollo	N;NOM;FEM;PL;3	N
ताश	tarxetas	ताश	tarxeta	N;NOM;MASC;SG;3	N
ताश	cartas	ताश	carta	N;NOM;MASC;SG;3	N
ताश	naipes	ताश	naipe	N;NOM;MASC;SG;3	N
ताश	ás	ताश	á	N;NOM;MASC;SG;3	N
फैमिली	familia	फैमिली	familia	N;NOM;FEM;SG;3	N
अभिभावक	pais	अभिभावक	pai	N;NOM;MASC;SG;3	N
फ्लैट	plano	फ्लैट	plano	N;NOM;MASC;SG;3	N
बौद्धों	budistas	बौद्ध	budista	N;ACC;MASC;PL;3	N
कविताएं	poemas	कविता	poema	N;NOM;FEM;PL;3	N
बुद्धिमत्ता	intelixencia	बुद्धिमत्ता	intelixencia	N;NOM;FEM;SG;3	N
बुद्धिमत्ता	sensatez	बुद्धिमत्ता	sensatez	N;NOM;FEM;SG;3	N
बुद्धिमत्ता	sabiduría	बुद्धिमत्ता	sabiduría	N;NOM;FEM;SG;3	N
बुद्धिमत्ता	sabedoría	बुद्धिमत्ता	sabedoría	N;NOM;FEM;SG;3	N
नर्स	enfermeiros	नर्स	enfermeiro	N;NOM;FEM;SG;3	N
नर्स	enfermeiras	नर्स	enfermeiro	N;NOM;FEM;SG;3	N
पकड़कर	suxeitando	पकड़	suxeitar	V;V.CVB	V
मौतों	mortes	मौत	morte	N;ACC;FEM;PL;3	N
प्रकार्य	función	प्रकार्य	función	N;NOM;MASC;SG;3	N
शरणार्थी	refuxiados	शरणार्थी	refuxiado	N;NOM;MASC;PL;3	N
धीमे	frean	धीमा	frear	V;MASC;SG;FIN;ACT	V
धीमे	vagar	धीमा	vagar	V;MASC;SG;FIN;ACT	V
आत्माओं	espírito	आत्मा	espírito	N;ACC;FEM;PL;3	N
कस्बों	vilas	कस्बा	vila	N;ACC;MASC;PL;3	N
इनाम	nobel	इनाम	nobel	N;NOM;MASC;SG;3	N
इनाम	premio	इनाम	premio	N;NOM;MASC;SG;3	N
इनाम	premios	इनाम	premio	N;NOM;MASC;SG;3	N
जिन्दगी	vida	जिन्दगी	vida	N;NOM;FEM;SG;3	N
गरमी	calefacción	गरमी	calefacción	N;NOM;FEM;SG;3	N
गरमी	calor	गरमी	calor	N;NOM;FEM;SG;3	N
पूर्वाग्रह	prexuízos	पूर्वाग्रह	prexuízo	N;NOM;MASC;SG;3	N
जैकेट	chaqueta	जैकेट	chaqueta	N;NOM;MASC;SG;3	N
आयतें	mandamentos	आयत	mandamento	N;NOM;FEM;PL;3	N
प्रिंटिंग	imprenta	प्रिंटिंग	imprentar	N;NOM;FEM;SG;3	N
चैरिटी	caridade	चैरिटी	caridade	N;NOM;FEM;SG;3	N
शिविरों	campos	शिविर	campo	N;ACC;MASC;PL;3	N
पांचवां	quinta	पांचवां	quinto	ADJ;NOM;MASC;SG	ADJ
पांचवां	quinto	पांचवां	quinto	ADJ;NOM;MASC;SG	ADJ
मैजिक	maxia	मैजिक	maxia	N;NOM;MASC;SG;3	N
फ़ौज	exército	फ़ौज	exército	N;NOM;FEM;SG;3	N
इजाजत	permiso	इजाजत	permiso	N;NOM;FEM;SG;3	N
सगाई	compromiso	सगा	compromiso	N;NOM;FEM;SG;3	N
खरगोश	coello	खरगोश	coello	N;NOM;MASC;SG;3	N
मेज़बान	anfitrión	मेज़बान	anfitrión	N;NOM;MASC;SG;3	N
तकलीफ	desgraza	तकलीफ	desgraza	N;NOM;FEM;SG;3	N
वीरों	heroes	वीर	heroes	N;ACC;MASC;PL;3	N
वीरों	heroínas	वीर	heroína	N;ACC;MASC;PL;3	N
लिफ्ट	ascensor	लिफ्ट	ascensor	N;NOM;FEM;SG;3	N
अविश्वसनीय	incrible	अविश्वसनीय	incrible	ADJ	ADJ
अविश्वसनीय	incribles	अविश्वसनीय	incrible	ADJ	ADJ
अविश्वसनीय	incríbel	अविश्वसनीय	incríbel	ADJ	ADJ
अविश्वसनीय	incríbel	अविश्वसनीय	incríbel	ADJ	ADJ
अविश्वसनीय	incrible	अविश्वसनीय	incrible	ADJ	ADJ
रेट	taxa	रेट	taxa	N;NOM;MASC;SG;3	N
मक्खी	voo	मक्खी	voo	N;NOM;MASC;SG;3	N
कॉन्सर्ट	concerto	कॉन्सर्ट	concerto	N;NOM;MASC;SG;3	N
कॉन्सर्ट	balde	कॉन्सर्ट	balde	N;NOM;MASC;SG;3	N
कॉन्सर्ट	espectáculo	कॉन्सर्ट	espectáculo	N;NOM;MASC;SG;3	N
टिप्पणियां	comentarios	टिप्पणी	comentario	N;NOM;FEM;PL;3	N
घटी	diminúe	घट	diminuír	V;PFV;FEM;SG;V.PTCP;ACT	V
पक्षपात	discriminación	पक्षपात	discriminación	N;NOM;MASC;SG;3	N
एक्सटेंशन	extensión	एक्सटेंशन	extensión	N;NOM;MASC;SG;3	N
एक्सटेंशन	estensión	एक्सटेंशन	estensión	N;NOM;MASC;SG;3	N
छानबीन	investigación	छानबीन	investigación	N;NOM;FEM;SG;3	N
नीतियां	políticas	नीति	política	N;NOM;FEM;PL;3	N
त्रासदी	traxedia	त्रासदी	traxedia	N;NOM;FEM;SG;3	N
त्रासदी	desgraza	त्रासदी	desgraza	N;NOM;FEM;SG;3	N
सीन	escena	सीन	escenar	N;NOM;MASC;SG;3	N
सीन	escea	सीन	escear	N;NOM;MASC;SG;3	N
नींबू	limón	नींबू	limón	N;NOM;MASC;SG;3	N
नींबू	limóns	नींबू	limón	N;NOM;MASC;SG;3	N
इंडेक्स	índice	इंडेक्स	índice	N;NOM;MASC;SG;3	N
तेंदुआ	leopardo	तेँदुआ	leopardo	N;NOM;MASC;SG;3	N
घिरी	rodeados	घिर	rodear	V;PFV;FEM;SG;V.PTCP;ACT	V
खेलकूद	deportes	खेलकूद	deporte	N;NOM;MASC;SG;3	N
खेलकूद	deporte	खेलकूद	deporte	N;NOM;MASC;SG;3	N
प्यास	sede	प्यास	sede	N;NOM;FEM;SG;3	N
प्यास	sede	प्यास	sede	N;NOM;FEM;SG;3	N
डिप्टी	axudante	डिप्टी	axudante	N;NOM;MASC;SG;3	N
कपडे	roupa	कपडे	roupa	N;NOM;MASC;PL;3	N
कपडे	roupa	कपडे	roupa	N;NOM;MASC;PL;3	N
कपडे	roupas	कपडे	roupa	N;NOM;MASC;PL;3	N
नोटिस	conta	नोटिस	conta	N;NOM;MASC;SG;3	N
नोटिस	aviso	नोटिस	aviso	N;NOM;MASC;SG;3	N
ड्राइंग	debuxo	ड्राइंग	debuxo	N;NOM;FEM;SG;3	N
बाल्यकाल	infancia	बाल्यकाल	infancia	N;NOM;MASC;SG;3	N
बाल्यकाल	infantís	बाल्यकाल	infantil	N;NOM;MASC;SG;3	N
बाल्यकाल	nenez	बाल्यकाल	nenez	N;NOM;MASC;SG;3	N
ज़िम्मेदारी	responsabilidade	ज़िम्मेदारी	responsabilidade	N;NOM;FEM;SG;3	N
यूनानियों	grecia	यूनानी	grecio	N;ACC;MASC;PL;3	N
बाइक	bicicleta	बाइक	bicicleta	N;NOM;FEM;SG;3	N
सदाचार	virtude	सदाचार	virtude	N;NOM;MASC;SG;3	N
गुस्सा	ira	गुस्सा	ir	N;NOM;MASC;SG;3	N
गुस्सा	rabia	गुस्सा	rabia	N;NOM;MASC;SG;3	N
गुस्सा	odio	गुस्सा	odio	N;NOM;MASC;SG;3	N
सीढ़ियों	escaleiras	सीढ़ी	escaleira	N;ACC;FEM;PL;3	N
सीढ़ियों	escaleira	सीढ़ी	escaleira	N;ACC;FEM;PL;3	N
रस्म	cerimonia	रस्म	cerimonia	N;NOM;FEM;SG;3	N
खरीदे	mercando	खरीद	mercar	V;PFV;MASC;PL;V.PTCP;ACT	V
ऑफ़िस	oficina	ऑफ़िस	oficinar	N;NOM;FEM;SG;3	N
ऑफ़िस	despacho	ऑफ़िस	despacho	N;NOM;FEM;SG;3	N
ऑफ़िस	correo	ऑफ़िस	correo	N;NOM;FEM;SG;3	N
हत्यारे	asasinos	हत्यारा	asasino	N;NOM;MASC;PL;3	N
मशीनरी	maquinaria	मशीनरी	maquinaria	N;NOM;FEM;SG;3	N
मशीनरी	máquinas	मशीनरी	máquina	N;NOM;FEM;SG;3	N
कट्टरपंथी	radicais	कट्टरपंथी	radical	N;NOM;MASC;SG;3	N
व्हील	roda	व्हील	roda	N;NOM;MASC;SG;3	N
नफरत	odio	नफरत	odio	N;NOM;FEM;SG;3	N
सज्जन	señor	सज्जन	señor	N;NOM;MASC;SG;3	N
सज्जन	home	सज्जन	home	N;NOM;MASC;SG;3	N
हिप्पोकैम्पस	hipocampo	हिप्पोकैम्पस	hipocampo	N;NOM;MASC;SG;3	N
लैन	condado	लैन	condado	N;NOM;MASC;SG;3	N
हटाएँ	quitar	हटा	quitar	V;SBJV;PL;FIN;ACT	V
हटाएँ	quitamos	हटा	quitar	V;SBJV;PL;FIN;ACT	V
संवेदन	quórum	संवेदन	quórum	N;NOM;MASC;SG;3	N
चित्रकारों	cadro	चित्रकार	cadro	N;ACC;MASC;PL;3	N
चित्रकारों	pintura	चित्रकार	pintura	N;ACC;MASC;PL;3	N
पुलों	pontes	पुल	ponte	N;ACC;MASC;PL;3	N
मिडिया	prensa	मिडिया	prensa	N;NOM;FEM;SG;3	N
मिडिया	medios	मिडिया	medio	N;NOM;FEM;SG;3	N
मिडिया	comunicación	मिडिया	comunicación	N;NOM;FEM;SG;3	N
मकानों	casas	मकान	casa	N;ACC;MASC;PL;3	N
मकानों	fogares	मकान	fogar	N;ACC;MASC;PL;3	N
भेजना	envía	भेज	enviar	V;MASC;NFIN;ACT	V
कीड़ों	vermes	कीड़	verme	N;ACC;MASC;PL;3	N
स्कैनर	escáner	स्कैनर	escáner	N;NOM;MASC;SG;3	N
लचीला	flexibles	लचीला	flexible	ADJ;NOM;MASC;SG	ADJ
सफ़ाई	limpando	सफ़ाई	limpar	V;PFV;FEM;SG;V.PTCP;ACT	V
सफ़ाई	da	सफ़ाई	da	V;PFV;FEM;SG;V.PTCP;ACT	V
कोलेजन	coláxeno	कोलेजन	coláxeno	N;NOM;MASC;SG;3	N
कार्यस्थल	traballo	कार्यस्थल	traballo	N;NOM;MASC;SG;3	N
तोपों	canóns	तोप	canón	N;ACC;FEM;PL;3	N
तोपों	canón	तोप	canón	N;ACC;FEM;PL;3	N
झूठा	mentiroso	झूठा	mentiroso	ADJ;NOM;MASC;SG	ADJ
झूठा	mentireira	झूठा	mentireiro	ADJ;NOM;MASC;SG	ADJ
अक्षमता	incapacidade	अक्षमता	incapacidade	N;NOM;FEM;SG;3	N
विंड	vento	विंड	vento	N;NOM;MASC;SG;3	N
विंड	corda	विंड	corda	N;NOM;MASC;SG;3	N
आकृतियाँ	formas	आकृति	forma	N;NOM;FEM;PL;3	N
गाजर	cenoura	गाजर	cenoura	N;NOM;MASC;SG;3	N
बर्ताव	comportamento	बर्ताव	comportamento	N;NOM;MASC;SG;3	N
बर्ताव	conducta	बर्ताव	conducta	N;NOM;MASC;SG;3	N
बर्ताव	comportamentos	बर्ताव	comportamento	N;NOM;MASC;SG;3	N
बर्ताव	conduta	बर्ताव	conduta	N;NOM;MASC;SG;3	N
गलियों	rúas	गली	rúa	N;ACC;FEM;PL;3	N
गलियों	polas	गली	pola	N;ACC;FEM;PL;3	N
गलियों	rúa	गली	rúa	N;ACC;FEM;PL;3	N
शस्त्रों	arma	शस्त्र	arma	N;ACC;MASC;PL;3	N
प्राधिकार	autoridades	प्राधिकार	autoridade	N;NOM;MASC;SG;3	N
प्राधिकार	autoridade	प्राधिकार	autoridade	N;NOM;MASC;SG;3	N
रोज़गार	traballo	रोजगार	traballo	N;NOM;MASC;SG;3	N
उंगली	dedo	उंगली	dedo	N;NOM;FEM;SG;3	N
कॉर्न	millo	कॉर्न	millo	N;NOM;MASC;SG;3	N
कॉर्न	trigo	कॉर्न	trigo	N;NOM;MASC;SG;3	N
मापक	escala	मापक	escala	N;NOM;MASC;SG;3	N
अनाथ	orfos	अनाथ	orfo	N;NOM;MASC;SG;3	N
जनसांख्यिकी	poboación	जनसांख्यिकी	poboación	N;NOM;MASC;SG;3	N
वृद्धावस्था	envellecemento	वृद्धावस्था	envellecemento	N;NOM;FEM;SG;3	N
घाटा	perda	घाटा	perda	N;NOM;MASC;SG;3	N
दरवाज़ा	porta	दरवाज़ा	porta	N;NOM;MASC;SG;3	N
सप्लाई	subministración	सप्लाई	subministración	N;NOM;FEM;SG;3	N
निर्देशकों	directores	निर्देशक	director	N;ACC;MASC;PL;3	N
पूंजीवाद	capitalismo	पूंजीवाद	capitalismo	N;NOM;MASC;SG;3	N
फ्लोरेंस	florence	फ्लोरेंस	florence	N;NOM;MASC;SG;3	N
सुअर	porco	सुअर	porco	N;NOM;MASC;SG;3	N
खोली	abrimos	खोल	abrimo	V;PFV;FEM;SG;V.PTCP;ACT	V
खोली	abriu	खोल	abriu	V;PFV;FEM;SG;V.PTCP;ACT	V
गिरिजाघर	igrexa	गिरिजाघर	igrexir	N;NOM;MASC;SG;3	N
गिरिजाघर	á	गिरिजाघर	á	N;NOM;MASC;SG;3	N
तानाशाही	ditadura	तानाशाही	ditadura	N;NOM;FEM;SG;3	N
फोटोग्राफर	fotógrafo	फोटोग्राफर	fotógrafo	N;NOM;MASC;SG;3	N
सिमुलेशन	simulación	सिमुलेशन	simulación	N;NOM;MASC;SG;3	N
अधिकरण	tribunal	अधिकरण	tribunal	N;NOM;MASC;SG;3	N
औरतों	mulleres	औरत	muller	N;ACC;FEM;PL;3	N
स्लाइड	diapositivas	स्लाइड	diapositivo	N;NOM;FEM;SG;3	N
स्लाइड	portaobxectos	स्लाइड	portaobxectos	N;NOM;FEM;SG;3	N
स्लाइड	diapositiva	स्लाइड	diapositivo	N;NOM;FEM;SG;3	N
वर्गाकार	praza	वर्गाकार	praza	N;NOM;MASC;SG;3	N
दर्दनाक	doloroso	दर्दनाक	doloroso	ADJ;NOM	ADJ
हतोत्साहित	desanimado	हतोत्साहित	desanimar	ADJ	ADJ
फंक्शन	función	फंक्शन	función	N;NOM;MASC;SG;3	N
वियतनामी	vietnamita	वियतनामी	vietnamita	N;NOM;MASC;SG;3	N
वियतनामी	vietnamitas	वियतनामी	vietnamita	N;NOM;MASC;SG;3	N
कार्मिक	persoal	कार्मिक	persoal	N;NOM;MASC;SG;3	N
पन्द्रह	quince	पंद्रह	quince	NUM	NUM
ट्रंक	maleteiro	ट्रंक	maleteiro	N;NOM;MASC;SG;3	N
अख़बार	xornais	अख़बार	xornal	N;NOM;MASC;SG;3	N
अख़बार	xornal	अख़बार	xornal	N;NOM;MASC;SG;3	N
नुक्सान	danos	नुक्सान	dano	N;NOM;MASC;SG;3	N
नुक्सान	dano	नुक्सान	dano	N;NOM;MASC;SG;3	N
आर्सेनल	arsenal	आर्सेनल	arsenal	N;NOM;MASC;SG;3	N
मज़ाक	broma	मज़ाक	broma	N;NOM;MASC;SG;3	N
मज़ाक	chiste	मज़ाक	chistir	N;NOM;MASC;SG;3	N
मज़ाक	bromas	मज़ाक	broma	N;NOM;MASC;SG;3	N
मज़ाक	gracia	मज़ाक	gracia	N;NOM;MASC;SG;3	N
मज़ाक	conto	मज़ाक	conto	N;NOM;MASC;SG;3	N
लाश	cadáver	लाश	cadáver	N;NOM;FEM;SG;3	N
लाश	corpo	लाश	corpo	N;NOM;FEM;SG;3	N
नाइट्रिक	óxido	नाइट्रिक	óxido	N;NOM;MASC;SG;3	N
गठिया	artrite	गठिया	artrite	N;NOM;MASC;SG;3	N
किस्मत	sorte	किस्मत	sorte	N;NOM;FEM;SG;3	N
कूच	marzo	कूच	marzo	N;NOM;FEM;SG;3	N
कूच	marcha	कूच	marcha	N;NOM;FEM;SG;3	N
बूट	botas	बूट	bota	N;NOM;MASC;SG;3	N
नाइट्स	noites	नाइट	noite	N;NOM;MASC;PL;3	N
