for	pour	for	pour	ADP	ADP
forsvinder	disparaît	forsvinde	disparaître	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
susanne	susanne	susan	susanner	N;INDF;MASC+FEM;SG	N;FEM;SG
symptomer	symptômes	symptom	symptôme	N;INDF;NEUT;PL	N;MASC;PL
adelige	nobles	adelig	noble	ADJ;PL	ADJ;MASC;PL
integreret	intégrée	integrere	intégrer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
integreret	intégré	integrere	intégrer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ansættelse	nomination	ansættelse	nomination	N;INDF;MASC+FEM;SG	N;FEM;SG
ansættelse	recrutement	ansættelse	recrutement	N;INDF;MASC+FEM;SG	N;MASC;SG
ansættelse	emploi	ansættelse	emploi	N;INDF;MASC+FEM;SG	N;MASC;SG
drikke	boire	drikke	boire	V;NFIN;ACT	V;NFIN
drikke	boire	drikke	boire	V;NFIN;ACT	V;NFIN
trafikken	trafic	trafik	trafic	N;DEF;MASC+FEM;SG	N;MASC;SG
trafikken	circulation	trafik	circulation	N;DEF;MASC+FEM;SG	N;FEM;SG
presset	pression	pres	pression	N;DEF;NEUT;SG	N;FEM;SG
republikanske	républicains	republikansk	républicain	ADJ;PL	ADJ;MASC;PL
arabien	saoudite	arabi	saoudite	N;DEF;MASC+FEM;SG	N;MASC;SG
trier	trier	tri	trier	N;INDF;MASC+FEM;SG	N;MASC;SG
metoden	méthode	metod	méthode	N;DEF;MASC+FEM;SG	N;FEM;SG
sandsynligt	probable	sandsynlig	probable	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
sandsynligt	vraisemblable	sandsynlig	vraisemblable	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
sandsynligt	probable	sandsynlig	probable	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
artist	artiste	artist	artiste	N;INDF;MASC+FEM;SG	N;MASC;SG
vogne	wagons	vogn	wagon	N;INDF;MASC+FEM;PL	N;MASC;PL
stade	stade	stade	stade	N;INDF;MASC+FEM;SG	N;MASC;SG
heat	chaleur	heat	chaleur	N;INDF;NEUT;SG	N;FEM;SG
spillerne	joueurs	spiller	joueur	N;DEF;MASC+FEM;PL	N;MASC;PL
platin	platine	platin	platine	N;INDF;NEUT;SG	N;FEM;SG
overordnet	globale	overordne	global	ADJ;INDF;SG	ADJ;FEM;SG
længden	longueur	længde	longueur	N;DEF;MASC+FEM;SG	N;FEM;SG
gangen	couloir	gang	couloir	N;DEF;MASC+FEM;SG	N;MASC;SG
anbragt	placée	anbragt	placer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
anbragt	placé	anbragt	placer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
kongressen	congrès	kongres	congrès	N;DEF;MASC+FEM;SG	N;MASC;SG
instruktion	instruction	instruktion	instruction	N;INDF;MASC+FEM;SG	N;FEM;SG
føderale	fédéraux	føderal	fédéral	ADJ;PL	ADJ;MASC;PL
føderale	fédérales	føderal	fédéral	ADJ;PL	ADJ;FEM;PL
stifter	pins	stift	pin	N;INDF;MASC+FEM;PL	N;MASC;PL
stifter	broches	stift	broche	N;INDF;MASC+FEM;PL	N;FEM;PL
stifter	épingles	stift	épingle	N;INDF;MASC+FEM;PL	N;FEM;PL
betaling	payement	betaling	payement	N;INDF;MASC+FEM;SG	N;MASC;SG
betaling	paiement	betaling	paiement	N;INDF;MASC+FEM;SG	N;MASC;SG
betaling	paiement	betaling	paiement	N;INDF;MASC+FEM;SG	N;MASC;SG
atmosfære	atmosphère	atmosfære	atmosphère	N;INDF;MASC+FEM;SG	N;FEM;SG
atmosfære	ambiance	atmosfære	ambiance	N;INDF;MASC+FEM;SG	N;FEM;SG
rapper	rappeur	rappe	rappeur	N;INDF;MASC+FEM;SG	N;MASC;SG
hagen	menton	hag	menton	N;DEF;MASC+FEM;SG	N;MASC;SG
hagen	tchin	hag	tchin	N;DEF;MASC+FEM;SG	N;MASC;SG
konkurrencer	compétitions	konkurrence	compétition	N;INDF;MASC+FEM;PL	N;FEM;PL
konkurrencer	compétitions	konkurrence	compétition	N;INDF;MASC+FEM;PL	N;FEM;PL
regent	règle	regent	règle	N;INDF;MASC+FEM;SG	N;FEM;SG
regent	dirigeant	regent	dirigeant	N;INDF;MASC+FEM;SG	N;MASC;SG
regent	souverain	regent	souverain	N;INDF;MASC+FEM;SG	N;MASC;SG
regent	régent	regent	régent	N;INDF;MASC+FEM;SG	N;MASC;SG
åbenbart	apparemment	åbenbart	apparemment	ADV	ADV
åbenbart	apparement	åbenbart	apparement	ADV	ADV
strakte	étiré	strække	étirer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
planeten	planete	plan	planete	N;DEF;MASC+FEM;SG	N;FEM;SG
planeten	planète	plan	planète	N;DEF;MASC+FEM;SG	N;FEM;SG
greb	grip	gribe	grip	N;INDF;NEUT;SG	N;MASC;SG
greb	poigne	gribe	poigne	N;INDF;NEUT;SG	N;FEM;SG
vurdere	évaluer	vurdere	évaluer	V;NFIN;ACT	V;NFIN
vurdere	évalue	vurdere	évaluer	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
vurdere	évaluer	vurdere	évaluer	V;NFIN;ACT	V;NFIN
mandag	lundi	mandag	lundi	N;INDF;MASC+FEM;SG	N;MASC;SG
strenge	strictes	streng	strict	ADJ;PL	ADJ;FEM;PL
konservativ	conservatrice	konservativ	conservateur	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
græs	pelouse	græs	pelouse	N;INDF;NEUT;SG	N;FEM;SG
græs	gazon	græs	gazon	N;INDF;NEUT;SG	N;MASC;SG
græs	herbe	græs	herbe	N;INDF;NEUT;SG	N;FEM;SG
græs	beuh	græs	beuh	N;INDF;NEUT;SG	N;FEM;SG
græs	herbe	græs	herbe	N;INDF;NEUT;SG	N;FEM;SG
basketball	basket	basketball	basket	N;INDF;MASC+FEM;SG	N;MASC;SG
basketball	basketball	basketball	basketball	N;INDF;MASC+FEM;SG	N;MASC;SG
alfabet	alphabet	alfab	alphabet	N;INDF;NEUT;SG	N;MASC;SG
price	prix	price	prix	N;INDF;NEUT;SG	N;MASC;SG
price	tarif	price	tarif	N;INDF;NEUT;SG	N;MASC;SG
bringer	apporte	bringe	apporter	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
værktøj	outil	værktøj	outil	N;INDF;NEUT;SG	N;MASC;SG
værktøj	outillage	værktøj	outillage	N;INDF;NEUT;SG	N;MASC;SG
maritime	maritimes	maritim	maritime	ADJ;PL	ADJ;MASC;PL
spids	pourboire	spids	pourboire	N;INDF;MASC+FEM;SG	N;MASC;SG
spids	pointe	spids	pointe	N;INDF;MASC+FEM;SG	N;FEM;SG
spids	astuce	spids	astuce	N;INDF;MASC+FEM;SG	N;FEM;SG
udfører	exécuter	udføre	exécuter	V;IND;PRS;FIN;ACT	V;NFIN
udfører	exécutant	udføre	exécuter	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
udfører	exécutant	udføre	exécuter	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
udfører	accomplit	udføre	accomplir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
udfører	effectue	udføre	effectuer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
mindretal	minorité	mindretal	minorité	N;INDF;NEUT;SG	N;FEM;SG
motiv	motif	motiv	motif	N;INDF;NEUT;SG	N;MASC;SG
motiv	motif	motiv	motif	N;INDF;NEUT;SG	N;MASC;SG
opfattet	perçu	opfatte	percevoir	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
opfattet	perçue	opfatte	percevoir	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
mønster	motif	mønster	motif	N;INDF;NEUT;SG	N;MASC;SG
mønster	schéma	mønster	schéma	N;INDF;NEUT;SG	N;MASC;SG
galleri	galerie	galleri	galerie	N;INDF;NEUT;SG	N;FEM;SG
galleri	gallerie	galleri	gallerie	N;INDF;NEUT;SG	N;FEM;SG
citroën	citroën	citroën	citroën	N;INDF;MASC+FEM;SG	N;FEM;SG
overgav	remis	overgive	remettre	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
mathilde	mathilde	mathilde	mathilde	N;INDF;MASC+FEM;SG	N;FEM;SG
køkken	cuisine	køkke	cuisine	N;INDF;NEUT;SG	N;FEM;SG
køkken	gastronomie	køkke	gastronomie	N;INDF;NEUT;SG	N;FEM;SG
køkken	cuisine	køkke	cuisine	N;INDF;NEUT;SG	N;FEM;SG
udnævnte	désignés	udnævne	désigner	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
udnævnte	désigné	udnævne	désigner	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
udnævnte	nommé	udnævne	nommer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
udnævnte	nommés	udnævne	nommer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
bekæmpe	combattre	bekæmpe	combattre	V;NFIN;ACT	V;NFIN
underviser	enseigner	undervise	enseigner	V;IND;PRS;FIN;ACT	V;NFIN
kulturen	culture	kultur	culture	N;DEF;MASC+FEM;SG	N;FEM;SG
uafgjort	cravate	uafgjort	cravate	N;INDF;MASC+FEM;SG	N;FEM;SG
uafgjort	tirage	uafgjort	tirage	N;INDF;MASC+FEM;SG	N;MASC;SG
smuk	beau	smuk	beau	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
smuk	superbe	smuk	superbe	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
smuk	magnifique	smuk	magnifique	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
smuk	belle	smuk	beau	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
smuk	joli	smuk	joli	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
smuk	jolie	smuk	joli	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
hensigt	intention	hensigt	intention	N;INDF;MASC+FEM;SG	N;FEM;SG
hensigt	intention	hensigt	intention	N;INDF;MASC+FEM;SG	N;FEM;SG
udendørs	extérieurs	udendørs	extérieur	ADJ	ADJ;MASC;PL
udendørs	extérieure	udendørs	extérieur	ADJ	ADJ;FEM;SG
eleverne	étudiants	elev	étudiant	N;DEF;MASC+FEM;PL	N;MASC;PL
eleverne	etudiants	elev	etudiant	N;DEF;MASC+FEM;PL	N;MASC;PL
eleverne	élèves	elev	élève	N;DEF;MASC+FEM;PL	N;MASC;PL
eleverne	élèves	elev	élève	N;DEF;MASC+FEM;PL	N;MASC;PL
baker	boulanger	bakke	boulanger	N;INDF;MASC+FEM;SG	N;MASC;SG
imponerende	impressionnante	imponerende	impressionnant	ADJ	ADJ;FEM;SG
imponerende	impressionnantes	imponerende	impressionnant	ADJ	ADJ;FEM;PL
imponerende	impressionnant	imponerende	impressionnant	ADJ	ADJ;MASC;SG
imponerende	impressionnants	imponerende	impressionnant	ADJ	ADJ;MASC;PL
materiel	matériel	materiel	matériel	N;INDF;NEUT;SG	N;MASC;SG
materiel	matériau	materiel	matériau	N;INDF;NEUT;SG	N;MASC;SG
fjendtlige	hostiles	fjendtlig	hostile	ADJ;PL	ADJ;MASC;PL
fjendtlige	hostiles	fjendtlig	hostile	ADJ;PL	ADJ;MASC;PL
dal	vallée	dal	vallée	N;INDF;MASC+FEM;SG	N;FEM;SG
centret	centre	center	centre	N;DEF;NEUT;SG	N;MASC;SG
gæld	endettement	gæld	endettement	N;INDF;MASC+FEM;SG	N;MASC;SG
gæld	dette	gæld	dette	N;INDF;MASC+FEM;SG	N;FEM;SG
ledige	disponibles	ledig	disponible	ADJ;PL	ADJ;MASC;PL
ledige	vacants	ledig	vacant	ADJ;PL	ADJ;MASC;PL
erhvervede	acquise	erhvervet	acquise	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
erhvervede	acquises	erhvervet	acquérir	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
erhvervede	acquis	erhvervet	acquérir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
fremstillede	produite	fremstille	produire	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
fremstillede	produites	fremstille	produire	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
fremstillede	fabriqués	fremstille	fabriquer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
fremstillede	fabriqué	fremstille	fabriquer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
folkeslag	peuples	folkeslag	peuple	N;INDF;NEUT;PL	N;MASC;PL
observationer	observations	observation	observation	N;INDF;MASC+FEM;PL	N;FEM;PL
observationer	apparitions	observation	apparition	N;INDF;MASC+FEM;PL	N;FEM;PL
niveauer	niveaux	niveaue	niveau	N;INDF;NEUT;PL	N;MASC;PL
smidt	jeté	smidt	jeter	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
relaterede	liés	relatere	lier	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
kastet	jeté	kaste	jeter	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
kerne	core	kerne	core	N;INDF;MASC+FEM;SG	N;MASC;SG
kerne	cœur	kerne	cœur	N;INDF;MASC+FEM;SG	N;MASC;SG
kerne	coeur	kerne	coeur	N;INDF;MASC+FEM;SG	N;MASC;SG
kerne	noyau	kerne	noyau	N;INDF;MASC+FEM;SG	N;MASC;SG
kerne	noyau	kerne	noyau	N;INDF;MASC+FEM;SG	N;MASC;SG
kerne	amande	kerne	amande	N;INDF;MASC+FEM;SG	N;FEM;SG
kerne	noyau	kerne	noyau	N;INDF;MASC+FEM;SG	N;MASC;SG
dommere	magistrats	dommer	magistrat	N;INDF;MASC+FEM;PL	N;MASC;PL
dommere	juges	dommer	juge	N;INDF;MASC+FEM;PL	N;MASC;PL
bold	boule	bold	boule	N;INDF;MASC+FEM;SG	N;FEM;SG
bold	balle	bold	balle	N;INDF;MASC+FEM;SG	N;FEM;SG
bold	ballon	bold	ballon	N;INDF;MASC+FEM;SG	N;MASC;SG
administratorer	administrateurs	administrator	administrateur	N;INDF;MASC+FEM;PL	N;MASC;PL
administratorer	administrateurs	administrator	administrateur	N;INDF;MASC+FEM;PL	N;MASC;PL
anklaget	inculpé	anklage	inculper	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
anklaget	accusé	anklage	accuser	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
anklaget	accusée	anklage	accuser	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
opnår	obtient	opnår	obtenir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
hjernen	cerveau	hjerne	cerveau	N;DEF;MASC+FEM;SG	N;MASC;SG
hjernen	cervelle	hjerne	cervelle	N;DEF;MASC+FEM;SG	N;FEM;SG
lejren	camp	lejr	camp	N;DEF;MASC+FEM;SG	N;MASC;SG
lejren	campement	lejr	campement	N;DEF;MASC+FEM;SG	N;MASC;SG
firmaer	compagnies	firma	compagnie	N;INDF;NEUT;PL	N;FEM;PL
firmaer	entreprises	firma	entreprise	N;INDF;NEUT;PL	N;FEM;PL
firmaer	sociétés	firma	société	N;INDF;NEUT;PL	N;FEM;PL
gifte	mariées	gifte	marier	V;NFIN;ACT	V;FEM;PL;PST;V.PTCP
gifte	mariés	gifte	marier	V;NFIN;ACT	V;MASC;PL;PST;V.PTCP
gifte	mariée	gifte	marier	V;NFIN;ACT	V;FEM;SG;PST;V.PTCP
gifte	marié	gifte	marier	V;NFIN;ACT	V;MASC;SG;PST;V.PTCP
øjnene	yeux	øje	oeil	N;DEF;NEUT;PL	N;MASC;PL
forventede	attendus	forvente	attendre	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
selvstyre	autonomie	selvstyre	autonomie	N;INDF;NEUT;SG	N;FEM;SG
emanuel	emanuel	emanuel	emanuel	N;INDF;MASC+FEM;SG	N;MASC;SG
landskaber	paysages	landskaber	paysage	N;INDF;NEUT;PL	N;MASC;PL
landskaber	paysages	landskaber	paysage	N;INDF;NEUT;PL	N;MASC;PL
indtægter	revenus	indtægte	revenu	N;INDF;MASC+FEM;PL	N;MASC;PL
indtægter	revenus	indtægte	revenu	N;INDF;MASC+FEM;PL	N;MASC;PL
indtægter	recettes	indtægte	recette	N;INDF;MASC+FEM;PL	N;FEM;PL
indtægter	revenus	indtægte	revenu	N;INDF;MASC+FEM;PL	N;MASC;PL
indtægter	recettes	indtægte	recette	N;INDF;MASC+FEM;PL	N;FEM;PL
styrede	contrôlées	styre	contrôler	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
styrede	contrôlés	styre	contrôler	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
styrede	contrôlée	styre	contrôler	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
styrede	contrôlé	styre	contrôler	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
håndtere	manipuler	håndtere	manipuler	V;NFIN;ACT	V;NFIN
håndtere	poignée	håndtere	poigné	V;NFIN;ACT	V;FEM;SG;PST;V.PTCP
linux	linux	linux	linux	N;INDF;MASC+FEM;SG	N;MASC;SG
relationer	relations	relation	relation	N;INDF;MASC+FEM;PL	N;FEM;PL
relationer	relations	relation	relation	N;INDF;MASC+FEM;PL	N;FEM;PL
vokse	grandir	vokse	grandir	V;NFIN;ACT	V;NFIN
vokse	croître	vokse	croître	V;NFIN;ACT	V;NFIN
vokse	pousser	vokse	pousser	V;NFIN;ACT	V;NFIN
symboler	symboles	symbol	symbole	N;INDF;MASC+FEM;PL	N;MASC;PL
skjold	bouclier	skjold	bouclier	N;INDF;NEUT;SG	N;MASC;SG
skjold	bouclier	skjold	bouclier	N;INDF;NEUT;SG	N;MASC;SG
monaco	monaco	monaco	monaco	N;INDF;MASC+FEM;SG	N;MASC;SG
studenter	étudiants	student	étudiant	N;INDF;NEUT;PL	N;MASC;PL
studenter	etudiants	student	etudiant	N;INDF;NEUT;PL	N;MASC;PL
studenter	élèves	student	élève	N;INDF;NEUT;PL	N;MASC;PL
seminarium	séminaire	seminarium	séminaire	N;INDF;NEUT;SG	N;MASC;SG
tyve	vingt	tyve	vingt	NUM	NUM
kaste	jeter	kaste	jeter	V;NFIN;ACT	V;NFIN
helbred	sante	helbred	sante	N;INDF;NEUT;SG	N;FEM;SG
helbred	santé	helbred	santé	N;INDF;NEUT;SG	N;FEM;SG
engagement	engagement	engagement	engagement	N;INDF;NEUT;SG	N;MASC;SG
engagement	implication	engagement	implication	N;INDF;NEUT;SG	N;FEM;SG
engagement	engagement	engagement	engagement	N;INDF;NEUT;SG	N;MASC;SG
vurderet	évalué	vurdere	évaluer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
vurderet	évaluée	vurdere	évaluer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
vurderet	évalué	vurdere	évaluer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
vurderet	classé	vurdere	classer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
vurderet	notée	vurdere	noter	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
vurderet	noté	vurdere	noter	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
vurderet	évalué	vurdere	évaluer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
vurderet	évaluée	vurdere	évaluer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
håndværk	artisanat	håndværk	artisanat	N;INDF;NEUT;SG	N;MASC;SG
dyrket	cultivée	dyrke	cultiver	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
dyrket	cultivé	dyrke	cultiver	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
komplekse	complexes	komplekse	complexe	ADJ;PL	ADJ;MASC;PL
viking	viking	viking	viking	N;INDF;MASC+FEM;SG	N;MASC;SG
udgravninger	fouilles	udgravning	fouille	N;INDF;MASC+FEM;PL	N;FEM;PL
formet	façonné	formet	façonner	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
formet	façonnée	formet	façonné	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
simpelthen	simplement	simpelthen	simplement	ADV	ADV
vinger	wings	vinge	wing	N;INDF;MASC+FEM;PL	N;MASC;PL
vinger	ailes	vinge	aile	N;INDF;MASC+FEM;PL	N;FEM;PL
åbning	vernissage	åbning	vernissage	N;INDF;MASC+FEM;SG	N;MASC;SG
åbning	ouverture	åbning	ouverture	N;INDF;MASC+FEM;SG	N;FEM;SG
annoncerede	annoncé	annoncere	annoncer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
annoncerede	annoncés	annoncere	annoncer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
annoncerede	annoncées	annoncere	annoncer	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
annoncerede	annoncée	annoncere	annoncer	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
annoncerede	annoncé	annoncere	annoncer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
annoncerede	annoncés	annoncere	annoncer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
evnen	capacité	evne	capacité	N;DEF;MASC+FEM;SG	N;FEM;SG
evnen	aptitude	evne	aptitude	N;DEF;MASC+FEM;SG	N;FEM;SG
jomfru	vierge	jomfru	vierge	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
borgerne	citoyens	borger	citoyen	N;DEF;MASC+FEM;PL	N;MASC;PL
hale	queue	hale	queue	N;INDF;MASC+FEM;SG	N;FEM;SG
hale	filature	hale	filature	N;INDF;MASC+FEM;SG	N;FEM;SG
hale	tail	hale	tail	N;INDF;MASC+FEM;SG	N;MASC;SG
psykologi	psychologie	psykologi	psychologie	N;INDF;MASC+FEM;SG	N;FEM;SG
grevinde	comtesse	grevinde	comtesse	N;INDF;MASC+FEM;SG	N;FEM;SG
huller	écarts	huller	écart	N;INDF;MASC+FEM;PL	N;MASC;PL
huller	lacunes	huller	lacune	N;INDF;MASC+FEM;PL	N;FEM;PL
huller	trous	huller	trou	N;INDF;MASC+FEM;PL	N;MASC;PL
behandler	traiter	behandle	traiter	V;IND;PRS;FIN;ACT	V;NFIN
tilbudt	offerte	tilbudt	offrir	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
tilbudt	offert	tilbudt	offrir	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
overleve	survivent	overleve	survivre	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
overleve	survivre	overleve	survivre	V;NFIN;ACT	V;NFIN
overleve	survivant	overleve	survivant	V;NFIN;ACT	V;PRS;V.PTCP
overleve	survivre	overleve	survivre	V;NFIN;ACT	V;NFIN
ophævet	abrogée	ophæve	abroger	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
ophævet	abrogé	ophæve	abroger	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ophævet	soulevé	ophæve	soulever	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ophævet	levé	ophæve	lever	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
mislykkedes	raté	mislykkes	rater	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
mislykkedes	échoué	mislykkes	échouer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
palæ	manoir	palæ	manoir	N;INDF;NEUT;SG	N;MASC;SG
uenighed	controverse	uenighed	controverse	N;INDF;MASC+FEM;SG	N;FEM;SG
uenighed	désaccord	uenighed	désaccord	N;INDF;MASC+FEM;SG	N;MASC;SG
regeringer	gouvernements	regering	gouvernement	N;INDF;MASC+FEM;PL	N;MASC;PL
homer	homer	homer	homer	N;INDF;MASC+FEM;SG	N;MASC;SG
overbevist	persuadé	overbevise	persuader	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
overbevist	convaincue	overbevise	convaincre	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
overbevist	convaincu	overbevise	convaincre	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
skarp	pointu	skarp	pointu	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
felter	domaines	felter	domaine	N;INDF;NEUT;PL	N;MASC;PL
felter	champs	felter	champ	N;INDF;NEUT;PL	N;MASC;PL
pattedyr	mammifères	pattedyr	mammifère	N;INDF;NEUT;PL	N;MASC;PL
besiddelser	exploitations	besiddelse	exploitation	N;INDF;MASC+FEM;PL	N;FEM;PL
besiddelser	participations	besiddelse	participation	N;INDF;MASC+FEM;PL	N;FEM;PL
besiddelser	dotations	besiddelse	dotation	N;INDF;MASC+FEM;PL	N;FEM;PL
vinkel	angle	vinkel	angle	N;INDF;MASC+FEM;SG	N;MASC;SG
vinkel	chevron	vinkel	chevron	N;INDF;MASC+FEM;SG	N;MASC;SG
diskutere	discuter	diskutere	discuter	V;NFIN;ACT	V;NFIN
diskutere	discutez	diskutere	discuter	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
herredømme	dominion	herredømme	dominion	N;INDF;NEUT;SG	N;FEM;SG
herredømme	seigneurie	herredømme	seigneurie	N;INDF;NEUT;SG	N;FEM;SG
resultaterne	résultats	resultat	résultat	N;DEF;NEUT;PL	N;MASC;PL
middelalderlige	médiévales	middelalderlig	médiéval	ADJ;PL	ADJ;FEM;PL
middelalderlige	médiévaux	middelalderlig	médiéval	ADJ;PL	ADJ;MASC;PL
tilbageværende	restantes	tilbageværende	restant	ADJ	ADJ;FEM;PL
tilbageværende	restants	tilbageværende	restant	ADJ	ADJ;MASC;PL
tilbageværende	résiduelles	tilbageværende	résiduel	ADJ	ADJ;FEM;PL
tilbageværende	résiduel	tilbageværende	résiduel	ADJ	ADJ;MASC;SG
tilbageværende	résiduelle	tilbageværende	résiduel	ADJ	ADJ;FEM;SG
tegnefilm	caricatures	tegnefilm	caricature	N;INDF;MASC+FEM;PL	N;FEM;PL
presley	presley	presley	presley	N;INDF;MASC+FEM;SG	N;MASC;SG
hjemmehørende	indigènes	hjemmehørende	indigène	ADJ	ADJ;MASC;PL
hjemmehørende	natif	hjemmehørende	natif	ADJ	ADJ;MASC;SG
hjemmehørende	indigène	hjemmehørende	indigène	ADJ	ADJ;MASC;SG
hjemmehørende	autochtone	hjemmehørende	autochtone	ADJ	ADJ;MASC;SG
fan	ventilateur	fan	ventilateur	N;INDF;MASC+FEM;SG	N;MASC;SG
fan	éventail	fan	éventail	N;INDF;MASC+FEM;SG	N;MASC;SG
mønter	pièces	mønt	pièce	N;INDF;MASC+FEM;PL	N;FEM;PL
mønter	monnaies	mønt	monnaie	N;INDF;MASC+FEM;PL	N;FEM;PL
debatten	débat	debat	débat	N;DEF;MASC+FEM;SG	N;MASC;SG
hjemland	patrie	hjemland	patrie	N;INDF;NEUT;SG	N;FEM;SG
medlemskab	adhésion	medlemskab	adhésion	N;INDF;NEUT;SG	N;FEM;SG
nederlandsk	hollandaise	nederlandsk	hollandais	ADJ;INDF;SG	ADJ;FEM;SG
nederlandsk	néerlandaise	nederlandsk	néerlandais	ADJ;INDF;SG	ADJ;FEM;SG
