ben	本	ben	本		
lemezek	磁碟	lemez	磁碟	N;NOM;PL	N
lemezek	板	lemez	板	N;NOM;PL	N
élőben	活	élő	活	N;IN+ESS;SG	N
absztrakt	摘要	absztrakt	摘要	N;NOM;SG	N
absztrakt	抽象	absztrakt	抽象	N;NOM;SG	N
kommunisták	共產	kommunista	共產	N;NOM;PL	N
bélyeg	蓋章	bélyeg	蓋章	N;NOM;SG	N
bélyeg	郵票	bélyeg	郵票	N;NOM;SG	N
bélyeg	印章	bélyeg	印章	N;NOM;SG	N
bélyeg	郵票	bélyeg	郵票	N;NOM;SG	N
középre	中間	közép	中間	N;ON+ALL;SG	N
középre	中心	közép	中心	N;ON+ALL;SG	N
középre	中心	közép	中心	N;ON+ALL;SG	N
lehetőségeket	機遇	lehetőség	機遇	N;ACC;PL	N
lehetőségeket	機會	lehetőség	機會	N;ACC;PL	N
adás	廣播	adás	廣播	N;NOM;SG	N
adás	傳輸	adás	傳輸	N;NOM;SG	N
beceneve	暱稱	becenev	暱稱	N;NOM;SG	N
beceneve	綽號	becenev	綽號	N;NOM;SG	N
balett	芭蕾	balett	芭蕾	N;NOM;SG	N
balett	芭蕾	balett	芭蕾	N;NOM;SG	N
jótékonysági	慈善	jótékonysági	慈善	N;NOM;SG	N
jótékonysági	慈善	jótékonysági	慈善	N;NOM;SG	N
turista	遊客	turista	遊客	N;NOM;SG	N
turista	旅遊	turista	旅遊	N;NOM;SG	N
adminisztrátor	署長	adminisztrátor	署長	N;NOM;SG	N
besorolás	評比	besorolás	評比	N;NOM;SG	N
besorolás	分類	besorolás	分類	N;NOM;SG	N
parancs	秩序	parancs	秩序	N;NOM;SG	N
parancs	順序	parancs	順序	N;NOM;SG	N
előállított	製造	előállított	製造	V;INDF;IND;SG;3;PST;FIN;ACT	V
félelem	恐懼	félelem	恐懼	N;NOM;SG	N
jellemzők	特徵	jellemző	特徵	N;NOM;PL	N
jellemzők	特性	jellemző	特性	N;NOM;PL	N
jellemzők	特點	jellemző	特點	N;NOM;PL	N
jellemzők	功能	jellemző	功能	N;NOM;PL	N
jellemzők	特色	jellemző	特色	N;NOM;PL	N
jellemzők	特徵	jellemző	特徵	N;NOM;PL	N
jellemzők	特點	jellemző	特點	N;NOM;PL	N
labdát	球	labda	球	N;ACC;SG	N
szék	椅	szék	椅	N;NOM;SG	N
szék	椅子	szék	椅子	N;NOM;SG	N
szék	椅	szék	椅	N;NOM;SG	N
szék	椅子	szék	椅子	N;NOM;SG	N
sugár	光束	sugár	光束	N;NOM;SG	N
sugár	半徑	sugár	半徑	N;NOM;SG	N
elfogadni	接受	el+fogad	接受	V;NFIN;ACT	V
vizek	水域	víz	水域	N;NOM;PL	N
filmzene	配樂	filmzen	配樂	N;NOM;SG	N
konyha	料理	konyha	料理	N;NOM;SG	N
konyha	美食	konyha	美食	N;NOM;SG	N
konyha	菜	konyha	菜	N;NOM;SG	N
konyha	廚房	konyha	廚房	N;NOM;SG	N
menedzser	經理	menedzser	經理	N;NOM;SG	N
menedzser	經理	menedzser	經理	N;NOM;SG	N
fül	耳	fül	耳	N;NOM;SG	N
fül	耳朵	fül	耳朵	N;NOM;SG	N
fül	耳	fül	耳	N;NOM;SG	N
fül	耳朵	fül	耳朵	N;NOM;SG	N
írással	寫作	írás	寫作	N;INS;SG	N
parasztok	農民	paraszt	農民	N;NOM;PL	N
szoftverek	軟體	szoftver	軟體	N;NOM;PL	N
főnév	名詞	főnév	名詞	N;NOM;SG	N
leírni	描述	le+ír	描述	V;NFIN;ACT	V
rák	蟹	rák	蟹	N;NOM;SG	N
rák	螃蟹	rák	螃蟹	N;NOM;SG	N
rák	癌症	rák	癌症	N;NOM;SG	N
rák	癌	rák	癌	N;NOM;SG	N
múzeumi	博物	múzeumi	博物	N;NOM;SG	N
koponya	骷髏	kopony	骷髏	N;NOM;SG	N
koponya	頭顱	kopony	頭顱	N;NOM;SG	N
koponya	頭骨	kopony	頭骨	N;NOM;SG	N
minősége	素質	minőség	素質	N;NOM;SG	N
minősége	品質	minőség	品質	N;NOM;SG	N
minősége	優質	minőség	優質	N;NOM;SG	N
minősége	質量	minőség	質量	N;NOM;SG	N
dombon	山	dombon	山	N;ON+ESS;SG	N
képesség	能力	képesség	能力	N;NOM;SG	N
képesség	能力	képesség	能力	N;NOM;SG	N
képesség	技藝	képesség	技藝	N;NOM;SG	N
képesség	技巧	képesség	技巧	N;NOM;SG	N
képesség	技能	képesség	技能	N;NOM;SG	N
trón	王座	trón	王座	N;NOM;SG	N
trón	王位	trón	王位	N;NOM;SG	N
trón	寶座	trón	寶座	N;NOM;SG	N
gyémánt	金剛	gyémánt	金剛	N;NOM;SG	N
gyémánt	鑽石	gyémánt	鑽石	N;NOM;SG	N
gyémánt	鑽石	gyémánt	鑽石	N;NOM;SG	N
titkár	秘書	titkár	秘書	N;NOM;SG	N
látnivalók	景點	látnivaló	景點	N;NOM;PL	N
látnivalók	景點	látnivaló	景點	N;NOM;PL	N
gyógyszerész	藥劑	gyógyszerész	藥劑	N;NOM;SG	N
osztályok	師團	osztály	師團	N;NOM;PL	N
osztályok	類別	osztály	類別	N;NOM;PL	N
osztályok	班級	osztály	班級	N;NOM;PL	N
figura	圖	figura	圖	N;NOM;SG	N
arca	臉	az	臉	N;NOM;SG	N
arca	臉部	az	臉部	N;NOM;SG	N
angyalok	天使	angyal	天使	N;NOM;PL	N
lovak	馬	lovak	馬	N;NOM;PL	N
lovak	馬匹	lovak	馬匹	N;NOM;PL	N
fotók	照片	fotó	照片	N;NOM;PL	N
fotók	像片	fotó	像片	N;NOM;PL	N
fotók	像片	fotó	像片	N;NOM;PL	N
fotók	照片	fotó	照片	N;NOM;PL	N
üzlet	購物	üzlet	購物	N;NOM;SG	N
üzlet	店鋪	üzlet	店鋪	N;NOM;SG	N
üzlet	店	üzlet	店	N;NOM;SG	N
üzlet	商店	üzlet	商店	N;NOM;SG	N
üzlet	店	üzlet	店	N;NOM;SG	N
üzlet	商店	üzlet	商店	N;NOM;SG	N
üzlet	企業	üzlet	企業	N;NOM;SG	N
üzlet	業務	üzlet	業務	N;NOM;SG	N
üzlet	商業	üzlet	商業	N;NOM;SG	N
üzlet	商務	üzlet	商務	N;NOM;SG	N
pontszám	分數	pontszám	分數	N;NOM;SG	N
pontszám	得分	pontszám	得分	N;NOM;SG	N
pontszám	分數	pontszám	分數	N;NOM;SG	N
gondolatok	想法	gondolat	想法	N;NOM;PL	N
gondolatok	思想	gondolat	思想	N;NOM;PL	N
gondolatok	思考	gondolat	思考	N;NOM;PL	N
ram	公羊	ram	公羊	N;NOM;SG	N
ram	記憶	ram	記憶	N;NOM;SG	N
járőrök	巡邏	járőr	巡邏	N;NOM;PL	N
járőrök	巡邏	járőr	巡邏	N;NOM;PL	N
szakaszok	階段	szakasz	階段	N;NOM;PL	N
szakaszok	階段	szakasz	階段	N;NOM;PL	N
tea	茶葉	tea	茶葉	N;NOM;SG	N
tea	茶	tea	茶	N;NOM;SG	N
komikus	漫畫	komikus	漫畫	N;NOM;SG	N
fennsík	高原	fennsík	高原	N;NOM;SG	N
nyerni	贏	nyer	贏	V;NFIN;ACT	V
összeesküvés	陰謀	összeesküvés	陰謀	N;NOM;SG	N
gomb	按鍵	gomb	按鍵	N;NOM;SG	N
merénylet	暗殺	merénylet	暗殺	N;NOM;SG	N
meghívott	邀請	meghívott	邀請	V;INDF;IND;SG;3;PST;FIN;ACT	V
meghívott	受邀	meghívott	受邀	V;INDF;IND;SG;3;PST;FIN;ACT	V
jelentést	報告	jelentés	報告	N;ACC;SG	N
fizetni	付費	fizet	付費	V;NFIN;ACT	V
fizetni	付款	fizet	付款	V;NFIN;ACT	V
fizetni	支付	fizet	支付	V;NFIN;ACT	V
vendégek	客戶	vendég	客戶	N;NOM;PL	N
vendégek	顧客	vendég	顧客	N;NOM;PL	N
vendégek	賓	vendég	賓	N;NOM;PL	N
vendégek	來賓	vendég	來賓	N;NOM;PL	N
vendégek	客人	vendég	客人	N;NOM;PL	N
pontokat	點	pont	點	N;ACC;PL	N
labda	球	labda	球	N;NOM;SG	N
fénykép	像片	fénykép	像片	N;NOM;SG	N
fénykép	照片	fénykép	照片	N;NOM;SG	N
fénykép	像片	fénykép	像片	N;NOM;SG	N
fénykép	照片	fénykép	照片	N;NOM;SG	N
fénykép	照片	fénykép	照片	N;NOM;SG	N
fénykép	圖片	fénykép	圖片	N;NOM;SG	N
minták	格局	minta	格局	N;NOM;PL	N
minták	模式	minta	模式	N;NOM;PL	N
minták	樣品	minta	樣品	N;NOM;PL	N
minták	樣本	minta	樣本	N;NOM;PL	N
katonaság	軍方	katonaság	軍方	N;NOM;SG	N
katonaság	軍事	katonaság	軍事	N;NOM;SG	N
naplója	日記	napló	日記	N;NOM;SG	N
járni	散步	jár	散步	V;NFIN;ACT	V
járni	走路	jár	走路	V;NFIN;ACT	V
nemzedék	世代	nemzedék	世代	N;NOM;SG	N
kutyák	犬	kutya	犬	N;NOM;PL	N
kutyák	狗	kutya	狗	N;NOM;PL	N
tapasztalatok	經驗	tapasztalat	經驗	N;NOM;PL	N
tapasztalatok	體驗	tapasztalat	體驗	N;NOM;PL	N
tapasztalatok	體驗	tapasztalat	體驗	N;NOM;PL	N
tapasztalatok	經驗	tapasztalat	經驗	N;NOM;PL	N
volvo	富豪	volvo	富豪	N;NOM;SG	N
formátum	格式	formátum	格式	N;NOM;SG	N
formátum	形式	formátum	形式	N;NOM;SG	N
formátum	格式	formátum	格式	N;NOM;SG	N
fájdalom	痛	fájdalom	痛	N;NOM;SG	N
fájdalom	傷痛	fájdalom	傷痛	N;NOM;SG	N
fájdalom	疼痛	fájdalom	疼痛	N;NOM;SG	N
fájdalom	痛苦	fájdalom	痛苦	N;NOM;SG	N
csaták	戰役	csaták	戰役	N;NOM;PL	N
leszállás	落地	leszállás	落地	N;NOM;SG	N
geometria	幾何	geometria	幾何	N;NOM;SG	N
geometria	幾何	geometria	幾何	N;NOM;SG	N
költségek	費用	költség	費用	N;NOM;PL	N
költségek	成本	költség	成本	N;NOM;PL	N
költségek	費用	költség	費用	N;NOM;PL	N
költségek	成本	költség	成本	N;NOM;PL	N
költségek	費用	költség	費用	N;NOM;PL	N
költségek	開支	költség	開支	N;NOM;PL	N
költségek	支出	költség	支出	N;NOM;PL	N
elhagyott	廢棄	el+hagyott	廢棄	V;INDF;IND;SG;3;PST;FIN;ACT	V
elhagyott	遺棄	el+hagyott	遺棄	V;INDF;IND;SG;3;PST;FIN;ACT	V
szikla	懸崖	szikla	懸崖	N;NOM;SG	N
szikla	崖	szikla	崖	N;NOM;SG	N
szikla	岩	szikla	岩	N;NOM;SG	N
szikla	岩石	szikla	岩石	N;NOM;SG	N
szikla	石頭	szikla	石頭	N;NOM;SG	N
szikla	搖滾	szikla	搖滾	N;NOM;SG	N
birkózás	摔	birkózás	摔	N;NOM;SG	N
férj	丈夫	férj	丈夫	N;NOM;SG	N
infravörös	紅外	infravörös	紅外	N;NOM;SG	N
infravörös	紅外	infravörös	紅外	N;NOM;SG	N
minőség	素質	minőség	素質	N;NOM;SG	N
minőség	品質	minőség	品質	N;NOM;SG	N
minőség	優質	minőség	優質	N;NOM;SG	N
minőség	質量	minőség	質量	N;NOM;SG	N
szakértők	專家	szakértő	專家	N;NOM;PL	N
szigeteket	群島	sziget	群島	N;ACC;PL	N
szigeteket	島嶼	sziget	島嶼	N;ACC;PL	N
szalon	沙龍	szalon	沙龍	N;NOM;SG	N
számítógépek	電子	számítógép	電子	N;NOM;PL	N
számítógépek	電腦	számítógép	電腦	N;NOM;PL	N
egyedek	標本	egyed	標本	N;NOM;PL	N
támad	攻擊	támad	攻擊	V;INDF;IND;SG;3;PRS;FIN;ACT	V
nyíl	箭頭	nyíl	箭頭	N;NOM;SG	N
nyíl	箭號	nyíl	箭號	N;NOM;SG	N
nyíl	箭	nyíl	箭	N;NOM;SG	N
docens	講師	docens	講師	N;NOM;SG	N
törekvés	野心	törekvés	野心	N;NOM;SG	N
törekvés	雄心	törekvés	雄心	N;NOM;SG	N
törekvés	志	törekvés	志	N;NOM;SG	N
füst	煙	füst	煙	N;NOM;SG	N
füst	吸煙	füst	吸煙	N;NOM;SG	N
füst	煙霧	füst	煙霧	N;NOM;SG	N
hibákat	錯誤	hiba	錯誤	N;ACC;PL	N
hibákat	失誤	hiba	失誤	N;ACC;PL	N
szokások	習性	szokás	習性	N;NOM;PL	N
szokások	習慣	szokás	習慣	N;NOM;PL	N
beszéde	講話	beszéd	講話	N;NOM;SG	N
beszéde	演講	beszéd	演講	N;NOM;SG	N
beszéde	語音	beszéd	語音	N;NOM;SG	N
folyóiratok	期刊	folyóirat	期刊	N;NOM;PL	N
narancs	橙	narancs	橙	N;NOM;SG	N
narancs	橘色	narancs	橘色	N;NOM;SG	N
narancs	橘子	narancs	橘子	N;NOM;SG	N
narancs	橙	narancs	橙	N;NOM;SG	N
narancs	橘	narancs	橘	N;NOM;SG	N
narancs	橙	narancs	橙	N;NOM;SG	N
narancs	橘子	narancs	橘子	N;NOM;SG	N
egyszerűsített	簡化	egyszerűsít	簡化	V;INDF;IND;SG;3;PST;FIN;ACT	V
kognitív	認知	kognitív	認知	N;NOM;SG	N
irányítás	施政	irányítás	施政	N;NOM;SG	N
irányítás	治理	irányítás	治理	N;NOM;SG	N
kígyó	蛇	kígyó	蛇	N;NOM;SG	N
ásványi	礦	ásványi	礦	N;NOM;SG	N
ásványi	礦物	ásványi	礦物	N;NOM;SG	N
ásványi	礦	ásványi	礦	N;NOM;SG	N
mérnökök	工程	mérnök	工程	N;NOM;PL	N
doboz	箱	doboz	箱	N;NOM;SG	N
doboz	框	doboz	框	N;NOM;SG	N
doboz	盒	doboz	盒	N;NOM;SG	N
doboz	盒子	doboz	盒子	N;NOM;SG	N
doboz	方	doboz	方	N;NOM;SG	N
formáció	編隊	formáció	編隊	N;NOM;SG	N
önkormányzatok	市	önkormányzat	市	N;NOM;PL	N
önkormányzatok	市鎮	önkormányzat	市鎮	N;NOM;PL	N
mátrix	母體	mátrix	母體	N;NOM;SG	N
mátrix	矩陣	mátrix	矩陣	N;NOM;SG	N
könyvtári	圖書	könyvtári	圖書	N;NOM;SG	N
békák	青蛙	béka	青蛙	N;NOM;PL	N
koncertek	音樂	koncer	音樂	N;NOM;PL	N
statisztikák	統計	statisztika	統計	N;NOM;PL	N
barlangok	洞穴	barlangok	洞穴	N;NOM;PL	N
barlangok	山洞	barlangok	山洞	N;NOM;PL	N
barlangok	洞穴	barlangok	洞穴	N;NOM;PL	N
barlangok	岩	barlangok	岩	N;NOM;PL	N
utazik	遊記	utazik	遊記	V;INDF;IND;SG;3;PRS;FIN;ACT	V
leszármazottai	後裔	le+származott	後裔	N;NOM;PL	N
leszármazottai	後代	le+származott	後代	N;NOM;PL	N
tevékenységek	活動	tevékenység	活動	N;NOM;PL	N
tevékenységek	動態	tevékenység	動態	N;NOM;PL	N
tevékenységek	活動	tevékenység	活動	N;NOM;PL	N
harcosok	勇士	harcos	勇士	N;NOM;PL	N
harcosok	鬥士	harcos	鬥士	N;NOM;PL	N
orvostudomány	藥品	orvostudomány	藥品	N;NOM;SG	N
orvostudomány	藥物	orvostudomány	藥物	N;NOM;SG	N
orvostudomány	醫學	orvostudomány	醫學	N;NOM;SG	N
orvostudomány	藥	orvostudomány	藥	N;NOM;SG	N
orvostudomány	醫藥	orvostudomány	醫藥	N;NOM;SG	N
nitrogén	氮	nitrogén	氮	N;NOM;SG	N
szárnya	翼	szárny	翼	N;NOM;SG	N
növekedés	增量	növekedés	增量	N;NOM;SG	N
tanulás	學	tanulás	學	N;NOM;SG	N
egyenlet	方程	egyenlet	方程	N;NOM;SG	N
egyenlet	方程	egyenlet	方程	N;NOM;SG	N
börtön	監獄	börtön	監獄	N;NOM;SG	N
börtön	監獄	börtön	監獄	N;NOM;SG	N
mélység	深度	mélység	深度	N;NOM;SG	N
grafika	圖形	grafika	圖形	N;NOM;SG	N
grafika	繪圖	grafika	繪圖	N;NOM;SG	N
divízió	組織	divízió	組織	N;NOM;SG	N
személyisége	人格	személyiség	人格	N;NOM;SG	N
személyisége	性格	személyiség	性格	N;NOM;SG	N
személyisége	個性	személyiség	個性	N;NOM;SG	N
tények	事實	tény	事實	N;NOM;PL	N
spirituális	靈性	spirituális	靈性	N;NOM;SG	N
spirituális	精神	spirituális	精神	N;NOM;SG	N
kulcs	按鍵	kulcs	按鍵	N;NOM;SG	N
kulcs	鍵	kulcs	鍵	N;NOM;SG	N
kulcs	鑰匙	kulcs	鑰匙	N;NOM;SG	N
kulcs	鍵	kulcs	鍵	N;NOM;SG	N
kulcs	關鍵	kulcs	關鍵	N;NOM;SG	N
ajánlatot	優惠	ajánlat	優惠	N;ACC;SG	N
asszonyok	婦女	asszony	婦女	N;NOM;PL	N
asszonyok	女性	asszony	女性	N;NOM;PL	N
jogszabályok	法律	jogszabály	法律	N;NOM;PL	N
jogszabályok	法律	jogszabály	法律	N;NOM;PL	N
legendája	傳奇	legenda	傳奇	N;NOM;SG	N
szárnyak	翅膀	szárny	翅膀	N;NOM;PL	N
szárnyak	翼	szárny	翼	N;NOM;PL	N
műveletek	行動	művelet	行動	N;NOM;PL	N
szenátus	元老	szenátus	元老	N;NOM;SG	N
rendezvények	事件	rendezvény	事件	N;NOM;PL	N
rendezvények	活動	rendezvény	活動	N;NOM;PL	N
filmeket	電影	film	電影	N;ACC;PL	N
filmeket	影片	film	影片	N;ACC;PL	N
készülék	裝置	készülék	裝置	N;NOM;SG	N
készülék	電器	készülék	電器	N;NOM;SG	N
készülék	家	készülék	家	N;NOM;SG	N
készülék	電器	készülék	電器	N;NOM;SG	N
készülék	儀器	készülék	儀器	N;NOM;SG	N
készülék	器械	készülék	器械	N;NOM;SG	N
hétvégén	週末	hétvég	週末	N;ON+ESS;SG	N
hétvégén	週末	hétvég	週末	N;ON+ESS;SG	N
extrém	極端	extrém	極端		
márka	品牌	márka	品牌	N;NOM;SG	N
birkózó	摔	birkózó	摔	N;NOM;SG	N
atom	原子	atom	原子	N;NOM;SG	N
atom	原子	atom	原子	N;NOM;SG	N
szabványos	標準	szabványos	標準	N;NOM;SG	N
kábel	纜繩	kábel	纜繩	N;NOM;SG	N
kábel	電纜	kábel	電纜	N;NOM;SG	N
nyak	脖子	nyak	脖子	N;NOM;SG	N
nyak	頸	nyak	頸	N;NOM;SG	N
nyak	頸部	nyak	頸部	N;NOM;SG	N
légitársaság	航空	légitársaság	航空	N;NOM;SG	N
légitársaság	航空	légitársaság	航空	N;NOM;SG	N
légitársaság	航空	légitársaság	航空	N;NOM;SG	N
légitársaság	航空	légitársaság	航空	N;NOM;SG	N
többségi	多數	többségi	多數	ADJ;NOM;SG	ADJ
spears	長矛	spears	長矛	N;NOM;SG	N
univerzum	宇宙	univerzum	宇宙	N;NOM;SG	N
cső	管道	cső	管道	N;NOM;SG	N
cső	管子	cső	管子	N;NOM;SG	N
cső	管子	cső	管子	N;NOM;SG	N
gyümölcs	果實	gyümölcs	果實	N;NOM;SG	N
gyümölcs	水果	gyümölcs	水果	N;NOM;SG	N
gyümölcs	果	gyümölcs	果	N;NOM;SG	N
gyümölcs	果實	gyümölcs	果實	N;NOM;SG	N
gyümölcs	水果	gyümölcs	水果	N;NOM;SG	N
diktatúra	獨裁	diktatúra	獨裁	N;NOM;SG	N
diktatúra	獨裁	diktatúra	獨裁	N;NOM;SG	N
diktatúra	專制	diktatúra	專制	N;NOM;SG	N
diktatúra	專政	diktatúra	專政	N;NOM;SG	N
projektek	項目	projek	項目	N;NOM;PL	N
viselkedése	行為	viselkedés	行為	N;NOM;SG	N
csillagkép	星座	csillagkép	星座	N;NOM;SG	N
holló	烏鴉	holló	烏鴉	N;NOM;SG	N
holló	烏鴉	holló	烏鴉	N;NOM;SG	N
hírességek	名流	híresség	名流	N;NOM;PL	N
hírességek	名人	híresség	名人	N;NOM;PL	N
hírességek	名人	híresség	名人	N;NOM;PL	N
hetente	週刊	hetenik	週刊	N;NOM;SG	N
köd	迷霧	köd	迷霧	N;NOM;SG	N
köd	霧	köd	霧	N;NOM;SG	N
köd	大霧	köd	大霧	N;NOM;SG	N
köd	迷霧	köd	迷霧	N;NOM;SG	N
köd	霧	köd	霧	N;NOM;SG	N
köd	星雲	köd	星雲	N;NOM;SG	N
mostanában	最近	mostanában	最近	N;IN+ESS;SG	N
mostanában	近日	mostanában	近日	N;IN+ESS;SG	N
mostanában	近期	mostanában	近期	N;IN+ESS;SG	N
mostanában	最近	mostanában	最近	N;IN+ESS;SG	N
kompatibilis	相容	kompatibilis	相容	N;NOM;SG	N
ajánlom	推薦	ajánlom	推薦	V;DEF;IND;SG;1;PRS;FIN;ACT	V
sarki	極	sarki	極		
figyelmeztetés	警告	figyelmeztetés	警告	N;NOM;SG	N
figyelmeztetés	警報	figyelmeztetés	警報	N;NOM;SG	N
figyelmeztetés	警示	figyelmeztetés	警示	N;NOM;SG	N
figyelmeztetés	警告	figyelmeztetés	警告	N;NOM;SG	N
boldogság	幸福	boldogság	幸福	N;NOM;SG	N
boldogság	開心	boldogság	開心	N;NOM;SG	N
boldogság	快樂	boldogság	快樂	N;NOM;SG	N
boldogság	幸福	boldogság	幸福	N;NOM;SG	N
szög	釘	szög	釘	N;NOM;SG	N
szög	釘子	szög	釘子	N;NOM;SG	N
szög	指甲	szög	指甲	N;NOM;SG	N
szög	角度	szög	角度	N;NOM;SG	N
szög	角	szög	角	N;NOM;SG	N
megválasztott	當選	megválasztott	當選	V;INDF;IND;SG;3;PST;FIN;ACT	V
időszakos	定期	időszakos	定期	N;NOM;SG	N
időszakos	間歇	időszakos	間歇	N;NOM;SG	N
időszakos	間歇	időszakos	間歇	N;NOM;SG	N
pan	泛	pan	泛		
kalauz	指南	kalauz	指南	N;NOM;SG	N
kalauz	指引	kalauz	指引	N;NOM;SG	N
kalauz	嚮導	kalauz	嚮導	N;NOM;SG	N
vasutak	鐵路	vasú	鐵路	N;NOM;PL	N
vasutak	鐵道	vasú	鐵道	N;NOM;PL	N
tölgy	櫟	tölgy	櫟	N;NOM;SG	N
tölgy	橡樹	tölgy	橡樹	N;NOM;SG	N
tölgy	橡木	tölgy	橡木	N;NOM;SG	N
tölgy	橡	tölgy	橡	N;NOM;SG	N
tölgy	櫟	tölgy	櫟	N;NOM;SG	N
tojás	蛋	tojás	蛋	N;NOM;SG	N
tojás	雞蛋	tojás	雞蛋	N;NOM;SG	N
tojás	卵	tojás	卵	N;NOM;SG	N
tojás	蛋	tojás	蛋	N;NOM;SG	N
tojás	雞蛋	tojás	雞蛋	N;NOM;SG	N
létesítmény	設施	létesítmény	設施	N;NOM;SG	N
homok	沙子	hom	沙子	N;NOM;SG	N
homok	砂	hom	砂	N;NOM;SG	N
homok	金砂	hom	金砂	N;NOM;SG	N
csók	接吻	csók	接吻	N;NOM;SG	N
csók	吻	csók	吻	N;NOM;SG	N
csók	親親	csók	親親	N;NOM;SG	N
csók	親吻	csók	親吻	N;NOM;SG	N
csók	吻	csók	吻	N;NOM;SG	N
csók	親	csók	親	N;NOM;SG	N
csók	親親	csók	親親	N;NOM;SG	N
csók	親吻	csók	親吻	N;NOM;SG	N
veszteségeket	虧損	veszteség	虧損	N;ACC;PL	N
veszteségeket	損失	veszteség	損失	N;ACC;PL	N
szurkolók	粉絲	szurkoló	粉絲	N;NOM;PL	N
üzemeltető	經營	üzemeltető	經營	V;INDF;IND;SG;3;PST;FIN;ACT	V
kezdetek	開端	kezdet	開端	N;NOM;PL	N
főnök	首席	főnök	首席	N;NOM;SG	N
főnök	科長	főnök	科長	N;NOM;SG	N
főnök	老大	főnök	老大	N;NOM;SG	N
főnök	老闆	főnök	老闆	N;NOM;SG	N
szülő	家長	szülő	家長	N;NOM;SG	N
szülő	父母	szülő	父母	N;NOM;SG	N
áruház	店	áruház	店	N;NOM;SG	N
áruház	商店	áruház	商店	N;NOM;SG	N
koordináta	坐標	koordináta	坐標	N;NOM;SG	N
koordináta	坐標	koordináta	坐標	N;NOM;SG	N
koordináta	座	koordináta	座	N;NOM;SG	N
horror	恐怖	horror	恐怖	N;NOM;SG	N
utasok	乘客	utas	乘客	N;NOM;PL	N
utasok	旅客	utas	旅客	N;NOM;PL	N
teológia	神學	teológia	神學	N;NOM;SG	N
hamburger	漢堡	hamburger	漢堡	N;NOM;SG	N
szál	纖維	szál	纖維	N;NOM;SG	N
szál	線	szál	線	N;NOM;SG	N
centrum	中心	centrum	中心	N;NOM;SG	N
fát	木	fát	木	N;ACC;SG	N
fát	木材	fát	木材	N;ACC;SG	N
fát	木頭	fát	木頭	N;ACC;SG	N
hatásai	特效	hatás	特效	N;NOM;PL	N
hatásai	效應	hatás	效應	N;NOM;PL	N
hatásai	效果	hatás	效果	N;NOM;PL	N
bűncselekmény	重罪	bűncselekmény	重罪	N;NOM;SG	N
bűncselekmény	犯罪	bűncselekmény	犯罪	N;NOM;SG	N
diploma	文	diploma	文	N;NOM;SG	N
diploma	度	diploma	度	N;NOM;SG	N
diploma	程度	diploma	程度	N;NOM;SG	N
diploma	學位	diploma	學位	N;NOM;SG	N
belseje	內政	belső	內政	N;NOM;SG	N
belseje	內部	belső	內部	N;NOM;SG	N
belseje	內地	belső	內地	N;NOM;SG	N
következményei	後果	következmény	後果	N;NOM;PL	N
boszorkány	女巫	boszorkány	女巫	N;NOM;SG	N
boszorkány	魔女	boszorkány	魔女	N;NOM;SG	N
boszorkány	巫	boszorkány	巫	N;NOM;SG	N
fészek	窩	fész	窩	N;NOM;SG	N
fészek	巢穴	fész	巢穴	N;NOM;SG	N
fészek	巢	fész	巢	N;NOM;SG	N
szocializmus	社會	szocializmus	社會	N;NOM;SG	N
botrány	醜聞	botrány	醜聞	N;NOM;SG	N
botrány	緋聞	botrány	緋聞	N;NOM;SG	N
asszisztensek	助理	assziszten	助理	N;NOM;PL	N
csarnok	廳	csarnok	廳	N;NOM;SG	N
csarnok	大廳	csarnok	大廳	N;NOM;SG	N
sex	性別	sex	性別	N;NOM;SG	N
sex	性	sex	性	N;NOM;SG	N
sex	性	sex	性	N;NOM;SG	N
sex	性	sex	性	N;NOM;SG	N
autóval	車	autó	車	N;INS;SG	N
autóval	汽車	autó	汽車	N;INS;SG	N
szépség	美容	szépség	美容	N;NOM;SG	N
szépség	美女	szépség	美女	N;NOM;SG	N
csomag	包裝	csomag	包裝	N;NOM;SG	N
utazási	旅行	utazási	旅行	N;NOM;SG	N
utazási	旅費	utazási	旅費	N;NOM;SG	N
utazási	旅遊	utazási	旅遊	N;NOM;SG	N
radioaktív	輻射	radioaktív	輻射	N;NOM;SG	N
lezárt	封存	lezárt	封存	V;INDF;IND;SG;3;PST;FIN;ACT	V
hónapja	月	hónap	月	N;NOM;SG	N
hónapja	個	hónap	個	N;NOM;SG	N
hónapja	月份	hónap	月份	N;NOM;SG	N
sör	啤酒	sör	啤酒	N;NOM;SG	N
sorba	佇列	sor	佇列	N;IN+ALL;SG	N
szemét	垃圾	szem	垃圾	N;ACC;SG	N
szemét	垃圾	szem	垃圾	N;ACC;SG	N
szemét	垃圾	szem	垃圾	N;ACC;SG	N
lakás	平面	lakás	平面	N;NOM;SG	N
lakás	公寓	lakás	公寓	N;NOM;SG	N
lakás	公寓	lakás	公寓	N;NOM;SG	N
lakás	住宅	lakás	住宅	N;NOM;SG	N
lakás	住房	lakás	住房	N;NOM;SG	N
szombaton	星期	szombat	星期	N;ON+ESS;SG	N
szombaton	週六	szombat	週六	N;ON+ESS;SG	N
átalakított	修改	átalakított	修改	V;INDF;IND;SG;3;PST;FIN;ACT	V
átalakított	改編	átalakított	改編	V;INDF;IND;SG;3;PST;FIN;ACT	V
bizonyítékok	證據	bizonyítékok	證據	N;NOM;PL	N
