the	de	the	de	DET;DEF	DET;DEF
tales	verhalen	tale	verhaal	N;PL	N;PL
implementation	uitvoering	implementation	uitvoering	N;SG	N;MASC+FEM;SG
implementation	tenuitvoerlegging	implementation	tenuitvoerlegging	N;SG	N;MASC+FEM;SG
implementation	implementatie	implementation	implementatie	N;SG	N;MASC+FEM;SG
truck	vrachtauto	truck	vrachtauto	N;SG	N;MASC+FEM;SG
truck	truck	truck	truck	N;SG	N;MASC+FEM;SG
truck	vrachtwagen	truck	vrachtwagen	N;SG	N;MASC+FEM;SG
spelling	spelling	spelling	spelling	N;SG	N;MASC+FEM;SG
item	item	item	item	N;SG	N;NEUT;SG
customers	klanten	customer	klant	N;PL	N;PL
customers	afnemers	customer	afnemer	N;PL	N;PL
adds	voegt	add	voegen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
spaces	ruimtes	space	ruimte	N;PL	N;PL
spaces	spaties	space	spatie	N;PL	N;PL
spaces	ruimten	space	ruimte	N;PL	N;PL
cap	dop	cap	dop	N;SG	N;MASC+FEM;SG
cap	cap	cap	cap	N;SG	N;MASC+FEM;SG
ferry	ferry	ferry	ferry	N;SG	N;MASC+FEM;SG
ferry	veerboot	ferry	veerboot	N;SG	N;MASC+FEM;SG
push	duwen	push	duw	V;IMP;FIN	V;NFIN
push	persen	push	pers	V;IMP;FIN	V;NFIN
lie	liegen	lie	liegen	V;IMP;FIN	V;NFIN
lie	lieg	lie	laag	V;IMP;FIN	V;SG;PRS;FIN
throne	troon	throne	troon	N;SG	N;MASC+FEM;SG
attracted	aangetrokken	attract	aantrekken	V;PST;V.PTCP	V;V.PTCP
lion	lion	lion	lion	N;SG	N;MASC+FEM;SG
lion	leeuw	lion	leeuw	N;SG	N;MASC+FEM;SG
retrieved	teruggehaald	retrieve	terughalen	V;PST;V.PTCP	V;V.PTCP
retrieved	opgehaald	retrieve	ophalen	V;PST;V.PTCP	V;V.PTCP
manor	manor	manor	manor	N;SG	N;NEUT;SG
serial	serienummer	serial	serienummer	N;SG	N;NEUT;SG
rogers	rogers	roger	roger	N;PL	N;PL
lights	lichtjes	light	licht	N;PL	N;PL
lights	lampen	light	lamp	N;PL	N;PL
grandfather	grootvader	grandfather	grootvader	N;SG	N;MASC+FEM;SG
grandfather	opa	grandfather	opa	N;SG	N;MASC+FEM;SG
concerts	concerten	concert	concert	N;PL	N;PL
elder	elder	elder	elder	N;SG	N;MASC+FEM;SG
chase	achtervolging	chase	achtervolging	N;SG	N;MASC+FEM;SG
chase	chase	chase	chase	N;SG	N;MASC+FEM;SG
computers	computers	computer	computer	N;PL	N;PL
flower	bloem	flower	bloem	N;SG	N;MASC+FEM;SG
flower	bloempje	flower	bloem	N;SG	N;NEUT;SG
flower	bloemetje	flower	bloemetje	N;SG	N;NEUT;SG
thai	thaise	thai	thais	ADJ	ADJ
disaster	catastrofe	disaster	catastrofe	N;SG	N;MASC+FEM;SG
disaster	ramp	disaster	ramp	N;SG	N;MASC+FEM;SG
disaster	rampspoed	disaster	rampspoed	N;SG	N;MASC+FEM;SG
survive	overleven	survive	overleven	V;IMP;FIN	V;NFIN
survive	overleef	survive	overleef	V;IMP;FIN	V;SG;PRS;FIN
involves	betrekt	involve	betrekken	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
clothing	kleding	clothing	kleding	N;SG	N;MASC+FEM;SG
clothing	kledij	clothing	kledij	N;SG	N;MASC+FEM;SG
sharp	scherp	sharp	scherp	ADJ	ADJ
sharp	scherpe	sharp	scherp	ADJ	ADJ
explains	verklaart	explain	verklaren	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
meat	vlees	meat	vlees	N;SG	N;NEUT;SG
spam	spam	spam	spam	N;SG	N;NEUT;SG
telephone	telefoon	telephone	telefoon	N;SG	N;MASC+FEM;SG
moral	morele	moral	moreel	ADJ	ADJ
moral	moreel	moral	moreel	ADJ	ADJ
sung	gezongen	sung	zingen	V;PST;V.PTCP	V;V.PTCP
lawyers	juristen	lawyer	jurist	N;PL	N;PL
lawyers	advocaten	lawyer	advocaat	N;PL	N;PL
interviews	interviews	interview	interview	N;PL	N;PL
radar	radar	radar	radar	N;SG	N;MASC+FEM;SG
tea	thee	tea	thee	N;SG	N;MASC+FEM;SG
bright	helder	bright	helder	ADJ	ADJ
bright	fel	bright	fel	ADJ	ADJ
improving	verbeteren	improve	verbeteren	V;V.MSDR	V;NFIN
heaven	hemel	heaven	hemel	N;SG	N;MASC+FEM;SG
athlete	sporter	athlete	sporter	N;SG	N;MASC+FEM;SG
athlete	atlete	athlete	atlete	N;SG	N;MASC+FEM;SG
athlete	atleet	athlete	atleet	N;SG	N;MASC+FEM;SG
aspect	aspect	aspect	aspect	N;SG	N;NEUT;SG
answers	antwoorden	answer	antwoord	N;PL	N;PL
consumer	consument	consumer	consument	N;SG	N;MASC+FEM;SG
funded	gefinancierd	fund	financieren	V;PST;V.PTCP	V;V.PTCP
exclusive	exclusieve	exclusive	exclusief	ADJ	ADJ
exclusive	exclusief	exclusive	exclusief	ADJ	ADJ
allies	bondgenoten	ally	bondgenoot	N;PL	N;PL
allies	geallieerden	ally	geallieerde	N;PL	N;PL
reviewer	recensent	reviewer	recensent	N;SG	N;MASC+FEM;SG
missile	raket	missile	raket	N;SG	N;MASC+FEM;SG
mechanism	mechanisme	mechanism	mechanisme	N;SG	N;NEUT;SG
withdrawn	ingetrokken	withdraw	intrekken	V;PST;V.PTCP	V;V.PTCP
withdrawn	teruggetrokken	withdraw	terugtrekken	V;PST;V.PTCP	V;V.PTCP
intention	intentie	intention	intentie	N;SG	N;MASC+FEM;SG
casualties	slachtoffers	casualty	slachtoffer	N;PL	N;PL
diseases	ziektes	disease	ziekte	N;PL	N;PL
diseases	ziekten	disease	ziekte	N;PL	N;PL
rhythm	ritme	rhythm	ritme	N;SG	N;NEUT;SG
catch	catch	catch	catch	N;SG	N;MASC+FEM;SG
catch	vangst	catch	vangst	N;SG	N;MASC+FEM;SG
poll	enquête	poll	enquyt	N;SG	N;MASC+FEM;SG
poll	poll	poll	poll	N;SG	N;MASC+FEM;SG
poll	opiniepeiling	poll	opiniepeiling	N;SG	N;MASC+FEM;SG
poll	peiling	poll	peiling	N;SG	N;MASC+FEM;SG
deck	dek	deck	dek	N;SG	N;NEUT;SG
deck	deck	deck	decken	N;SG	N;MASC+FEM;SG
lasted	duurde	last	duren	V;PST;V.PTCP	V;SG;PST;FIN
ranges	marges	range	marge	N;PL	N;PL
ordinary	gewone	ordinary	gewoon	ADJ	ADJ
insects	insecten	insect	insecten	N;PL	N;PL
worship	aanbidding	worship	aanbidding	N;SG	N;MASC+FEM;SG
worship	verering	worship	verering	N;SG	N;MASC+FEM;SG
boundaries	grenzen	boundary	grens	N;PL	N;PL
blind	blind	blind	blind	ADJ	ADJ
blind	blinde	blind	blind	ADJ	ADJ
blind	blinden	blind	blinden	ADJ	ADJ
pakistani	pakistaanse	pakistani	pakistaans	ADJ	ADJ
patterns	patronen	pattern	patroon	N;PL	N;PL
arrangement	regeling	arrangement	regeling	N;SG	N;MASC+FEM;SG
arrangement	arrangement	arrangement	arrangement	N;SG	N;NEUT;SG
globe	aardbol	globe	aardbol	N;SG	N;MASC+FEM;SG
globe	globe	globe	globe	N;SG	N;MASC+FEM;SG
experiment	experiment	experiment	experiment	N;SG	N;NEUT;SG
radical	radicaal	radical	radicaal	ADJ	ADJ
radical	radicale	radical	radicaal	ADJ	ADJ
gov	gov	gov	gov	N;SG	N;MASC+FEM;SG
legs	beentjes	leg	been	N;PL	N;PL
legs	poten	leg	poten	N;PL	N;PL
legs	benen	leg	been	N;PL	N;PL
opponent	tegenstander	opponent	tegenstander	N;SG	N;MASC+FEM;SG
diameter	diameter	diameter	diameter	N;SG	N;MASC+FEM;SG
supplies	benodigdheden	supplies	benodigdheid	N;PL	N;PL
supplies	voorraden	supplies	voorraad	N;PL	N;PL
supplies	leveringen	supplies	levering	N;PL	N;PL
pitch	worp	pitch	worp	N;SG	N;MASC+FEM;SG
pitch	pek	pitch	pek	N;SG	N;MASC+FEM;SG
pitch	pitch	pitch	pitch	N;SG	N;MASC+FEM;SG
utility	bruikbaarheid	utility	bruikbaarheid	N;SG	N;MASC+FEM;SG
utility	nut	utility	nut	N;SG	N;NEUT;SG
utility	hulpprogramma	utility	hulpprogramma	N;SG	N;NEUT;SG
cleanup	opruiming	cleanup	opruiming	N;SG	N;MASC+FEM;SG
opponents	tegenstanders	opponent	tegenstander	N;PL	N;PL
regime	regime	regime	regime	N;SG	N;NEUT;SG
revised	herzien	revise	herzien	V;PST;V.PTCP	V;V.PTCP
genera	geslachten	genera	slachten	N;PL	N;PL
diplomatic	diplomatiek	diplomatic	diplomatiek	ADJ	ADJ
diplomatic	diplomatieke	diplomatic	diplomatiek	ADJ	ADJ
germans	duitsers	german	duitser	N;PL	N;PL
seal	zegel	seal	zegel	N;SG	N;NEUT;SG
seal	zeehond	seal	zeehond	N;SG	N;MASC+FEM;SG
seal	verzegeling	seal	verzegeling	N;SG	N;MASC+FEM;SG
corresponding	corresponderende	corresponding	corresponderen	V;V.MSDR	V;V.PTCP
concepts	concepten	concept	concepten	N;PL	N;PL
concepts	begrippen	concept	begrip	N;PL	N;PL
sword	degen	sword	degen	N;SG	N;SG
sword	zwaard	sword	zwaard	N;SG	N;NEUT;SG
pending	afwachting	pend	afwachting	N;SG	N;MASC+FEM;SG
virus	virus	virus	virus	N;SG	N;NEUT;SG
populations	populaties	population	populatie	N;PL	N;PL
populations	bevolkingen	population	bevolking	N;PL	N;PL
bull	stier	bull	stier	N;SG	N;MASC+FEM;SG
bull	bull	bull	bull	N;SG	N;MASC+FEM;SG
drummer	drummer	drummer	drummer	N;SG	N;MASC+FEM;SG
presents	presenteert	present	presenteren	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
bias	vooringenomenheid	bias	vooringenomenheid	N;SG	N;MASC+FEM;SG
bias	vooroordeel	bias	vooroordeel	N;SG	N;NEUT;SG
merger	fusie	merger	fusie	N;SG	N;MASC+FEM;SG
remote	remote	remote	remote	N;SG	N;MASC+FEM;SG
remote	afstandsbediening	remote	afstandsbediening	N;SG	N;MASC+FEM;SG
messages	boodschappen	message	boodschap	N;PL	N;PL
messages	berichten	message	bericht	N;PL	N;PL
rebellion	rebellie	rebellion	rebellie	N;SG	N;MASC+FEM;SG
rebellion	opstand	rebellion	opstand	N;SG	N;MASC+FEM;SG
premiere	première	premiere	première	N;SG	N;MASC+FEM;SG
premiere	premiere	premiere	premier	N;SG	N;MASC+FEM;SG
physician	arts	physician	arts	N;SG	N;MASC+FEM;SG
physician	geneesheer	physician	geneesheer	N;SG	N;MASC+FEM;SG
victim	slachtoffer	victim	slachtoffer	N;SG	N;NEUT;SG
angels	engeltjes	angel	engel	N;PL	N;PL
angels	engelen	angel	engel	N;PL	N;PL
angels	angels	angel	angel	N;PL	N;PL
noise	lawaai	noise	lawaai	N;SG	N;NEUT;SG
noise	geluid	noise	geluid	N;SG	N;NEUT;SG
noise	geluidshinder	noise	geluidshinder	N;SG	N;MASC+FEM;SG
noise	ruis	noise	ruis	N;SG	N;MASC+FEM;SG
duo	duo	duo	duo	N;SG	N;NEUT;SG
beer	biertje	beer	biertje	N;SG	N;NEUT;SG
beer	bier	beer	bier	N;SG	N;NEUT;SG
palestinian	palestijns	palestinian	palestijns	ADJ	ADJ
palestinian	palestijnse	palestinian	palestijns	ADJ	ADJ
copper	koper	copper	koper	N;SG	N;MASC+FEM;SG
jurisdiction	rechtsgebied	jurisdiction	rechtsgebied	N;SG	N;NEUT;SG
jurisdiction	jurisdictie	jurisdiction	jurisdictie	N;SG	N;MASC+FEM;SG
jurisdiction	bevoegdheid	jurisdiction	bevoegdheid	N;SG	N;MASC+FEM;SG
implemented	uitgevoerd	implement	uitvoeren	V;PST;V.PTCP	V;V.PTCP
implemented	geïmplementeerd	implement	meïplementeerd	V;PST;V.PTCP	V;V.PTCP
improvements	verbeteringen	improvement	verbetering	N;PL	N;PL
loop	lus	loop	lus	N;SG	N;MASC+FEM;SG
drum	drum	drum	drum	N;SG	N;MASC+FEM;SG
drum	trom	drum	trom	N;SG	N;MASC+FEM;SG
drum	trommel	drum	trommel	N;SG	N;MASC+FEM;SG
dramatic	dramatische	dramatic	dramatisch	ADJ	ADJ
dramatic	dramatisch	dramatic	dramatisch	ADJ	ADJ
talks	gesprekken	talk	gesprek	N;PL	N;PL
earthquake	aardbeving	earthquake	aardbeving	N;SG	N;MASC+FEM;SG
hat	hoed	hat	hoed	N;SG	N;MASC+FEM;SG
hat	pet	hat	pet	N;SG	N;MASC+FEM;SG
hat	hat	hat	hat	N;SG	N;MASC+FEM;SG
hat	muts	hat	muts	N;SG	N;MASC+FEM;SG
requirement	eis	requirement	eis	N;SG	N;MASC+FEM;SG
requirement	voorschrift	requirement	voorschrift	N;SG	N;NEUT;SG
tanks	tanks	tank	tank	N;PL	N;PL
presidents	presidenten	president	president	N;PL	N;PL
presidents	voorzitters	president	voorzitter	N;PL	N;PL
societies	samenlevingen	society	samenleving	N;PL	N;PL
defending	verdedigen	defend	verdedigen	V;V.MSDR	V;NFIN
alcohol	alcohol	alcohol	alcohol	N;SG	N;MASC+FEM;SG
sang	zongen	sang	zongen	V;IMP;FIN	V;PL;PST;FIN
sang	zong	sang	zingen	V;IMP;FIN	V;SG;PST;FIN
sang	gezongen	sang	zingen	V;IMP;FIN	V;V.PTCP
eat	eet	eat	emmen	V;IMP;FIN	V;SG;PRS;FIN
eat	eten	eat	eten	V;IMP;FIN	V;NFIN
graphics	grafieken	graphic	grafiek	N;PL	N;PL
graphics	graphics	graphic	graphics	N;PL	N;PL
constituencies	kiesdistricten	constituency	kiesdistrict	N;PL	N;PL
coffee	koffie	coffee	koffie	N;SG	N;MASC+FEM;SG
chancellor	bondskanselier	chancellor	bondskanselier	N;SG	N;MASC+FEM;SG
chancellor	kanselier	chancellor	kanselier	N;SG	N;MASC+FEM;SG
destroy	verwoesten	destroy	verwoesten	V;IMP;FIN	V;NFIN
destroy	vernietigen	destroy	vernietigen	V;IMP;FIN	V;NFIN
destroy	vernietig	destroy	vernietig	V;IMP;FIN	V;SG;PRS;FIN
tons	tonnen	ton	tonnen	N;PL	N;PL
connections	connecties	connection	connectie	N;PL	N;PL
connections	aansluitingen	connection	aansluiting	N;PL	N;PL
connections	verbindingen	connection	verbinding	N;PL	N;PL
rush	rush	rush	rush	N;SG	N;MASC+FEM;SG
heights	hoogten	height	hoogte	N;PL	N;PL
heights	hoogtes	height	hoog	N;PL	N;PL
outcome	uitkomst	outcome	uitkomst	N;SG	N;MASC+FEM;SG
outcome	resultaat	outcome	resultaat	N;SG	N;NEUT;SG
cardinals	kardinalen	cardinal	kardinaal	N;PL	N;PL
fill	vullen	fill	vullen	V;IMP;FIN	V;NFIN
fill	vul	fill	vul	V;IMP;FIN	V;SG;PRS;FIN
fill	opvullen	fill	opvullen	V;IMP;FIN	V;NFIN
recipient	geadresseerde	recipient	geadresseerde	N;SG	N;MASC+FEM;SG
recipient	ontvanger	recipient	ontvanger	N;SG	N;MASC+FEM;SG
traditions	tradities	tradition	traditie	N;PL	N;PL
fundamental	fundamenteel	fundamental	fundamenteel	ADJ	ADJ
fundamental	fundamentele	fundamental	fundamenteel	ADJ	ADJ
thin	mager	thin	maag	ADJ	ADJ
thin	dun	thin	dun	ADJ	ADJ
resolved	opgeloste	resolve	oplossen	V;PST;V.PTCP	V;V.PTCP
resolved	vastbesloten	resolve	vastbesloten	V;PST;V.PTCP	V;V.PTCP
resolved	opgelost	resolve	oplossen	V;PST;V.PTCP	V;V.PTCP
departments	afdelingen	department	afdeling	N;PL	N;PL
departments	departementen	department	departement	N;PL	N;PL
shield	afscherming	shield	afscherming	N;SG	N;MASC+FEM;SG
shield	schild	shield	schild	N;SG	N;NEUT;SG
fighters	strijders	fighter	strijder	N;PL	N;PL
fighters	vechters	fighter	vechter	N;PL	N;PL
fighters	fighters	fighter	fighter	N;PL	N;PL
fighters	boksers	fighter	bokser	N;PL	N;PL
writings	geschriften	writings	geschrift	N;PL	N;PL
sentenced	veroordeeld	sentence	veroordelen	V;PST;V.PTCP	V;V.PTCP
violent	gewelddadige	violent	gewelddadig	ADJ	ADJ
violent	gewelddadig	violent	gewelddadig	ADJ	ADJ
margin	marge	margin	marge	N;SG	N;MASC+FEM;SG
pirates	piraten	pirate	piraat	N;PL	N;PL
pirates	pirates	pirate	pirate	N;PL	N;PL
collective	collectief	collective	collectief	ADJ	ADJ
collective	collectieve	collective	collectief	ADJ	ADJ
diesel	dieselolie	diesel	dieselolie	N;SG	N;MASC+FEM;SG
diesel	diesel	diesel	diesel	N;SG	N;MASC+FEM;SG
liberation	bevrijding	liberation	bevrijding	N;SG	N;MASC+FEM;SG
activists	activisten	activist	activist	N;PL	N;PL
rider	rider	rider	rider	N;SG	N;MASC+FEM;SG
rider	rijder	rider	rijder	N;SG	N;MASC+FEM;SG
rider	ruiter	rider	ruiter	N;SG	N;MASC+FEM;SG
reduction	verlaging	reduction	verlaging	N;SG	N;MASC+FEM;SG
reduction	reductie	reduction	reductie	N;SG	N;MASC+FEM;SG
reduction	vermindering	reduction	vermindering	N;SG	N;MASC+FEM;SG
genetic	genetische	genetic	genetisch	ADJ	ADJ
genetic	genetisch	genetic	genetisch	ADJ	ADJ
milk	melk	milk	melk	N;SG	N;MASC+FEM;SG
romance	romance	romance	romance	N;SG	N;MASC+FEM;SG
romance	romantiek	romance	romantiek	N;SG	N;MASC+FEM;SG
intellectual	intellectuele	intellectual	intellectueel	ADJ	ADJ
intellectual	intellectueel	intellectual	intellectueel	ADJ	ADJ
latino	latino	latino	latino	ADJ	ADJ
arbitration	arbitrage	arbitration	arbitrage	N;SG	N;MASC+FEM;SG
interface	interface	interface	interface	N;SG	N;MASC+FEM;SG
interface	raakvlak	interface	raakvlak	N;SG	N;NEUT;SG
lifetime	looptijd	lifetime	looptijd	N;SG	N;MASC+FEM;SG
lifetime	levensduur	lifetime	levensduur	N;SG	N;MASC+FEM;SG
anglican	anglicaanse	anglican	anglicaans	ADJ	ADJ
mistake	vergissing	mistake	vergissing	N;SG	N;MASC+FEM;SG
mistake	fout	mistake	fout	N;SG	N;MASC+FEM;SG
mistake	foutje	mistake	foutje	N;SG	N;NEUT;SG
embassy	ambassade	embassy	ambassade	N;SG	N;MASC+FEM;SG
murdered	vermoord	murder	vermoorden	V;PST;V.PTCP	V;V.PTCP
murdered	vermoorde	murder	vermoorden	V;PST;V.PTCP	V;SG;PST;FIN
suspended	onderbroken	suspend	onderbreken	V;PST;V.PTCP	V;V.PTCP
suspended	geschorst	suspend	schorsen	V;PST;V.PTCP	V;V.PTCP
suspended	opgeschort	suspend	opschorten	V;PST;V.PTCP	V;V.PTCP
sum	sum	sum	sum	N;SG	N;MASC+FEM;SG
sum	som	sum	som	N;SG	N;MASC+FEM;SG
mythology	mythologie	mythology	mythologie	N;SG	N;MASC+FEM;SG
confusion	verwardheid	confusion	verwardheid	N;SG	N;MASC+FEM;SG
confusion	verwarring	confusion	verwarring	N;SG	N;MASC+FEM;SG
therapy	therapie	therapy	therapie	N;SG	N;MASC+FEM;SG
occasion	gelegenheid	occasion	gelegenheid	N;SG	N;MASC+FEM;SG
exposed	belicht	expose	belicht	V;PST;V.PTCP	V;V.PTCP
exposed	blootgesteld	expose	blootstellen	V;PST;V.PTCP	V;V.PTCP
assisted	bijgestaan	assist	bijstaan	V;PST;V.PTCP	V;V.PTCP
possession	bezetenheid	possession	bezetenheid	N;SG	N;MASC+FEM;SG
defend	verdedigen	defend	verdedigen	V;IMP;FIN	V;NFIN
defend	verdedig	defend	verdedig	V;IMP;FIN	V;SG;PRS;FIN
devoted	gewijd	devote	wijden	V;PST;V.PTCP	V;V.PTCP
graphic	grafisch	graphic	grafisch	ADJ	ADJ
graphic	grafische	graphic	grafisch	ADJ	ADJ
warfare	oorlogsvoering	warfare	oorlogsvoering	N;SG	N;MASC+FEM;SG
warfare	oorlogvoering	warfare	oorlogvoering	N;SG	N;MASC+FEM;SG
informed	geïnformeerd	inform	informeren	V;PST;V.PTCP	V;V.PTCP
anonymous	anoniem	anonymous	anoniem	ADJ	ADJ
anonymous	anonieme	anonymous	anoniem	ADJ	ADJ
soap	zeep	soap	zijn	N;SG	N;MASC+FEM;SG
soap	soap	soap	soap	N;SG	N;MASC+FEM;SG
territorial	territoriale	territorial	territoriaal	ADJ	ADJ
territorial	territoriaal	territorial	territoriaal	ADJ	ADJ
playoffs	playoffs	playoff	playoffs	N;PL	N;PL
boss	baas	boss	baas	N;SG	N;MASC+FEM;SG
boss	boss	boss	boss	N;SG	N;MASC+FEM;SG
quoted	aangehaalde	quote	aanhalen	V;PST;V.PTCP	V;V.PTCP
quoted	aangehaald	quote	aanhalen	V;PST;V.PTCP	V;V.PTCP
quoted	geciteerde	quote	citeren	V;PST;V.PTCP	V;V.PTCP
quoted	geciteerd	quote	citeren	V;PST;V.PTCP	V;V.PTCP
byzantine	byzantijnse	byzantine	byzantijns	ADJ	ADJ
poster	poster	poster	poster	N;SG	N;MASC+FEM;SG
poster	affiche	poster	affiche	N;SG	N;MASC+FEM;SG
geographic	geografisch	geographic	geografisch	ADJ	ADJ
rebounds	rebounds	rebound	rebound	N;PL	N;PL
venture	venture	venture	venture	N;SG	N;MASC+FEM;SG
worse	erger	worse	erg	ADJ;CMPR	ADJ;CMPR
worse	slechter	worse	slecht	ADJ;CMPR	ADJ;CMPR
restricted	beperkt	restrict	beperken	V;PST;V.PTCP	V;V.PTCP
restricted	beperkte	restrict	beperken	V;PST;V.PTCP	V;SG;PST;FIN
advocate	advocate	advocate	advocate	N;SG	N;MASC+FEM;SG
doors	deuren	door	deur	N;PL	N;PL
situations	situaties	situation	situatie	N;PL	N;PL
instructions	instructies	instruction	instructie	N;PL	N;PL
tables	tabellen	table	tabel	N;PL	N;PL
tables	tafels	table	tafel	N;PL	N;PL
leaf	blaadje	leaf	blaad	N;SG	N;NEUT;SG
leaf	blad	leaf	blad	N;SG	N;NEUT;SG
shoot	schieten	shoot	schieten	V;IMP;FIN	V;NFIN
shoot	schiet	shoot	schieten	V;IMP;FIN	V;SG;PRS;FIN
substitute	plaatsvervanger	substitute	plaatsvervanger	N;SG	N;MASC+FEM;SG
substitute	substituut	substitute	substituut	N;SG	N;NEUT;SG
substitute	vervanger	substitute	vervanger	N;SG	N;MASC+FEM;SG
substitute	vervanging	substitute	vervanging	N;SG	N;MASC+FEM;SG
spoke	sprak	speak	spreken	V;IND;PST;FIN	V;SG;PST;FIN
spoke	spraken	speak	spreken	V;IND;PST;FIN	V;PL;PST;FIN
errors	fouten	error	fout	N;PL	N;PL
errors	vergissingen	error	vergissing	N;PL	N;PL
enjoyed	genoten	enjoy	genieten	V;IND;PST;FIN	V;V.PTCP
framework	raamwerk	framework	raamwerk	N;SG	N;NEUT;SG
framework	framework	framework	framework	N;SG	N;NEUT;SG
framework	kader	framework	kader	N;SG	N;NEUT;SG
shakespeare	shakespeare	shakespeare	shakespeaar	N;SG	N;MASC+FEM;SG
immigration	immigratie	immigration	immigratie	N;SG	N;MASC+FEM;SG
immigration	immigratiedienst	immigration	immigratiedienst	N;SG	N;MASC+FEM;SG
mirror	spiegeltje	mirror	spiegel	N;SG	N;NEUT;SG
mirror	spiegel	mirror	spiegel	N;SG	N;MASC+FEM;SG
mirror	mirror	mirror	mirror	N;SG	N;MASC+FEM;SG
certified	gecertificeerde	certified	certificeren	V;PST;V.PTCP	V;V.PTCP
certified	gecertificeerd	certified	certificeren	V;PST;V.PTCP	V;V.PTCP
certified	gediplomeerd	certified	diplomeren	V;PST;V.PTCP	V;V.PTCP
assets	activa	asset	activa	N;PL	N;PL
presentation	presentatie	presentation	presentatie	N;SG	N;MASC+FEM;SG
sitting	zittend	sit	zittend	V;V.MSDR	V;V.PTCP
sitting	zittende	sit	zitten	V;V.MSDR	V;V.PTCP
tournaments	toernooien	tournament	toernooien	N;PL	N;PL
syndrome	syndroom	syndrome	syndroom	N;SG	N;NEUT;SG
checked	nagekeken	check	nagekijken	V;PST;V.PTCP	V;V.PTCP
checked	gecheckt	check	checken	V;PST;V.PTCP	V;V.PTCP
checked	gecontroleerd	check	controleren	V;PST;V.PTCP	V;V.PTCP
forty	veertig	forty	veertig	NUM	NUM
journalism	journalistiek	journalism	journalistiek	N;SG	N;MASC+FEM;SG
upload	uploaden	upload	upload	V;IMP;FIN	V;NFIN
towers	torens	tower	torens	N;PL	N;PL
conductor	geleider	conductor	geleider	N;SG	N;MASC+FEM;SG
conductor	dirigent	conductor	dirigent	N;SG	N;MASC+FEM;SG
conductor	conducteur	conductor	conducteur	N;SG	N;MASC+FEM;SG
hospitals	ziekenhuizen	hospital	ziekenhuis	N;PL	N;PL
bone	botje	bone	botje	N;SG	N;NEUT;SG
rebuilt	herbouwd	rebuilt	herbouwen	V;PST;V.PTCP	V;V.PTCP
wellington	wellington	wellington	wellington	N;SG	N;MASC+FEM;SG
ideal	ideaal	ideal	ideaal	ADJ	ADJ
labels	labels	label	label	N;PL	N;PL
labels	etiketten	label	etiket	N;PL	N;PL
governors	presidenten	governor	president	N;PL	N;PL
governors	gouverneurs	governor	gouverneur	N;PL	N;PL
posting	detachering	posting	detachering	N;SG	N;MASC+FEM;SG
bases	honken	basis	honken	N;PL	N;PL
bases	bases	basis	base	N;PL	N;PL
bases	basen	basis	bas	N;PL	N;PL
bases	grondslagen	basis	grondslag	N;PL	N;PL
hardware	hardware	hardware	hardware	N;SG	N;MASC+FEM;SG
ensemble	ensemble	ensemble	ensemble	N;SG	N;NEUT;SG
monster	monster	monster	monster	N;SG	N;NEUT;SG
pitcher	werper	pitcher	werper	N;SG	N;MASC+FEM;SG
pitcher	pitcher	pitcher	pitcher	N;SG	N;MASC+FEM;SG
emphasis	nadruk	emphasis	nadruk	N;SG	N;MASC+FEM;SG
emphasis	klemtoon	emphasis	klemtoon	N;SG	N;MASC+FEM;SG
recovery	herstel	recovery	herstel	N;SG	N;NEUT;SG
respond	reageer	respond	reageren	V;IMP;FIN	V;SG;PRS;FIN
respond	reageren	respond	reageren	V;IMP;FIN	V;NFIN
qualification	kwalificatie	qualification	kwalificatie	N;SG	N;MASC+FEM;SG
exposure	belichting	exposure	belichting	N;SG	N;MASC+FEM;SG
exposure	blootstelling	exposure	blootstelling	N;SG	N;MASC+FEM;SG
thoughts	gedachten	thought	gedacht	N;PL	N;PL
thoughts	gedachtes	thought	dachtel	N;PL	N;PL
immigrants	immigranten	immigrant	immigrant	N;PL	N;PL
immigrants	migranten	immigrant	migrant	N;PL	N;PL
variant	variant	variant	variant	N;SG	N;MASC+FEM;SG
lap	lap	lap	lap	N;SG	N;MASC+FEM;SG
legitimate	legitiem	legitimate	legitiem	ADJ	ADJ
legitimate	legitieme	legitimate	legitiem	ADJ	ADJ
legitimate	rechtmatig	legitimate	rechtmatig	ADJ	ADJ
autonomous	autonoom	autonomous	autonoom	ADJ	ADJ
autonomous	autonome	autonomous	autonome	ADJ	ADJ
succession	opvolging	succession	opvolging	N;SG	N;MASC+FEM;SG
throw	gooien	throw	gooien	V;IMP;FIN	V;NFIN
throw	gooi	throw	gooi	V;IMP;FIN	V;SG;PRS;FIN
reserves	reserves	reserve	reserve	N;PL	N;PL
donated	gedoneerd	donate	doneren	V;PST;V.PTCP	V;V.PTCP
donated	geschonken	donate	schenken	V;PST;V.PTCP	V;V.PTCP
increases	verhogingen	increase	verhoging	N;PL	N;PL
kid	kind	kid	kind	N;SG	N;NEUT;SG
kid	jongen	kid	jongen	N;SG	N;MASC+FEM;SG
guidance	begeleiding	guidance	begeleiding	N;SG	N;MASC+FEM;SG
