the	die	the	die	DET;DEF	DET;DEF
scheduled	geskeduleer	schedule	skeduleer	V;PST;V.PTCP	V;PST;V.PTCP
teachers	onderwysers	teacher	onderwyser	N;PL	N;PL
closing	afsluiting	closing	afsluiting	N;SG	N;SG
advertising	reklame	advertising	reklame	N;SG	N;SG
advertising	advertering	advertising	advertering	N;SG	N;SG
contribution	bydrae	contribution	bydrae	N;SG	N;SG
retirement	aftrede	retirement	aftrede	N;SG	N;SG
dam	dam	dam	dam	N;SG	N;SG
blocks	blokke	block	blok	N;PL	N;PL
anniversary	herdenking	anniversary	herdenking	N;SG	N;SG
requested	aangevra	request	aanvra	V;PST;V.PTCP	V;PST;V.PTCP
discovery	ontdekking	discovery	ontdekking	N;SG	N;SG
expedition	ekspedisie	expedition	ekspedisie	N;SG	N;SG
citation	aanhaling	citation	aanhaling	N;SG	N;SG
assist	bystaan	assist	bystaan	V;IMP;FIN	V;PRS
meanwhile	intussen	meanwhile	intussen	ADV	ADV
maintain	handhaaf	maintain	handhaaf	V;IMP;FIN	V;PRS
maintain	onderhou	maintain	onderhou	V;IMP;FIN	V;PRS
detailed	gedetailleerde	detailed	detailleer	ADJ	ADJ;NOM
detailed	gedetaileerde	detailed	detaileer	ADJ	ADJ;NOM
facts	feite	fact	feit	N;PL	N;PL
finance	finansies	finance	finansies	N;SG	N;SG
camera	kamera	camera	kamera	N;SG	N;SG
underground	ondergrondse	underground	ondergronds	ADJ	ADJ;NOM
classification	klassifikasie	classification	klassifikasie	N;SG	N;SG
mining	myn	mining	myn	N;SG	N;SG
mining	mynbou	mining	mynbou	N;SG	N;SG
bytes	grepe	byte	greep	N;PL	N;PL
evening	aand	evening	aand	N;SG	N;SG
singing	sang	sing	sang	N;SG	N;SG
gender	geslag	gender	geslag	N;SG	N;SG
lakes	mere	lake	baie	N;PL	N;PL
mode	modus	mode	modus	N;SG	N;SG
heads	hoofde	head	hoofde	N;PL	N;PL
priest	priest	priest	priest	N;SG	N;SG
funds	fondse	fund	fonds	N;PL	N;PL
investment	belegging	investment	belegging	N;SG	N;SG
romanian	roemeense	romanian	roemeens	ADJ	ADJ;NOM
session	sessie	session	sessie	N;SG	N;SG
capture	vaslê	capture	vaslê	V;IMP;FIN	V;PRS
capture	vang	capture	vang	V;IMP;FIN	V;PRS
capture	vasvang	capture	vasvang	V;IMP;FIN	V;PRS
aspects	aspekte	aspect	aspek	N;PL	N;PL
reduce	verminder	reduce	verminder	V;IMP;FIN	V;PRS
trophy	trofee	trophy	trofee	N;SG	N;SG
abuse	misbruik	abuse	misbruik	N;SG	N;SG
snow	sneeu	snow	sneeu	N;SG	N;SG
shop	winkel	shop	winkel	N;SG	N;SG
coal	steenkool	coal	steenkool	N;SG	N;SG
employees	werknemers	employee	werknemer	N;PL	N;PL
error	fout	error	fout	N;SG	N;SG
invited	uitgenooi	invite	uitnooi	V;PST;V.PTCP	V;PST;V.PTCP
invited	genooi	invite	nooi	V;PST;V.PTCP	V;PST;V.PTCP
cable	kabel	cable	kabel	N;SG	N;SG
accident	ongeluk	accident	ongeluk	N;SG	N;SG
watched	gekyk	watch	gekyk	V;PST;V.PTCP	V;PST;V.PTCP
animated	geanimeerde	animated	animeer	ADJ	ADJ;NOM
satellite	satelliet	satellite	satelliet	N;SG	N;SG
combination	kombinasie	combination	kombinasie	N;SG	N;SG
courts	howe	court	hof	N;PL	N;PL
owners	eienaars	owner	eienaars	N;PL	N;PL
describe	beskryf	describe	beskryf	V;IMP;FIN	V;PRS
defensive	verdedigende	defensive	verdedig	ADJ	ADJ;NOM
affected	geaffekteer	affect	affekteer	V;PST;V.PTCP	V;PST;V.PTCP
routes	roetes	route	roete	N;PL	N;PL
ministers	ministers	minister	minister	N;PL	N;PL
wine	wyn	wine	wyn	N;SG	N;SG
revival	herlewing	revival	herlewing	N;SG	N;SG
communes	communes	commune	communes	N;PL	N;PL
guess	raai	guess	raai	V;IMP;FIN	V;PRS
membership	lidmaatskap	membership	lidmaatskap	N;SG	N;SG
degrees	grade	degree	graad	N;PL	N;PL
files	lêers	file	lêers	N;PL	N;PL
conduct	optrede	conduct	optrede	N;SG	N;SG
homes	huise	home	huis	N;PL	N;PL
vision	visie	vision	visie	N;SG	N;SG
updated	opgedateer	update	opdateer	V;PST;V.PTCP	V;PST;V.PTCP
updated	gewysig	update	wysig	V;PST;V.PTCP	V;PST;V.PTCP
updated	bygewerk	update	bywerk	V;PST;V.PTCP	V;PST;V.PTCP
marketing	bemarking	marketing	bemarking	N;SG	N;SG
appeal	appèl	appeal	appèl	N;SG	N;SG
plane	vliegtuig	plane	vliegtuig	N;SG	N;SG
ages	ouderdomme	age	ouderdomme	N;PL	N;PL
neighborhood	woonbuurt	neighborhood	woonbuurt	N;SG	N;SG
wings	vlerke	wing	vlerk	N;PL	N;PL
wings	vleuels	wing	vleuel	N;PL	N;PL
wings	hordes	wing	horde	N;PL	N;PL
matters	aangeleenthede	matter	aangeleentheid	N;PL	N;PL
admins	administrateurs	admin	administrateur	N;PL	N;PL
ceremony	seremonie	ceremony	seremonie	N;SG	N;SG
composers	komponiste	composer	komponiste	N;PL	N;PL
hero	held	hero	held	N;SG	N;SG
designer	ontwerper	designer	ontwerper	N;SG	N;SG
learned	geleer	learn	leer	V;PST;V.PTCP	V;PST;V.PTCP
instruments	instruments	instrument	instrument	N;PL	N;PL
instruments	instrumente	instrument	instrument	N;PL	N;PL
hair	hare	hair	haar	N;SG	N;SG
consecutive	agtereenvolgende	consecutive	agtereenvolgend	ADJ	ADJ;NOM
movies	flieks	movie	flieks	N;PL	N;PL
movies	rolprente	movie	rolprent	N;PL	N;PL
adjacent	aangrensende	adjacent	aangrens	ADJ	ADJ;NOM
pool	swembad	pool	swembad	N;SG	N;SG
collections	versamelings	collection	versameling	N;PL	N;PL
corporate	korporatiewe	corporate	korporatief	ADJ	ADJ;NOM
phone	foon	phone	foon	N;SG	N;SG
window	venster	window	venster	N;SG	N;SG
document	dokument	document	dokument	N;SG	N;SG
collaboration	samewerking	collaboration	samewerking	N;SG	N;SG
attached	aangeheg	attach	aanheg	V;PST;V.PTCP;PASS	V;PST;V.PTCP
expand	uitbrei	expand	uitbrei	V;IMP;FIN	V;PRS
instrument	instrument	instrument	instrument	N;SG	N;SG
represents	verteenwoordig	represent	verteenwoordig	V;IND;SG;3;PRS;FIN	V;PRS
participants	deelnemers	participant	deelnemer	N;PL	N;PL
mentions	meldings	mention	melding	N;PL	N;PL
portrait	portret	portrait	portret	N;SG	N;SG
drivers	drywers	driver	drywer	N;PL	N;PL
drivers	bestuurders	driver	bestuurder	N;PL	N;PL
viewers	kykers	viewer	kykers	N;PL	N;PL
differences	verskille	difference	verskil	N;PL	N;PL
venue	plek	venue	plek	N;SG	N;SG
venue	lokaal	venue	lokaal	N;SG	N;SG
rejected	afgekeur	reject	afkeur	V;PST;V.PTCP	V;PST;V.PTCP
illegal	onwettige	illegal	onwettig	ADJ	ADJ;NOM
leagues	ligas	league	ligas	N;PL	N;PL
prisoners	gevangenes	prisoner	gevangene	N;PL	N;PL
attend	bygewoon	attend	bywoon	V;IMP;FIN	V;PST;V.PTCP
insurance	versekering	insurance	versekering	N;SG	N;SG
manufacturing	vervaardiging	manufacturing	vervaardiging	N;SG	N;SG
rescue	redding	rescue	redding	N;SG	N;SG
territories	gebiede	territory	gebied	N;PL	N;PL
storage	berging	storage	berging	N;SG	N;SG
colony	kolonie	colony	kolonie	N;SG	N;SG
evolution	evolusie	evolution	evolusie	N;SG	N;SG
judges	regters	judge	regter	N;PL	N;PL
gardens	tuine	garden	tuine	N;PL	N;PL
poems	gedigte	poem	dig	N;PL	N;PL
driven	gedryf	drive	dryf	V;PST;V.PTCP	V;PST;V.PTCP
responsibility	verantwoordelikheid	responsibility	verantwoordelikheid	N;SG	N;SG
sentences	sinne	sentence	sinne	N;PL	N;PL
visible	sigbare	visible	sigbaar	ADJ	ADJ;NOM
installed	geïnstalleer	install	installeer	V;PST;V.PTCP	V;PST;V.PTCP
installed	geinstalleer	install	installeer	V;PST;V.PTCP	V;PST;V.PTCP
revolutionary	rewolusionêre	revolutionary	rewolusionêre	ADJ	ADJ;NOM
inner	innerlike	inner	innerlik	ADJ	ADJ;NOM
restaurant	restourant	restaurant	restourant	N;SG	N;SG
restaurant	restaurant	restaurant	restaurant	N;SG	N;SG
stores	winkels	store	winkels	N;PL	N;PL
rice	rys	rice	rys	N;SG	N;SG
reasonable	redelike	reasonable	redelik	ADJ	ADJ;NOM
skin	vel	skin	vel	N;SG	N;SG
factors	faktore	factor	faktor	N;PL	N;PL
hundreds	honderde	hundred	hond	N;PL	N;PL
devices	toestelle	device	toestel	N;PL	N;PL
phrase	frase	phrase	frase	N;SG	N;SG
advantage	voordeel	advantage	voordeel	N;SG	N;SG
goods	goedere	goods	goed	N;PL	N;PL
charges	kostes	charge	koste	N;PL	N;PL
operator	operator	operator	operator	N;SG	N;SG
identify	identifiseer	identify	identifiseer	V;IMP;FIN	V;PRS
producers	producers	producer	producer	N;PL	N;PL
producers	vervaardigers	producer	vervaardiger	N;PL	N;PL
releases	vrystellings	release	vrystelling	N;PL	N;PL
victims	slagoffers	victim	slagoffer	N;PL	N;PL
explanation	verduideliking	explanation	verduideliking	N;SG	N;SG
operate	opereer	operate	opereer	V;IMP;FIN	V;PRS
threat	bedreiging	threat	bedreiging	N;SG	N;SG
poets	digters	poet	digters	N;PL	N;PL
stopped	opgehou	stop	ophou	V;PST;FIN	V;PST;V.PTCP
stopped	gestop	stop	stop	V;PST;FIN	V;PST;V.PTCP
stopped	gestaak	stop	staak	V;PST;FIN	V;PST;V.PTCP
strategy	strategie	strategy	strategie	N;SG	N;SG
significance	betekenis	significance	betekenis	N;SG	N;SG
excellent	uitstekende	excellent	uitstek	ADJ	ADJ;NOM
observed	gehandhaaf	observe	gehandhaaf	V;PST;V.PTCP	V;PST;V.PTCP
observed	waargeneem	observe	waarneneem	V;PST;V.PTCP	V;PST;V.PTCP
temporary	tydelike	temporary	tydelik	ADJ	ADJ;NOM
masters	masters	master	master	N;PL	N;PL
peninsula	skiereiland	peninsula	skiereiland	N;SG	N;SG
networks	netwerke	network	netwerk	N;PL	N;PL
passengers	passasiers	passenger	passasier	N;PL	N;PL
assumed	aangeneem	assume	aanneem	V;PST;V.PTCP	V;PST;V.PTCP
artistic	artistieke	artistic	artistiek	ADJ	ADJ;NOM
compete	kompeteer	compete	kompeteer	V;IMP;FIN	V;PRS
partnership	vennootskap	partnership	vennootskap	N;SG	N;SG
maintenance	onderhoud	maintenance	onderhoud	N;SG	N;SG
maintenance	instandhouding	maintenance	instandhouding	N;SG	N;SG
monitoring	monitering	monitor	monitering	N;SG	N;SG
evil	bose	evil	bose	N;SG	N;SG
poverty	armoede	poverty	armoede	N;SG	N;SG
filled	gevul	fill	vul	V;PST;V.PTCP	V;PST;V.PTCP
decide	besluit	decide	besluit	V;IMP;FIN	V;PRS
argentine	argentynse	argentine	argentyns	ADJ	ADJ;NOM
resigned	opgegee	resign	opgegee	V;PST;V.PTCP	V;PST;V.PTCP
speaker	luidspreker	speaker	luidspreker	N;SG	N;SG
speaker	spreker	speaker	spreker	N;SG	N;SG
permission	toelating	permission	toelating	N;SG	N;SG
permission	toestemming	permission	toestemming	N;SG	N;SG
gate	hek	gate	hek	N;SG	N;SG
springs	springs	spring	spring	N;PL	N;PL
photography	fotografie	photography	fotografie	N;SG	N;SG
roll	rol	roll	rol	N;SG	N;SG
contrast	kontras	contrast	kontras	N;SG	N;SG
processes	prosesse	process	proses	N;PL	N;PL
terminal	terminaal	terminal	terminaal	N;SG	N;SG
executed	uitgevoer	execute	uitvoer	V;PST;V.PTCP	V;PST;V.PTCP
spouse	eggenoot	spouse	eggenoot	N;SG	N;SG
infrastructure	infrastruktuur	infrastructure	infrastruktuur	N;SG	N;SG
painters	skilders	painter	skilder	N;PL	N;PL
painted	ingekleur	paint	inkleur	V;PST;V.PTCP	V;PST;V.PTCP
painted	geverf	paint	verf	V;PST;V.PTCP	V;PST;V.PTCP
frequency	frekwensie	frequency	frekwensie	N;SG	N;SG
waters	waters	water	waters	N;PL	N;PL
bridges	bridges	bridge	bridges	N;PL	N;PL
bridges	brûe	bridge	brûe	N;PL	N;PL
monument	monument	monument	monument	N;SG	N;SG
portal	portal	portal	portal	N;SG	N;SG
assessment	beoordeling	assessment	beoordeling	N;SG	N;SG
counter	toonbank	counter	toonbank	N;SG	N;SG
purchase	aankoop	purchase	aankoop	V;IMP;FIN	V;PRS
expression	uitdrukking	expression	uitdrukking	N;SG	N;SG
wheel	wiel	wheel	wiel	N;SG	N;SG
desert	woestyn	desert	woestyn	N;SG	N;SG
uncle	oom	uncle	oom	N;SG	N;SG
raise	lig	raise	lig	V;IMP;FIN	V;PRS
principles	beginsels	principle	beginsel	N;PL	N;PL
tests	toetse	test	toets	N;PL	N;PL
paragraph	paragraaf	paragraph	paragraaf	N;SG	N;SG
bat	vlermuis	bat	vlermuis	N;SG	N;SG
participation	deelname	participation	deelname	N;SG	N;SG
designs	ontwerpe	design	ontwerp	N;PL	N;PL
agencies	agentskappe	agency	agentskap	N;PL	N;PL
technique	tegniek	technique	tegniek	N;SG	N;SG
knew	geweet	know	weet	V;IND;PST;FIN	V;PST;V.PTCP
commissioner	kommissaris	commissioner	kommissaris	N;SG	N;SG
businesses	besighede	business	besigheid	N;PL	N;PL
bomb	bom	bomb	bom	N;SG	N;SG
capable	bekwame	capable	bekwame	ADJ	ADJ;NOM
poem	gediggie	poem	gediggie	N;SG	N;SG
dragon	draak	dragon	draak	N;SG	N;SG
charged	gehef	charge	hef	V;PST;V.PTCP	V;PST;V.PTCP
charged	volgelaai	charge	vollaai	V;PST;V.PTCP	V;PST;V.PTCP
modified	gewysig	modify	wysig	V;PST;V.PTCP	V;PST;V.PTCP
fired	afgedank	fire	afdank	V;PST;V.PTCP	V;PST;V.PTCP
send	stuur	send	stuur	V;IMP;FIN	V;PRS
proof	bewys	proof	bewys	N;SG	N;SG
practices	praktyke	practice	praktyak	N;PL	N;PL
attractions	attraksies	attraction	attraksie	N;PL	N;PL
mouth	mond	mouth	mond	N;SG	N;SG
fix	regmaak	fix	regmaak	V;IMP;FIN	V;PRS
licensed	gelisensieer	license	lisensieer	V;PST;V.PTCP	V;PST;V.PTCP
symbol	simbool	symbol	simbool	N;SG	N;SG
organ	orrel	organ	orrel	N;SG	N;SG
exception	uitsondering	exception	uitsondering	N;SG	N;SG
soundtrack	klankbaan	soundtrack	klankbaan	N;SG	N;SG
legislation	wetgewing	legislation	wetgewing	N;SG	N;SG
beauty	skoonheid	beauty	skoonheid	N;SG	N;SG
credits	krediete	credit	krediet	N;PL	N;PL
buy	koop	buy	koop	V;IMP;FIN	V;PRS
opinions	opinies	opinion	opinies	N;PL	N;PL
cavalry	kavallerie	cavalry	kavallerie	N;SG	N;SG
channels	kanale	channel	kanaal	N;PL	N;PL
exact	presiese	exact	presies	ADJ	ADJ;NOM
sisters	susters	sister	susters	N;PL	N;PL
requests	versoeke	request	versoek	N;PL	N;PL
drawing	tekening	draw	tekening	N;SG	N;SG
removal	verwydering	removal	verwydering	N;SG	N;SG
moves	skuiwe	move	skuif	N;PL	N;PL
ownership	eienaarskap	ownership	eienaarskap	N;SG	N;SG
monitored	gemonitor	monitor	monitor	V;PST;V.PTCP	V;PST;V.PTCP
regulations	regulasies	regulation	regulasie	N;PL	N;PL
crash	insident	crash	insident	N;SG	N;SG
tone	skakering	tone	skakering	N;SG	N;SG
personality	persoonlikheid	personality	persoonlikheid	N;SG	N;SG
reception	ontvangs	reception	ontvangs	N;SG	N;SG
adventure	avontuur	adventure	avontuur	N;SG	N;SG
rangers	rangers	ranger	ranger	N;PL	N;PL
popularity	gewildheid	popularity	gewildheid	N;SG	N;SG
coalition	koalisie	coalition	koalisie	N;SG	N;SG
percentage	persentasie	percentage	persentasie	N;SG	N;SG
laboratory	laboratorium	laboratory	laboratorium	N;SG	N;SG
alternate	alternatiewe	alternate	alternatief	ADJ	ADJ;NOM
rooms	kamers	room	kamer	N;PL	N;PL
reputation	reputasie	reputation	reputasie	N;SG	N;SG
websites	webwerwe	website	webwerwe	N;PL	N;PL
tagged	gemerk	tag	merk	V;PST;V.PTCP	V;PST;V.PTCP
chemistry	chemie	chemistry	chemie	N;SG	N;SG
journalists	joernaliste	journalist	joernalis	N;PL	N;PL
comprehensive	omvattende	comprehensive	omvat	ADJ	ADJ;NOM
symphony	simfonie	symphony	simfonie	N;SG	N;SG
electrical	elektriese	electrical	elektries	ADJ	ADJ;NOM
tags	merkers	tags	merker	N;PL	N;PL
tigers	tigers	tiger	tiger	N;PL	N;PL
addressed	aangespreek	address	aanspreek	V;PST;V.PTCP	V;PST;V.PTCP
automatic	outomatiese	automatic	outomaties	ADJ	ADJ;NOM
gang	bende	gang	bende	N;SG	N;SG
separated	geskei	separate	skei	V;PST;V.PTCP	V;PST;V.PTCP
wait	wag	wait	wag	V;IMP;FIN	V;PRS
patrol	patrollie	patrol	patrollie	N;SG	N;SG
restoration	restourasie	restoration	restourasie	N;SG	N;SG
indicated	aangedui	indicate	aandui	V;PST;V.PTCP	V;PST;V.PTCP
centers	sentrums	center	sentrum	N;PL	N;PL
helpful	nuttige	helpful	nuttig	ADJ	ADJ;NOM
delivered	afgelewer	deliver	aflewer	V;PST;V.PTCP	V;PST;V.PTCP
components	komponente	component	komponent	N;PL	N;PL
victorian	victoriaanse	victorian	victoriaans	ADJ	ADJ;NOM
legislature	wetgewer	legislature	wetgewer	N;SG	N;SG
tourism	toerisme	tourism	toerisme	N;SG	N;SG
kids	kinders	kid	kind	N;PL	N;PL
circumstances	omstandighede	circumstance	omstandigheid	N;PL	N;PL
duties	pligte	duty	plig	N;PL	N;PL
grammar	grammatika	grammar	grammatika	N;SG	N;SG
relation	betrekking	relation	betrekking	N;SG	N;SG
mounted	gemonteer	mount	monteer	V;PST;V.PTCP	V;PST;V.PTCP
entries	inskrywings	entry	inskrywing	N;PL	N;PL
conflicts	teenstrydighede	conflict	teenstrydigheid	N;PL	N;PL
conflicts	botsings	conflict	botsings	N;PL	N;PL
hosts	aanbieders	host	aanbieder	N;PL	N;PL
hosts	gashere	host	gasheer	N;PL	N;PL
signs	tekens	sign	tekens	N;PL	N;PL
seriously	erg	seriously	erg	ADV	ADV
charity	liefdadigheid	charity	liefdadigheid	N;SG	N;SG
boats	bote	boat	bote	N;PL	N;PL
representation	verteenwoordiging	representation	verteenwoordiging	N;SG	N;SG
visitors	besoekers	visitor	besoeker	N;PL	N;PL
markets	markte	market	mark	N;PL	N;PL
plate	plaat	plate	plaat	N;SG	N;SG
landscape	landskap	landscape	landskap	N;SG	N;SG
psychology	sielkunde	psychology	sielkund	N;SG	N;SG
ride	rit	ride	rit	V;IMP;FIN	V;PRS
balance	balans	balance	balans	N;SG	N;SG
democracy	demokrasie	democracy	demokrasie	N;SG	N;SG
submarine	duikboot	submarine	duikboot	N;SG	N;SG
prose	prosa	prose	prosa	N;SG	N;SG
bio	bio	bio	bio	N;SG	N;SG
bio	biografie	bio	biografie	N;SG	N;SG
sugar	suiker	sugar	suiker	N;SG	N;SG
daughters	daughters	daughter	daughter	N;PL	N;PL
fun	pret	fun	pret	N;SG	N;SG
partners	vennote	partner	vennoot	N;PL	N;PL
rates	tariewe	rate	tarief	N;PL	N;PL
feed	stroom	feed	stroom	N;SG	N;SG
honour	gestand	honour	gestand	N;SG	N;SG
soil	grond	soil	grond	N;SG	N;SG
server	bediener	server	bediener	N;SG	N;SG
manual	handleiding	manual	handleiding	N;SG	N;SG
manual	hand	manual	hand	N;SG	N;SG
possibility	moontlikheid	possibility	moontlikheid	N;SG	N;SG
ghost	spook	ghost	spook	N;SG	N;SG
tunnel	tonnel	tunnel	tonnel	N;SG	N;SG
styles	uitsonderings	style	uitsondering	N;PL	N;PL
elevation	vergelyking	elevation	vergelyking	N;SG	N;SG
sweet	lieflike	sweet	lieflik	ADJ	ADJ;NOM
waste	afval	waste	afval	V;IMP;FIN	V;PRS
operational	operasionele	operational	operasioneel	ADJ	ADJ;NOM
qualify	kwalifiseer	qualify	kwalifiseer	V;IMP;FIN	V;PRS
constitutional	konstitusionele	constitutional	konstitusioneel	ADJ	ADJ;NOM
constitutional	grondwetlike	constitutional	grondwetlik	ADJ	ADJ;NOM
sporting	sporting	sport	sporting	N;SG	N;SG
fruit	vrug	fruit	vrug	N;SG	N;SG
fruit	vrugte	fruit	vrug	N;SG	N;SG
decisions	besluite	decision	besluit	N;PL	N;PL
perspective	perspektief	perspective	perspektief	N;SG	N;SG
crystal	kristal	crystal	kristal	N;SG	N;SG
resident	inwoner	resident	inwoner	N;SG	N;SG
surgery	chirurgie	surgery	chirurgie	N;SG	N;SG
steps	stappe	step	stap	N;PL	N;PL
carrier	diensverskaffer	carrier	diensverskaffer	N;SG	N;SG
stream	stroom	stream	stroom	N;SG	N;SG
pain	pyn	pain	pyn	N;SG	N;SG
influential	invloedryke	influential	invloedryk	ADJ	ADJ;NOM
interaction	wisselwerking	interaction	wisselwerking	N;SG	N;SG
drugs	dwelms	drug	dwelms	N;PL	N;PL
classified	geklassifiseer	classify	klassifiseer	V;PST;V.PTCP	V;PST;V.PTCP
coat	jas	coat	jas	N;SG	N;SG
powered	aangedryf	power	aandryf	V;PST;V.PTCP	V;PST;V.PTCP
behaviour	gedrag	behaviour	gedrag	N;SG	N;SG
behaviour	optrede	behaviour	optrede	N;SG	N;SG
croatian	kroatiese	croatian	kroaties	ADJ	ADJ;NOM
maritime	maritieme	maritime	maritiem	ADJ	ADJ;NOM
periods	tydperke	period	tydperk	N;PL	N;PL
periods	periodes	period	periode	N;PL	N;PL
merchant	handelaar	merchant	handelaar	N;SG	N;SG
editorial	redaksie	editorial	redaksie	N;SG	N;SG
initiative	inisiatief	initiative	inisiatief	N;SG	N;SG
borders	grense	border	grens	N;PL	N;PL
persian	persiese	persian	persies	ADJ	ADJ;NOM
marks	merke	mark	merk	N;PL	N;PL
armenian	armeense	armenian	armeens	ADJ	ADJ;NOM
romantic	romantiese	romantic	romanties	ADJ	ADJ;NOM
talent	talent	talent	talent	N;SG	N;SG
animation	animasie	animation	animasie	N;SG	N;SG
agents	agente	agent	agent	N;PL	N;PL
employment	indiensneming	employment	indiensneming	N;SG	N;SG
statue	standbeeld	statue	standbeeld	N;SG	N;SG
jobs	werksgeleenthede	job	werksgeleentheid	N;PL	N;PL
jobs	werke	job	werk	N;PL	N;PL
jobs	betrekkings	job	betrekking	N;PL	N;PL
jobs	poste	job	pos	N;PL	N;PL
schedule	skedule	schedule	skedule	N;SG	N;SG
waiting	gewag	wait	gewag	V;V.MSDR	V;PST;V.PTCP
disagree	verskil	disagree	verskil	V;IMP;FIN	V;PRS
suggestions	voorstelle	suggestion	voorstel	N;PL	N;PL
desire	begeerte	desire	begeerte	N;SG	N;SG
happens	ontvou	happen	ontvou	V;IND;SG;3;PRS;FIN	V;PRS
patient	geduldig	patient	geduldig	N;SG	N;SG
texts	tekste	text	teks	N;PL	N;PL
belief	gewete	belief	weet	N;SG	N;SG
vessels	vaartuie	vessel	vaartuig	N;PL	N;PL
hole	gat	hole	gat	N;SG	N;SG
fail	faal	fail	faal	V;IMP;FIN	V;PRS
wedding	troue	wedding	trou	N;SG	N;SG
archaeological	argeologiese	archaeological	argeologies	ADJ	ADJ;NOM
designation	aanwysing	designation	aanwysing	N;SG	N;SG
revenue	inkomste	revenue	inkomste	N;SG	N;SG
couples	paartjies	couple	paartjie	N;PL	N;PL
suit	kleed	suit	kleed	N;SG	N;SG
soft	sagte	soft	sagte	ADJ	ADJ;NOM
weekend	naweek	weekend	naweek	N;SG	N;SG
approval	goedkeuring	approval	goedkeuring	N;SG	N;SG
crimes	misdade	crime	misdade	N;PL	N;PL
crimes	misdrywe	crime	misdryfe	N;PL	N;PL
horses	perde	horse	perd	N;PL	N;PL
supporters	ondersteuners	supporter	ondersteuner	N;PL	N;PL
resource	hulpbron	resource	hulpbron	N;SG	N;SG
sculpture	beeldhouwerk	sculpture	beeldhouwerk	N;SG	N;SG
practical	praktiese	practical	prakties	ADJ	ADJ;NOM
limits	limiete	limit	limiet	N;PL	N;PL
limits	beperkings	limit	beperking	N;PL	N;PL
illustrated	uitgebeeld	illustrate	uitbeeld	V;PST;V.PTCP	V;PST;V.PTCP
statistical	statistiese	statistical	statisties	ADJ	ADJ;NOM
incidents	insidente	incident	insident	N;PL	N;PL
editions	uitgawes	edition	uitgawe	N;PL	N;PL
roots	wortels	root	wortels	N;PL	N;PL
signature	handtekening	signature	handtekening	N;SG	N;SG
clinical	kliniese	clinical	klinies	ADJ	ADJ;NOM
volumes	volumes	volume	volume	N;PL	N;PL
adults	volwassenes	adult	volwassene	N;PL	N;PL
contribute	dra	contribute	dra	V;IMP;FIN	V;PRS
immediate	onmiddellike	immediate	onmiddellik	ADJ	ADJ;NOM
theories	teorieë	theory	teorieë	N;PL	N;PL
essential	noodsaaklike	essential	noodsaaklik	ADJ	ADJ;NOM
technologies	tegnologieë	technology	tegnologie	N;PL	N;PL
diamond	diamond	diamond	diamond	N;SG	N;SG
diamond	diamant	diamond	diamant	N;SG	N;SG
valuable	kosbare	valuable	kosbaar	ADJ	ADJ;NOM
doubles	dubbels	double	dubbels	N;PL	N;PL
branches	takke	branch	tak	N;PL	N;PL
brick	baksteen	brick	baksteen	N;SG	N;SG
experiences	ervaringe	experience	ervaring	N;PL	N;PL
experiences	ervarings	experience	ervaring	N;PL	N;PL
affect	affekteer	affect	affekteer	V;IMP;FIN	V;PRS
affect	beïnvloed	affect	beïnvloed	V;IMP;FIN	V;PRS
coaching	afrigting	coach	afrigting	N;SG	N;SG
equipped	toegerus	equip	toerus	V;PST;V.PTCP	V;PST;V.PTCP
identical	identiese	identical	identies	ADJ	ADJ;NOM
submitted	ingedien	submit	indien	V;PST;V.PTCP	V;PST;V.PTCP
submitted	ingestuur	submit	instuur	V;PST;V.PTCP	V;PST;V.PTCP
enterprise	onderneming	enterprise	onderneming	N;SG	N;SG
touch	aanraking	touch	aanraking	N;SG	N;SG
transmission	ratkas	transmission	ratkas	N;SG	N;SG
platforms	platforms	platform	platform	N;PL	N;PL
cave	grot	cave	grot	N;SG	N;SG
weapon	wapen	weapon	wapen	N;SG	N;SG
dangerous	gevaarlike	dangerous	gevaarlik	ADJ	ADJ;NOM
viewed	gekyk	view	gekyk	V;PST;V.PTCP	V;PST;V.PTCP
biology	biologie	biology	biologie	N;SG	N;SG
affiliated	geaffilieer	affiliate	affilieer	V;PST;V.PTCP	V;PST;V.PTCP
monthly	maandelikse	monthly	maandeliks	ADJ	ADJ;NOM
cousin	niggie	cousin	niggie	N;SG	N;SG
logic	logika	logic	logika	N;SG	N;SG
rated	gegradeer	rate	gradeer	V;PST;V.PTCP	V;PST;V.PTCP
publishers	uitgewers	publisher	uitwer	N;PL	N;PL
themes	temas	theme	tema	N;PL	N;PL
#the	#die	#the	#die		
benefits	voordele	benefit	voordeel	N;PL	N;PL
guards	wagte	guard	wag	N;PL	N;PL
celebrated	gevier	celebrate	vier	V;PST;V.PTCP	V;PST;V.PTCP
tail	stert	tail	stert	N;SG	N;SG
tours	toere	tour	toer	N;PL	N;PL
stable	stabiele	stable	stabiel	ADJ	ADJ;NOM
decides	besluit	decide	besluit	V;IND;SG;3;PRS;FIN	V;PRS
vessel	vaartuig	vessel	vaartuig	N;SG	N;SG
identification	identifikasie	identification	identifikasie	N;SG	N;SG
telling	vertel	tell	vertel	V;V.MSDR	V;PRS
grave	graf	grave	graf	N;SG	N;SG
hearing	verhoor	hearing	verhoor	N;SG	N;SG
hearing	gehoor	hearing	gehoor	N;SG	N;SG
hearing	aanhoor	hearing	aanhoor	N;SG	N;SG
