से	no	से	no		
आन्तरिक	iekšējā	आन्तरिक	iekšējs	ADJ;NOM	ADJ;NOM;FEM;SG
आन्तरिक	iekšējais	आन्तरिक	iekšējs	ADJ;NOM	ADJ;NOM;MASC;SG
आन्तरिक	iekšēja	आन्तरिक	iekšēja	ADJ;NOM	ADJ;NOM;FEM;SG
आन्तरिक	iekšējs	आन्तरिक	iekšējs	ADJ;NOM	ADJ;NOM;MASC;SG
आन्तरिक	iekšējie	आन्तरिक	iekšējs	ADJ;NOM	ADJ;NOM;MASC;PL
चौदह	četrpadsmit	चौदह	četrpadsmit	NUM	NUM;PL
प्लाज्मा	plazma	प्लाज्मा	plazma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्लाज्मा	plasma	प्लाज्मा	plasma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
छपाई	izdrukāt	छपाई	izdrukāt	V;PFV;FEM;SG;V.PTCP;ACT	V;POS;NFIN
छपाई	drukāt	छपाई	drukāt	V;PFV;FEM;SG;V.PTCP;ACT	V;POS;NFIN
सर्दी	saaukstēšanās	सर्दी	saaukstēšanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सर्दी	aukstums	सर्दी	aukstums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सर्दी	ziema	सर्दी	ziema	N;NOM;FEM;SG;3	N;NOM;FEM;SG
घना	blīvs	घना	blīvs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
सच्चाई	patiesība	सच्चाई	patiesība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आदत	ieradums	आदत	ieradums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आज़ादी	brīvība	आज़ादी	brīvība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्राध्यापक	profesore	प्राध्यापक	profesore	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्राध्यापक	profesors	प्राध्यापक	profesors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ताजा	svaiga	ताजा	svaiga	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
ताजा	svaigs	ताजा	svaigs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
झरने	ūdenskritums	झरना	ūdenskritums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भिक्षु	mūks	भिक्षु	mūks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मिलाया	apvienotais	मिला	apvienot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
मिलाया	apvienots	मिला	apvienot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
बोझ	nasta	बोझ	nasta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बोझ	slogs	बोझ	slogs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पूंछ	aste	पूंछ	aste	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रीढ़	mugurkauls	रीढ़	mugurkauls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आयुर्विज्ञान	medicīna	आयुर्विज्ञान	medicīna	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आयुर्विज्ञान	ājurvēda	आयुर्विज्ञान	ājurvēda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अनुमोदन	apstiprināšana	अनुमोदन	apstiprināšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुमोदन	apstiprinājums	अनुमोदन	apstiprinājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सूअर	cūka	सूअर	cūka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पोत	kuģis	पोत	kuģis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मोटाई	biezums	मोटाई	biezums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
दृढ़ता	neatlaidība	दृढ़ता	neatlaidība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संतों	svēto	संत	svēts	N;ACC;MASC;PL;3	N
बीजगणित	algebra	बीजगणित	algebra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
केंद्रों	centrus	केंद्र	centrs	N;ACC;MASC;PL;3	N;ACC;MASC;PL
रचनाएं	kompozīcijas	रचना	kompozīcija	N;NOM;FEM;PL;3	N;NOM;FEM;PL
सपने	sapņi	सपना	sapnis	N;NOM;MASC;PL;3	N;NOM;MASC;PL
घोड़ों	zirgus	घोड़ा	zirgs	N;ACC;MASC;PL;3	N;ACC;MASC;PL
वॉल	sienas	वॉल	siena	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वॉल	mūris	वॉल	mūris	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वॉल	siena	वॉल	siena	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हड्डियों	kaulus	हड्डी	kauls	N;ACC;FEM;PL;3	N;ACC;MASC;PL
महत्ता	svarīgums	महत्ता	svarīgums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
महत्ता	nozīmīgums	महत्ता	nozīmīgums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मैनेजर	pārvaldnieks	मैनेजर	pārvaldnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मैनेजर	vadītājs	मैनेजर	vadītājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पाइप	cauruļvads	पाइप	cauruļvads	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पाइप	caurule	पाइप	caurule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
त्रिभुज	ērglis	त्रिभुज	ērglis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
त्रिभुज	trīsstūra	त्रिभुज	trīsstūris	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खलनायक	ļaundaris	खलनायक	ļaundaris	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रूम	istaba	रूम	istaba	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रूम	telpa	रूम	telpa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
जज	tiesnesis	जज	tiesnesis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जज	tiesnese	जज	tiesnese	N;NOM;MASC;SG;3	N;NOM;FEM;SG
व्यवसायिक	profesija	व्यवसायिक	profesija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
डालर	dolārs	डालर	dolārs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डालर	dolāra	डालर	dolārs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निशाना	mērķis	निशाना	mērķis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ऑटोमोबाइल	automobiles	ऑटोमोबाइल	automobile	N;NOM;MASC;SG;3	N;NOM;FEM;SG
राउंड	kārta	राउंड	kārta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सूप	zupa	सूप	zupa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मैट्रिक्स	matrica	मैट्रिक्स	matrica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षुद्रग्रह	asteroīds	क्षुद्रग्रह	asteroīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्रियाएँ	darbības	क्रिया	darbība	N;NOM;FEM;PL;3	N;NOM;FEM;PL
क्रियाएँ	aktivitātes	क्रिया	aktivitāte	N;NOM;FEM;PL;3	N;NOM;FEM;PL
क्रियाएँ	darbības	क्रिया	darbība	N;NOM;FEM;PL;3	N;NOM;FEM;PL
क्रियाएँ	aktivitātes	क्रिया	aktivitāte	N;NOM;FEM;PL;3	N;NOM;FEM;PL
सुविधाजनक	ērts	सुविधाजनक	ērts	ADJ	ADJ;NOM;MASC;SG
सुविधाजनक	ērta	सुविधाजनक	ērta	ADJ	ADJ;NOM;FEM;SG
फेसबुक	facebook	फेसबुक	facebooks	N;NOM;MASC;SG;3	N
चोर	zaglis	चोर	zaglis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
डाइऑक्साइड	dioksīda	डाइऑक्साइड	dioksīda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
डाइऑक्साइड	dioksīds	डाइऑक्साइड	dioksīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भेजी	nosūtīta	भेज	nosūtīt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
भेजी	nosūtīja	भेज	nosūtīt	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
भेजी	nosūtīts	भेज	nosūtīt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
कमेटी	komiteja	कमेटी	komiteja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मौजूदगी	esamība	मौजूदगी	esamība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मौजूदगी	esība	मौजूदगी	esība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मौजूदगी	klātbūtne	मौजूदगी	klātbūtne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
दोस्ती	draudzība	दोस्ती	draudzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पंप	sūknis	पंप	sūknis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पंप	sūkņa	पंप	sūkņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दाने	graudi	दाना	grauds	N;NOM;MASC;PL;3	N;NOM;MASC;PL
नक्काशी	gravēšanas	नक्काशी	gravēšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विचलन	novirze	विचलन	novirze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
होस्ट	dators	होस्ट	dators	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जलाशय	baseins	जलाशय	baseins	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ऋणात्मक	negatīvs	ऋणात्मक	negatīvs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
टैक्सी	kabīne	टैक्सी	kabīne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सूरा	nodaļa	सूरा	nodaļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सूरा	sūra	सूरा	sūra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सूरा	sura	सूरा	sura	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चलाता	izpilda	चला	izpilst	V;IPFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
गार्ड	apsardze	गार्ड	apsardze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गार्ड	aizsargs	गार्ड	aizsargs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गार्ड	sargs	गार्ड	sargs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रेलमार्ग	dzelzceļš	रेलमार्ग	dzelzceļš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
फेडरेशन	federācija	फेडरेशन	federācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्रीम	krējums	क्रीम	krējums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परेड	parāde	परेड	parāde	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शुद्धता	precizitāte	शुद्धता	precizitāte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रचनाकार	rakstnieks	रचनाकार	rakstnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
युवावस्था	jaunatne	युवावस्था	jaunatne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
युवावस्था	jaunība	युवावस्था	jaunība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्टाइल	stils	स्टाइल	stils	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ढांचा	kadrs	ढांचा	kadrs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ढांचा	rāmis	ढांचा	rāmis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ढांचा	struktūra	ढांचा	struktūra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ढांचा	uzbūve	ढांचा	uzbūve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मजदूरी	alga	मजदूरी	alga	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मजदूरी	alga	मजदूरी	alga	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विस्थापन	pārvietojums	विस्थापन	pārvietojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतीकों	simbolus	प्रतीक	simbols	N;ACC;MASC;PL;3	N;ACC;MASC;PL
पैक	iepakojums	पैक	iepakojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
छाल	miza	छाल	miza	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पिक्चर	attēls	पिक्चर	attēls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पिक्चर	bilde	पिक्चर	bilde	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गर्भपात	aborts	गर्भपात	aborts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पुजारी	mācītājs	पुजारी	mācītājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्लेस	vieta	प्लेस	vieta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
एनीमेशन	animācija	एनीमेशन	animācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
एनीमेशन	optimizācija	एनीमेशन	optimizācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ज्वार	sorgo	ज्वार	sorgot	N;NOM;MASC;SG;3	N
समस्याएँ	problēmas	समस्या	problēma	N;NOM;FEM;PL;3	N;NOM;FEM;PL
समस्याएँ	jautājumi	समस्या	jautājums	N;NOM;FEM;PL;3	N;NOM;MASC;PL
मित्रता	draudzība	मित्रता	draudzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विश्वसनीयता	uzticamība	विश्वसनीयता	uzticamība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विश्वसनीयता	ticamība	विश्वसनीयता	ticamība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विश्वसनीयता	drošums	विश्वसनीयता	drošums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
विश्वसनीयता	ticamība	विश्वसनीयता	ticamība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विश्वसनीयता	uzticamība	विश्वसनीयता	uzticamība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कैप्टन	kapteinis	कैप्टन	kapteinis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
वेधशाला	observatorija	वेधशाला	observatorija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कुत्ता	suns	कुत्ता	suns	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जड़ें	saknes	जड़	sakne	N;NOM;FEM;PL;3	N;NOM;FEM;PL
सिस्टम्स	sistēmas	सिस्टम	sistēma	N;NOM;MASC;PL;3	N;NOM;FEM;PL
चलना	staigā	चल	staiga	V;MASC;NFIN;ACT	V;IMP;2;POS;PRS;FIN;ACT
चलना	staigāt	चल	staigāt	V;MASC;NFIN;ACT	V;POS;NFIN
चलना	iet	चल	iet	V;MASC;NFIN;ACT	V;POS;FIN
चलना	staigā	चल	staiga	V;MASC;NFIN;ACT	V;IMP;2;POS;PRS;FIN;ACT
औचित्य	attaisnojums	औचित्य	attaisnojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
औचित्य	pamatojums	औचित्य	pamatojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नौका	laiva	नौका	laiva	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निपटान	likvidēšana	निपटान	likvidēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निपटान	iznīcināšana	निपटान	iznīcināšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रचारक	cīnītāja	प्रचारक	cīnītāja	N;NOM;MASC;SG;3	N;NOM;MASC;SG
साईट	vietne	साईट	vietne	N;NOM;FEM;SG;3	N;NOM;FEM;SG
साईट	vieta	साईट	vieta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अभिगम	pieeja	अभिगम	pieeja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अभिगम	piekļuve	अभिगम	piekļuve	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मंत्रिमंडल	kabinets	मंत्रिमंडल	kabinets	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मंत्रिमंडल	skapis	मंत्रिमंडल	skapis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तिल	sezama	तिल	sezams	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ट्विटर	twitter	ट्विटर	twitter	N;NOM;MASC;SG;3	N
पतला	tievs	पतला	tievs	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
पतला	neliels	पतला	neliels	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
पतला	neliela	पतला	neliels	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
फौज	armija	फौज	armija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उठाना	audzina	उठा	audzināt	V;MASC;NFIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
निकास	izeja	निकास	izeja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निकास	izbraukšana	निकास	izbraukšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मालिश	masāža	मालिश	masāža	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आसवन	destilācija	आसवन	destilācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्वार्टर	ceturksnis	क्वार्टर	ceturksnis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्वार्टर	ceturtdaļa	क्वार्टर	ceturtdaļa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पाषाण	karjera	पाषाण	karjera	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पाषाण	karjers	पाषाण	karjers	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षतिपूर्ति	kompensācija	क्षतिपूर्ति	kompensācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रजिस्टर	reģistrs	रजिस्टर	reģistrs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सन्धि	līgums	सन्धि	līgums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
चमत्कार	brīnums	चमत्कार	brīnums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गोला	sfēra	गोला	sfēra	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्तेजना	satraukums	उत्तेजना	satraukums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
विमानन	aviācija	विमानन	aviācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
टुकड़ा	fragments	टुकडा	fragments	N;NOM;MASC;SG;3	N;NOM;MASC;SG
टुकड़ा	gabaliņš	टुकडा	gabaliņš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
टुकड़ा	gabals	टुकडा	gabals	N;NOM;MASC;SG;3	N;NOM;MASC;SG
टुकड़ा	gab	टुकडा	gab	N;NOM;MASC;SG;3	N
हाइब्रिड	hibrīds	हाइब्रिड	hibrīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
हाइब्रिड	hibrīda	हाइब्रिड	hibrīds	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बलात्कार	izvarošana	बलात्कार	izvarošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कथाएं	pasakas	कथाएं	pasaka	N;NOM;FEM;PL;3	N;NOM;FEM;PL
सजावट	labiekārtošana	सजावट	labiekārtošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
हिमनद	glečers	हिमनद	glečers	N;NOM;MASC;SG;3	N;NOM;MASC;SG
इन्टरनेट	pārtraukums	इन्टरनेट	pārtraukums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उर्वरक	mēslojums	उर्वरक	mēslojums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अनुवादक	tulkotājs	अनुवादक	tulkotājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अनुवादक	translators	अनुवादक	translators	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उपसर्ग	prefikss	उपसर्ग	prefikss	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दिलचस्प	interesants	दिलचस्प	interesants	ADJ	ADJ;NOM;MASC;SG
दिलचस्प	interesantas	दिलचस्प	interesanta	ADJ	ADJ;NOM;FEM;PL
दिलचस्प	interesanta	दिलचस्प	interesanta	ADJ	ADJ;NOM;FEM;SG
आँखें	actiņas	आँख	actiņa	N;NOM;FEM;PL;3	N;NOM;FEM;PL
आँखें	acis	आँख	acs	N;NOM;FEM;PL;3	N;NOM;FEM;PL
पुनर्गठन	reorganizācija	पुनर्गठन	reorganizācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कम्प्यूटिंग	skaitļošanas	कम्प्यूटिंग	skaitļošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अपराधियों	noziedzniekus	अपराधी	noziedznieks	N;ACC;MASC;PL;3	N;ACC;MASC;PL
जीती	uzvarēja	जीत	uzvarēt	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
जीती	uzvarējis	जीत	uzvarēt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
जीती	ieguva	जीत	iegūt	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
डीजल	dīzeļdegviela	डीजल	dīzeļdegviela	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तेरह	trīspadsmit	तेरह	trīspadsmit	NUM	NUM;PL
स्टेज	posms	स्टेज	posms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्टेज	stadija	स्टेज	stadija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निष्ठा	veltījums	निष्ठा	veltījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
अंतरण	atstatums	अंतरण	atstatums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अंतरण	atstarpe	अंतरण	atstarpe	N;NOM;MASC;SG;3	N;NOM;FEM;SG
इंटरफ़ेस	saskarne	इंटरफ़ेस	saskarne	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कैल्सियम	kalcijs	कैल्सियम	kalcijs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कथाकार	stāstnieks	कथाकार	stāstnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पटल	panelis	पटल	panelis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पटल	žūrija	पटल	žūrija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रत्यारोपण	implants	प्रत्यारोपण	implants	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रत्यारोपण	transplantācija	प्रत्यारोपण	transplantācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नाइट्रेट	nitrāts	नाइट्रेट	nitrāts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
व्यवसायी	uzņēmējs	व्यवसायी	uzņēmējs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नकद	nauda	नकद	nauda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आभूषण	rotaslietas	आभूषण	rotaslieta	N;NOM;MASC;PL;3	N;NOM;FEM;PL
आभूषण	rotaslietas	आभूषण	rotaslieta	N;NOM;MASC;PL;3	N;NOM;FEM;PL
लड़ाकू	cīnītājs	लड़ाकू	cīnītājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बेसिन	baseins	बेसिन	baseins	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चार्टर	harta	चार्टर	harta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्प्रेरक	katalizators	उत्प्रेरक	katalizators	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कठोरता	stīvums	कठोरता	stīvums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कठोरता	cietība	कठोरता	cietība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तीर	bulta	तीर	bulta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रोकता	novērš	रोक	novērst	V;IPFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
निर्वात	vakuuma	निर्वात	vakuums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निर्वात	vakuums	निर्वात	vakuums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
इरादे	nodoms	इरादा	nodoms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
इरादे	nolūks	इरादा	nolūks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेग	kāja	लेग	kāja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कालक्रम	hronoloģija	कालक्रम	hronoloģija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रोफ़ाइल	profila	प्रोफ़ाइल	profils	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रोफ़ाइल	profils	प्रोफ़ाइल	profils	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घृणा	naids	घृणा	naids	N;NOM;FEM;SG;3	N;NOM;MASC;SG
घृणा	naids	घृणा	naids	N;NOM;FEM;SG;3	N;NOM;MASC;SG
चिकन	cālis	चिकन	cālis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चिकन	vista	चिकन	vists	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समझी	uzskatīja	समझ	uzskatīt	V;PFV;FEM;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
समझी	uzskatīts	समझ	uzskatīt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
समझी	apsvērta	समझ	apsvērt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
समझी	uzskatīta	समझ	uzskatīt	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
विशेषाधिकार	privilēģija	विशेषाधिकार	privilēģija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्यक्षमता	funkcionalitāte	कार्यक्षमता	funkcionalitāte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्वच्छता	tīrība	स्वच्छता	tīrība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आखिरकार	beidzot	आखिरकार	beidzot	ADV	ADV
पंचांग	kalendārs	पंचांग	kalendārs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रोफ़ेसर	profesore	प्रोफ़ेसर	profesore	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रोफ़ेसर	profesors	प्रोफ़ेसर	profesors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
नमूनों	īpatņus	नमूना	īpatnis	N;ACC;MASC;PL;3	N;ACC;MASC;PL
निष्पक्ष	objektīvs	निष्पक्ष	objektīvs	ADJ	ADJ;NOM;MASC;SG
निष्पक्ष	objektīva	निष्पक्ष	objektīva	ADJ	ADJ;NOM;FEM;SG
निष्पक्ष	taisnīgs	निष्पक्ष	taisnīgs	ADJ	ADJ;NOM;MASC;SG
निष्पक्ष	taisnīgu	निष्पक्ष	taisnīga	ADJ	ADJ;ACC;MASC;SG
निष्पक्ष	neitrāls	निष्पक्ष	neitrāls	ADJ	ADJ;NOM;MASC;SG
निष्पक्ष	neitrāla	निष्पक्ष	neitrālīt	ADJ	ADJ;NOM;FEM;SG
प्रविष्टि	ieraksts	प्रविष्टि	ieraksts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
निमंत्रण	ielūgums	निमंत्रण	ielūgums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
निमंत्रण	uzaicinājums	निमंत्रण	uzaicinājums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
