پِن	pin	پِن	pin		
تفحُّص	חיפוש	تفحُّص	חיפוש	N;NOM;MASC;SG;3	N;MASC;SG
تفحُّص	חקירה	تفحُّص	חקירה	N;NOM;MASC;SG;3	N;FEM;SG
تفحُّص	מחקר	تفحُّص	מחקר	N;NOM;MASC;SG;3	N;MASC;SG
تفرقہ	חטיבה	تفرقہ	חטיבה	N;NOM;MASC;SG;3	N;FEM;SG
تفرقہ	דיוויזיה	تفرقہ	דיוויזיה	N;NOM;MASC;SG;3	N
تفرقہ	חלוקה	تفرقہ	חלוקה	N;NOM;MASC;SG;3	N;FEM;SG
تفرقہ	הפרדה	تفرقہ	הפרדה	N;NOM;MASC;SG;3	N;FEM;SG
تفریح	הנאה	تفریح	הנאה	N;NOM;MASC;SG;3	N;FEM;SG
تفریح	שעשוע	تفریح	שעשוע	N;NOM;MASC;SG;3	N;MASC;SG
تفریح	הסחה	تفریح	הסחה	N;NOM;MASC;SG;3	N;FEM;SG
تفریح	בידור	تفریح	בידור	N;NOM;MASC;SG;3	N;MASC;SG
تفریح	הנאה	تفریح	הנאה	N;NOM;MASC;SG;3	N;FEM;SG
تفریح	בילוי	تفریح	בילוי	N;NOM;MASC;SG;3	N;MASC;SG
تفریق	הבחנה	تفریق	הבחנה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	ההבחנה	تفریق	ההבחנה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	עזיבה	تفریق	עזיבה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	קנאה	تفریق	קנאה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	קינאה	تفریق	קינא	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	הפרדה	تفریق	הפרדה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	סיווג	تفریق	סיווג	N;NOM;MASC;SG;3	N;MASC;SG
تفریق	הבחנה	تفریق	הבחנה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	ההבחנה	تفریق	ההבחנה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	עזיבה	تفریق	עזיבה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	חיסור	تفریق	חיסור	N;NOM;MASC;SG;3	N;MASC;SG
تفریق	קנאה	تفریق	קנאה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	קינאה	تفریق	קינא	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	הפרדה	تفریق	הפרדה	N;NOM;MASC;SG;3	N;FEM;SG
تفریق	סיווג	تفریق	סיווג	N;NOM;MASC;SG;3	N;MASC;SG
تفصیل	הסבר	تفصیل	הסבר	N;NOM;MASC;SG;3	N;MASC;SG
تفل	עפר	تفل	עפר		
تفہیم	הסבר	تفہیم	הסבר	N;NOM;MASC;SG;3	N;MASC;SG
تفہیم	הוראה	تفہیم	הוראה	N;NOM;MASC;SG;3	N;FEM;SG
تفہیم	לימוד	تفہیم	לימוד	N;NOM;MASC;SG;3	N;MASC;SG
تقاتُل	לחימה	تقاتُل	לחימה	N;NOM;MASC;SG;3	N;FEM;SG
تقارُب	קרבה	تقارُب	קרבה	N;NOM;MASC;SG;3	N;FEM;SG
تقارُب	קירבה	تقارُب	קירב	N;NOM;MASC;SG;3	N;FEM;SG
تقارُب	ההתכנסות	تقارُب	ההתכנסות	N;NOM;MASC;SG;3	N;FEM;SG
تقارُب	התכנסות	تقارُب	התכנסות	N;NOM;MASC;SG;3	N;FEM;SG
تقاصُر	צמצום	تقاصُر	צמצום	N;NOM;MASC;SG;3	N;MASC;SG
تقاصُر	הפחתת	تقاصُر	הפחתה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
تقاصُر	הפחתה	تقاصُر	הפחתה	N;NOM;MASC;SG;3	N;FEM;SG
تقاصُر	ירידה	تقاصُر	ירידה	N;NOM;MASC;SG;3	N;FEM;SG
تقاضا	דרישה	تقاضا	דרישה	N;NOM;MASC;SG;3	N;FEM;SG
تقاضا	ביקוש	تقاضا	ביקוש	N;NOM;MASC;SG;3	N;MASC;SG
تقاضا	ההתעקשות	تقاضا	ההתעקשות	N;NOM;MASC;SG;3	N;FEM;SG
تقاطُر	רסס	تقاطُر	רסס	N;NOM;MASC;SG;3	N;MASC;SG
تقاطُر	טפטוף	تقاطُر	טפטוף	N;NOM;MASC;SG;3	N;MASC;SG
تقاطُع	הצומת	تقاطُع	הצומה	N;NOM;MASC;SG;3	N;FEM;SG
تقاطُع	צומת	تقاطُع	צומת	N;NOM;MASC;SG;3	N;FEM;SG
تقدیر	אומדן	تقدیر	אומדן	N;NOM;FEM;SG;3	N;MASC;SG
تقدیر	אומדן	تقدیر	אומדן	N;NOM;FEM;SG;3	N;MASC;SG
تقریب	פסטיבל	تقریب	פסטיבל	N;NOM;FEM;SG;3	N;MASC;SG
تقریب	סיבה	تقریب	סיבה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	המלצה	تقریب	המלצה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	ההמלצה	تقریب	ההמלצה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	גישה	تقریب	גישה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	קרבה	تقریب	קרבה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	קירבה	تقریب	קירב	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	מאורע	تقریب	מאורע	N;NOM;FEM;SG;3	N;MASC;SG
تقریب	הכרות	تقریب	הכרה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	ההיכרות	تقریب	ההיכרות	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	היכרות	تقریب	היכרות	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	סיבה	تقریب	סיבה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	פסטיבל	تقریب	פסטיבל	N;NOM;FEM;SG;3	N;MASC;SG
تقریب	סיבה	تقریب	סיבה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	המלצה	تقریب	המלצה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	ההמלצה	تقریب	ההמלצה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	גישה	تقریب	גישה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	קרבה	تقریب	קרבה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	קירבה	تقریب	קירב	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	מאורע	تقریب	מאורע	N;NOM;FEM;SG;3	N;MASC;SG
تقریب	טקס	تقریب	טקס	N;NOM;FEM;SG;3	N;MASC;SG
تقریب	הכרות	تقریب	הכרה	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	ההיכרות	تقریب	ההיכרות	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	היכרות	تقریب	היכרות	N;NOM;FEM;SG;3	N;FEM;SG
تقریب	סיבה	تقریب	סיבה	N;NOM;FEM;SG;3	N;FEM;SG
تقریر	כתובת	تقریر	כתובת	N;NOM;FEM;SG;3	N;FEM;SG
تقریر	הרצאה	تقریر	הרצאה	N;NOM;FEM;SG;3	N;FEM;SG
تقریر	דבר	تقریر	דבר	N;NOM;FEM;SG;3	N;MASC;SG
تقریر	נאום	تقریر	נאום	N;NOM;FEM;SG;3	N;MASC;SG
تقریر	דיבור	تقریر	דיבור	N;NOM;FEM;SG;3	N;MASC;SG
تقریر	כתובת	تقریر	כתובת	N;NOM;FEM;SG;3	N;FEM;SG
تقریر	הרצאה	تقریر	הרצאה	N;NOM;FEM;SG;3	N;FEM;SG
تقریر	דבר	تقریر	דבר	N;NOM;FEM;SG;3	N;MASC;SG
تقریری	מילולי	تقریری	מילולי	ADJ	ADJ;MASC;SG
تقسیم	חטיבה	تقسیم	חטיבה	N;NOM;FEM;SG;3	N;FEM;SG
تقسیم	דיוויזיה	تقسیم	דיוויזיה	N;NOM;FEM;SG;3	N
تقسیم	חלוקה	تقسیم	חלוקה	N;NOM;FEM;SG;3	N;FEM;SG
تقسیم	שיתוף	تقسیم	שיתוף	N;NOM;FEM;SG;3	N;MASC;SG
تقطیب	קיטוב	تقطیب	קיטוב	N;NOM;MASC;SG;3	N;MASC;SG
تقلید	חיקוי	تقلید	חיקוי	N;NOM;MASC;SG;3	N;MASC;SG
تقویت	כוח	تقویت	כוח	N;NOM;MASC;SG;3	N;MASC;SG
تقویت	חוזק	تقویت	חזק	N;NOM;MASC;SG;3	N;MASC;SG
تقویت	עוצמה	تقویت	עוצמה	N;NOM;MASC;SG;3	N;FEM;SG
تقویت	סיוע	تقویت	סיוע	N;NOM;MASC;SG;3	N;MASC;SG
تقویت	חיזוק	تقویت	חיזוק	N;NOM;MASC;SG;3	N;MASC;SG
تقویت	הבטחה	تقویت	הבטחה	N;NOM;MASC;SG;3	N;FEM;SG
تقویت	הסתמכות	تقویت	הסתמכות	N;NOM;MASC;SG;3	N;FEM;SG
تقویت	תמיכה	تقویت	תמיכה	N;NOM;MASC;SG;3	N;FEM;SG
تقویت	חיזוק	تقویت	חיזוק	N;NOM;MASC;SG;3	N;MASC;SG
تک	עד	تک	עד	ADP	ADP
تک	עד	تک	עד	ADP	ADP
تکاثُر	שגשוג	تکاثُر	שגשוג	N;NOM;MASC;SG;3	N;MASC;SG
تکاثُف	עובי	تکاثُف	עובי	N;NOM;MASC;SG;3	N;MASC;SG
تکالیف	צרות	تکلیف	צרה	N;NOM;MASC;PL;3	N;FEM;PL
تکان	דביל	تکان	דביל		
تکان	אידיוט	تکان	אידיוט		
تکان	דביל	تکان	דביל		
تکان	אידיוט	تکان	אידיוט		
تکبُّر	יהירות	تکبُّر	יהירות	N;NOM;MASC;SG;3	N;FEM;SG
تکبُّر	גאווה	تکبُّر	גאווה	N;NOM;MASC;SG;3	N;FEM;SG
تکثیر	עלייה	تکثیر	עלייה	N;NOM;MASC;SG;3	N;FEM;SG
تکثیر	כפל	تکثیر	כפל	N;NOM;MASC;SG;3	N;MASC;SG
تکثیف	עיבוי	تکثیف	עיבוי	N;NOM;MASC;SG;3	N;MASC;SG
تکدُّر	עכירות	تکدُّر	עכירה	N;NOM;MASC;SG;3	N;FEM;SG
تکذیب	סתירה	تکذیب	סתירה	N;NOM;MASC;SG;3	N;FEM;SG
تکرار	מחלוקת	تکرار	מחלוקת	N;NOM;MASC;SG;3	N;FEM;SG
تکرار	מחלוקת	تکرار	מחלוקת	N;NOM;MASC;SG;3	N;FEM;SG
تکرار	טיעון	تکرار	טיעון	N;NOM;MASC;SG;3	N;MASC;SG
تکرار	ויכוח	تکرار	ויכוח	N;NOM;MASC;SG;3	N;MASC;SG
تکرار	טאוטולוגיה	تکرار	טאוטולוגיה	N;NOM;MASC;SG;3	N
تکرار	מחלוקת	تکرار	מחלוקת	N;NOM;MASC;SG;3	N;FEM;SG
تکرار	מחלוקת	تکرار	מחלוקת	N;NOM;MASC;SG;3	N;FEM;SG
تکرار	קטטה	تکرار	קטטה	N;NOM;MASC;SG;3	N;FEM;SG
تکرار	טיעון	تکرار	טיעון	N;NOM;MASC;SG;3	N;MASC;SG
تکرار	ויכוח	تکرار	ויכוח	N;NOM;MASC;SG;3	N;MASC;SG
تکرار	טאוטולוגיה	تکرار	טאוטולוגיה	N;NOM;MASC;SG;3	N
تکریم	אדיבות	تکریم	אדיבות	N;NOM;MASC;SG;3	N;FEM;SG
تکریم	אדיבות	تکریم	אדיבות	N;NOM;MASC;SG;3	N;FEM;SG
تکریم	כבוד	تکریم	כבוד	N;NOM;MASC;SG;3	N;MASC;SG
تکڑ	כח	تکڑ	כוח		
تکلُّف	טקס	تکلُّف	טקס	N;NOM;MASC;SG;3	N;MASC;SG
تکلُّفات	טקסים	تکلق۔ف	טקס	N;NOM;MASC;PL;3	N;MASC;PL
تکلیف	מצוקה	تکلیف	מצוקה	N;NOM;FEM;SG;3	N;FEM;SG
تکلیف	קושי	تکلیف	קושי	N;NOM;FEM;SG;3	N;MASC;SG
تکلیف	כאב	تکلیف	כאב	N;NOM;FEM;SG;3	N;MASC;SG
تکمیل	ביצוע	تکمیل	ביצוע	N;NOM;MASC;SG;3	N;MASC;SG
تکمیل	מסקנה	تکمیل	מסקנה	N;NOM;MASC;SG;3	N;FEM;SG
تکمیل	ביצוע	تکمیل	ביצוע	N;NOM;MASC;SG;3	N;MASC;SG
تکمیل	מסקנה	تکمیل	מסקנה	N;NOM;MASC;SG;3	N;FEM;SG
تکمیل	סיום	تکمیل	סיום	N;NOM;MASC;SG;3	N;MASC;SG
تکمیل	השלמת	تکمیل	השלמה	N;NOM;MASC;SG;3	N;PSSD;FEM;SG
تکمیل	השלמה	تکمیل	השלמה	N;NOM;MASC;SG;3	N;FEM;SG
تکنا	מבטו	تکنا	מבט		
تکنا	מבט	تکنا	מבט		
تکنیکی	טכניים	تکنیکی	טכני	ADJ	ADJ;MASC;PL
تکوین	הבריאה	تکوین	הבריא	N;NOM;MASC;SG;3	N;FEM;SG
تکوین	יצירה	تکوین	יצירה	N;NOM;MASC;SG;3	N;FEM;SG
تکوین	הבריאה	تکوین	הבריא	N;NOM;MASC;SG;3	N;FEM;SG
تکوین	יצירה	تکوین	יצירה	N;NOM;MASC;SG;3	N;FEM;SG
تِکھارنا	להוכיח	تِکھار	הוכיח	V;SG;NFIN;ACT	V;NFIN;ACT
تِکھارنا	לבסס	تِکھار	ביסס	V;SG;NFIN;ACT	V;NFIN;ACT
تِکھارنا	לאשר	تِکھار	אישר	V;SG;NFIN;ACT	V;NFIN;ACT
تگ	טיסה	تگ	טיסה	N;NOM;MASC;SG;3	N;FEM;SG
تگ	ריצה	تگ	ריצה	N;NOM;MASC;SG;3	N;FEM;SG
تگرگ	הטל	تگرگ	הטל		
تِل	מולה	تِل	מולה		
تلاش	מרדף	تلاش	מרדף	N;NOM;FEM;SG;3	N;MASC;SG
تلاش	חקירה	تلاش	חקירה	N;NOM;FEM;SG;3	N;FEM;SG
تلاش	מרדף	تلاش	מרדף	N;NOM;FEM;SG;3	N;MASC;SG
تلاش	חיפוש	تلاش	חיפוש	N;NOM;FEM;SG;3	N;MASC;SG
تلاش	חקירה	تلاش	חקירה	N;NOM;FEM;SG;3	N;FEM;SG
تلافی	פיצוי	تلافی	פיצוי	N;NOM;MASC;SG;3	N;MASC;SG
تلافی	פיצוי	تلافی	פיצוי	N;NOM;MASC;SG;3	N;MASC;SG
تلافی	כפרה	تلافی	כפרה	N;NOM;MASC;SG;3	N;FEM;SG
تلافی	פיצוי	تلافی	פיצוי	N;NOM;MASC;SG;3	N;MASC;SG
تلافی	פיצוי	تلافی	פיצוי	N;NOM;MASC;SG;3	N;MASC;SG
تلافی	כפרה	تلافی	כפרה	N;NOM;MASC;SG;3	N;FEM;SG
تلخ	מרה	تلخ	מר		
تلخ	המר	تلخ	המר		
تلخی	מרירות	تلخی	מרירות	N;NOM;MASC;SG;3	N;FEM;SG
تلّڑ	כרס	تلّڑ	כרס		
تلف	אובדן	تلف	אובדן	N;NOM;MASC;SG;3	N;MASC;SG
تلف	אבדן	تلف	None	N;NOM;MASC;SG;3	N
تلف	הפסד	تلف	הפסד	N;NOM;MASC;SG;3	N;MASC;SG
تلف	אבידה	تلف	אבידה	N;NOM;MASC;SG;3	N;FEM;SG
تلف	הרס	تلف	הרס	N;NOM;MASC;SG;3	N;MASC;SG
تلف	בזבוז	تلف	בזבוז	N;NOM;MASC;SG;3	N;MASC;SG
تلف	הוצאה	تلف	הוצאה	N;NOM;MASC;SG;3	N;FEM;SG
تلفی	מוות	تلفی	מוות	N;NOM;MASC;SG;3	N;MASC;SG
تلفی	הרס	تلفی	הרס	N;NOM;MASC;SG;3	N;MASC;SG
تلقین	הוראה	تلقین	הוראה	N;NOM;FEM;SG;3	N;FEM;SG
تلقین	לימוד	تلقین	לימוד	N;NOM;FEM;SG;3	N;MASC;SG
تلقین	שכנוע	تلقین	שכנוע	N;NOM;FEM;SG;3	N;MASC;SG
