蛍光	fluoresenssi	蛍光	fluoresyn	N	N;NOM;SG
埋める	täyttää	埋める	täyttää	V	V;SG;NFIN;ACT
チャリティ	hyväntekeväisyyttä	チャリティ	hyvän#tekeväisyys	N	N;PRT;SG
チャリティ	hyväntekeväisyys	チャリティ	hyvän#tekeväisyys	N	N;NOM;SG
かつら	peruukki	かつら	peruukki	N	N;NOM;SG
かつら	peruukit	かつら	peruukki	N	N;NOM;PL
ストリング	naru	ストリング	naru	N	N;NOM;SG
ストリング	narua	ストリング	naru	N	N;PRT;SG
ストリング	string	ストリング	string	N	N;NOM;SG
プロット	juoni	プロット	juoni	N	N;NOM;SG
プロット	tontti	プロット	tontti	N	N;NOM;SG
区切り	riko	区切り	riko	V	V;IMP;SG;2;FIN;ACT
区切り	rikkoa	区切り	rikkoa	V	V;SG;NFIN;ACT
計器	välineen	計器	väline	N	N;GEN;SG
計器	instrumentti	計器	instrumentti	N	N;NOM;SG
計器	instrumentin	計器	instrumentti	N	N;GEN;SG
計器	väline	計器	väline	N	N;NOM;SG
文官	siviili	文官	siviillä	N	N;NOM;SG
ゲーム	arcade	ゲーム	arcade	N	N;NOM;SG
クリケット	sirkka	クリケット	sirkka	N	N;NOM;SG
ゆっくり	hitaasti	ゆっくり	hitaasti	ADV	ADV
タオル	pyyhe	タオル	pyyhe	N	N;NOM;SG
タオル	pyyhkeen	タオル	pyyhe	N	N;GEN;SG
タオル	pyyhkeitä	タオル	pyyhe	N	N;PRT;PL
ディッシュ	lautanen	ディッシュ	lautanen	N	N;NOM;SG
ディッシュ	lautasen	ディッシュ	lautanen	N	N;GEN;SG
ディッシュ	astia	ディッシュ	asti	N	N;NOM;SG
方法論	menetelmä	方法論	menetelmä	N	N;NOM;SG
方法論	menetelmät	方法論	menetelmä	N	N;NOM;PL
クッキー	keksit	クッキー	keksi	N	N;NOM;PL
クッキー	keksejä	クッキー	keksi	N	N;PRT;PL
クッキー	cookie	クッキー	cookie	N	N;NOM;SG
電極	elektrodi	電極	elektrodi	N	N;NOM;SG
電極	elektrodit	電極	elektrodi	N	N;NOM;PL
ドーナツ	munkkeja	ドーナツ	munkki	N	N;PRT;PL
ノズル	suuttimen	ノズル	suutin	N	N;GEN;SG
ナショナリズム	nationalismi	ナショナリズム	nationalismi	N	N;NOM;SG
正方	torille	正方	tori	N	N;AT+ALL;SG
正方	square	正方	square	N	N;NOM;SG
正方	aukio	正方	aukio	N	N;NOM;SG
正方	neliö	正方	neliö	N	N;NOM;SG
正方	torilla	正方	tori	N	N;AT+ESS
;SG
正方	neliöt	正方	neliö	N	N;NOM;PL
リザーブ	varaus	リザーブ	varaus	N	N;NOM;SG
リザーブ	varaa	リザーブ	vara	N	N;PRT;SG
モデリング	mallina	モデリング	malli	N	N;FRML;SG
モデリング	mallintaminen	モデリング	mallintaminen	N	N;NOM;SG
キャビン	mökki	キャビン	mökki	N	N;NOM;SG
キャビン	mökin	キャビン	möntä	N	N;GEN;SG
ヘリウム	helium	ヘリウム	helium	N	N;NOM;SG
羽毛	sulka	羽毛	sulka	N	N;NOM;SG
羽毛	höyheniä	羽毛	höyhen	N	N;PRT;PL
ハロウィン	halloween	ハロウィン	hallowe	N	N;NOM;SG
銀河	galaksia	銀河	galaksi	N	N;PRT;SG
銀河	galaxy	銀河	galaxy	N	N;NOM;SG
サプライズ	yllätys	サプライズ	yllätys	N	N;NOM;SG
アニマル	eläin	アニマル	eläin	N	N;NOM;SG
アニマル	eläintä	アニマル	eläin	N	N;PRT;SG
アニマル	eläimet	アニマル	eläin	N	N;NOM;PL
アニマル	eläinten	アニマル	eläin	N	N;GEN;PL
開祖	perustaja	開祖	perustaja	N	N;NOM;SG
マグネシウム	magnesium	マグネシウム	magnesium	N	N;NOM;SG
共和制	tasavalta	共和制	tasa#valta	N	N;NOM;SG
共和制	tasavaltojen	共和制	tasa#valto	N	N;GEN;PL
仮装	puku	仮装	puku	N	N;NOM;SG
仮装	asu	仮装	asua	N	N;NOM;SG
磁石	magneetti	磁石	magneetti	N	N;NOM;SG
磁石	magneetit	磁石	magneetti	N	N;NOM;PL
インストラクター	kouluttaja	インストラクター	kouluttaja	N	N;NOM;SG
イノベーション	innovaatiot	イノベーション	innovaatio	N	N;NOM;PL
イノベーション	innovaatioita	イノベーション	innovaatio	N	N;PRT;PL
イノベーション	innovaatiot	イノベーション	innovaatio	N	N;NOM;PL
イノベーション	innovaatio	イノベーション	innovaatio	N	N;NOM;SG
窃盗	varkauksia	窃盗	varkaus	N	N;PRT;PL
窃盗	varkaus	窃盗	varkaus	N	N;NOM;SG
窃盗	varastaminen	窃盗	varastaminen	N	N;NOM;SG
合図	signaalit	合図	signaali	N	N;NOM;PL
合図	signaaleja	合図	signaali	N	N;PRT;PL
コンビネーション	yhdistelmän	コンビネーション	yhdistelmä	N	N;GEN;SG
コンビネーション	yhdistelmä	コンビネーション	yhdistelmä	N	N;NOM;SG
喋る	puhuu	喋る	puhua	V	V;IND;SG;3;PRS;FIN;ACT
喋る	puhua	喋る	puhua	V	V;SG;NFIN;ACT
喋る	puhu	喋る	puhua	V	V;IMP;SG;2;FIN;ACT
いとこ	serkut	いとこ	serkku	N	N;NOM;PL
いとこ	serkkuja	いとこ	serkku	N	N;PRT;PL
いとこ	serkun	いとこ	serkku	N	N;GEN;SG
いとこ	serkku	いとこ	serkku	N	N;NOM;SG
本屋	kirjakauppias	本屋	kirja#kauppi	N	N;NOM;SG
本屋	kirjakauppa	本屋	kirja#kauppa	N	N;NOM;SG
ハプニング	tapahtumassa	ハプニング	tapahtuma	N	N;IN+ESS;SG
スリム	slim	スリム	slim	N	N;NOM;SG
前奏曲	alkusoitto	前奏曲	alku#soitto	N	N;NOM;SG
フレア	soihtu	フレア	soihtua	N	N;NOM;SG
海事	merenkulun	海事	meren#kulu	N	N;GEN;SG
四肢	raajojen	四肢	raaja	N	N;GEN;PL
思春	murrosikä	思春	murronen	N	N;NOM;SG
ダイアモンド	timantti	ダイアモンド	timantti	N	N;NOM;SG
ダイアモンド	timanttia	ダイアモンド	timantti	N	N;PRT;SG
ダイアモンド	diamond	ダイアモンド	diamond	N	N;NOM;SG
ダイアモンド	timantin	ダイアモンド	timantti	N	N;GEN;SG
外傷	vaurio	外傷	vaurio	N	N;NOM;SG
外傷	vahinko	外傷	vahinko	N	N;NOM;SG
外傷	vahinkoa	外傷	vahinko	N	N;PRT;SG
外傷	vammat	外傷	vamma	N	N;NOM;PL
外傷	vamma	外傷	vamma	N	N;NOM;SG
外傷	trauma	外傷	trauma	N	N;NOM;SG
パルプ	massan	パルプ	massa	N	N;GEN;SG
パルプ	massa	パルプ	massa	N	N;NOM;SG
朝食	aamiainen	朝食	aamiainen	N	N;NOM;SG
朝食	aamiaista	朝食	aamiainen	N	N;PRT;SG
化身	inkarnaatio	化身	inkarnaatio	N	N;NOM;SG
紫外	ultravioletti	紫外	ultra#violetti	N	N;NOM;SG
アルカリ	alkali	アルカリ	alkali	N	N;NOM;SG
予告	perävaunun	予告	perä#vaunu	N	N;GEN;SG
シルク	silkkiä	シルク	silkki	N	N;PRT;SG
車いす	pyörätuolin	車いす	pyörä#tuoli	N	N;GEN;SG
車いす	pyörätuoli	車いす	pyörä#tuoli	N	N;NOM;SG
マリーナ	marina	マリーナ	marina	N	N;NOM;SG
ロッジ	lodge	ロッジ	lodge	N	N;NOM;SG
スパイラル	kierre	スパイラル	kierre	N	N;NOM;SG
疑念	epäilen	疑念	epäillä	V	V;IND;SG;1;PRS;FIN;ACT
疑念	epäile	疑念	epäillä	V	V;IMP;SG;2;FIN;ACT
アソシエーション	association	アソシエーション	association	N	N;GEN;SG
アソシエーション	yhdistys	アソシエーション	yhdistys	N	N;NOM;SG
バリトン	baritoni	バリトン	baritoni	N	N;NOM;SG
ラガー	lager	ラガー	lager	N	N;NOM;SG
租税	verotuksen	租税	verotus	N	N;GEN;SG
租税	verotusta	租税	verotus	N	N;PRT;SG
租税	verotus	租税	verotus	N	N;NOM;SG
租税	verot	租税	vero	N	N;NOM;PL
租税	veroja	租税	vero	N	N;PRT;PL
租税	verotus	租税	verotus	N	N;NOM;SG
租税	vero	租税	vero	N	N;NOM;SG
租税	verot	租税	vero	N	N;NOM;PL
オウム	papukaija	オウム	papu#kaija	N	N;NOM;SG
コレクター	keräilijä	コレクター	keräilijä	N	N;NOM;SG
整形	muotoilua	整形	muotoilu	N	N;PRT;SG
整形	muotoilu	整形	muotoilu	N	N;NOM;SG
インパルス	impulssi	インパルス	impultsi	N	N;NOM;SG
アイデンティティ	identiteetin	アイデンティティ	identiteetti	N	N;GEN;SG
アイデンティティ	identiteetti	アイデンティティ	identiteetti	N	N;NOM;SG
アイデンティティ	henkilöllisyys	アイデンティティ	henkilöllisyys	N	N;NOM;SG
キツネ	kettu	キツネ	kettu	N	N;NOM;SG
キツネ	ketut	キツネ	ketu	N	N;NOM;PL
プロパガンダ	propagandaa	プロパガンダ	propaganda	N	N;PRT;SG
ハーモニカ	huuliharppu	ハーモニカ	huuli#harppu	N	N;NOM;SG
ストレージ	säilytys	ストレージ	säilytys	N	N;NOM;SG
ストレージ	varastointi	ストレージ	varastointi	N	N;NOM;SG
ストレージ	varasto	ストレージ	varasto	N	N;NOM;SG
シチュエーション	tilanne	シチュエーション	tilanne	N	N;NOM;SG
厳重	tiukat	厳重	tiukka	ADJ	ADJ;NOM;PL
厳重	tiukkaa	厳重	tiukka	ADJ	ADJ;PRT;SG
厳重	tiukka	厳重	tiukka	ADJ	ADJ;NOM;SG
厳重	ankara	厳重	ankara	ADJ	ADJ;NOM;SG
青	pronssia	青	pronssi	N	N;PRT;SG
貯蓄	säästöjä	貯蓄	säästö	N	N;PRT;PL
貯蓄	säästöt	貯蓄	säästö	N	N;NOM;PL
貯蓄	säästöjen	貯蓄	säästö	N	N;GEN;PL
船尾	perä	船尾	perä	N	N;NOM;SG
パラシュート	laskuvarjo	パラシュート	lasku#varjo	N	N;NOM;SG
アレイ	array	アレイ	array	N	N;NOM;SG
腎臓	munuaiset	腎臓	munuainen	N	N;NOM;PL
腎臓	munuaisten	腎臓	munuainen	N	N;GEN;PL
腎臓	munuainen	腎臓	munuainen	N	N;NOM;SG
覇権	hegemonia	覇権	hegemonia	N	N;NOM;SG
アスペクト	näkökohta	アスペクト	näkö#kohta	N	N;NOM;SG
リアリティ	todellisuus	リアリティ	todellisuus	N	N;NOM;SG
リアリティ	todellisuuden	リアリティ	todellisuus	N	N;GEN;SG
リアリティ	todellisuutta	リアリティ	todellisuus	N	N;PRT;SG
温室	conservatory	温室	conservatory	N	N;NOM;SG
温室	kasvihuone	温室	kasvi#huone	N	N;NOM;SG
稼ぐ	tienaa	稼ぐ	tienata	V	V;IMP;SG;2;PRS;FIN;ACT
稼ぐ	ansaita	稼ぐ	ansas	V	V;SG;NFIN;ACT
稼ぐ	ansaitse	稼ぐ	ansaita	V	V;IMP;SG;2;FIN;ACT
稼ぐ	tienaa	稼ぐ	tienata	V	V;IMP;SG;2;PRS;FIN;ACT
稼ぐ	ansaita	稼ぐ	ansas	V	V;SG;NFIN;ACT
うつ	masennus	うつ	masennus	N	N;NOM;SG
うつ	lama	うつ	lama	N	N;NOM;SG
うつ	masennusta	うつ	masennus	N	N;PRT;SG
会報	uutiskirje	会報	uutis#kirje	N	N;NOM;SG
ジェット	jet	ジェット	jetä	N	N;NOM;SG
シック	tyylikäs	シック	tyylikäs	ADJ	ADJ;NOM;SG
日本酒	sakea	日本酒	sakea	N	N;NOM;SG
接吻	suukko	接吻	suukko	N	N;NOM;SG
接吻	suudelma	接吻	suudelma	N	N;NOM;SG
ジャーナリズム	journalismia	ジャーナリズム	journalismi	N	N;PRT;SG
湿度	kosteuden	湿度	kosteus	N	N;GEN;SG
湿度	kosteus	湿度	kosteus	N	N;NOM;SG
湿度	kosteutta	湿度	kosteus	N	N;PRT;SG
ボリューム	tilavuus	ボリューム	tilavuus	N	N;NOM;SG
ボリューム	määrä	ボリューム	määrä	N	N;NOM;SG
サプライ	tarjonnan	サプライ	tarjonta	N	N;GEN;SG
サプライ	tarjonta	サプライ	tarjonta	N	N;NOM;SG
サプライ	toimitukset	サプライ	toimitus	N	N;NOM;PL
ボンネット	konepellin	ボンネット	kone#pelti	N	N;GEN;SG
ボンネット	huppu	ボンネット	huppu	N	N;NOM;SG
食肉	liha	食肉	liha	N	N;NOM;SG
食肉	lihaa	食肉	liha	N	N;PRT;SG
生き物	olennot	生き物	olento	N	N;NOM;PL
生き物	oliot	生き物	olio	N	N;NOM;PL
生き物	olentoja	生き物	olento	N	N;PRT;PL
生き物	olento	生き物	olento	N	N;NOM;SG
生き物	olio	生き物	olio	N	N;NOM;SG
生き物	otus	生き物	otus	N	N;NOM;SG
酵母	hiiva	酵母	hiiva	N	N;NOM;SG
マンモス	mammutti	マンモス	mammutti	N	N;NOM;SG
願望	pyrkimykset	願望	pyrkimys	N	N;NOM;PL
土産	matkamuistoja	土産	matkamuisto	N	N;PRT;PL
ムーンライト	kuutamo	ムーンライト	kuutamo	N	N;NOM;SG
ジャガイモ	perunat	ジャガイモ	peruna	N	N;NOM;PL
ジャガイモ	perunoita	ジャガイモ	peruna	N	N;PRT;PL
ジャガイモ	perunaa	ジャガイモ	peruna	N	N;PRT;SG
ジャガイモ	peruna	ジャガイモ	peruna	N	N;NOM;SG
ジャガイモ	perunat	ジャガイモ	peruna	N	N;NOM;PL
ジャガイモ	perunan	ジャガイモ	peruna	N	N;GEN;SG
ジャガイモ	perunaa	ジャガイモ	peruna	N	N;PRT;SG
ジャガイモ	peruna	ジャガイモ	peruna	N	N;NOM;SG
瀕死	kuolla	瀕死	kuolla	V	V;SG;NFIN;ACT
砂丘	dyyni	砂丘	dyyni	N	N;NOM;SG
カヌー	kanootti	カヌー	kanoottaa	N	N;NOM;SG
加速	kiihtyvyys	加速	kiihtyvyys	N	N;NOM;SG
執政官	konsuli	執政官	konsuli	N	N;NOM;SG
女帝	keisarinna	女帝	keisarinta	N	N;NOM;SG
女帝	valtiatar	女帝	valtiatar	N	N;NOM;SG
エイズ	aids	エイズ	aids	N	N;NOM;SG
エイズ	tuet	エイズ	tuki	N	N;NOM;PL
エイズ	aidsin	エイズ	aitsi	N	N;GEN;SG
推論	päätelmä	推論	päätelmä	N	N;NOM;SG
推論	perustelut	推論	perustelu	N	N;NOM;PL
推論	perustelu	推論	perustelu	N	N;NOM;SG
プラネタリウム	planetaario	プラネタリウム	plane#taario	N	N;NOM;SG
ゆっくり	hitaasti	ゆっくり	hitaasti	ADV	ADV
大理石	marmoria	大理石	marmori	N	N;PRT;SG
性交	yhdyntä	性交	yhdyntää	N	N;NOM;SG
焼肉	grilli	焼肉	grilli	N	N;NOM;SG
略語	lyhenne	略語	lyhenne	N	N;NOM;SG
略語	lyhenteet	略語	lyhete	N	N;NOM;PL
カラフル	värikäs	カラフル	värikäs	ADJ	ADJ;NOM;SG
カラフル	värikästä	カラフル	värikäs	ADJ	ADJ;PRT;SG
カラフル	värikäs	カラフル	värikäs	ADJ	ADJ;NOM;SG
カラフル	värikästä	カラフル	värikäs	ADJ	ADJ;PRT;SG
バリュー	arvoa	バリュー	arvo	N	N;PRT;SG
バリュー	arvo	バリュー	arvo	N	N;NOM;SG
残高	vaaka	残高	vaaka	N	N;NOM;SG
残高	saldo	残高	saldo	N	N;NOM;SG
残高	tasapainoa	残高	tasa#paino	N	N;PRT;SG
残高	tasapaino	残高	tasa#paino	N	N;NOM;SG
残高	tase	残高	tase	N	N;NOM;SG
風習	tulli	風習	tulli	N	N;NOM;SG
台座	jalusta	台座	jalku	N	N;NOM;SG
友愛	veljeskunta	友愛	veljes#kunta	N	N;NOM;SG
岸壁	laituri	岸壁	laituri	N	N;NOM;SG
内面	sisustus	内面	sisustus	N	N;NOM;SG
刺青	tatuointi	刺青	tatuointi	N	N;NOM;SG
刺青	tatuoinnin	刺青	tatuointi	N	N;GEN;SG
刺青	tatuoinnit	刺青	tatuointi	N	N;NOM;PL
刺青	tatuointeja	刺青	tatuointi	N	N;PRT;PL
ポリシー	politiikan	ポリシー	politiikka	N	N;GEN;SG
ポリシー	politiikka	ポリシー	politiikka	N	N;NOM;SG
ポリシー	käytäntö	ポリシー	käytäntö	N	N;NOM;SG
ポリシー	käytännöt	ポリシー	käytäntö	N	N;NOM;PL
ウォーキング	kävelyllä	ウォーキング	kävely	N	N;AT+ESS
;SG
ウォーキング	kävely	ウォーキング	kävely	N	N;NOM;SG
レボリューション	vallankumousta	レボリューション	vallan#kumous	N	N;PRT;SG
レボリューション	vallankumous	レボリューション	vallan#kumous	N	N;NOM;SG
レボリューション	vallankumouksen	レボリューション	vallan#kumous	N	N;GEN;SG
乳房	rinta	乳房	rinta	N	N;NOM;SG
乳房	rinnat	乳房	rinta	N	N;NOM;PL
乳房	rintojen	乳房	rinta	N	N;GEN;PL
トレンド	suuntaus	トレンド	suuntaus	N	N;NOM;SG
トレンド	suuntauksia	トレンド	suuntaus	N	N;PRT;PL
トレンド	suuntaukset	トレンド	suuntaus	N	N;NOM;PL
ハイキング	vaelluksia	ハイキング	vaellus	N	N;PRT;PL
