for	za	for	za		
activists	aktivisti	activist	aktivista	N;PL	N;ANIM;NOM;MASC;PL
activists	aktivistov	activist	aktivista	N;PL	N;ANIM;ACC;MASC;PL
rider	jazdec	rider	jazdec	N;SG	N;ANIM;NOM;MASC;SG
reduction	zníženie	reduction	zníženie	N;SG	N;NOM;NEUT;SG
reduction	znižovanie	reduction	znižovanie	N;SG	N;NOM;NEUT;SG
reduction	redukcia	reduction	redukcia	N;SG	N;NOM;FEM;SG
reduction	zmenšenie	reduction	zmenšenie	N;SG	N;NOM;NEUT;SG
genetic	genetický	genetic	genetický	ADJ	ADJ;INAN;NOM;MASC;SG
genetic	genetická	genetic	genetický	ADJ	ADJ;NOM;FEM;SG
genetic	genetické	genetic	genetický	ADJ	ADJ;NOM;NEUT;SG
genetic	genetického	genetic	genetický	ADJ	ADJ;GEN;NEUT;SG
locally	miestne	locally	miestne	ADV	ADV
milk	mlieko	milk	mlieko	N;SG	N;NOM;NEUT;SG
romance	romantika	romance	romantika	N;SG	N;NOM;FEM;SG
intellectual	duševného	intellectual	duševný	ADJ	ADJ;GEN;NEUT;SG
intellectual	duševné	intellectual	duševný	ADJ	ADJ;NOM;NEUT;SG
advisory	poradným	advisory	poradný	ADJ	ADJ;INS;MASC;SG
advisory	poradná	advisory	poradný	ADJ	ADJ;NOM;FEM;SG
arbitration	arbitráž	arbitration	arbitráž	N;SG	N;NOM;FEM;SG
interface	rozhranie	interface	rozhranie	N;SG	N;NOM;NEUT;SG
default	štandard	default	štandard	N;SG	N;INAN;NOM;MASC;SG
lifetime	životnosť	lifetime	životnosť	N;SG	N;NOM;FEM;SG
departure	odlet	departure	odlet	N;SG	N;INAN;NOM;MASC;SG
departure	odklon	departure	odklon	N;SG	N;INAN;NOM;MASC;SG
departure	odchodu	departure	odchod	N;SG	N;INAN;GEN;MASC;SG
departure	odchod	departure	odchod	N;SG	N;INAN;NOM;MASC;SG
mistake	chyba	mistake	chyba	N;SG	N;NOM;FEM;SG
mistake	omyl	mistake	omyl	N;SG	N;INAN;NOM;MASC;SG
mistake	chybu	mistake	chyba	N;SG	N;ACC;FEM;SG
embassy	veľvyslanectvo	embassy	veľvyslanectvo	N;SG	N;NOM;NEUT;SG
sleep	spánok	sleep	spánok	N;SG	N;INAN;NOM;MASC;SG
sleep	spánku	sleep	spánok	N;SG	N;INAN;GEN;MASC;SG
sum	súčet	sum	súčet	N;SG	N;INAN;NOM;MASC;SG
sum	suma	sum	suma	N;SG	N;NOM;FEM;SG
mythology	mytológia	mythology	mytológia	N;SG	N;NOM;FEM;SG
confusion	zmätenosť	confusion	zmätenosť	N;SG	N;NOM;FEM;SG
confusion	zmätok	confusion	zmätok	N;SG	N;INAN;NOM;MASC;SG
programmes	programoch	programme	program	N;PL	N;INAN;INS;MASC;PL
programmes	programy	programme	program	N;PL	N;INAN;NOM;MASC;PL
programmes	programov	programme	program	N;PL	N;INAN;GEN;MASC;PL
therapy	terapiu	therapy	terapia	N;SG	N;ACC;FEM;SG
therapy	liečba	therapy	liečba	N;SG	N;NOM;FEM;SG
therapy	terapia	therapy	terapia	N;SG	N;NOM;FEM;SG
occasion	príležitosť	occasion	príležitosť	N;SG	N;NOM;FEM;SG
possession	držanie	possession	držanie	N;SG	N;NOM;NEUT;SG
possession	držba	possession	držba	N;SG	N;NOM;FEM;SG
defend	obhajovať	defend	obhajovať	V;IMP;FIN	V;IPFV;POS;NFIN
defend	brániť	defend	brániť	V;IMP;FIN	V;IPFV;POS;NFIN
defend	ubrániť	defend	ubrániť	V;IMP;FIN	V;PFV;POS;NFIN
defend	obhájiť	defend	obhájiť	V;IMP;FIN	V;PFV;POS;NFIN
devoted	venoval	devote	venovať	V;PST;V.PTCP	V;ANIM;MASC;SG;POS;PST;V.PTCP
graphic	grafické	graphic	grafický	ADJ	ADJ;NOM;NEUT;SG
graphic	grafický	graphic	grafický	ADJ	ADJ;ANIM;NOM;MASC;SG
informed	informovala	inform	informovať	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
anonymous	anonymný	anonymous	anonymný	ADJ	ADJ;ANIM;NOM;MASC;SG
anonymous	anonymných	anonymous	anonymný	ADJ	ADJ;ANIM;GEN;MASC;PL
anonymous	anonymné	anonymous	anonymný	ADJ	ADJ;NOM;NEUT;SG
soap	mydlo	soap	mydlo	N;SG	N;NOM;NEUT;SG
soap	mydla	soap	mydnúť	N;SG	N;NOM;NEUT;SG
territorial	územná	territorial	územný	ADJ	ADJ;NOM;FEM;SG
territorial	územné	territorial	územný	ADJ	ADJ;NOM;NEUT;SG
territorial	územnej	territorial	územný	ADJ	ADJ;GEN;FEM;SG
territorial	územný	territorial	územný	ADJ	ADJ;INAN;NOM;MASC;SG
playoffs	playoff	playoff	playoff	N;PL	N;NOM;FEM;PL
boss	šéf	boss	šéf	N;SG	N;ANIM;NOM;MASC;SG
boss	šéfka	boss	šéfky	N;SG	N;NOM;FEM;SG
byzantine	byzantský	byzantine	byzantský	ADJ	ADJ;ANIM;NOM;MASC;SG
poster	plagát	poster	plagát	N;SG	N;INAN;NOM;MASC;SG
geographic	geografický	geographic	geografický	ADJ	ADJ;INAN;NOM;MASC;SG
geographic	geografická	geographic	geografický	ADJ	ADJ;NOM;FEM;SG
geographic	zemepisné	geographic	zemepisný	ADJ	ADJ;NOM;NEUT;SG
geographic	geografické	geographic	geografický	ADJ	ADJ;NOM;NEUT;SG
hoax	podvod	hoax	podvod	N;SG	N;INAN;NOM;MASC;SG
advocate	advokát	advocate	advokát	N;SG	N;ANIM;NOM;MASC;SG
advocate	advokáta	advocate	advokát	N;SG	N;ANIM;ACC;MASC;SG
doors	dvere	door	dvere	N;PL	N;NOM;FEM;PL
doors	dverí	door	dvere	N;PL	N;GEN;FEM;PL
naming	pomenovanie	naming	pomenovanie	N;SG	N;NOM;NEUT;SG
situations	situácií	situation	situácia	N;PL	N;GEN;FEM;PL
situations	situácie	situation	situácia	N;PL	N;NOM;FEM;PL
instructions	pokyny	instruction	pokyn	N;PL	N;INAN;NOM;MASC;PL
instructions	inštrukcie	instruction	inštrukcia	N;PL	N;NOM;FEM;PL
tables	stoly	table	stôl	N;PL	N;INAN;NOM;MASC;PL
tables	tabuľky	table	tabuľka	N;PL	N;NOM;FEM;PL
leaf	list	leaf	list	N;SG	N;INAN;NOM;MASC;SG
shoot	zastreliť	shoot	zastreliť	V;IMP;FIN	V;PFV;POS;NFIN
shoot	strieľať	shoot	strieľať	V;IMP;FIN	V;IPFV;POS;NFIN
restaurants	reštaurácie	restaurant	reštaurácia	N;PL	N;NOM;FEM;PL
contributor	prispievateľom	contributor	prispievateľ	N;SG	N;ANIM;INS;MASC;SG
spoke	prehovoril	speak	prehovoriť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
spoke	hovoril	speak	hovoriť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
spoke	prehovorila	speak	prehovoriť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
spoke	rozprával	speak	rozprávať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
errors	chyby	error	chyba	N;PL	N;NOM;FEM;PL
errors	chýb	error	chýb	N;PL	N;GEN;FEM;PL
enjoyed	tešili	enjoy	tešiť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
enjoyed	tešil	enjoy	tešiť	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
enjoyed	užil	enjoy	užiť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
framework	rámec	framework	rámec	N;SG	N;INAN;NOM;MASC;SG
framework	rámca	framework	rámca	N;SG	N;INAN;GEN;MASC;SG
framework	rámcom	framework	rámec	N;SG	N;INAN;INS;MASC;SG
shakespeare	shakespeare	shakespeare	shakespeare	N;SG	N;ANIM;NOM;MASC;SG
immigration	prisťahovalectvo	immigration	prisťahovalectvo	N;SG	N;NOM;NEUT;SG
mirror	zrkadlo	mirror	zrkadlo	N;SG	N;NOM;NEUT;SG
assets	aktíva	asset	aktíva	N;PL	N;NOM;NEUT;PL
assets	aktív	asset	aktívum	N;PL	N;GEN;NEUT;PL
potentially	potenciálne	potentially	potenciálne	ADV	ADV
presentation	prezentácia	presentation	prezentácia	N;SG	N;NOM;FEM;SG
presentation	prezentáciu	presentation	prezentácia	N;SG	N;ACC;FEM;SG
sitting	sedieť	sit	sedieť	V;V.MSDR	V;IPFV;POS;NFIN
sitting	sedí	sit	sedieť	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN
tournaments	turnaje	tournament	turnaj	N;PL	N;INAN;NOM;MASC;PL
syndrome	syndrómu	syndrome	syndróm	N;SG	N;INAN;GEN;MASC;SG
syndrome	syndróm	syndrome	syndróm	N;SG	N;INAN;NOM;MASC;SG
checked	skontroloval	check	skontrolovať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
checked	skontrolovať	check	skontrolovať	V;PST;V.PTCP	V;PFV;POS;NFIN
forty	štyridsať	forty	štyridsať	NUM	NUM;NOM;NEUT;SG
journalism	žurnalistika	journalism	žurnalistika	N;SG	N;NOM;FEM;SG
upload	nahrať	upload	nahrať	V;IMP;FIN	V;PFV;POS;NFIN
upload	nahrávať	upload	nahrávať	V;IMP;FIN	V;IPFV;POS;NFIN
unsuccessful	neúspešné	unsuccessful	neúspešný	ADJ	ADJ;NOM;NEUT;SG
unsuccessful	neúspešný	unsuccessful	neúspešný	ADJ	ADJ;ANIM;NOM;MASC;SG
towers	veže	tower	veža	N;PL	N;NOM;FEM;PL
towers	veží	tower	veža	N;PL	N;GEN;FEM;PL
conductor	sprievodcu	conductor	sprievodca	N;SG	N;INAN;GEN;MASC;SG
conductor	dirigent	conductor	dirigent	N;SG	N;ANIM;NOM;MASC;SG
hospitals	nemocnice	hospital	nemocnica	N;PL	N;NOM;FEM;PL
hospitals	nemocníc	hospital	nemocníca	N;PL	N;GEN;FEM;PL
bone	kosť	bone	kosť	N;SG	N;NOM;FEM;SG
wellington	wellington	wellington	wellington	N;SG	N;INAN;NOM;MASC;SG
ideal	ideálna	ideal	ideálny	ADJ	ADJ;NOM;FEM;SG
ideal	ideálny	ideal	ideálny	ADJ	ADJ;ANIM;NOM;MASC;SG
sharing	zdieľanie	share	zdieľanie	N;SG	N;NOM;NEUT;SG
labels	štítky	label	štítok	N;PL	N;NOM;FEM;PL
labels	označenia	label	označenie	N;PL	N;NOM;NEUT;PL
labels	etikety	label	etiket	N;PL	N;NOM;FEM;PL
governors	guvernérov	governor	guvernér	N;PL	N;ANIM;GEN;MASC;PL
posting	uverejňovanie	posting	uverejňovanie	N;SG	N;NOM;NEUT;SG
posting	posielanie	posting	posielanie	N;SG	N;NOM;NEUT;SG
bases	základy	basis	základ	N;PL	N;INAN;NOM;MASC;PL
bases	základní	basis	základniť	N;PL	N;NOM;FEM;PL
bases	základne	basis	základňa	N;PL	N;NOM;FEM;PL
hello	ahoj	hello	ahoj	INTJ	INTJ
hello	ahojte	hello	ahojt	INTJ	INTJ
hardware	hardware	hardware	hardwar	N;SG	N;NOM;FEM;SG
hardware	hardvéru	hardware	hardvéra	N;SG	N;INAN;GEN;MASC;SG
monster	príšera	monster	príšera	N;SG	N;NOM;FEM;SG
monster	monštrum	monster	monštrum	N;SG	N;NOM;NEUT;SG
monster	netvor	monster	netvor	N;SG	N;ANIM;NOM;MASC;SG
monster	obluda	monster	obluda	N;SG	N;NOM;FEM;SG
pitcher	džbán	pitcher	džbán	N;SG	N;INAN;NOM;MASC;SG
pitcher	nadhadzovač	pitcher	nadhadzovač	N;SG	N;ANIM;NOM;MASC;SG
emphasis	zdôraznenie	emphasis	zdôraznenie	N;SG	N;NOM;NEUT;SG
emphasis	dôraz	emphasis	dôraz	N;SG	N;INAN;NOM;MASC;SG
recovery	zotavenie	recovery	zotavenie	N;SG	N;NOM;NEUT;SG
recovery	vymáhanie	recovery	vymáhanie	N;SG	N;NOM;NEUT;SG
recovery	zhodnotenie	recovery	zhodnotenie	N;SG	N;NOM;NEUT;SG
recovery	vrátenie	recovery	vrátenie	N;SG	N;NOM;NEUT;SG
respond	odpovedať	respond	odpovedať	V;IMP;FIN	V;IPFV;POS;NFIN
respond	reagovať	respond	reagovať	V;IMP;FIN	V;IPFV;POS;NFIN
qualification	kvalifikácia	qualification	kvalifikácia	N;SG	N;NOM;FEM;SG
exposure	vystavenie	exposure	vystavenie	N;SG	N;NOM;NEUT;SG
exposure	ožiarenie	exposure	ožiarenie	N;SG	N;NOM;NEUT;SG
exposure	expozícia	exposure	expozícia	N;SG	N;NOM;FEM;SG
exposure	expozíciu	exposure	expozícia	N;SG	N;ACC;FEM;SG
thoughts	myšlienok	thought	myšlienka	N;PL	N;GEN;FEM;PL
thoughts	myšlienkami	thought	myšlienka	N;PL	N;INS;FEM;PL
thoughts	myšlienky	thought	myšlienka	N;PL	N;NOM;FEM;PL
immigrants	prisťahovalcom	immigrant	prisťahovalec	N;PL	N;ANIM;DAT;MASC;PL
immigrants	prisťahovalcov	immigrant	prisťahovalec	N;PL	N;ANIM;ACC;MASC;PL
immigrants	prisťahovalci	immigrant	prisťahovalec	N;PL	N;ANIM;NOM;MASC;PL
immigrants	imigrantov	immigrant	imigrant	N;PL	N;ANIM;GEN;MASC;PL
variant	variantu	variant	variant	N;SG	N;INAN;GEN;MASC;SG
variant	variant	variant	variant	N;SG	N;INAN;NOM;MASC;SG
lap	lona	lap	lona	N;SG	N;NOM;NEUT;SG
lap	kolo	lap	kolo	N;SG	N;NOM;NEUT;SG
lap	lone	lap	lono	N;SG	N;NOM;NEUT;SG
legitimate	oprávnený	legitimate	oprávnený	ADJ	ADJ;ANIM;NOM;MASC;SG
legitimate	legálny	legitimate	legálny	ADJ	ADJ;INAN;NOM;MASC;SG
legitimate	legitímny	legitimate	legitímny	ADJ	ADJ;INAN;NOM;MASC;SG
autonomous	autonómna	autonomous	autonómny	ADJ	ADJ;NOM;FEM;SG
autonomous	samostatná	autonomous	samostatný	ADJ	ADJ;NOM;FEM;SG
autonomous	autonómne	autonomous	autonómny	ADJ	ADJ;NOM;NEUT;SG
throw	hoď	throw	hodiť	V;IMP;FIN	V;PFV;IMP;SG;2;POS;FIN
throw	hodiť	throw	hodiť	V;IMP;FIN	V;PFV;POS;NFIN
throw	hádzať	throw	hádzať	V;IMP;FIN	V;IPFV;POS;NFIN
reserves	rezervy	reserve	rezerva	N;PL	N;NOM;FEM;PL
reserves	rezerv	reserve	rezerv	N;PL	N;GEN;FEM;PL
donated	prispela	donate	prispieť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
donated	darovala	donate	darovať	V;PST;V.PTCP	V;FEM;SG;POS;PST;V.PTCP
donated	prispel	donate	prispieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
donated	daroval	donate	darovať	V;PST;V.PTCP	V;ANIM;MASC;SG;POS;PST;V.PTCP
donated	prispeli	donate	prispieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
increases	zvýšenia	increase	zvýšenie	N;PL	N;NOM;NEUT;PL
kid	decko	kid	decko	N;SG	N;NOM;NEUT;SG
kid	dieťa	kid	dieťa	N;SG	N;NOM;NEUT;SG
guidance	usmernenie	guidance	usmernenie	N;SG	N;NOM;NEUT;SG
guidance	návod	guidance	návod	N;SG	N;INAN;NOM;MASC;SG
delivery	doručenie	delivery	doručenie	N;SG	N;NOM;NEUT;SG
delivery	rozvoz	delivery	rozvoz	N;SG	N;INAN;NOM;MASC;SG
delivery	dodanie	delivery	dodanie	N;SG	N;NOM;NEUT;SG
delivery	doručovanie	delivery	doručovanie	N;SG	N;NOM;NEUT;SG
fifty	päťdesiat	fifty	päťdesiat	NUM	NUM;NOM;NEUT;SG
slave	otrok	slave	otrok	N;SG	N;ANIM;NOM;MASC;SG
slave	otrokom	slave	otrok	N;SG	N;ANIM;INS;MASC;SG
slave	otroka	slave	otroka	N;SG	N;ANIM;ACC;MASC;SG
feedback	odozva	feedback	odozva	N;SG	N;NOM;FEM;SG
stones	kamene	stone	kameň	N;PL	N;INAN;NOM;MASC;PL
manage	riadiť	manage	riadiť	V;IMP;FIN	V;IPFV;POS;NFIN
manage	spravovať	manage	spravovať	V;IMP;FIN	V;IPFV;POS;NFIN
favour	láskavosť	favour	láskavosť	N;SG	N;NOM;FEM;SG
printing	tlač	printing	tlač	N;SG	N;NOM;FEM;SG
printing	potlač	printing	potlač	N;SG	N;NOM;FEM;SG
variable	premenná	variable	premenný	ADJ	ADJ;NOM;FEM;SG
variable	variabilné	variable	variabilný	ADJ	ADJ;NOM;NEUT;SG
variable	premenné	variable	premenný	ADJ	ADJ;NOM;NEUT;SG
theology	teológia	theology	teológia	N;SG	N;NOM;FEM;SG
parameters	parametre	parameter	parametre	N;PL	N;INAN;NOM;MASC;PL
parameters	parametrov	parameter	parameter	N;PL	N;INAN;GEN;MASC;PL
traveled	cestoval	travel	cestovať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
traveled	cestovali	travel	cestovať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
celtic	keltské	celtic	keltský	ADJ	ADJ;NOM;NEUT;SG
characteristic	charakteristická	characteristic	charakteristický	ADJ	ADJ;NOM;FEM;SG
commanded	velil	command	veliť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
searching	vyhľadávanie	searching	vyhľadávanie	N;SG	N;NOM;NEUT;SG
inappropriate	neprimeraná	inappropriate	neprimeraný	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
inappropriate	nevhodné	inappropriate	nevhodný	ADJ	ADJ;NOM;NEUT;SG
inappropriate	neprimerané	inappropriate	neprimeraný	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
inappropriate	nevhodný	inappropriate	nevhodný	ADJ	ADJ;INAN;NOM;MASC;SG
switch	prepínač	switch	prepínač	N;SG	N;INAN;NOM;MASC;SG
switch	spínač	switch	spínač	N;SG	N;INAN;NOM;MASC;SG
ties	väzby	tie	väzba	N;PL	N;NOM;FEM;PL
tube	trubica	tube	trubica	N;SG	N;NOM;FEM;SG
tube	rúra	tube	rúra	N;SG	N;NOM;FEM;SG
debt	dlhu	debt	dlh	N;SG	N;INAN;GEN;MASC;SG
debt	dlh	debt	dlh	N;SG	N;INAN;NOM;MASC;SG
debt	pohľadávka	debt	pohľadávka	N;SG	N;NOM;FEM;SG
outdoor	vonkajšie	outdoor	vonkajší	ADJ	ADJ;NOM;NEUT;SG
outdoor	vonkajší	outdoor	vonkajší	ADJ	ADJ;INAN;NOM;MASC;SG
outdoor	vonkajšia	outdoor	vonkajší	ADJ	ADJ;NOM;FEM;SG
navigation	navigácia	navigation	navigácia	N;SG	N;NOM;FEM;SG
navigation	navigáciu	navigation	navigácia	N;SG	N;ACC;FEM;SG
eligible	oprávnený	eligible	oprávnený	ADJ	ADJ;ANIM;NOM;MASC;SG
eligible	prípustné	eligible	prípustný	ADJ	ADJ;NOM;NEUT;SG
eligible	akceptovateľné	eligible	akceptovateľný	ADJ	ADJ;NOM;NEUT;SG
eligible	oprávnené	eligible	oprávnený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
eligible	oprávnená	eligible	oprávnený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
experts	odborníci	expert	odborník	N;PL	N;ANIM;NOM;MASC;PL
experts	odborníkov	expert	odborník	N;PL	N;ANIM;ACC;MASC;PL
experts	expertov	expert	expert	N;PL	N;INAN;GEN;MASC;PL
experts	experti	expert	expert	N;PL	N;ANIM;NOM;MASC;PL
expensive	drahý	expensive	drahý	ADJ	ADJ;ANIM;NOM;MASC;SG
expensive	drahé	expensive	drahý	ADJ	ADJ;NOM;NEUT;SG
tier	tier	tier	tier	N;SG	N;INAN;NOM;MASC;SG
essays	eseje	essays	esej	N;PL	N;NOM;FEM;PL
conventional	konvenčné	conventional	konvenčný	ADJ	ADJ;NOM;NEUT;SG
conventional	tradičná	conventional	tradičný	ADJ	ADJ;NOM;FEM;SG
conventional	konvenčných	conventional	konvenčný	ADJ	ADJ;GEN;MASC;PL
campaigns	kampaní	campaign	kampaň	N;PL	N;GEN;FEM;PL
campaigns	kampane	campaign	kampaň	N;PL	N;NOM;FEM;PL
formations	formácie	formation	formácia	N;PL	N;NOM;FEM;PL
feelings	pocity	feeling	pocit	N;PL	N;INAN;NOM;MASC;PL
feelings	city	feeling	cit	N;PL	N;INAN;NOM;MASC;PL
feelings	citov	feeling	cit	N;PL	N;INAN;GEN;MASC;PL
bath	kúpeľ	bath	kúpeľ	N;SG	N;INAN;NOM;MASC;SG
bath	vaňa	bath	vaňa	N;SG	N;NOM;FEM;SG
cats	mačky	cat	mačka	N;PL	N;NOM;FEM;PL
variations	varianty	variation	variant	N;PL	N;INAN;NOM;MASC;PL
variations	variácie	variation	variácia	N;PL	N;NOM;FEM;PL
variations	odchýlky	variation	odchýlka	N;PL	N;NOM;FEM;PL
socks	ponožky	sock	ponožky	N;PL	N;NOM;FEM;PL
socks	ponožiek	sock	ponožka	N;PL	N;GEN;FEM;PL
connecting	pripájam	connect	pripájať	V;V.MSDR	V;IPFV;IND;SG;1;POS;PRS;FIN
connecting	pripája	connect	pripájať	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN
touchdown	touchdown	touchdown	touchdown	N;SG	N;NOM;NEUT;SG
profession	povolanie	profession	povolanie	N;SG	N;NOM;NEUT;SG
profession	profesia	profession	profesi	N;SG	N;NOM;NEUT;SG
layout	rozloženie	layout	rozloženie	N;SG	N;NOM;NEUT;SG
layout	usporiadanie	layout	usporiadanie	N;SG	N;NOM;NEUT;SG
academics	akademici	academics	akademica	N;PL	N;ANIM;NOM;MASC;PL
settlers	osadníkov	settler	osadník	N;PL	N;ANIM;ACC;MASC;PL
merging	zlúčenie	merge	zlúčenie	N;SG	N;NOM;NEUT;SG
competitors	konkurenti	competitor	konkurent	N;PL	N;ANIM;NOM;MASC;PL
competitors	konkurentov	competitor	konkurent	N;PL	N;ANIM;GEN;MASC;PL
grass	tráva	grass	tráva	N;SG	N;NOM;FEM;SG
grass	tráve	grass	tráva	N;SG	N;DAT;FEM;SG
grass	trávu	grass	tráva	N;SG	N;ACC;FEM;SG
reservoir	zásobník	reservoir	zásobník	N;SG	N;INAN;NOM;MASC;SG
reservoir	zásobníku	reservoir	zásobník	N;SG	N;INAN;DAT;MASC;SG
reservoir	priehrada	reservoir	priehrada	N;SG	N;NOM;FEM;SG
artificial	umelých	artificial	umelý	ADJ	ADJ;GEN;MASC;PL
artificial	umelé	artificial	umelý	ADJ	ADJ;NOM;NEUT;SG
artificial	umelá	artificial	umelať	ADJ	ADJ;NOM;FEM;SG
artificial	umelý	artificial	umelý	ADJ	ADJ;INAN;NOM;MASC;SG
tip	tip	tip	tip	N;SG	N;INAN;NOM;MASC;SG
faces	tváre	face	tvár	N;PL	N;NOM;FEM;PL
faces	tvárí	face	tvár	N;PL	N;GEN;FEM;PL
guitars	gitary	guitar	gitara	N;PL	N;NOM;FEM;PL
internationally	medzinárodne	internationally	medzinárodne	ADV	ADV
dreams	snoch	dream	sno	N;PL	N;INAN;GEN;MASC;PL
dreams	snami	dream	sen	N;PL	N;INAN;INS;MASC;PL
dreams	snov	dream	sen	N;PL	N;INAN;GEN;MASC;PL
dreams	sny	dream	sen	N;PL	N;INAN;NOM;MASC;PL
suburb	predmestie	suburb	predmestie	N;SG	N;NOM;NEUT;SG
understood	pochopil	understand	pochopiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
understood	rozumel	understand	rozumieť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
understood	pochopili	understand	pochopiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
understood	rozumela	understand	rozumieť	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
understood	pochopila	understand	pochopiť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
warned	varovali	warn	varovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
warned	varovala	warn	varovať	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
warned	varoval	warn	varovať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
chorus	refrén	chorus	refrén	N;SG	N;INAN;NOM;MASC;SG
dependent	závislé	dependent	závislý	ADJ	ADJ;NOM;NEUT;SG
dependent	závislých	dependent	závislý	ADJ	ADJ;ANIM;GEN;MASC;PL
restrictions	obmedzení	restriction	obmedzenie	N;PL	N;NOM;NEUT;PL
restrictions	obmedzenia	restriction	obmedzenie	N;PL	N;NOM;NEUT;PL
killer	vraha	killer	vraha	N;SG	N;ANIM;ACC;MASC;SG
killer	zabijak	killer	zabijak	N;SG	N;ANIM;NOM;MASC;SG
killer	vrahyňa	killer	vrahyňa	N;SG	N;NOM;FEM;SG
killer	vrah	killer	vrah	N;SG	N;ANIM;NOM;MASC;SG
influences	vplyvy	influence	vplyv	N;PL	N;INAN;NOM;MASC;PL
blocking	zablokovanie	block	zablokovanie	N;SG	N;NOM;NEUT;SG
blocking	blokovanie	block	blokovanie	N;SG	N;NOM;NEUT;SG
wikipedians	wikipedians	wikipedian	wikipedians	N;PL	N;NOM;NEUT;PL
gear	výstroj	gear	výstroj	N;SG	N;NOM;FEM;SG
gear	výstroja	gear	výstroj	N;SG	N;INAN;GEN;MASC;SG
skating	korčuľovanie	skate	korčuľovanie	N;SG	N;NOM;NEUT;SG
fifteen	pätnásť	fifteen	pätnásť	NUM	NUM;NOM;NEUT;SG
tale	príbeh	tale	príbeh	N;SG	N;INAN;NOM;MASC;SG
tale	rozprávka	tale	rozprávka	N;SG	N;NOM;FEM;SG
demonstrate	demonštrovať	demonstrate	demonštrovať	V;IMP;FIN	V;IPFV;POS;NFIN
demonstrate	dokázať	demonstrate	dokázať	V;IMP;FIN	V;PFV;POS;NFIN
demonstrate	preukázať	demonstrate	preukázať	V;IMP;FIN	V;PFV;POS;NFIN
vary	meniť	vary	meniť	V;IMP;FIN	V;IPFV;POS;NFIN
vary	líšiť	vary	líšiť	V;IMP;FIN	V;IPFV;POS;NFIN
liquid	kvapalina	liquid	kvapalina	N;SG	N;NOM;FEM;SG
liquid	tekutina	liquid	tekutina	N;SG	N;NOM;FEM;SG
cycling	cyklistika	cycling	cyklistika	N;SG	N;NOM;FEM;SG
voices	hlasy	voice	hlas	N;PL	N;INAN;NOM;MASC;PL
voices	hlasov	voice	hlas	N;PL	N;INAN;GEN;MASC;PL
horn	roh	horn	roh	N;SG	N;INAN;NOM;MASC;SG
horn	trúba	horn	trúba	N;SG	N;NOM;FEM;SG
burning	pálenie	burn	pálenie	N;SG	N;NOM;NEUT;SG
burning	spaľovanie	burn	spaľovanie	N;SG	N;NOM;NEUT;SG
worker	pracovníka	worker	pracovník	N;SG	N;ANIM;ACC;MASC;SG
worker	pracovníčka	worker	pracovníčko	N;SG	N;NOM;FEM;SG
worker	pracovník	worker	pracovník	N;SG	N;ANIM;NOM;MASC;SG
worker	robotník	worker	robotník	N;SG	N;ANIM;NOM;MASC;SG
atmosphere	atmosféru	atmosphere	atmosféra	N;SG	N;ACC;FEM;SG
atmosphere	atmosféra	atmosphere	atmosféra	N;SG	N;NOM;FEM;SG
