터치스크린	pekskärm	터치스크린	pekskärm		N;NOM;INDF;MASC+FEM;SG
무작위	slumpmässigt	무작위	slumpmässig	N	ADV
무작위	slumpmässig	무작위	slumpmässig	N	ADJ;NOM;INDF;MASC+FEM;SG
발렌타인	hjärtans	발렌타인	hjärta		N;GEN;DEF;MASC+FEM;SG
발렌타인	valentin	발렌타인	valentin		N;NOM;INDF;MASC+FEM;SG
발렌타인	valentine	발렌타인	valentine		N;NOM;INDF;NEUT;SG
처칠	churchill	처칠	churchill		PROPN;NOM
랜스	lance	랜스	lance		PROPN;NOM
랜스	lans	랜스	lans		N;NOM;INDF;MASC+FEM;SG
엑셀	excel	걸+셀	excel		PROPN;NOM
스킨	hud	스킨	hud		N;NOM;INDF;MASC+FEM;SG
스킨	skinn	스킨	skinn		N;NOM;INDF;NEUT;SG
스킨	skin	스킨	skin		N;NOM;INDF;MASC+FEM;SG
지배자	dominanta	지배자	dominant	N	ADJ;NOM;PL
지배자	dominant	지배자	dominant	N	ADJ;NOM;INDF;MASC+FEM;SG
지배자	dominerande	지배자	dominerande	N	ADJ;NOM;PRS;V.PTCP
헬레나	helena	헬레+나	hel	PROPN	N;NOM;DEF;MASC+FEM;SG
이사벨라	isabella	이사벨+이+라	isabell	PROPN	PROPN;NOM
파이트	slagsmål	파이트	slagsmål		N;NOM;INDF;NEUT;SG
토네이도	tornado	토네이도	tornado		N;NOM;INDF;MASC+FEM;SG
토네이도	tornadon	토네이도	tornadon		N;NOM;DEF;MASC+FEM;SG
열쇠	keys	열쇠	key		PROPN;NOM
열쇠	nycklarna	열쇠	nyckel		N;NOM;DEF;MASC+FEM;PL
열쇠	nycklar	열쇠	nyckla		N;NOM;INDF;MASC+FEM;PL
열쇠	tangenter	열쇠	tangent		N;NOM;INDF;MASC+FEM;PL
시리얼	serie	시리얼	serie		N;NOM;INDF;MASC+FEM;SG
시리얼	spannmål	시리얼	spannmål		N;NOM;INDF;NEUT;SG
시리얼	spannmål	시리얼	spannmål		N;NOM;INDF;NEUT;SG
시리얼	flingor	시리얼	flinga		N;NOM;INDF;MASC+FEM;PL
예언	förutsägelser	예언	förutsägelse		N;NOM;INDF;MASC+FEM;PL
예언	profetior	예언	profetior		N;NOM;INDF;MASC+FEM;PL
예언	profeter	예언	profeter		N;NOM;INDF;MASC+FEM;PL
예언	profeterna	예언	profet		N;NOM;DEF;MASC+FEM;PL
예언	profetian	예언	profetian		N;NOM;DEF;MASC+FEM;SG
예언	profetia	예언	profetia		N;NOM;INDF;MASC+FEM;SG
예언	profetior	예언	profetior		N;NOM;INDF;MASC+FEM;PL
프레스	tryck	프레스	tryck		N;NOM;INDF;NEUT;SG
프레스	press	프레스	press		N;NOM;INDF;MASC+FEM;SG
프레스	pressen	프레스	press		N;NOM;DEF;MASC+FEM;SG
마스터스	mäster	마스터스	mästa	N	PROPN;NOM
레이첼	rachel	레이첼	rachel		PROPN;NOM
레이첼	rachael	레이첼	rachael		N;NOM;INDF;MASC+FEM;SG
아론	aaron	아론	aaron		PROPN;NOM
아론	aron	아론	aro		PROPN;NOM
아론	aron	아론	aro		PROPN;NOM
신념	faith	신념	faith	N	PROPN;NOM
신념	tro	신념	tro	N	V;IMP;FIN;ACT
신념	tro	신념	tro	N	V;IMP;FIN;ACT
얼티밋	ultimata	얼티밋	ultimat		V;FIN;ACT
플라즈마	plasma	플라즈마	plasma		N;NOM;INDF;MASC+FEM;SG
조앤	joan	조앤	joan	N	PROPN;NOM
일본항공	jal	일본+항공	jal	PROPN	PROPN;NOM
오리온자리	orion	오리온자리	orion		PROPN;NOM
썬더	åska	썬더	åska		N;NOM;INDF;NEUT;SG
썬더	dunder	썬더	dund		N;NOM;INDF;NEUT;SG
썬더	thunder	썬더	thund		N;NOM;INDF;MASC+FEM;SG
마샬	marshall	마샬	marshall		PROPN;NOM
라이징	stiger	라이징	stiga		V;IND;PRS;FIN;ACT
라이징	stigande	라이징	stiga		ADJ;NOM;PRS;V.PTCP
라이징	ökande	라이징	öka		ADJ;NOM;PRS;V.PTCP
셰이크	sheikh	셰이크	sheikh	PROPN	PROPN;NOM
셰이크	shejk	셰이크	shejk	PROPN	N;NOM;INDF;MASC+FEM;SG
셰이크	shejk	셰이크	shejk	PROPN	N;NOM;INDF;MASC+FEM;SG
창문	fönstret	창문	fönstr		N;NOM;DEF;NEUT;SG
창문	fönster	창문	fönster		N;NOM;INDF;NEUT;SG
댄싱	dansande	댄싱	dansande		ADJ;NOM;PRS;V.PTCP
댄싱	dansa	댄싱	dansa		V;IMP;FIN;ACT
댄싱	dancing	댄싱	dancing		N;NOM;INDF;MASC+FEM;SG
댄싱	dans	댄싱	dans		N;NOM;INDF;MASC+FEM;SG
댄싱	dansar	댄싱	dansa		V;IND;PRS;FIN;ACT
슈가	socker	슈+가	socker		N;NOM;INDF;NEUT;SG
불쾌한	otrevligt	불쾌+하+ㄴ	otrevlig	V	ADJ;NOM;INDF;NEUT;SG
불쾌한	obehagligt	불쾌+하+ㄴ	obehaglig	V	ADJ;NOM;INDF;NEUT;SG
불쾌한	otrevlig	불쾌+하+ㄴ	otrevlig	V	ADJ;NOM;INDF;MASC+FEM;SG
불쾌한	obehaglig	불쾌+하+ㄴ	obehaglig	V	ADJ;NOM;INDF;MASC+FEM;SG
불쾌한	obehagliga	불쾌+하+ㄴ	obehaglig	V	ADJ;NOM;PL
버뮤다	bermuda	버티+다	bermuda		PROPN;NOM
피사	pisa	피사	pisa	PROPN	PROPN;NOM
체스터	chester	체스터	chest	PROPN	PROPN;NOM
리오넬	lionel	리오넬	lionel	PROPN	PROPN;NOM
판도라	pandoras	판도+라	pandora		V;NFIN;PASS
판도라	pandora	판도+라	pandora		N;NOM;INDF;MASC+FEM;SG
인터럽트	avbryta	인터럽트	avbryta	N	V;IMP;FIN;ACT
인터럽트	avbryter	인터럽트	avbryta	N	V;IND;PRS;FIN;ACT
매스	massa	매스	massa		N;NOM;INDF;MASC+FEM;SG
매스	mässan	매스	mässa		N;NOM;DEF;MASC+FEM;SG
매스	mässa	매스	mässa		N;NOM;INDF;MASC+FEM;SG
매스	mass	매스	mass		N;NOM;INDF;NEUT;SG
인디애나폴리스	indianapolis	인디애나폴리스	indianapolis	N	PROPN;NOM
주님	lord	주님	lord		N;NOM;INDF;MASC+FEM;SG
주님	herre	주님	gärra		N;NOM;INDF;MASC+FEM;SG
마돈나	madonna	마돈+나	madon		PROPN;NOM
반영	återspeglar	반영	återspegel	N	V;IND;PRS;FIN;ACT
반영	återspegla	반영	återspegla	N	V;IMP;NFIN;ACT
반영	reflektera	반영	reflektera	N	V;IMP;FIN;ACT
반영	spegla	반영	spegel	N	V;IMP;FIN;ACT
미화	usd	미화	usd		N
인플루엔자	influensa	인플루+자자	influensa		N;NOM;INDF;MASC+FEM;SG
인플루엔자	influensa	인플루+자자	influensa		N;NOM;INDF;MASC+FEM;SG
인플루엔자	influensan	인플루+자자	influensan		N;NOM;DEF;MASC+FEM;SG
자바스크립트	javascript	자바스크립트	javascript		N;NOM;INDF;MASC+FEM;SG
마르티네스	martinez	마르티네스	martinez	PROPN	PROPN;NOM
콜롬보	colombo	콜롬보	colombo		PROPN;NOM
알랭	alain	알+이+ㄹ	alain		PROPN;NOM
코스모스	kosmos	코스모스	kosmos		N;NOM;INDF;NEUT;SG
더럼	durham	더럼	durham		PROPN;NOM
세타	theta	세타	theta		N;NOM;INDF;MASC+FEM;SG
세타	seta	세타	seta		N;NOM;INDF;MASC+FEM;SG
궁궐	palatset	궁궐	palats		N;NOM;DEF;NEUT;SG
궁궐	palats	궁궐	palats		N;NOM;INDF;NEUT;SG
궁궐	palace	궁궐	palace		N;NOM;INDF;MASC+FEM;SG
궁궐	slott	궁궐	slott		N;NOM;INDF;NEUT;SG
미묘한	diskret	미묘+하+ㄴ	diskret	V	ADJ;NOM;INDF;NEUT;SG
퓨전	fusion	퓨전	fusion		N;NOM;INDF;NEUT;SG
캄차카	kamtjatka	캄차카	kamtjatka	PROPN	PROPN;NOM
랭커스터	lancaster	랭커스터	lancast	PROPN	N;NOM;INDF;MASC+FEM;PL
일하기	jobbar	일하+기	jobba		V;IND;PRS;FIN;ACT
일하기	arbeta	일하+기	arbeta		V;IMP;FIN;ACT
일하기	fungerar	일하+기	fungera		V;IND;PRS;FIN;ACT
일하기	fungerande	일하+기	fungerande		ADJ;NOM;PRS;V.PTCP
일하기	arbetar	일하+기	arbeta		V;IND;PRS;FIN;ACT
프레이저	fraser	프레이저	fras		N;NOM;INDF;MASC+FEM;PL
마커스	marcus	마커스	marcus	PROPN	PROPN;NOM
슈테판	stefan	슈테판	stefan	PROPN	PROPN;NOM
슈테판	stephan	슈테판	stephan	PROPN	PROPN;NOM
사보이	savoy	사보+이	savoy		N;NOM;INDF;MASC+FEM;SG
애비뉴	avenyn	애비뉴	avenyn		N;NOM;DEF;MASC+FEM;SG
애비뉴	avenue	애비뉴	avenue		N;NOM;INDF;MASC+FEM;SG
다운타운	downtown	다운데우+ㄴ	downtown		N;NOM;INDF;MASC+FEM;SG
다운타운	centrum	다운데우+ㄴ	centrum		N;NOM;INDF;NEUT;SG
알칼리	alkaliska	알칼리	alkalisk	N	ADJ;NOM;PL
알칼리	alkalisk	알칼리	alkalisk	N	ADJ;NOM;INDF;MASC+FEM;SG
바라며	hoppas	바라+며	hoppas		V;NFIN
바라며	hoppades	바라+며	hoppades		V;IND;PST;FIN;PASS
기쁨	glädje	기쁘+ㅁ	glädje		N;NOM;INDF;MASC+FEM;SG
기쁨	joy	기쁘+ㅁ	joy		N;NOM;INDF;MASC+FEM;SG
기쁨	njutning	기쁘+ㅁ	njutning		N;NOM;INDF;MASC+FEM;SG
기쁨	nöje	기쁘+ㅁ	nöje		N;NOM;INDF;NEUT;SG
핼리팩스	halifax	핼리팩스	halifax	PROPN	PROPN;NOM
첸나이	chennai	첸나이	chennai	PROPN	N;NOM;INDF;MASC+FEM;SG
바스	bad	바스	be		V;IMP;FIN;ACT
바스	bath	바스	bath		PROPN;NOM
바스	badkar	바스	badka		N;NOM;INDF;MASC+FEM;PL
인피니트	oändlig	인피니트	oändlig		ADJ;NOM;INDF;MASC+FEM;SG
인피니트	oändligt	인피니트	oändlig		ADV
인피니트	oändliga	인피니트	oändlig		ADJ;NOM;PL
아무나	någon	아무나	någon		PRO;INDF;MASC+FEM;SG
스텔라	stella	스텔+이+라	stella		PROPN;NOM
릴리즈	frigörande	릴리즈	frigörande		N;NOM;INDF;NEUT;SG
릴리즈	frisläppande	릴리즈	frisläppande		ADJ;NOM;PRS;V.PTCP
릴리즈	utgåva	릴리즈	utgåva		N;NOM;INDF;MASC+FEM;SG
릴리즈	släpp	릴리즈	släpp		V;IMP;FIN;ACT
릴리즈	release	릴리즈	release		N;NOM;INDF;MASC+FEM;SG
릴리즈	släppa	릴리즈	släppa		V;IMP;FIN;ACT
릴리즈	utsläpp	릴리즈	utsläpp		N;NOM;INDF;NEUT;PL
릴리즈	utgåvor	릴리즈	utgåva		N;NOM;INDF;MASC+FEM;PL
제라드	gerrard	제라드	gerrard		PROPN;NOM
제라드	gérard	제라드	gérard		PROPN;NOM
제라드	gerard	제라드	gerard		PROPN;NOM
모금	insamlingen	모금	insamling		N;NOM;DEF;MASC+FEM;SG
모금	insamlingar	모금	insamling		N;NOM;INDF;MASC+FEM;PL
모금	insamling	모금	insamling		N;NOM;INDF;MASC+FEM;SG
모금	insamlingar	모금	insamling		N;NOM;INDF;MASC+FEM;PL
아바스	abbas	아바스	abba	PROPN	PROPN;NOM
클레오파트라	kleopatra	클레오파트+라	kleopatra		N;NOM;INDF;MASC+FEM;SG
잉카	inca	잉카	inca		N;NOM;INDF;MASC+FEM;SG
카라카스	caracas	카라카스	caraca	PROPN	PROPN;NOM
도도	grader	도도	grad		N;NOM;INDF;MASC+FEM;SG
도도	examina	도도	examin		N;NOM;INDF;MASC+FEM;PL
서식	formatera	서식	formatera	N	V;IMP;FIN;ACT
산토스	santos	산토스	santos	PROPN	PROPN;NOM
크라쿠프	krak	크라쿠프	krak	PROPN	N;NOM;INDF;MASC+FEM;SG
산책	promenera	산책	promenera	N	V;IMP;FIN;ACT
플라잉	flyger	플라잉	flyga		V;IND;PRS;FIN;ACT
플라잉	flygning	플라잉	flygning		N;NOM;INDF;MASC+FEM;SG
플라잉	flyga	플라잉	flyga		V;IMP;FIN;ACT
플라잉	flygande	플라잉	flyga		ADJ;NOM;PRS;V.PTCP
추첨	dra	추첨	dra	N	V;IMP;FIN;ACT
추첨	rita	추첨	rita	N	V;IMP;FIN;ACT
제롬	jerome	제롬	jerome	PROPN	PROPN;NOM
패트리어트	patriot	패트리어트	patriot		N;NOM;INDF;MASC+FEM;SG
패트리어트	patrioter	패트리어트	patriot		N;NOM;INDF;MASC+FEM;PL
미학	estetiska	미학	estetisk	N	ADJ;NOM;PL
그리기	draw	그리+기	draw	V	N;NOM;INDF;MASC+FEM;SG
그리기	dragning	그리+기	dragning	V	N;NOM;INDF;MASC+FEM;SG
그리기	dragning	그리+기	dragning	V	N;NOM;INDF;MASC+FEM;SG
그리기	teckning	그리+기	teckning	V	N;NOM;INDF;MASC+FEM;SG
그리기	ritning	그리+기	ritning	V	N;NOM;INDF;MASC+FEM;SG
헤라클레스	hercules	헤라클레스	hercule	PROPN	N;NOM;INDF;MASC+FEM;SG
헤라클레스	herkules	헤라클레스	herkule	PROPN	N;NOM;DEF;MASC+FEM;SG
쥐라기	jurassic	쥐+이+라기	jurassic		N;NOM;INDF;MASC+FEM;SG
콘스탄티노스	konstantin	콘스탄티노스	konstanti	PROPN	PROPN;NOM
콘스탄티노스	constantine	콘스탄티노스	constantine	PROPN	PROPN;NOM
서포터	anhängare	서포터	anhängare		N;NOM;INDF;MASC+FEM;PL
하코네	hakone	하코네	hakone	PROPN	PROPN;NOM
마술	magiskt	마술	magisk	N	ADJ;NOM;INDF;NEUT;SG
마술	magisk	마술	magisk	N	ADJ;NOM;INDF;MASC+FEM;SG
마술	magiska	마술	magisk	N	ADJ;NOM;PL
폭력적인	våldsamt	폭력+적+이+ㄴ	våldsam	V	ADJ;NOM;INDF;NEUT;SG
폭력적인	våldsam	폭력+적+이+ㄴ	våldsam	V	ADJ;NOM;INDF;MASC+FEM;SG
폭력적인	våldsamma	폭력+적+이+ㄴ	våldsam	V	ADJ;NOM;PL
그리니치	greenwich	그리니치	greenwich	PROPN	PROPN;NOM
매운	kryddig	맵+ㄴ	kryddig		N;NOM;INDF;MASC+FEM;SG
허락	tillåtelse	허락	tillåtelse		N;NOM;INDF;MASC+FEM;SG
허락	behörighet	허락	behörighet		N;NOM;INDF;MASC+FEM;SG
허락	tillstånd	허락	tillstånd		N;NOM;INDF;NEUT;SG
네덜란드인	nederländerna	네덜란드인	nederland	V	N;NOM;DEF;MASC+FEM;PL
네덜란드인	holländare	네덜란드인	holländare	V	N;NOM;INDF;MASC+FEM;PL
네덜란드인	holländaren	네덜란드인	holländare	V	N;NOM;DEF;MASC+FEM;SG
네덜란드인	holländsk	네덜란드인	holländsk	V	ADJ;NOM;INDF;MASC+FEM;SG
네덜란드인	holländare	네덜란드인	holländare	V	N;NOM;INDF;MASC+FEM;PL
네덜란드인	holländska	네덜란드인	holländsk	V	ADJ;NOM;PL
네덜란드인	nederländska	네덜란드인	nederländsk	V	N;NOM;INDF;MASC+FEM;SG
본드	bond	본드	bond		PROPN;NOM
섹터	sektor	섹터	sektor		N;NOM;INDF;MASC+FEM;SG
섹터	sektorn	섹터	sektor		N;NOM;DEF;MASC+FEM;SG
섹터	branscher	섹터	bransch		N;NOM;INDF;MASC+FEM;PL
섹터	sektorer	섹터	sektor		N;NOM;INDF;MASC+FEM;PL
우주인	astronaut	우주+이+ㄴ	astronaut	V	N;NOM;INDF;MASC+FEM;SG
장벽	hinder	장벽	hinder		N;NOM;INDF;NEUT;PL
장벽	spärrar	장벽	spärra		N;NOM;INDF;MASC+FEM;PL
장벽	barriärer	장벽	barriär		N;NOM;INDF;MASC+FEM;PL
장벽	barriär	장벽	barriär		N;NOM;INDF;MASC+FEM;SG
장벽	barriären	장벽	barriär		N;NOM;DEF;MASC+FEM;SG
강조	markera	강조	markera	N	V;IMP;FIN;ACT
강조	belysa	강조	belysa	N	V;IMP;FIN;ACT
강조	framhäva	강조	framhäva	N	V;IMP;FIN;ACT
강조	framhäva	강조	framhäva	N	V;IMP;FIN;ACT
리브	liv	리브	liv		N;NOM;INDF;NEUT;SG
리브	reeve	리브	reev		N;NOM;INDF;MASC+FEM;SG
트라이스타	tristar	트라이스타	trist	PROPN	N;NOM;INDF;MASC+FEM;PL
포춘	fortune	포춘	fortune		N;NOM;INDF;NEUT;SG
포춘	förmögenhet	포춘	förmögenhet		N;NOM;INDF;MASC+FEM;SG
수염	skäggiga	수염	skäggig	N	ADJ;NOM;PL
미쳐	galen	미치+어	gal	CONJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
미쳐	galet	미치+어	gal	CONJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
미쳐	tokig	미치+어	tokig	CONJ	ADJ;NOM;INDF;MASC+FEM;SG
트리오	trio	트리오	trio		N;NOM;INDF;MASC+FEM;SG
카네코	kaneko	카네코	kaneko		N;NOM;INDF;MASC+FEM;SG
리젠시	regency	리젠시	regency		N;NOM;INDF;NEUT;SG
돼지고기	griskött	되+어+지+기+야	griskött		N;NOM;INDF;NEUT;SG
돼지고기	fläsk	되+어+지+기+야	fläsk		N;NOM;INDF;NEUT;SG
돼지고기	fläskkött	되+어+지+기+야	fläskkött		N;NOM;INDF;NEUT;SG
욕망	lust	욕망	lust		N;NOM;INDF;MASC+FEM;SG
욕망	önskan	욕망	önskan		N;NOM;INDF;MASC+FEM;SG
욕망	åtrå	욕망	åtrå		N;NOM;INDF;MASC+FEM;SG
욕망	längtan	욕망	längtan		N;NOM;INDF;MASC+FEM;SG
욕망	lust	욕망	lust		N;NOM;INDF;MASC+FEM;SG
욕망	lusta	욕망	lusta		N;NOM;INDF;MASC+FEM;SG
욕망	lusten	욕망	lust		N;NOM;DEF;MASC+FEM;SG
매뉴얼	manuell	매뉴얼	manuell	N	ADJ;NOM;INDF;MASC+FEM;SG
매뉴얼	manuellt	매뉴얼	manuell	N	ADV
챌린저	challenger	챌린저	challeng	PROPN	N;NOM;INDF;MASC+FEM;PL
챌린저	utmanaren	챌린저	utmanare	PROPN	N;NOM;DEF;MASC+FEM;SG
챌린저	utmanare	챌린저	utmanare	PROPN	N;NOM;INDF;MASC+FEM;PL
킹덤	kingdom	킹덤	kingdom		PROPN;NOM
킹덤	kungarike	킹덤	kungarike		N;NOM;INDF;NEUT;SG
킹덤	rike	킹덤	rike		N;NOM;INDF;NEUT;SG
킹덤	kungariket	킹덤	kungarik		N;NOM;DEF;NEUT;SG
카노	kano	카노	kano		PROPN;NOM
우산	umbrella	우산	umbrella		N;NOM;INDF;MASC+FEM;SG
우산	paraply	우산	paraply		N;NOM;INDF;NEUT;SG
예매	bokar	예매	bok	N	V;IND;PRS;FIN;ACT
삼각	triangelformad	삼각	triangelformad		N;NOM;INDF;MASC+FEM;SG
보두앵	baldwin	보두앵	baldöi		PROPN;NOM
남방	sydlig	남방	sydlig		ADJ;NOM;INDF;MASC+FEM;SG
남방	södra	남방	södra		ADJ;NOM;DEF;SG
서커스	cirkusen	서커스	cirkus		N;NOM;DEF;MASC+FEM;SG
서커스	cirkus	서커스	cirkus		N;NOM;INDF;MASC+FEM;SG
서커스	circus	서커스	circus		N;NOM;INDF;MASC+FEM;SG
서커스	cirkusar	서커스	cirkus		N;NOM;INDF;MASC+FEM;PL
서커스	skådespel	서커스	skådespel		N;NOM;INDF;NEUT;SG
컴파일	sammanställa	컴파+이+ㄹ	sammanställa		V;IMP;FIN;ACT
컴파일	kompilera	컴파+이+ㄹ	kompilera		V;IMP;FIN;ACT
컴파일	sammanställde	컴파+이+ㄹ	sammanställa		V;IND;PST;FIN;ACT
컴파일	sammanställda	컴파+이+ㄹ	sammanställd		ADJ;NOM;PL;PST;V.PTCP
컴파일	sammanställt	컴파+이+ㄹ	sammanställa		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
컴파일	sammanställd	컴파+이+ㄹ	sammanställd		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
컴파일	sammanställningen	컴파+이+ㄹ	sammanställning		N;NOM;DEF;MASC+FEM;SG
컴파일	sammanställning	컴파+이+ㄹ	sammanställning		N;NOM;INDF;MASC+FEM;SG
컴파일	sammanställa	컴파+이+ㄹ	sammanställa		V;IMP;FIN;ACT
컴파일	kompilera	컴파+이+ㄹ	kompilera		V;IMP;FIN;ACT
컴파일	sammanställer	컴파+이+ㄹ	sammanställa		V;IND;PRS;FIN;ACT
이브라힘	ibrahim	이브라힘	ibrahim		PROPN;NOM
초과	överskrider	초+과	överskrida		V;IND;PRS;FIN;ACT
초과	överträffar	초+과	överträffa		V;IND;PRS;FIN;ACT
초과	överstiger	초+과	överstiga		V;IND;PRS;FIN;ACT
초과	överflödigt	초+과	överflödig		ADJ;NOM;INDF;NEUT;SG
초과	överskott	초+과	överskott		N;NOM;INDF;NEUT;SG
초과	överskridit	초+과	överskrida		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
초과	överskred	초+과	överskred		V;IMP;FIN;ACT
초과	överskridas	초+과	överskrida		V;IND;PRS;FIN;PASS
향수	nostalgisk	향수	nostalgisk	N	ADJ;NOM;INDF;MASC+FEM;SG
페가수스자리	pegasus	페가수스자리	pegasus	PROPN	N;NOM;INDF;MASC+FEM;SG
서스펜스	spänning	서스펜스	spänning		N;NOM;INDF;MASC+FEM;SG
셀틱	keltiska	셀틱	keltisk	PROPN	ADJ;NOM;PL
실무	praktiskt	실무	praktisk	N	ADJ;NOM;INDF;NEUT;SG
실무	praktisk	실무	praktisk	N	ADJ;NOM;INDF;MASC+FEM;SG
실무	praktiska	실무	praktisk	N	ADJ;NOM;PL
케이타	keita	케이타	keita		PROPN;NOM
포브스	forbes	포브스	forbes	PROPN	PROPN;NOM
돌고래	delfin	돌고래	delfin	V	N;NOM;INDF;MASC+FEM;SG
돌고래	dolphin	돌고래	dolphin	V	N;NOM;INDF;MASC+FEM;SG
돌고래	delfinerna	돌고래	delfin	V	N;NOM;DEF;MASC+FEM;PL
돌고래	delfiner	돌고래	delfin	V	N;NOM;INDF;MASC+FEM;PL
고소	anklagelser	고소	anklagelse		N;NOM;INDF;MASC+FEM;PL
고소	anklagelse	고소	anklagelse		N;NOM;INDF;MASC+FEM;SG
고소	stäm	고소	stäm		V;IMP;FIN;ACT
고소	sue	고소	sue		PROPN;NOM
고소	stämma	고소	stämma		V;IMP;FIN;ACT
퍼시	percy	퍼시	percy		PROPN;NOM
실비아	sylvia	실비아	sylvia	PROPN	PROPN;NOM
실비아	silvia	실비아	silvi	PROPN	PROPN;NOM
에볼루션	evolutionen	에볼루션	evolution		N;NOM;DEF;MASC+FEM;SG
에볼루션	evolution	에볼루션	evolution		N;NOM;INDF;MASC+FEM;SG
에볼루션	utveckling	에볼루션	utveckling		N;NOM;INDF;MASC+FEM;SG
에볼루션	utvecklingen	에볼루션	utveckling		N;NOM;DEF;MASC+FEM;SG
올림피아	olympia	올림피아	olympi		N;NOM;INDF;MASC+FEM;SG
비문	inskription	비문	inskription		N;NOM;INDF;MASC+FEM;SG
지니	ande	지니	ande		N;NOM;INDF;MASC+FEM;SG
지니	ginny	지니	ginny		N;NOM;DEF;MASC+FEM;SG
귄터	günter	귄터	gant	PROPN	PROPN;NOM
권장	rekommenderas	권장	rekommendera		V;IND;NFIN;PASS
권장	rekommenderade	권장	rekommenderad		ADJ;NOM;PL;PST;V.PTCP
권장	rekommenderat	권장	rekommenderat		ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
권장	rekommenderad	권장	rekommenderad		ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
조슈아	joshua	조슈아	joshua	PROPN	PROPN;NOM
조슈아	josua	조슈아	josua	PROPN	PROPN;NOM
우즈	skog	우즈	skog		N;NOM;INDF;MASC+FEM;SG
우즈	woods	우즈	woods		N;NOM;INDF;MASC+FEM;SG
우즈	skogen	우즈	skog		N;NOM;DEF;MASC+FEM;SG
우즈	skogar	우즈	skoga		N;NOM;INDF;MASC+FEM;PL
가이아	gaia	가이아	gaia	PROPN	N;NOM;INDF;NEUT;SG
사카타	sakata	사카타	sakat		N;NOM;INDF;MASC+FEM;SG
엉덩이	ass	엉덩이	ass		N;NOM;INDF;NEUT;SG
엉덩이	häck	엉덩이	häck		N;NOM;INDF;MASC+FEM;SG
엉덩이	höft	엉덩이	höfa		N;NOM;INDF;MASC+FEM;SG
엉덩이	hipp	엉덩이	hipp		N;NOM;INDF;MASC+FEM;SG
엉덩이	höften	엉덩이	höft		N;NOM;DEF;MASC+FEM;SG
엉덩이	stjärt	엉덩이	stjärta		N;NOM;INDF;MASC+FEM;SG
엉덩이	bakdel	엉덩이	bakdel		N;NOM;INDF;MASC+FEM;SG
엉덩이	höfterna	엉덩이	höft		N;NOM;DEF;MASC+FEM;PL
엉덩이	höfter	엉덩이	höfta		N;NOM;INDF;MASC+FEM;PL
엉덩이	rumpa	엉덩이	rumpa		N;NOM;INDF;MASC+FEM;SG
엉덩이	häck	엉덩이	häck		N;NOM;INDF;MASC+FEM;SG
엉덩이	stjärt	엉덩이	stjärta		N;NOM;INDF;MASC+FEM;SG
엉덩이	rumpan	엉덩이	rumpa		N;NOM;DEF;MASC+FEM;SG
빌뉴스	vilnius	빌뉴스	vilnius	PROPN	PROPN;NOM
가르침	undervisning	가르치+ㅁ	undervisning	V	N;NOM;INDF;MASC+FEM;SG
가르침	läror	가르치+ㅁ	lära	V	N;NOM;INDF;MASC+FEM;PL
웍스	funkar	웍스	funka		V;IND;PRS;FIN;ACT
웍스	arbetar	웍스	arbeta		V;IND;PRS;FIN;ACT
웍스	fungerar	웍스	fungera		V;IND;PRS;FIN;ACT
가쓰라	katsura	가쓰+라	katsur		N;NOM;INDF;MASC+FEM;SG
마쓰우라	matsuura	마쓰우+라	matsuura		PROPN;NOM
셀프	cell	셀프	cell		N;NOM;INDF;MASC+FEM;SG
셀프	cellen	셀프	cell		N;NOM;DEF;MASC+FEM;SG
가봉	gabon	가봉	gabon	PROPN	N;NOM;INDF;NEUT;SG
셔먼	sherman	켜+어+보+ㄴ	sherman		PROPN;NOM
인테리어	invändigt	인테리어	invändig		ADV
인테리어	inre	인테리어	inre		ADJ;NOM;CMPR
인테리어	interiör	인테리어	interiö		N;NOM;INDF;MASC+FEM;SG
인테리어	interiörer	인테리어	interiör		N;NOM;INDF;MASC+FEM;PL
블룸	blomma	블룸	blomma		N;NOM;INDF;MASC+FEM;SG
블룸	bloom	블룸	bloom		N;NOM;INDF;MASC+FEM;SG
블룸	blom	블룸	blom		N;NOM;INDF;MASC+FEM;SG
알타이	altai	알타이	altai	PROPN	PROPN;NOM
응답	svara	응답	svara	N	V;IMP;FIN;ACT
응답	svarar	응답	svara	N	V;IND;PRS;FIN;ACT
응답	besvara	응답	besvara	N	V;IMP;FIN;ACT
응답	svara	응답	svara	N	V;IMP;FIN;ACT
응답	svara	응답	svara	N	V;IMP;FIN;ACT
대략적인	ungefärligt	대략+적+이+ㄴ	ungefärlig	V	ADJ;NOM;INDF;NEUT;SG
대략적인	ungefärliga	대략+적+이+ㄴ	ungefärlig	V	ADJ;NOM;PL
대략적인	ungefärlig	대략+적+이+ㄴ	ungefärlig	V	ADJ;NOM;INDF;MASC+FEM;SG
조립	montera	조립	montera	N	V;IMP;FIN;ACT
조립	samlas	조립	samla	N	V;IND;NFIN;PASS
조립	monterade	조립	montera	N	ADJ;NOM;PL;PST;V.PTCP
