the	os	the	o	DET;DEF	PRO;ACC;MASC;PL;3
cool	cool	cool	cool	ADJ	N;MASC;SG
bulgarian	búlgara	bulgarian	búlgara	ADJ	N;FEM;SG
bulgarian	búlgaro	bulgarian	búlgaro	ADJ	N;MASC;SG
bulgarian	búlgaros	bulgarian	búlgaro	ADJ	N;MASC;PL
liga	liga	liga	liga	PROPN;SG	N;FEM;SG
manhattan	manhattan	manhattan	manhattan	PROPN;SG	N;MASC;SG
clay	clay	clay	clay	PROPN;SG	N;MASC;SG
clay	argila	clay	argila	PROPN;SG	N;FEM;SG
clay	barro	clay	barro	PROPN;SG	N;MASC;SG
keyboards	teclado	keyboard	teclado	N;PL	N;MASC;SG
viewed	visto	view	ver	V;PST;V.PTCP	PROPN;MASC;SG;V.PTCP
bold	arrojado	bold	arrojar	ADJ	V;MASC;SG;V.PTCP
bold	negrito	bold	negrito	ADJ	N;MASC;SG
bold	ousada	bold	ousar	ADJ	V;FEM;SG;V.PTCP
bold	ousado	bold	ousado	ADJ	V;MASC;SG;V.PTCP
compare	compare	compare	comparar	V;IMP;FIN	N;MASC;PL
treaties	tratados	treaty	tratar	N;PL	V;MASC;PL;V.PTCP
affiliated	afiliados	affiliate	afiliar	V;PST;V.PTCP	N;MASC;PL
monthly	mensalmente	monthly	mensalmente	ADJ	ADV
monthly	mensais	monthly	mensal	ADJ	N;MASC;PL
foster	foster	foster	foster	PROPN;SG	N;MASC;SG
hispanic	hispânica	hispanic	hispânico	ADJ	N;FEM;SG
hispanic	hispânicos	hispanic	hispânico	ADJ	N;MASC;PL
logic	lógico	logic	lógico	N;SG	ADJ;MASC;SG
craig	craig	craig	craig	PROPN;SG	N;MASC;SG
pioneer	pioneiros	pioneer	pioneiro	N;SG	N;MASC;PL
lay	leigos	lay	leigo	V;IMP;FIN	N;MASC;PL
lay	lay	lay	lay	V;IMP;FIN	N;MASC;SG
rated	nominal	rate	nominal	V;PST;V.PTCP	ADJ;MASC;SG
amsterdam	amsterdão	amsterdam	amsterdão	PROPN;SG	N;MASC;SG
amsterdam	amsterdam	amsterdam	amsterdar	PROPN;SG	N;MASC;PL
amsterdam	amesterdão	amsterdam	amesterdão	PROPN;SG	N;MASC;SG
amsterdam	amsterdã	amsterdam	amsterdã	PROPN;SG	N;MASC;SG
percussion	percussão	percussion	percussão	PROPN;SG	N;FEM;SG
#the	#a	#the	ela		N;MASC;SG
#the	#o	#the	#o		N;MASC;SG
#the	#os	#the	eles		N;MASC;SG
athens	atenas	athen	atena	PROPN;SG	N;FEM;PL
herbert	herbert	herbert	herbert	PROPN;SG	N;MASC;SG
raf	raf	raf	raf	PROPN;SG	N;FEM;SG
delaware	delaware	delaware	delaware	PROPN;SG	N;MASC;SG
neil	neil	neil	neil	PROPN;SG	N;MASC;SG
stable	estábulo	stable	estábulo	ADJ	N;MASC;SG
delta	delta	delta	delta	PROPN;SG	N;MASC;SG
mediterranean	mediterrânico	mediterranean	mediterrânico	N;SG	ADJ;MASC;SG
mediterranean	mediterrâneo	mediterranean	mediterrâneo	N;SG	ADJ;MASC;SG
reply	responde	reply	responder	V;IMP;FIN	V;IND;SG;3;PRS;FIN
reply	resposta	reply	resposta	V;IMP;FIN	N;FEM;SG
reply	responda	reply	responder	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
stuart	stuart	stuart	stuart	PROPN;SG	N;MASC;SG
marvel	maravilha	marvel	maravilha	PROPN;SG	N;FEM;SG
marvel	marvel	marvel	marvel	PROPN;SG	N;MASC;SG
luke	luke	luke	luke	PROPN;SG	N;MASC;SG
luke	lucas	luke	luca	PROPN;SG	N;MASC;PL
grave	grave	grave	grave	N;SG	ADJ;MASC;SG
odd	ímpares	odd	ímpar	ADJ	N;MASC;PL
uss	uss	uss	uss	PROPN;SG	N;MASC;SG
mall	mall	mall	mall	PROPN;SG	N;MASC;SG
mall	shopping	mall	shopping	PROPN;SG	N;MASC;SG
secure	seguro	secure	seguro	V;IMP;FIN	N;MASC;SG
secure	segura	secure	seguro	V;IMP;FIN	ADJ;FEM;SG
hugh	hugo	hugh	hugo	PROPN;SG	N;MASC;SG
hugh	hugh	hugh	hugh	PROPN;SG	N;MASC;SG
steven	steven	steven	steven	PROPN;SG	N;MASC;SG
sole	linguado	sole	linguar	ADJ	N;MASC;SG
sole	sola	sole	sola	ADJ	N;FEM;SG
falling	caindo	falling	cair	N;SG	V;V.MSDR
falling	cair	falling	cair	N;SG	V;NFIN
spin	girar	spin	girar	N;SG	V;NFIN
clinton	clinton	clinton	clinton	PROPN;SG	N;MASC;SG
select	seleciona	select	seleciona	V;IMP;FIN	V;IND;SG;3;PRS;FIN
select	selecione	select	selecione	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
roberts	roberts	robert	robert	N;PL	N;MASC;SG
biological	biológicas	biological	biológico	ADJ	N;FEM;PL
lloyd	lloyd	lloyd	lloyd	PROPN;SG	N;MASC;SG
munich	munique	munich	munique	PROPN;SG	N;MASC;SG
adelaide	adelaide	adelaide	adelaide	PROPN;SG	N;FEM;SG
belong	pertencem	belong	pertencer	V;IMP;FIN	V;IND;PL;3;PRS;FIN
belong	pertences	belong	pertence	V;IMP;FIN	N;MASC;PL
belong	pertença	belong	pertencer	V;IMP;FIN	V;IND;SG;3;PRS;FIN
harold	harold	harold	harold	PROPN;SG	N;MASC;SG
harold	haroldo	harold	haroldo	PROPN;SG	N;MASC;SG
norfolk	norfolk	norfolk	norfolk	PROPN;SG	N;MASC;SG
butler	butler	butler	butler	PROPN;SG	N;MASC;SG
butler	mordomo	butler	mordomo	PROPN;SG	N;MASC;SG
acoustic	acústica	acoustic	acústico	ADJ	N;FEM;SG
acoustic	acústicos	acoustic	acústico	ADJ	N;MASC;PL
acoustic	acústicas	acoustic	acústico	ADJ	N;FEM;PL
acoustic	acústico	acoustic	acústico	ADJ	N;MASC;SG
greg	greg	greg	greg	PROPN;SG	N;MASC;SG
nobody	ninguem	nobody	ninguem	PRO;SG	N;MASC;PL
vast	vastas	vast	vasta	ADJ	N;FEM;PL
exit	sair	exit	sair	N;SG	V;NFIN
dual	dupla	dual	dupla	PROPN;SG	N;FEM;SG
dual	duplo	dual	duplo	PROPN;SG	N;MASC;SG
dual	dual	dual	dual	PROPN;SG	N;MASC;SG
patent	patentes	patent	patente	N;SG	N;MASC;PL
mathematical	matemático	mathematical	matemático	ADJ	N;MASC;SG
demographics	demografia	demographic	demografia	N;PL	N;FEM;SG
rick	rick	rick	rick	PROPN;SG	N;MASC;SG
tourist	turistas	tourist	turista	N;SG	N;MASC;PL
click	clica	click	clica	V;IMP;FIN	V;IND;SG;3;PRS;FIN
click	click	click	click	V;IMP;FIN	N;MASC;SG
click	clique	click	clique	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
walking	passear	walking	passear	N;SG	V;NFIN
walking	andar	walking	andar	N;SG	V;NFIN
walking	caminhar	walking	caminhar	N;SG	V;NFIN
civilian	civil	civilian	civil	ADJ	N;MASC;SG
civilian	civis	civilian	civil	ADJ	N;MASC;PL
eddie	eddie	eddie	eddie	PROPN;SG	N;MASC;SG
eddie	eddy	eddie	eddy	PROPN;SG	N;MASC;SG
christians	cristãos	christians	cristão	PROPN;PL	N;MASC;PL
denver	denver	denver	denver	PROPN;SG	N;MASC;SG
petersburg	petersburgo	petersburg	petersburgo	PROPN;SG	N;MASC;SG
jon	jon	jon	jon	PROPN;SG	N;MASC;SG
obama	obama	obama	obama	PROPN;SG	N;MASC;SG
seemed	parecia	seem	parecer	V;IND;PST;FIN	V;IND;SG;3;IPFV;FIN
violin	violino	violin	violino	PROPN;SG	N;MASC;SG
holiday	férias	holiday	férias	N;SG	N;FEM;PL
catherine	catherine	catherine	catherine	PROPN;SG	N;FEM;SG
catherine	catarina	catherine	catarina	PROPN;SG	N;FEM;SG
photograph	fotografar	photograph	fotografar	N;SG	V;NFIN
yale	yale	yale	yale	PROPN;SG	N;MASC;SG
pen	canetas	pen	caneta	N;SG	N;FEM;PL
jacob	jacob	jacob	jacob	PROPN;SG	N;MASC;SG
jacob	jacó	jacob	jacó	PROPN;SG	N;MASC;SG
anglo	anglo	anglo	anglo	PROPN;SG	N;MASC;SG
legacy	legados	legacy	legar	N;SG	V;MASC;PL;V.PTCP
ottawa	otava	ottawa	otava	PROPN;SG	V;IND;SG;3;IPFV;FIN
ottawa	ottawa	ottawa	ottawo	PROPN;SG	N;MASC;SG
derby	derby	derby	derby	PROPN;SG	N;MASC;SG
competing	competindo	compete	competir	N;SG	V;V.MSDR
competing	competir	compete	competir	N;SG	V;NFIN
hudson	hudson	hudson	hudson	PROPN;SG	N;MASC;SG
sacred	sagrado	sacred	sagrado	ADJ	N;MASC;SG
sacred	sagrados	sacred	sagrado	ADJ	N;MASC;PL
sacred	sagrada	sacred	sagrada	ADJ	N;FEM;SG
signing	assinar	signing	assinar	N;SG	V;NFIN
signing	assinando	signing	assinar	N;SG	V;V.MSDR
rob	rob	rob	rob	PROPN;SG	N;MASC;SG
rob	roubar	rob	roubar	PROPN;SG	V;NFIN
cardinal	cardeal	cardinal	cardeal	ADJ	N;MASC;SG
cardinal	cardinal	cardinal	cardinal	ADJ	N;MASC;SG
nepal	nepal	nepal	nepal	PROPN;SG	N;MASC;SG
overseas	ultramarinos	overseas	ultramarino	ADV	N;MASC;PL
overseas	ultramar	overseas	ultramar	ADV	N;MASC;SG
perry	perry	perry	perry	PROPN;SG	N;MASC;SG
syria	síria	syria	sírio	PROPN;SG	N;FEM;SG
wells	wells	well	well	N;PL	N;MASC;SG
ultimate	ultimate	ultimate	ultimate	ADJ	N;MASC;SG
danny	danny	danny	danny	PROPN;SG	N;MASC;SG
danny	danni	danny	danni	PROPN;SG	N;MASC;SG
retail	varejo	retail	varejo	PROPN;SG	N;MASC;SG
retail	retalho	retail	retalho	PROPN;SG	N;MASC;SG
favorite	preferida	favorite	preferir	N;SG	V;FEM;SG;V.PTCP
favorite	preferido	favorite	preferir	N;SG	V;MASC;SG;V.PTCP
vermont	vermont	vermont	vermont	PROPN;SG	N;MASC;SG
download	download	download	download	V;IMP;FIN	N;MASC;SG
download	baixe	download	baixe	V;IMP;FIN	V;IND;SG;3;PRS;FIN
trusted	confiáveis	trust	confiável	V;PST;V.PTCP	ADJ;MASC;PL
trusted	confiável	trust	confiável	V;PST;V.PTCP	ADJ;MASC;SG
jefferson	jefferson	jefferson	jefferson	PROPN;SG	N;MASC;SG
wearing	vestindo	wear	vestir	N;SG	V;V.MSDR
kenya	quénia	kenya	quénia	PROPN;SG	N;MASC;SG
kenya	quênia	kenya	quênia	PROPN;SG	N;FEM;SG
ralph	ralph	ralph	ralph	PROPN;SG	N;MASC;SG
spend	gaste	spend	gastar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
spend	gasta	spend	gastar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
spend	gastos	spend	gasto	V;IMP;FIN	N;MASC;PL
ninth	nono	ninth	nono	PROPN;SG	ADJ;MASC;SG
ninth	nona	ninth	nona	PROPN;SG	N;FEM;SG
wang	wang	wang	wang	PROPN;SG	PROPN;MASC;SG
woods	floresta	wood	floresta	N;PL	N;FEM;SG
woods	bosque	wood	bosque	N;PL	N;MASC;SG
exercise	exercícios	exercise	exercício	N;SG	N;MASC;PL
jacques	jacques	jacque	jacque	PROPN;SG	N;MASC;SG
preferred	preferência	prefer	preferência	V;PST;V.PTCP	N;FEM;SG
preferred	preferencial	prefer	preferencial	V;PST;V.PTCP	ADJ;MASC;SG
pedro	pedro	pedro	pedro	PROPN;SG	N;MASC;SG
venezuela	venezuela	venezuela	venezuela	PROPN;SG	N;FEM;SG
studying	estudando	study	estudar	N;SG	V;V.MSDR
studying	estudar	study	estudar	N;SG	V;NFIN
edwards	edwards	edwards	edwards	PROPN;SG	N;MASC;SG
aim	apontar	aim	apontar	N;SG	V;NFIN
dancing	dançando	dancing	dançar	N;SG	V;V.MSDR
dancing	dançar	dancing	dançar	N;SG	V;NFIN
eagles	eagles	eagle	eagle	N;PL	N;MASC;SG
tribute	tributos	tribute	tributo	N;SG	N;MASC;PL
continuous	contínua	continuous	contínuo	ADJ	N;FEM;SG
continuous	contínuo	continuous	contínuo	ADJ	N;MASC;SG
continuous	contínuos	continuous	contínuo	ADJ	N;MASC;PL
encourage	encoraja	encourage	encorajar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
acted	agia	act	agiar	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
acted	agi	act	agi	V;PST;V.PTCP	N;MASC;SG
convinced	convencidos	convinced	convencer	ADJ	V;MASC;PL;V.PTCP
convinced	convencido	convinced	convencer	ADJ	V;MASC;SG;V.PTCP
convinced	convencidas	convinced	convencer	ADJ	V;FEM;PL;V.PTCP
convinced	convencida	convinced	convencer	ADJ	V;FEM;SG;V.PTCP
heroes	heroes	heroes	heroes	N;PL	N;MASC;SG
rocks	rocks	rock	rock	N;PL	N;MASC;SG
reflect	reflita	reflect	reflitar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
mars	marte	mar	marte	PROPN;SG	N;MASC;SG
mars	mars	mar	mar	PROPN;SG	N;MASC;SG
participating	participando	participate	participar	N;SG	V;V.MSDR
participating	participar	participate	participar	N;SG	V;NFIN
gothic	gótica	gothic	gótica	ADJ	N;FEM;SG
protest	protestar	protest	protestar	N;SG	V;NFIN
protest	protestos	protest	protesto	N;SG	N;MASC;PL
hunting	caçar	hunt	caçar	N;SG	V;NFIN
hunting	caçando	hunt	caçar	N;SG	V;V.MSDR
checkuser	checkuser	checkuser	checkuser	PROPN;SG	V;NFIN
jose	jose	jose	jose	PROPN;SG	N;MASC;SG
jose	josé	jose	josé	PROPN;SG	N;MASC;SG
adventures	adventures	adventure	adventure	N;PL	N;MASC;SG
tiger	tigres	tiger	tigre	N;SG	N;MASC;PL
sing	sing	sing	sing	V;IMP;FIN	N;MASC;SG
sing	cante	sing	cante	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
sing	cantem	sing	canter	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
sing	canta	sing	canta	V;IMP;FIN	V;IND;SG;3;PRS;FIN
rocket	foguetes	rocket	foguete	N;SG	N;MASC;PL
shadow	sombras	shadow	sombra	N;SG	N;FEM;PL
stanford	stanford	stanford	stanford	PROPN;SG	N;MASC;SG
vegas	vegas	vega	vega	PROPN;SG	N;FEM;PL
saved	salvo	save	salvar	V;PST;V.PTCP	ADV
saved	salva	save	salvar	V;PST;V.PTCP	V;IND;SG;3;PRS;FIN
saved	salvos	save	salvo	V;PST;V.PTCP	N;MASC;PL
jury	jurado	jury	jurado	N;SG	V;MASC;SG;V.PTCP
jury	jurados	jury	jurar	N;SG	V;MASC;PL;V.PTCP
noble	noble	noble	noble	ADJ	N;MASC;SG
noble	nobres	noble	nobre	ADJ	N;MASC;PL
noble	nobre	noble	nobre	ADJ	N;MASC;SG
tommy	tommy	tommy	tommy	PROPN;SG	N;MASC;SG
guilty	culpada	guilty	culpar	N;SG	V;FEM;SG;V.PTCP
guilty	culpado	guilty	culpar	N;SG	V;MASC;SG;V.PTCP
guilty	culpados	guilty	culpar	N;SG	V;MASC;PL;V.PTCP
leo	léo	leo	léo	PROPN;SG	N;MASC;SG
leo	leão	leo	leão	PROPN;SG	N;MASC;SG
leo	leo	leo	leo	PROPN;SG	N;MASC;SG
handle	alça	handle	alça	V;IMP;FIN	N;FEM;SG
extinct	extinta	extinct	extinguir	ADJ	V;FEM;SG;V.PTCP
extinct	extinto	extinct	extinguir	ADJ	V;MASC;SG;V.PTCP
extinct	extintos	extinct	extinto	ADJ	V;MASC;PL;V.PTCP
tales	tales	tale	tale	N;PL	N;MASC;SG
load	carregar	load	carregar	N;SG	V;NFIN
adds	adições	add	adição	V;IND;SG;3;PRS;FIN	N;FEM;PL
orphaned	órfão	orphaned	órfão	V;PST;V.PTCP	ADJ;MASC;SG
orphaned	órfã	orphaned	órfã	V;PST;V.PTCP	N;FEM;SG
prefer	prefira	prefer	preferir	V;IND;PRS;FIN	V;SBJV;SG;3;PRS;FIN
push	push	push	push	V;IMP;FIN	N;MASC;SG
push	empurra	push	empurrar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
lie	mentira	lie	mentira	V;IMP;FIN	N;FEM;SG
lie	minta	lie	minta	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
lie	lie	lie	lie	V;IMP;FIN	N;MASC;SG
berkeley	berkeley	berkeley	berkeley	PROPN;SG	N;MASC;SG
lebanon	líbano	lebanon	líbano	PROPN;SG	N;MASC;SG
madison	madison	madison	madison	PROPN;SG	N;MASC;SG
promoting	promover	promote	promover	N;SG	V;NFIN
promoting	promovendo	promote	promover	N;SG	V;V.MSDR
saudi	saudita	saudi	saudita	ADJ	N;FEM;SG
rogers	rogers	roger	roger	N;PL	N;MASC;SG
lights	lights	light	lights	N;PL	N;MASC;SG
renaissance	renascença	renaissance	renascença	PROPN;SG	N;FEM;SG
renaissance	renascimento	renaissance	renascimento	PROPN;SG	N;MASC;SG
renaissance	renascentista	renaissance	renascentista	PROPN;SG	ADJ;MASC;SG
uniform	farda	uniform	farda	ADJ	N;FEM;SG
uniform	uniforme	uniform	uniforme	ADJ	N;MASC;SG
uniform	uniformes	uniform	uniforme	ADJ	N;MASC;PL
aka	aka	a.k.a.	aka	PROPN;SG	N;MASC;SG
brisbane	brisbane	brisbane	brisbane	PROPN;SG	N;MASC;SG
susan	susana	susan	susano	PROPN;SG	N;FEM;SG
susan	susan	susan	susan	PROPN;SG	N;FEM;SG
raymond	raymond	raymond	raymond	PROPN;SG	N;MASC;SG
raymond	raimundo	raymond	raimundo	PROPN;SG	N;MASC;SG
col	col	col	col	PROPN;SG	N;MASC;SG
thai	tailandesa	thai	tailandês	ADJ	N;FEM;SG
thai	tailandês	thai	tailandês	ADJ	N;MASC;SG
thai	thai	thai	thai	ADJ	N;MASC;SG
thai	tailandeses	thai	tailandês	ADJ	N;MASC;PL
disaster	desastres	disaster	desastre	N;SG	N;MASC;PL
survive	sobrevive	survive	sobreviver	V;IMP;FIN	V;IND;SG;3;PRS;FIN
survive	sobrevivem	survive	sobreviver	V;IMP;FIN	V;IND;PL;3;PRS;FIN
survive	sobreviva	survive	sobrevivo	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
involves	envolva	involve	envolver	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
clothing	roupas	clothing	roupa	N;SG	N;FEM;PL
murphy	murphy	murphy	murphy	PROPN;SG	N;MASC;SG
sharp	afiada	sharp	afiar	ADJ	V;FEM;SG;V.PTCP
sharp	sharp	sharp	sharp	ADJ	N;MASC;SG
sharp	afiados	sharp	afiado	ADJ	V;MASC;PL;V.PTCP
sharp	afiado	sharp	afiar	ADJ	V;MASC;SG;V.PTCP
yugoslavia	jugoslávia	yugoslavia	jugoslávia	PROPN;SG	N;FEM;SG
yugoslavia	iugoslávia	yugoslavia	iugoslávia	PROPN;SG	N;FEM;SG
buddhist	budista	buddhist	budista	PROPN;SG	ADJ;MASC;SG
buddhist	budistas	buddhist	budista	PROPN;SG	N;MASC;PL
meat	carnes	meat	carne	N;SG	N;FEM;PL
moral	morais	moral	moral	ADJ	N;MASC;PL
moral	moral	moral	moral	ADJ	N;FEM;SG
sung	cantadas	sung	cantar	V;PST;V.PTCP	N;FEM;PL
sung	sung	sung	sung	V;PST;V.PTCP	N;MASC;SG
citing	citando	cite	citar	N;SG	V;V.MSDR
brunswick	brunswick	brunswick	brunswick	PROPN;SG	N;MASC;SG
radar	radares	radar	radar	N;SG	N;MASC;PL
spending	gastar	spending	gastar	N;SG	V;NFIN
spending	gastos	spending	gasto	N;SG	N;MASC;PL
grove	grove	grove	grove	PROPN;SG	N;MASC;SG
grove	bosque	grove	bosque	PROPN;SG	N;MASC;SG
elite	elite	elite	elite	PROPN;SG	N;FEM;SG
elite	elites	elite	elite	PROPN;SG	N;FEM;PL
bright	bright	bright	bright	ADJ	N;MASC;SG
bright	brilhantes	bright	brilhante	ADJ	N;MASC;PL
improving	melhoria	improve	melhoria	V;V.MSDR	N;FEM;SG
sierra	serra	sierra	serra	PROPN;SG	PROPN;MASC;SG
ted	ted	ted	ted	PROPN;SG	N;MASC;SG
consumer	consumidores	consumer	consumidor	N;SG	N;MASC;PL
exclusive	exclusividade	exclusive	exclusividade	ADJ	N;FEM;SG
ibn	ibn	ibn	ibn	PROPN;SG	PROPN;MASC;SG
manuel	manuel	manuel	manuel	PROPN;SG	N;MASC;SG
allies	aliados	ally	aliado	N;PL	V;MASC;PL;V.PTCP
missile	mísseis	missile	míssil	N;SG	N;MASC;PL
helen	helena	helen	heleno	PROPN;SG	N;FEM;SG
helen	helen	helen	helen	PROPN;SG	N;FEM;SG
withdrawn	retirada	withdraw	retirada	V;PST;V.PTCP	N;FEM;SG
intention	intenções	intention	intenção	N;SG	N;FEM;PL
mini	mini	mini	mini	PROPN;SG	N;MASC;SG
establishing	estabelecendo	establish	estabelecer	N;SG	V;V.MSDR
pat	pat	pat	pat	PROPN;SG	N;MASC;SG
catch	apanha	catch	apanhar	N;SG	V;IND;SG;3;PRS;FIN
catch	apanhar	catch	apanhar	N;SG	V;NFIN
catch	capturas	catch	captura	N;SG	N;FEM;PL
listclass	listclass	listclass	listcla	PROPN;SG	N;FEM;PL
newcastle	newcastle	newcastle	newcastle	PROPN;SG	N;MASC;SG
antarctic	antártica	antarctic	antártico	ADJ	N;FEM;SG
antarctic	antártida	antarctic	antártido	ADJ	N;FEM;SG
antarctic	antártico	antarctic	antártico	ADJ	N;MASC;SG
antarctic	antárctica	antarctic	antárctico	ADJ	N;FEM;SG
antarctic	antárctida	antarctic	antárctido	ADJ	N;FEM;SG
leeds	leeds	leed	leed	N;PL	N;MASC;SG
listings	listagem	listing	listagem	N;PL	N;FEM;SG
ordinary	ordinário	ordinary	ordinário	ADJ	N;MASC;SG
ordinary	ordinária	ordinary	ordinário	ADJ	N;FEM;SG
suffering	sofrendo	suffering	sofrer	N;SG	V;V.MSDR
suffering	sofrimentos	suffering	sofrimento	N;SG	N;MASC;PL
flash	clarão	flash	clarão	PROPN;SG	N;MASC;SG
flash	flash	flash	flash	PROPN;SG	N;MASC;SG
worship	adorar	worship	adorar	N;SG	V;NFIN
blind	blind	blind	blind	ADJ	N;MASC;SG
blind	cegos	blind	cego	ADJ	N;MASC;PL
blind	cegas	blind	cega	ADJ	N;FEM;PL
pakistani	paquistaneses	pakistani	paquistanês	ADJ	N;MASC;PL
pakistani	paquistanês	pakistani	paquistanês	ADJ	N;MASC;SG
pakistani	paquistanesa	pakistani	paquistanês	ADJ	N;FEM;SG
interstate	interestadual	interstate	interestadual	PROPN;SG	N;MASC;SG
arrangement	arranjos	arrangement	arranjo	N;SG	N;MASC;PL
gross	bruta	gross	bruto	ADJ	N;FEM;SG
gross	gross	gross	gross	ADJ	N;MASC;SG
gross	brutos	gross	bruto	ADJ	N;MASC;PL
gross	bruto	gross	bruto	ADJ	N;MASC;SG
gilbert	gilberto	gilbert	gilberto	PROPN;SG	N;MASC;SG
gilbert	gilbert	gilbert	gilbert	PROPN;SG	N;MASC;SG
managing	gerir	manage	gerir	N;SG	V;NFIN
experiment	experiências	experiment	experiência	N;SG	N;FEM;PL
radical	radicais	radical	radical	ADJ	N;MASC;PL
revised	revista	revise	revista	V;PST;V.PTCP	N;FEM;SG
diplomatic	diplomática	diplomatic	diplomático	ADJ	N;FEM;SG
diplomatic	diplomáticos	diplomatic	diplomático	ADJ	N;MASC;PL
seal	foca	seal	focar	N;SG	V;IND;SG;3;PRS;FIN
gregory	gregory	gregory	gregory	PROPN;SG	N;MASC;SG
gregory	gregório	gregory	gregório	PROPN;SG	N;MASC;SG
corresponding	correspondente	corresponding	correspondente	V;V.MSDR	ADJ;MASC;SG
corresponding	correspondentes	corresponding	correspondente	V;V.MSDR	ADJ;MASC;PL
purple	roxo	purple	roxo	PROPN;SG	N;MASC;SG
purple	roxa	purple	roxa	PROPN;SG	N;FEM;SG
purple	púrpura	purple	púrpura	PROPN;SG	N;FEM;SG
pending	pendentes	pend	pendente	N;SG	N;MASC;PL
pending	pendente	pend	pendente	N;SG	ADJ;MASC;SG
presents	presentes	present	presente	V;IND;SG;3;PRS;FIN	ADJ;MASC;PL
holland	holanda	holland	holandar	PROPN;SG	N;FEM;SG
holland	holland	holland	holland	PROPN;SG	N;MASC;SG
remote	remota	remote	remoto	N;SG	ADJ;FEM;SG
sean	sean	sean	sean	PROPN;SG	N;MASC;SG
con	con	con	com	PROPN;SG	N;MASC;SG
cloud	nuvens	cloud	nuvem	PROPN;SG	N;FEM;PL
cloud	nuvem	cloud	nuvem	PROPN;SG	N;FEM;SG
cloud	cloud	cloud	cloud	PROPN;SG	N;MASC;SG
angels	angels	angel	angel	N;PL	N;MASC;SG
noise	ruídos	noise	ruído	N;SG	N;MASC;PL
heading	cabeçalho	head	cabeçalho	V;V.MSDR	N;MASC;SG
heading	rumo	head	rumo	V;V.MSDR	ADV
heading	direção	head	direção	V;V.MSDR	N;FEM;SG
heading	rubrica	head	rubrica	V;V.MSDR	N;FEM;SG
beer	cervejas	beer	cerveja	N;SG	N;FEM;PL
palestinian	palestiniano	palestinian	palestiniano	ADJ	N;MASC;SG
palestinian	palestinos	palestinian	palestino	ADJ	N;MASC;PL
palestinian	palestiniana	palestinian	palestiniano	ADJ	N;FEM;SG
palestinian	palestino	palestinian	palestino	ADJ	N;MASC;SG
palestinian	palestina	palestinian	palestina	ADJ	N;FEM;SG
palestinian	palestinianos	palestinian	palestiniano	ADJ	N;MASC;PL
us	us$	we	us$	PRO;ACC;PL;1	;MASC;PL
hms	hms	hmve	hms	PROPN;SG	N;MASC;SG
renaming	renomear	rename	renomear	N;SG	V;NFIN
dramatic	dramática	dramatic	dramático	ADJ	N;FEM;SG
saskatchewan	saskatchewan	saskatchewan	saskatchewan	PROPN;SG	N;MASC;SG
rhode	rhode	rhode	rhode	PROPN;SG	N;FEM;SG
min	min	min	min	PROPN;SG	N;MASC;PL
dominated	dominado	dominate	dominar	ADJ	V;MASC;SG;V.PTCP
dominated	dominados	dominate	dominar	ADJ	V;MASC;PL;V.PTCP
dominated	dominadas	dominate	dominar	ADJ	V;FEM;PL;V.PTCP
dominated	dominou	dominate	dominar	ADJ	V;IND;SG;3;PST;FIN
dominated	dominada	dominate	dominar	ADJ	V;FEM;SG;V.PTCP
sang	sang	sang	sang	V;IMP;FIN	N;MASC;SG
sang	cantava	sang	cantar	V;IMP;FIN	V;IND;SG;3;IPFV;FIN
sang	cantou	sang	cantar	V;IMP;FIN	V;IND;SG;3;PST;FIN
sang	cantaram	sang	cantar	V;IMP;FIN	V;IND;PL;3;FIN
eat	coma	eat	coma	V;IMP;FIN	N;MASC;SG
eat	come	eat	comer	V;IMP;FIN	V;IND;SG;3;PRS;FIN
asp	asp	asp	asp	PROPN;SG	N;MASC;SG
destroy	destruam	destroy	destruar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
destroy	destrua	destroy	destrua	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
destroy	destrói	destroy	destruir	V;IMP;FIN	V;IND;SG;3;PRS;FIN
cruz	cruz	cruz	cruz	PROPN;SG	N;FEM;SG
warsaw	varsóvia	warsaw	varsóvia	PROPN;SG	N;FEM;SG
heights	heights	height	height	N;PL	N;MASC;SG
playstation	playstation	playstation	playstation	PROPN;SG	N;MASC;SG
fill	preenche	fill	preencher	V;IMP;FIN	V;IND;SG;3;PRS;FIN
fill	preenchimento	fill	preenchimento	V;IMP;FIN	N;MASC;SG
fill	preencha	fill	preencher	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
