और	y	और	y		CONJ
सस्ते	barata	सस्ता	barato	ADJ;NOM;MASC;PL	ADJ;FEM;SG
प्रयोगात्मक	experimentales	प्रयोगात्मक	experimental	N;NOM;MASC;SG;3	ADJ;PL
प्रयोगात्मक	experimental	प्रयोगात्मक	experimental	N;NOM;MASC;SG;3	ADJ;SG
निवेशक	inversores	निवेशक	inversor	N;NOM;MASC;SG;3	N;MASC;PL
निवेशक	inversionistas	निवेशक	inversionista	N;NOM;MASC;SG;3	N;PL
ऐनी	anne	ऐना	anne	PROPN;NOM;FEM;SG;3	N;FEM;SG
ऐनी	ana	ऐना	ana	PROPN;NOM;FEM;SG;3	N;FEM;SG
बेला	bella	बेला	bello	PROPN;NOM;FEM;SG;3	ADJ;FEM;SG
निकालना	extracción	निकाल	extracción	V;MASC;NFIN;ACT	N;FEM;SG
फेंक	réplica	फेंक	réplica	V;ACT	N;FEM;SG
नॉर्वे	noruega	नॉर्वे	noruego	PROPN;NOM;MASC;SG;3	N;FEM;SG
सालाना	anualmente	सालाना	anualmente	ADP	ADV
सालाना	anual	सालाना	anual	ADP	ADJ;SG
सालाना	anuales	सालाना	anual	ADP	ADJ;PL
कलम	bolígrafo	कलम	bolígrafo		N;MASC;SG
कलम	boli	कलम	boli		N;MASC;SG
कलम	pen	कलम	pen		N;MASC;SG
कलम	pluma	कलम	pluma		N;FEM;SG
कलम	injerto	कलम	injerto		N;MASC;SG
कलम	injertos	कलम	injerto		N;MASC;PL
चूर्ण	escorias	चूर्ण	escoria	N;NOM;MASC;SG;3	N;FEM;PL
चूर्ण	polvos	चूर्ण	polvo	N;NOM;MASC;SG;3	N;MASC;PL
टोरंटो	toronto	टोरंटो	toronto	PROPN;NOM;MASC;SG;3	N;MASC;SG
जॉर्जिया	georgia	जॉर्जिया	georgia	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
कोल	cole	कोल	cole		N;MASC;SG
मरे	murray	मर	murray	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
अपलोड	subida	अपलोड	subida	ADJ	N;FEM;SG
अपलोड	subidas	अपलोड	subida	ADJ	N;FEM;PL
अपलोड	cargas	अपलोड	carga	ADJ	N;FEM;PL
अपलोड	subidas	अपलोड	subida	ADJ	N;FEM;PL
अपलोड	subida	अपलोड	subida	ADJ	N;FEM;SG
अपलोड	sube	अपलोड	subir	ADJ	V;IND;SG;3;PRS;FIN
अपलोड	subir	अपलोड	subir	ADJ	V;NFIN
अपलोड	carga	अपलोड	carga	ADJ	N;FEM;SG
अजीब	extraño	अजीब	extraño	ADP	ADJ;MASC;SG
अजीब	raro	अजीब	raro	ADP	ADJ;MASC;SG
अजीब	extraña	अजीब	extraño	ADP	ADJ;FEM;SG
अजीब	strange	अजीब	strange	ADP	N
अजीब	extraño	अजीब	extraño	ADP	ADJ;MASC;SG
अजीब	incomodo	अजीब	incomodo	ADP	ADJ;MASC;SG
अजीब	incómoda	अजीब	incómodo	ADP	ADJ;FEM;SG
अजीब	torpe	अजीब	torpe	ADP	ADJ;SG
अजीब	incómodo	अजीब	incómodo	ADP	ADJ;MASC;SG
बोलियों	pujas	बोली	puja	N;ACC;FEM;PL;3	V;NFIN
ओबामा	obama	ओबामा	obama	PROPN;NOM;MASC;SG;3	N;MASC;SG
शॉन	shaun	शॉन	shaun	PROPN;NOM;MASC;SG;3	N;SG
शॉन	sean	शॉन	ser	PROPN;NOM;MASC;SG;3	V;SBJV;PL;3;PRS;FIN
अल्बर्ट	albert	अल्बर्ट	albert	PROPN;NOM;MASC;SG;3	N;SG
अल्बर्ट	alberto	अल्बर्ट	alberto	PROPN;NOM;MASC;SG;3	N;MASC;SG
ख़ैबर	khyber	ख़ैबर	khyber	PROPN;NOM;MASC;SG;3	N;SG
बेगम	begum	बेगम	begum	PROPN;NOM;FEM;SG;3	N;FEM;SG
वेगास	vegas	वेगास	vega	PROPN;NOM;MASC;SG;3	N;FEM;PL
सघन	compactos	सघन	compacto		N;MASC;PL
सघन	compacto	सघन	compacto		ADJ;MASC;SG
सघन	compacta	सघन	compacta		ADJ;FEM;SG
सघन	compactas	सघन	compacta		ADJ;FEM;PL
सघन	pacto	सघन	pacto		N;MASC;SG
सघन	condensada	सघन	condensado		ADJ;FEM;SG;V.PTCP
सघन	densa	सघन	denso		ADJ;FEM;SG
सघन	densas	सघन	denso		ADJ;FEM;PL
सघन	densos	सघन	denso		ADJ;MASC;PL
सघन	denso	सघन	denso		ADJ;MASC;SG
चौदह	fourteen	चौदह	fourtear	NUM	V;SBJV;PL;3;PRS;FIN
चौदह	catorce	चौदह	catorce	NUM	N;FEM;PL
छपाई	huella	छपाई	huella	V;PFV;FEM;SG;V.PTCP;ACT	N;FEM;SG
छपाई	impresión	छपाई	impresión	V;PFV;FEM;SG;V.PTCP;ACT	N;FEM;SG
छपाई	impresos	छपाई	impreso	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC;PL
छपाई	imprenta	छपाई	imprenta	V;PFV;FEM;SG;V.PTCP;ACT	N;FEM;SG
छपाई	impresión	छपाई	impresión	V;PFV;FEM;SG;V.PTCP;ACT	N;FEM;SG
सर्दी	frio	सर्दी	frio	N;NOM;FEM;SG;3	
सर्दी	frías	सर्दी	fría	N;NOM;FEM;SG;3	N;FEM;PL
गिलगित	gilgit	गिलगित	gilgit	PROPN;NOM;MASC;SG;3	
खेर	kher	खेर	kher	PROPN;NOM;SG;3	
घना	densas	घना	denso	ADJ;NOM;MASC;SG	ADJ;FEM;PL
घना	densos	घना	denso	ADJ;NOM;MASC;SG	ADJ;MASC;PL
मीठा	dulces	मीठा	dulce	PROPN;NOM;MASC;SG;3	N;MASC;PL
मीठा	sweet	मीठा	sweet	PROPN;NOM;MASC;SG;3	N
मीठा	dulce	मीठा	dulce	PROPN;NOM;MASC;SG;3	ADJ;SG
सच्चाई	verdades	सच्चाई	verdad	N;NOM;FEM;SG;3	N;FEM;PL
पुण्य	virtud	पुण्य	virtud	N;NOM;MASC;SG;3	
पैन	cacerola	पैन	cacerola		N;FEM;SG
पैन	sartén	पैन	sartén		N;FEM;SG
पैन	pan	पैन	pan		N;MASC;SG
ताजा	frescas	ताजा	fresco	ADJ;NOM;MASC;SG	ADJ;FEM;PL
ताजा	fresh	ताजा	fresh	ADJ;NOM;MASC;SG	N
ताजा	frescos	ताजा	fresco	ADJ;NOM;MASC;SG	ADJ;MASC;PL
झरने	cascada	झरना	cascado	N;NOM;MASC;SG;3	ADJ;FEM;SG;V.PTCP
यजुर्वेद	yajurveda	यजुर्वेद	yajurveda	N;NOM;MASC;SG;3	ADJ;FEM;SG;V.PTCP
बलूचिस्तान	baluchistán	बलूचिस्तान	baluchistán	PROPN;NOM;MASC;SG;3	ADJ;SG
प्रतिभागी	participantes	प्रतिभागी	participante	N;NOM;MASC;SG;3	N;PL
मिलाया	fusionada	मिला	fusionado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
मिलाया	fusionado	मिला	fusionado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
बोझ	cargas	बोझ	carga	N;NOM;MASC;SG;3	N;FEM;PL
अंडरटेकर	funerario	अंडरटेकर	funerario	N;NOM;MASC;SG;3	ADJ;MASC;SG
मेमोरियल	conmemorativo	मेमोरियल	conmemorativo	N;NOM;MASC;SG;3	ADJ;MASC;SG
सेवानिवृत्त	retirada	सेवानिवृत्त	retirada	ADJ	N;FEM;SG
क्रूज़	cruz	क्रूज़	cruz	PROPN;NOM;MASC;SG;3	N;FEM;SG
क्रूज़	cruceros	क्रूज़	crucero	PROPN;NOM;MASC;SG;3	N;MASC;PL
धनात्मक	positivos	धनात्मक	positivo	N;NOM;MASC;SG;3	ADJ;MASC;PL
धनात्मक	positivo	धनात्मक	positivo	N;NOM;MASC;SG;3	ADJ;MASC;SG
धनात्मक	positiva	धनात्मक	positivo	N;NOM;MASC;SG;3	ADJ;FEM;SG
धनात्मक	positivas	धनात्मक	positivo	N;NOM;MASC;SG;3	ADJ;FEM;PL
तुम्हारी	tuya	तुम्हारी	tuyo	PRO;FEM;SG;3	DET;FEM;SG;1
तुम्हारी	tuyo	तुम्हारी	tuyo	PRO;FEM;SG;3	PRO;MASC;SG;2
तुम्हारी	tuyos	तुम्हारी	tuyo	PRO;FEM;SG;3	PRO;MASC;SG;2
तुम्हारी	suya	तुम्हारी	suyo	PRO;FEM;SG;3	DET;FEM;SG;3
तुम्हारी	tuyas	तुम्हारी	tuyo	PRO;FEM;SG;3	DET;FEM;PL;1
तुम्हारी	suyo	तुम्हारी	suyo	PRO;FEM;SG;3	DET;MASC;SG;3
आइस	hielo	आइस	hielo		N;MASC;SG
कमज़ोर	débiles	कमज़ोर	débil	ADP	ADJ;PL
कमज़ोर	débil	कमज़ोर	débil	ADP	ADJ;SG
कमज़ोर	impotentes	कमज़ोर	impotente	ADP	ADJ;PL
कमज़ोर	impotente	कमज़ोर	impotente	ADP	ADJ;SG
कमज़ोर	cojo	कमज़ोर	cojo	ADP	V;IND;SG;1;PRS;FIN
कमज़ोर	lame	कमज़ोर	lamer	ADP	V;IND;SG;3;PRS;FIN
आयुर्विज्ञान	medicinas	आयुर्विज्ञान	medicina	N;NOM;FEM;SG;3	N;FEM;PL
सऊदी	saudí	सऊदी	saudí	PROPN;NOM;MASC;SG;3	ADJ;SG
सऊदी	saudita	सऊदी	saudita	PROPN;NOM;MASC;SG;3	ADJ;SG
सऊदी	sauditas	सऊदी	saudito	PROPN;NOM;MASC;SG;3	N;PL
सऊदी	saudi	सऊदी	saudi	PROPN;NOM;MASC;SG;3	N;SG
भरतपुर	bharatpur	भरतपुर	bharatpur	PROPN;NOM;MASC;SG;3	V;SBJV;SG;3;PRS;FIN
मोम	cera	मोम	cera		N;FEM;SG
सूअर	cerdos	सूअर	cerdo	N;NOM;MASC;SG;3	N;MASC;PL
सूअर	cochinos	सूअर	cochino	N;NOM;MASC;SG;3	N;MASC;PL
सूअर	porcino	सूअर	porcino	N;NOM;MASC;SG;3	ADJ;MASC;SG
सौदे	reparte	सौदा	reparte	N;NOM;MASC;PL;3	V;IND;SG;3;PRS;FIN
सौदे	trato	सौदा	trato	N;NOM;MASC;PL;3	N;MASC;SG
वर्जीनिया	virginia	वर्जीनिया	virginia	PROPN;NOM;MASC;SG;3	N;FEM;SG
घूम	hilado	घूम	hilado	V;ACT	ADJ;MASC;SG;V.PTCP
हेक्टेयर	hectáreas	हेक्टेयर	hectárea	N;NOM;MASC;SG;3	N;FEM;PL
हेक्टेयर	hectáreas	हेक्टेयर	hectárea	N;NOM;MASC;SG;3	N;FEM;PL
कार्यात्मक	funcionales	कार्यात्मक	funcional	N;NOM;MASC;SG;3	ADJ;PL
कार्यात्मक	funcional	कार्यात्मक	funcional	N;NOM;MASC;SG;3	ADJ;SG
बुश	bush	बुश	bush	PROPN;NOM;MASC;SG;3	PROPN
बुश	arbusto	बुश	arbusto	PROPN;NOM;MASC;SG;3	N;MASC;SG
सपने	sueña	सपना	soñar	N;NOM;MASC;PL;3	V;IND;SG;3;PRS;FIN
सपने	sueño	सपना	sueño	N;NOM;MASC;PL;3	N;MASC;SG
सपने	ensueño	सपना	ensueño	N;NOM;MASC;PL;3	ADJ;MASC;SG
सपने	soñar	सपना	soñar	N;NOM;MASC;PL;3	V;NFIN
आश्चर्यजनक	sorprendente	आश्चर्यजनक	sorprendente	PROPN;NOM;MASC;SG;3	ADJ;SG
आश्चर्यजनक	sorprendentes	आश्चर्यजनक	sorprendente	PROPN;NOM;MASC;SG;3	ADJ;PL
बसु	basu	बसु	basu	PROPN;NOM;SG;3	PROPN
छाती	tórax	छाती	tórax	V;IPFV;FEM;SG;V.PTCP;ACT	N;MASC;SG
छाती	cofre	छाती	cofre	V;IPFV;FEM;SG;V.PTCP;ACT	N;MASC;SG
छाती	pecho	छाती	pecho	V;IPFV;FEM;SG;V.PTCP;ACT	N;MASC;SG
वॉल	murallas	वॉल	muralla	N;NOM;MASC;SG;3	N;FEM;PL
यम	plutón	यम	plutón		N;MASC;SG
फ्रांसिस	francisco	फ्रांसिस	francisco	PROPN;NOM;MASC;SG;3	N;MASC;SG
फ्रांसिस	francis	फ्रांसिस	francis	PROPN;NOM;MASC;SG;3	PROPN
महानगर	metropolitano	महानगर	metropolitano	N;NOM;MASC;SG;3	ADJ;MASC;SG
कार्निवल	carnavales	कार्निवल	carnaval	N;NOM;MASC;SG;3	N;MASC;PL
खिलाडी	jugadores	खिलाडी	jugador	N;NOM;MASC;SG;3	N;MASC;PL
खिलाडी	reproductores	खिलाडी	reproductor	N;NOM;MASC;SG;3	N;MASC;PL
नक्शे	mapas	नक्शा	mapa	N;NOM;MASC;SG;3	N;MASC;PL
पाइप	tuberías	पाइप	tubería	N;NOM;MASC;SG;3	N;FEM;PL
पाइप	tubos	पाइप	tubo	N;NOM;MASC;SG;3	N;MASC;PL
पाइप	caños	पाइप	caño	N;NOM;MASC;SG;3	N;MASC;PL
पाइप	pipas	पाइप	pipa	N;NOM;MASC;SG;3	N;FEM;PL
खलनायक	villanos	खलनायक	villano	N;NOM;MASC;SG;3	N;MASC;PL
खलनायक	villanos	खलनायक	villano	N;NOM;MASC;SG;3	N;MASC;PL
ईस्टवुड	eastwood	ईस्टवुड	eastwood	PROPN;NOM;MASC;SG;3	N;MASC;SG
रूम	habitaciones	रूम	habitación	N;NOM;MASC;SG;3	N;FEM;PL
रूम	cuartos	रूम	cuarto	N;NOM;MASC;SG;3	N;MASC;PL
रूम	salas	रूम	sala	N;NOM;MASC;SG;3	N;FEM;PL
रूम	cuarto	रूम	cuarto	N;NOM;MASC;SG;3	ADJ;MASC;SG
मैक्सिको	méjico	मैक्सिको	méjico	PROPN;NOM;MASC;SG;3	N;MASC;SG
मैक्सिको	méxico	मैक्सिको	méxico	PROPN;NOM;MASC;SG;3	N;MASC;SG
मैक्सिको	mexico	मैक्सिको	mexico	PROPN;NOM;MASC;SG;3	
नरसिंह	narasimha	नरसिंह	narasimha	PROPN;NOM;MASC;SG;3	N;FEM;SG
पुरातन	antiguo	पुरातन	antiguo		ADJ;MASC;SG
पुरातन	antigüedades	पुरातन	antigüedad		N;FEM;PL
पुरातन	antiguas	पुरातन	antiguo		ADJ;FEM;PL
पुरातन	antigua	पुरातन	antiguo		ADJ;FEM;SG
पुरातन	antigüedad	पुरातन	antigüedad		N;FEM;SG
अल्फा	alpha	अल्फा	alphar		N;FEM;SG
अल्फा	alfa	अल्फा	alfa		N;FEM;SG
अल्फा	alfa	अल्फा	alfa		N;FEM;SG
निशाना	blanco	निशाना	blanco	N;NOM;MASC;SG;3	ADJ;MASC;SG
ईस्टर	pascuas	ईस्टर	pascua	N;NOM;MASC;SG;3	N;FEM;PL
ऑटोमोबाइल	automóviles	ऑटोमोबाइल	automóvil	N;NOM;MASC;SG;3	N;MASC;PL
ऑटोमोबाइल	automóviles	ऑटोमोबाइल	automóvil	N;NOM;MASC;SG;3	N;MASC;PL
राउंड	redondo	राउंड	redondo	N;NOM;MASC;SG;3	ADJ;MASC;SG
राउंड	redondos	राउंड	redondo	N;NOM;MASC;SG;3	ADJ;MASC;PL
बेरी	baya	बेरी	baya	PROPN;NOM;FEM;SG;3	N;FEM;SG
बेरी	berry	बेरी	berry	PROPN;NOM;FEM;SG;3	N;SG
बेरी	bayas	बेरी	baya	PROPN;NOM;FEM;SG;3	N;FEM;PL
नरम	blanda	नरम	blando		ADJ;FEM;SG
नरम	suave	नरम	suave		ADJ;SG
नरम	soft	नरम	soft		N
नरम	blando	नरम	blando		ADJ;MASC;SG
नरम	suavizar	नरम	suavizar		V;NFIN
रोमांटिक	romántico	रोमांटिक	romántico	N;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांटिक	románticas	रोमांटिक	romántico	N;NOM;MASC;SG;3	ADJ;FEM;PL
रोमांटिक	románticos	रोमांटिक	romántico	N;NOM;MASC;SG;3	N;MASC;PL
रोमांटिक	romántica	रोमांटिक	romántico	N;NOM;MASC;SG;3	ADJ;FEM;SG
जन्मदिन	cumple	जन्मदिन	cumplir	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
काँच	cristal	काँच	cristal		N;MASC;SG
काँच	vidrio	काँच	vidrio		N;MASC;SG
काँच	vidrios	काँच	vidrio		N;MASC;PL
काँच	vaso	काँच	vaso		N;MASC;SG
नेट	neto	नेट	neto		ADJ;MASC;SG
नेट	net	नेट	net		N
नेट	red	नेट	red		N;FEM;SG
नेट	neta	नेट	neta		ADJ;FEM;SG
नेट	netos	नेट	neto		N;MASC;PL
नेट	redes	नेट	red		N;FEM;PL
जेरिको	jericho	जेरिको	jericho	PROPN;NOM;MASC;SG;3	N;MASC;SG
जेरिको	jericó	जेरिको	jericar	PROPN;NOM;MASC;SG;3	V;IND;SG;3;PST;FIN
तेरे	tere	तेरा	tere	PRO;MASC;SG;3	N;FEM;SG
टैगोर	tagore	टैगोर	tagore	PROPN;NOM;MASC;SG;3	N;MASC;SG
हॉप	salto	हॉप	salto	PROPN;NOM;MASC;SG;3	N;MASC;SG
हॉप	lúpulo	हॉप	lúpulo	PROPN;NOM;MASC;SG;3	N;MASC;SG
हॉप	hop	हॉप	hop	PROPN;NOM;MASC;SG;3	N;MASC;SG
उठता	levántate	उठ	levántate	V;IPFV;MASC;SG;V.PTCP;ACT	N;FEM;SG
उठता	surjan	उठ	surgir	V;IPFV;MASC;SG;V.PTCP;ACT	V;IMP;PL;3;FIN
उठता	surgen	उठ	surgir	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;PL;3;PRS;FIN
उत्परिवर्तन	mutación	उत्परिवर्तन	mutación	N;NOM;MASC;PL;3	N;FEM;SG
ओपेरा	opera	ओपेरा	operar	PROPN;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
ओपेरा	ópera	ओपेरा	ópera	PROPN;NOM;MASC;SG;3	N;FEM;SG
मैट्रिक्स	matrices	मैट्रिक्स	matriz	N;NOM;MASC;SG;3	N;FEM;PL
मैट्रिक्स	matrix	मैट्रिक्स	matrix	N;NOM;MASC;SG;3	INTJ
जार्ज	jordi	जार्ज	jordi	PROPN;NOM;MASC;SG;3	PROPN
जार्ज	jorge	जार्ज	jorge	PROPN;NOM;MASC;SG;3	PROPN
कौर	kaur	कौर	kaur	PROPN;NOM;FEM;SG;3	N;FEM;SG
बिल्ली	gato	बिल्ली	gato	PROPN;NOM;FEM;SG;3	N;MASC;SG
बिल्ली	gatos	बिल्ली	gato	PROPN;NOM;FEM;SG;3	N;MASC;PL
बिल्ली	gata	बिल्ली	gata	PROPN;NOM;FEM;SG;3	N;FEM;SG
बिल्ली	cat	बिल्ली	cat	PROPN;NOM;FEM;SG;3	N
क्षुद्रग्रह	asteroides	क्षुद्रग्रह	asteroid	N;NOM;MASC;SG;3	N;MASC;PL
क्षुद्रग्रह	asteroides	क्षुद्रग्रह	asteroid	N;NOM;MASC;SG;3	N;MASC;PL
आसमान	cielos	आसमान	cielo	N;NOM;MASC;SG;3	N;MASC;PL
मिनी	mini	मिनी	mini	N;NOM;MASC;SG;3	
क्रियाएँ	actividad	क्रिया	actividad	N;NOM;FEM;PL;3	N;FEM;SG
वैली	wally	वैला	wally		N;MASC;SG
स्नेह	afecto	स्नेह	afecto		N;MASC;SG
स्नेह	carino	स्नेह	carino		INTJ
स्नेह	cariño	स्नेह	cariño		N;MASC;SG
जैक्सन	jackson	जैक्सन	jackson	PROPN;NOM;MASC;SG;3	N;MASC;SG
चोर	chor	चोर	chor	N;NOM;MASC;SG;3	
चोर	ladrones	चोर	ladrón	N;NOM;MASC;SG;3	N;MASC;PL
कॉपी	copiado	कॉपी	copiado		ADJ;MASC;SG;V.PTCP
कॉपी	copiar	कॉपी	copiar		V;NFIN
कॉपी	copia	कॉपी	copia		N;FEM;SG
कॉपी	copiado	कॉपी	copiado		ADJ;MASC;SG;V.PTCP
कॉपी	copie	कॉपी	copie		V;IMP;SG;3;FIN
कॉपी	ejemplar	कॉपी	ejemplar		V;NFIN
कॉपी	copias	कॉपी	copia		N;FEM;PL
कॉपी	ejemplares	कॉपी	ejemplar		N;MASC;PL
कॉपी	copia	कॉपी	copia		N;FEM;SG
केप	cabo	केप	cabo	PROPN;NOM;MASC;SG;3	N;MASC;SG
केप	capa	केप	capa	PROPN;NOM;MASC;SG;3	N;FEM;SG
मौसमी	estacional	मौसमी	estacional	PROPN;NOM;SG;3	ADJ;SG
मौसमी	estacionales	मौसमी	estacional	PROPN;NOM;SG;3	ADJ;PL
मौसमी	temporada	मौसमी	temporada	PROPN;NOM;SG;3	N;FEM;SG
भेजी	enviada	भेज	enviado	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;FEM;SG;V.PTCP
भेजी	enviados	भेज	enviar	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
भेजी	enviadas	भेज	enviado	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
भेजी	enviado	भेज	enviado	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
बम्बई	bombay	बम्बई	bombay	PROPN;NOM;MASC;SG;3	N;MASC;SG
प्रेरक	motivacional	प्रेरक	motivacional	PROPN;NOM;MASC;SG;3	ADJ;SG
प्रेरक	motivación	प्रेरक	motivación	PROPN;NOM;MASC;SG;3	N;FEM;SG
सील	sella	सील	sella		V;IND;SG;3;PRS;FIN
सील	foca	सील	foca		N;FEM;SG
सील	sello	सील	sello		N;MASC;SG
आभासी	virtuales	आभासी	virtual	N;NOM;MASC;SG;3	ADJ;PL
आभासी	virtual	आभासी	virtual	N;NOM;MASC;SG;3	ADJ;SG
सलीम	salim	सलीम	salim	PROPN;NOM;MASC;SG;3	N;MASC;SG
नक्काशी	grabados	नक्काशी	grabado	N;NOM;FEM;SG;3	ADJ;MASC;PL;V.PTCP
नक्काशी	grabado	नक्काशी	grabado	N;NOM;FEM;SG;3	ADJ;MASC;SG;V.PTCP
नक्काशी	tallado	नक्काशी	tallado	N;NOM;FEM;SG;3	ADJ;MASC;SG;V.PTCP
नक्काशी	tallar	नक्काशी	tallar	N;NOM;FEM;SG;3	V;NFIN
विचलन	desviaciones	विचलन	desviación	N;NOM;MASC;SG;3	N;FEM;PL
डबिंग	doblaje	डबिंग	doblaje	PROPN;NOM;MASC;SG;3	N;MASC;SG
डेविस	davis	डेविस	davis	PROPN;NOM;MASC;SG;3	PROPN
होस्ट	anfitriones	होस्ट	anfitrión	N;NOM;MASC;SG;3	N;MASC;PL
ऋणात्मक	negativa	ऋणात्मक	negativo	N;NOM;MASC;SG;3	ADJ;FEM;SG
ऋणात्मक	negativas	ऋणात्मक	negativo	N;NOM;MASC;SG;3	ADJ;FEM;PL
ऋणात्मक	negativos	ऋणात्मक	negativo	N;NOM;MASC;SG;3	ADJ;MASC;PL
ऋणात्मक	negativo	ऋणात्मक	negativo	N;NOM;MASC;SG;3	ADJ;MASC;SG
जवान	jóven	जवान	jóven	N;NOM;MASC;PL;3	ADJ;SG
जवान	young	जवान	young	N;NOM;MASC;PL;3	PROPN
जवान	joven	जवान	joven	N;NOM;MASC;PL;3	N;SG
सूफी	sufi	सूफी	sufi	PROPN;NOM;MASC;SG;3	N;MASC;SG
अंदरूनी	aralia	अंदरूनी	aralia	ADJ	N;FEM;SG
डॉग	perrita	डॉग	perrita	PROPN;NOM;MASC;SG;3	N;FEM;SG
डॉग	perro	डॉग	perro	PROPN;NOM;MASC;SG;3	N;MASC;SG
डॉग	perros	डॉग	perro	PROPN;NOM;MASC;SG;3	N;MASC;PL
टूल	instrumentos	टूल	instrumento	N;NOM;MASC;SG;3	N;MASC;PL
टूल	herramientas	टूल	herramienta	N;NOM;MASC;SG;3	N;FEM;PL
टैक्सी	taxis	टैक्सी	taxi	N;NOM;FEM;SG;3	N;MASC;PL
टैक्सी	cab	टैक्सी	cab	N;NOM;FEM;SG;3	
टैक्सी	taxis	टैक्सी	taxi	N;NOM;FEM;SG;3	N;MASC;PL
अचल	inmueble	अचल	inmueble		N;MASC;SG
पेरू	perú	पेरू	perú	PROPN;NOM;MASC;SG;3	PROPN
पेरू	peru	पेरू	peru	PROPN;NOM;MASC;SG;3	N;SG
परिणत	transforma	परिणत	transformar	ADJ	V;IND;SG;3;PRS;FIN
भूरा	brown	भूरा	brown	PROPN;NOM;MASC;SG;3	N;MASC;SG
भूरा	moreno	भूरा	moreno	PROPN;NOM;MASC;SG;3	N;MASC;SG
भूरा	marrones	भूरा	marrón	PROPN;NOM;MASC;SG;3	N;MASC;PL
भूरा	marrón	भूरा	marrón	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
भूरा	browns	भूरा	brown	PROPN;NOM;MASC;SG;3	N;MASC;PL
यूनिक्स	unix	यूनिक्स	unix	PROPN;NOM;MASC;SG;3	N;MASC;SG
गार्ड	guardas	गार्ड	guarda	N;NOM;MASC;SG;3	N;MASC;PL
गार्ड	guardias	गार्ड	guardia	N;NOM;MASC;SG;3	N;PL
गार्ड	guarda	गार्ड	guardar	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
गिना	contado	गिना	contar	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;SG;V.PTCP
गिना	contados	गिना	contado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
गिना	contadas	गिना	contado	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;FEM;PL;V.PTCP
पाण्डेय	pandey	पांडेय	pandey	PROPN;NOM;MASC;SG;3	N
ब्राह्मी	brahmi	ब्राह्मी	brahmi	PROPN;NOM;MASC;SG;3	
बेसिक	básica	बेसिक	básico	PROPN;NOM;SG;3	ADJ;FEM;SG
बेसिक	básicos	बेसिक	básico	PROPN;NOM;SG;3	ADJ;MASC;PL
बेसिक	basic	बेसिक	basic	PROPN;NOM;SG;3	N;SG
बेसिक	básicas	बेसिक	básico	PROPN;NOM;SG;3	ADJ;FEM;PL
बेसिक	básico	बेसिक	básico	PROPN;NOM;SG;3	ADJ;MASC;SG
क्रीम	cremas	क्रीम	crema	N;NOM;FEM;SG;3	N;FEM;PL
परेड	desfilar	परेड	desfilar	N;NOM;FEM;SG;3	V;NFIN
अलास्का	alaska	अलास्का	alaska	PROPN;NOM;FEM;SG;3	N;FEM;SG
रुद्र	rudra	रुद्र	rudrir	PROPN;NOM;MASC;SG;3	N;FEM;SG
अंगूर	uvas	अंगूर	uva	N;NOM;MASC;SG;3	N;FEM;PL
अंगूर	uvas	अंगूर	uva	N;NOM;MASC;SG;3	N;FEM;PL
विश्वव्यापी	mundial	विश्वव्यापी	mundial	N;NOM;MASC;SG;3	ADJ;SG
विश्वव्यापी	mundialmente	विश्वव्यापी	mundialmente	N;NOM;MASC;SG;3	ADV
लेनी	leni	ले	leni	V;FEM;NFIN;ACT	N;FEM;SG
देह	cuerpo	देह	cuerpo		N;MASC;SG
देह	corporal	देह	corporal		ADJ;SG
देह	cadáver	देह	cadáver		N;MASC;SG
देह	body	देह	body		N
देह	carrocería	देह	carrocería		V;COND;SG;3;FIN
जौ	cebada	जौ	cebada		N;FEM;SG
खाई	zanja	खा	zanja	V;PFV;FEM;SG;V.PTCP;ACT	N;FEM;SG
युवावस्था	jovenes	युवावस्था	joven	N;NOM;FEM;SG;3	N;PL
युवावस्था	jóvenes	युवावस्था	joven	N;NOM;FEM;SG;3	N;PL
रेड्डी	reddy	रेड्डी	reddy	PROPN;NOM;SG;3	PROPN
लौटे	regresó	लौट	regresar	V;PFV;MASC;PL;V.PTCP;ACT	V;IND;SG;3;PST;FIN
लौटे	devueltos	लौट	devolver	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;MASC;PL;V.PTCP
