von	no	von	no	ADP	
hängen	pakārt	hängen	pakārt	V;NFIN	
doktor	dok	doktor	dok	N;SG	
doktor	phd	doktor	phd	N;SG	
zugehörigkeit	piederība	zugehörigkeit	piederība	ADJ	N;NOM;FEM;SG
fulda	fulda	fulda	fulds	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
verbrechen	pārkāpumi	verbrechen	pārkāpums	V;NFIN	N;NOM;MASC;PL
verbrechen	nodarījumiem	verbrechen	nodarījums	V;NFIN	N;DAT;MASC;PL
verbrechen	noziegumi	verbrechen	noziegums	V;NFIN	N;NOM;MASC;PL
verbrechen	noziedzību	verbrechen	noziedzība	V;NFIN	N;ACC;FEM;SG
verbrechen	noziegumi	verbrechen	noziegums	V;NFIN	N;NOM;MASC;PL
verbrechen	noziegums	verbrechen	noziegums	V;NFIN	N;NOM;MASC;SG
verbrechen	noziedzība	verbrechen	noziedzība	V;NFIN	N;NOM;FEM;SG
spielzeiten	sezonas	spielzeit	sezona	V;NFIN	N;NOM;FEM;PL
debatte	debates	debatt	debate	ADJ;NOM;SG	N;NOM;FEM;PL
debatte	debates	debatt	debate	ADJ;NOM;SG	N;NOM;FEM;PL
eisen	dzelzs	eise	dzelt		N;NOM;MASC;SG
eisen	dzelzi	eise	dzelze		N;ACC;FEM;SG
eisen	dzelzs	eise	dzelt		N;NOM;MASC;SG
seele	dvēseli	seelen	dvēselis		N;ACC;MASC;SG
seele	dvēsele	seelen	dvēsele		N;NOM;FEM;SG
seele	dvēseles	seelen	dvēsele		N;NOM;FEM;PL
schiffen	kuģi	schiffen	kuģis		N;NOM;MASC;PL
schiffen	kuģiem	schiffen	kuģis		N;DAT;MASC;PL
schiffen	kuģus	schiffen	kuģis		N;ACC;MASC;PL
becken	baseini	becken	baseins	V;NFIN	N;NOM;MASC;PL
becken	iegurņa	becken	iegurņa	V;NFIN	N;GEN;MASC;SG
becken	baseins	becken	baseins	V;NFIN	N;NOM;MASC;SG
becken	baseina	becken	baseins	V;NFIN	N;GEN;MASC;SG
becken	baseini	becken	baseins	V;NFIN	N;NOM;MASC;PL
becken	baseiniem	becken	baseins	V;NFIN	N;DAT;MASC;PL
bit	bitu	bit	bita		N;ACC;FEM;SG
bit	bitiem	bit	bits		N;DAT;MASC;PL
bit	sīkumi	bit	sīkums		N;NOM;MASC;PL
bit	biti	bit	bite		N;NOM;FEM;SG
missbrauch	ļaunprātīgu	mißbrauchen	ļaunprātīga		ADJ;ACC;MASC;SG
missbrauch	ļaunprātīgas	mißbrauchen	ļaunprātīga		ADJ;NOM;FEM;PL
bogen	loks	biegen	loks		N;NOM;MASC;SG
bogen	loka	biegen	loks		N;NOM;FEM;SG
bogen	lentām	biegen	lenta		ADJ;DAT;FEM;PL
bogen	arkas	biegen	arkas		N;NOM;FEM;PL
bogen	tauriņi	biegen	tauriņš		N;NOM;MASC;PL
ehrlich	ērlihs	ehrlich	ērlihs	ADJ	N;NOM;MASC;SG
ehrlich	godīgi	ehrlich	godīgi	ADJ	ADV
ehrlich	godīgi	ehrlich	godīgi	ADJ	ADV
umfassende	visaptverošs	umfassend	visaptverošs	ADJ;NOM;FEM;PL	V;IPFV;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
umfassende	visaptveroša	umfassend	visaptveroša	ADJ;NOM;FEM;PL	V;IPFV;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
umfassende	visaptverošu	umfassend	visaptverot	ADJ;NOM;FEM;PL	V;IPFV;ACC;INDF;MASC;SG;PRS;V.PTCP;PASS
umfassende	plašs	umfassend	plašs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
umfassende	plaša	umfassend	plaša	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
kritisch	kritiski	kritisch	kritiski	ADJ	ADV
knoten	mezgls	knot	mezgls	V;NFIN	N;NOM;MASC;SG
knoten	mezgliem	knot	mezgls	V;NFIN	N;DAT;MASC;PL
knoten	mezgli	knot	mezgli	V;NFIN	N;NOM;MASC;PL
knoten	mezglus	knot	mezgls	V;NFIN	N;ACC;MASC;PL
knoten	mezgls	knot	mezgls	V;NFIN	N;NOM;MASC;SG
knoten	mezglu	knot	mezgls	V;NFIN	N;ACC;MASC;SG
realität	realitāte	realität	realitāte	ADJ	N;NOM;FEM;SG
realität	realitāte	realität	realitāte	ADJ	N;NOM;FEM;SG
realität	īstenība	realität	īstenība	ADJ	N;NOM;FEM;SG
voraussetzungen	priekšnoteikumi	voraussetzehen	priekšnoteikums	V;NFIN	N;NOM;MASC;PL
voraussetzungen	priekšnosacījumi	voraussetzehen	priekšnosacījums	V;NFIN	N;NOM;MASC;PL
voraussetzungen	priekšnoteikumi	voraussetzehen	priekšnoteikums	V;NFIN	N;NOM;MASC;PL
voraussetzungen	priekšnosacījumi	voraussetzehen	priekšnosacījums	V;NFIN	N;NOM;MASC;PL
voraussetzungen	apstākļi	voraussetzehen	apstāklis	V;NFIN	N;NOM;MASC;PL
voraussetzungen	nosacījumi	voraussetzehen	nosacījums	V;NFIN	N;NOM;MASC;PL
voraussetzungen	stāvokļi	voraussetzehen	stāvoklis	V;NFIN	N;NOM;MASC;PL
mercedes	mercedes	mercedes	mercede	PROPN;NOM;SG	N;NOM;FEM;PL
campus	augstskolas	campus	augstskola		N;NOM;FEM;PL
begründer	dibinātāji	begründer	dibinātājs	ADJ	N;NOM;MASC;PL
begründer	dibinātāja	begründer	dibinātāja	ADJ	N;NOM;FEM;SG
begründer	dibinātājs	begründer	dibinātājs	ADJ	N;NOM;MASC;SG
wörter	vārdi	wört	vārds		N;NOM;MASC;PL
gebraucht	nepieciešami	brauchen|gebrauchen	nepieciešams	V;V.PTCP	ADJ;NOM;MASC;PL
gebraucht	vajadzīgs	brauchen|gebrauchen	vajadzīgs	V;V.PTCP	ADJ;NOM;MASC;SG
gebraucht	nepieciešams	brauchen|gebrauchen	nepieciešams	V;V.PTCP	ADJ;NOM;MASC;SG
mittelalterliche	viduslaiku	mittelalterlich	viduslaiks	ADJ;NOM;FEM;PL	N;ACC;MASC
mittelalterliche	viduslaiku	mittelalterlich	viduslaiks	ADJ;NOM;FEM;PL	N;ACC;MASC
stellvertreter	aizvietotājs	stellvertreter	aizvietotājs	ADJ	N;NOM;MASC;SG
stellvertreter	aizstājējs	stellvertreter	aizstājējs	ADJ	N;NOM;MASC;SG
stellvertreter	vietnieks	stellvertreter	vietnieks	ADJ	N;NOM;MASC;SG
stellvertreter	vietnieks	stellvertreter	vietnieks	ADJ	N;NOM;MASC;SG
stellvertreter	aizvietotāji	stellvertreter	aizvietotājs	ADJ	N;NOM;MASC;PL
stellvertreter	aizstājējs	stellvertreter	aizstājējs	ADJ	N;NOM;MASC;SG
stellvertreter	aizstājējus	stellvertreter	aizstājēties	ADJ	N;ACC;MASC;PL
stellvertreter	aizvietotāji	stellvertreter	aizvietotājs	ADJ	N;NOM;MASC;PL
stellvertreter	vietnieki	stellvertreter	vietnieks	ADJ	N;NOM;MASC;PL
bäume	koku	bäumen	koks	N;NOM;MASC;PL	N;ACC;MASC;SG
bäume	koks	bäumen	koks	N;NOM;MASC;PL	N;NOM;MASC;SG
bäume	kokā	bäumen	koks	N;NOM;MASC;PL	N;ESS;MASC;SG
bäume	kokiem	bäumen	koks	N;NOM;MASC;PL	N;DAT;MASC;PL
bäume	kokus	bäumen	koks	N;NOM;MASC;PL	N;ACC;MASC;PL
napoleon	napoléon	napoleon	napoléon	PROPN;NOM;MASC;SG	PROPN
napoleon	napoleons	napoleon	napoleons	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
früchte	augļi	früchen	auglis		N;NOM;MASC;PL
früchte	auglis	früchen	auglis		N;NOM;MASC;SG
früchte	augļus	früchen	auglis		N;ACC;MASC;PL
früchte	augļi	früchen	auglis		N;NOM;MASC;PL
fünfte	piektajā	fünft	piektā	ADJ;NOM;FEM;SG	ADJ;ESS;DEF;FEM;SG
nachträglich	novēloti	nachträglich	novēlot	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
brücken	tilts	brücken	tilts	N;NOM;FEM;PL	N;NOM;MASC;SG
brücken	tilta	brücken	tilts	N;NOM;FEM;PL	N;GEN;MASC;SG
wars	kariem	wars	karš		N;DAT;MASC;PL
wars	kari	wars	karš		N;NOM;MASC;PL
unmöglich	neiespējams	unmöglich	neiespējams	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
unmöglich	neiespējami	unmöglich	neiespējami	ADJ	ADV
unmöglich	neiespējamība	unmöglich	neiespējamība	ADJ	N;NOM;FEM;SG
bridge	tilts	bridgen	tilts	PROPN;NOM;SG	N;NOM;MASC;SG
bridge	tilta	bridgen	tilts	PROPN;NOM;SG	N;GEN;MASC;SG
dahinter	aiz	dahinter	aiz	ADV	ADP
moll	moll	moll	moll	PROPN;SG	
nicolas	nicolas	nicolas	nicola	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;PL
pferd	zirgi	pferd	zirgs		N;NOM;MASC;PL
pferd	zirgus	pferd	zirgs		N;ACC;MASC;PL
pferd	zirgs	pferd	zirgs		N;NOM;MASC;SG
pferd	zirga	pferd	zirgs		N;GEN;MASC;SG
pferd	zirgu	pferd	zirgs		N;ACC;MASC;SG
pferd	zirgam	pferd	zirgs		N;DAT;MASC;SG
vergleiche	salīdzinājumi	vergleichen	salīdzinājums		N;NOM;MASC;PL
vergleiche	salīdzina	vergleichen	salīdzināt		V;FH;IND;3;POS;PRS;FIN;ACT
vergleiche	salīdzināt	vergleichen	salīdzināt		V;POS;NFIN
vergleiche	salīdzinājums	vergleichen	salīdzinājums		N;NOM;MASC;SG
vergleiche	salīdzināšana	vergleichen	salīdzināšana		N;NOM;FEM;SG
vincent	vincents	vincent	vincents	PROPN;NOM;SG	N;NOM;MASC;SG
lebensraum	dzīvotņu	lebensraum	dzīvotne	ADJ	N;ACC;FEM;PL
lebensraum	dzīvotnes	lebensraum	dzīvotne	ADJ	N;NOM;FEM;PL
lebensraum	biotopi	lebensraum	biotops	ADJ	N;NOM;MASC;PL
lebensraum	dzīvotnes	lebensraum	dzīvotne	ADJ	N;NOM;FEM;PL
lebensraum	biotopu	lebensraum	biotops	ADJ	N;ACC;FEM;SG
queen	dāma	queen	dāma	PROPN;NOM;SG	N;NOM;FEM;SG
queen	karaliene	queen	karaliene	PROPN;NOM;SG	N;NOM;FEM;SG
queen	queen	queen	queen	PROPN;NOM;SG	
queen	karalienes	queen	karaliene	PROPN;NOM;SG	N;NOM;FEM;PL
chemnitz	chemnitz	chemnitz	chemnitz	PROPN;NOM;SG	
echte	reāli	echt	reāli	ADJ;NOM;FEM;PL	ADV
echte	īstais	echt	īsts	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
echte	īsta	echt	īsta	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
echte	reālā	echt	reāls	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
echte	īsta	echt	īsta	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
echte	patiesu	echt	patiesa	ADJ;NOM;FEM;PL	ADJ;ACC;MASC;SG
wählen	ripu	wählen	ripas	V;NFIN	N;ACC;MASC;SG
intensiv	intensīvi	intensiv	intensīvi	ADJ	ADV
intensiv	intensīvi	intensiv	intensīvi	ADJ	ADV
intensiv	intensīvi	intensiv	intensīvi	ADJ	ADV
intensiv	intensīvi	intensiv	intensīvi	ADJ	ADV
hände	rokām	hand	roka	N;NOM;FEM;PL	N;DAT;FEM;PL
akademischen	akadēmiskā	akademisch	akadēmiska	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
akademischen	akadēmiskais	akademisch	akadēmisks	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
beweis	jāpierāda	beweis	pierādīt		V;POS;FIN;ACT
beweis	pierādīt	beweis	pierādīt		V;POS;NFIN
beweis	apliecinājumi	beweis	apliecinājums		N;NOM;MASC;PL
beweis	pierādījumu	beweis	pierādījums		N;ACC;MASC;SG
beweis	pierādījumi	beweis	pierādījums		N;NOM;MASC;PL
beweis	pierādījums	beweis	pierādījums		N;NOM;MASC;SG
säulen	balsti	säulen	balsts	V;NFIN	N;NOM;MASC;PL
säulen	pīlāriem	säulen	pīlārs	V;NFIN	N;DAT;MASC;PL
säulen	pīlāri	säulen	pīlāris	V;NFIN	N;NOM;MASC;PL
säulen	kolonnas	säulen	kolonna	V;NFIN	N;NOM;FEM;PL
säulen	ailes	säulen	aile	V;NFIN	N;NOM;FEM;PL
duo	duo	duo	duot		
udssr	psrs	udssr	psrs	PROPN;NOM;MASC;SG	PROPN
einzug	atkāpi	einzug	atkāpe	ADV	N;ACC;FEM;SG
einzug	atkāpes	einzug	atkāpe	ADV	N;NOM;FEM;PL
graben	dziļvaga	graben	dziļvags	V;NFIN	N;NOM;FEM;SG
graben	rokam	graben	rokam	V;NFIN	N;DAT;MASC;SG
graben	grāvis	graben	grāvis	V;NFIN	N;NOM;MASC;SG
bus	bus	bus	bus		
bus	autobuss	bus	autobuss		N;NOM;MASC;SG
berühmten	slavena	berühmt	slavena	ADJ;PL	ADJ;NOM;FEM;SG
berühmten	slavens	berühmt	slavens	ADJ;PL	ADJ;NOM;MASC;SG
berühmten	slavenais	berühmt	slavenais	ADJ;PL	ADJ;NOM;MASC;SG
berühmten	slaveno	berühmt	slavens	ADJ;PL	ADJ;ACC;MASC;SG
bataillon	bataljona	bataillon	bataljons	PROPN	N;GEN;MASC;SG
sarah	sāra	sarah	sāra	PROPN;NOM;SG	PROPN;NOM;FEM;SG
zugriff	piekļūt	zugreifen	piekļūt	N	V;POS;NFIN
zugriff	piekļūst	zugreifen	piekļūt	N	V;FH;IND;3;POS;PRS;FIN;ACT
winkel	leņķis	winkel	leņķis		N;NOM;MASC;SG
winkel	leņķus	winkel	leņķis		N;ACC;MASC;PL
winkel	leņķi	winkel	leņķis		N;ACC;MASC;SG
voraussetzung	priekšnosacījums	voraussetzung	priekšnosacījums		N;NOM;MASC;SG
voraussetzung	priekšnoteikums	voraussetzung	priekšnoteikums		N;NOM;MASC;SG
voraussetzung	priekšnoteikumi	voraussetzung	priekšnoteikums		N;NOM;MASC;PL
voraussetzung	priekšnosacījumi	voraussetzung	priekšnosacījums		N;NOM;MASC;PL
voraussetzung	nosacīts	voraussetzung	nosacīt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
voraussetzung	priekšnosacījums	voraussetzung	priekšnosacījums		N;NOM;MASC;SG
voraussetzung	priekšnoteikums	voraussetzung	priekšnoteikums		N;NOM;MASC;SG
voraussetzung	priekšnoteikumu	voraussetzung	priekšnoteikums		N;ACC;MASC;SG
voraussetzung	nosacījums	voraussetzung	nosacījums		N;NOM;MASC;SG
voraussetzung	stāvoklis	voraussetzung	stāvoklis		N;NOM;MASC;SG
gäbe	būtu	geben	būt	V;IND;SG;3;PRS;FIN	V;COND;POS;FIN;ACT
bewegt	gājiens	bewegen	gājiens	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
bewegt	kustas	bewegen	kustēties	V;IND;SG;3;PRS;FIN	
bewegt	pārvieto	bewegen	pārvietot	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
bewegt	pārcelts	bewegen	pārcelt	V;IND;SG;3;PRS;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
bewegt	pārcelta	bewegen	pārcelt	V;IND;SG;3;PRS;FIN	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
bewegt	pārcelti	bewegen	pārcelt	V;IND;SG;3;PRS;FIN	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
bewegt	pārvietots	bewegen	pārvietot	V;IND;SG;3;PRS;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
nacional	nacional	nacional	nacional	PROPN	PROPN;NOM;FEM;SG
voller	pilnu	voll	pilna		ADJ;ACC;MASC;SG
voller	pilnas	voll	pilna		ADJ;NOM;FEM;PL
voller	pilns	voll	pilns		ADJ;NOM;MASC;SG
voller	pilnā	voll	pilns		ADJ;NOM;FEM;SG
voller	pilni	voll	pilns		ADJ;NOM;MASC;PL
voller	pilna	voll	pilna		ADJ;NOM;FEM;SG
voller	aizpildīts	voll	aizpildīt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
voller	piepildīts	voll	piepildīt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
voller	piepildīta	voll	piepildīt		V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
voller	pārpildīta	voll	pārpildīt		V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
nehme	ņem	nehmen	ņemt	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
pferde	zirgi	pferd	zirgs		N;NOM;MASC;PL
pferde	zirgus	pferd	zirgs		N;ACC;MASC;PL
pferde	zirgs	pferd	zirgs		N;NOM;MASC;SG
pferde	zirga	pferd	zirgs		N;GEN;MASC;SG
pferde	zirgu	pferd	zirgs		N;ACC;MASC;SG
pferde	zirgam	pferd	zirgs		N;DAT;MASC;SG
pferde	zirgu	pferd	zirgs		N;ACC;MASC;SG
erinnerungen	signalizācija	erinnerung	signalizācija	N;NOM;FEM;PL	N;NOM;FEM;SG
erinnerungen	atmiņas	erinnerung	atmiņas	N;NOM;FEM;PL	N;NOM;FEM
erinnerungen	atmiņa	erinnerung	atmiņa	N;NOM;FEM;PL	N;NOM;FEM;SG
erinnerungen	atmiņas	erinnerung	atmiņas	N;NOM;FEM;PL	N;NOM;FEM
blaue	zilais	blau	zils	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
blaue	zils	blau	zils	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
blaue	zila	blau	zils	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
blaue	zilā	blau	zils	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
steiner	steiner	stein	steiner	PROPN	
vorschläge	ierosinājumi	vorschläg	ierosinājums		N;NOM;MASC;PL
vorschläge	priekšlikumi	vorschläg	priekšlikums		N;NOM;MASC;PL
vorschläge	ieteikumi	vorschläg	ieteikums		N;NOM;MASC;PL
vorschläge	ierosinājumi	vorschläg	ierosinājums		N;NOM;MASC;PL
vorschläge	priekšlikumi	vorschläg	priekšlikums		N;NOM;MASC;PL
vorschläge	ieteikums	vorschläg	ieteikums		N;NOM;MASC;SG
vorschläge	ierosinājums	vorschläg	ierosinājums		N;NOM;MASC;SG
railway	dzelzceļš	railway	dzelzceļš	PROPN;NOM;SG	N;NOM;MASC;SG
künstlerin	izpildītājs	künstlerin	izpildītājs	PROPN;NOM;SG	N;NOM;MASC;SG
künstlerin	māksliniece	künstlerin	māksliniece	PROPN;NOM;SG	N;NOM;FEM;SG
künstlerin	mākslinieks	künstlerin	mākslinieks	PROPN;NOM;SG	N;NOM;MASC;SG
höchstens	max	höchstens	maxēt	ADV	
höchstens	maks	höchstens	maks	ADV	N;NOM;MASC;SG
höchstens	makss	höchstens	makss	ADV	PROPN;NOM;MASC;SG
höchstens	galotnēm	höchstens	galotne	ADV	N;DAT;FEM;PL
kriterium	kritērijs	kriterium	kritērijs	ADJ	N;NOM;MASC;SG
münzen	monētas	münzen	monēta	V;NFIN	N;NOM;FEM;PL
münzen	monētas	münzen	monēta	V;NFIN	N;NOM;FEM;PL
münzen	monēta	münzen	monēta	V;NFIN	N;NOM;FEM;SG
münzen	monētu	münzen	monēta	V;NFIN	N;ACC;FEM;SG
lüneburg	lüneburg	lüneburg	lineburg	PROPN;NOM;SG	N;NOM;MASC;SG
admiral	admirālis	admiral	admirālis	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
edgar	edgars	edgar	edgars	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
edgar	edgar	edgar	edgar	PROPN;NOM;MASC;SG	
portugiesischen	portugāles	portugiesisch	portugāle	ADJ;NOM;MASC;PL	N;NOM;FEM;PL
portugiesischen	portugāļu	portugiesisch	portugālis	ADJ;NOM;MASC;PL	N;GEN;MASC;PL
helsinki	helsinkos	helsinki	helsinkis	PROPN;NOM;SG	N;ESS;MASC;PL
helsinki	helsinku	helsinki	helsinka	PROPN;NOM;SG	N;ACC;MASC;SG
übliche	parastā	üblich	parasta	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
übliche	parasti	üblich	parasti	ADJ;NOM;FEM;PL	ADV
sabine	sabīne	sabin	sabīne	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
einzugsgebiet	sateces	eingsgebieten	satece	V;NFIN	N;NOM;FEM;PL
einzugsgebiet	baseins	eingsgebieten	baseins	V;NFIN	N;NOM;MASC;SG
einzugsgebiet	baseina	eingsgebieten	baseins	V;NFIN	N;GEN;MASC;SG
alois	alois	alois	alois	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
sportliche	athletic	sportlich	athletic	ADJ;NOM;FEM;PL	
sportliche	sporta	sportlich	sports	ADJ;NOM;FEM;PL	N;GEN;MASC;SG
greifswald	greifswald	greifswald	greifswalde	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
wiesen	pļavas	weisen	pļava	V;NFIN	N;NOM;FEM;PL
wiesen	ganību	weisen	ganība	V;NFIN	N;ACC;FEM;SG
wiesen	ganības	weisen	ganība	V;NFIN	N;NOM;FEM;PL
wiesen	ganības	weisen	ganība	V;NFIN	N;NOM;FEM;PL
wiesen	pļavas	weisen	pļava	V;NFIN	N;NOM;FEM;PL
wiesen	pļavas	weisen	pļava	V;NFIN	N;NOM;FEM;PL
wiesen	pļavā	weisen	pļava	V;NFIN	N;ESS;FEM;SG
edmund	edmund	edmund	edmund	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
sex	sekss	sex	sekss		N;NOM;MASC;SG
sex	dzimums	sex	dzimums		N;NOM;MASC;SG
boris	boriss	boris	boriss	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
sag	pateikt	saugen	pateikt		V;POS;NFIN
sag	saki	saugen	sacīt		INTJ
sag	teikt	saugen	teikt		V;POS;NFIN
sag	sag	saugen	sagt		
höhle	alas	höhlen	ala		N;NOM;FEM;PL
höhle	alā	höhlen	als		N;ESS;MASC;SG
höhle	ala	höhlen	ala		N;NOM;FEM;SG
höhle	alas	höhlen	ala		N;NOM;FEM;PL
nisi	nisi	nisi	niss		
bruce	brūss	bruce	brūss	PROPN;NOM;SG	PROPN;NOM;MASC;SG
behaupten	apgalvojums	behaupten	apgalvojums	V;NFIN	N;NOM;MASC;SG
behaupten	prasība	behaupten	prasība	V;NFIN	N;NOM;FEM;SG
palast	pilīs	palast	pils	PROPN;SG	N;ESS;FEM;PL
palast	pils	palast	pils	PROPN;SG	N;NOM;FEM;SG
palast	pilij	palast	pilija	PROPN;SG	N;DAT;FEM;SG
palast	palace	palast	palace	PROPN;SG	
wahrscheinlichkeit	varbūtības	wahrscheinlichkeit	varbūtība	ADJ	N;NOM;FEM;PL
wahrscheinlichkeit	varbūtību	wahrscheinlichkeit	varbūtība	ADJ	N;ACC;FEM;SG
wahrscheinlichkeit	iespējamība	wahrscheinlichkeit	iespējamība	ADJ	N;NOM;FEM;SG
wahrscheinlichkeit	varbūtība	wahrscheinlichkeit	varbūtība	ADJ	N;NOM;FEM;SG
wahrscheinlichkeit	iespējamība	wahrscheinlichkeit	iespējamība	ADJ	N;NOM;FEM;SG
wahrscheinlichkeit	varbūtība	wahrscheinlichkeit	varbūtība	ADJ	N;NOM;FEM;SG
lyon	lyon	lyon	lyon	PROPN;NOM;SG	
lyon	lionu	lyon	liona	PROPN;NOM;SG	N;ACC;MASC;SG
ausrichtung	izlīdzināt	ausrichtung	izlīdzināt	ADJ	V;POS;NFIN
ausrichtung	saskaņot	ausrichtung	saskaņot	ADJ	V;POS;NFIN
ausrichtung	orientācijas	ausrichtung	orientācija	ADJ	N;NOM;FEM;PL
ausrichtung	orientācija	ausrichtung	orientācija	ADJ	N;NOM;FEM;SG
ausrichtung	saskaņošana	ausrichtung	saskaņošana	ADJ	N;NOM;FEM;SG
ausrichtung	saskaņošanu	ausrichtung	saskaņošana	ADJ	N;ACC;FEM;SG
ausrichtung	izlīdzināšana	ausrichtung	izlīdzināšana	ADJ	N;NOM;FEM;SG
archäologische	arheoloģijas	archäologisch	arheoloģija	ADJ;NOM;FEM;PL	N;NOM;FEM;PL
magnus	magnuss	magnus	magnuss	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
werft	werft	werfen	werft	N;NOM;FEM;SG	
werft	būvētavas	werfen	būvētava	N;NOM;FEM;SG	N;NOM;FEM;PL
freiwillige	brīvprātīgs	freiwillig	brīvprātīgs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
freiwillige	brīvprātīga	freiwillig	brīvprātīga	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
freiwillige	brīvprātīgais	freiwillig	brīvprātīgs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
freiwillige	brīvprātīgi	freiwillig	brīvprātīgi	ADJ;NOM;FEM;PL	ADV
freiwillige	brīvprātīgais	freiwillig	brīvprātīgs	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
freiwillige	brīvprātīgā	freiwillig	brīvprātīga	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
freiwillige	brīvprātīgo	freiwillig	brīvprātīga	ADJ;NOM;FEM;PL	ADJ;ACC;MASC;SG
böse	dusmīgs	böse	dusmīgs		ADJ;NOM;MASC;SG
böse	dusmīga	böse	dusmīga		ADJ;NOM;FEM;SG
böse	slikts	böse	slikts		ADJ;NOM;MASC;SG
böse	slikta	böse	slikta		ADJ;NOM;FEM;SG
böse	slikti	böse	slikti		ADV
böse	ļauni	böse	ļauni		ADJ;NOM;MASC;PL
böse	ļaunums	böse	ļaunums		N;NOM;MASC;SG
böse	ļaunumu	böse	ļaunums		N;ACC;MASC;SG
böse	ļauns	böse	ļauns		ADJ;NOM;MASC;SG
manchester	manchester	manchester	manchester	PROPN;NOM;MASC;SG	
gesellschaften	sabiedrības	gesellschaft	sabiedrība	ADJ	N;NOM;FEM;PL
gesellschaften	korporācijas	gesellschaft	korporācija	ADJ	N;NOM;FEM;PL
gesellschaften	uzņēmējsabiedrības	gesellschaft	uzņēmējsabiedrība	ADJ	N;NOM;FEM;PL
gesellschaften	kompānijas	gesellschaft	kompānija	ADJ	N;NOM;FEM;PL
gesellschaften	uzņēmumi	gesellschaft	uzņēmums	ADJ	N;NOM;MASC;PL
gesellschaften	biedrības	gesellschaft	biedrība	ADJ	N;NOM;FEM;PL
gesellschaften	sabiedrības	gesellschaft	sabiedrība	ADJ	N;NOM;FEM;PL
affäre	skandāls	affäre	skandāls	ADJ;SG	N;NOM;MASC;SG
serbien	melnkalne	Serbien	melnkalne		N;NOM;FEM;SG
serbien	serbijas	Serbien	serbija		PROPN;NOM;FEM;SG
serbien	serbija	Serbien	serbija		N;NOM;FEM;SG
serbien	serbijā	Serbien	serbija		N;ESS;FEM;SG
serbien	kosova	Serbien	kosovs		N;NOM;FEM;SG
küche	restorāni	küchen	restorāns	N;NOM;FEM;SG	N;NOM;MASC;PL
küche	restorānos	küchen	restorāns	N;NOM;FEM;SG	N;ESS;MASC;PL
küche	virtuves	küchen	virtuve	N;NOM;FEM;SG	N;NOM;FEM;PL
ontario	ontario	ontario	ontario	PROPN;NOM;SG	
messen	mērīšana	messen	mērīšana	V;NFIN	N;NOM;FEM;SG
messen	mērīšanas	messen	mērīšana	V;NFIN	N;NOM;FEM;SG
messen	izstādēs	messen	izstāde	V;NFIN	N;ESS;FEM;PL
messen	izstādes	messen	izstāde	V;NFIN	N;NOM;FEM;PL
