de	say	de	say		
abu	abu	abu	abu	PROPN;NOM;SG;3	
elçi	대사	elçi	대사		N
ateşli	뜨거운	ateşli	뜨겁+ㄴ		ADJ
kralları	킹스	kral	킹스	N;ACC;PL;3	
saygın	존경하는	saygın	존경+하+는		V
otomotiv	자동차	otomotiv	자동차		N
takvim	달력	takvim	달력		N
takvim	달력	takvim	달력		N
sistematik	체계적	sistematik	체계+적		N
basıldı	인쇄물	basıl	인쇄물		N
basıldı	인쇄	basıl	인쇄		N
fil	주교	fil	주교		N
seul	서울	seul	서울	PROPN;NOM;SG;3	PROPN
geliştirildi	선진	geliş	선진	V;PFV;IND;SG;3;POS;PST;PASS	
tanrıça	여신	tanrıç	여신	N;NOM;SG;3	
taşıyıcı	항공사	taşıyıcı	항공사		N
taşıyıcı	통신사	taşıyıcı	통신사		N
romeo	romeo	romeo	romeo		
öldürülen	살해	öl	살해	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
öldürülen	살인	öl	살인	V;PFV;IND;POS;PRS;V.PTCP;PASS	
tutuklu	포로	tutuklu	포로		N
saatlik	시간마다	saatlik	시간+마다		ADV
saatlik	시간별	saatlik	시간별		N
vatikan	바티칸	vatikan	바티칸		PROPN
happy	행복	happy	행복		N
happy	행복해	happy	행복+하+어		CONJ
happy	행복한	happy	행복+하+ㄴ		V
bilgin	학자	bilgin	학자		N
doğulu	동부	doğul	동부		N
sağa	오른쪽	sağ	오른쪽		N
station	역시	station	역시	N;NOM;SG;3	ADV
etkilenen	영향받음	etkile	영향받+ㅁ	V;PFV;IND;POS;PRS;V.PTCP;PASS	
etkilenen	영향권	etkile	영향권	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
colorado	콜로라도	color	콜로라도	PROPN;NOM;SG;3	PROPN
danimarkalı	덴마크어	danimarkalı	덴마크+어	ADJ	
danimarkalı	덴마크	danimarkalı	덴마크	ADJ	PROPN
dışarıya	밖에서	dışarı	밖+에서	N;DAT;SG;3	ADV
dışarıya	외부	dışarı	외부	N;DAT;SG;3	
tower	타워	tower	타우+어	N;NOM;SG;3	
alıntı	따옴표	al	따옴표		V
alıntı	인용	al	인용		N
alıntı	발췌	al	발췌		N
alıntı	따옴표	al	따옴표		V
alıntı	인용	al	인용		N
alıntı	인용된	al	인용+되+ㄴ		V
alıntı	따옴표	al	따옴표		V
alıntı	인용	al	인용		N
panama	파나마	pana	파나마	PROPN;NOM;SG;3	PROPN
panama	파나마	pana	파나마	PROPN;NOM;SG;3	PROPN
sohbet	대화하기	sohbet	대화+하+기	N;NOM;SG;3	V
yöneticileri	매니저	yönetici	매니저	N;NOM;PL;3	
yöneticileri	운영자	yönetici	운영자	N;NOM;PL;3	
yöneticileri	운영자	yönetici	운영자	N;NOM;PL;3	
değiştir	수정	değiş	수정		N
değiştir	교체	değiş	교체		N
değiştir	대체	değiş	대체		ADV
değiştir	바꾸기	değiş	바꾸+기		V
değiştir	스위치	değiş	스위치		N
değiştir	switch	değiş	switch		
değiştir	전환	değiş	전환		N
değiştir	바꾸기	değiş	바꾸+기		V
değiştir	바뀌기	değiş	바뀌+기		V
değiştir	변화	değiş	변화		N
değiştir	변경	değiş	변경		N
değiştir	바꾸기	değiş	바꾸+기		V
soğan	양파	soğ	양파	N;NOM;SG;3	
soğan	양파	soğ	양파	N;NOM;SG;3	
claudius	클라우디우스	claudius	클라우디우스		PROPN
dizel	디젤	dizel	디젤		N
dizayn	디자인	dizayn	디자+이+ㄴ	N;NOM;SG;3	
felipe	펠리페	fel	펠리페	PROPN;NOM;SG;3	PROPN
haç	십자가	haç	십자가		N
korudu	보호	koru	보호	V;PFV;IND;SG;3;POS;PST	N
muhafazakar	보수주의	muhafazak	보수주의	ADJ	N
muhafazakar	보수	muhafazak	보수	ADJ	N
düşünerek	생각	düşün	생각	V;PFV;IND;POS;PRS;V.CVB	
bozuk	깨짐	bozuk	깨+ㅁ		V
bozuk	깨진	bozuk	깨+어+지+ㄴ		V
çiftçi	농부	çiftçi	농부		N
çiftçi	농부	çiftçi	농부		N
belgesi	인증서	belge	인증서		N
belgesi	증명서	belge	증명서		N
monica	모니카	monica	모니카	PROPN;NOM;SG;3	
önerilen	추천	öner	추천	V;PFV;IND;POS;PRS;V.PTCP;PASS	
önerilen	추천	öner	추천	V;PFV;IND;POS;PRS;V.PTCP;PASS	
önerilen	권장	öner	권장	V;PFV;IND;POS;PRS;V.PTCP;PASS	
gösterim	노출	göster	노출		N
gösterim	상영	göster	상영		N
gösterim	시사회	göster	시사회		N
gösterim	노출	göster	노출		N
somali	소말리아	somali	소말리아		PROPN
çevrildi	번역	çevir	번역	V;PFV;IND;SG;3;POS;PST;PASS	
face	얼굴	face	얼굴		N
face	얼굴이	face	얼굴+이		N
çevrimiçi	온라인	çevrimiçi	오르+아+이+ㄴ	N;NOM;SG;3	
üyelik	멤버	üyelik	멤버	N;NOM;SG;3	
aniden	갑작스럽게	aniden	갑작스럽+게	ADV	
antoine	앙투안	anto	앙투안		PROPN
emirlikleri	에미리트	emirlik	에미리트	N;ACC;PL;3	
lojistik	물류	lojistik	물류		N
kargo	화물	kargo	화물		N
kargo	화물	kargo	화물		N
kargo	운송	kargo	운송		N
kargo	배송	kargo	배송		N
kargo	발송	kargo	발송		N
speed	속력	speed	속력		N
speed	스피드	speed	스피드		N
şüphe	의심스러운	şüphe	의심+스럽+ㄴ		V
belçikalı	벨기에	belçikalı	벨기에	PROPN;NOM;SG;3	PROPN
sheffield	셰필드	sheffield	셰필드	PROPN;NOM;SG;3	PROPN
çalışıyor	웍스	çalış	웍스	V;PROG;IND;SG;3;POS;INFM;PRS	
çalışıyor	작동	çalış	작동	V;PROG;IND;SG;3;POS;INFM;PRS	N
çalışıyor	작품	çalış	작품	V;PROG;IND;SG;3;POS;INFM;PRS	N
çalışıyor	일하기	çalış	일하+기	V;PROG;IND;SG;3;POS;INFM;PRS	
doruk	봉우리	doruk	봉우리		N
doruk	클라이맥스	doruk	클라이맥스		N
michelle	미셸	michel	미셸		PROPN
oslo	오슬로	oslo	오슬+로	PROPN;NOM;SG;3	PROPN
dansçı	댄서	dansçı	대+서		N
dansçı	dancer	dansçı	dancer		
dedektif	형사	dedek	형사		N
dedektif	탐정	dedek	탐정		N
yakınındaki	근처	yakınındaki	근처	ADJ;ESS;SG;3	
saklı	숨김	saklı	숨김		N
saklı	숨겨져	saklı	숨기+어+지+어		V
saklı	숨겨진	saklı	숨기+어+지+ㄴ		V
bileşik	합성	bileşik	합성		N
bileşik	컴포지트	bileşik	컴포지트		N
bileşik	화합물	bileşik	화합물		N
bileşik	복합	bileşik	복합		N
bileşik	복합체	bileşik	복합체		N
jessica	제시카	jessica	제시카		N
express	익스프레스	express	익스프레스	PROPN;NOM;SG;3	
berkeley	버클리	berkeley	버클리	PROPN;NOM;SG;3	
tuhaf	이상한	tuhaf	이상+하+ㄴ	N;NOM;SG;3	V
tuhaf	이상하다	tuhaf	이상+하+다	N;NOM;SG;3	V
tuhaf	괴짜	tuhaf	괴짜	N;NOM;SG;3	
tuhaf	이상한	tuhaf	이상+하+ㄴ	N;NOM;SG;3	V
tuhaf	odd	tuhaf	odd	N;NOM;SG;3	
şüpheli	용의자	şüpheli	용의자		N
şüpheli	의심스러운	şüpheli	의심+스럽+ㄴ		V
şüpheli	용의자	şüpheli	용의자		N
şüpheli	의심스럽다	şüpheli	의심+스럽+다		V
hâkim	판사	hâkim	판사		N
basket	바스켓	basket	바스켓	N;NOM;SG;3	
basket	바구니	basket	바구니	N;NOM;SG;3	
marcel	마르셀	marcel	마르+고		PROPN
açı	각도	aç	각도		N
anma	기념비	an	기념비		N
anma	기념관	an	기념관		N
leonardo	레오나르도	leonar	레오나르+도		PROPN
gustav	구스타프	gustav	구스타프	PROPN;NOM;SG;3	PROPN
insani	인간	insani	인간		N
insani	인체	insani	인체		N
insani	인간인	insani	인간인		V
camp	캠프	camp	캠프	N;NOM;SG;3	
toulouse	툴루즈	toulouse	툴루즈	PROPN;NOM;SG;3	PROPN
etkileyici	인상적이다	etkileyici	인상+적+이+다		CONJ
etkileyici	매혹적인	etkileyici	매혹+적+이+ㄴ		V
etkileyici	매력적인	etkileyici	매력+적+이+ㄴ		V
etkileyici	매력	etkileyici	매력		N
toplar	대포	top	대포		N
istatistiksel	통계학	istatistiksel	통계학	ADJ	N
rafael	라파엘	rafael	라파엘	PROPN;NOM;SG;3	PROPN
bireyler	개인	birey	개인	N;NOM;PL;3	
yetki	권위	yetki	권위		N
yetki	승인	yetki	승인		N
sakinleri	레지던트	sakin	레지던트	N;ACC;PL;3	
mekan	장소	mekan	장소		N
mekan	공연장	mekan	공연장		N
ceo	최고경영자	ceo	최고+경영자		N
integral	적분	integral	적분		N
halı	융단	hal	융단	N;NOM;SG;3	
halı	카펫	hal	카펫	N;NOM;SG;3	
halı	융단	hal	융단	N;NOM;SG;3	
halı	카펫	hal	카펫	N;NOM;SG;3	
halı	융단	hal	융단	N;NOM;SG;3	
lens	렌즈	lens	렌즈		N
hubble	허블	hubble	허블		N
teker	바퀴	teker	바퀴		N
uygunsuz	불편	uygunsuz	불편		N
uygunsuz	불편함	uygunsuz	불편+하+ㅁ		V
uygunsuz	불편한	uygunsuz	불편+하+ㄴ		V
uygunsuz	부적절한	uygunsuz	부적절+하+ㄴ		V
izleyici	시청자	izleyici	시청자		N
izleyici	감시	izleyici	감시		N
izleyici	타겟	izleyici	타산		N
izleyici	관객	izleyici	관객		N
saldırgan	공격자가	saldırgan	공격자+가		N
saldırgan	공격적	saldırgan	공격+적		N
nişancı	스나이퍼	nişancı	스나이퍼	N;NOM;SG;3	
dönmüş	회전	dön	회전	V;PFV;NFH;IND;SG;3;POS;PST	N
proton	양성자	proton	양성자		N
proton	양성자	proton	양성자		N
tamamlanmış	완료	tamamla	완료	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N
tamamlanmış	완료	tamamla	완료	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N
tamamlanmış	완성	tamamla	완성	V;PFV;NFH;IND;SG;3;POS;PST;PASS	N
tilki	여우	tilki	여우		N
perküsyon	타악기	perküsyon	타악기		N
kabaca	대충	kaba	대충		ADV
tropikal	열대	tropikal	열대	N;NOM;SG;3	
makedon	마케도니아	makedon	마케도니아		PROPN
makedon	마케도니아인	makedon	마케도니아인		V
wembley	웸블리	wembley	웸블리	PROPN;NOM;SG;3	PROPN
mantar	곰팡이	mantar	곰팡이		N
mantar	곰팡이	mantar	곰팡이		N
hope	희망	hope	희망		N
deneyimli	경험	deneyimli	경험		N
deneyimli	양념	deneyimli	양념		N
spears	스피어스	spears	스피어스		PROPN
paketi	소포	paket	소포	N;NOM;SG;3	
paketi	패키지	paket	패키+지	N;NOM;SG;3	
özbek	우즈베키스탄	özbek	우즈베키스탄		PROPN
tünel	터널	tünel	터널		N
tünel	터널	tünel	터널		N
hamile	임신	hamile	임신		N
satılan	판매	sat	판매	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
kapanış	닫힘	kapa	닫+천	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	
kapanış	폐쇄	kapa	폐쇄	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N
kapanış	닫기	kapa	닫+기	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	
kapanış	epilogue	kapa	epilogue	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	
nintendo	닌텐도	nintendo	긴텐도	PROPN;NOM;SG;3	PROPN
trans	트랜스월드	trans	트랜스월드		PROPN
orleans	올리언스	orleans	올리언스	PROPN;NOM;SG;3	
diana	diana	dian	diana		
gnu	gnu	gn	gnu		
wien	wien	wien	wien	PROPN;NOM;SG;3	
tanıtımı	프로모션	tanıtım	프로모션	N;NOM;SG;3	
tanıtımı	홍보하기	tanıtım	홍보+하+기	N;NOM;SG;3	V
glasgow	글래스고	glasgow	글래스+고	PROPN;NOM;SG;3	PROPN
duvarları	성벽	duvar	성벽	N;ACC;PL;3	
sevda	사랑	sevda	사랑		N
tören	의식	tör	의식		N
tören	의식	tör	의식		N
çekirdeği	핵심	çekir	핵심	N;NOM;SG;3	
çekirdeği	코어	çekir	코어	N;NOM;SG;3	
memphis	멤피스	memphis	멤피스	PROPN;NOM;SG;3	PROPN
cadı	마녀	cadı	마녀		N
patlayıcı	폭발물	patlayıcı	폭발물		N
patlayıcı	폭발물	patlayıcı	폭발물		N
ufuk	skyline	ufuk	skyline		
kader	운명	kader	운명		N
kader	운명	kader	운명		N
werner	베르너	werner	베르너	PROPN;NOM;SG;3	PROPN
nem	습도	nem	습+도		N
çılgın	야생	çılgın	야생		N
çılgın	미쳐	çılgın	미치+어		CONJ
üstünlük	우월한	üstünlük	우월+하+ㄴ	N;NOM;SG;3	V
üstünlük	우월	üstünlük	우월	N;NOM;SG;3	
yarıda	중단됨	yarı	중단+되+ㄴ	N;ESS;SG;3	V
radar	레이더	radar	레이더		N
porno	포르노그래피	porno	포르노그래피		N
madison	매디슨	madison	매디슨	PROPN;NOM;SG;3	
patinaj	스케이트	patinaj	스케이트	N;NOM;SG;3	
kürtler	쿠르드족	kürt	쿠르드족	N;NOM;PL;3	PROPN
adın	이름	ad	이름		N
kobe	고베	kobe	고베	PROPN;NOM;SG;3	
wanderers	원더러스	wanderers	원더러스	PROPN;NOM;SG;3	PROPN
taktik	전략	taktik	전략		N
taktik	전술	taktik	전술		N
taktik	전술	taktik	전술		N
taktik	전술	taktik	전술		N
geyik	무스	geyik	무스	N;NOM;SG;3	
siteleri	사이트	site	사이트	N;ACC;PL;3	
siteleri	웹사이트	site	웹사이트	N;ACC;PL;3	
noktalar	dots	nokta	dots	N;NOM;PL;3	
noktalar	반점	nokta	반점	N;NOM;PL;3	
noktalar	지점	nokta	지점	N;NOM;PL;3	
noktalar	포인트	nokta	포인트	N;NOM;PL;3	
noktalar	스팟	nokta	스팟	N;NOM;PL;3	
noktalar	반점	nokta	반점	N;NOM;PL;3	
yuva	집에	yuva	집+에		ADV
yuva	집으로	yuva	집+으로		ADV
uzayı	공간	uza	공간		N
uzayı	우주	uza	우주		N
por	por	por	por		
montana	몬태나	monta	몬태+나		PROPN
orda	거기	ora	거기	N;ESS;SG;3	
orda	거기에	ora	거기+에	N;ESS;SG;3	ADV
koltuk	자리	koltuk	자리	N;NOM;SG;3	
yara	부상	yara	부상		N
yara	부상	yara	부상		N
birleşmesi	합병	birleş	합병	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
icd	icd	icd	icd		
alabama	앨라배마	alaba	앨라배마	PROPN;NOM;SG;3	PROPN
çevreleyen	둘러싸인	çevrele	둘러싸+이+ㄴ	V;PFV;IND;POS;PRS;V.PTCP	
bombası	유탄	bomba	유탄		N
bombası	수류탄	bomba	수류탄		N
montreal	몬트리올	montreal	몬트리올	PROPN;NOM;SG;3	PROPN
masters	마스터즈	masters	마스터즈		N
masters	마스터스	masters	마스터스		N
fikirleri	아이디어	fikir	아이디어	N;NOM;PL;3	
engeller	차단	engel	차단		N
engeller	장애물	engel	장애물		N
lorenzo	로렌조	lorenzo	로렌조	PROPN;NOM;SG;3	
cehennem	인페르노	cehenne	인페르노	N;NOM;SG;3	
çarpışma	영향	çarpış	영향	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çarpışma	영향력	çarpış	영향력	V;PFV;NOM;IND;POS;PRS;V.MSDR	
çarpışma	임팩트	çarpış	임팩트	V;PFV;NOM;IND;POS;PRS;V.MSDR	
çarpışma	충돌	çarpış	충돌	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
atmosfer	대기	atmosfer	대기		N
kompozisyon	세이	kompozisyon	세이	N;NOM;SG;3	
kompozisyon	에세이	kompozisyon	에세이	N;NOM;SG;3	
haberleşme	의사소통	haberleş	의사+소통		N
haberleşme	커뮤니케이션	haberleş	커뮤니케이션		N
haberleşme	소통	haberleş	소통		N
haberleşme	통신	haberleş	통신		N
haberleşme	통신	haberleş	통신		N
haberleşme	통신	haberleş	통신		N
haberleşme	커뮤니케이션	haberleş	커뮤니케이션		N
haberleşme	통신	haberleş	통신		N
sihirli	마술	sihirli	마술		N
sihirli	마법	sihirli	마법		N
sihirli	magic	sihirli	magic		
sihirli	마법	sihirli	마법		N
korsan	해커	kors	하+어+커+ㄴ	V;PFV;SG;2;POS;PRS	
church	교회	church	교회	PROPN;NOM;SG;3	N
ot	화분	ot	화분		N
ot	잔디	ot	잔디		N
fukuoka	후쿠오카	fukuoka	후쿠오카	PROPN;NOM;SG;3	PROPN
fiziği	체격	fizik	체격	N;NOM;SG;3	
split	스플리트	split	스플리트	PROPN;NOM;SG;3	PROPN
split	스플릿	split	스플릿	PROPN;NOM;SG;3	
split	분할	split	분할	PROPN;NOM;SG;3	
split	나누기	split	나누+기	PROPN;NOM;SG;3	
tugay	여단	tugay	여단		N
fransızlar	프랑스	fransız	프랑스	N;NOM;PL;3	PROPN
fransızlar	프랑스어	fransız	프랑스어	N;NOM;PL;3	PROPN
fransızlar	프렌치	fransız	프렌치	N;NOM;PL;3	
ein	ein	ein	ein	INTJ	
bakteri	세균	bakteri	세균		N
bakteri	박테리아	bakteri	박테리아		N
bakteri	박테리아	bakteri	박테리아		N
tekil	독특한	tekil	독특+하+ㄴ		V
url	url	url	url	N;NOM;SG;3	
kaldırma	상승	kaldırma	상승		N
kaldırma	승강기	kaldırma	승강기		N
kaldırma	제거	kaldırma	제거		N
gregory	그레고리	gregory	그레고리		PROPN
gregory	그레고리우스	gregory	그레고리우스		PROPN
aşı	백신	aş	백신		N
aşı	접종	aş	접종		N
aşı	백신	aş	백신		N
feneri	등대	fener	등대		N
atanan	할당된	ata	할당+되+ㄴ		V
esasen	본질적으로	esasen	본질+적+으로		ADV
dimitri	드미트리	dimitri	드미트리		PROPN
duyuruldu	발표	duyur	발표	V;PFV;IND;SG;3;POS;PST;PASS	N
şiddetle	강력하게	şiddet	강력+하+게	N;INS;SG;3	CONJ
ajan	요원	aj	요원		N
ajan	대리인	aj	대리+이+ㄴ		N
harrison	해리슨	harrison	해리슨	PROPN;NOM;SG;3	
logosu	로고	logo	로고	N;NOM;SG;3	
kaçak	런어웨이	kaçak	런어웨+이		PROPN
çevirmen	번역기	çevir	번역기		N
çevirmen	통역	çevir	통역		N
çevirmen	번역기	çevir	번역기		N
korunma	보호	korun	보호		N
devil	악마	devil	악마		N
connecticut	코네티컷	connecticut	코네티컷		PROPN
uyku	수면	uyku	수면		N
meksikalı	멕시코인	meksikalı	멕시코인		V
meksikalı	멕시코	meksikalı	멕시코		PROPN
tanıma	인식	tanım	인식		N
rakam	숫자	rakam	숫자		N
rakam	숫자	rakam	숫자		N
rakam	숫자	rakam	숫자		N
rakam	번호	rakam	번호		N
görüşmeler	토론	görüşme	토론	N;NOM;PL;3	
görüşmeler	회의	görüşme	회의	N;NOM;PL;3	
imal	제조	imal	제조		N
asil	귀족	asil	귀족		N
hotspur	핫스퍼	hotspur	핫스퍼	PROPN;NOM;SG;3	
biter	종료	bit	종료	V;IPFV;IND;SG;3;POS	N
esnek	유연성	esnek	유연성		N
esnek	탄성	esnek	탄성		N
esnek	flex	esnek	flex		
cameron	캐머런	cameron	캐머렇+ㄴ	PROPN;NOM;SG;3	PROPN
cameron	카메론	cameron	카메론	PROPN;NOM;SG;3	
şikâyet	불만	şikâyet	불만		N
günah	sin	günah	sin		
mide	위장	mide	위장		N
parma	파르마	parma	파르마	PROPN;NOM;SG;3	PROPN
denizci	해병대	denizci	해병대		N
vestfalya	베스트팔렌	vestfalya	베스트팔렌	PROPN;NOM;SG;3	PROPN
crystal	크리스털	crystal	크리스털	PROPN;NOM;SG;3	
crystal	크리스탈	crystal	크리스탈	PROPN;NOM;SG;3	
julian	율리우스	julian	율리우스		PROPN
duyarlı	민감한	duyarlı	민감+하+ㄴ		V
duyarlı	민감하다	duyarlı	민감+하+다		V
şampiyonları	챔피언스	şampiyon	後피언스	N;NOM;PL;3	
etken	인자	etken	인자		N
etken	요인	etken	요인		N
zincir	체인	zincir	체인	N;NOM;SG;3	
zincir	체인	zincir	체인	N;NOM;SG;3	
depo	웨어하우스	depo	웨어하우스		N
depo	저장소	depo	저장소		N
depo	스토리지	depo	스토리+지		N
depo	저장소	depo	저장소		N
nişan	조준	nişan	조준		N
nişan	약혼	nişan	약혼		N
nişan	참여	nişan	참여		N
stanford	스탠퍼드	stanford	스탠퍼드	PROPN;NOM;SG;3	
stanford	스탠포드	stanford	스탠포드	PROPN;NOM;SG;3	
başlıkları	헤드라인	başlık	헤드라인	N;ACC;PL;3	
hac	순례	hac	순례		N
hac	순례지	hac	순례지		N
planlı	예정된	planlı	예정+되+ㄴ		V
planlı	계획	planlı	계획		N
protokol	프로토콜	protokol	프로토콜		N
edinburgh	에든버러	edinburgh	에든버러	PROPN;NOM;SG;3	PROPN
cadde	스트리트	cadde	스트리트	N;NOM;SG;3	
cadde	길거리	cadde	길거리	N;NOM;SG;3	
tanımlama	정의	tanımla	정의	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tanımlama	증명	tanımla	증명	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tanımlama	식별	tanımla	식별	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tanımlama	신분증	tanımla	신분증	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tanımlama	설명	tanımla	설명	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tanımlama	묘사	tanımla	묘사	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
rovers	로버스	rovers	로버스		PROPN
tutulması	일식	tut	일식	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	
tutulması	이클립스	tut	이클립스	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	
torres	토레스	torres	토레스	PROPN;NOM;SG;3	PROPN
kompleks	복합체	kompleks	복합체		N
eskimo	에스키모	eskimo	에스키모		PROPN
eskimo	에스키모	eskimo	에스키모		PROPN
ekvador	에콰도르	ekvador	에콰도르	PROPN;NOM;SG;3	PROPN
çeşitlilik	버라이어티	çeşitlilik	버라이어티	N;NOM;SG;3	
barselona	바르셀로나	barselon	바르셀로나	PROPN;NOM;SG;3	PROPN
çekilmesi	철수	çek	철수	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N
çekilmesi	금단	çek	금단	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	
fosil	화석	fosil	화석		N
silindir	실린더	sil	실린더	V;PFV;IND;SG;3;POS;PST;PASS	N
market	식료품	market	식료품		N
market	식품	market	식품		N
market	시장	market	시장		N
defteri	공책	defteri	공책	N;NOM;SG;3	
nbc	nbc	nbc	nbc		
milyonlarca	수백만	milyonlarca	수백만	NUM	
dâhil	포함됨	dâhil	포함+되+ㄴ		V
winter	겨울	winte	겨울	PROPN;NOM;SG;3	N
winter	윈터	winte	윈터	PROPN;NOM;SG;3	
iade	환불	iade	환불		N
iade	반환	iade	반환		N
iade	반납	iade	반납		N
iade	반환	iade	반환		N
iade	귀환	iade	귀환		N
iade	복귀	iade	복귀		N
sola	좌파	sola	좌파		N
desteklenen	지원	destekle	지원	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
komut	명령	komut	명령		N
komut	명령어	komut	명령+어		N
komut	명령	komut	명령		N
komut	명령어	komut	명령+어		N
komut	사령부	komut	사령부		N
yöneticiler	매니저	yönetici	매니저	N;NOM;PL;3	
yöneticiler	운영자	yönetici	운영자	N;NOM;PL;3	
yöneticiler	운영자	yönetici	운영자	N;NOM;PL;3	
görüşme	인터뷰	görüşme	인터뷰		N
görüşme	면접	görüşme	면접		N
baltimore	볼티모어	baltimore	볼티모어	PROPN;NOM;SG;3	PROPN
pazarı	마켓	pazar	마켓	N;ACC;SG;3	
aydınlık	가볍게	aydınlık	가볍+게	N;NOM;SG;3	CONJ
aydınlık	가벼운	aydınlık	가볍+ㄴ	N;NOM;SG;3	ADJ
aydınlık	라이트	aydınlık	라이트	N;NOM;SG;3	
aydınlık	가벼움	aydınlık	가벼움	N;NOM;SG;3	
aydınlık	밝아	aydınlık	밝+아	N;NOM;SG;3	
aydınlık	밝고	aydınlık	밝+고	N;NOM;SG;3	
aydınlık	밝은	aydınlık	밝+ㄴ	N;NOM;SG;3	
aydınlık	밝게	aydınlık	밝+게	N;NOM;SG;3	
felix	펠릭스	felix	펠릭스		PROPN
maryland	메릴랜드	marylan	메릴랜드	PROPN;NOM;SG;3	PROPN
sorar	물어본다	sor	묻+어+보+ㄴ다		V
brad	브래드	brad	브래드		PROPN
kilit	잠금	kilit	잠금		N
kilit	잠금	kilit	잠금		N
sektörü	부문	sektör	부문		N
tecrübeli	경험	tecrübeli	경험		N
borç	채무	borç	채무		N
borç	융자	borç	융자		N
borç	대출	borç	대출		N
borç	채무	borç	채무		N
viktor	빅토르	viktor	빅토르		PROPN
spurs	스퍼스	spurs	스퍼스	PROPN;NOM;SG;3	
çifti	커플	çift	커플	ADJ;NOM;SG;3	N
çifti	부부	çift	부부	ADJ;NOM;SG;3	N
tanık	증인	tanık	증인		N
tanık	목격자	tanık	목격자		N
tanık	목격자	tanık	목격자		N
tanık	증인	tanık	증인		N
tanık	증언	tanık	증언		N
belarus	벨라루스	belarus	벨라루스	PROPN;NOM;SG;3	PROPN
çömlek	도자기	çömlek	도자기		N
asistanı	조수	asistan	조수	N;ACC;SG;3	
aileleri	가족	aile	가족	N;ACC;PL;3	
jamie	제이미	jamie	제이미		PROPN
boğa	황소자리	boğa	황소자리		N
norveçli	노르웨이	norveçli	노르웨이		PROPN
mutfak	부엌	mutfak	부엌		N
mutfak	주방	mutfak	주방		N
eleştirmen	평론	eleştir	평론		N
eleştirmen	크리틱스	eleştir	크리틱스		PROPN
eleştirmen	비평가	eleştir	비평가		N
carolina	카롤리나	carol	카롤리+나	PROPN;NOM;SG;3	
carolina	캐롤라이나	carol	캐롤라이나	PROPN;NOM;SG;3	
cihazlar	디바이스	cihaz	디바이스	N;NOM;PL;3	
okumak	읽음	oku	읽+ㅁ	V;PFV;NOM;IND;POS;PRS;V.MSDR	
okumak	읽어보기	oku	읽+어+보+기	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
okumak	독서	oku	독서	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
sembol	기호	sembol	기호		N
sembol	상징	sembol	상징		N
christina	크리스티나	christin	크리스티나	PROPN;DAT;SG;3	PROPN
keşfi	발견	keşif	발견		N
chaplin	채플린	chaplin	채플린		PROPN
tay	colt	tay	colt		
foster	포스터	foster	포스터	PROPN;NOM;SG;3	
foster	포스터	foster	포스터	PROPN;NOM;SG;3	
fotoğrafçı	사진관	fotoğrafçı	사진관		N
fotoğrafçı	포토그래퍼	fotoğrafçı	포토그래퍼		N
fotoğrafçı	사진작가	fotoğrafçı	사진작가		N
soykırım	홀로코스트	soykırım	홀로코스트		PROPN
ibm	ibm	ibm	ibm		
faith	신념	faith	신념		N
faith	신앙	faith	신앙		N
çizim	스케치	çiz	스케치		N
çizim	그리기	çiz	그리+기		V
ihracat	내보내기	ihracat	내보내+기		V
ihracat	수출	ihracat	수출		N
ihracat	내보내기	ihracat	내보내+기		V
ihracat	수출	ihracat	수출		N
infaz	처형	infaz	처형		N
infaz	실행	infaz	실행		N
yüzük	링링	yüzük	링링	N;NOM;SG;3	
yüzük	고리	yüzük	고리	N;NOM;SG;3	
genişleme	팽창	genişle	팽창	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
genişleme	팽창	genişle	팽창	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
genişleme	급팽창	genişle	급팽창	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
genişleme	전개	genişle	전개	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
