amino	amino	amino	amină		N;INDF;MASC;SG
ameliyat	chirurgie	ameliyat	chirurgie	N;NOM;SG;3	N;INDF;FEM;SG
ameliyat	chirurgia	ameliyat	chirurgie	N;NOM;SG;3	N;DEF;FEM;SG
ameliyat	operație	ameliyat	operație	N;NOM;SG;3	N;INDF;FEM;SG
ameliyat	operațiune	ameliyat	operațiune	N;NOM;SG;3	N;INDF;FEM;SG
ameliyat	operațiunea	ameliyat	operațiune	N;NOM;SG;3	N;DEF;FEM;SG
ameliyat	operaţiunea	ameliyat	operagiune	N;NOM;SG;3	N;DEF;FEM;SG
mercury	mercury	mercury	mercury	PROPN;NOM;SG;3	PROPN
mercury	mercur	mercury	mercur	PROPN;NOM;SG;3	N;INDF;MASC;SG
mercury	mercurul	mercury	mercur	PROPN;NOM;SG;3	N;DEF;MASC;SG
pearl	pearl	pearl	pearl		PROPN
pearl	perla	pearl	perlă		N;DEF;FEM;SG
pearl	perlă	pearl	perlă		N;INDF;FEM;SG
beckett	beckett	beckett	beckett		PROPN
kaplar	containerele	kap	containere	N;NOM;PL;3	N;DEF;FEM;PL
taşlar	pietre	taş	piatră	ADJ;NOM;PL;3	N;INDF;FEM;PL
taşlar	pietrele	taş	pietru	ADJ;NOM;PL;3	N;DEF;FEM;PL
taşlar	pietre	taş	piatră	ADJ;NOM;PL;3	N;INDF;FEM;PL
taşlar	roci	taş	rocă	ADJ;NOM;PL;3	N;INDF;FEM;PL
taşlar	stânci	taş	stâncă	ADJ;NOM;PL;3	N;INDF;FEM;PL
hesaplama	calcul	hesaplama	calcul	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;MASC;SG
hesaplama	calculare	hesaplama	calculare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
hesaplama	calcularea	hesaplama	calculare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
hesaplama	calcule	hesaplama	calcul	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
hesaplama	calculul	hesaplama	calcul	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;MASC;SG
hesaplama	calculele	hesaplama	calcul	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;PL
hesaplama	calcule	hesaplama	calcul	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
cohen	cohen	cohen	cohen		PROPN
ekvator	ecuator	ekvator	ecuator		N;INDF;MASC;SG
ekvator	ecuador	ekvator	ecuador		PROPN
anayasal	constituționale	anayasal	constituțional		ADJ;INDF;FEM;PL
jonas	jonas	jonas	jonas		PROPN
karen	karen	karen	karen		PROPN
pascal	pascal	pascal	pascal		N;INDF;MASC;SG
çarpan	multiplicator	çarp	multiplicator		N;INDF;MASC;SG
esp	esp	esp	esp		N;INDF;MASC
laurent	laurent	laurent	laurent	PROPN;NOM;SG;3	PROPN
tarafsızlık	neutralitatea	tarafsızlık	neutralitate	N;NOM;SG;3	N;DEF;FEM;SG
motorları	motoarele	motor	motor	N;ACC;PL;3	N;DEF;FEM;PL
touch	atinge	touch	atinge		V;IND;SG;3;PRS;FIN
touch	touch	touch	touch		N;INDF;MASC;SG
touch	atingere	touch	atingere		N;INDF;FEM;SG
discovery	descoperire	discovery	descoperire	N;NOM;SG;3	N;INDF;FEM;SG
discovery	descoperiri	discovery	descoperire	N;NOM;SG;3	N;INDF;FEM;PL
discovery	descoperirea	discovery	descoperire	N;NOM;SG;3	N;DEF;FEM;SG
kürek	canotaj	kürek	canotaj		N;INDF;MASC;SG
kürek	lopata	kürek	lopată		N;DEF;FEM;SG
kürek	lopată	kürek	lopa		N;INDF;FEM;SG
kürek	vâslă	kürek	vâslă		V;IND;SG;3;PST;FIN
kürek	rândul	kürek	rând		N;DEF;MASC;SG
kürek	rând	kürek	rând		N;INDF;MASC;SG
kürek	row	kürek	row		N;INDF;MASC;SG
simpsonlar	simpsons	simpson	simpsons	N;NOM;PL;3	PROPN
bilbao	bilbao	bilbao	bilbao	PROPN;NOM;SG;3	PROPN
bahçeleri	grădinile	bahçe	grădină	N;ACC;PL;3	N;DEF;FEM;PL
bahçeleri	gardens	bahçe	gardens	N;ACC;PL;3	N;INDF;MASC;SG
takas	comerțul	takas	comerț		N;DEF;MASC;SG
takas	comerț	takas	comerț		N;INDF;MASC;SG
takas	tranzacționare	takas	tranzacționare		N;INDF;FEM;SG
takas	schimb	takas	schimb		N;INDF;MASC;SG
takas	swap	takas	swap		N;INDF;MASC;SG
takas	barter	takas	barter		N;INDF;MASC;SG
takas	troc	takas	troc		N;INDF;MASC;SG
takas	schimb	takas	schimb		N;INDF;MASC;SG
takas	schimbul	takas	schimb		N;DEF;MASC;SG
cola	cocs	cola	cocs		N;INDF;MASC;SG
cola	cocaină	cola	cocaină		N;INDF;FEM;SG
yalancı	mincinos	yalancı	mincinos		ADJ;INDF;MASC;SG
yalancı	mincinoase	yalancı	mincinos		ADJ;INDF;FEM;PL
dul	văduv	dul	văduv		N;INDF;MASC;SG
dul	văduvă	dul	văduv		ADJ;INDF;FEM;SG
dul	văduv	dul	văduv		N;INDF;MASC;SG
dul	vaduva	dul	vaduva		N;DEF;FEM;SG
dul	văduva	dul	văduvă		N;DEF;FEM;SG
dul	văduvă	dul	văduv		ADJ;INDF;FEM;SG
bolton	bolton	bolton	bolton	PROPN;NOM;SG;3	PROPN
romen	românesc	romen	românesc		ADJ;INDF;MASC;SG
romen	român	romen	român		ADJ;INDF;MASC;SG
romen	români	romen	român		N;INDF;MASC;PL
romen	română	romen	român		ADJ;INDF;FEM;SG
komplo	complot	komplo	complot		N;INDF;MASC;SG
komplo	intriga	komplo	intriga		N;DEF;FEM;SG
komplo	intrigă	komplo	intriga		N;INDF;FEM;SG
komplo	încadrare	komplo	încadrare		N;INDF;FEM;SG
komplo	încadrarea	komplo	încadrare		N;DEF;FEM;SG
césar	césar	césar	césar		PROPN
bizde	komen	biz	komen	PRO;ESS;PL;1	
açıklamalar	subtitrări	açıkla	subtitrare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
açıklamalar	descrieri	açıkla	descriere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
açıklamalar	explicații	açıkla	explicație	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
açıklamalar	explicatii	açıkla	explicat	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
açıklamalar	descrierile	açıkla	descriere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;PL
açıklamalar	descrieri	açıkla	descriere	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
store	magazin	store	magazin		N;INDF;MASC;SG
store	magazinul	store	magazin		N;DEF;MASC;SG
store	stochează	store	stoca		V;IND;3;PRS;FIN
seine	sena	sein	sena	PROPN;NOM;SG;3	N;DEF;FEM;SG
seine	seine	sein	senee	PROPN;NOM;SG;3	PROPN
galya	galia	gal	galie		N;DEF;FEM;SG
iletim	transmitere	iletim	transmitere		N;INDF;FEM;SG
iletim	transmisie	iletim	transmisie		N;INDF;FEM;SG
iletim	transmiterea	iletim	transmitere		N;DEF;FEM;SG
iletim	transmisiune	iletim	transmisiune		N;INDF;FEM;SG
hawks	hawks	hawks	hawks	PROPN;NOM;SG;3	PROPN
beatles	beatles	beatles	beatles		PROPN
kumaş	cârpă	kumaş	cârpă		N;INDF;FEM;SG
kumaş	țesături	kumaş	țesătură		N;INDF;FEM;PL
reaksiyon	reactie	reaksiyon	reactie		N;INDF;FEM;SG
reaksiyon	reacția	reaksiyon	reacție		N;DEF;FEM;SG
reaksiyon	reacție	reaksiyon	reacție		N;INDF;FEM;SG
reaksiyon	reacţie	reaksiyon	reacţie		N;INDF;FEM;SG
odak	focalizare	odak	focalizare		N;INDF;FEM;SG
odak	focale	odak	focal		N;INDF;FEM;PL
düsseldorf	düsseldorf	düsseldorf	düsseldorf	PROPN;NOM;SG;3	PROPN
verlag	verlag	verlag	verlag		N;INDF;MASC;SG
sınav	examenul	sınav	examen	N;NOM;SG;3	N;DEF;MASC;SG
sınav	examinarea	sınav	examinare	N;NOM;SG;3	N;DEF;FEM;SG
sınav	examinare	sınav	examinare	N;NOM;SG;3	N;INDF;FEM;SG
sınav	examenele	sınav	examen	N;NOM;SG;3	N;DEF;FEM;PL
sınav	examene	sınav	examen	N;NOM;SG;3	N;INDF;FEM;PL
sınav	testul	sınav	test	N;NOM;SG;3	N;DEF;MASC;SG
sınav	încercarea	sınav	încercare	N;NOM;SG;3	N;DEF;FEM;SG
sınav	încercare	sınav	încercare	N;NOM;SG;3	N;INDF;FEM;SG
sınav	testare	sınav	testare	N;NOM;SG;3	N;INDF;FEM;SG
tarama	scanez	tarama	scanez		V;IND;SG;1;PRS;FIN
tarama	scanarea	tarama	scanare		N;DEF;FEM;SG
tarama	scanare	tarama	scanare		N;INDF;FEM;SG
tarama	navigarea	tarama	navigare		N;DEF;FEM;SG
tarama	navigare	tarama	navigare		N;INDF;FEM;SG
tarama	scanează	tarama	scana		V;IND;3;PRS;FIN
tarama	scanare	tarama	scanare		N;INDF;FEM;SG
tüyleri	penele	tüy	penă	ADJ;NOM;PL;3	N;DEF;FEM;PL
tüyleri	pene	tüy	pană	ADJ;NOM;PL;3	N;INDF;FEM;PL
tüyleri	penajul	tüy	penaj	ADJ;NOM;PL;3	N;DEF;MASC;SG
donetsk	donețk	donetsk	donețk	PROPN;NOM;SG;3	PROPN
evcil	pet	evcil	pet	N;NOM;SG;3	
evcil	îmblânzi	evcil	îmblânzi	N;NOM;SG;3	V;IND;SG;3;PST;FIN
evcil	îmblânzit	evcil	îmblânzi	N;NOM;SG;3	ADJ;INDF;MASC;SG
evcil	domesticit	evcil	domesticit	N;NOM;SG;3	ADJ;INDF;MASC;SG
nathan	nathan	nathan	nathan	PROPN;NOM;SG;3	PROPN
kenneth	kenneth	kenneth	kenneth		PROPN
fisher	fisher	fishe	fisher		PROPN
satürn	saturn	satürn	saturn		N;INDF;MASC;SG
sorunlu	problematică	sorunlu	problematic		ADJ;INDF;FEM;SG
sorunlu	problematice	sorunlu	problematic		ADJ;INDF;FEM;PL
sorunlu	problematic	sorunlu	problematic		ADV
sorunlu	tulburat	sorunlu	tulbura		ADJ;INDF;MASC;SG
sorunlu	tulburată	sorunlu	tulbura		ADJ;INDF;FEM;SG
karesi	pătrat	kare	pătrat		N;INDF;MASC;SG
karesi	square	kare	square		N;INDF;MASC;SG
karesi	patrat	kare	patrat		N;INDF;MASC;SG
komisyon	comisii	komisyon	comisie		N;INDF;FEM;PL
komisyon	comisioane	komisyon	comision		N;INDF;FEM;PL
komisyon	comisiei	komisyon	comisie		N;DEF;FEM;SG
komisyon	comisia	komisyon	comisie		N;DEF;FEM;SG
komisyon	comisie	komisyon	comisie		N;INDF;FEM;SG
komisyon	comision	komisyon	comision		N;INDF;MASC;SG
komisyon	brokeraj	komisyon	brokeraj		N;INDF;MASC;SG
komisyon	intermediere	komisyon	intermediere		N;INDF;FEM;SG
favori	preferat	favori	preferat		ADJ;INDF;MASC;SG
favori	favorit	favori	favori		ADJ;INDF;MASC;SG
favori	preferat	favori	preferat		ADJ;INDF;MASC;SG
favori	favorita	favori	favorita		N;DEF;FEM;SG
favori	favorite	favori	favori		ADJ;INDF;FEM;PL
favori	favorit	favori	favori		ADJ;INDF;MASC;SG
favori	preferata	favori	preferat		ADJ;DEF;FEM;SG
favori	preferate	favori	preferat		ADJ;INDF;FEM;PL
şef	chef	şef	chef		N;INDF;MASC;SG
şef	bucătar	şef	bucătar		N;INDF;MASC;SG
şef	sef	şef	sef		N;INDF;MASC;SG
şef	șef	şef	șef		N;INDF;MASC;SG
vergisi	impozite	vergi	impozit	N;NOM;SG;3	N;INDF;FEM;PL
vergisi	taxa	vergi	taxă	N;NOM;SG;3	N;DEF;FEM;SG
vergisi	taxă	vergi	taxă	N;NOM;SG;3	N;INDF;FEM;SG
telgraf	telegramă	telgraf	telegramă		N;INDF;FEM;SG
telgraf	telegrama	telgraf	telegramă		N;DEF;FEM;SG
telgraf	telegraf	telgraf	telegraf		N;INDF;MASC;SG
leone	leone	leone	leon	PROPN;NOM;SG;3	PROPN
parsons	parsons	parsons	parsons		PROPN
herkül	hercules	herkül	hercules		PROPN
ilim	cunoștințe	ilim	cunoștință		N;INDF;FEM;PL
bond	bond	bond	bond		N;INDF;MASC;SG
yuri	iuri	yuri	iuri		PROPN
yuri	yuri	yuri	yuri		PROPN
gözde	preferat	gözde	preferat		ADJ;INDF;MASC;SG
gözde	favorita	gözde	favorita		N;DEF;FEM;SG
gözde	favorite	gözde	favori		ADJ;INDF;FEM;PL
gözde	favorit	gözde	favori		ADJ;INDF;MASC;SG
gözde	preferata	gözde	preferat		ADJ;DEF;FEM;SG
gözde	preferate	gözde	preferat		ADJ;INDF;FEM;PL
tecrübe	experiență	tecrübe	experiență		N;INDF;FEM;SG
tecrübe	experiența	tecrübe	experiență		N;DEF;FEM;SG
tecrübe	experienta	tecrübe	experient		N;DEF;FEM;SG
lahana	varza	lahana	varză	N;NOM;SG;3	N;DEF;FEM;SG
lahana	varză	lahana	varză	N;NOM;SG;3	N;INDF;FEM;SG
andromeda	andromeda	androme	andromeda		N;DEF;FEM;SG
nokia	nokia	nokia	nokie		PROPN
çiçekler	florile	çiçek	floare	N;NOM;PL;3	N;DEF;FEM;PL
gridcolor	gridcolor	gridco	gridcolor		N;INDF;MASC;SG
zoolog	zoolog	zoolog	zoolog		N;INDF;MASC;SG
dalları	ramurile	dal	ram	N;NOM;PL;3	N;DEF;FEM;PL
durak	oprește	durak	opri		V;IND;SG;3;PRS;FIN
stark	stark	stark	stark		PROPN
soğutma	răcirea	soğut	răcire		N;DEF;FEM;SG
soğutma	răcire	soğut	răcire		N;INDF;FEM;SG
soğutma	refrigerare	soğut	refrigerare		N;INDF;FEM;SG
momentum	avântul	momentum	avânt	N;NOM;SG;3	N;DEF;MASC;SG
nereye	unde	nere	unde	PRO;DAT;SG;3	ADV
step	pas	step	pas		N;INDF;MASC;SG
step	pasul	step	pas		N;DEF;MASC;SG
inanılmaz	uimitor	inan	uimitor	V;IPFV;IND;NEG;V.PTCP;PASS	ADJ;INDF;MASC;SG
inanılmaz	uimitoare	inan	uimitor	V;IPFV;IND;NEG;V.PTCP;PASS	ADJ;INDF;FEM
inanılmaz	uluitor	inan	uluitor	V;IPFV;IND;NEG;V.PTCP;PASS	ADJ;INDF;MASC;SG
inanılmaz	incredibil	inan	incredibil	V;IPFV;IND;NEG;V.PTCP;PASS	ADV
inanılmaz	incredibil	inan	incredibil	V;IPFV;IND;NEG;V.PTCP;PASS	ADV
inanılmaz	incredibilă	inan	incredibil	V;IPFV;IND;NEG;V.PTCP;PASS	ADJ;INDF;FEM;SG
damar	vene	damar	veni		N;INDF;FEM;PL
damar	venele	damar	venă		N;DEF;FEM;PL
damar	vena	damar	vena		N;DEF;FEM;SG
damar	venă	damar	venă		N;INDF;FEM;SG
damar	vasculare	damar	vascular		ADJ;INDF;FEM;PL
damar	vasculară	damar	vascula		ADJ;INDF;FEM;SG
damar	vascular	damar	vascular		N;INDF;MASC;SG
rumen	românesc	rumen	românesc		ADJ;INDF;MASC;SG
rumen	român	rumen	român		ADJ;INDF;MASC;SG
rumen	români	rumen	român		N;INDF;MASC;PL
rumen	română	rumen	român		ADJ;INDF;FEM;SG
psv	psv	psv	psv		PROPN
mürettebat	echipajul	mürettebat	echipaj	N;NOM;SG;3	N;DEF;MASC;SG
riley	riley	riley	riley		PROPN
göreceli	rudă	gör	rude		N;INDF;FEM;SG
göreceli	relativ	gör	relativ		ADV
göreceli	ruda	gör	ruda		N;DEF;FEM;SG
göreceli	relative	gör	relativ		ADJ;INDF;FEM;PL
göreceli	relativă	gör	relativ		ADJ;INDF;FEM;SG
göreceli	relativistă	gör	relativist		ADJ;INDF;FEM;SG
mercan	coral	mercan	coral		N;INDF;MASC;SG
mercan	corali	mercan	coral		N;INDF;MASC;PL
arya	arya	arya	aryă		PROPN
lane	lane	la	lană	PROPN;NOM;SG;3	PROPN
lang	lang	lang	lang		PROPN
feminist	feministe	feminist	feminist		ADJ;INDF;FEM;PL
feminist	feministe	feminist	feminist		ADJ;INDF;FEM;PL
feminist	feministă	feminist	feminist		ADJ;INDF;FEM;SG
organları	organele	organ	organ	N;NOM;PL;3	N;DEF;FEM;PL
doğumu	naștere	doğum	naștere	N;ACC;SG;3	N;INDF;FEM;SG
doğumu	nastere	doğum	nastere	N;ACC;SG;3	
doğumu	naşterea	doğum	naștere	N;ACC;SG;3	N;DEF;FEM;SG
mühimmat	muniție	mühimmat	muniție		N;INDF;FEM;SG
louise	louise	loui	loui	PROPN;NOM;SG;3	V;IND;SG;3;PST+PRF;FIN
galiçya	galicia	galiçya	galicia	N;NOM;SG;3	PROPN
myspace	myspace	myspace	myspac		N;INDF;MASC;SG
izlenen	urmărit	izle	urmări	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
izlenen	urmărită	izle	urmări	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
izlenen	privit	izle	privi	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
izlenen	supravegheată	izle	supravegheat	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
izlenen	monitorizate	izle	monitoriza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;PL
izlenen	monitorizat	izle	monitoriza	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
izlenen	monitorizată	izle	monitorizat	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
yugoslav	iugoslave	yugoslav	iugoslavă		ADJ;INDF;FEM;PL
yugoslav	iugoslav	yugoslav	iugoslav		ADJ;INDF;MASC;SG
yugoslav	iugoslavă	yugoslav	iugoslav		ADJ;INDF;FEM;SG
notları	notele	not	notă	N;ACC;PL;3	N;DEF;FEM;PL
notları	gradele	not	grad	N;ACC;PL;3	N;DEF;FEM;PL
maltepe	maltepe	maltepe	maltep	PROPN;NOM;SG;3	
ebru	ebru	ebru	ebru		N;INDF;MASC;SG
kavramları	conceptele	kavram	concept	N;ACC;PL;3	N;DEF;FEM;PL
blake	blake	blake	blakă		PROPN
çözmek	rezolvare	çöz	rezolvare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;SG
çözmek	rezolvarea	çöz	rezolvare	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;DEF;FEM;SG
çözmek	rezolva	çöz	rezolva	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;SG;3;IPFV;FIN
mad	mad	mad	mad		N;INDF;MASC;SG
zıt	opuse	zıt	opune		V;IND;SG;3;PST;FIN
zıt	opus	zıt	opune		ADJ;INDF;MASC;SG
zıt	opusul	zıt	opus		N;DEF;MASC;SG
zıt	opusă	zıt	opus		ADJ;INDF;FEM;SG
gonzález	gonzález	gonzález	gonzála	PROPN;NOM;SG;3	PROPN
helikopter	elicopterul	helikopter	elicopter	N;NOM;SG;3	N;DEF;MASC;SG
helikopter	elicopterele	helikopter	elicoptere	N;NOM;SG;3	N;DEF;FEM;PL
helikopter	elicoptere	helikopter	elicoptere	N;NOM;SG;3	N;INDF;FEM;PL
klaus	klaus	klaus	klaus		PROPN
koch	koch	koch	koch		PROPN
niksar	niksar	niksar	niksar	PROPN;NOM;SG;3	
yatılı	îmbarcare	yatılı	îmbarcare		N;INDF;FEM;SG
yatılı	îmbarcarea	yatılı	îmbarcare		N;DEF;FEM;SG
kılavuzu	ghidul	kılavuz	ghid	N;ACC;SG;3	N;DEF;MASC;SG
mig	mig	mig	mig		N;INDF;MASC;SG
yetenekleri	abilitati	yetenek	abilitati	N;NOM;PL;3	
yetenekleri	talentele	yetenek	talent	N;NOM;PL;3	N;DEF;FEM;PL
zaza	zaza	zaza	zază		N;DEF;FEM;SG
masal	basm	masal	basm		N;INDF;MASC;SG
masal	poveste	masal	poveste		N;INDF;FEM;SG
masal	story	masal	story		N;INDF;MASC;SG
masal	povestea	masal	poveste		N;DEF;FEM;SG
luk	luk	lik	luk		PROPN
dinlenme	recreere	dinlen	recreere	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
dinlenme	odihnă	dinlen	odihnă	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	N;INDF;FEM;SG
dinlenme	odihna	dinlen	odihnă	V;PFV;NOM;IND;SG;POS;PRS;V.MSDR;PASS	N;DEF;FEM;SG
mhz	mhz	mhz	mhz		N
heinz	heinz	heinz	heinz	PROPN;NOM;SG;3	PROPN
tatmin	satisfactie	tatmin	satisfactie		N;INDF;FEM;SG
tatmin	satisfăcător	tatmin	satisfăcător		ADV
tatmin	satisfăcătoare	tatmin	satisfăcător		ADJ;INDF;FEM
tatmin	satisfacerea	tatmin	satisfacere		N;DEF;FEM;SG
tatmin	mulțumit	tatmin	mulțumi		ADJ;INDF;MASC;SG
tatmin	satisfăcut	tatmin	satisfăcut		ADJ;INDF;MASC;SG
tatmin	satisfăcută	tatmin	satisfăcut		ADJ;INDF;FEM;SG
britney	britney	britney	britney		PROPN
porsche	porsche	porsche	porsche		N;INDF;MASC;SG
eğlenceli	distracție	eğlenceli	distracție	ADJ	N;INDF;FEM;SG
eğlenceli	distractie	eğlenceli	distractie	ADJ	N;INDF;FEM;SG
malcolm	malcolm	malcolm	malcolm		PROPN
malcolm	malcom	malcolm	malcom		PROPN
kentucky	kentucky	kentucky	kentucky		PROPN
ekseni	axă	ekseni	axă		N;INDF;FEM;SG
ekseni	axa	ekseni	axa		N;DEF;FEM;SG
enzim	enzime	enzi	enzimă		N;INDF;FEM;PL
enzim	enzimele	enzi	enzimă		N;DEF;FEM;PL
enzim	enzime	enzi	enzimă		N;INDF;FEM;PL
enzim	enzimă	enzi	enzimă		N;INDF;FEM;SG
enzim	enzima	enzi	enzimă		N;DEF;FEM;SG
haksız	nedrept	haksız	nedrept		ADJ;INDF;MASC;SG
haksız	nedreaptă	haksız	nedreaptă		ADJ;INDF;FEM;SG
seti	setată	set	seta		ADJ;INDF;FEM;SG
seti	stabilește	set	stabili		V;IND;SG;3;PRS;FIN
seti	set	set	set		N;INDF;MASC;SG
seti	setează	set	seta		V;IND;3;PRS;FIN
seti	setat	set	setat		ADJ;INDF;MASC;SG
seti	seti	set	seti		N;INDF;MASC;SG
makina	mașină	makina	mașină		N;INDF;FEM;SG
makina	utilaje	makina	utilaj		N;INDF;FEM;PL
makina	mașini	makina	mașină		N;INDF;FEM;PL
makina	masini	makina	masină		N;INDF;FEM;PL
tasarımcı	designer	tasarımcı	designer		N;INDF;MASC;SG
kaide	qaeda	kaide	qaedă		PROPN
kaide	piedestal	kaide	piedestal		N;INDF;MASC;SG
tolkien	tolkien	tolkien	tolkien		PROPN
jesse	jesse	jesse	jesse		PROPN
sır	secretele	sır	secret		N;DEF;FEM;PL
sır	secrete	sır	secret		N;INDF;FEM;PL
sır	secretă	sır	secret		ADJ;INDF;FEM;SG
sır	secret	sır	secret		N;INDF;MASC;SG
sır	secreta	sır	secret		N;DEF;FEM;SG
sır	secrete	sır	secret		N;INDF;FEM;PL
sır	secretul	sır	secret		N;DEF;MASC;SG
boyutları	dimensiunile	boyut	dimensiune	N;ACC;PL;3	N;DEF;FEM;PL
deneyler	experimentele	deney	experiment	N;NOM;PL;3	N;DEF;FEM;PL
six	six	six	six		N;INDF;MASC;SG
six	şase	six	şase		NUM;PL
six	șase	six	șase		NUM;PL
taşınan	mutate	taşı	muta	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;PL
taşınan	mutat	taşı	muta	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;MASC;SG
taşınan	mutată	taşı	muta	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;INDF;FEM;SG
rush	rush	rush	rush		N;INDF;MASC;SG
bilinçli	constient	bilinçli	constient		ADJ;INDF;MASC;SG
bilinçli	conștient	bilinçli	conștient		ADJ;INDF;MASC;SG
yasağı	interdicția	yasak	interdicție		N;DEF;FEM;SG
yasağı	interzicerea	yasak	interzicere		N;DEF;FEM;SG
yasağı	interdicție	yasak	interdicție		N;INDF;FEM;SG
andre	andre	andre	andre		PROPN
andre	andré	andre	andré		PROPN
andre	andré	andre	andré		PROPN
roller	role	rol	rouă		N;INDF;FEM;PL
roller	roller	rol	roller		N;INDF;MASC;SG
roller	roluri	rol	rol		N;INDF;FEM;PL
roller	rolurile	rol	rol		N;DEF;FEM;PL
bull	taur	bull	taur		N;INDF;MASC;SG
bull	taurul	bull	taur		N;DEF;MASC;SG
bull	bull	bull	bull		N;INDF;MASC;SG
hani	hani	hani	han		N;INDF;MASC;PL
edwards	edwards	edwar	edwards		PROPN
odaklı	axat	odaklı	axa		ADJ;INDF;MASC;SG
odaklı	concentrat	odaklı	concentrat		ADJ;INDF;MASC;SG
odaklı	concentrată	odaklı	concentrat		ADJ;INDF;FEM;SG
italia	italia	italia	italia	PROPN;NOM;SG;3	PROPN
helena	helena	helen	helenă	PROPN;NOM;SG;3	N;DEF;FEM;SG
tartışmaları	discuții	tartış	discuție	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
tartışmaları	discutii	tartış	discut	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INDF;FEM;PL
katliam	masacrul	katlia	masacru		N;DEF;MASC;SG
katliam	masacru	katlia	masacru		N;INDF;MASC;SG
katliam	măcel	katlia	măcel		N;INDF;MASC;SG
katliam	sacrificare	katlia	sacrificare		N;INDF;FEM;SG
katliam	măcel	katlia	măcel		N;INDF;MASC;SG
katliam	masacru	katlia	masacru		N;INDF;MASC;SG
varsayılan	prestabilită	varsa	prestabilit		ADJ;INDF;FEM;SG
varsayılan	implicite	varsa	implicit		ADJ;INDF;FEM;PL
varsayılan	prestabilit	varsa	prestabilit		ADV
varsayılan	implicit	varsa	implicit		ADV
varsayılan	implicită	varsa	implicit		ADJ;INDF;FEM;SG
canlandıran	portretizarea	canlan	portretizare	V;PFV;IND;POS;PRS;V.PTCP;CAUS	N;DEF;FEM;SG
lanka	lanka	lanka	lankă	PROPN;NOM;SG;3	PROPN
wade	wade	wade	wadă		PROPN
kodları	codurile	kod	cod	N;ACC;PL;3	N;DEF;FEM;PL
holmes	holmes	holmes	holmes		PROPN
yapıcı	constructiv	yapıcı	constructiv		ADV
yapıcı	constructive	yapıcı	constructiv		ADJ;INDF;FEM;PL
yapıcı	constructivă	yapıcı	constructiv		ADJ;INDF;FEM;SG
iowa	iowa	iowa	iowa	PROPN;NOM;SG;3	PROPN
çember	cercul	çember	cerc		N;DEF;MASC;SG
çember	circle	çember	circlu		N;INDF;MASC;SG
çember	cerc	çember	cerc		N;INDF;MASC;SG
lehçesi	dialectul	lehçe	dialect	N;NOM;SG;3	N;DEF;MASC;SG
isfahan	isfahan	isfahan	isfahan		PROPN
karaciğer	ficatul	karaciğer	ficat		N;DEF;MASC;SG
karaciğer	ficat	karaciğer	ficat		N;INDF;MASC;SG
hatalar	erorile	hata	eroare	N;NOM;PL;3	N;DEF;FEM;PL
hatalar	bugs	hata	bugs	N;NOM;PL;3	PROPN
atanmış	atribuit	atan	atribui	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
atanmış	repartizat	atan	repartiza	V;PFV;NFH;IND;SG;3;POS;PST;PASS	ADJ;INDF;MASC;SG
