और	un	और	un		CONJ
बडे	lielākas	बडा	liela	V;MASC;SG;3;V.PTCP;ACT	ADJ;NOM;CMPR;FEM;PL
बडे	lielāka	बडा	liela	V;MASC;SG;3;V.PTCP;ACT	ADJ;NOM;CMPR;FEM;SG
बडे	lielāks	बडा	liels	V;MASC;SG;3;V.PTCP;ACT	ADJ;NOM;CMPR;MASC;SG
संतुलित	līdzsvarota	संतुलित	līdzsvarot	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
संतुलित	līdzsvarots	संतुलित	līdzsvarot	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
संतुलित	līdzsvarotu	संतुलित	līdzsvarot	ADJ	V;PFV;ACC;INDF;MASC;SG;PST;V.PTCP
जंग	jungs	जंग	jungs	N;NOM;FEM;SG;3	
संक्रामक	lipīga	संक्रामक	lipīga	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
संक्रामक	lipīgo	संक्रामक	lipīgs	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
दिमाग	smadzenes	दिमाग	smadzenes	N;NOM;MASC;SG;3	N;NOM;FEM
दिमाग	smadzeņu	दिमाग	smadzenes	N;NOM;MASC;SG;3	N;GEN;FEM
दिमाग	prātā	दिमाग	prāts	N;NOM;MASC;SG;3	N;ESS;MASC;SG
दिमाग	prātu	दिमाग	prāts	N;NOM;MASC;SG;3	N;ACC;MASC;SG
दिमाग	smadzenes	दिमाग	smadzenes	N;NOM;MASC;SG;3	N;NOM;FEM
वयस्कों	pieaugušajiem	वयस्क	pieaugušais	N;ACC;MASC;PL;3	V;PFV;DAT;DEF;MASC;PL;PST;V.PTCP
वयस्कों	pieaugušiem	वयस्क	pieaugt	N;ACC;MASC;PL;3	V;PFV;DAT;INDF;MASC;PL;PST;V.PTCP
वयस्कों	pieaugušie	वयस्क	pieaugušais	N;ACC;MASC;PL;3	V;PFV;NOM;DEF;MASC;PL;PST;V.PTCP
सहन	paciest	सहन	paciest		V;POS;NFIN
बरकरार	neskarta	बरकरार	neskarta	ADV	ADJ;NOM;FEM;SG
बरकरार	neskarts	बरकरार	neskarts	ADV	ADJ;NOM;MASC;SG
बरकरार	neskartas	बरकरार	neskarta	ADV	ADJ;NOM;FEM;PL
टेबल	galds	टेबल	galds		N;NOM;MASC;SG
टेबल	galdiņš	टेबल	galdiņš		N;NOM;MASC;SG
टेबल	tabula	टेबल	tabuls		N;NOM;FEM;SG
टेबल	galda	टेबल	galds		N;GEN;MASC;SG
टेबल	galdi	टेबल	galds		N;NOM;MASC;PL
टेबल	tabulas	टेबल	tabula		N;NOM;FEM;PL
टेबल	tabulās	टेबल	tabulīties		N;ESS;FEM;PL
स्कॉट	skots	स्कॉट	skots	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मैड्रिड	madrid	मैड्रिड	madrid	PROPN;NOM;MASC;SG;3	
मैड्रिड	madridē	मैड्रिड	madride	PROPN;NOM;MASC;SG;3	PROPN;ESS;FEM;SG
मैड्रिड	madrides	मैड्रिड	madride	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
मैड्रिड	madride	मैड्रिड	madride	PROPN;NOM;MASC;SG;3	
जागरूकता	izpratnes	जागरूकता	izpratne	N;NOM;FEM;SG;3	N;NOM;FEM;PL
अस्थि	kaulu	अस्थि	kauls	N;NOM;MASC;SG;3	N;ACC;MASC;SG
सीबीएस	cb	सीबीएस	cb	PROPN;NOM;MASC;SG;3	N
कुंजी	taustiņi	कुंजी	taustiņš	N;NOM;FEM;SG;3	N;NOM;MASC;PL
कुंजी	atslēgas	कुंजी	atslēga	N;NOM;FEM;SG;3	N;NOM;FEM;PL
कुंजी	galvenais	कुंजी	galvenais	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
रोटी	maize	रोटी	maize	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
स्क्वायर	kvadrātveida	स्क्वायर	kvadrātveida	N;NOM;MASC;SG;3	
स्क्वायर	laukumā	स्क्वायर	laukums	N;NOM;MASC;SG;3	N;ESS;MASC;SG
मंदी	lejupslīdes	मंदी	lejupslīde	N;NOM;FEM;SG;3	N;NOM;FEM;PL
निर्देशांक	koordinē	निर्देशांक	koordinēt	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
निर्देशांक	koordinēt	निर्देशांक	koordinēt	N;NOM;MASC;SG;3	V;POS;NFIN
निर्देशांक	koordinātas	निर्देशांक	koordināt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
निर्देशांक	koordinātes	निर्देशांक	koordināte	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मिमी	mimi	मिमी	mīme	N;NOM;MASC;SG;3	
इराक	irāka	इराक	irāka	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
इराक	irākā	इराक	irāka	PROPN;NOM;MASC;SG;3	N;ESS;FEM;SG
इराक	irāku	इराक	irāka	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
प्रशंसक	faniem	प्रशंसक	fans	N;NOM;MASC;PL;3	N;DAT;MASC;PL
प्रशंसक	līdzjutējiem	प्रशंसक	līdzjutējs	N;NOM;MASC;PL;3	N;DAT;MASC;PL
प्रशंसक	ventilatora	प्रशंसक	ventilators	N;NOM;MASC;PL;3	N;GEN;MASC;SG
प्रशंसक	fans	प्रशंसक	fans	N;NOM;MASC;PL;3	N;NOM;MASC;SG
प्रशंसक	fanu	प्रशंसक	fans	N;NOM;MASC;PL;3	N;ACC;MASC;SG
प्रशंसक	ventilators	प्रशंसक	ventilators	N;NOM;MASC;PL;3	N;NOM;MASC;SG
निवेशकों	investoru	निवेशक	investors	N;ACC;MASC;PL;3	N;ACC;MASC;SG
निवेशकों	investors	निवेशक	investors	N;ACC;MASC;PL;3	N;NOM;MASC;SG
निवेशकों	investori	निवेशक	investors	N;ACC;MASC;PL;3	N;NOM;MASC;PL
सेठ	set	सेठ	set	PROPN;NOM;MASC;SG;3	
सेठ	sets	सेठ	sets	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
आँकड़े	statistika	आँकडा	statistika	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;FEM;SG
आँकड़े	statistika	आँकडा	statistika	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;FEM;SG
मन्त्र	mantra	मन्त्र	mantra	N;NOM;MASC;SG;3	
मन्त्र	mantras	मन्त्र	mantra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
उदार	dāsni	उदार	dāsns	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
उदार	liberāļu	उदार	liberāļa	PROPN;NOM;MASC;SG;3	N;GEN;MASC;PL
मुद्दा	emitēt	मुद्दा	emitēt	N;NOM;MASC;SG;3	V;POS;NFIN
मुद्दा	izdot	मुद्दा	izdot	N;NOM;MASC;SG;3	V;POS;NFIN
एयरलाइन	airbus	एयरलाइन	airbs	N;NOM;FEM;SG;3	
एयरलाइन	aviokompāniju	एयरलाइन	aviokompānija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
एयरलाइन	aviosabiedrības	एयरलाइन	aviosabiedrība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
एयरलाइन	aviokompānijas	एयरलाइन	aviokompānija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
एयरलाइन	airlines	एयरलाइन	airline	N;NOM;FEM;SG;3	N;NOM;FEM;PL
एयरलाइन	aviolīnijas	एयरलाइन	aviolīnija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
एयरलाइन	aviosabiedrībām	एयरलाइन	aviosabiedrība	N;NOM;FEM;SG;3	N;DAT;FEM;PL
ग्रेड	pakāpes	ग्रेड	pakāpe	N;NOM;MASC;SG;3	N;NOM;FEM;PL
ग्रेड	pakāpes	ग्रेड	pakāpe	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सब्जी	dārzeņu	सब्जी	dārzenis	N;NOM;FEM;SG;3	N;GEN;MASC;PL
बोइंग	boeing	बोइंग	boeingt	N;NOM;MASC;SG;3	
सवारी	jāšanas	सवारी	šana	N;NOM;FEM;SG;3	V;POS;REFL;FIN;ACT
सवारी	braucamais	सवारी	braukt	N;NOM;FEM;SG;3	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
कपड़ा	tekstila	कपडा	tekstils	N;NOM;MASC;SG;3	N;GEN;MASC;SG
कपड़ा	auduma	कपडा	audums	N;NOM;MASC;SG;3	N;GEN;MASC;SG
कपड़ा	tekstilizstrādājumu	कपडा	tekstilizstrādājums	N;NOM;MASC;SG;3	N;ACC;MASC;SG
कपड़ा	tekstilizstrādājumi	कपडा	tekstilizstrādājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
झा	ti	झा	tis	PROPN;NOM;MASC;SG;3	
प्लस	plus	प्लस	plus		
प्लस	pluss	प्लस	pluss		N;NOM;MASC;SG
गंध	smarža	गंध	smarža	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
अंटार्कटिका	antarktīda	अंटार्कटिका	antarktīda	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
गोद	apļus	गोद	aplis	N;NOM;FEM;SG;3	N;ACC;MASC;PL
गोद	klēpī	गोद	klēpis	N;NOM;FEM;SG;3	N;ESS;MASC;SG
गोद	klēpja	गोद	klēpja	N;NOM;FEM;SG;3	N;GEN;MASC;SG
छुट्टी	brīvdienas	छुट्टी	brīvdiena	N;NOM;FEM;SG;3	N;NOM;FEM;PL
छुट्टी	brīvdienu	छुट्टी	brīvdiena	N;NOM;FEM;SG;3	N;ACC;FEM;SG
यंग	jauni	यंग	jauns		ADJ;NOM;MASC;PL
अल्लाह	dievs	अल्लाह	dievs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अल्लाह	allah	अल्लाह	allah	PROPN;NOM;MASC;SG;3	
राइट	raita	राइट	raita		N;NOM;MASC;SG
नित्य	dienā	नित्य	diena		N;ESS;FEM;SG
नित्य	dienas	नित्य	diena		N;NOM;FEM;PL
प्रस्थान	izbrauc	प्रस्थान	izbraukt	N;NOM;MASC;SG;3	V;IMP;SG;2;POS;FIN;ACT
आंख	acs	आंख	acs		N;NOM;FEM;SG
आंख	acī	आंख	acī		N;ESS;FEM;SG
आंख	acu	आंख	acs		N;ACC;FEM;PL
पालतू	pet	पालतू	pet	N;NOM;MASC;SG;3	
पालतू	mājdzīvnieki	पालतू	mājdzīvnieks	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पालतू	mājdzīvniekiem	पालतू	mājdzīvnieks	N;NOM;MASC;SG;3	N;DAT;MASC;PL
संचित	uzkrātā	संचित	uzkrāt	ADP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
संचित	uzkrāti	संचित	uzkrāt	ADP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
संचित	uzkrātās	संचित	uzkrāt	ADP	V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
संचित	uzkrātie	संचित	uzkrāt	ADP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
उधार	aizņemtās	उधार	aizņemt		V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
उधार	aizņemti	उधार	aizņemt		V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
उधार	aizņēmumu	उधार	aizņēmums		N;ACC;MASC;SG
उधार	aizņēmumi	उधार	aizņēmums		N;NOM;MASC;PL
उधार	aizņēmums	उधार	aizņēmums		N;NOM;MASC;SG
उधार	aizņemšanās	उधार	aizņemšanās		N;NOM;FEM;SG
अनुभवी	pieredzējuši	अनुभवी	pieredzēt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
अनुभवी	pieredzējis	अनुभवी	pieredzēt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
टोनी	tony	टोनी	tony	PROPN;NOM;MASC;SG;3	
टोनी	tonijs	टोनी	tonijs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
सजीव	dzīvošana	सजीव	dzīvošana		N;NOM;FEM;SG
सजीव	dzīvo	सजीव	dzīvot		V;FH;IND;3;POS;PRS;FIN;ACT
सजीव	dzīvas	सजीव	dzīva		ADJ;NOM;FEM;PL
सजीव	dzīvot	सजीव	dzīvot		V;POS;NFIN
सजीव	dzīvi	सजीव	dzīve		N;ACC;FEM;SG
सजीव	dzīvo	सजीव	dzīvot		V;FH;IND;3;POS;PRS;FIN;ACT
सजीव	live	सजीव	live		
सजीव	tiešraide	सजीव	tiešraide		N;NOM;FEM;SG
सजीव	organisms	सजीव	organisms		N;NOM;MASC;SG
यूनिट	mērvienības	यूनिट	mērvienība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
यूनिट	vienības	यूनिट	vienība	N;NOM;FEM;SG;3	N;NOM;FEM;PL
दीर्घा	galerijā	दीर्घा	galerija	N;NOM;FEM;SG;3	N;ESS;FEM;SG
दीर्घा	galerijas	दीर्घा	galerija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
शॉट	sašāva	शॉट	sašāva	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PST;FIN;ACT
शॉट	šāvieni	शॉट	šāviens	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मिस्टर	mister	मिस्टर	mister	PROPN;NOM;MASC;SG;3	
लता	lata	लता	lata	PROPN;NOM;FEM;SG;3	N;GEN;MASC;SG
थाई	taizemes	थाई	taizeme		N;NOM;FEM;PL
थाई	thai	थाई	tha		
कोर्स	kursa	कोर्स	kurss	N;NOM;MASC;SG;3	N;GEN;MASC;SG
कोर्स	kursu	कोर्स	kurss	N;NOM;MASC;SG;3	N;ACC;MASC;SG
कोर्स	kursā	कोर्स	kurss	N;NOM;MASC;SG;3	N;ESS;MASC;SG
चिकित्सकों	terapija	चिकित्सक	terapija	N;ACC;MASC;PL;3	N;NOM;FEM;SG
चिकित्सकों	terapijā	चिकित्सक	terapija	N;ACC;MASC;PL;3	N;ESS;FEM;SG
चिकित्सकों	terapiju	चिकित्सक	terapija	N;ACC;MASC;PL;3	N;ACC;FEM;SG
चिकित्सकों	terapijai	चिकित्सक	terapija	N;ACC;MASC;PL;3	N;DAT;FEM;SG
चिकित्सकों	ārsti	चिकित्सक	ārsts	N;ACC;MASC;PL;3	N;NOM;MASC;PL
वॉशिंगटन	vašingtonas	वॉशिंगटन	vašingtona	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
फैसले	lēmumus	फैसला	lēmums	N;NOM;MASC;PL;3	N;ACC;MASC;PL
भोज	banketu	भोज	bankets	N;NOM;MASC;SG;3	N;ACC;MASC;SG
परिधि	apkārtmērs	परिधि	apkārtmērs		N;NOM;MASC;SG
प्रसव	dzemdību	प्रसव	dzemdība	N;NOM;MASC;SG;3	N;ACC;FEM;SG
प्रसव	dzemdības	प्रसव	dzemdība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
उपेक्षा	novārtā	उपेक्षा	novārt	N;NOM;FEM;SG;3	N;ESS;MASC;SG
कराते	karatē	करा	karate	V;IPFV;MASC;PL;V.PTCP;ACT	N
उत्तेजित	satraukts	उत्तेजित	satraukt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
उत्तेजित	priecīgi	उत्तेजित	priecīgi	ADJ	ADV
उत्तेजित	sajūsmā	उत्तेजित	sajūsma	ADJ	N;ESS;FEM;SG
अनावश्यक	nevēlami	अनावश्यक	nevēlami	ADP	ADV
अनावश्यक	nevēlamas	अनावश्यक	nevēlēties	ADP	V;NOM;INDF;FEM;PL;PRS;V.PTCP;PASS
अनावश्यक	nevēlama	अनावश्यक	nevēlēt	ADP	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
अनावश्यक	lieks	अनावश्यक	lieks	ADP	ADJ;NOM;MASC;SG
अनावश्यक	lieki	अनावश्यक	lieki	ADP	ADV
अनावश्यक	nevajadzīgs	अनावश्यक	nevajadzīgs	ADP	ADJ;NOM;MASC;SG
अनावश्यक	nevajadzīgu	अनावश्यक	nevajadzīga	ADP	ADJ;ACC;MASC;SG
अनावश्यक	nevajadzīga	अनावश्यक	nevajadzīga	ADP	ADJ;NOM;FEM;SG
अनावश्यक	lieks	अनावश्यक	lieks	ADP	ADJ;NOM;MASC;SG
अनावश्यक	lieki	अनावश्यक	lieki	ADP	ADV
अनावश्यक	lieki	अनावश्यक	lieki	ADP	ADV
क्षतिग्रस्त	bojāts	क्षतिग्रस्त	bojāts	ADJ	N;NOM;MASC;SG
क्षतिग्रस्त	bojāti	क्षतिग्रस्त	bot	ADJ	N;NOM;MASC;PL
नाव	laivā	नाव	laiva	N;NOM;FEM;SG;3	N;ESS;FEM;SG
नाव	laivu	नाव	laiva	N;NOM;FEM;SG;3	N;ACC;FEM;SG
फिल्मी	plēve	फिल्मी	plēve	ADJ;NOM	N;NOM;FEM;SG
फिल्मी	filma	फिल्मी	filma	ADJ;NOM	N;NOM;FEM;SG
फिल्मी	plēves	फिल्मी	plēve	ADJ;NOM	N;NOM;FEM;PL
शर्करा	ogļhidrāti	शर्करा	ogļhidrāts	N;NOM;MASC;SG;3	N;NOM;MASC;PL
शर्करा	ogļhidrātu	शर्करा	ogļhidrāts	N;NOM;MASC;SG;3	N;ACC;MASC;SG
पंच	sitienu	पंच	sitiens		N;ACC;MASC;SG
अनौपचारिक	neformālās	अनौपचारिक	neformāla	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
अनौपचारिक	neoficiāls	अनौपचारिक	neoficiāls	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अनौपचारिक	neoficiāli	अनौपचारिक	neoficiāli	N;NOM;MASC;SG;3	ADV
अनौपचारिक	neformāla	अनौपचारिक	neformāla	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अनौपचारिक	neformālā	अनौपचारिक	neformāla	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
साम्यवादी	komunisms	साम्यवादी	komunisms	PROPN;NOM;SG;3	N;NOM;MASC;SG
अरुणाचल	arunāčala	अरुणाचल	arunāčala	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
क्षमताओं	spējas	क्षमता	spēja	N;ACC;FEM;PL;3	N;NOM;FEM;PL
प्रासंगिक	nozīmība	प्रासंगिक	nozīmība	ADJ	N;NOM;FEM;SG
लहर	viļņu	लहर	vilnis	N;NOM;FEM;SG;3	N;ACC;MASC;SG
कूद	lec	कूद	lect	N;NOM;FEM;SG;3	V;IMP;SG;2;POS;FIN;ACT
कूद	paspējuši	कूद	paspēt	N;NOM;FEM;SG;3	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
कूद	lekt	कूद	lekt	N;NOM;FEM;SG;3	V;POS;NFIN
परंपराओं	tradīcijas	परंपरा	tradīcija	N;ACC;FEM;PL;3	N;NOM;FEM;PL
परंपराओं	tradīcijām	परंपरा	tradīcija	N;ACC;FEM;PL;3	N;DAT;FEM;PL
ऊन	vilnas	ऊन	vilna	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नासा	nasa	नासा	nass	PROPN;NOM;FEM;SG;3	PROPN;NOM;FEM;SG
ब्रह्मांड	cosmos	ब्रह्मांड	cosms	N;NOM;MASC;SG;3	N;ESS;MASC;PL
रियो	rio	रियो	riot	PROPN;NOM;MASC;SG;3	
पंचम	piektā	पंचम	piektā	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
पंचम	piektajā	पंचम	piektā	PROPN;NOM;MASC;SG;3	ADJ;ESS;DEF;FEM;SG
पंचम	piektais	पंचम	piektais	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
सांख्यिकीय	statistiskais	सांख्यिकीय	statistisks	N;NOM;3	ADJ;NOM;MASC;SG
सैम	sems	सैम	sems	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
सैम	sem	सैम	sem	N;NOM;MASC;SG;3	
सैम	sam	सैम	sas	N;NOM;MASC;SG;3	
एयरपोर्ट	lidostā	एयरपोर्ट	lidosta	N;NOM;MASC;SG;3	N;ESS;FEM;SG
एयरपोर्ट	lidostas	एयरपोर्ट	lidosta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
एयरपोर्ट	lidostas	एयरपोर्ट	lidosta	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सुलभ	noder	सुलभ	noderēt		V;FH;IND;3;POS;PRS;FIN;ACT
सुलभ	rokai	सुलभ	roka		N;DAT;FEM;SG
रिक्त	nulles	रिक्त	nulle		N;NOM;FEM;PL
रिक्त	tukši	रिक्त	tukši		ADJ;NOM;MASC;PL
रिक्त	tukšs	रिक्त	tukšs		ADJ;NOM;MASC;SG
रिक्त	tukšas	रिक्त	tukša		ADJ;NOM;FEM;PL
रिक्त	tukša	रिक्त	tukša		ADJ;NOM;FEM;SG
रिक्त	tukšā	रिक्त	tukša		ADJ;NOM;FEM;SG
रिक्त	tukšu	रिक्त	tukša		ADJ;ACC;MASC;SG
रिक्त	tukšs	रिक्त	tukšs		ADJ;NOM;MASC;SG
रिक्त	tukša	रिक्त	tukša		ADJ;NOM;FEM;SG
बडी	draudziņ	बडी	draudziņ	ADJ;NOM;FEM;SG	V;IMP;SG;2;POS;FIN;ACT
संवर्धन	bagātināšanas	संवर्धन	bagātināšana	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अनुभवों	pieredzes	अनुभव	pieredze	N;ACC;MASC;PL;3	N;NOM;FEM;PL
गामा	kilogrami	गामा	kilograms	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
गामा	kilogramiem	गामा	kilograms	PROPN;NOM;MASC;SG;3	N;DAT;MASC;PL
गामा	kilogramos	गामा	kilograms	PROPN;NOM;MASC;SG;3	N;ESS;MASC;PL
गामा	gramos	गामा	grams	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
गामा	gramus	गामा	grams	PROPN;NOM;MASC;SG;3	N;ACC;MASC;PL
गामा	grami	गामा	grami	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
गामा	gamma	गामा	gamma	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
नियंत्रक	kontrolieri	नियंत्रक	kontroliere	N;NOM;MASC;SG;3	N;NOM;MASC;PL
नियंत्रक	kontroles	नियंत्रक	kontrole	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अनु	anu	अनु	ans		
पाचन	fermentācijas	पाचन	fermentācija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मोर	mor	मोर	mor		
मोर	pāvs	मोर	pāvs		N;NOM;MASC;SG
स्थाई	pastāvīgu	स्थाई	pastāvīga	ADJ;NOM	ADJ;ACC;MASC;SG
ढाल	nogāzes	ढाल	nogāze		N;NOM;FEM;PL
ढाल	slīpums	ढाल	slīpums		N;NOM;MASC;SG
ढाल	gradients	ढाल	gradients		N;NOM;MASC;SG
ढाल	slīpums	ढाल	slīpums		N;NOM;MASC;SG
ढाल	perona	ढाल	perons		N;GEN;MASC;SG
अभिन्न	neatņemama	अभिन्न	neatņemt	PROPN;NOM;MASC;SG;3	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
अभिन्न	nešķirami	अभिन्न	nešķirami	PROPN;NOM;MASC;SG;3	ADV
फेफड़े	plaušas	फेफड	plausa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दोस्तों	džeki	दोस्त	džeks	N;ACC;MASC;PL;3	N;NOM;MASC;PL
दोस्तों	puiši	दोस्त	puiši	N;ACC;MASC;PL;3	N;NOM;MASC;PL
दोस्तों	veči	दोस्त	vecs	N;ACC;MASC;PL;3	N;NOM;MASC;PL
दोस्तों	draugi	दोस्त	draugs	N;ACC;MASC;PL;3	N;NOM;MASC;PL
दोस्तों	draugiem	दोस्त	draugs	N;ACC;MASC;PL;3	N;DAT;MASC;PL
वोल्टेज	sprieguma	वोल्टेज	spriegums	N;NOM;MASC;SG;3	N;GEN;MASC;SG
दरअसल	patiesībā	दरअसल	patiesība	ADV	N;ESS;FEM;SG
दरअसल	īstenībā	दरअसल	īstenība	ADV	N;ESS;FEM;SG
रोज	ikdienas	रोज	ikdiena	N;NOM;MASC;SG;3	N;NOM;FEM;PL
रोज	ikdienā	रोज	ikdiena	N;NOM;MASC;SG;3	N;ESS;FEM;SG
रोज	dienā	रोज	diena	N;NOM;MASC;SG;3	N;ESS;FEM;SG
रोज	dienas	रोज	diena	N;NOM;MASC;SG;3	N;NOM;FEM;PL
खोलने	atvēršanās	खोल	atvēršanās	V;NFIN;ACT	N;NOM;FEM;SG
खोलने	atvēršana	खोल	atvēršana	V;NFIN;ACT	N;NOM;FEM;SG
खोलने	atvēršanas	खोल	atvēršana	V;NFIN;ACT	N;NOM;FEM;SG
खुलासा	atklāt	खुलासा	atklāt	N;NOM;MASC;SG;3	V;POS;NFIN
खुलासा	atklāj	खुलासा	atklāt	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
मान्यताओं	uzskati	मान्यता	uzskats	N;ACC;FEM;PL;3	N;NOM;MASC;PL
प्रशासक	administratori	प्रशासक	administrators	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रशासक	administratora	प्रशासक	administrators	N;NOM;MASC;SG;3	N;GEN;MASC;SG
नकल	imitācija	नकल	imitācija		N;NOM;FEM;SG
नकल	imitācijas	नकल	imitācija		N;NOM;FEM;PL
नकल	dublikāts	नकल	dublikāts		N;NOM;MASC;SG
बलिदान	upurus	बलिदान	upuris	N;NOM;MASC;SG;3	N;ACC;MASC;PL
सर्प	čūsku	सर्प	čūska	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
सर्प	čūska	सर्प	čūska	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
बैटमैन	betmens	बैटमैन	betmens	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
गुड	laba	गुड	laba		ADJ;NOM;FEM;SG
गुड	labas	गुड	laba		ADJ;NOM;FEM;PL
गुड	labi	गुड	labi		ADV
गुड	labs	गुड	labs		ADJ;NOM;MASC;SG
गुड	labais	गुड	labs		ADJ;NOM;MASC;SG
धनुष	tauriņi	धनुष	tauriņš	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
एप्पल	apple	एप्पल	apple	PROPN;NOM;MASC;SG;3	
एप्पल	ābols	एप्पल	ābols	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
एप्पल	ābolu	एप्पल	ābols	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
मधु	medu	मधु	medus	PROPN;NOM;MASC;SG;3	N;ACC;MASC
मधु	mīļā	मधु	mīļa	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मधु	medus	मधु	medus	PROPN;NOM;MASC;SG;3	N;NOM;MASC
परिदृश्य	palestīnas	परिदृश्य	palestīna	N;NOM;MASC;SG;3	PROPN;NOM;FEM;PL
परिदृश्य	palestīnā	परिदृश्य	palestīna	N;NOM;MASC;SG;3	PROPN;ESS;FEM;SG
परिदृश्य	ainavu	परिदृश्य	ainava	N;NOM;MASC;SG;3	N;ACC;FEM;SG
परिदृश्य	ainavas	परिदृश्य	ainava	N;NOM;MASC;SG;3	N;NOM;FEM;PL
परिदृश्य	scenārijā	परिदृश्य	scenārija	N;NOM;MASC;SG;3	N;ESS;MASC;SG
परिदृश्य	perspektīva	परिदृश्य	perspektīva	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
परिदृश्य	perspektīvas	परिदृश्य	perspektīva	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
पालि	daivas	पालि	daiva		N;NOM;FEM;PL
हार्वर्ड	hārvardas	हार्वर्ड	hārvarda	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
