van	f	van	!	ADP	
herhaald	متكررة	herhalen	مُتَكَرِّر	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
failliet	افلاس	failliet	افلاس	ADJ	N;NOM;INDF;SG
failliet	افلاس	failliet	افلاس	ADJ	N;NOM;INDF;SG
failliet	الافلاس	failliet	فِلم	ADJ	N;NOM;DEF;SG
after	بعدما	after	بَعدَمَا		CONJ
after	بعد	after	بَعدَ		ADP;NOM
grove	بستان	grof	بستان	ADJ	
concerto	الكونشرتو	concerto	الكونشرتو	N;MASC+FEM;SG	
concerto	كونشرتو	concerto	كُونشرتُو	N;MASC+FEM;SG	
kanker	سرطان	kanker	سُرطَانَ	N;MASC+FEM;SG	
middelste	المنتصف	middel	مُنتَصَف	ADJ;RL	N;NOM;DEF;SG
middelste	الوسط	middel	وَسط	ADJ;RL	N;NOM;DEF;SG
middelste	وسط	middel	وَسط	ADJ;RL	N;NOM;INDF;SG
territorium	الاقليم	territorium	إِقلِيم	N;NEUT;SG	
territorium	اقليم	territorium	اقليم	N;NEUT;SG	
lekker	الخير	lekker	خَير	ADJ	N;NOM;DEF;SG
lekker	طيب	lekker	طيب	ADJ	
lekker	بخير	lekker	بخير	ADJ	
lekker	لذيذ	lekker	لَذِيذ	ADJ	
lekker	حلو	lekker	حُلُوّ	ADJ	
lekker	جميل	lekker	جَمِيل	ADJ	N;NOM;INDF;SG
lekker	لطيف	lekker	لطيف	ADJ	N;NOM;INDF;SG
mager	نحيل	maag	نحيل	ADJ	
parma	بارما	parma	بَارِم	N;NEUT;SG	
verspreiden	توزيع	verspreiden	تَوزِيع	V;NFIN	N;NOM;INDF;SG
verspreiden	انتشار	verspreiden	اِنتِشَار	V;NFIN	N;NOM;INDF;SG
verspreiden	انشر	verspreiden	انشر	V;NFIN	
verspreiden	انتشار	verspreiden	اِنتِشَار	V;NFIN	N;NOM;INDF;SG
missen	مشتاق	missen	مُشتَاق	V;NFIN	
missen	مفقودين	missen	مَفقُود	V;NFIN	ADJ;NOM;INDF;MASC;PL
missen	المفقودين	missen	مَفقُود	V;NFIN	ADJ;ACC;DEF;MASC;PL
missen	مفقودة	missen	مَفقُود	V;NFIN	ADJ;NOM;INDF;FEM;SG
missen	مفقود	missen	مَفقُود	V;NFIN	ADJ;NOM;INDF;MASC;SG
mitchell	ميتشل	mitchell	مِيتشِل	N;MASC+FEM;SG	
mitchell	ميتشيل	mitchell	مِيتشِيل	N;MASC+FEM;SG	
vliegt	الذباب	vliegen	ذَبَّاب	V;SG;PRS;FIN	N;NOM;DEF;SG
favoriete	المفضلة	favoriet	مُفضَلّ	ADJ	N;NOM;DEF;SG
favoriete	المفضلة	favoriet	مُفضَلّ	ADJ	N;NOM;DEF;SG
habitat	الموائل	habitat	مَائِل	N;MASC+FEM;SG	N;NOM;DEF;PL
habitat	الموائل	habitat	مَائِل	N;MASC+FEM;SG	N;NOM;DEF;PL
duidelijker	اوضح	duidelijk	أَوضَح	ADJ;CMPR	V;PFV;MASC;SG;3;ACT
harrison	هاريسون	harrison	هاريسون	N;MASC+FEM;SG	
gek	جنون	gek	جنون	ADJ	N;NOM;INDF;SG
gek	مجنون	gek	مَجنُون	ADJ	
keith	كيث	keith	كَيثَ	N;MASC+FEM;SG	
tentoonstellingen	المعارض	tentoonstelling	مَعرِض	N;PL	N;NOM;DEF;SG
osaka	اوساكا	osaka	وَسك	N;NEUT;SG	
rocha	روشا	rocha	روشا	N;MASC+FEM;SG	
vlaggen	الاعلام	vlaggen	إِعلَام	N;PL	N;NOM;DEF;SG
vlaggen	اعلام	vlaggen	إِعلَام	N;PL	N;NOM;INDF;SG
opper	علوي	opper	علوي	N;MASC+FEM;SG	
opper	العليا	opper	العليا	N;MASC+FEM;SG	
wimbledon	ويمبلدون	wimbledon	ويمبلدون	N;NEUT;SG	
gravin	الكونتيسة	gravin	الكونتيسة	N;MASC+FEM;SG	
ruwe	نيئة	ruw	نَيئَة	ADJ	N;NOM;INDF;SG
ruwe	خشن	ruw	خَشن	ADJ	N;NOM;INDF;SG
opgesloten	مقفل	opsluiten	مُقفِل	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
willekeurige	تعسفي	willekeurig	تَعَسُّفِيّ	ADJ	
leeuwen	الاسود	leeuw	أَسوَد	N;PL	N;NOM;DEF;SG
stoel	كرسي	stoel	كرسي	N;MASC+FEM;SG	
stoel	سيات	stoel	سَاتِيّ	N;MASC+FEM;SG	
zaden	بذرة	zaad	بِذرَة	N;PL	N;NOM;INDF;SG
gestoken	طعن	steken	طَعن	V;V.PTCP	N;NOM;INDF;SG
claus	كلوز	claus	كلوز	N;MASC+FEM;SG	
spencer	سبنسر	spencer	سبنسر	N;MASC+FEM;SG	
spencer	سبينسر	spencer	سبينسر	N;MASC+FEM;SG	
rita	ريتا	rita	ريتا	N;MASC+FEM;SG	
sven	سفين	sven	سَفِين	N;MASC+FEM;SG	
dwars	مستعرض	dwars	مُستَعرِض	ADJ	N;NOM;INDF;SG
testen	الاختبار	testen	اِختِبَار	V;NFIN	N;NOM;DEF;SG
testen	اختبار	testen	اِختِبَار	V;NFIN	N;NOM;INDF;SG
testen	اختبر	testen	اِختَبَر	V;NFIN	
testen	اختبارات	testen	اِختِبَار	V;NFIN	N;NOM;INDF;PL
testen	الاختبارات	testen	اِختِبَار	V;NFIN	N;NOM;DEF;PL
testen	الاختبار	testen	اِختِبَار	V;NFIN	N;NOM;DEF;SG
testen	اختبار	testen	اِختِبَار	V;NFIN	N;NOM;INDF;SG
neerslag	تداعيات	neerslag	تَدَاعِي	N;MASC+FEM;SG	N;NOM;INDF;PL
streken	الاقاليم	streek	أَقلَام	N;PL	
verlichting	اضواء	verlichting	ضَوء	N;MASC+FEM;SG	N;NOM;INDF;PL
verlichting	الاضواء	verlichting	ضَوء	N;MASC+FEM;SG	N;NOM;DEF;PL
verlichting	انوار	verlichting	نَورَة	N;MASC+FEM;SG	
verlichting	الانوار	verlichting	نَارِي	N;MASC+FEM;SG	N;NOM;DEF;PL
engel	الملاك	engel	مَالِك	N;MASC+FEM;SG	N;NOM;DEF;PL
engel	ملاك	engel	ملاك	N;MASC+FEM;SG	
engel	انجيل	engel	أَنجِيل	N;MASC+FEM;SG	
engel	انجل	engel	أَنجَل	N;MASC+FEM;SG	
germain	جيرمان	rmainen	جِيرَمَان	N;MASC+FEM;SG	
suzuki	سوزوكي	suzuki	سُوزُوكِي	N;MASC+FEM;SG	
glasgow	جلاسكو	glasgow	جُلسكُو	N;NEUT;SG	
glasgow	غلاسكو	glasgow	غلاسكو	N;NEUT;SG	
stan	ستان	stan	ستان	N;MASC+FEM;SG	
donna	دونا	donna	دونا	N;MASC+FEM;SG	
levend	حيا	leven	حَيّ	V;V.PTCP	N;NOM;INDF;SG
levend	احياء	leven	حَيّ	V;V.PTCP	ADJ;NOM;INDF;MASC;PL
levend	حية	leven	حَيَّة	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
levend	حي	leven	حَيّ	V;V.PTCP	
meyer	ماير	meyer	مَايِر	N;MASC+FEM;SG	
palestijnse	فلسطين	palestijns	فِلَسطِين	ADJ	N;NOM;INDF;SG
palestijnse	الفلسطيني	palestijns	فِلَسطِينِيّ	ADJ	N;NOM;DEF;SG
palestijnse	فلسطيني	palestijns	فِلَسطِينِيّ	ADJ	N;NOM;INDF;SG
vesting	حصن	vesting	حَصَّن	N;MASC+FEM;SG	
wezens	المخلوقات	wezen	مَخلُوق	N;PL	ADJ;NOM;DEF;FEM;PL
wezens	مخلوقات	wezen	مُخلَوِق	N;PL	ADJ;NOM;INDF;FEM;PL
montana	مونتانا	montana	مُونتَانَا	N;MASC+FEM;SG	
pascoe	باسكو	pascoe	باسكو	N;MASC+FEM;SG	
voc	v	voc	!	N;MASC+FEM;SG	
bolívar	بوليفار	bolívar	بوليفار	N;MASC+FEM;SG	
republikeinse	جمهوري	republikeins	جمهوري	ADJ	N;NOM;INDF;SG
rica	ريكا	rica	ريكا	PROPN;NEUT;SG	
dansen	قص	dansen	قَصّ	V;NFIN	
dansen	الرقص	dansen	رَقص	V;NFIN	N;NOM;DEF;SG
dansen	رقص	dansen	رَقص	V;NFIN	N;NOM;INDF;SG
dansen	رقصة	dansen	رَقصَة	V;NFIN	N;NOM;INDF;SG
dansen	الرقص	dansen	رَقص	V;NFIN	N;NOM;DEF;SG
dansen	رقص	dansen	رَقص	V;NFIN	N;NOM;INDF;SG
dansen	ترقص	dansen	رَقَّص	V;NFIN	
spectrum	طيف	spectrum	طيف	N;NEUT;SG	
inrichting	ديكور	inrichting	ديكور	N;MASC+FEM;SG	
omstreden	الخلافية	omstreden	خِلَافِيّ	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
england	انجلترا	england	إِنجِلتِرَا		
england	انكلترا	england	انكلترا		
colin	كولن	colin	كُولِن	N;MASC+FEM;SG	
jonas	يونس	jonas	يُونِس	N;MASC+FEM;SG	
jonas	جوناس	jonas	جُونَاس	N;MASC+FEM;SG	
doorgaan	مواصلة	doorgaan	مُوَاصَلَة	V;NFIN	N;NOM;INDF;SG
doorgaan	الاستمرار	doorgaan	اِستِمرَار	V;NFIN	N;NOM;DEF;SG
doorgaan	تواصل	doorgaan	تَوَاصُل	V;NFIN	N;NOM;INDF;SG
doorgaan	مستمرة	doorgaan	مُستَمِرّ	V;NFIN	ADJ;NOM;INDF;FEM;SG
doorgaan	مستمر	doorgaan	مُستَمِرّ	V;NFIN	ADJ;NOM;INDF;MASC;SG
bom	بله	bom	بَلَه	N;MASC+FEM;SG	
zelfde	نفس	zelfde	نَفس	ADJ	N;NOM;PSSD;SG
zelfde	نفسه	zelfde	نفسه	ADJ	PRO;NOM;MASC;SG;3
linker	اليسار	linker	يَسَار	ADJ	N;NOM;DEF;SG
linker	يسار	linker	سَار	ADJ	
stabiel	ثابت	stabiel	ثابت	ADJ	
stabiel	ثبات	stabiel	ثَبَات	ADJ	N;NOM;INDF;SG
stabiel	بثبات	stabiel	بَثبَة	ADJ	N;NOM;INDF;SG
minnesota	مينيسوتا	minnesota	مينيسوتا	N;MASC+FEM;SG	
gekleurd	ملون	kleuren	مِلوَن	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
gekleurd	ملونة	kleuren	مُلَوَّن	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
igor	ايغور	igor	ايغور	N;MASC+FEM;SG	
igor	ايجور	igor	إِيجُور	N;MASC+FEM;SG	
praktische	العملي	praktisch	عَمَلِيّ	ADJ	
ted	تيد	ted	تيد	N;MASC+FEM;SG	
ted	تد	ted	تَدّ	N;MASC+FEM;SG	V;IPFV;FEM;IND;SG;3;FIN;ACT
circus	سيرك	circus	سيرك	N;NEUT;SG	
beatles	البيتلز	beatle	بِيتلز	N;PL	
deeltjes	الجسيم	deel	الجسيم	N;PL	N;NOM;DEF;SG
deeltjes	جسيم	deel	جَسِيم	N;PL	N;NOM;INDF;SG
begeleiding	هدى	begeleiding	هدى	N;MASC+FEM;SG	
begeleiding	الارشادات	begeleiding	الارشادات	N;MASC+FEM;SG	N;NOM;DEF;PL
begeleiding	ارشادات	begeleiding	إِرشَاد	N;MASC+FEM;SG	N;NOM;INDF;PL
sofia	صوفيا	sofia	صُوفِيَا	N;MASC+FEM;SG	
zoom	كبر	zoom	كَبر	N;MASC+FEM;SG	
comedy	الكوميديا	comedy	كُومِيدِيَا	N;MASC+FEM;SG	
comedy	كوميديا	comedy	كُومِيدِيَا	N;MASC+FEM;SG	
statistiek	احصاءات	statistiek	إِحصَاء	N;MASC+FEM;SG	N;NOM;INDF;PL
statistiek	الاحصائيات	statistiek	إِحصَائِيّ	N;MASC+FEM;SG	ADJ;NOM;DEF;FEM;PL
statistiek	الاحصاءات	statistiek	إِحصَاء	N;MASC+FEM;SG	N;NOM;DEF;PL
statistiek	احصائيات	statistiek	إِحصَائِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;PL
return	العودة	return	عَودَة		N;NOM;DEF;SG
return	عودة	return	عَودَة		N;NOM;INDF;SG
nicole	نيكول	nicole	نِيكُول	N;MASC+FEM;SG	
paren	التزاوج	paar	تَزَاوُج	N;PL	N;NOM;DEF;SG
boeddhistische	البوذية	boeddhistisch	بُوذِيّ	ADJ	N;NOM;DEF;SG
tekens	الاحرف	teken	أَحرَف	N;PL	N;NOM;DEF;SG
shi	شي	shi	شي	N;MASC+FEM;SG	
voelen	تحس	voelen	تَحِسس	V;NFIN	
voelen	اشعر	voelen	أَشعَر	V;NFIN	
voelen	شعور	voelen	شُعُور	V;NFIN	N;NOM;INDF;SG
voelen	الاحساس	voelen	إِحسَاس	V;NFIN	N;NOM;DEF;SG
voelen	اشعر	voelen	أَشعَر	V;NFIN	
voelen	الشعور	voelen	شُعُور	V;NFIN	N;NOM;DEF;SG
voelen	احساس	voelen	إِحسَاس	V;NFIN	N;NOM;INDF;SG
opgeleid	المتعلمين	opleiden	مُتَعَلِّم	V;V.PTCP	ADJ;ACC;DEF;MASC;PL
opgeleid	مثقف	opleiden	مُثَقَّف	V;V.PTCP	N;NOM;INDF;SG
opgeleid	متعلم	opleiden	مُتَعَلِّم	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
vloer	ارضية	vloer	أَرضِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
vloer	ارضية	vloer	أَرضِيّ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
vloer	الارضية	vloer	أَرضِيّ	N;MASC+FEM;SG	
fysieke	بدني	fysiek	بدني	ADJ	
verward	مشوش	verwarden	مَشوَش	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
verward	محتار	verwarden	محتار	V;V.PTCP	
verward	مرتبك	verwarden	مرتبك	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
verward	الخلط	verwarden	خَلط	V;V.PTCP	N;NOM;DEF;SG
daniël	دانيال	daniël	دَانِيَال	N;MASC+FEM;SG	
daniël	دانييل	daniël	دَانِيِيل	N;MASC+FEM;SG	
daniël	دانيل	daniël	دانيل	N;MASC+FEM;SG	
fijn	حلو	fijn	حُلُوّ	ADJ	
fijn	جميل	fijn	جَمِيل	ADJ	N;NOM;INDF;SG
fijn	لطيف	fijn	لطيف	ADJ	N;NOM;INDF;SG
gestolen	مسروقة	stelen	مَسرُوق	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
gestolen	مسروق	stelen	مَسرُوق	V;V.PTCP	
gestolen	المسروقة	stelen	مَسرُوق	V;V.PTCP	N;NOM;DEF;SG
ijssel	i	ijssel	!	N;MASC+FEM;SG	
oplossen	حسم	oplossen	حَسم	V;NFIN	N;NOM;INDF;SG
oplossen	العزيمة	oplossen	عَزِيمَة	V;NFIN	N;NOM;DEF;SG
oplossen	عزم	oplossen	عَزم	V;NFIN	N;NOM;INDF;SG
oplossen	عزيمة	oplossen	عَزِيم	V;NFIN	N;NOM;INDF;SG
oplossen	حل	oplossen	حَلّ	V;NFIN	N;NOM;INDF;SG
klachten	الشكوى	klacht	شَكوَى	N;PL	N;NOM;DEF;SG
klachten	شكوى	klacht	شَكوَى	N;PL	N;NOM;INDF;SG
omgebouwd	المحولة	ombouwen	مُحَوَّل	V;V.PTCP	N;NOM;DEF;SG
helling	تدرج	helling	دَرَج	N;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
birmingham	برمينغهام	birmingham	برمينغهام	N;NEUT;SG	
birmingham	برمنغهام	birmingham	برمنغهام	N;NEUT;SG	
sneeuw	ثلج	sneeuw	ثُلج	N;MASC+FEM;SG	
sneeuw	سنو	sneeuw	سَنُوّ	N;MASC+FEM;SG	
lorenzo	لورينزو	lorenzo	لورينزو	N;MASC+FEM;SG	
lorenzo	لورنزو	lorenzo	لُورنزُو	N;MASC+FEM;SG	
gevoelig	الحساس	gevoelig	حِسَاس	ADJ	
gevoelig	الحساسة	gevoelig	حَسَّاس	ADJ	N;NOM;DEF;SG
gevoelig	حساس	gevoelig	حَسَّاس	ADJ	N;NOM;INDF;SG
linden	ليندن	linden	ليندن	N;PL	
geboortestad	مسقط	geboortestad	مَسقَط	N;MASC+FEM;SG	
romantische	رومانسي	romantisch	رُومَانسِيّ	ADJ	
blood	دماء	blood	دَم		N;NOM;INDF;PL
blood	دم	blood	دَم		N;NOM;INDF;SG
blood	دما	blood	دَم		N;NOM;INDF;SG
blood	الدم	blood	دَم		N;NOM;DEF;SG
lars	لارس	lars	لارس	N;MASC+FEM;SG	
debat	النقاش	debat	النقاش	N;NEUT;SG	
kiev	كييف	kielen	كييف	PROPN;NEUT;SG	
verwerken	العملية	verwerken	عَمَلِيَّة	V;NFIN	N;NOM;DEF;SG
verwerken	عملية	verwerken	عَمَلِيَّة	V;NFIN	N;NOM;INDF;SG
verwerken	معالجة	verwerken	مُعَالَجَة	V;NFIN	N;NOM;INDF;SG
verwerken	التجهيز	verwerken	تَجهِيز	V;NFIN	N;NOM;DEF;SG
verwerken	المعالجة	verwerken	مُعَالَجَة	V;NFIN	N;NOM;DEF;SG
verwerken	تجهيز	verwerken	تَجهِيز	V;NFIN	N;NOM;INDF;SG
breder	اوسع	breed	أَوسَع	ADJ;CMPR	
breder	اوسع	breed	أَوسَع	ADJ;CMPR	
grace	جريس	grace	جَرِيس	N;MASC+FEM;SG	
grace	غريس	grace	غرِيس	N;MASC+FEM;SG	
grace	غرايس	grace	غرَايس	N;MASC+FEM;SG	
benen	ارجل	been	أَرجَل	N;PL	
benen	الارجل	been	أَرجَل	N;PL	N;NOM;DEF;SG
benen	السيقان	been	سِيقَان	N;PL	
benen	الساقين	been	سَاقِين	N;PL	N;NOM;DEF;DU
opgravingen	الحفريات	opgraving	حَفرِيَّات	N;PL	
kenia	كينيا	kenia	كِينِيَا	PROPN;NEUT;SG	
ineens	فجاة	ineens	فَجَاة	ADV	N;NOM;INDF;SG
tel	كونت	tellen	كُونت	N;MASC+FEM;SG	
tel	الكونت	tellen	كُونت	N;MASC+FEM;SG	
tel	تل	tellen	تَلّ	N;MASC+FEM;SG	
sri	سري	sri	سري	PROPN;NEUT;SG	
société	société	société	قَسِيسَة	N;MASC+FEM;SG	
nigeria	نيجيريا	nigeria	نَيجِيرِيَا	PROPN;NEUT;SG	
margaret	مارغريت	margaret	مارغريت	N;MASC+FEM;SG	
margaret	مارجريت	margaret	مارجريت	N;MASC+FEM;SG	
christine	كرستين	christine	كَرسَة	N;MASC+FEM;SG	N;NOM;INDF;DU
christine	كريستين	christine	كرِيسَة	N;MASC+FEM;SG	
alfons	الفونسو	alfons	اَلفُونسُو	N;MASC+FEM;SG	
gfdl	gfd	gfdl	مُثَّة	N;MASC+FEM;SG	
pete	بيت	peten	بيت	N;MASC+FEM;SG	
htm	h	htm	h	PROPN;NEUT;SG	
sanders	ساندرز	sander	ساندرز	N;PL	
bewaren	حفظ	bewaren	حِفظ	V;NFIN	
bewaren	انقاذ	bewaren	إِنقَاذ	V;NFIN	N;NOM;INDF;SG
bewaren	احفظ	bewaren	أَحفَظ	V;NFIN	
bewaren	مخزن	bewaren	مَخزَن	V;NFIN	N;NOM;INDF;SG
bewaren	المخزن	bewaren	مَخزَن	V;NFIN	N;NOM;DEF;SG
bewaren	المتجر	bewaren	مُتَجَرِّر	V;NFIN	N;NOM;DEF;SG
bewaren	متجر	bewaren	مَتجَر	V;NFIN	
bewaren	تخزين	bewaren	تَخزِين	V;NFIN	N;NOM;INDF;SG
wonder	عجب	wonder	عَجَب	N;NEUT;SG	
nero	نيرو	nero	نَيرُو	N;MASC+FEM;SG	
catalonië	كاتالونيا	catalonië	كاتالونيا	N;MASC+FEM;SG	
galileo	غاليليو	galileo	غَالِيلِيُو	N;MASC+FEM;SG	
omringd	محاط	omringen	مُحَاطِي	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
bordeaux	بوردو	bordeaux	بوردو	N;MASC+FEM;SG	
komedie	الكوميديا	komedie	كُومِيدِيَا	N;MASC+FEM;SG	
komedie	كوميديا	komedie	كُومِيدِيَا	N;MASC+FEM;SG	
poliep	سليلة	poliep	سَلِيل	N;MASC+FEM;SG	
meervoud	جمع	meervoud	جَمَع	N;NEUT;SG	V;PFV;MASC;SG;3;ACT
verzoeken	طلب	verzoek	طَلَب	N;PL	N;NOM;INDF;SG
verzoeken	الطلب	verzoek	طَلَب	N;PL	N;NOM;DEF;SG
omgekeerd	عكس	omkeren	عَكس	V;V.PTCP	N;NOM;INDF;SG
omgekeerd	العكس	omkeren	عَكس	V;V.PTCP	N;NOM;DEF;SG
omgekeerd	المقلوب	omkeren	مَقلُوب	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
omgekeerd	مقلوب	omkeren	مُقَلُّب	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
dragon	تنين	dragon	تَنَيَّن	N;MASC+FEM;SG	
vegas	فيجاس	vegas	فيجاس	N;MASC+FEM;SG	
vegas	فيغاس	vegas	فِيغَاس	N;MASC+FEM;SG	
ltd	ltd	ltden	شَقّ		
vakantie	اجازه	vakantie	اجازه	N;MASC+FEM;SG	PRO;NOM;MASC;SG;3
vakantie	العطلات	vakantie	عَطَل	N;MASC+FEM;SG	N;NOM;DEF;PL
vakantie	الاجازات	vakantie	إِجَازَة	N;MASC+FEM;SG	N;NOM;DEF;PL
vakantie	اعياد	vakantie	عِيد	N;MASC+FEM;SG	N;NOM;INDF;PL
vecht	شجار	vechten	شَاجِر	V;SG;PRS;FIN	N;NOM;INDF;SG
vecht	قتال	vechten	قِتَال	V;SG;PRS;FIN	N;NOM;INDF;SG
vecht	القتال	vechten	قِتَال	V;SG;PRS;FIN	N;NOM;DEF;SG
curaçao	كوراساو	curaçao	كوراساو	N;MASC+FEM;SG	
palmer	بالمر	palm	بالمر	N;MASC+FEM;SG	
arme	مسكين	arm	مسكين	ADJ	
arme	الفقراء	arm	فَقِير	ADJ	N;NOM;DEF;PL
arme	الفقير	arm	فَقِير	ADJ	N;NOM;DEF;SG
arme	فقراء	arm	فَقِير	ADJ	N;NOM;INDF;PL
opgegeven	محدد	opgeven	مُحَدَّد	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
opgegeven	محددة	opgeven	مُحَدَّد	V;V.PTCP	ADJ;NOM;INDF;FEM;SG
opgegeven	المحدد	opgeven	مُحَدَّد	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
correcte	صحح	correct	صَحِح	ADJ	V;PFV;MASC;SG;3;ACT
noot	ملحوظة	noot	مَلحُوظ	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
noot	بندق	noot	بَندُق	N;MASC+FEM;SG	
happy	يسعد	happy	سَعِد	N;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
happy	سعيده	happy	سعيده	N;MASC+FEM;SG	PRO;NOM;FEM;SG;3
happy	هابي	happy	هابي	N;MASC+FEM;SG	
happy	سعيد	happy	سعيد	N;MASC+FEM;SG	
happy	سعيدة	happy	سَعِيد	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
navo	الناتو	navo	الناتو	N;MASC+FEM;SG	
restanten	مخلفات	restant	مُخَلَّف	N;PL	ADJ;NOM;INDF;FEM;PL
île	i	wle	!	PROPN;MASC+FEM;SG	
schilders	الرسامين	schilder	رَسمُون	N;PL	N;ACC;DEF;DU
ethiopië	اثيوبيا	ethiopië	أَثيُوبِيَا	PROPN;NEUT;SG	
maagd	بتول	maagd	بَتُول	N;MASC+FEM;SG	
simpel	بسيطه	simpel	بسيطه	ADJ	PRO;NOM;MASC;SG;3
simpel	البسيط	simpel	بَسِيط	ADJ	
marianne	ماريان	marianne	ماريان	N;MASC+FEM;SG	
atlanta	اتلانتا	atlanta	اِتِّلَان	N;MASC+FEM;SG	
sweet	حلو	sweet	حُلُوّ	N;MASC+FEM;SG	
sweet	حلوة	sweet	حَلوَة	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
sweet	الحلو	sweet	الحلو	N;MASC+FEM;SG	
groeiende	المتزايد	groeien	مُتَزَايِد	V;V.PTCP	ADJ;NOM;DEF;MASC;SG
meedoen	الانضمام	meedoen	اِنضِمَام	V;NFIN	N;NOM;DEF;SG
meedoen	انضمام	meedoen	اِنضِمَام	V;NFIN	N;NOM;INDF;SG
beschikbare	تتوفر	beschikbaar	تَوَفَّر	ADJ	V;IPFV;MASC;IND;SG;3;FIN;ACT
hawaï	هاواي	hawaï	هاواي	N;NEUT;SG	
hawaï	هواي	hawaï	هواي	N;NEUT;SG	
minderheid	الاقليات	minderheid	أَقلِيّ	N;MASC+FEM;SG	ADJ;NOM;DEF;FEM;PL
jose	خوزيه	jose	خُوزِيه	N;MASC+FEM;SG	
jose	خوسية	jose	خُوسِيّ	N;MASC+FEM;SG	
jose	خوسيه	jose	خُوسِيه	N;MASC+FEM;SG	
jose	خوزيه	jose	خُوزِيه	N;MASC+FEM;SG	
jose	خوسية	jose	خُوسِيّ	N;MASC+FEM;SG	
jose	خوسيه	jose	خُوسِيه	N;MASC+FEM;SG	
gevaarlijk	خطر	gevaarlijk	خَطَر	ADJ	N;NOM;INDF;SG
fruit	فواكه	fruit	فَاكِه	N;NEUT;SG	
fruit	الفواكه	fruit	فَاكِهَة	N;NEUT;SG	N;NOM;DEF;PL
fruit	فواكه	fruit	فَاكِه	N;NEUT;SG	
fruit	الفواكه	fruit	فَاكِهَة	N;NEUT;SG	N;NOM;DEF;PL
fruit	ثمار	fruit	ثَمَر	N;NEUT;SG	N;NOM;INDF;PL
zagreb	زغرب	zagreb	زَغرَب	N;NEUT;SG	
köln	köln	köln	köln	N;MASC+FEM;SG	
murphy	ميرفي	murphy	ميرفي	N;MASC+FEM;SG	
verbinden	الربط	verbinden	رَبط	V;NFIN	N;NOM;DEF;SG
verbinden	الوصل	verbinden	وَصَل	V;NFIN	N;NOM;DEF;SG
verbinden	ربط	verbinden	رَبط	V;NFIN	N;NOM;INDF;SG
verbinden	تواصل	verbinden	تَوَاصُل	V;NFIN	N;NOM;INDF;SG
verbinden	التواصل	verbinden	تَوَاصُل	V;NFIN	N;NOM;DEF;SG
verbinden	للتواصل	verbinden	للتواصل	V;NFIN	N;GEN;DEF;SG
theorieën	نظريات	theorieën	نَظَرِيَّة	N;PL	ADJ;NOM;INDF;FEM;PL
theorieën	النظريات	theorieën	نَظَرِيَّة	N;PL	ADJ;NOM;DEF;FEM;PL
visserij	المصائد	visserij	مَصئِد	N;MASC+FEM;SG	N;NOM;DEF;PL
claire	كلير	clair	كلير	ADJ	
ricardo	ريكاردو	ricardo	ريكاردو	N;MASC+FEM;SG	
afgeleide	مشتق	afleiden	مَشتِق	V;V.PTCP	ADJ;NOM;INDF;MASC;SG
afgeleide	المستمدة	afleiden	مُستَمَدّ	V;V.PTCP	ADJ;NOM;DEF;FEM;SG
script	السيناريو	script	السيناريو	N;NEUT;SG	
belastingen	الضريبة	belastingen	ضَرِيبَة	N;PL	N;NOM;DEF;SG
belastingen	ضريبي	belastingen	ضَرِيبِيّ	N;PL	ADJ;NOM;INDF;MASC;SG
belastingen	الضريبة	belastingen	ضَرِيبَة	N;PL	N;NOM;DEF;SG
belastingen	ضريبة	belastingen	ضَرِيبَة	N;PL	N;NOM;INDF;SG
vermeende	المزعوم	vermeend	مَزعُوم	ADJ	N;NOM;DEF;SG
vermeende	مزعوم	vermeend	مَزعُوم	ADJ	N;NOM;INDF;SG
oekraïense	الاوكرانية	oekraïens	الاوكرانية	ADJ	
oekraïense	اوكرانيا	oekraïens	اوكرانيا	ADJ	
detective	محقق	detective	محقق	N;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
detective	محققة	detective	محققة	N;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
stein	ستاين	stein	سَتَايِن	N;MASC+FEM;SG	
