और	وال	और	وَال		N;NOM;DEF;SG
ऑब्जेक्ट	الاجسام	ऑब्जेक्ट	جِسم	N;NOM;MASC;SG;3	N;NOM;DEF;PL
ऑब्जेक्ट	اجسام	ऑब्जेक्ट	إِجسَام	N;NOM;MASC;SG;3	
आतंकवादियों	الارهابيين	आतंकवादी	إِرهَابِيّ	N;ACC;MASC;PL;3	N;NOM;DEF;PL
आतंकवादियों	ارهابيين	आतंकवादी	إِرهَابِيّ	N;ACC;MASC;PL;3	N;NOM;INDF;PL
बकरी	عنزة	बकरी	عِنزَة		
बकरी	ماعز	बकरी	مَاعِز		N;NOM;INDF;SG
बकरी	الماعز	बकरी	مَاعِز		N;NOM;DEF;SG
महीन	ادق	महीन	أَدَّق		
स्विफ्ट	سويفت	स्विफ्ट	سويفت	PROPN;NOM;MASC;SG;3	
कुर्सी	كرسي	कुर्सी	كرسي	N;NOM;FEM;SG;3	
सिंधी	السندي	सिंधी	سَنَدِيّ		
दोहरा	دبل	दोहरा	دَبلَ	ADJ;NOM;MASC;SG	
दोहरा	مضاعفة	दोहरा	مُضَاعَفَة	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
दोहरा	ضعف	दोहरा	ضُعف	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
संविदा	حلف	संविदा	حِلف	N;NOM;MASC;SG;3	
संविदा	عقد	संविदा	عَقَد	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
शोधकर्ता	الباحث	शोधकर्ता	بَاحِث	N;NOM;MASC;PL;3	N;NOM;DEF;SG
शोधकर्ता	باحثة	शोधकर्ता	بَاحِث	N;NOM;MASC;PL;3	ADJ;NOM;INDF;FEM;SG
शोधकर्ता	باحث	शोधकर्ता	بَاحِث	N;NOM;MASC;PL;3	N;NOM;INDF;SG
रॉबिन	روبين	रॉबिन	رُوبِين	PROPN;NOM;MASC;SG;3	
रॉबिन	روبن	रॉबिन	رُوبِن	PROPN;NOM;MASC;SG;3	
बैंगनी	البنفسجي	बैंगनी	بَنفسِجِيّ		N;NOM;DEF;SG
बैंगनी	الارجواني	बैंगनी	أَرج		
बैंगनी	بيربل	बैंगनी	بِيربَل		
बैंगनी	البنفسج	बैंगनी	بِنفِسج		N;NOM;DEF;SG
बैंगनी	الباذنجان	बैंगनी	اَلبَاذِنجَان		N;NOM;DEF;SG
बैंगनी	باذنجان	बैंगनी	باكنجان		
बैंगनी	فيوليت	बैंगनी	فيوليت		
व्यू	بواب	व्यू	بَاب	PROPN;NOM;MASC;SG;3	
व्यू	البواب	व्यू	بَابّ	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
प्रक्षेपास्त्र	روكيت	प्रक्षेपास्त्र	روكيت	N;NOM;MASC;SG;3	
बीजिंग	بكين	बीजिंग	بِكِين	PROPN;NOM;MASC;SG;3	
बीजिंग	بيجين	बीजिंग	بِيجِين	PROPN;NOM;MASC;SG;3	
स्वैच्छिक	طوعي	स्वैच्छिक	طُوعِيّ	PROPN;NOM	N;NOM;INDF;SG
स्वैच्छिक	الطوعية	स्वैच्छिक	طَوعِيّ	PROPN;NOM	N;NOM;DEF;SG
स्वैच्छिक	طوعية	स्वैच्छिक	طَوعِيّ	PROPN;NOM	ADJ;NOM;INDF;FEM;SG
प्रौढ़	بالغا	प्रौढ़	بَالِغ		ADJ;ACC;INDF;MASC;SG
प्रौढ़	راشد	प्रौढ़	راشد		
प्रौढ़	بالغ	प्रौढ़	بَالِغ		ADJ;NOM;INDF;MASC;SG
कैलिफ़ोर्निया	كالفورنيا	कैलिफ़ोर्निया	كالفورنيا	PROPN;NOM;MASC;SG;3	
कैलिफ़ोर्निया	كاليفورنيا	कैलिफ़ोर्निया	كَالِيفُورنِيَا	PROPN;NOM;MASC;SG;3	
कैलगरी	كالغاري	कैलगरी	كالغاري	N;NOM;MASC;SG;3	
महलों	القصور	महल	قُصُور	N;ACC;MASC;PL;3	N;NOM;DEF;SG
महलों	قصور	महल	قُصُور	N;ACC;MASC;PL;3	N;NOM;INDF;SG
वार्तालाप	الاحاديث	वार्तालाप	حَدِيث	N;NOM;FEM;SG;3	
वार्तालाप	محادثات	वार्तालाप	مُحَادَثَة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
वार्तालाप	المحادثات	वार्तालाप	مُحَادَثَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
बुद्धिमान	ذكاء	बुद्धिमान	ذَكَاء	N;NOM;MASC;SG;3	
उभरते	الناشئة	उभर	نَاشِئ	V;IPFV;MASC;PL;V.PTCP;ACT	N;NOM;DEF;SG
उभरते	ناشئة	उभर	نَاشِئ	V;IPFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;FEM;SG
उभरते	ناشئ	उभर	نَاشِئ	V;IPFV;MASC;PL;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG
फोकस	ركز	फोकस	رَكَّز		V;PFV;MASC;SG;3;ACT
फोकस	التركيز	फोकस	تَركِيز		N;NOM;DEF;SG
फोकस	تركيز	फोकस	تَركِيز		N;NOM;INDF;SG
जावेद	جافيد	जावेद	جَافِيد	PROPN;NOM;MASC;SG;3	
रुझान	التوجهات	रुझान	تَوَجُّه	N;NOM;MASC;SG;3	N;NOM;DEF;PL
रुझान	الاتجاهات	रुझान	اِتِّجَاه	N;NOM;MASC;SG;3	N;NOM;DEF;PL
रुझान	اتجاهات	रुझान	اِتِّجَاه	N;NOM;MASC;SG;3	N;NOM;INDF;PL
वेशभूषा	زي	वेशभूषा	زي	N;NOM;FEM;SG;3	
वेशभूषा	ازياء	वेशभूषा	زِيّ	N;NOM;FEM;SG;3	
भागीदार	المشاركون	भागीदार	مُشَارِك	N;NOM;MASC;SG;3	N;NOM;DEF;PL
भागीदार	المشتركون	भागीदार	مُشتَرَك	N;NOM;MASC;SG;3	N;NOM;DEF;PL
स्पेंसर	سبنسر	स्पेंसर	سبنسر	N;NOM;MASC;SG;3	
स्पेंसर	سبينسر	स्पेंसर	سبينسر	N;NOM;MASC;SG;3	
अस्पतालों	مستشفيات	अस्पताल	مُستَشفَى	N;ACC;MASC;PL;3	N;NOM;INDF;PL
अस्पतालों	المستشفيات	अस्पताल	مُستَشفَى	N;ACC;MASC;PL;3	N;NOM;DEF;PL
विक्रेताओं	البائعين	विक्रेता	بَائِع	N;ACC;MASC;PL;3	N;NOM;DEF;PL
वान	الفان	वान	فَان	PROPN;NOM;MASC;SG;3	
वान	فان	वान	فَان	PROPN;NOM;MASC;SG;3	
पुस्तिका	كتيب	पुस्तिका	كَتِيب	N;NOM;FEM;SG;3	
तुर्कमेनिस्तान	تركمانستان	तुर्कमेनिस्तान	تركمانستان	PROPN;NOM;MASC;SG;3	
देखिए	شاهد	देखिया	شَاهَد	V;SBJV;SG;FIN;ACT	
देखिए	ترى	देखिया	رَأَى	V;SBJV;SG;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
रॉबर्ट्स	روبرتس	रॉबर्ट्स	رُوبِرتس	PROPN;NOM;MASC;SG;3	
क्लाइंट	زبائن	क्लाइंट	زبائن	N;NOM;MASC;SG;3	N;NOM;INDF;PL
क्लाइंट	عملاء	क्लाइंट	عَمِيل	N;NOM;MASC;SG;3	N;NOM;INDF;PL
क्लाइंट	العملاء	क्लाइंट	عَمِيل	N;NOM;MASC;SG;3	N;NOM;DEF;PL
डायरी	يوميات	डायरी	يَومِيّ	N;NOM;FEM;SG;3	ADJ;NOM;INDF;FEM;PL
डायरी	اليوميات	डायरी	يَومِيّ	N;NOM;FEM;SG;3	N;NOM;DEF;PL
डायरी	مذكرات	डायरी	مُذَكِّرَة	N;NOM;FEM;SG;3	N;NOM;INDF;PL
अपडेट	التحديثات	अपडेट	تَحدِيث	N;NOM;MASC;SG;3	N;NOM;DEF;PL
अपडेट	تحديثات	अपडेट	تَحدِيث	N;NOM;MASC;SG;3	N;NOM;INDF;PL
चैम्पियन	تشامب	चैम्पियन	تَشَامُب	N;NOM;MASC;SG;3	
डेनिस	دنيس	डेनिस	دنيس	PROPN;NOM;MASC;SG;3	
जोएल	جويل	जोएल	جويل	PROPN;NOM;MASC;SG;3	
जोएल	جول	जोएल	جول	PROPN;NOM;MASC;SG;3	
मैगज़ीन	المجلات	मैगज़ीन	مَجَلّ	PROPN;NOM;MASC;SG;3	N;NOM;DEF;PL
मैगज़ीन	مجلات	मैगज़ीन	مَجَلَّة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;PL
भ्रमित	مشوش	भ्रमित	مَشوَش		ADJ;NOM;INDF;MASC;SG
भ्रमित	محتار	भ्रमित	محتار		
भ्रमित	مرتبك	भ्रमित	مرتبك		ADJ;NOM;INDF;MASC;SG
भ्रमित	الخلط	भ्रमित	خَلط		N;NOM;DEF;SG
संस्मरण	مذكرات	संस्मरण	مُذَكِّرَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
बाप	الاب	बाप	الاب	N;NOM;MASC;SG;3	
बाप	ابت	बाप	أَبتَ	N;NOM;MASC;SG;3	
बाप	اب	बाप	آب	N;NOM;MASC;SG;3	
नग्न	عاري	नग्न	عَارِيّ		ADJ;NOM;INDF;MASC;SG
नग्न	عارية	नग्न	عَارِيَة		ADJ;NOM;INDF;FEM;SG
नग्न	عاريا	नग्न	عَارِيّ		ADJ;ACC;INDF;MASC;SG
नग्न	عراة	नग्न	عِرَاة		N;NOM;INDF;PL
नग्न	عارية	नग्न	عَارِيَة		ADJ;NOM;INDF;FEM;SG
कार्यभार	المهام	कार्यभार	مَهَمَّة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
कार्यभार	مهام	कार्यभार	مَهَمَّة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
एनालॉग	التناظرية	एनालॉग	تَنَاظُرِيّ	N;NOM;MASC;SG;3	
एनालॉग	تناظرية	एनालॉग	تَنَاظُرِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
ब्लेड	بليد	ब्लेड	بَلِيد	N;NOM;MASC;SG;3	
ब्लेड	نصل	ब्लेड	وَصَل	N;NOM;MASC;SG;3	PRO;NOM;MASC;PL;1
ब्लेड	شفرات	ब्लेड	شَفرَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
सदिश	موجه	सदिश	مُوَجَّه	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
सदिश	متجه	सदिश	مُتَّجِه	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
सदिश	الموجه	सदिश	مُوَجَّه	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
दायित्वों	الالتزامات	दायित्व	اِلتِزَام	N;ACC;MASC;PL;3	N;NOM;DEF;PL
दायित्वों	التزامات	दायित्व	اِلتِزَام	N;ACC;MASC;PL;3	N;NOM;INDF;PL
पावन	المقدس	पावन	مُقَدَّس		N;NOM;DEF;SG
पावन	المقدسة	पावन	مُقَدَّس		ADJ;NOM;DEF;FEM;SG
पावन	مقدس	पावन	مَقدَس		ADJ;NOM;INDF;MASC;SG
बैले	الباليه	बैले	الباليه	PROPN;NOM;MASC;SG;3	
बैले	باليه	बैले	باليه	PROPN;NOM;MASC;SG;3	
बैले	البالية	बैले	بَالِي	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;FEM;SG
बसंत	ربيع	बसंत	ربيع	PROPN;NOM;MASC;SG;3	
बसंत	الربيع	बसंत	رَبِيع	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
शर्ट	القمصان	शर्ट	قَمِيص	N;NOM;FEM;SG;3	N;NOM;DEF;PL
न्यायाधीशों	قضاة	न्यायाधीश	قَاضِي	N;ACC;MASC;PL;3	N;NOM;INDF;PL
न्यायाधीशों	القضاة	न्यायाधीश	قَاضِي	N;ACC;MASC;PL;3	N;NOM;DEF;PL
स्टैंड	يقف	स्टैंड	وَقَف	N;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;3;FIN;ACT
उपनिवेशों	المستعمرة	उपनिवेश	مُستَعمِر	N;ACC;MASC;PL;3	N;NOM;DEF;SG
उपनिवेशों	مستعمرة	उपनिवेश	مُستَعمِر	N;ACC;MASC;PL;3	N;NOM;INDF;SG
बहुवचन	جمع	बहुवचन	جَمَع	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
मिसौरी	ميسوري	मिसौरी	ميسوري	PROPN;NOM;MASC;SG;3	
कार्गो	حمولة	कार्ग	حُمُولَة	N;NOM;MASC;PL;3	N;NOM;INDF;SG
कार्गो	الشحن	कार्ग	شَحن	N;NOM;MASC;PL;3	N;NOM;DEF;SG
कार्गो	شحنة	कार्ग	شَحنَة	N;NOM;MASC;PL;3	N;NOM;INDF;SG
कार्गो	شحن	कार्ग	شَحن	N;NOM;MASC;PL;3	N;NOM;INDF;SG
कार्गो	الحمولة	कार्ग	حُمُولَة	N;NOM;MASC;PL;3	N;NOM;DEF;SG
आमेर	عامر	आमेर	عَامِر	PROPN;NOM;MASC;SG;3	
दारा	داريوس	दारा	دَارِيُوس	PROPN;NOM;MASC;SG;3	
दारा	دارا	दारा	دَارَا	PROPN;NOM;MASC;SG;3	
फ़्रांसीसी	فرنسيا	फ़्रांसीसी	فَرَنسِيّ	PROPN;NOM;MASC;SG;3	ADJ;ACC;INDF;MASC;SG
फ़्रांसीसी	فرنسية	फ़्रांसीसी	فَرَنسِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
फ़्रांसीसी	بالفرنسية	फ़्रांसीसी	بالفرنسية	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
फ़्रांसीसी	الفرنسية	फ़्रांसीसी	فَرَنسِيَّة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
फ़्रांसीसी	فرنسي	फ़्रांसीसी	فَرَنسِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
पड़ेगा	فلدي	पड़	فلدي	V;MASC;IND;SG;3;FUT;FIN;ACT	
सच्चा	حقيقي	सच्चा	حَقِيقِيّ	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
सच्चा	صحيح	सच्चा	صَحِيح	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
अमोनिया	الامونيا	अमोनिया	أَمُونِيّ	N;NOM;MASC;SG;3	
उल्टा	عكس	उल्टा	عَكس		N;NOM;INDF;SG
उल्टा	العكس	उल्टा	عَكس		N;NOM;DEF;SG
उल्टा	المقلوب	उल्टा	مَقلُوب		ADJ;NOM;DEF;MASC;SG
उल्टा	مقلوب	उल्टा	مُقَلُّب		ADJ;NOM;INDF;MASC;SG
एलेन	ايلين	एलेन	ايلين	PROPN;NOM;MASC;SG;3	
एलेन	الين	एलेन	الين	PROPN;NOM;MASC;SG;3	
किराए	فارس	किराया	فارس	N;NOM;MASC;SG;3	
न्यायालयों	محاكم	न्यायालय	مَحكَمَة	N;ACC;MASC;PL;3	N;NOM;INDF;PL
न्यायालयों	المحاكم	न्यायालय	مَحكَمَة	N;ACC;MASC;PL;3	N;NOM;DEF;PL
एस्टन	استون	एस्टन	استون	PROPN;NOM;MASC;SG;3	
मांसपेशी	العضلات	मांसपेशी	عُضلَة	N;NOM;FEM;SG;3	N;NOM;DEF;PL
मांसपेशी	عضلات	मांसपेशी	عضلات	N;NOM;FEM;SG;3	N;NOM;INDF;PL
विषाक्त	سمية	विषाक्त	سمية	N;NOM;MASC;SG;3	
तूफ़ान	العواصف	तूफ़ान	عَاصِفَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
तूफ़ान	عواصف	तूफ़ान	عَاصِفَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
तूफ़ान	ستورم	तूफ़ान	ستورم	N;NOM;MASC;SG;3	
कड़ा	ضيق	कड़ा	ضيق	ADJ;NOM;MASC;SG	N;NOM;INDF;SG
कड़ा	بجد	कड़ा	بَجدَ	ADJ;NOM;MASC;SG	
बारूद	البارود	बारूद	بَارُود		
बदली	غائم	बदल	غَائِم	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;INDF;SG
मूसा	موسى	मूसा	موسى	PROPN;NOM;MASC;SG;3	
पिंक	الوردي	पिंक	وَردِيّ	PROPN;NOM;FEM;SG;3	N;NOM;DEF;SG
पिंक	وردي	पिंक	وردي	PROPN;NOM;FEM;SG;3	
पिंक	وردية	पिंक	وَردِيّ	PROPN;NOM;FEM;SG;3	ADJ;NOM;INDF;FEM;SG
बैरी	باري	बैरी	باري		
चलाना	اعدام	चला	إِعدَام	V;MASC;NFIN;ACT	N;NOM;INDF;SG
चलाना	التنفيذ	चला	تَنفِيذ	V;MASC;NFIN;ACT	N;NOM;DEF;SG
चलाना	الاعدام	चला	إِعدَام	V;MASC;NFIN;ACT	N;NOM;DEF;SG
दादी	جدتي	दादी	جِدَة	N;NOM;FEM;SG;3	
मैथ्यू	ماثيو	मैथ्यू	مَاثِيُو	PROPN;NOM;MASC;SG;3	
गंधक	كبريت	गंधक	كبريت	N;NOM;MASC;SG;3	
दूषित	تالف	दूषित	تَالِف	ADP	N;NOM;INDF;SG
मिर्ज़ा	ميرزا	मिर्ज़ा	ميرزا	PROPN;NOM;MASC;SG;3	
क्रांतिकारियों	الثوار	क्रांतिकारी	ثَور	N;ACC;MASC;PL;3	N;NOM;DEF;PL
जासूसी	تتجسس	जासूसी	تَجَسَّس	N;NOM;MASC;SG;3	V;IPFV;FEM;IND;SG;3;FIN;ACT
सांसारिक	الدنيوية	सांसारिक	دَنِيُوِيّ	PROPN;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
प्रवर्धक	مضخم	प्रवर्धक	مَضخَم	N;NOM;MASC;SG;3	
अमूर्त	مجردة	अमूर्त	مُجَرَّد	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
अमूर्त	خلاصة	अमूर्त	خُلَاصَة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
अमूर्त	الخلاصة	अमूर्त	خَلَاصَة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
सौभाग्य	ثروات	सौभाग्य	ثَروَة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;PL
सौभाग्य	الثروات	सौभाग्य	ثَروَة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;PL
सौभाग्य	ثروة	सौभाग्य	ثَروَة	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
ब्रायंट	براينت	ब्रायंट	برَايِنت	N;NOM;MASC;SG;3	
गैरी	غاري	गैरी	غاري	PROPN;NOM;MASC;SG;3	
गैरी	قاري	गैरी	قاري	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
गैरी	جاري	गैरी	جاري	PROPN;NOM;MASC;SG;3	
कुश	خوش	कुश	خُوش		
कुश	كوش	कुश	كوش		
साइमन	سايمون	साइमन	سَايمُون	PROPN;NOM;MASC;SG;3	
साइमन	سيمون	साइमन	سيمون	PROPN;NOM;MASC;SG;3	
कार्बोनेट	كربونات	कार्बोनेट	كربونات	N;NOM;MASC;PL;3	
हिब्रू	العبرية	हिब्रू	عِبرِيَّة	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
बर्ड	الطائر	बर्ड	طَائِر	PROPN;NOM;FEM;SG;3	N;NOM;DEF;SG
बर्ड	الطير	बर्ड	الطير	PROPN;NOM;FEM;SG;3	N;NOM;DEF;SG
बर्ड	طائر	बर्ड	طَائِر	PROPN;NOM;FEM;SG;3	N;NOM;INDF;SG
बर्ड	طير	बर्ड	طَير	PROPN;NOM;FEM;SG;3	
बर्ड	بيرد	बर्ड	بِيرد	PROPN;NOM;FEM;SG;3	
बर्ड	عصفور	बर्ड	عُصفُور	PROPN;NOM;FEM;SG;3	
आत्मसमर्पण	استسلم	आत्मसमर्पण	اِستَسلَم	N;NOM;MASC;SG;3	V;PFV;MASC;SG;3;ACT
संस्थागत	مؤسسية	संस्थागत	مَؤسِسِيّ	N;NOM;3	ADJ;NOM;INDF;FEM;SG
चिट्ठा	بلوق	चिट्ठा	بلوق	N;NOM;MASC;SG;3	
ठंड	بارد	ठंड	بَارِد	N;NOM;FEM;SG;3	
ठंड	باردة	ठंड	بَارِد	N;NOM;FEM;SG;3	ADJ;NOM;INDF;FEM;SG
ठंड	برد	ठंड	برد	N;NOM;FEM;SG;3	
चूहे	فئران	चूह	فَئر	V;PFV;MASC;SG;V.PTCP;ACT	
चूहे	الفئران	चूह	فَئِير	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;DEF;DU
चूहे	الجرذان	चूह	جُرذَانَ	V;PFV;MASC;SG;V.PTCP;ACT	
चूहे	جرذان	चूह	جَرَّذ	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;INDF;SG
लीड	الرصاص	लीड	رَصَاص		N;NOM;DEF;SG
दार्शनिकों	الفلاسفة	दार्शनिक	فُلَاسِفَة	N;ACC;MASC;PL;3	N;NOM;DEF;PL
नेहरु	نهرو	नेहरु	نهرو	PROPN;NOM;MASC;SG;3	
सॉफ़्टवेयर	برمجيات	सॉफ़्टवेयर	بَرمَجِيّ	N;NOM;MASC;SG;3	N;NOM;INDF;PL
सॉफ़्टवेयर	البرمجيات	सॉफ़्टवेयर	بَرمَجِيّ	N;NOM;MASC;SG;3	
सॉफ़्टवेयर	برامج	सॉफ़्टवेयर	بَرنَامَج	N;NOM;MASC;SG;3	N;NOM;INDF;PL
सॉफ़्टवेयर	البرامج	सॉफ़्टवेयर	بَرنَامَج	N;NOM;MASC;SG;3	N;NOM;DEF;PL
परवाह	اهتم	परवाह	اِهتَمّ	N;NOM;FEM;SG;3	V;PFV;MASC;SG;3;ACT
परवाह	يهتم	परवाह	هَتَم	N;NOM;FEM;SG;3	V;IPFV;MASC;IND;SG;3;FIN;ACT
बहुविकल्पी	توضيح	बहुविकल्पी	تَوضِيح	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
बमबारी	بله	बमबारी	بَلَه	N;NOM;FEM;SG;3	
कीड़े	ديدان	कीड़ा	ديدان	N;NOM;MASC;PL;3	
कीड़े	الديدان	कीड़ा	الديدان	N;NOM;MASC;PL;3	
अधीनस्थ	تابعة	अधीनस्थ	تَابِع	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
कैम्प	كامب	कैम्प	كَامب	N;NOM;MASC;SG;3	
कैम्प	المعسكرات	कैम्प	مُعَسكَر	N;NOM;MASC;SG;3	N;NOM;DEF;PL
कैम्प	مخيمات	कैम्प	مُخَيَّمَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
कैम्प	المخيمات	कैम्प	مُخَيَّم	N;NOM;MASC;SG;3	N;NOM;DEF;PL
कैम्प	معسكرات	कैम्प	مُعَسكَر	N;NOM;MASC;SG;3	N;NOM;INDF;PL
किस्में	متنوعة	कौन्म	مُتَنَوِّع	N;NOM;FEM;PL;3	ADJ;NOM;INDF;FEM;SG
किस्में	التنوع	कौन्म	تَنَوُّع	N;NOM;FEM;PL;3	N;NOM;DEF;SG
किस्में	تنوع	कौन्म	تَنَوُّع	N;NOM;FEM;PL;3	N;NOM;INDF;SG
खोजी	الاستكشاف	खोज	اِستِكشَاف	V;SG;V.PTCP;ACT	N;NOM;DEF;SG
सम्मेलनों	المؤتمرات	सम्मेलन	مُؤتَمَر	N;ACC;MASC;PL;3	N;NOM;DEF;PL
सम्मेलनों	مؤتمرات	सम्मेलन	مُؤتَمَر	N;ACC;MASC;PL;3	N;NOM;INDF;PL
स्टारबक्स	ستاربكس	स्टारबक्स	ستاربكس	N;NOM;MASC;SG;3	
जॉर्डन	الاردن	जॉर्डन	أُردُنّ	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
जॉर्डन	jorda	जॉर्डन	مَذِيث	PROPN;NOM;MASC;SG;3	
जॉर्डन	جوردان	जॉर्डन	جُوردَان	PROPN;NOM;MASC;SG;3	
एथलीट	رياضي	एथलीट	رِيَاضِيّ	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
एथलीट	الرياضيين	एथलीट	رِيَاضِيّ	PROPN;NOM;MASC;SG;3	ADJ;ACC;DEF;MASC;PL
एथलीट	رياضيين	एथलीट	رِيَاضِيّ	PROPN;NOM;MASC;SG;3	N;NOM;INDF;PL
मनीष	مانيش	मनीष	مانيش	PROPN;NOM;MASC;SG;3	
विधिक	قانوني	विधिक	قانوني	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
विधिक	قانونية	विधिक	قَانُونِيّ	N;NOM;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
विधिक	القانوني	विधिक	قَانُونِيّ	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
रेखीय	خطية	रेखीय	خَطِّيّ		ADJ;NOM;INDF;FEM;SG
रेखीय	خطي	रेखीय	خَطِّيّ		N;NOM;INDF;SG
रेखीय	الخطي	रेखीय	خَطِيّ		
शहद	عسل	शहद	عَسَل	N;NOM;MASC;SG;3	
अम्लीय	حمضية	अम्लीय	حَمضِيَّة	N;NOM;MASC;SG;3	
ऑपरेटर	مشغلي	ऑपरेटर	مُشَغِّل	N;NOM;MASC;SG;3	N;NOM;INDF;PL
नल	باطل	नल	باطل		
कुक	الطباخ	कुक	طَبِيخ	PROPN;NOM;MASC;SG;3	N;NOM;DEF;SG
कुक	طباخ	कुक	طباخ	PROPN;NOM;MASC;SG;3	N;NOM;INDF;SG
कुक	كوك	कुक	كُوك	PROPN;NOM;MASC;SG;3	
मनी	فلوس	मनी	فِلم		
मनी	نقود	मनी	نقود		N;NOM;INDF;PL
मनी	اموال	मनी	مَال		N;NOM;INDF;PL
मनी	المال	मनी	مَال		N;NOM;DEF;SG
मनी	مال	मनी	مَال		
मनी	ماني	मनी	ماني		
सेक्टर	قطاعات	सेक्टर	قِطَاع	N;NOM;MASC;SG;3	N;NOM;INDF;PL
सेक्टर	القطاعات	सेक्टर	قِطَاع	N;NOM;MASC;SG;3	N;NOM;DEF;PL
क्रियाशील	نشطة	क्रियाशील	نَشَاط		ADJ;NOM;INDF;FEM;SG
क्रियाशील	النشطة	क्रियाशील	نَشَاط		N;NOM;DEF;SG
क्रियाशील	نشط	क्रियाशील	نَشِط		ADJ;NOM;INDF;MASC;SG
क्रियाशील	صفة	क्रियाशील	صِفَة		N;NOM;INDF;SG
क्रियाशील	الصفة	क्रियाशील	صِفَة		N;NOM;DEF;SG
बैठकों	الجلسات	बैठक	جَلسَة	N;ACC;FEM;PL;3	N;NOM;DEF;PL
बैठकों	الاجتماعات	बैठक	اِجتِمَاع	N;ACC;FEM;PL;3	N;NOM;DEF;PL
बैठकों	اللقاءات	बैठक	لِقَاء	N;ACC;FEM;PL;3	N;NOM;DEF;PL
बैठकों	اجتماعات	बैठक	اِجتِمَاع	N;ACC;FEM;PL;3	N;NOM;INDF;PL
क्योकि	لان	क्योकि	لِأَنَّ		CONJ
क्योकि	لانه	क्योकि	لانه		
क्योकि	عشان	क्योकि	عشان		
क्योकि	لانني	क्योकि	لانني		N;NOM;DEF;SG
क्योकि	بسبب	क्योकि	بسبب		N;NOM;INDF;SG
क्योकि	لاني	क्योकि	لاني		
नोट्स	الملاحظات	नोट्स	مُلَاحَظَة	N;NOM;MASC;SG;3	N;NOM;DEF;PL
नोट्स	ملاحظات	नोट्स	مُلَاحَظَة	N;NOM;MASC;SG;3	N;NOM;INDF;PL
कहें	قل	कह	قَلّ	V;SBJV;PL;FIN;ACT	
कहें	نقول	कह	قَال	V;SBJV;PL;FIN;ACT	V;IPFV;MASC;IND;PL;1;FIN;ACT
कहें	قولي	कह	قَولِيّ	V;SBJV;PL;FIN;ACT	
कहें	قول	कह	قَول	V;SBJV;PL;FIN;ACT	N;NOM;INDF;SG
