gestapo	الجستابو	gestapo	جِستَابُو	N;INDF;NEUT;SG	
lanka	نكا	lanka	نَكَا	PROPN	
mater	ماتر	mate	ماتر	N;INDF;MASC+FEM;SG	
batterier	البطاريات	batteri	بَطَّارِيَّة	N;INDF;NEUT;PL	ADJ;NOM;DEF;FEM;PL
todd	تود	todd	تود	N;INDF;MASC+FEM;SG	
saab	ساب	saab	سَابِيَة		
programmering	البرمجة	programmering	بَرمَجَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
touch	تلمس	touch	لَمَّس	N;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
touch	لمس	touch	لَمَس	N;INDF;MASC+FEM;SG	
touch	اللمس	touch	لَمسَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
touch	المس	touch	مِس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
funk	فانك	funk	فانك	N;INDF;MASC+FEM;SG	
funk	فنك	funk	فَنك	N;INDF;MASC+FEM;SG	
målene	اهداف	mål	هَدَف	N;DEF;MASC+FEM;PL	N;NOM;INDF;PL
rotation	الدوران	rotation	دَوَرَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
rotation	التناوب	rotation	تَنَاوُب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
overgivelse	الاستسلام	overgivelse	اِستِسلَام	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
overgivelse	استسلم	overgivelse	اِستَسلَم	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
brasiliens	البرازيل	brasilie	اَلبَرَازِيل	N;GEN;DEF;MASC+FEM;SG	
diktator	الدكتاتور	diktator	دُكتَاتُور	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
hurtigst	الاسرع	hurtigst	أَسرَع	ADV;RL	ADJ;NOM;DEF;MASC;SG
brint	الهيدروجين	brint	الهيدروجين	N;INDF;NEUT;SG	N;NOM;DEF;DU
mali	مالي	mali	مَالِيّ	PROPN	
sandet	ساند	sand	ساند	N;DEF;NEUT;SG	
sandet	رمل	sand	رَمل	N;DEF;NEUT;SG	
sandet	رمال	sand	رَمل	N;DEF;NEUT;SG	
sandet	ساندي	sand	ساندي	N;DEF;NEUT;SG	
skyggen	ظل	skygge	ظَلّ	N;DEF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
procedure	الاجراء	procedur	إِجرَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
procedure	الاجراءات	procedur	إِجرَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
iris	ايرس	iris	ايرس		
iris	ايريس	iris	أَيرِيس		
udbytte	العوائد	udbytte	عَائِدَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
udbytte	العائدات	udbytte	عَائِد	N;INDF;NEUT;SG	N;NOM;DEF;PL
udbytte	العائد	udbytte	عَائِد	N;INDF;NEUT;SG	N;NOM;DEF;SG
hero	بطل	hero	بَطَل		N;NOM;INDF;SG
hero	البطل	hero	بَطَل		N;NOM;DEF;SG
hyppige	متكرر	hyppig	مُتَكَرِّر	ADJ;PL	ADJ;NOM;INDF;MASC;SG
hyppige	متكررة	hyppig	مُتَكَرِّر	ADJ;PL	ADJ;NOM;INDF;FEM;SG
ansigtet	وجه	ansigt	وَجَّه	N;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
ansigtet	واجه	ansigt	وَاجَه	N;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
farvet	ملون	farve	مِلوَن	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
farvet	ملونة	farve	مُلَوَّن	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
sød	لطيف	sød	لطيف	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
sød	كيوت	sød	كَيوَت	ADJ;INDF;MASC+FEM;SG	
sød	حلو	sød	حُلُوّ	ADJ;INDF;MASC+FEM;SG	
sød	الحلو	sød	الحلو	ADJ;INDF;MASC+FEM;SG	
tiltrækker	جذب	tiltrække	جَذب	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
adler	ادلر	adler	أَدلَر	N;INDF;MASC+FEM;SG	
justice	العدل	justic	عَدل		N;NOM;DEF;SG
justice	عدالة	justic	عَدَالَة		N;NOM;INDF;SG
justice	العدالة	justic	عَدَالَة		N;NOM;DEF;SG
tortur	التعذيب	tortur	تَعذِيب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
disco	ديسكو	disco	ديسكو		
disco	الديسكو	disco	الديسكو		N;NOM;DEF;SG
revideret	المنقح	revidere	مُنَقَّح	V;INDF;SG;PST;V.PTCP	N;NOM;DEF;SG
revideret	منقحة	revidere	مُنَقَّحَة	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
revideret	استعرض	revidere	اِستَعرَض	V;INDF;SG;PST;V.PTCP	
bitter	مرارة	bitter	مرارة	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
bitter	المريرة	bitter	مَرِير	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
kontekst	السياق	kontekst	سِيَاق	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
hopper	القفز	hoppe	قَفز	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
hopper	هوبر	hoppe	هوبر	V;IND;PRS;FIN;ACT	
lennon	لينون	lennon	لينون		
kontroversiel	الخلافية	kontroversiel	خِلَافِيّ	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
lukker	الاغلاق	lukke	إِغلَاق	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
lukker	اغلاق	lukke	إِغلَاق	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
nikolai	نيكولاي	nikolai	نيكولاي		
ekstreme	المتطرف	ekstrem	مُتَطَرِّف	ADJ;PL	N;NOM;DEF;SG
ekstreme	متطرف	ekstrem	مُتَطَرِّف	ADJ;PL	ADJ;NOM;INDF;MASC;SG
ekstreme	المدقع	ekstrem	مُدَقَّع	ADJ;PL	N;NOM;DEF;SG
ekstreme	متطرفة	ekstrem	مُتَطَرِّف	ADJ;PL	ADJ;NOM;INDF;FEM;SG
koste	المكانس	koste	مِكنَسَة	V;NFIN;ACT	N;NOM;DEF;PL
everton	ايفرتون	everton	أَيفِرتُون		
trøje	القميص	trøje	قَمِيص	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
trøje	جيرسي	trøje	جِيرسِي	N;INDF;MASC+FEM;SG	
trøje	جيرزي	trøje	جِيرزِي	N;INDF;MASC+FEM;SG	
layout	التصميم	layout	تَصمِيم	N;INDF;NEUT;SG	N;NOM;DEF;SG
layout	التخطيط	layout	تَخطِيط	N;INDF;NEUT;SG	N;NOM;DEF;SG
hospitaler	المستشفيات	hospital	مُستَشفَى	N;INDF;NEUT;PL	N;NOM;DEF;PL
windsor	ويندسور	windsor	ويندسور		
windsor	وندسور	windsor	وندسور		
arkæologisk	الاثرية	arkæologisk	أَثَرِيّ	ADV	ADJ;NOM;DEF;FEM;SG
arkæologisk	اثري	arkæologisk	أَثَر	ADV	N;NOM;INDF;SG
sure	حمضية	sure	حَمضِيَّة	ADJ;PL	
sure	حامض	sure	حَامِض	ADJ;PL	
kommunister	الشيوعيين	kommunist	الشيوعيين	N;INDF;MASC+FEM;PL	ADJ;NOM;DEF;MASC;PL
kommunister	الشيوعية	kommunist	شُيُوعِيَّة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
kommunister	شيوعي	kommunist	شُيُوعِيّ	N;INDF;MASC+FEM;PL	ADJ;NOM;INDF;MASC;SG
kommunister	الشيوعي	kommunist	شُيُوعِيّ	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
kategorierne	فئات	kategorium	فِئَة	N;DEF;MASC+FEM;PL	N;NOM;INDF;PL
apotek	الصيدلية	apotek	صِيدلِيّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
rank	الرتبة	rank	رَتبَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
record	سجل	record	سَجَّل		V;PFV;MASC;SG;3;ACT
record	تسجيل	record	تَسجِيل		N;NOM;INDF;SG
record	السجل	record	سِجِلّ		N;NOM;DEF;SG
splittet	انقسام	splitte	اِنقِسَام	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
splittet	مقسم	splitte	مَقسِم	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
splittet	مقسمة	splitte	مُقَسَّم	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
splittet	ممزق	splitte	مُمزَق	V;INDF;SG;PST;V.PTCP	
splittet	ممزقة	splitte	ممزقة	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
etik	اخلاقيات	etik	إِخلَاقِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;PL
etik	الاخلاق	etik	خُلق	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
leg	تلعب	leg	لَعِب	N;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
leg	العب	leg	العب	N;INDF;MASC+FEM;SG	
leg	لعب	leg	لَعِب	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
leg	اللعب	leg	لَعب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
leg	المباراة	leg	مُبَارَاة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
leg	اللعبة	leg	لَعبَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
egyptisk	المصري	egyptisk	مِصرِيّ	ADJ;INDF;SG	N;NOM;DEF;SG
egyptisk	المصرية	egyptisk	مِصرِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
intelligent	ذكي	intelligent	ذَكَى	ADJ;INDF;SG	N;NOM;INDF;SG
intelligent	ذكاء	intelligent	ذَكَاء	ADJ;INDF;SG	
mona	منى	mona	منى		
mona	مونا	mona	مونا		
naturvidenskab	العلوم	naturvidenskab	عِلم	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
naturvidenskab	علوم	naturvidenskab	عِلم	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
naturvidenskab	العلم	naturvidenskab	عِلم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ros	الثناء	ros	ثَنَاء	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ros	سبحان	ros	سُبحَان	N;INDF;MASC+FEM;SG	
ros	ماشاء	ros	مَاشَاء	N;INDF;MASC+FEM;SG	
ros	الحمد	ros	حَمد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
rumfærgen	مكوك	rumfærg	مُكُوك	N;DEF;MASC+FEM;SG	
borgerskab	الجنسية	borgerskab	جِنسِيَّة	N;INDF;NEUT;SG	N;NOM;DEF;SG
borgerskab	المواطنة	borgerskab	مُوَاطَنَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
koranen	قران	koran	قَرن	N;DEF;MASC+FEM;SG	
koranen	قران	koran	قَرن	N;DEF;MASC+FEM;SG	
anonyme	مجهول	anonym	مَجهُول	ADJ;PL	ADJ;NOM;INDF;MASC;SG
sti	الصراط	sti	صِرَاط	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sti	الدرب	sti	دَرب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sti	المسار	sti	مَسَار	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
dørs	الباب	dør	بَاب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
pædagogisk	التعليمية	pædagogisk	تَعلِيمِيّ	ADV	ADJ;NOM;DEF;FEM;SG
pædagogisk	تعليمية	pædagogisk	تَعلِيمِيّ	ADV	ADJ;NOM;INDF;FEM;SG
pædagogisk	تربوية	pædagogisk	تَربَوِيّ	ADV	ADJ;NOM;INDF;FEM;SG
burton	بورتن	burton	بُورتُن		
burton	بيرتن	burton	بَيرَة		
burton	بيرتون	burton	بيرتون		
individuel	فرد	individuel	فَرد	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
individuel	الفردية	individuel	فَردِيّ	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
individuel	الفرد	individuel	فَرد	ADJ;INDF;MASC+FEM;SG	N;NOM;DEF;SG
aktioner	الاجراءات	aktion	إِجرَاء	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
aktioner	الافعال	aktion	فَعل	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
aktioner	الدعاوى	aktion	دَعوَى	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
problematisk	اشكالية	problematisk	إِشكَالِيّ	ADJ;INDF;SG	N;NOM;INDF;SG
willem	ويلما	willem	ويلما		
willem	ويلم	willem	ويلم		
parlamentariske	برلمانية	parlamentarisk	بَرلَمَانِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
parlamentariske	برلماني	parlamentarisk	بَرلَمَانِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
parlamentariske	البرلماني	parlamentarisk	بَرلَمَانِيّ	ADJ;PL	ADJ;NOM;DEF;MASC;SG
pokalen	كوب	pokal	كُوب	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
pokalen	فنجان	pokal	فنجان	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
pokalen	كاس	pokal	كَاس	N;DEF;MASC+FEM;SG	
pokalen	الكاس	pokal	كَاسّ	N;DEF;MASC+FEM;SG	
guardian	الوصي	guardian	وَصي	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
guardian	وصي	guardian	وَصي	N;INDF;MASC+FEM;SG	
rovdyr	المفترس	rovdyr	مُفتَرَس	N;INDF;NEUT;PL	N;NOM;DEF;SG
rovdyr	مفترس	rovdyr	مُفتَرَس	N;INDF;NEUT;PL	N;NOM;INDF;SG
rovdyr	المفترسين	rovdyr	مُفتَرِس	N;INDF;NEUT;PL	N;NOM;DEF;PL
dukke	الدمية	dukke	دَمِيَّة	V;NFIN;ACT	N;NOM;DEF;SG
dukke	دمية	dukke	دَمِيَّة	V;NFIN;ACT	N;NOM;INDF;SG
dukke	الدمية	dukke	دَمِيَّة	V;NFIN;ACT	N;NOM;DEF;SG
rådgivning	المشورة	rådgivning	مُشَوِّر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
rådgivning	النصيحة	rådgivning	نَصِيح	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
rådgivning	المشورة	rådgivning	مُشَوِّر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ion	ايون	ion	إِين		
imperial	الامبراطورية	imperial	الامبراطورية	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bis	مكررا	bis	مُكرَر		ADJ;ACC;INDF;MASC;SG
bis	مكرر	bis	مُكرَر		N;NOM;INDF;SG
antage	نفترض	antage	نفترض	V;NFIN;ACT	
hunner	اناث	hunne	أَنَاث	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
hunner	الاناث	hunne	أَنَاث	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
mægtige	الجبار	mægtig	جَبَّار	ADJ;PL	
nøgne	عاري	nøgne	عَارِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
nøgne	عارية	nøgne	عَارِيَة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
nøgne	عاريا	nøgne	عَارِيّ	ADJ;PL	ADJ;ACC;INDF;MASC;SG
nøgne	عراة	nøgne	عِرَاة	ADJ;PL	N;NOM;INDF;PL
nøgne	عارية	nøgne	عَارِيَة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
berry	بيري	berry	بِيرِي		
præsenterer	الهدايا	præsentere	هَدِيَّة	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
præsenterer	هدايا	præsentere	هَدِيَّة	V;IND;PRS;FIN;ACT	N;NOM;INDF;PL
beethoven	بيتهوفن	beethov	بيتهوفن		
imdb	imdb	imdb	مَكَّث	N;INDF;MASC+FEM;SG	
jake	جيك	jake	جَيك	N;INDF;MASC+FEM;SG	
jake	جايك	jake	جَايك	N;INDF;MASC+FEM;SG	
josh	جوش	josh	جُوش		
blomst	الزهرة	blomst	زُهرَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kia	كيا	kia	كيا	N;INDF;MASC+FEM;SG	
beregnes	محسوب	beregne	مَحسُوب	V;IND;PRS;FIN;PASS	ADJ;NOM;INDF;MASC;SG
beregnes	محسوبة	beregne	مَحسُوب	V;IND;PRS;FIN;PASS	ADJ;NOM;INDF;FEM;SG
mcclellan	ماكليلان	mcclellan	ماكليلان	N;INDF;MASC+FEM;SG	
orlando	اورلاندو	orlando	أُورلَاندُو		
leslie	ليسلي	leslie	ليسلي	N;INDF;MASC+FEM;SG	
leslie	ليزلي	leslie	ليزلي	N;INDF;MASC+FEM;SG	
ligestilling	التكافؤ	ligestilling	تَكَافُؤ	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ligestilling	المساواة	ligestilling	مُسَاوَاة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
aserbajdsjan	اذربيجان	aserbajdsjan	اذربيجان		
nødder	بندق	nød	بَندُق	N;INDF;MASC+FEM;PL	
nødder	المكسرات	nød	مُكَسِّر	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
skriv	كتابة	skrive	كِتَابَة	V;IMP	N;NOM;INDF;SG
skriv	اكتب	skrive	كِتَاب	V;IMP	
skriv	الكتابة	skrive	كِتَابَة	V;IMP	N;NOM;DEF;SG
skriv	النوع	skrive	نَوع	V;IMP	N;NOM;DEF;SG
skriv	نوع	skrive	نَوع	V;IMP	N;NOM;INDF;SG
lenin	لينين	lenin	لِينِين	N;INDF;MASC+FEM;SG	
bibelske	التوراتي	bibelsk	تُورَاتِيّ	ADJ;PL	
utilfredshed	السخط	utilfredshed	سُخط	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
irakiske	عراقية	irakisk	عِرَاقِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
irakiske	العراقية	irakisk	عِرَاقِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
irakiske	عراقي	irakisk	عِرَاقِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
irakiske	العراقي	irakisk	عِرَاقِيّ	ADJ;PL	ADJ;NOM;DEF;MASC;SG
initiativet	مبادرة	initiativ	مُبَادَرَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
træt	تعبت	træt	تَعِب	ADJ;INDF;SG	V;PFV;FEM;SG;3;ACT
træt	تعب	træt	عَبّ	ADJ;INDF;SG	N;NOM;INDF;SG
træt	متعب	træt	مُتَعَبِّب	ADJ;INDF;SG	
hvede	القمح	hved	قَمح	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stikker	المخبر	stikke	مُخَبَّر	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
stikker	واش	stikke	وَاشِي	V;IND;PRS;FIN;ACT	
magasiner	المقاطع	magasin	مَقطَع	N;INDF;NEUT;PL	N;NOM;DEF;PL
magasiner	المجلات	magasin	مَجَلّ	N;INDF;NEUT;PL	N;NOM;DEF;PL
nekrolog	نعي	nekrolog	نعي	N;INDF;MASC+FEM;SG	
teatro	teat	teatro	قَشِيق		
rich	ثريا	rich	ثَرِّيّ		
rich	غني	rich	غَنِّيّ		
rich	ريتش	rich	ريتش		
rich	الغنية	rich	غَنِيّ		ADJ;NOM;DEF;FEM;SG
rich	ثري	rich	ثري		
rich	غنية	rich	غَنِيّ		ADJ;NOM;INDF;FEM;SG
lat	lat	lat	شَهِر	N;INDF;NEUT;SG	
import	الواردات	import	وَارِدَات	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
import	واردات	import	وَارِدَات	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
import	الواردات	import	وَارِدَات	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
import	الاستيراد	import	اِستِيرَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
dimension	البعد	dimension	بُعد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
frugtbare	خصبة	frugtbar	خصبة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
frugtbare	الخصبة	frugtbar	خَصبَة	ADJ;PL	N;NOM;DEF;SG
frugtbare	مثمرة	frugtbar	مثمرة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
frugtbare	مثمر	frugtbar	مثمر	ADJ;PL	N;NOM;INDF;SG
indspilning	التسجيل	indspilning	تَسجِيل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
indspilning	يسجل	indspilning	سَجَّل	N;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
morrison	موريسون	morrison	مُورِيسُون	N;INDF;MASC+FEM;SG	
udøve	التمرين	udøve	تَمرِين	V;NFIN;ACT	N;NOM;DEF;SG
udøve	تمرين	udøve	تَمرِين	V;NFIN;ACT	N;NOM;INDF;SG
naboer	الجيران	nabo	جِيرَان	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
naboer	جيران	nabo	جِيرَان	N;INDF;MASC+FEM;PL	
naboer	الجيران	nabo	جِيرَان	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
hanner	الذكور	hanne	ذُكُور	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
kost	بروم	kost	بُرُوم	N;INDF;MASC+FEM;SG	
kost	المكنسة	kost	مُكَنَّسَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kost	الحمية	kost	حَمِّيَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
byg	الشعير	byg	شَعِير	V;IMP	N;NOM;DEF;SG
byg	بناء	byg	بِنَاء	V;IMP	N;ACC;INDF;SG
byg	تبني	byg	تَبَنِّي	V;IMP	N;NOM;INDF;SG
byg	نبني	byg	نبني	V;IMP	
biografer	المسارح	biograf	مَسرَحَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
nico	نيكو	nico	نِيكُو		
børns	الاطفال	barn	طِفل	N;GEN;INDF;NEUT;PL	N;NOM;DEF;PL
børns	اطفال	barn	اطفال	N;GEN;INDF;NEUT;PL	
undslippe	هروب	undslippe	هُرُوب	V;NFIN;ACT	N;NOM;INDF;SG
undslippe	الهرب	undslippe	الهرب	V;NFIN;ACT	N;NOM;DEF;SG
undslippe	الهروب	undslippe	هُرُوب	V;NFIN;ACT	N;NOM;DEF;SG
bosiddende	المقيم	bosidde	مُقِيم	ADJ	N;NOM;DEF;SG
bosiddende	مقيم	bosidde	مُقَيَّم	ADJ	N;NOM;INDF;SG
bosiddende	المقيمون	bosidde	مُقَيَّم	ADJ	N;NOM;DEF;PL
bosiddende	السكان	bosidde	سَاكِن	ADJ	N;NOM;DEF;PL
bosiddende	المقيمون	bosidde	مُقَيَّم	ADJ	N;NOM;DEF;PL
grammatik	القواعد	grammatik	قَاعِدَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
grammatik	النحو	grammatik	نَحو	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
engle	الملائكة	engel	مُلَائَكَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
lex	ليكس	lex	لِيكس	N;INDF;MASC+FEM;SG	
befolkningstæthed	الكثافة	befolkningstæthed	كَثَّافَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
freddy	فريدي	freddy	فريدي		
ventiler	الصمامات	ventil	صَمَامَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
cliff	كليف	cliff	كليف	N;INDF;MASC+FEM;SG	
cliff	المنحدر	cliff	مُنحَدِر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
efterspørgsel	الطلب	efterspørgsel	طَلَب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
efterspørgsel	المطلب	efterspørgsel	مَطلَب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
gen	الجين	gen	جِين	N;INDF;NEUT;SG	N;NOM;DEF;SG
langsom	بطيء	langsom	بطيء	ADJ;INDF;MASC+FEM;SG	
langsom	بطئ	langsom	بَطَأ	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
cole	كول	cole	كُول	N;INDF;MASC+FEM;SG	
begivenheden	مناسبة	begivenhed	مُنَاسَبَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
begivenheden	حدث	begivenhed	حَدَث	N;DEF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
evige	الابدي	evig	أَبدِيّ	ADJ;DEF;SG	
evige	الابدي	evig	أَبدِيّ	ADJ;DEF;SG	
evige	ابدي	evig	أَبدِي	ADJ;DEF;SG	
beskedne	متواضعة	beskeden	مُتَوَاضِع	ADJ;PL	ADJ;NOM;INDF;FEM;SG
beskedne	متواضع	beskeden	مُتَوَاضِع	ADJ;PL	ADJ;NOM;INDF;MASC;SG
ankomsten	وصول	ankomst	وُصُول	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
gates	البوابات	gate	بَوَّابَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
gates	غيتس	gate	غيتس	N;INDF;MASC+FEM;SG	
gates	بوابات	gate	بَوَّابَة	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
lysere	المع	lys	أَلمَع	ADJ;CMPR	
lysere	اخف	lys	أَخف	ADJ;CMPR	
nedgang	النقصان	nedgang	نِقصَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
spises	توكل	spise	وَكَّل	V;IND;PRS;FIN;PASS	
sheridan	شريدان	sheridan	شرِيدَان	N;INDF;MASC+FEM;SG	
anbefales	توصية	anbefale	تَوصِيَة	V;NFIN;PASS	N;NOM;INDF;SG
anbefales	توصي	anbefale	أَوصَى	V;NFIN;PASS	V;IPFV;FEM;IND;SG;3;FIN;ACT
anbefales	يوصي	anbefale	أَوصَى	V;NFIN;PASS	V;IPFV;MASC;IND;SG;3;FIN;ACT
jobbet	وظيفة	job	وَظِيفَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
jobbet	شغل	job	شَغَل	N;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
jobbet	عمل	job	عَمَل	N;DEF;NEUT;SG	N;NOM;INDF;SG
tin	تين	tin	تين		
tin	تن	tin	تن		
tin	القصدير	tin	قَصدِير		
adelaide	اديلايد	adelaide	أَدِيلَايد		
etiske	اخلاقي	etisk	إِخلَاقِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
etiske	اخلاقية	etisk	إِخلَاقِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
destinationer	المقاصد	destination	مَقصِد	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
mcmahon	ماكماهون	mcmahon	ماكماهون	PROPN	
mcmahon	ماكمان	mcmahon	ماكمان	PROPN	
save	مناشير	save	مُنَاشِير	V;IMP	
citater	الاقتباسات	citat	اِقتِبَاس	N;INDF;NEUT;PL	N;NOM;DEF;PL
underskud	العجز	underskud	عَجز	N;INDF;NEUT;SG	N;NOM;DEF;SG
pile	اسهم	pile	سَهم	N;INDF;MASC+FEM;PL	
pile	سهام	pile	سَهَم	N;INDF;MASC+FEM;PL	
pile	السهام	pile	سَهَم	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
tante	عمتي	tante	عمتي	N;INDF;MASC+FEM;SG	
tante	خالتي	tante	خالتي	N;INDF;MASC+FEM;SG	
tante	العمة	tante	عِمَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tante	خالتي	tante	خالتي	N;INDF;MASC+FEM;SG	
tante	عمتي	tante	عمتي	N;INDF;MASC+FEM;SG	
