maurice	maurice	maurizar	maurice	PROPN	
armadura	panser	armadura	panse	N;FEM;SG	N;INDF;MASC+FEM;PL
espaciales	rummet	espacial	rum	ADJ;PL	N;DEF;NEUT;SG
espaciales	mellemrum	espacial	mellemrum	ADJ;PL	N;INDF;NEUT;PL
espaciales	plads	espacial	plads	ADJ;PL	N;INDF;MASC+FEM;SG
espaciales	rumforskning	espacial	rumforskning	ADJ;PL	N;INDF;MASC+FEM;SG
espaciales	rum	espacial	rum	ADJ;PL	N;INDF;NEUT;SG
dedicados	dedikerede	dedicado	dedikere	ADJ;MASC;PL;V.PTCP	V;PL;PST;V.PTCP
dedicados	tilegnet	dedicado	tilegne	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
dedicados	dedikeret	dedicado	dedikere	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
hits	hits	hit	hits	N;MASC;PL	N;INDF;NEUT;SG
hits	rammer	hit	ramme	N;MASC;PL	V;IND;PRS;FIN;ACT
tenor	tenor	tenor	tenor		N;INDF;MASC+FEM;SG
mortal	dødbringende	mortal	dødbringende	ADJ;SG	V;PRS;V.PTCP
mortal	dødelige	mortal	dødelig	ADJ;SG	ADJ;PL
mortal	fatale	mortal	fatale	ADJ;SG	
mortal	dødelige	mortal	dødelig	ADJ;SG	ADJ;PL
reconocimientos	rekognoscering	reconocimiento	rekognoscering	N;MASC;PL	N;INDF;MASC+FEM;SG
reconocimientos	genkendelse	reconocimiento	genkendelse	N;MASC;PL	N;INDF;MASC+FEM;SG
reconocimientos	anerkendelse	reconocimiento	anerkendelse	N;MASC;PL	N;INDF;MASC+FEM;SG
reconocimientos	erkendelse	reconocimiento	erkendelse	N;MASC;PL	N;INDF;MASC+FEM;SG
vencedor	vinder	vencedor	vinde	N;MASC;SG	V;IND;PRS;FIN;ACT
leipzig	leipzig	leipzig	leipzig	PROPN	
delegado	delegerede	delegado	delegere	N;MASC;SG	V;PL;PST;V.PTCP
delegado	uddelegere	delegado	uddeleger	N;MASC;SG	V;NFIN;ACT
delegado	delegeret	delegado	delegere	N;MASC;SG	V;INDF;SG;PST;V.PTCP
adoptado	vedtaget	adoptar	vedtage	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
adoptado	adopteret	adoptar	adoptere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
colinas	hills	colina	hills	N;FEM;PL	N;INDF;MASC+FEM;SG
colinas	bakker	colina	bakke	N;FEM;PL	V;IND;PRS;FIN;ACT
extranjeras	udenlandsk	extranjero	udenlandsk	ADJ;FEM;PL	ADJ;INDF;SG
extranjeras	fremmed	extranjero	fremmed	ADJ;FEM;PL	ADJ;INDF;MASC+FEM;SG
apolo	apollo	apolo	apollo	N;FEM;SG	
membrana	membraner	membrana	membrane	N;FEM;SG	N;INDF;MASC+FEM;PL
etnia	etnisk	etnia	etnisk	N;FEM;SG	ADJ;INDF;SG
etnia	etniske	etnia	etnisk	N;FEM;SG	ADJ;PL
ricos	rig	rico	rig	N;MASC;PL	ADJ;INDF;MASC+FEM;SG
ricos	rich	rico	rich	N;MASC;PL	
ricos	rigt	rico	rigt	N;MASC;PL	ADJ;INDF;NEUT;SG
ricos	rige	rico	rig	N;MASC;PL	ADJ;PL
ricos	velhavende	rico	velhavende	N;MASC;PL	ADJ
wagner	wagner	wagner	wagner	PROPN	N;INDF;MASC+FEM;SG
teatros	teatret	teatro	teater	N;MASC;PL	N;DEF;NEUT;SG
teatros	teater	teatro	teater	N;MASC;PL	N;INDF;NEUT;SG
teatros	biograf	teatro	biograf	N;MASC;PL	N;INDF;MASC+FEM;SG
añadido	tilføjet	añadido	tilføje	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
añadido	føjet	añadido	føje	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
añadido	tilføjede	añadido	tilføje	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
añadido	tilsat	añadido	tilsat	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
fabricantes	fabrikanten	fabricante	fabrikant	N;PL	N;DEF;MASC+FEM;SG
fabricantes	producent	fabricante	producent	N;PL	N;INDF;MASC+FEM;SG
fabricantes	fremstiller	fabricante	fremstille	N;PL	V;IND;PRS;FIN;ACT
fabricantes	fabrikant	fabricante	fabrikant	N;PL	N;INDF;MASC+FEM;SG
finca	farm	finca	farm	N;FEM;SG	
edwards	edwards	edwards	edwards	PROPN	
fábricas	mills	fábrica	mills	N;FEM;PL	
fábricas	møller	fábrica	mølle	N;FEM;PL	N;INDF;MASC+FEM;SG
fábricas	fabrik	fábrica	fabrik	N;FEM;PL	N;INDF;MASC+FEM;SG
fábricas	factory	fábrica	factory	N;FEM;PL	
roman	romerske	romar	romersk	N	ADJ;PL
oliva	olive	oliva	olive	N;FEM;SG	
oliva	oliven	oliva	oliv	N;FEM;SG	
oliva	oliva	oliva	oliva	N;FEM;SG	
conservadores	konservative	conservador	konservativ	N;MASC;PL	ADJ;PL
conservadores	konservativ	conservador	konservativ	N;MASC;PL	ADJ;INDF;MASC+FEM;SG
conservadores	borgerlig	conservador	borgerlig	N;MASC;PL	ADJ;INDF;MASC+FEM;SG
conservadores	konservativt	conservador	konservativt	N;MASC;PL	ADV
conservadores	konservative	conservador	konservativ	N;MASC;PL	ADJ;PL
conservadores	konservatives	conservador	konservativ	N;MASC;PL	ADJ;GEN;PL
conservadores	konservative	conservador	konservativ	N;MASC;PL	ADJ;PL
secos	tørt	seco	tør	ADJ;MASC;PL	ADJ;INDF;NEUT;SG
secos	tør	seco	turde	ADJ;MASC;PL	V;IND;PRS;FIN;ACT
secos	tørres	seco	tør	ADJ;MASC;PL	V;NFIN;PASS
secos	tørrede	seco	tørre	ADJ;MASC;PL	V;PL;PST;V.PTCP
secos	tørret	seco	tørre	ADJ;MASC;PL	V;INDF;SG;PST;V.PTCP
escape	flygte	escape	flygte	N;MASC;SG	V;NFIN;ACT
escape	undslippe	escape	undslippe	N;MASC;SG	V;NFIN;ACT
marín	marín	marín	marín	N;MASC;SG	
marín	marín	marín	marín	N;MASC;SG	
für	für	für	für	PROPN	
under	under	under	under	PROPN	ADV
cap	hætte	cap	hætte		N;INDF;MASC+FEM;SG
cap	cap	cap	cipe		N;INDF;MASC+FEM;SG
cap	loft	cap	loft		N;INDF;NEUT;SG
desarrollados	fremkaldt	desarrollado	fremkalde	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
desarrollados	udviklede	desarrollado	udvikle	ADJ;MASC;PL;V.PTCP	V;PL;PST;V.PTCP
desarrollados	udviklet	desarrollado	udvikle	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
baños	badekar	baño	badekar	N;MASC;PL	N;INDF;NEUT;SG
baños	bade	baño	bade	N;MASC;PL	V;NFIN;ACT
baños	bad	baño	bede	N;MASC;PL	V;IND;PST;FIN;ACT
baños	badekar	baño	badekar	N;MASC;PL	N;INDF;NEUT;SG
entiende	forstået	entender	forstå	V;IND;SG;3;PRS;FIN	V;INDF;SG;PST;V.PTCP
fresco	fresh	fresco	fresh	ADJ;MASC;SG	
fresco	friske	fresco	frisk	ADJ;MASC;SG	ADJ;PL
fresco	fresco	fresco	fresco	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
cruzar	krydsning	cruzar	krydsning	V;NFIN	N;INDF;MASC+FEM;SG
cruzar	passage	cruzar	passage	V;NFIN	N;INDF;MASC+FEM;SG
adulto	voksne	adulto	voksen	ADJ;MASC;SG	ADJ;PL
geográficas	geografisk	geográfico	geografisk	ADJ;FEM;PL	ADV
geográficas	geografisk	geográfico	geografisk	ADJ;FEM;PL	ADV
responder	besvarelse	responder	besvarelse	V;NFIN	N;INDF;MASC+FEM;SG
responder	svar	responder	svar	V;NFIN	N;INDF;NEUT;SG
responder	svaret	responder	svar	V;NFIN	N;DEF;NEUT;SG
responder	svar	responder	svar	V;NFIN	N;INDF;NEUT;SG
responder	besvarelse	responder	besvarelse	V;NFIN	N;INDF;MASC+FEM;SG
hermosa	smukke	hermoso	smukke	ADJ;FEM;SG	ADJ;PL
hermosa	skønne	hermoso	skøn	ADJ;FEM;SG	ADJ;PL
hermosa	smukke	hermoso	smukke	ADJ;FEM;SG	ADJ;PL
electrónicos	elektronik	electrónico	elektronik	ADJ;MASC;PL	N;INDF;MASC+FEM;SG
electrónicos	elektronisk	electrónico	elektronisk	ADJ;MASC;PL	ADV
cubiertas	omfattet	cubierto	omfatte	ADJ;FEM;PL;V.PTCP	N;DEF;NEUT;SG
cubiertas	dækket	cubierto	dække	ADJ;FEM;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
cubiertas	overdækket	cubierto	overdække	ADJ;FEM;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
cubiertas	dækkede	cubierto	dække	ADJ;FEM;PL;V.PTCP	V;PST;V.PTCP
cubiertas	overtræk	cubierto	overtræk	ADJ;FEM;PL;V.PTCP	N;INDF;NEUT;SG
cubiertas	omslag	cubierto	omslag	ADJ;FEM;PL;V.PTCP	N;INDF;NEUT;SG
cubiertas	dækker	cubierto	dække	ADJ;FEM;PL;V.PTCP	V;IND;PRS;FIN;ACT
existió	fandtes	existir	fande	V;IND;SG;3;PST;FIN	V;IND;PRS;FIN;PASS
dependencias	afhængighedsforhold	dependencia	afhængighedsforhold	N;FEM;PL	N;INDF;NEUT;SG
abu	abu	abu	abu	N;MASC;SG	PROPN
bola	ball	bola	ball	N;FEM;SG	
lázaro	lázaro	lázaro	lázaro	N;MASC;SG	
wolf	wolf	wolf	wolf	N	
certificado	certificeret	certificado	certificere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
certificado	attesteret	certificado	attestere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
certificado	certificerede	certificado	certificere	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
certificado	attest	certificado	atten	ADJ;MASC;SG;V.PTCP	N;INDF;MASC+FEM;SG
certificado	certifikat	certificado	certifikat	ADJ;MASC;SG;V.PTCP	N;INDF;NEUT;SG
rita	rita	rita	rita	N;FEM;SG	
uss	uss	us	uss	N;MASC;SG	
escándalo	skandaler	escándalo	skandal	N;MASC;SG	N;INDF;MASC+FEM;PL
escándalo	skandaler	escándalo	skandal	N;MASC;SG	N;INDF;MASC+FEM;PL
tanque	tankes	tanque	tanke	N;MASC;SG	V;IND;PRS;FIN;PASS
sólido	fast	sólido	fast	ADJ;MASC;SG	ADV
kiev	kiev	kiev	kiev	PROPN	PROPN
serpiente	snake	serpiente	snake	N;FEM;SG	
testigos	vidnet	testigo	vidne	N;MASC;PL	V;INDF;SG;PST;V.PTCP
testigos	vidne	testigo	vidne	N;MASC;PL	N;INDF;NEUT;SG
submarino	sub	submarino	sub	N;MASC;SG	
códigos	kode	código	kode	N;MASC;PL	N;INDF;MASC+FEM;SG
códigos	koden	código	koden	N;MASC;PL	N;DEF;MASC+FEM;SG
descubierta	opdagede	descubrir	opdage	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
descubierta	opdaget	descubrir	opdage	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
descubierta	spottet	descubrir	spottet	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
descubierta	plettet	descubrir	plet	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
descubierta	opdaget	descubrir	opdage	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
descubierta	set	descubrir	se	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
descubierta	afsløret	descubrir	afsløre	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
descubierta	afdækket	descubrir	afdække	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
solares	plot	solar	plot	N;MASC;PL	N;INDF;NEUT;SG
solares	sol	solar	sol	N;MASC;PL	N;INDF;MASC+FEM;SG
solares	solenergi	solar	solenergi	N;MASC;PL	
progresivo	gradvis	progresivo	gradvis	ADJ;MASC;SG	ADV
progresivo	progressive	progresivo	progressive	ADJ;MASC;SG	ADJ;PL
progresivo	progressivt	progresivo	progressivt	ADJ;MASC;SG	ADV
estudia	undersøgelse	estudiar	undersøgelse	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
estudia	studie	estudiar	studie	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
estudia	studier	estudiar	studi	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;PL
paloma	dove	paloma	dove	N;FEM;SG	
paloma	paloma	paloma	paloma	N;FEM;SG	
ira	vrede	ira	vred	N;FEM;SG	ADJ;PL
ira	vrede	ira	vred	N;FEM;SG	ADJ;PL
ira	lra	ira	lra	N;FEM;SG	
atractivo	tiltrækningskraft	atractivo	tiltrækningskraft	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
atractivo	tiltrækning	atractivo	tiltrækning	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
atractivo	appellerer	atractivo	appellere	ADJ;MASC;SG	V;IND;PRS;FIN;ACT
atractivo	attraktive	atractivo	attraktiv	ADJ;MASC;SG	ADJ;PL
atractivo	appel	atractivo	appel	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
atractivo	anke	atractivo	anke	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
atractivo	klage	atractivo	klag	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
cinematográfico	filmiske	cinematográfico	filmisk	ADJ;MASC;SG	ADJ;PL
volar	flue	volar	flue	V;NFIN	N;INDF;MASC+FEM;SG
volar	flying	volar	flying	V;NFIN	
volar	flyvning	volar	flyvning	V;NFIN	N;INDF;MASC+FEM;SG
volar	flyvende	volar	flyvende	V;NFIN	ADJ
recta	lige	recta	lige	N;FEM;SG	ADV
recta	straight	recta	straight	N;FEM;SG	
ecuatoriano	ecuadorianske	ecuatoriano	ecuadoriansk	N;MASC;SG	ADJ;PL
entregado	leveret	entregado	levere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
entregado	afleveret	entregado	aflevere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
entregado	leverede	entregado	levere	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
entregado	afgivet	entregado	afgive	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
entregado	leveres	entregado	levere	ADJ;MASC;SG;V.PTCP	V;IND;PRS;FIN;PASS
entregado	returneret	entregado	returnere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
entregado	overgav	entregado	overgive	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
entregado	overgivet	entregado	overgive	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
etiopía	etiopien	etiopía	etiopie	N;FEM;SG	PROPN
etiopía	etiopiske	etiopía	etiopisk	N;FEM;SG	ADJ;PL
dick	dick	dick	dick	PROPN	
dick	pik	dick	på	PROPN	N;INDF;MASC+FEM;SG
celeste	himmelske	celeste	himmelsk	ADJ;SG	ADJ;PL
palermo	palermo	palermo	palermo		N;INDF;MASC+FEM;SG
dominios	domæne	dominio	domæn	N;MASC;PL	N;INDF;MASC+FEM;SG
falsa	falske	falso	falsk	ADJ;FEM;SG	ADJ;PL
falsa	falske	falso	falsk	ADJ;FEM;SG	ADJ;PL
falsa	fake	falso	fake	ADJ;FEM;SG	N;INDF;NEUT;SG
tribunales	domstolen	tribunal	domstol	N;MASC;PL	N;DEF;MASC+FEM;SG
tribunales	retten	tribunal	ret	N;MASC;PL	N;DEF;MASC+FEM;SG
tribunales	domstol	tribunal	domstol	N;MASC;PL	N;INDF;MASC+FEM;SG
bond	bond	bond	bond	N;SG	
cerdo	svine	cerdo	svin	N;MASC;SG	V;NFIN;ACT
blood	blood	blood	blood	N	
danés	danish	danés	danish	N;MASC;SG	
danés	danske	danés	dansk	N;MASC;SG	ADJ;PL
danés	dansk	danés	dansk	N;MASC;SG	ADJ;INDF;SG
danés	dane	danés	dane	N;MASC;SG	
ring	ring	ring	ring	N;MASC;SG	V;IMP
ring	ringe	ring	ringe	N;MASC;SG	V;NFIN;ACT
geometría	geometrisk	geometría	geometrisk	N;FEM;SG	ADJ;INDF;SG
geometría	geometriske	geometría	geometrisk	N;FEM;SG	ADJ;PL
pink	pink	pink	pink	N;SG	
pink	lyserød	pink	lyserød	N;SG	ADJ;INDF;MASC+FEM;SG
pink	lyserødt	pink	lyserødt	N;SG	ADJ;INDF;NEUT;SG
pink	lyserøde	pink	lyserøde	N;SG	ADJ;PL
hoteles	hotellet	hotel	hotel	N;MASC;PL	N;DEF;NEUT;SG
hoteles	hotel	hotel	hotel	N;MASC;PL	N;INDF;NEUT;SG
hoteles	hotel	hotel	hotel	N;MASC;PL	N;INDF;NEUT;SG
blas	bert	bla	bert	PROPN	
blas	blas	bla	blas	PROPN	
blas	blaise	bla	blaise	PROPN	
ayala	ayala	ayalar	ayala	N;SG	PROPN
derrotas	nederlag	derrota	nederlag	N;FEM;PL	N;INDF;NEUT;SG
derrotas	nederlaget	derrota	nederlag	N;FEM;PL	N;DEF;NEUT;SG
derrotas	besejre	derrota	besejre	N;FEM;PL	V;NFIN;ACT
derrotas	besejrer	derrota	besejre	N;FEM;PL	V;IND;PRS;FIN;ACT
macizo	solid	macizo	solid	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
macizo	solidt	macizo	solid	N;MASC;SG	ADJ;INDF;NEUT;SG
macizo	fast	macizo	fast	N;MASC;SG	ADV
macizo	massif	macizo	massif	N;MASC;SG	
sacramento	sacramento	sacramento	sacramento	N;MASC;SG	
neil	neil	neil	neil	PROPN	
documentales	dokumentar	documental	dokumentar	N;MASC;PL	N;INDF;NEUT;SG
documentales	dokumentarfilm	documental	dokumentarfilm	N;MASC;PL	N;INDF;NEUT;SG
documentales	dokumentarfilm	documental	dokumentarfilm	N;MASC;PL	N;INDF;NEUT;SG
libia	libyske	libia	libysk	ADJ;FEM;SG	ADJ;PL
libia	libyen	libia	liby	ADJ;FEM;SG	N;DEF;MASC+FEM;SG
libia	libyens	libia	libye	ADJ;FEM;SG	N;GEN;DEF;MASC+FEM;SG
collins	collins	collin	collins	N;MASC;SG	
silvia	sylvia	silvia	sylvia	N;FEM;SG	
potente	kraftigt	potente	kraftigt	ADJ;SG	ADV
potente	magtfulde	potente	magtfulde	ADJ;SG	ADJ;PL
potente	stærkt	potente	stærkt	ADJ;SG	ADV
potente	potente	potente	potent	ADJ;SG	ADJ;PL
cerebral	cerebral	cerebral	cerebral	ADJ;SG	N;INDF;MASC+FEM;SG
soberano	suveræne	soberano	suveræn	N;MASC;SG	ADJ;PL
soberano	suveræn	soberano	suveræn	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
soberano	suverænt	soberano	suverænt	N;MASC;SG	ADJ;INDF;NEUT;SG
emi	emi	emi	emi	PROPN	N;INDF;NEUT;SG
temporalmente	midlertidig	temporalmente	midlertidig	ADV	ADJ;INDF;MASC+FEM;SG
temporalmente	midlertidig	temporalmente	midlertidig	ADV	ADJ;INDF;MASC+FEM;SG
divina	guddommelige	divino	guddommelig	ADJ;FEM;SG	ADJ;PL
acusaciones	afgifter	acusación	afgift	N;FEM;PL	ADV
acusaciones	tiltaler	acusación	tiltale	N;FEM;PL	V;IND;PRS;FIN;ACT
sudoeste	sydvestlige	sudoeste	sydvestlig	N;MASC;SG	ADJ;PL
prieto	prieto	prieto	prieto	N;MASC;SG	
oso	bære	oso	bære	N;MASC;SG	V;NFIN;ACT
oso	bjørne	oso	bjørne	N;MASC;SG	N;INDF;NEUT;PL
cruzada	korstog	cruzado	korstog	ADJ;FEM;SG;V.PTCP	N;INDF;NEUT;SG
teruel	teruel	teruel	teruel	N;FEM;SG	
mostrado	vist	mostrar	vise	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mostrado	viste	mostrar	vise	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
mostrado	udstillet	mostrar	udstille	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mostrado	vist	mostrar	vise	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mostrado	vises	mostrar	vise	ADJ;MASC;SG;V.PTCP	V;IND;PRS;FIN;PASS
via	gennem	via	gennem		ADV
via	via	via	via		ADP
camp	camp	camp	camp	N;MASC;SG	
rivadavia	rivadavia	rivadavia	rivadavia	ADJ;FEM;SG;V.PTCP	PROPN
mirada	øjekast	mirada	øjekast	N;FEM;SG	ADJ;INDF;SG
mirada	se	mirada	se	N;FEM;SG	V;NFIN;ACT
sri	sri	sri	sri	N;SG	PROPN
poblados	landsbyer	poblado	landsby	ADJ;MASC;PL;V.PTCP	N;INDF;MASC+FEM;PL
poblados	landsbyerne	poblado	landsby	ADJ;MASC;PL;V.PTCP	N;DEF;MASC+FEM;PL
plumas	fjer	pluma	fjer	N;FEM;PL	N;INDF;MASC+FEM;SG
consideración	overvejelser	consideración	overvejelse	N;FEM;SG	N;INDF;MASC+FEM;PL
cerrar	tæt	cerrar	tæt	V;NFIN	ADV
cerrar	lukning	cerrar	lukning	V;NFIN	N;INDF;MASC+FEM;SG
molino	mill	molino	mill	N;MASC;SG	
tronco	log	tronco	log	N;MASC;SG	V;IMP
nativo	indfødte	nativo	indføde	ADJ;MASC;SG	V;PL;PST;V.PTCP
cook	cook	cook	cook	PROPN	
cook	kogning	cook	kogning	PROPN	N;INDF;MASC+FEM;SG
cook	kok	cook	kok	PROPN	N;INDF;MASC+FEM;SG
cook	kog	cook	koge	PROPN	V;IMP
cook	koge	cook	koge	PROPN	V;NFIN;ACT
eeuu	usa	eeuu	usa	PROPN	PROPN
reducida	mindsket	reducido	mindske	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reducida	nedsatte	reducido	nedsat	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
reducida	nedsat	reducido	nedsætte	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reducida	reduceret	reducido	reducere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reducida	formindsket	reducido	formindske	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
monstruo	uhyre	monstruo	uhyre	N;MASC;SG	ADV
escribiendo	skrivning	escribir	skrivning	V;V.MSDR	N;INDF;MASC+FEM;SG
escribiendo	skrivning	escribir	skrivning	V;V.MSDR	N;INDF;MASC+FEM;SG
escribiendo	brænding	escribir	brænding	V;V.MSDR	N;INDF;MASC+FEM;SG
dedos	tå	dedo	tå	N;MASC;PL	N;INDF;MASC+FEM;SG
denis	denis	denis	denis	PROPN	
anunciado	meddelt	anunciado	meddele	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciado	annoncerede	anunciado	annoncere	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
anunciado	annonceret	anunciado	annoncere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciado	bekendtgjort	anunciado	bekendtgøre	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciado	bebudet	anunciado	bebude	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
anunciado	meddelte	anunciado	meddele	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
anunciado	annoncerede	anunciado	annoncere	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
anunciado	annonceret	anunciado	annoncere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mató	dræbte	matar	dræbe	V;IND;SG;3;PST;FIN	V;PL;PST;V.PTCP
vitoria	vitoria	vitoria	vitoria	N;MASC;SG	
estonia	estiske	estonia	estisk	N;FEM;SG	ADJ;PL
estonia	estisk	estonia	estisk	N;FEM;SG	ADJ;INDF;SG
estonia	estland	estonia	estland	N;FEM;SG	PROPN
bacterias	bakterie	bacteria	bakterie	N;FEM;PL	N;INDF;MASC+FEM;SG
ortodoxa	ortodokse	ortodoxo	ortodokse	ADJ;FEM;SG	ADJ;PL
extendido	udbredte	extendido	udbrede	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
extendido	udbredt	extendido	udbrede	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
extendido	forlænget	extendido	forlænge	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
extendido	udvidede	extendido	udvide	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
extendido	udvidet	extendido	udvide	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ilegal	ulovlige	ilegal	ulovlig	ADJ;SG	ADJ;PL
ejecutado	henrettet	ejecutado	henrette	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ejecutado	henrettede	ejecutado	henrettet	ADJ;MASC;SG;V.PTCP	V;PST;V.PTCP;ACT
escocés	skotsk	escocés	skotsk	N;MASC;SG	ADJ;INDF;SG
escocés	skotter	escocés	skotte	N;MASC;SG	N;INDF;MASC+FEM;PL
escocés	skotske	escocés	skotsk	N;MASC;SG	ADJ;PL
escocés	scottish	escocés	scottish	N;MASC;SG	
escocés	skotsk	escocés	skotsk	N;MASC;SG	ADJ;INDF;SG
crecer	dyrkning	crecer	dyrkning	V;NFIN	N;INDF;MASC+FEM;SG
luchas	slagsmål	lucha	slagsmål	N;FEM;PL	N;INDF;NEUT;SG
trasera	baghjul	trasero	baghjul	ADJ;FEM;SG	N;INDF;NEUT;PL
trasera	bagud	trasero	bagud	ADJ;FEM;SG	ADV
conducido	kørt	conducir	køre	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
conducido	drevet	conducir	drive	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
gabriela	gabriela	gabriela	gabriela	N;FEM;SG	
radios	radioen	radio	radio	N;FEM;PL	N;DEF;MASC+FEM;SG
radios	radio	radio	radio	N;FEM;PL	N;INDF;MASC+FEM;SG
linares	linares	linar	linare	N;MASC;PL	
side	side	sedir	side		N;INDF;MASC+FEM;SG
poderosa	mægtige	poderoso	mægtig	ADJ;FEM;SG	ADJ;PL
poderosa	kraftigt	poderoso	kraftigt	ADJ;FEM;SG	ADV
poderosa	magtfulde	poderoso	magtfulde	ADJ;FEM;SG	ADJ;PL
poderosa	stærkt	poderoso	stærkt	ADJ;FEM;SG	ADV
lunar	lunar	lunar	lunar	N;MASC;SG	
precipitaciones	nedbør	precipitación	nedbør	N;FEM;PL	N;INDF;MASC+FEM;SG
precipitaciones	nedbør	precipitación	nedbør	N;FEM;PL	N;INDF;MASC+FEM;SG
capturar	fang	capturar	fang	V;NFIN	
capturar	opsamling	capturar	opsamling	V;NFIN	N;INDF;MASC+FEM;SG
defecto	defekt	defecto	defekt	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
marcada	markeret	marcado	markere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
marcada	afmærket	marcado	afmærke	ADJ;FEM;SG;V.PTCP	N;DEF;NEUT;SG
marcada	mærket	marcado	mærke	ADJ;FEM;SG;V.PTCP	N;DEF;NEUT;SG
marcada	markerede	marcado	markere	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
sud	lds	sud	lds		
sud	sud	sud	sud		
viajeros	rejsende	viajero	rejse	N;MASC;PL	V;PRS;V.PTCP
