और	in	और	in		CONJ
कट	rez	कट	rez	V;SG;FIN;ACT	N;NOM;MASC;SG
भयानक	grozna	भयानक	grozen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
भयानक	grozen	भयानक	grozen	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
भयानक	grozno	भयानक	grozen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
भयानक	grozna	भयानक	grozen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
भयानक	grozno	भयानक	grozen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
भयानक	grozen	भयानक	grozen	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
पुरस्कृत	nagrajena	पुरस्कृत	nagrajen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
पुरस्कृत	nagrajeni	पुरस्कृत	nagrajen	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;PL;V.PTCP
पुरस्कृत	nagrajen	पुरस्कृत	nagrajen	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
केविन	kevin	केविन	kevina	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
साबुन	milo	साबुन	milo	N;NOM;MASC;SG;3	ADV
मिलन	milan	मिलन	milan		PROPN;NOM;MASC;SG
मिलन	milano	मिलन	milan		PROPN;NOM;MASC;SG
हिंसक	nasilno	हिंसक	nasilen	ADJ	ADV
तलाक	ločitve	तलाक	ločitev	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तलाक	ločena	तलाक	ločen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
तलाक	ločen	तलाक	ločen	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
तलाक	ločeni	तलाक	ločen	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL;V.PTCP
आक्सीजन	kisika	आक्सीजन	kisik	N;NOM;MASC;SG;3	N;GEN;MASC;SG
राजनयिक	diplomat	राजनयिक	diplomat	N;NOM;MASC;PL;3	N;NOM;MASC;SG
राजनयिक	diplomatsko	राजनयिक	diplomatski	N;NOM;MASC;PL;3	ADJ;NOM;NEUT;SG
राजनयिक	diplomatskih	राजनयिक	diplomatski	N;NOM;MASC;PL;3	ADJ;GEN;MASC;PL
राजनयिक	diplomatski	राजनयिक	diplomatski	N;NOM;MASC;PL;3	ADJ;NOM;MASC;SG
राजनयिक	diplomatska	राजनयिक	diplomatski	N;NOM;MASC;PL;3	ADJ;NOM;FEM;SG
एजेंसियों	agencije	एजेंसी	agencija	N;ACC;FEM;PL;3	N;NOM;FEM;PL
एजेंसियों	agencij	एजेंसी	agencija	N;ACC;FEM;PL;3	N;GEN;FEM;PL
ब्रूस	bruce	ब्रूस	bruce	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
ड्यूक	vojvodo	ड्यूक	vojvoda	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
ड्यूक	duke	ड्यूक	duka	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
ड्यूक	knez	ड्यूक	knez	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
ड्यूक	vojvoda	ड्यूक	vojvoda	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
राष्ट्रमंडल	commonwealtha	राष्ट्रमंडल	commonwealth	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
तार्किक	logični	तार्किक	logičen		ADJ;NOM;DEF;MASC;SG
तार्किक	logičen	तार्किक	logičen		ADJ;NOM;INDF;MASC;SG
तार्किक	logično	तार्किक	logičen		ADJ;NOM;NEUT;SG
महामारी	epidemije	महामारी	epidemija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
महामारी	epidemije	महामारी	epidemija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
महामारी	epidemijo	महामारी	epidemija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
पिक्चर्स	slik	पिक्चर	slika	N;NOM;MASC;PL;3	N;GEN;FEM;PL
साइकिल	koles	साइकिल	kolo	N;NOM;FEM;SG;3	N;GEN;NEUT;SG
साइकिल	kolesa	साइकिल	koleso	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
कामयाब	uspešno	कामयाब	uspešno	ADJ	ADV
कामयाब	uspela	कामयाब	uspeti	ADJ	V;PFV;FEM;SG;V.PTCP
कामयाब	uspelo	कामयाब	uspeti	ADJ	V;PFV;NEUT;SG;V.PTCP
क्वांटम	kvantno	क्वांटम	kvanten	PROPN;NOM;MASC;SG;3	ADV
क्वांटम	kvantni	क्वांटम	kvanten	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
साहस	pogum	साहस	pogum		N;NOM;MASC;SG
व्याप्त	razpršenih	व्याप्त	razpršen	PROPN;NOM;MASC;SG;3	ADJ;GEN;MASC;PL;V.PTCP
ओल्ड	stare	ओल्ड	star		ADJ;NOM;FEM;PL
ओल्ड	star	ओल्ड	star		N;NOM;MASC;SG
ओल्ड	staro	ओल्ड	star		ADJ;NOM;NEUT;SG
ओल्ड	stara	ओल्ड	star		ADJ;NOM;FEM;SG
ओल्ड	stari	ओल्ड	star		ADJ;NOM;MASC;PL
ज़रा	zara	ज़रा	zara		PROPN;NOM;FEM;SG
निंदा	obsoditi	निंदा	obsoditi	N;NOM;FEM;SG;3	V;PFV;NFIN
थकान	utrujena	थकान	utrujen	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG;V.PTCP
थकान	utrujeni	थकान	utrujen	N;NOM;FEM;SG;3	ADJ;NOM;MASC;PL;V.PTCP
थकान	utrujen	थकान	utrujen	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
थकान	utrujeno	थकान	utrujen	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
कोट	citat	कोट	citat		N;NOM;MASC;SG
कोट	plašč	कोट	plašč		N;NOM;MASC;SG
घोर	pošastno	घोर	pošastno		ADV
मूवी	filmi	मूवी	film	N;NOM;FEM;SG;3	N;NOM;MASC;PL
मूवी	filme	मूवी	film	N;NOM;FEM;SG;3	N;ACC;MASC;PL
मेटल	kovinska	मेटल	kovinski	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मेटल	kovine	मेटल	kovina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मेटल	kovinsko	मेटल	kovinski	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मेटल	kovinski	मेटल	kovinski	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मेटल	kovin	मेटल	kovina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रोफाइल	profile	प्रोफाइल	profiti	N;NOM;MASC;SG;3	N;ACC;MASC;PL
प्रोफाइल	profilov	प्रोफाइल	profil	N;NOM;MASC;SG;3	N;GEN;MASC;PL
प्रोफाइल	profili	प्रोफाइल	profiti	N;NOM;MASC;SG;3	N;NOM;MASC;PL
ब्रिज	mostove	ब्रिज	mostov	N;NOM;MASC;SG;3	N;ACC;MASC;PL
ब्रिज	mostov	ब्रिज	most	N;NOM;MASC;SG;3	N;GEN;MASC;PL
ब्रिज	mostovi	ब्रिज	mostov	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पाणिनि	panini	पाणिनि	panina	PROPN;NOM;MASC;SG;3	N;NOM;FEM;PL
ताज	krona	ताज	krona	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
ताज	krono	ताज	krona	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
ताज	taj	ताज	taj	PROPN;NOM;MASC;SG;3	
व्याख्यान	predavanja	व्याख्यान	predavanje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
व्याख्यान	predavanj	व्याख्यान	predavanje	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
परजीवी	paraziti	परजीवी	paraziti	N;NOM;MASC;SG;3	N;NOM;MASC;PL
परजीवी	parazite	परजीवी	paraziti	N;NOM;MASC;SG;3	N;ACC;MASC;PL
परजीवी	parazitov	परजीवी	parazit	N;NOM;MASC;SG;3	N;GEN;MASC;PL
चिकित्सीय	medicinski	चिकित्सीय	medicinski	PROPN;NOM	ADJ;NOM;MASC;SG
चिकित्सीय	medicinsko	चिकित्सीय	medicinski	PROPN;NOM	ADJ;NOM;NEUT;SG
रोबोट	robota	रोबोट	robot		N;NOM;MASC;SG
रोबोट	robot	रोबोट	robot		N;NOM;MASC;SG
छोड़ा	prekinjeno	छोड़	prekinjen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
छोड़ा	prekinjen	छोड़	prekinjen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
ज़्यादातर	večinoma	ज़्यादातर	večinoma	CONJ	ADV
ज़्यादातर	največkrat	ज़्यादातर	največkrat	CONJ	ADV;RL
समृद्धि	blaginje	समृद्धि	blaginja	N;NOM;FEM;SG;3	N;NOM;FEM;PL
समृद्धि	blaginjo	समृद्धि	blaginja	N;NOM;FEM;SG;3	N;ACC;FEM;SG
अक्तूबर	oktobra	अक्तूबर	oktober	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
अक्तूबर	oktober	अक्तूबर	oktober	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जोकर	joker	जोकर	joker	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जोकर	šaljivec	जोकर	šaljivec	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जोकर	jack	जोकर	jack	PROPN;NOM;MASC;SG;3	
जोकर	klovn	जोकर	klovn	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मित्रों	prijateljev	मित्र	prijatelj	N;ACC;MASC;PL;3	N;GEN;MASC;PL
मित्रों	prijatelji	मित्र	prijatelj	N;ACC;MASC;PL;3	N;NOM;MASC;PL
मित्रों	friends	मित्र	friends	N;ACC;MASC;PL;3	
भवनों	stavbe	भवन	stavba	N;ACC;MASC;PL;3	N;NOM;FEM;PL
भवनों	stavb	भवन	stavba	N;ACC;MASC;PL;3	N;GEN;FEM;PL
भवनों	poslopja	भवन	poslopje	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
भवनों	zgradbe	भवन	zgradba	N;ACC;MASC;PL;3	N;NOM;FEM;PL
छठे	šesti	छठा	šesti	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;SG
छठे	šesta	छठा	šesti	ADJ;ACC;MASC;SG	ADJ;NOM;FEM;SG
करण	karan	करण	karan	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
विचारक	mislec	विचारक	mislec	N;NOM;MASC;PL;3	N;NOM;MASC;SG
कास्त्रो	castra	कास्त्रो	castra	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
कास्त्रो	castro	कास्त्रो	castro	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
आकाशगंगा	galaksijo	आकाशगंगा	galaksija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
गुणा	množenje	गुणा	množenje		N;NOM;NEUT;SG
गुणा	razmnoževanje	गुणा	razmnoževanje		N;NOM;NEUT;SG
गुणा	pomnoži	गुणा	pomnož		V;PFV;IND;SG;3;PRS;FIN
समायोजन	prilagodi	समायोजन	prilagoditi	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
समायोजन	prilagoditve	समायोजन	prilagoditev	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रायोजित	sponzoriral	प्रायोजित	sponzorirati	PROPN;NOM;MASC;SG;3	V;MASC;SG;V.PTCP
विषम	čudno	विषम	čuden		ADJ;NOM;NEUT;SG
विषम	čuden	विषम	čuden		ADJ;NOM;INDF;MASC;SG
विषम	nenavadna	विषम	nenavaden		ADJ;NOM;FEM;SG
विषम	nenavadno	विषम	nenavaden		ADJ;NOM;NEUT;SG
बाली	bali	बाली	bati	PROPN;NOM;MASC;SG;3	V;IPFV;MASC;PL;V.PTCP
नवजात	novorojenčka	नवजात	novorojenček	N;NOM;MASC;SG;3	N;ACC;MASC;SG
हां	jap	हाँ	jap		N;NOM;MASC;SG
हां	ja	हाँ	ja		PART
हां	da	हाँ	da		
कंक्रीट	konkretno	कंक्रीट	konkretno	N;NOM;MASC;SG;3	ADV
कंक्रीट	konkretne	कंक्रीट	konkreten	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
कंक्रीट	konkreten	कंक्रीट	konkreten	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
जिंदगी	life	जिंदगी	life	N;NOM;FEM;SG;3	
शिया	šiitsko	शिया	šiitski	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
शिया	xia	शिया	xia	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
अकेला	sama	अकेला	sam	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;FEM;SG
अकेला	sami	अकेला	sam	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;MASC;PL
अकेला	sam	अकेला	samo	V;PFV;MASC;SG;V.PTCP;ACT	PART
अकेला	enotnega	अकेला	enoten	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;GEN;NEUT;SG
अकेला	single	अकेला	singla	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;MASC;SG
अकेला	samski	अकेला	samski	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;MASC;PL
अकेला	samska	अकेला	samski	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;FEM;SG
अकेला	osamljeno	अकेला	osamljen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
अकेला	samotno	अकेला	samoten	V;PFV;MASC;SG;V.PTCP;ACT	ADV
अकेला	osamljena	अकेला	osamljen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;FEM;SG;V.PTCP
अकेला	osamljeni	अकेला	osamljen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;MASC;PL;V.PTCP
अकेला	osamljen	अकेला	osamljen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
बाबर	babur	बाबर	babur	PROPN;NOM;MASC;SG;3	
प्रांतों	pokrajina	प्रांत	pokrajina	N;ACC;MASC;PL;3	N;NOM;FEM;SG
प्रांतों	provinca	प्रांत	provinca	N;ACC;MASC;PL;3	N;NOM;FEM;SG
प्रांतों	province	प्रांत	provinec	N;ACC;MASC;PL;3	N;NOM;FEM;PL
प्रांतों	provincah	प्रांत	provinca	N;ACC;MASC;PL;3	N;ESS;FEM;PL
प्रांतों	pokrajine	प्रांत	pokrajina	N;ACC;MASC;PL;3	N;NOM;FEM;PL
ह्रदय	srčna	ह्रदय	srčen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
ह्रदय	srčno	ह्रदय	srčno	N;NOM;MASC;SG;3	ADV
मॉडलिंग	modeliranja	मॉडलिंग	modeliranje	N;NOM;FEM;SG;3	N;NOM;NEUT;PL
चाप	arch	चाप	arch	N;NOM;MASC;SG;3	
पन्ना	smaragdno	पन्ना	smaragden	PROPN;NOM;MASC;SG;3	ADV
मरीजों	pacienti	मरीज	pacient	N;ACC;MASC;PL;3	N;NOM;MASC;PL
मरीजों	bolniki	मरीज	bolnik	N;ACC;MASC;PL;3	N;NOM;MASC;PL
दरों	stopnje	दर	stopnja	N;ACC;FEM;PL;3	N;NOM;FEM;PL
हंस	gos	हंस	gos		N;NOM;MASC;SG
फायदा	ugodnosti	फायदा	ugodnost	N;NOM;MASC;SG;3	N;NOM;FEM;PL
फायदा	prednosti	फायदा	prednost	N;NOM;MASC;SG;3	N;NOM;FEM;PL
फेफड़ों	pljučna	फेफडा	pljučen	N;ACC;MASC;PL;3	ADJ;NOM;FEM;SG
फेफड़ों	pljuč	फेफडा	pljuč	N;ACC;MASC;PL;3	N;NOM;MASC;SG
फेफड़ों	pljuča	फेफडा	pljuč	N;ACC;MASC;PL;3	N;NOM;MASC;SG
फेफड़ों	pljuč	फेफडा	pljuč	N;ACC;MASC;PL;3	N;NOM;MASC;SG
फेफड़ों	pljuča	फेफडा	pljuč	N;ACC;MASC;PL;3	N;NOM;MASC;SG
बाजारों	tržnice	बाजार	tržnica	N;ACC;MASC;PL;3	N;NOM;FEM;PL
बाजारों	trgi	बाजार	trg	N;ACC;MASC;PL;3	N;NOM;MASC;PL
बाजारों	tržišča	बाजार	tržišče	N;ACC;MASC;PL;3	N;NOM;NEUT;PL
लीप	skok	लीप	skok		N;NOM;MASC;SG
लीप	preskok	लीप	preskok		N;NOM;MASC;SG
अपहरण	ugrabitve	अपहरण	ugrabitev	N;NOM;MASC;SG;3	N;NOM;FEM;PL
भीषण	pošastno	भीषण	pošastno	N;NOM;MASC;SG;3	ADV
मेहनत	trde	मेहनत	trd	N;NOM;FEM;SG;3	ADJ;NOM;FEM;PL
मेहनत	težko	मेहनत	težek	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
मेहनत	trdo	मेहनत	trdo	N;NOM;FEM;SG;3	ADV
थाईलैंड	tajska	थाईलैंड	tajski	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
थाईलैंड	tajsko	थाईलैंड	tajski	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
थाईलैंड	tajske	थाईलैंड	tajski	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
पर्याय	sinonim	पर्याय	sinoni	N;NOM;MASC;SG;3	V;PFV;IND;SG;1;PRS;FIN
सार्थक	smiselne	सार्थक	smiseln		ADJ;NOM;FEM;PL
सार्थक	smiseln	सार्थक	smiseln		ADJ;NOM;INDF;MASC;SG
चाँदी	srebrn	चाँदी	srebrn	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG
चाँदी	srebro	चाँदी	srebro	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
चाँदी	srebrno	चाँदी	srebrno	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
चाँदी	srebrna	चाँदी	srebrn	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
प्रायोगिक	eksperimentalno	प्रायोगिक	eksperimentalno	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्रायोगिक	poskusno	प्रायोगिक	poskusno	N;NOM;MASC;SG;3	ADV
प्रायोगिक	poskusni	प्रायोगिक	poskusen	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
प्रायोगिक	poskusnih	प्रायोगिक	poskusen	N;NOM;MASC;SG;3	ADJ;GEN;MASC;PL
प्रायोगिक	poskusna	प्रायोगिक	poskusen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
राक्षस	demona	राक्षस	demona	N;NOM;MASC;SG;3	N;ACC;MASC;SG
राक्षस	pošastmi	राक्षस	pošast	N;NOM;MASC;SG;3	N;NOM;FEM;PL
राक्षस	pošasti	राक्षस	pošast	N;NOM;MASC;SG;3	N;NOM;FEM;PL
ग्रे	gray	ग्रे	gray		
ग्रे	siv	ग्रे	siv		ADJ;NOM;INDF;MASC;SG
ग्रे	siva	ग्रे	siv		ADJ;NOM;FEM;SG
ग्रे	sivo	ग्रे	siv		ADJ;NOM;NEUT;SG
ग्रे	sivi	ग्रे	siv		ADJ;NOM;DEF;MASC;SG
ग्रे	sive	ग्रे	siv		ADJ;NOM;FEM;PL
ग्रे	sivo	ग्रे	siv		ADJ;NOM;NEUT;SG
ग्रे	sivi	ग्रे	siv		ADJ;NOM;DEF;MASC;SG
ग्रे	grey	ग्रे	grey		
ग्रे	siva	ग्रे	siv		ADJ;NOM;FEM;SG
पोल	anketa	पोल	anket		N;NOM;FEM;SG
पोल	ankete	पोल	anketa		N;NOM;FEM;PL
गारंटी	zagotovljen	गारंटी	zagotovljen	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
गारंटी	zagotovljeni	गारंटी	zagotovljen	N;NOM;FEM;SG;3	ADJ;NOM;MASC;PL;V.PTCP
गारंटी	zagotovljeno	गारंटी	zagotovljen	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
गारंटी	zagotovljena	गारंटी	zagotovljen	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG;V.PTCP
गारंटी	zajamčeno	गारंटी	zajamčen	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
निर्भरता	odvisnosti	निर्भरता	odvisnost	N;NOM;FEM;SG;3	N;GEN;FEM;SG
तंग	tang	तंग	tang		N;NOM;MASC;SG
तंग	tesno	तंग	tesno		ADV
तंग	tesen	तंग	tesen		ADJ;NOM;INDF;MASC;SG
तंग	tesna	तंग	tesen		ADJ;NOM;FEM;SG
तंग	ozko	तंग	ozko		ADV
तंग	ozki	तंग	ozek		ADJ;NOM;MASC;PL
तंग	ozka	तंग	ozek		ADJ;NOM;FEM;SG
तंग	ozke	तंग	ozek		ADJ;NOM;FEM;PL
तंग	ozek	तंग	ozek		ADJ;NOM;INDF;MASC;SG
योनि	pičke	योनि	pička	N;NOM;FEM;SG;3	N;NOM;FEM;PL
योनि	muco	योनि	muca	N;NOM;FEM;SG;3	N;ACC;FEM;SG
योनि	muce	योनि	muca	N;NOM;FEM;SG;3	N;NOM;FEM;PL
योनि	vagine	योनि	vagin	N;NOM;FEM;SG;3	N;NOM;FEM;PL
कांच	stekla	कांच	steči	N;NOM;MASC;SG;3	V;PFV;FEM;PL;V.PTCP
कांच	steklena	कांच	steklen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
शस्त्र	orožja	शस्त्र	orožje	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
शस्त्र	roke	शस्त्र	roka	N;NOM;MASC;SG;3	N;NOM;FEM;PL
शस्त्र	roki	शस्त्र	roka	N;NOM;MASC;SG;3	N;NOM;FEM;DU
राजू	raju	राजू	raj	PROPN;NOM;MASC;SG;3	N;DAT;MASC;SG
गुलाबी	rožnata	गुलाबी	rožnat	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
गुलाबी	rožnate	गुलाबी	rožnat	N;NOM;FEM;SG;3	ADJ;NOM;FEM;PL
गुलाबी	rožnati	गुलाबी	rožnat	N;NOM;FEM;SG;3	ADJ;NOM;MASC;PL
गुलाबी	rožnato	गुलाबी	rožnato	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
इलेक्ट्रॉनिक्स	elektroniko	इलेक्ट्रॉनिक्स	elektronik	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बियर	piva	बियर	pivo	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
गान	himna	गान	himen	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
गान	himno	गान	himna	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
सातवीं	seventh	सातवां	seventh	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
सातवीं	sedmega	सातवां	sedem	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;SG
एनबीसी	nbc	एनबीसी	nbce	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
पुरूष	samci	पुरूष	samec	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पुरूष	moško	पुरूष	moški	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
पुरूष	moški	पुरूष	moški	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पुरूष	moška	पुरूष	moški	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सिंधु	sindhu	सिंधु	sindh	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
सिंधु	sind	सिंधु	sind	PROPN;NOM;MASC;SG;3	
लाइट	svetlo	लाइट	svetlo	N;NOM;FEM;SG;3	ADV
लाइट	lahka	लाइट	lahek	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
अभिव्यक्त	izraziti	अभिव्यक्त	izraziti	ADJ	V;PFV;NFIN
अभिव्यक्त	express	अभिव्यक्त	express	ADJ	N;NOM;MASC;SG
हिस्सेदारी	kol	हिस्सेदारी	kol	N;NOM;FEM;SG;3	
हिस्सेदारी	kocki	हिस्सेदारी	kocki	N;NOM;FEM;SG;3	N;NOM;FEM;DU
ऑस्कर	oscar	ऑस्कर	oscar	N;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
ऑस्कर	oskarja	ऑस्कर	oskar	N;NOM;MASC;SG;3	N;NOM;MASC;DU
ऑस्कर	oskarjev	ऑस्कर	oskar	N;NOM;MASC;SG;3	N;GEN;MASC;PL
बाएँ	levica	बाएं	levica		N;NOM;FEM;SG
बाएँ	levi	बाएं	lev		ADJ;NOM;MASC;SG
बाएँ	levo	बाएं	levo		ADV
बाएँ	leva	बाएं	lev		ADJ;NOM;FEM;SG
राष्ट्रवादी	nacionalistične	राष्ट्रवादी	nacionalističen	PROPN;NOM;SG;3	ADJ;NOM;FEM;PL
इंजनों	lokomotive	इंजन	lokomotiv	N;ACC;MASC;PL;3	N;NOM;FEM;PL
स्टीफन	stephen	स्टीफन	stephen	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
स्टीफन	štefan	स्टीफन	štefan	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
स्टीफन	stephena	स्टीफन	stephen	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
ब्लूज़	blues	ब्लूज़	blues	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
रूपांतरित	pretvori	रूपांतरित	pretvor	ADJ	V;PFV;IND;SG;3;PRS;FIN
कांस्य	bron	कांस्य	bron	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
दिलचस्पी	zanima	दिलचस्पी	zanimati	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN
दिलचस्पी	zainteresirani	दिलचस्पी	zainteresiran	N;NOM;FEM;SG;3	ADJ;NOM;MASC;PL;V.PTCP
दिलचस्पी	zainteresirana	दिलचस्पी	zainteresiran	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG;V.PTCP
दिलचस्पी	zainteresirane	दिलचस्पी	zainteresiran	N;NOM;FEM;SG;3	ADJ;NOM;FEM;PL;V.PTCP
अलौकिक	nadnaravno	अलौकिक	nadnaraven		ADJ;NOM;NEUT;SG
महिलाएँ	gospodični	महिला	gospodičen	N;NOM;FEM;PL;3	ADJ;NOM;MASC;SG
महिलाएँ	gospodične	महिला	gospodičen	N;NOM;FEM;PL;3	ADJ;NOM;FEM;PL
महिलाएँ	ženskam	महिला	ženska	N;NOM;FEM;PL;3	N;DAT;FEM;PL
महिलाएँ	žensk	महिला	ženska	N;NOM;FEM;PL;3	N;GEN;FEM;PL
व्यंजनों	receptov	व्यंजन	recept	N;ACC;MASC;PL;3	N;GEN;MASC;PL
व्यंजनों	recepti	व्यंजन	recept	N;ACC;MASC;PL;3	N;NOM;MASC;PL
आचार	etiko	आचार	etika	N;NOM;MASC;SG;3	N;ACC;FEM;SG
आचार	etična	आचार	etičen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मापदंड	kriteriji	मापदंड	kriterij	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मापदंड	merila	मापदंड	meriti	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
एडिनबर्ग	edinburghu	एडिनबर्ग	edinburgh	PROPN;NOM;MASC;SG;3	PROPN;DAT;MASC;SG
काच	stekla	काच	steči	N;NOM;MASC;SG;3	V;PFV;FEM;PL;V.PTCP
काच	steklena	काच	steklen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
युवाओं	mladosti	युवा	mladost	N;ACC;MASC;PL;3	N;GEN;FEM;SG
