der	на	der	на	DET;NOM;DEF;MASC;SG	ADP
bauwerke	структури	bauwerk	структура		N;INDF;FEM;PL
bauwerke	конструкции	bauwerk	конструкция		N;INDF;FEM;PL
bauwerke	постройки	bauwerk	постройка		N;INDF;FEM;PL
muster	образци	muster	образец	ADJ	N;INDF;MASC;PL
muster	проби	muster	проба	ADJ	N;INDF;FEM;PL
muster	извадки	muster	извадка	ADJ	N;INDF;FEM;PL
muster	мостри	muster	мостра	ADJ	N;INDF;MASC;PL
zusammensetzung	състав	zusammensetzung	състав	V;FIN	N;INDF;MASC;SG
zusammensetzung	композиция	zusammensetzung	композиция	V;FIN	N;INDF;FEM;SG
fliegen	полети	fliegen	полет	V;NFIN	N;INDF;MASC;PL
fliegen	мухи	fliegen	муха	V;NFIN	N;INDF;FEM;PL
fliegen	мухите	fliegen	муха	V;NFIN	N;DEF;FEM;PL
fliegen	летене	fliegen	летене	V;NFIN	N;INDF;NEUT;SG
fliegen	летящи	fliegen	летящ	V;NFIN	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
südamerika	перу	südamerika	перу	PROPN	PROPN;INDF;MASC;SG
gedicht	поема	denken|gedenken	поемам		V;IPFV;IND;SG;3;PRS;FIN;ACT
gedicht	стихотворение	denken|gedenken	стихотворение		N;INDF;NEUT;SG
fame	славата	fimmen	слава		N;DEF;FEM;SG
fame	слава	fimmen	слава		N;INDF;FEM;SG
regierungsbezirk	regency	regierungsbezirk	regency	PROPN	N;INDF;MASC;SG
kulturellen	културно	kulturell	културно	ADJ	ADV
männliche	мъжко	männlich	мъжко	ADJ;NOM;FEM;PL	ADV
männliche	мъж	männlich	мъж	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
männliche	мъжкар	männlich	мъжкар	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
männliche	мъжка	männlich	мъжка	ADJ;NOM;FEM;PL	N;INDF;FEM;SG
kanadische	канадци	kanadisch	канадец	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
kanadische	канадска	kanadisch	канадски	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
kanadische	канадец	kanadisch	канадец	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
kanadische	канадски	kanadisch	канадски	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
soziologie	социологически	soziologie	социологически	PROPN	ADJ;INDF;MASC;SG
soziologie	социология	soziologie	социология	PROPN	N;INDF;FEM;SG
jimmy	джими	jimmy	джим	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
finanzielle	финансов	finanziell	финансов	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
finanzielle	финансова	finanziell	финансов	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
finanzielle	финансово	finanziell	финансово	ADJ;NOM;FEM;PL	ADV
schild	щит	schild	щит	ADV	N;INDF;MASC;SG
hartmann	хартман	hartmann	хартман	PROPN;SG	N;INDF;MASC;SG
hartmann	хартман	hartmann	хартман	PROPN;SG	N;INDF;MASC;SG
explizit	изрично	explizit	изрично	ADJ	ADV
explizit	изрично	explizit	изрично	ADJ	ADV
römer	римляни	rom	римляна		N;INDF;MASC;PL
römer	римляните	rom	римлян		N;DEF;MASC;PL
römer	римски	rom	римски		ADJ;INDF;MASC;SG
römer	римлянин	rom	римлянин		N;INDF;MASC;SG
römer	роман	rom	роман		N;INDF;MASC;SG
römer	римска	rom	римски		ADJ;INDF;FEM;SG
übertragung	трансмисия	übertragung	трансмисия	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
übertragung	предаване	übertragung	предаване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
übertragung	пренос	übertragung	пренос	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
übertragung	излъчване	übertragung	излъчване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
übertragung	делегация	übertragung	делегация	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
übertragung	делегиране	übertragung	делегиране	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
übertragung	пренасяне	übertragung	пренасяне	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
übertragung	прехвърляне	übertragung	прехвърляне	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
übertragung	пренасочване	übertragung	пренасочване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
übertragung	трансфер	übertragung	трансфер	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
übertragung	преместване	übertragung	преместване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
übertragung	прехвърляне	übertragung	прехвърляне	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
biologie	биология	biologie	биология		N;INDF;FEM;SG
biologie	биологията	biologie	биология		N;DEF;FEM;SG
wisconsin	уисконсин	wisconsin	уисконсин	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
aires	айрес	aire	айрес	PROPN;NOM;NEUT;SG	PROPN;INDF;MASC;SG
vermögen	богатство	vermögen	богатство		N;INDF;NEUT;SG
vermögen	активи	vermögen	актив		N;INDF;MASC;PL
vermögen	благосъстояние	vermögen	благосъстояние		N;INDF;NEUT;SG
vermögen	богатството	vermögen	богатство		N;DEF;NEUT;SG
vermögen	богатство	vermögen	богатство		N;INDF;NEUT;SG
indiana	индиана	indiana	индиана	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
männlichen	мъжко	männlich	мъжко	ADJ	ADV
männlichen	мъж	männlich	мъж	ADJ	N;INDF;MASC;SG
männlichen	мъжкар	männlich	мъжкар	ADJ	N;INDF;MASC;SG
männlichen	мъжка	männlich	мъжка	ADJ	N;INDF;FEM;SG
anordnung	разпореждане	anordnung	разпореждане	ADJ	N;INDF;NEUT;SG
anordnung	оформление	anordnung	оформление	ADJ	N;INDF;NEUT;SG
anordnung	подредба	anordnung	подредба	ADJ	N;INDF;FEM;SG
anordnung	подредба	anordnung	подредба	ADJ	N;INDF;FEM;SG
anordnung	уговорка	anordnung	уговорка	ADJ	N;INDF;FEM;SG
anordnung	споразумение	anordnung	споразумение	ADJ	N;INDF;NEUT;SG
darsteller	хвърли	darsteller	хвърля-(се)	ADJ	V;PFV;IMP;SG;2;FIN
darsteller	гипс	darsteller	гипс	ADJ	N;INDF;MASC;SG
darsteller	актьори	darsteller	актьор	ADJ	N;INDF;MASC;PL
darsteller	актьорите	darsteller	актьор	ADJ	N;DEF;MASC;PL
darsteller	актьор	darsteller	актьор	ADJ	N;INDF;MASC;SG
darsteller	изпълнителите	darsteller	изпълнител	ADJ	N;DEF;MASC;PL
darsteller	изпълнители	darsteller	изпълнител	ADJ	N;INDF;MASC;PL
tanz	танци	tanz	танци		N;INDF;MASC;PL
tanz	танцувай	tanz	танцувам		V;IPFV;IMP;SG;2;FIN
tanz	танц	tanz	танц		N;INDF;MASC;SG
tanz	танци	tanz	танци		N;INDF;MASC;PL
tanz	танцуващи	tanz	танцувам		ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
tanz	танцуване	tanz	танцуване		N;INDF;NEUT;SG
glas	стъкло	glas	стъкло		N;INDF;NEUT;SG
glas	чаша	glas	чаша		N;INDF;FEM;SG
glas	стъклен	glas	стъклен		N;INDF;MASC;SG
glas	стъкла	glas	стъкло		N;INDF;NEUT;PL
glas	буркан	glas	буркам		N;INDF;MASC;SG
glas	джар	glas	джар		N;INDF;MASC;SG
glas	glas	glas	glas		N;INDF;MASC;SG
mayer	мейър	mayer	мейър	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
mayer	майър	mayer	майър	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
mayer	майер	mayer	майер	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
eingestuft	поверително	einstufen	поверителен	V;V.PTCP	ADV
eingestuft	секретно	einstufen	секретен	V;V.PTCP	ADV
wladimir	владимир	wladimir	владимир	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
wladimir	владимир	wladimir	владимир	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
kauf	купувам	kauf	купувам	N;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
kauf	купи	kauf	купя	N;SG	V;PFV;IMP;SG;3;PST;FIN;ACT
kauf	купувам	kauf	купувам	N;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
kauf	купува	kauf	купувам	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
anderson	андерсън	anderson	андерсън	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
atp	атп	atp	атп		PROPN;INDF;FEM;SG
bergbau	добив	bergbau	добив		N;INDF;MASC;SG
bergbau	минни	bergbau	минен		N;INDF;FEM;PL
bergbau	мините	bergbau	мина		N;DEF;FEM;PL
bergbau	мини	bergbau	мина		N;INDF;FEM;PL
problemen	проблеми	problem	проблем	V;NFIN	N;INDF;MASC;PL
problemen	проблемите	problem	проблем	V;NFIN	N;DEF;MASC;PL
tschechischen	чешки	tschechisch	чешка	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
tschechischen	чешката	tschechisch	чешки	ADJ;NOM;MASC;PL	ADJ;DEF;FEM;SG
tschechischen	чешка	tschechisch	чешка	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
gelöst	разтворен	lösen	разтворя-(се)	V;V.PTCP	N;INDF;MASC;SG
buenos	буенос	buenos	буенос	PROPN;NOM;NEUT;SG	ADV
geschätzt	ценен	schätzen	ценен	V;V.PTCP	ADJ;INDF;MASC;SG
waffe	оръжие	waffen	оръжие		N;INDF;NEUT;SG
waffe	оръжия	waffen	оръжие		N;INDF;NEUT;PL
waffe	оръжията	waffen	оръжие		N;DEF;NEUT;PL
waffe	оръжие	waffen	оръжие		N;INDF;NEUT;SG
waffe	пистолет	waffen	пистолет		N;INDF;MASC;SG
waffe	оръжие	waffen	оръжие		N;INDF;NEUT;SG
dance	танци	dance	танци	PROPN	N;INDF;MASC;PL
dance	танцувай	dance	танцувам	PROPN	V;IPFV;IMP;SG;2;FIN
dance	танц	dance	танц	PROPN	N;INDF;MASC;SG
dance	танци	dance	танци	PROPN	N;INDF;MASC;PL
dance	танцуващи	dance	танцувам	PROPN	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
dance	танцуване	dance	танцуване	PROPN	N;INDF;NEUT;SG
trio	трио	trio	трио		N;INDF;NEUT;SG
val	вал	val	вал	PROPN;SG	N;INDF;MASC;SG
ice	айс	ice	айс		N;INDF;MASC;SG
ice	лед	ice	лед		N;INDF;MASC;SG
charlie	чарли	charlie	чарла	PROPN;NOM;SG	N;INDF;MASC;SG
negativ	отрицателно	negativ	отрицателен	ADJ	ADV
senator	сенатор	senator	сенатор	PROPN;NOM;SG	N;INDF;MASC;SG
eigenschaft	атрибут	eigenschaft	атрибут	ADJ	N;INDF;MASC;SG
eigenschaft	имот	eigenschaft	имот	ADJ	N;INDF;MASC;SG
eigenschaft	собственост	eigenschaft	собственост	ADJ	N;INDF;FEM;SG
eigenschaft	имущество	eigenschaft	имущество	ADJ	N;INDF;NEUT;SG
eigenschaft	свойство	eigenschaft	свойство	ADJ	N;INDF;NEUT;SG
schwerer	тежко	schwer	тежко	ADJ	ADV
streifen	ивица	streifen	ивица	V;NFIN	N;INDF;FEM;SG
streifen	ленти	streifen	лента	V;NFIN	N;INDF;FEM;PL
streifen	ивици	streifen	ивик	V;NFIN	N;INDF;FEM;PL
streifen	райета	streifen	райе	V;NFIN	N;INDF;NEUT;PL
streifen	стриптийз	streifen	стриптийз	V;NFIN	N;INDF;MASC;SG
streifen	ленти	streifen	лента	V;NFIN	N;INDF;FEM;PL
streifen	лента	streifen	лента	V;NFIN	N;INDF;FEM;SG
kennzeichen	чинията	kennzeichen	чиния		N;DEF;FEM;SG
kennzeichen	чиния	kennzeichen	чиния		N;INDF;FEM;SG
kennzeichen	плоча	kennzeichen	плоча-(се)		N;INDF;FEM;SG
kennzeichen	етикети	kennzeichen	етикет		N;INDF;MASC;PL
kennzeichen	тагове	kennzeichen	таг		N;INDF;MASC;SG
kennzeichen	идентификатори	kennzeichen	идентификатор		N;INDF;MASC;PL
kennzeichen	табели	kennzeichen	табел		N;INDF;MASC;PL
kennzeichen	плочи	kennzeichen	плоча-(се)		N;INDF;FEM;PL
kennzeichen	чинии	kennzeichen	чиния		N;INDF;FEM;PL
down	долу	down	долу	PROPN	ADV
down	надолу	down	надолу	PROPN	ADV
turin	торино	turin	торино	PROPN;SG	PROPN;INDF;NEUT;SG
turin	торино	turin	торино	PROPN;SG	PROPN;INDF;NEUT;SG
berichtete	докладвани	berichten	докладвам	V;IND;SG;3;PST;FIN	V;IPFV;INDF;PL;V.PTCP;PASS
verwandt	свързани	verwandt	свържа	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
verwandt	свързан	verwandt	свържа	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
verwandt	свързана	verwandt	свържа	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
verwandt	свързано	verwandt	свържа	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
literarische	литературен	literarisch	литературен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
distanz	дистанция	distanz	дистанция		N;INDF;FEM;SG
distanz	разстояние	distanz	разстояние		N;INDF;NEUT;SG
distanz	разстояния	distanz	разстоя		N;INDF;NEUT;PL
adams	адамс	adams	адамс	PROPN;NOM;SG	PROPN;INDF;MASC;SG
kandidatur	кандидатурата	kandidatur	кандидатура	V;IND;SG;3;PST;FIN	N;DEF;FEM;SG
kandidatur	кандидатура	kandidatur	кандидатура	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
begraben	погребение	begraben	погребение	V;V.PTCP	N;INDF;NEUT;SG
angehörigen	роднини	angehörig	роднина	V;IND;PL;3;FIN	N;INDF;MASC;PL
angehörigen	роднините	angehörig	роднина	V;IND;PL;3;FIN	N;DEF;MASC;PL
betreiber	оператор	betreiber	оператор		N;INDF;MASC;SG
betreiber	операторите	betreiber	оператор		N;DEF;MASC;PL
betreiber	оператори	betreiber	оператор		N;INDF;MASC;PL
louise	луиз	louise	луиз	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
absicht	намерение	absechen	намерение		N;INDF;NEUT;SG
absicht	намерения	absechen	намерение		N;INDF;NEUT;PL
absicht	намерението	absechen	намерение		N;DEF;NEUT;SG
absicht	намерение	absechen	намерение		N;INDF;NEUT;SG
absicht	намерения	absechen	намерение		N;INDF;NEUT;PL
absicht	умисъл	absechen	умисъл		N;INDF;MASC;SG
absicht	преднамерено	absechen	преднамерено		ADV
absicht	умишлено	absechen	умишлено		ADV
absicht	намерения	absechen	намерение		N;INDF;NEUT;PL
absicht	намеренията	absechen	намерение		N;DEF;NEUT;PL
einstellen	задаване	einstellen	задаване	V;NFIN	N;INDF;NEUT;SG
einstellen	комплект	einstellen	комплект	V;NFIN	N;INDF;MASC;SG
einstellen	набор	einstellen	набор	V;NFIN	N;INDF;MASC;SG
einstellen	настройка	einstellen	настройка	V;NFIN	N;INDF;FEM;SG
stanley	станли	stanley	стана		N;INDF;MASC;SG
stanley	стенли	stanley	стенл		N;INDF;MASC;SG
gefährdet	застрашена	gefährden	застраша	ADJ;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
gefährdet	застрашени	gefährden	застраша	ADJ;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
gefährdet	заплашен	gefährden	заплашен	ADJ;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
gefährdet	заплаши	gefährden	заплаша	ADJ;V.PTCP	V;PFV;IMP;SG;2;PST;FIN
gefährdet	компрометиран	gefährden	компрометирам	ADJ;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
gefährdet	компрометирана	gefährden	компрометирам	ADJ;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
gefährdet	уязвимо	gefährden	уязвимо	ADJ;V.PTCP	ADV
festivals	фестивали	festivals	фестивал	ADV	N;INDF;MASC;PL
url	url	url	url		N;INDF;MASC;SG
url	адрес	url	адрес		N;INDF;MASC;SG
pass	паспорт	pass	паспорт		N;INDF;MASC;SG
pass	пропуск	pass	пропуск		N;INDF;MASC;SG
pass	мине	pass	мина-(се)		V;PFV;IND;SG;3;PST;FIN;ACT
pass	пас	pass	пас		N;INDF;MASC;SG
pass	преминаване	pass	преминаване		N;INDF;NEUT;SG
nahrung	храни	nahrung	храна	N;NOM;FEM;SG	N;INDF;FEM;PL
nahrung	диети	nahrung	диета	N;NOM;FEM;SG	N;INDF;MASC;PL
nahrung	диетична	nahrung	диетичен	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
sichern	подкрепление	sichern	подкрепление	V;NFIN	N;INDF;NEUT;SG
sichern	сигурна	sichern	сигурен	V;NFIN	ADJ;INDF;FEM;SG
sichern	осигуряване	sichern	осигуряване	V;NFIN	N;INDF;NEUT;SG
sichern	обезпечаване	sichern	обезпечаване	V;NFIN	N;INDF;NEUT;SG
hängen	висящ	hängen	вися	V;NFIN	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
hängen	обесване	hängen	обесване	V;NFIN	N;INDF;NEUT;SG
hängen	висящи	hängen	вися	V;NFIN	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
zugehörigkeit	принадлежност	zugehörigkeit	принадлежност	ADJ	N;INDF;FEM;SG
fulda	фулда	fulda	фулд	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
nürnberger	nürnberger	nürnberger	nürnberger	PROPN	N;INDF;MASC;SG
rückzug	оттегляне	rückzug	оттегляне	V;SG	N;INDF;NEUT;SG
rückzug	отстъпление	rückzug	отстъпление	V;SG	N;INDF;NEUT;SG
verbrechen	престъпления	verbrechen	престъпление	V;NFIN	N;INDF;NEUT;PL
verbrechen	престъпления	verbrechen	престъпление	V;NFIN	N;INDF;NEUT;PL
verbrechen	престъпления	verbrechen	престъпление	V;NFIN	N;INDF;NEUT;PL
verbrechen	престъпление	verbrechen	престъпление	V;NFIN	N;INDF;NEUT;SG
verbrechen	престъпност	verbrechen	престъпност	V;NFIN	N;INDF;FEM;SG
verbrechen	престъпността	verbrechen	престъпност	V;NFIN	N;DEF;FEM;SG
spielzeiten	сезоните	spielzeit	сезон	V;NFIN	N;DEF;MASC;PL
spielzeiten	сезони	spielzeit	сезон	V;NFIN	N;INDF;MASC;PL
debatte	разискване	debatt	разискване	ADJ;NOM;SG	N;INDF;NEUT;SG
debatte	разисквания	debatt	разискване	ADJ;NOM;SG	N;INDF;NEUT;PL
debatte	дебат	debatt	дебат	ADJ;NOM;SG	N;INDF;MASC;SG
debatte	дебати	debatt	дебат	ADJ;NOM;SG	N;INDF;MASC;PL
debatte	разисквания	debatt	разискване	ADJ;NOM;SG	N;INDF;NEUT;PL
debatte	дебати	debatt	дебат	ADJ;NOM;SG	N;INDF;MASC;PL
eisen	айрънс	eise	айрънс		PROPN;INDF;MASC;SG
eisen	железен	eise	железен		ADJ;INDF;MASC;SG
eisen	желязо	eise	желяз		N;INDF;NEUT;SG
eisen	железен	eise	железен		ADJ;INDF;MASC;SG
eisen	желязна	eise	железен		ADJ;INDF;FEM;SG
eisen	железни	eise	железен		ADJ;INDF;PL
seele	душа	seelen	душа		N;INDF;FEM;SG
seele	соул	seelen	соул		N;INDF;MASC;SG
seele	душата	seelen	душа		N;DEF;FEM;SG
seele	души	seelen	души		N;INDF
seele	душите	seelen	души		N;DEF;FEM;PL
schiffen	корабите	schiffen	кораб		N;DEF;MASC;PL
schiffen	кораби	schiffen	кораб		N;INDF;MASC;PL
becken	басейни	becken	басеен	V;NFIN	ADJ;INDF;PL
becken	таза	becken	таза	V;NFIN	N;DEF;MASC;SG
becken	таз	becken	таз	V;NFIN	PROPN;INDF;FEM;SG
becken	басейн	becken	басейн	V;NFIN	N;INDF;MASC;SG
wdr	wdr	wdr	wdr		N;INDF;NEUT;SG
bit	бит	bit	бия-(се)		N;INDF;MASC;SG
bit	парченца	bit	парченц		N;INDF;NEUT;PL
bit	късчета	bit	късче		N;INDF;NEUT;PL
bit	парчета	bit	парче		N;INDF;NEUT;PL
missbrauch	злоупотреба	mißbrauchen	злоупотреба		N;INDF;FEM;SG
missbrauch	злоупотреба	mißbrauchen	злоупотреба		N;INDF;FEM;SG
missbrauch	малтретиране	mißbrauchen	малтретиране		N;INDF;NEUT;SG
missbrauch	злоупотреби	mißbrauchen	злоупотреба		N;INDF;FEM;PL
missbrauch	злоупотреба	mißbrauchen	злоупотреба		N;INDF;FEM;SG
missbrauch	злоупотреби	mißbrauchen	злоупотреба		N;INDF;FEM;PL
wiederhergestellt	възстановяване	wiederherstellen	възстановяване	V;V.PTCP	N;INDF;NEUT;SG
bogen	арк	biegen	арк		N;INDF;NEUT;SG
bogen	дъга	biegen	дъга		N;INDF;FEM;SG
bogen	панделки	biegen	панделка		N;INDF;FEM;PL
bogen	лъкове	biegen	лък		N;INDF;MASC;PL
bogen	арка	biegen	арка		N;INDF;FEM;SG
bogen	поклон	biegen	поклон		N;INDF;MASC;SG
umfassende	изчерпателна	umfassend	изчерпателен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
umfassende	всеобхватен	umfassend	всеобхватен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
umfassende	изчерпателно	umfassend	изчерпателно	ADJ;NOM;FEM;PL	ADV
umfassende	изчерпателен	umfassend	изчерпателен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
umfassende	обширно	umfassend	обширно	ADJ;NOM;FEM;PL	ADV
kritisch	критично	kritisch	критично	ADJ	ADV
knoten	възел	knot	възел	V;NFIN	N;INDF;MASC;SG
knoten	възли	knot	възел	V;NFIN	N;INDF;MASC;PL
knoten	възли	knot	възел	V;NFIN	N;INDF;MASC;PL
knoten	възел	knot	възел	V;NFIN	N;INDF;MASC;SG
realität	реалности	realität	реалност	ADJ	N;INDF;FEM;PL
realität	реалност	realität	реалност	ADJ	N;INDF;FEM;SG
realität	действителността	realität	действителност	ADJ	N;DEF;FEM;SG
realität	реалността	realität	реалност	ADJ	N;DEF;FEM;SG
realität	действителност	realität	действителност	ADJ	N;INDF;FEM;SG
voraussetzungen	предпоставки	voraussetzehen	предпоставка	V;NFIN	N;INDF;FEM;PL
voraussetzungen	предпоставки	voraussetzehen	предпоставка	V;NFIN	N;INDF;FEM;PL
voraussetzungen	състояния	voraussetzehen	състояние	V;NFIN	N;INDF;NEUT;PL
voraussetzungen	условията	voraussetzehen	условие	V;NFIN	N;DEF;NEUT;PL
voraussetzungen	условия	voraussetzehen	условие	V;NFIN	N;INDF;NEUT;PL
mercedes	мерцедес	mercedes	мерцедес	PROPN;NOM;SG	N;INDF;MASC;SG
mercedes	мерседес	mercedes	мерседес	PROPN;NOM;SG	N;INDF;FEM;SG
campus	кампуса	campus	кампус		N;DEF;MASC;SG
begründer	основатели	begründer	основател	ADJ	N;INDF;MASC;PL
begründer	основателите	begründer	основател	ADJ	N;DEF;MASC;PL
begründer	създател	begründer	създател	ADJ	N;INDF;MASC;SG
begründer	основателят	begründer	основател	ADJ	N;DEF;MASC;SG
begründer	основател	begründer	основател	ADJ	N;INDF;MASC;SG
bedeutender	изтъкнат	bedeutend	изтъкна	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
bedeutender	изтъкнати	bedeutend	изтъкна	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
wörter	думите	wört	дума		N;DEF;FEM;PL
wörter	думи	wört	дума		N;INDF;FEM;PL
mittelalterliche	средновековна	mittelalterlich	средновековен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
stellvertreter	алтернативно	stellvertreter	алтернативно	ADJ	ADV
stellvertreter	заместник	stellvertreter	заместник	ADJ	N;INDF;MASC;SG
stellvertreter	заместители	stellvertreter	заместител	ADJ	N;INDF;MASC;PL
stellvertreter	заместници	stellvertreter	заместник	ADJ	N;INDF;MASC;PL
stellvertreter	заместител	stellvertreter	заместител	ADJ	N;INDF;MASC;SG
stellvertreter	заместване	stellvertreter	заместване	ADJ	N;INDF;NEUT;SG
stellvertreter	заместници	stellvertreter	заместник	ADJ	N;INDF;MASC;PL
bäume	трий	bäumen	трий	N;NOM;MASC;PL	N;INDF;FEM;SG
bäume	дървото	bäumen	дърво	N;NOM;MASC;PL	N;DEF;NEUT;SG
bäume	дръвче	bäumen	дръвче	N;NOM;MASC;PL	N;INDF;NEUT;SG
bäume	дърво	bäumen	дърво	N;NOM;MASC;PL	N;INDF;NEUT;SG
künstlerischen	артистично	künstlerisch	артистичен	ADJ;NOM;MASC;SG	ADV
napoleon	наполеон	napoleon	наполеон	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
weiten	шир	weit	шир		N;INDF;FEM;SG
weiten	пределите	weit	пределя		N;DEF;FEM;PL
früchte	плодове	früchen	плод		N;INDF;MASC;PL
früchte	плод	früchen	плод		N;INDF;MASC;SG
früchte	плодове	früchen	плод		N;INDF;MASC;PL
brücken	мостик	brücken	мостик	N;NOM;FEM;PL	N;INDF;MASC;SG
brücken	мост	brücken	мост	N;NOM;FEM;PL	N;INDF;MASC;SG
brücken	бридж	brücken	бридж	N;NOM;FEM;PL	N;INDF;MASC;SG
wars	войните	wars	войн		N;DEF;MASC;PL
wars	войни	wars	война		N;INDF;FEM;PL
unmöglich	невъзможно	unmöglich	невъзможно	ADJ	ADV
unmöglich	невъзможност	unmöglich	невъзможност	ADJ	N;INDF;FEM;SG
bridge	мостик	bridgen	мостик	PROPN;NOM;SG	N;INDF;MASC;SG
bridge	мост	bridgen	мост	PROPN;NOM;SG	N;INDF;MASC;SG
bridge	бридж	bridgen	бридж	PROPN;NOM;SG	N;INDF;MASC;SG
dahinter	зад	dahinter	зад	ADV	ADP
nicolas	никола	nicolas	никол	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
pferd	кончета	pferd	конче		N;INDF;NEUT;PL
pferd	коне	pferd	кон		N;INDF;MASC;PL
pferd	конете	pferd	кон		N;DEF;MASC;PL
pferd	конче	pferd	конче		N;INDF;NEUT;SG
pferd	кон	pferd	кон		N;INDF;MASC;SG
vergleiche	сравнения	vergleichen	сравнение		N;INDF;NEUT;PL
vergleiche	сравни	vergleichen	сравен		V;PFV;IMP;SG;2;FIN
vergleiche	сравнение	vergleichen	сравнение		N;INDF;NEUT;SG
vergleiche	сравняване	vergleichen	сравняване		N;INDF;NEUT;SG
vergleiche	сравнение	vergleichen	сравнение		N;INDF;NEUT;SG
vergleiche	сравняване	vergleichen	сравняване		N;INDF;NEUT;SG
vincent	винсънт	vincent	винсънт	PROPN;NOM;SG	N;INDF;MASC;SG
vincent	венсан	vincent	венсан	PROPN;NOM;SG	PROPN;INDF;FEM;SG
vincent	винсент	vincent	винсент	PROPN;NOM;SG	N;INDF;MASC;SG
lebensraum	местообитанията	lebensraum	местообитания	ADJ	N;DEF;NEUT;PL
lebensraum	местообитания	lebensraum	местообитания	ADJ	N;INDF;NEUT;PL
lebensraum	местообитания	lebensraum	местообитания	ADJ	N;INDF;NEUT;PL
queen	кралицата	queen	кралица	PROPN;NOM;SG	N;DEF;FEM;SG
queen	царица	queen	царица	PROPN;NOM;SG	N;INDF;FEM;SG
queen	кралица	queen	кралица	PROPN;NOM;SG	N;INDF;FEM;SG
echte	истинско	echt	истински	ADJ;NOM;FEM;PL	ADV
echte	реал	echt	реал	ADJ;NOM;FEM;PL	PROPN;INDF;MASC;SG
echte	истинска	echt	истински	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
echte	реално	echt	реално	ADJ;NOM;FEM;PL	ADV
