lokalizacji	местоположения	lokalizacja	местоположение	N;GEN;FEM;SG	N;INDF;NEUT;PL
cząsteczki	частица	cząsteczka	частица	N;NOM;FEM;PL	N;INDF;FEM;SG
fair	панаир	fair	панаир		N;INDF;MASC;SG
fair	справедлив	fair	справедлив		ADJ;INDF;MASC;SG
fair	справедливо	fair	справедливо		ADV
fair	справедлива	fair	справедлив		ADJ;INDF;FEM;SG
wstawić	вмъкване	wstawić	вмъкване	V;PFV;NFIN;ACT	N;INDF;NEUT;SG
czysto	ясно	czysto	ясно		ADV
czysto	изчистване	czysto	изчистване		N;INDF;NEUT;SG
plemiona	племена	plemię	племя	N;NOM;NEUT;SG	N;INDF;NEUT;PL
plemiona	племената	plemię	племя	N;NOM;NEUT;SG	N;DEF;NEUT;PL
nadzwyczajny	необикновено	nadzwyczajny	необикновено	ADJ;NOM;MASC;SG	ADV
linda	линда	linda	линда	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
musical	музикален	musical	музикален	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
musical	музикално	musical	музикален	N;NOM;MASC;SG	ADV
musical	музикална	musical	музикален	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
virginia	вирджиния	virginia	вирджиния		PROPN;INDF;FEM;SG
mistrzowie	мастърс	mistrz	мастърс	N;NOM;MASC;PL	N;INDF;MASC;SG
drewno	дървен	drewno	дървен	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
drewno	дърва	drewno	дърво	N;NOM;NEUT;SG	N;INDF;NEUT;PL
drewno	дървени	drewno	дървен	N;NOM;NEUT;SG	ADJ;INDF;PL
salvador	салвадор	salvador	салвадор	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
wagner	уагнър	wagner	уагнър	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
wagner	вагнер	wagner	вагнер	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
prasa	натиснете	prasa	натисна	N;NOM;FEM;SG	V;PFV;IMP;PL;2;FIN
prasa	натисни	prasa	натисен	N;NOM;FEM;SG	V;PFV;IMP;SG;2;FIN
łańcuch	струнната	łańcuch	струнен	N;NOM;MASC;SG	ADJ;DEF;FEM;SG
łańcuch	вериги	łańcuch	верига	N;NOM;MASC;SG	N;INDF;FEM;PL
stevens	стивънс	stevens	стивънс	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
kapitał	капитали	kapitał	капитал	N;ACC;MASC;SG	N;INDF;MASC;PL
monica	моника	monica	моника	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;INDF;FEM;SG
galaktyki	галактика	galaktyk	галактика	N;ACC;FEM;PL	N;INDF;FEM;SG
galaktyki	галактиката	galaktyk	галактика	N;ACC;FEM;PL	N;DEF;FEM;SG
aktualny	ток	aktualny	ток	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
aktualny	текущи	aktualny	текущ	ADJ;NOM;MASC;SG	ADJ;INDF;PL
aktualny	настоящ	aktualny	настоящ	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
kontrola	инспекции	kontrola	инспекция	N;NOM;FEM;SG	N;INDF;FEM;PL
mieszane	смесени	mieszany	смесен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
mieszane	смесено	mieszany	смесено	ADJ;NOM;NEUT;SG	ADV
mieszane	смесени	mieszany	смесен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
typowo	обикновено	typowo	обикновено		ADV
typowo	типично	typowo	типичен		ADV
typowo	типичен	typowo	типичен		ADJ;INDF;MASC;SG
typowo	типична	typowo	типичен		ADJ;INDF;FEM;SG
typowo	типични	typowo	типичен		ADJ;INDF;PL
zawieszenia	суспензии	zawiesić	суспензия	N;NOM;NEUT;SG	N;INDF;FEM;PL
naftowej	сурово	naftowy	суров	ADJ;GEN;FEM;SG	ADV
naftowej	грубо	naftowy	грубо	ADJ;GEN;FEM;SG	ADV
naftowej	сурови	naftowy	суров	ADJ;GEN;FEM;SG	ADJ;INDF;PL
koleje	железници	kolej	железница	N;NOM;FEM;SG	N;INDF;FEM;PL
koleje	железници	kolej	железница	N;NOM;FEM;SG	N;INDF;FEM;PL
zagrożonych	застрашена	zagrożyć	застраша	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zagrożonych	застрашени	zagrożyć	застраша	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
rozwiązany	разрешен	rozwiązać	разреша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
rozwiązany	решени	rozwiązać	реша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
rozwiązany	решен	rozwiązać	реша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
rozwiązany	решено	rozwiązać	реша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
rozwiązany	разпуснат	rozwiązać	разпусна-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
rozwiązany	решен	rozwiązać	реша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
rozwiązany	решени	rozwiązać	реша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
rozwiązany	разрешен	rozwiązać	разреша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
znaczny	съществени	znaczny	съществен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
znaczny	значително	znaczny	значително	ADJ;NOM;MASC;SG	ADV
znaczny	значителни	znaczny	значителен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
znaczny	съществено	znaczny	съществено	ADJ;NOM;MASC;SG	ADV
znaczny	значително	znaczny	значително	ADJ;NOM;MASC;SG	ADV
znaczny	значителни	znaczny	значителен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
floryda	флорида	floryd	флорида		PROPN;INDF;FEM;SG
księżnej	херцогиня	księżny	херцогиня	ADJ;GEN;FEM;SG	N;INDF;FEM;SG
wewnętrzny	вътрешно	wewnętrzny	вътрешен	ADJ;NOM;MASC;SG	ADV
wewnętrzny	вътрешни	wewnętrzny	вътрешен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
wewnętrzny	вътрешно	wewnętrzny	вътрешен	ADJ;NOM;MASC;SG	ADV
wewnętrzny	вътрешни	wewnętrzny	вътрешен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
jeana	жан	jeany	жан		PROPN;INDF;MASC;SG
jeana	джийн	jeany	джийн		PROPN;INDF;FEM;SG
sex	секс	sex	секс		N;INDF;MASC;SG
sex	секса	sex	секс		N;DEF;MASC;SG
sex	сексът	sex	секс		N;DEF;MASC;SG
samców	мъжки	samc	мъжки		ADJ;INDF;PL
zbrodnie	престъпления	zbrodnie	престъпление	N;NOM;FEM;SG	N;INDF;NEUT;PL
zbrodnie	престъпления	zbrodnie	престъпление	N;NOM;FEM;SG	N;INDF;NEUT;PL
row	ред	row	ред		N;INDF;MASC;SG
wewnętrzna	вътрешно	wewnętrzny	вътрешен	ADJ;NOM;FEM;SG	ADV
wewnętrzna	вътрешни	wewnętrzny	вътрешен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
wewnętrzna	вътрешно	wewnętrzny	вътрешен	ADJ;NOM;FEM;SG	ADV
wewnętrzna	вътрешни	wewnętrzny	вътрешен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
podróże	пътуване	podróż	пътуване	N;ACC;FEM;PL	N;INDF;NEUT;SG
podróże	пътувам	podróż	пътувам	N;ACC;FEM;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
podróże	пътуват	podróż	пътувам	N;ACC;FEM;PL	V;IPFV;IND;PL;3;PRS;FIN;ACT
podróże	пътуване	podróż	пътуване	N;ACC;FEM;PL	N;INDF;NEUT;SG
podróże	пътуващи	podróż	пътувам	N;ACC;FEM;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
podróże	пътуване	podróż	пътуване	N;ACC;FEM;PL	N;INDF;NEUT;SG
podróże	пътувам	podróż	пътувам	N;ACC;FEM;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
podróże	пътува	podróż	пътувам	N;ACC;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
pokrywy	обхваща	pokrywy	обхващам	N;ACC;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
lewandowski	левандовски	lewandowski	левандовски	ADJ;NOM;MASC;SG	PROPN;INDF;MASC;SG
przekazano	делегиран	przekazać	делегирам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
przekazano	делегирани	przekazać	делегирам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
twierdzenia	твърди	twierdzić	твърдя	N;NOM;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
aglomeracji	агломерациите	aglomeracja	агломерация	N;GEN;FEM;SG	N;DEF;FEM;PL
pokrewne	свързани	pokrewny	свържа		V;PFV;INDF;PL;V.PTCP;PASS
pokrewne	свързан	pokrewny	свържа		V;PFV;INDF;MASC;SG;V.PTCP;PASS
pokrewne	свързана	pokrewny	свържа		V;PFV;INDF;FEM;SG;V.PTCP;PASS
pokrewne	свързано	pokrewny	свържа		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
artystyczna	артистично	artystyczny	артистичен	ADJ;NOM;FEM;SG	ADV
alessandro	алесандро	alessandro	алесандро	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
pogoń	преследване	pogonić	преследване		N;INDF;NEUT;SG
pogoń	чейз	pogonić	чейз		N;INDF;FEM;SG
pogoń	преследване	pogonić	преследване		N;INDF;NEUT;SG
pogoń	чейс	pogonić	чейс		PROPN;INDF;FEM;SG
postawy	нагласи	postawa	нагласа	N;GEN;FEM;SG	N;INDF;FEM;PL
kasy	пари	kasa	пара	N;ACC;FEM;SG	N;INDF;FEM;PL
kasy	парите	kasa	пара	N;ACC;FEM;SG	N;DEF;FEM;PL
kasy	кеш	kasa	къш	N;ACC;FEM;SG	PROPN;INDF;MASC;SG
klaus	клаус	klaus	клаус	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
studenci	студентка	student	студентка	N;NOM;MASC;PL	N;INDF;FEM;SG
studenci	ученик	student	ученик	N;NOM;MASC;PL	N;INDF;MASC;SG
studenci	ученичка	student	ученичка	N;NOM;MASC;PL	N;INDF;FEM;SG
studenci	студент	student	студент	N;NOM;MASC;PL	N;INDF;MASC;SG
irlandia	ирландия	irlandia	ирландия	N;NOM;FEM;SG	PROPN;INDF;FEM;SG
zeszyt	тефтер	zeszyt	тефтер	V;IPFV;IND;SG;PRS;FIN;ACT	N;INDF;MASC;SG
zeszyt	тетрадката	zeszyt	тетрадка	V;IPFV;IND;SG;PRS;FIN;ACT	N;DEF;FEM;SG
zeszyt	бележник	zeszyt	бележник	V;IPFV;IND;SG;PRS;FIN;ACT	N;INDF;MASC;SG
zeszyt	тетрадка	zeszyt	тетрадка	V;IPFV;IND;SG;PRS;FIN;ACT	N;INDF;FEM;SG
act	act	act	act		PROPN;INDF;MASC;SG
act	акт	act	акт		N;INDF;MASC;SG
nationale	nationale	nationale	nationale		PROPN;INDF;MASC;SG
skała	rock	skała	rock	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
skała	скали	skała	скала	N;NOM;FEM;SG	N;INDF;FEM;PL
ponownego	повтаряне	ponowny	повтаряне	ADJ;ACC;MASC;SG	N;INDF;NEUT;SG
ponownego	повторение	ponowny	повторение	ADJ;ACC;MASC;SG	N;INDF;NEUT;SG
leonarda	ленард	leonard	ленард		N;INDF;MASC;SG
leonarda	леонард	leonard	леонард		N;INDF;MASC;SG
leonarda	ленърд	leonard	ленърд		N;INDF;MASC;SG
łaski	грейс	łaska	грейс	N;ACC;FEM;SG	PROPN;INDF;FEM;SG
łaski	грации	łaska	грация	N;ACC;FEM;SG	N;INDF;FEM;PL
wykorzystane	използвано	wykorzystać	използвам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
wykorzystane	използван	wykorzystać	използвам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
wykorzystane	използвани	wykorzystać	използвам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;INDF;PL;V.PTCP;PASS
wykorzystane	използвана	wykorzystać	използвам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
wykorzystane	експлоатирани	wykorzystać	експлодирам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;INDF;PL;V.PTCP;PASS
nina	нина	nina	нина	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
wyświęcony	ръкоположен	wyświęcić	ръкоположен	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
montana	монтана	montany	монтана		PROPN;INDF;FEM;SG
hansen	хансън	hansen	хансън		PROPN;INDF;MASC;SG
hansen	хансен	hansen	хансен		PROPN;INDF;MASC;SG
hansen	хенсън	hansen	хенсън		PROPN;INDF;MASC;SG
parametr	параметри	parametr	параметър	N;NOM;MASC;SG	N;INDF;MASC;PL
narciarstwo	ски	narciarstwo	ска	N;NOM;NEUT;SG	N;INDF;NEUT;PL
narciarstwo	ските	narciarstwo	ски	N;NOM;NEUT;SG	N;DEF;FEM;PL
eyes	очи	eyes	око		N;INDF;NEUT;PL
eyes	очите	eyes	око		N;DEF;NEUT;PL
circle	кръгче	circle	кръг		N;INDF;NEUT;SG
circle	кръгът	circle	кръг		N;DEF;MASC;SG
circle	окръжност	circle	окръжност		N;INDF;FEM;SG
circle	кръговрат	circle	кръговрат		N;INDF;MASC;SG
circle	кръг	circle	кръг		N;INDF;MASC;SG
otoczone	обкръжени	otoczyć	обкръжа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
otoczone	обкръжен	otoczyć	обкръжа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
otoczone	обграден	otoczyć	обградя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
otoczone	обградени	otoczyć	обградя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
otoczone	заобиколен	otoczyć	заобиколя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
absolwentów	завършилите	absolwent	завърша	N;ACC;MASC;PL	ADJ;PFV;DEF;PL;PST;V.PTCP;ACT
absolwentów	завършили	absolwent	завърша	N;ACC;MASC;PL	V;PFV;INDF;PL;PST;V.PTCP;ACT
równania	уравнения	równać	уравнение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
auf	auf	auf	auf		INTJ
imdb	imdb	imdb	imdb		PROPN;INDF;MASC;SG
diana	диана	diana	диана	N;NOM;FEM;SG	PROPN;INDF;FEM;SG
senat	сенат	senat	сенат		N;INDF;MASC;SG
senat	сената	senat	сенат		N;DEF;FEM;SG
senat	сенатът	senat	сенат		N;DEF;MASC;SG
zaproszenie	покани	zaprosić	покана	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;PL
zaproszenie	покани	zaprosić	покана	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;PL
zamiar	намерение	zamiar	намерение	V;PFV;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
zamiar	намерения	zamiar	намерение	V;PFV;IND;PRS;FIN;ACT	N;INDF;NEUT;PL
zamiar	намерението	zamiar	намерение	V;PFV;IND;PRS;FIN;ACT	N;DEF;NEUT;SG
zamiar	намерение	zamiar	намерение	V;PFV;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
zamiar	намерения	zamiar	намерение	V;PFV;IND;PRS;FIN;ACT	N;INDF;NEUT;PL
zamiar	умисъл	zamiar	умисъл	V;PFV;IND;PRS;FIN;ACT	N;INDF;MASC;SG
iranie	иран	iran	иран		PROPN;INDF;MASC;SG
lane	лейн	lany	лейн		PROPN;INDF;MASC;SG
minas	минас	minas	минас		N;INDF;FEM;SG
reggae	реге	reggać	рега		N;INDF;MASC;SG
dziesiątki	десетки	dziesiątka	десятка		N;INDF;FEM;PL
dziesiątki	дузини	dziesiątka	дузина		N;INDF;FEM;PL
dziesiątki	дузина	dziesiątka	дузина		N;INDF;FEM;SG
dziesiątki	десетки	dziesiątka	десятка		N;INDF;FEM;PL
aten	атина	aten	атина	PROPN;NOM;NEUT;SG	PROPN;INDF;FEM;SG
lars	ларс	lars	ларс	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
ter	тер	ter	тер		N;INDF;MASC;SG
fikcyjna	измислен	fikcyjny	измисля	ADJ;NOM;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fikcyjna	измислени	fikcyjny	измисля	ADJ;NOM;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
full	пълна	full	пълен		ADJ;INDF;FEM;SG
full	пълни	full	пълен		ADJ;INDF;PL
full	пълен	full	пълен		ADJ;INDF;MASC;SG
full	пълно	full	пълен		ADV
odra	шарка	odra	шарка		N;INDF;FEM;SG
odra	морбили	odra	морба		N;INDF;FEM;PL
afryka	африка	afryka	африка		N;INDF;FEM;SG
afryka	африканска	afryka	африкански		ADJ;INDF;FEM;SG
afryka	африкански	afryka	африкански		ADJ;INDF;MASC;SG
opublikowano	публикуван	opublikować	публикувам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
opublikowano	публикувано	opublikować	публикувам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
opublikowano	публикувани	opublikować	публикувам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
opublikowano	публикуван	opublikować	публикувам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
opublikowano	публикувана	opublikować	публикувам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
opublikowano	публикувано	opublikować	публикувам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
monet	моне	monet	моне	N;GEN;FEM;PL	N;DEF;MASC;SG
lufy	дулото	lufa	дуло	N;GEN;FEM;PL	N;DEF;NEUT;SG
lufy	буре	lufa	буре	N;GEN;FEM;PL	N;INDF;NEUT;SG
lufy	бъчва	lufa	бъчвам	N;GEN;FEM;PL	N;INDF;FEM;SG
lufy	цев	lufa	цев	N;GEN;FEM;PL	N;INDF;MASC;SG
lufy	варел	lufa	варел	N;GEN;FEM;PL	N;INDF;MASC;SG
kosmiczny	космическо	kosmiczny	космически	ADJ;NOM;MASC;SG	ADV
money	пари	money	пара		N;INDF;FEM;PL
money	парите	money	пара		N;DEF;FEM;PL
korzyść	ползи	korzyść	ползи	N;NOM;FEM;SG	N;INDF;FEM;PL
krotnie	пъти	krotnić	път	ADV	N;MASC
calgary	калгари	calgary	калгарин	N;NOM;MASC;SG	N;INDF;MASC;PL
bakterii	бактериална	bakteria	бактериален		ADJ;INDF;FEM;SG
bakterii	бактериални	bakteria	бактериален		ADJ;INDF;PL
bakterii	бактерия	bakteria	бактерия		N;INDF;FEM;SG
bakterii	бактерии	bakteria	бактерия		N;INDF;FEM;PL
gospodarcza	икономическо	gospodarczy	икономически	ADJ;NOM;FEM;SG	ADV
texas	тексас	texas	тексас		N;INDF;MASC;SG
heavy	тежка	heav	тежък		ADJ;INDF;FEM;SG
heavy	тежки	heav	тежък		ADJ;INDF;PL
heavy	тежък	heav	тежък		ADJ;INDF;MASC;SG
heavy	тежко	heav	тежко		ADV
słowian	славяни	słowiać	славям-(се)		V;IPFV;INDF;PL;V.PTCP;PASS
jake	джейк	jaki	джейк		N;INDF;MASC;SG
terytoria	територия	terytoria	територия	N;NOM;NEUT;PL	N;INDF;FEM;SG
terytoria	територията	terytoria	територия	N;NOM;NEUT;PL	N;DEF;FEM;SG
wróć	връщане	wróć	връщане	V;PFV;IMP;SG;2;FIN;ACT	N;INDF;NEUT;SG
wróć	завръщане	wróć	завръщане	V;PFV;IMP;SG;2;FIN;ACT	N;INDF;NEUT;SG
kamienie	каменна	kamień	каменен	N;NOM;MASC;PL	ADJ;INDF;FEM;SG
kamienie	стоун	kamień	стоун	N;NOM;MASC;PL	PROPN;INDF;FEM;SG
kamienie	камък	kamień	камък	N;NOM;MASC;PL	N;INDF;MASC;SG
honor	чест	honor	чест		N;INDF;FEM;SG
honor	честта	honor	чест		N;DEF;FEM;SG
honor	чест	honor	чест		N;INDF;FEM;SG
honor	честта	honor	чест		N;DEF;FEM;SG
umiera	умиране	umierać	умиране	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
przemysłowe	индустриални	przemysłowy	индустриален	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
przemysłowe	промишлени	przemysłowy	промишлен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
niewielu	няколко	niewiele	няколко		PRO;INDF
niewielu	малцина	niewiele	малцина		NUM;ANIM;INDF;PL
sprzedano	продаден	sprzedać	продам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sprzedano	продадена	sprzedać	продам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
sprzedano	продадено	sprzedać	продам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
sprzedano	продадени	sprzedać	продам	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
chen	чен	chen	чен	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
zen	дзен	zen	дзен		N;INDF;MASC;SG
zen	зен	zen	зен		N;INDF;MASC;SG
jürgen	юрген	jürgen	юрген	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
bonus	бонуси	bonus	бонуса	N;NOM;MASC;SG	N;INDF;MASC;PL
web	web	web	web		N;INDF;MASC;SG
web	уеб	web	уеб		N;INDF;MASC;SG
connecticut	кънектикът	connecticut	кънектик		N;DEF;MASC;SG
rolnictwo	селскостопански	rolnictwo	селскостопански	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
rolnictwo	селскостопанска	rolnictwo	селскостопански	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
rolnictwo	земеделски	rolnictwo	земеделски	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
zmieniona	променени	zmienić	променя-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zmieniona	променено	zmienić	променя-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zmieniona	променена	zmienić	променя-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zmieniona	променен	zmienić	променя-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zmieniona	изменено	zmienić	изменя	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zmieniona	изменен	zmienić	изменя	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zmieniona	изменени	zmienić	изменя	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zmieniona	изменена	zmienić	изменя	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
simone	симон	simon	симон	PROPN;NOM;FEM;SG	PROPN;INDF;MASC;SG
simone	симона	simon	симон	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
juniors	младежи	juniors	младеж	PROPN;NOM;MASC;SG	N;INDF;MASC;PL
poezja	поезия	poezja	поезия		N;INDF;FEM;SG
poezja	поезията	poezja	поезия		N;DEF;FEM;SG
poezja	стихове	poezja	стих		N;INDF;MASC;PL
litwa	литва	litwa	литва		PROPN;INDF;FEM;SG
sól	солта	sól	сол		N;DEF;FEM;SG
sól	сол	sól	сол		N;INDF;FEM;SG
traktować	лакомство	traktować	лакомство	V;IPFV;NFIN;ACT	N;INDF;NEUT;SG
traktować	почерпка	traktować	почерпка	V;IPFV;NFIN;ACT	N;INDF;FEM;SG
kolonię	колонии	kolonia	колония	N;ACC;FEM;SG	N;INDF;FEM;PL
opady	утаяване	opad	утаяване	N;NOM;MASC;PL	N;INDF;NEUT;SG
słowacja	словакия	słowacja	словакие	N;NOM;FEM;SG	PROPN;INDF;FEM;SG
odchodzi	напускане	odchodzić	напускане	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
klein	клайн	klein	клайн		PROPN;INDF;MASC;SG
odwrót	отстъпление	odwrót	отстъпление	V;IPFV;IND;SG;PRS;FIN;ACT	N;INDF;NEUT;SG
rany	рани	rana	рана	N;ACC;FEM;SG	N;INDF;FEM;PL
rany	рани	rana	рана	N;ACC;FEM;SG	N;INDF;FEM;PL
rany	раните	rana	рана	N;ACC;FEM;SG	N;DEF;FEM;PL
substancje	вещество	substancja	вещество	N;NOM;FEM;PL	N;INDF;NEUT;SG
substancje	субстанция	substancja	субстанция	N;NOM;FEM;PL	N;INDF;FEM;SG
substancje	субстанцията	substancja	субстанция	N;NOM;FEM;PL	N;DEF;FEM;SG
ziemski	земно	ziemski	земно	ADJ;NOM;MASC;SG	ADV
publikowane	публикувани	publikować	публикувам	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
publikowane	публикуван	publikować	публикувам	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
publikowane	публикувана	publikować	публикувам	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
publikowane	публикувано	publikować	публикувам	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ogromny	огромно	ogromny	огромен	ADJ;NOM;MASC;SG	ADV
ogromny	огромни	ogromny	огромен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
ogromny	масивно	ogromny	масивен	ADJ;NOM;MASC;SG	ADV
ogromny	масив	ogromny	масив	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
ogromny	масивни	ogromny	масивен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
