und	si	und	sine	CONJ	
fusion	fuziune	fusion	fuziune	N;NOM;SG	N;INDF;FEM;SG
fusion	fuziunea	fusion	fuziune	N;NOM;SG	N;DEF;FEM;SG
fusion	fuziune	fusion	fuziune	N;NOM;SG	N;INDF;FEM;SG
fähigkeiten	skills	fähigkeit	skills	V;NFIN	N;INDF;MASC;SG
fähigkeiten	aptitudini	fähigkeit	aptitudine	V;NFIN	N;INDF;FEM;PL
fähigkeiten	competențe	fähigkeit	competență	V;NFIN	N;INDF;FEM;PL
fähigkeiten	abilitate	fähigkeit	abilitate	V;NFIN	N;INDF;FEM;SG
fähigkeiten	îndemânare	fähigkeit	îndemânare	V;NFIN	N;INDF;FEM;SG
fähigkeiten	abilitati	fähigkeit	abilitati	V;NFIN	
fähigkeiten	abilitate	fähigkeit	abilitate	V;NFIN	N;INDF;FEM;SG
fähigkeiten	capacitatea	fähigkeit	capacitate	V;NFIN	N;DEF;FEM;SG
fähigkeiten	abilitatea	fähigkeit	abilitate	V;NFIN	N;DEF;FEM;SG
fähigkeiten	capacitate	fähigkeit	capacitate	V;NFIN	N;INDF;FEM;SG
fähigkeiten	capacități	fähigkeit	capacitate	V;NFIN	N;INDF;FEM;PL
fähigkeiten	capacitățile	fähigkeit	capacitate	V;NFIN	N;DEF;FEM;PL
traditionell	tradițional	traditionell	tradițional	ADJ	ADV
traditionell	tradiţional	traditionell	tradiţional	ADJ	ADV
integration	integrare	integration	integrare	PROPN	N;INDF;FEM;SG
integration	integrarea	integration	integrare	PROPN	N;DEF;FEM;SG
besonderheit	unicitatea	besonderheit	unicitate	ADJ	N;DEF;FEM;SG
besonderheit	specificitate	besonderheit	specificitate	ADJ	N;INDF;FEM;SG
valley	valea	valley	vale	PROPN;NOM;SG	N;DEF;FEM;SG
valley	valley	valley	valley	PROPN;NOM;SG	PROPN
valley	vale	valley	vale	PROPN;NOM;SG	N;INDF;FEM;SG
siegte	triumfat	siegen	triumfa	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
ips	ips	ips	ips	;SG	
pedro	pedro	pedro	pedro	PROPN;NOM;SG	PROPN
schade	milă	schade	milă	ADV	N;INDF;FEM;SG
schade	rusine	schade	rusine	ADV	
schade	rușine	schade	rușine	ADV	N;INDF;FEM;SG
wiederherstellung	restaurare	wiederherstellung	restaurare	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
wiederherstellung	restabili	wiederherstellung	restabili	ADJ;NOM;FEM;SG	
wiederherstellung	restaurare	wiederherstellung	restaurare	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
wiederherstellung	restaurarea	wiederherstellung	restaurare	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
wiederherstellung	restabilirea	wiederherstellung	restabilire	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
palais	palais	palais	palais	PROPN;NOM;SG	PROPN
palais	palatul	palais	palat	PROPN;NOM;SG	N;DEF;MASC;SG
palais	palat	palais	palat	PROPN;NOM;SG	N;INDF;MASC;SG
palais	palace	palais	palac	PROPN;NOM;SG	N;INDF;MASC;SG
messe	messe	messe	mass		PROPN
messe	echitabil	messe	echitabil		ADJ;INDF;MASC;SG
messe	fair	messe	fair		N;INDF;MASC;SG
messe	corect	messe	corect		ADV
radrennfahrer	ciclist	radrennfahrer	ciclist	ADJ	N;INDF;MASC;SG
relevante	relevant	relevant	relevant	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
relevante	relevantă	relevant	relevant	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
aufnehmen	înregistrare	aufnehmen	înregistrare	V;NFIN	N;INDF;FEM;SG
aufnehmen	înregistrarea	aufnehmen	înregistrare	V;NFIN	N;DEF;FEM;SG
aufnehmen	record	aufnehmen	record	V;NFIN	N;INDF;MASC;SG
aufnehmen	înregistrare	aufnehmen	înregistrare	V;NFIN	N;INDF;FEM;SG
tim	tim	tim	tim	PROPN;NOM;MASC;SG	PROPN
tim	tintin	tim	tintin	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
schlesien	silezia	schlesien	silezie	PROPN;NOM;SG	N;DEF;FEM;SG
schlesien	silezia	schlesien	silezie	PROPN;NOM;SG	N;DEF;FEM;SG
ablauf	secventa	ablauf	secventa	ADV	N;DEF;FEM;SG
ablauf	expirarea	ablauf	expirare	ADV	N;DEF;FEM;SG
ablauf	expirare	ablauf	expirare	ADV	N;INDF;FEM;SG
ablauf	expiră	ablauf	expira	ADV	V;IND;SG;3;PST;FIN
ablauf	expira	ablauf	expira	ADV	N;DEF;FEM;SG
ablauf	expirare	ablauf	expirare	ADV	N;INDF;FEM;SG
ablauf	expirarea	ablauf	expirare	ADV	N;DEF;FEM;SG
zimmer	dormitoare	zimmer	dormitor	N	ADJ;INDF;FEM
bewegen	mutare	bewegen	mutare	V;NFIN	N;INDF;FEM;SG
bewegen	mutarea	bewegen	mutare	V;NFIN	N;DEF;FEM;SG
meldung	poveste	meldung	poveste	ADJ	N;INDF;FEM;SG
meldung	story	meldung	story	ADJ	N;INDF;MASC;SG
meldung	povestea	meldung	poveste	ADJ	N;DEF;FEM;SG
meldung	notificare	meldung	notificare	ADJ	N;INDF;FEM;SG
meldung	notificări	meldung	notificare	ADJ	N;INDF;FEM;PL
meldung	notificarea	meldung	notificare	ADJ	N;DEF;FEM;SG
meldung	raportare	meldung	raportare	ADJ	N;INDF;FEM;SG
meldung	raportarea	meldung	raportare	ADJ	N;DEF;FEM;SG
meldung	raportez	meldung	raporta	ADJ	V;IND;PL;1;PRS;FIN
meldung	raport	meldung	raport	ADJ	N;INDF;MASC;SG
meldung	raportul	meldung	raport	ADJ	N;DEF;MASC;SG
meldung	raportează	meldung	raporta	ADJ	V;IND;3;PRS;FIN
meldung	mesajul	meldung	mesaj	ADJ	N;DEF;MASC;SG
meldung	mesaj	meldung	mesaj	ADJ	N;INDF;MASC;SG
abgebrochen	anulate	abbrechen	anula	V;V.PTCP	ADJ;INDF;FEM;PL
abgebrochen	anulată	abbrechen	anula	V;V.PTCP	ADJ;INDF;FEM;SG
abgebrochen	anulat	abbrechen	anula	V;V.PTCP	ADJ;INDF;MASC;SG
abgebrochen	anulate	abbrechen	anula	V;V.PTCP	ADJ;INDF;FEM;PL
abgebrochen	anulată	abbrechen	anula	V;V.PTCP	ADJ;INDF;FEM;SG
abgebrochen	anulat	abbrechen	anula	V;V.PTCP	ADJ;INDF;MASC;SG
abgebrochen	demolat	abbrechen	demolat	V;V.PTCP	ADJ;INDF;MASC;SG
abgebrochen	întrerupt	abbrechen	întrerupt	V;V.PTCP	ADJ;INDF;MASC;SG
beschrieb	descrisă	beschreiben	descris	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;SG
beschrieb	descris	beschreiben	descris	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
bevorzugt	preferabil	bevorzugen	preferabil	ADJ	ADV
bevorzugt	prefera	bevorzugen	prefera	ADJ	V;IND;SG;3;IPFV;FIN
bevorzugt	preferă	bevorzugen	prefera	ADJ	V;IND;3;PRS;FIN
bevorzugt	preferințe	bevorzugen	preferință	ADJ	N;INDF;FEM;PL
bevorzugt	preferință	bevorzugen	preferință	ADJ	N;INDF;FEM;SG
contra	contra	contra	contra		
vereinen	uni	verein	uni	V;NFIN	
schlagzeuger	baterist	schlagzeuger	baterist	ADJ	N;INDF;MASC;SG
schlagzeuger	bateristul	schlagzeuger	baterist	ADJ	N;DEF;MASC;SG
hauptmann	căpitan	hauptmann	căpitan		N;INDF;MASC;SG
hauptmann	hauptmann	hauptmann	hauptmann		PROPN
anwendungen	tratamentele	anwendung	tratament	N;NOM;FEM;PL	N;DEF;FEM;PL
bundestag	bundestag	bundestag	bundestag		N;INDF;MASC;SG
bündnis	alianta	bündnis	aliantă		N;DEF;FEM;SG
bündnis	alianță	bündnis	alianță		N;INDF;FEM;SG
bündnis	alianța	bündnis	alianță		N;DEF;FEM;SG
dick	grosime	dick	grosime	ADJ	N;INDF;FEM;SG
dick	sculă	dick	sculă	ADJ	N;INDF;FEM;SG
dick	dick	dick	dick	ADJ	PROPN
dick	pula	dick	pula	ADJ	N;DEF;FEM;SG
dick	pulă	dick	pulă	ADJ	N;INDF;FEM;SG
ehemann	soț	ehemann	soț		N;INDF;MASC;SG
ehemann	soțul	ehemann	soț		N;DEF;MASC;SG
ehemann	sotul	ehemann	sot		N;DEF;MASC;SG
dienten	servit	dienen	servi	V;IND;PL;3;PST;FIN	ADJ;INDF;MASC;SG
dienten	servită	dienen	servi	V;IND;PL;3;PST;FIN	ADJ;INDF;FEM;SG
eis	gheaţă	eis	gheaţă	N;NOM;NEUT;SG	N;INDF;FEM;SG
eis	gheata	eis	gheată	N;NOM;NEUT;SG	N;DEF;FEM;SG
eis	gheată	eis	gheată	N;NOM;NEUT;SG	N;INDF;FEM;SG
eis	ice	eis	ice	N;NOM;NEUT;SG	
eis	gheață	eis	gheață	N;NOM;NEUT;SG	N;INDF;FEM;SG
griff	prindere	greifen	prindere	V;FIN	N;INDF;FEM;SG
griff	strângere	greifen	strângere	V;FIN	N;INDF;FEM;SG
griff	mâner	greifen	mâner	V;FIN	N;INDF;MASC;SG
niveau	nivelurile	niveau	nivel	ADV	N;DEF;FEM;PL
niveau	niveluri	niveau	nivel	ADV	N;INDF;FEM;PL
niveau	nivele	niveau	nivel	ADV	N;INDF;FEM;PL
niveau	nivelul	niveau	nivel	ADV	N;DEF;MASC;SG
niveau	nivel	niveau	nivel	ADV	N;INDF;MASC;SG
erfinder	inventatori	erfinder	inventator	ADJ	N;INDF;MASC;PL
erfinder	inventatorul	erfinder	inventator	ADJ	N;DEF;MASC;SG
erfinder	inventator	erfinder	inventator	ADJ	N;INDF;MASC;SG
samt	velvet	samt	velvet	ADP	N;INDF;MASC;SG
samt	catifea	samt	catifie	ADP	N;DEF;FEM;SG
präfektur	prefectură	präfektur	prefectură	ADJ	N;INDF;FEM;SG
präfektur	prefectura	präfektur	prefectură	ADJ	N;DEF;FEM;SG
verhältnisse	raporturile	verhältnis	raport	ADJ;PL	N;DEF;FEM;PL
abbildung	figură	abbildung	figură		N;INDF;FEM;SG
abbildung	figura	abbildung	figură		N;DEF;FEM;SG
abbildung	imaginea	abbildung	imagine		N;DEF;FEM;SG
abbildung	imagine	abbildung	imagine		N;INDF;FEM;SG
abbildung	grafic	abbildung	grafic		ADV
abbildung	graficul	abbildung	grafic		N;DEF;MASC;SG
abbildung	diagramă	abbildung	diagramă		N;INDF;FEM;SG
abbildung	ilustrare	abbildung	ilustrare		N;INDF;FEM;SG
abbildung	diagrama	abbildung	diagramă		N;DEF;FEM;SG
abbildung	diagramă	abbildung	diagramă		N;INDF;FEM;SG
lehrstuhl	fotoliu	lehrstuhl	fotoliu	PROPN	N;INDF;MASC;SG
lehrstuhl	scaun	lehrstuhl	scaun	PROPN	N;INDF;MASC;SG
archäologie	arheologie	archäologie	arheologie	PROPN	N;INDF;FEM;SG
archäologie	arheologice	archäologie	arheologic	PROPN	ADJ;INDF;FEM;PL
archäologie	arheologic	archäologie	arheologic	PROPN	ADV
archäologie	arheologie	archäologie	arheologie	PROPN	N;INDF;FEM;SG
freundin	iubită	Freundin	iubit	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
freundin	iubita	Freundin	iubită	N;NOM;FEM;SG	N;DEF;FEM;SG
freundin	prietenă	Freundin	prietenă	N;NOM;FEM;SG	N;INDF;FEM;SG
freundin	prietena	Freundin	prietenă	N;NOM;FEM;SG	N;DEF;FEM;SG
freundin	prietenă	Freundin	prietenă	N;NOM;FEM;SG	N;INDF;FEM;SG
freundin	prietene	Freundin	prieten	N;NOM;FEM;SG	N;INDF;FEM;PL
stamm	tribul	stamm	trib	ADJ	N;DEF;MASC;SG
stamm	trib	stamm	trib	ADJ	N;INDF;MASC;SG
stamm	tulpină	stamm	tulpină	ADJ	N;INDF;FEM;SG
stamm	stem	stamm	stem	ADJ	N;INDF;MASC;SG
stamm	trunchi	stamm	trunchi	ADJ	N;INDF;MASC;SG
stamm	portbagaj	stamm	portbagaj	ADJ	N;INDF;MASC;SG
stamm	tulpină	stamm	tulpină	ADJ	N;INDF;FEM;SG
stamm	tulpina	stamm	tulpină	ADJ	N;DEF;FEM;SG
saß	sat	sitzen	sat	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
sowjetische	sovietică	sowjetisch	sovietic	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
sowjetische	sovietic	sowjetisch	sovietic	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
willi	willi	willi	willi	PROPN;NOM;MASC;SG	PROPN
willi	whitey	willi	whitey	PROPN;NOM;MASC;SG	
berater	consilier	berater	consilier	ADJ	N;INDF;MASC;SG
berater	consilierii	berater	consilier	ADJ	N;DEF;MASC;PL
berater	consilieri	berater	consilier	ADJ	N;INDF;MASC;PL
berater	consilierilor	berater	consiliere	ADJ	N;DEF;FEM;PL
berater	consultant	berater	consultant	ADJ	N;INDF;MASC;SG
berater	consultantul	berater	consultant	ADJ	N;DEF;MASC;SG
berater	consilierii	berater	consilier	ADJ	N;DEF;MASC;PL
berater	consilieri	berater	consilier	ADJ	N;INDF;MASC;PL
berater	consilier	berater	consilier	ADJ	N;INDF;MASC;SG
qualifiziert	califică	qualifizieren	califica	ADJ;V.PTCP	V;IND;SG;3;PST;FIN
qualifiziert	califica	qualifizieren	califica	ADJ;V.PTCP	V;IND;SG;3;IPFV;FIN
jury	juriu	jury	juriu		N;INDF;MASC;SG
jury	juriul	jury	juriu		N;DEF;MASC;SG
formal	formal	formal	formal	ADJ	ADV
formal	formal	formal	formal	ADJ	ADV
anwalt	avocată	anwalt	avocat	N;NOM;SG	ADJ;INDF;FEM;SG
anwalt	avocatul	anwalt	avocat	N;NOM;SG	N;DEF;MASC;SG
holland	olanda	holland	olanda		PROPN
holland	holland	holland	holland		PROPN
ergänzen	suplimentul	ergänzen	supliment	V;NFIN	N;DEF;MASC;SG
ergänzen	supliment	ergänzen	supliment	V;NFIN	N;INDF;MASC;SG
ergänzen	complementare	ergänzen	complementar	V;NFIN	ADJ;INDF;FEM;PL
ergänzen	complementar	ergänzen	complementar	V;NFIN	ADJ;INDF;MASC;SG
ergänzen	complementară	ergänzen	complementar	V;NFIN	ADJ;INDF;FEM;SG
konkurrenz	competitori	konkurrenz	competitor	ADJ	N;INDF;MASC;PL
konkurrenz	concurenți	konkurrenz	concurent	ADJ	N;INDF;MASC;PL
konkurrenz	concurenții	konkurrenz	concurent	ADJ	N;DEF;MASC;PL
konkurrenz	concurent	konkurrenz	concurent	ADJ	N;INDF;MASC;SG
konkurrenz	concurentul	konkurrenz	concurent	ADJ	N;DEF;MASC;SG
konkurrenz	concura	konkurrenz	concura	ADJ	V;IND;SG;3;IPFV;FIN
konkurrenz	concurează	konkurrenz	concura	ADJ	V;IND;3;PRS;FIN
geteilt	împărțit	teilen	împărți	V;V.PTCP	ADJ;INDF;MASC;SG
geteilt	divizat	teilen	diviza	V;V.PTCP	ADJ;INDF;MASC;SG
geteilt	divizată	teilen	diviza	V;V.PTCP	ADJ;INDF;FEM;SG
geteilt	împărțit	teilen	împărți	V;V.PTCP	ADJ;INDF;MASC;SG
geteilt	divizat	teilen	diviza	V;V.PTCP	ADJ;INDF;MASC;SG
geteilt	split	teilen	split	V;V.PTCP	N;INDF;MASC;SG
geteilt	partajate	teilen	partaja	V;V.PTCP	ADJ;INDF;FEM;PL
geteilt	distribuit	teilen	distribui	V;V.PTCP	ADJ;INDF;MASC;SG
geteilt	distribuite	teilen	distribuit	V;V.PTCP	ADJ;INDF;FEM;PL
geteilt	distribuită	teilen	distribui	V;V.PTCP	ADJ;INDF;FEM;SG
prüfen	verificare	prüfen	verificare	V;NFIN	N;INDF;FEM;SG
prüfen	bifat	prüfen	bifa	V;NFIN	N;INDF;MASC;SG
gesicht	chipuri	sechen	chip	V;V.PTCP	N;INDF;FEM;PL
gesicht	fețe	sechen	față	V;V.PTCP	N;INDF;FEM;PL
gesicht	faciale	sechen	facial	V;V.PTCP	ADJ;INDF;FEM;PL
gesicht	facială	sechen	facial	V;V.PTCP	ADJ;INDF;FEM;SG
gesicht	facial	sechen	facial	V;V.PTCP	ADJ;INDF;MASC;SG
gesicht	faţă	sechen	faţă	V;V.PTCP	N;INDF;FEM;SG
gesicht	fata	sechen	fată	V;V.PTCP	N;DEF;FEM;SG
gesicht	fața	sechen	față	V;V.PTCP	N;DEF;FEM;SG
gesicht	faţa	sechen	fagă	V;V.PTCP	N;DEF;FEM;SG
gesicht	față	sechen	față	V;V.PTCP	N;INDF;FEM;SG
türkische	turcesc	türkisch	turcesc	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
türkische	turc	türkisch	turc	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
türkische	turci	türkisch	turc	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
türkische	turcă	türkisch	turc	ADJ;NOM;FEM;PL	N;INDF;FEM;SG
unfall	crash	unfall	crash	N	
unfall	accidentale	unfall	accidental	N	ADJ;INDF;FEM;PL
unfall	accidentală	unfall	accidental	N	ADJ;INDF;FEM;SG
unfall	accidental	unfall	accidental	N	ADV
atlas	atlas	atlas	atlas	PROPN	N;INDF;MASC;SG
abschnitte	pasaje	abschneiden	pasaj		N;INDF;FEM;PL
abschnitte	pasajele	abschneiden	pasaj		N;DEF;FEM;PL
abschnitte	secțiunile	abschneiden	secțiune		N;DEF;FEM;PL
abschnitte	secțiuni	abschneiden	secțiune		N;INDF;FEM;PL
abschnitte	paragrafe	abschneiden	paragrafă		N;INDF;FEM;PL
zitiert	citată	zitieren	cita	V;V.PTCP	ADJ;INDF;FEM;SG
einspruch	protestează	einspruch	protesta	N	V;IND;3;PRS;FIN
platte	farfurie	platen	farfurie		N;INDF;FEM;SG
platte	placă	platen	placă		N;INDF;FEM;SG
eroberung	cucerire	Eroberung	cucerire	N;NOM;FEM;SG	N;INDF;FEM;SG
eroberung	cucerirea	Eroberung	cucerire	N;NOM;FEM;SG	N;DEF;FEM;SG
eroberung	cuceriri	Eroberung	cucerire	N;NOM;FEM;SG	N;INDF;FEM;PL
eroberung	cuceri	Eroberung	cucere	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
eroberung	cuceresc	Eroberung	cuceresc	N;NOM;FEM;SG	V;IND;PL;3;PRS;FIN
sand	nisip	sinden	nisip		N;INDF;MASC;SG
sand	sand	sinden	sand		N;INDF;MASC;SG
sand	nisipul	sinden	nisip		N;DEF;MASC;SG
sand	sands	sinden	sands		N;INDF;MASC;SG
sand	nisipuri	sinden	nisip		N;INDF;FEM;PL
sand	nisipurile	sinden	nisip		N;DEF;FEM;PL
index	indexul	index	index		N;DEF;MASC;SG
index	indicele	index	indice		N;DEF;MASC;SG
ruine	ruină	ruin	ruină	N;NOM;SG	N;INDF;FEM;SG
ruine	ruina	ruin	ruină	N;NOM;SG	N;DEF;FEM;SG
ruine	ruinele	ruin	ruină	N;NOM;SG	N;DEF;FEM;PL
ruine	ruine	ruin	ruină	N;NOM;SG	N;INDF;FEM;PL
ruine	ruină	ruin	ruină	N;NOM;SG	N;INDF;FEM;SG
meinte	însemnat	meinen	însemna	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
meinte	însemna	meinen	însemna	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
meinte	said	meinen	said	V;IND;SG;3;PST;FIN	
heide	heide	heiden	heidă	PROPN;NOM;SG	PROPN
heide	heather	heiden	heather	PROPN;NOM;SG	PROPN
heide	heath	heiden	heath	PROPN;NOM;SG	PROPN
championship	campionatul	championship	campionat	PROPN	N;DEF;MASC;SG
championship	campionat	championship	campiona	PROPN	N;INDF;MASC;SG
district	districtul	district	district	PROPN	N;DEF;MASC;SG
district	district	district	district	PROPN	N;INDF;MASC;SG
ereignis	apariție	ereignis	apariție		N;INDF;FEM;SG
ereignis	incident	ereignis	incident		N;INDF;MASC;SG
ereignis	incidente	ereignis	incident		N;INDF;FEM;PL
ereignis	incidentul	ereignis	incident		N;DEF;MASC;SG
ereignis	eveniment	ereignis	eveniment		N;INDF;MASC;SG
ereignis	evenimentul	ereignis	eveniment		N;DEF;MASC;SG
oberbürgermeister	primare	oberbürgermeister	primar	ADV	ADJ;INDF;FEM;PL
oberbürgermeister	primarul	oberbürgermeister	primar	ADV	N;DEF;MASC;SG
oberbürgermeister	primar	oberbürgermeister	primar	ADV	N;INDF;MASC;SG
monte	monte	mont	monte	PROPN;NOM;SG	PROPN
wesen	fiind	wesen	fi	N;NOM;NEUT;SG	V;V.MSDR
wesen	esență	wesen	esență	N;NOM;NEUT;SG	N;INDF;FEM;SG
wesen	esenta	wesen	esent	N;NOM;NEUT;SG	N;DEF;FEM;SG
wesen	creatură	wesen	creatură	N;NOM;NEUT;SG	N;INDF;FEM;SG
wesen	creatura	wesen	creatură	N;NOM;NEUT;SG	N;DEF;FEM;SG
wesen	wesen	wesen	wesen	N;NOM;NEUT;SG	
wesen	creaturile	wesen	creatură	N;NOM;NEUT;SG	N;DEF;FEM;PL
wesen	creaturi	wesen	creatură	N;NOM;NEUT;SG	N;INDF;FEM;PL
brauerei	brewer	brauerei	brewer	ADJ;NOM;FEM;SG	PROPN
brauerei	breweries	brauerei	breweries	ADJ;NOM;FEM;SG	PROPN
zeugen	martorii	zeugen	martor	V;NFIN	N;DEF;MASC;PL
zeugen	martori	zeugen	martor	V;NFIN	N;INDF;MASC;PL
zeugen	martorul	zeugen	martor	V;NFIN	N;DEF;MASC;SG
zeugen	martoră	zeugen	martoră	V;NFIN	N;INDF;FEM;SG
zeugen	martor	zeugen	martor	V;NFIN	N;INDF;MASC;SG
zeugen	martori	zeugen	martor	V;NFIN	N;INDF;MASC;PL
roth	roth	roth	roth	PROPN;SG	PROPN
gefahren	pericolul	fahren	pericol	V;V.PTCP	N;DEF;MASC;SG
gefahren	primejdie	fahren	primejdie	V;V.PTCP	N;INDF;FEM;SG
gefahren	pericol	fahren	pericol	V;V.PTCP	N;INDF;MASC;SG
gefahren	pericole	fahren	pericol	V;V.PTCP	N;INDF;FEM;PL
gefahren	pericolele	fahren	pericol	V;V.PTCP	N;DEF;FEM;PL
gefahren	hazard	fahren	hazard	V;V.PTCP	N;INDF;MASC;SG
gefahren	pericol	fahren	pericol	V;V.PTCP	N;INDF;MASC;SG
gefahren	pericole	fahren	pericol	V;V.PTCP	N;INDF;FEM;PL
gefahren	pericolele	fahren	pericol	V;V.PTCP	N;DEF;FEM;PL
philip	philip	philip	philip	PROPN;NOM;MASC;SG	PROPN
philip	filip	philip	filip	PROPN;NOM;MASC;SG	PROPN
dateien	fișiere	datei	fișier	V;NFIN	N;INDF;FEM;PL
dateien	fisiere	datei	fisier	V;NFIN	N;INDF;FEM;PL
dateien	dosare	datei	dosare	V;NFIN	N;INDF;FEM;PL
dateien	fișierul	datei	fișier	V;NFIN	N;DEF;MASC;SG
dateien	fişier	datei	fişier	V;NFIN	N;INDF;MASC;SG
dateien	fișier	datei	fișier	V;NFIN	N;INDF;MASC;SG
dateien	dosar	datei	dosar	V;NFIN	N;INDF;MASC;SG
gebe	dați	geben	da	V;SBJV;SG;3;PRS;FIN	V;IND;PL;2;IPFV;FIN
gebe	dă	geben	da	V;SBJV;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
slowakei	slovacia	slowakei	slovacie	PROPN;NOM;SG	PROPN
luther	luther	luther	luther	PROPN;NOM;MASC;SG	PROPN
dfb	dfb	dfb	dfb	PROPN;NOM;MASC;SG	
gefärbt	colorate	färben	colorat	ADJ;V.PTCP	N;INDF;FEM;PL
nachtrag	suplimentul	nachtrag	supliment	PROPN	N;DEF;MASC;SG
nachtrag	supliment	nachtrag	supliment	PROPN	N;INDF;MASC;SG
nachtrag	completare	nachtrag	completare	PROPN	N;INDF;FEM;SG
nachtrag	suplimentar	nachtrag	suplimentar	PROPN	ADJ;INDF;MASC;SG
formulierung	formularea	formulierung	formulare	N;NOM;FEM;SG	N;DEF;FEM;SG
formulierung	formularea	formulierung	formulare	N;NOM;FEM;SG	N;DEF;FEM;SG
verwandten	neamuri	verwandt	neam	V;PL;FIN	N;INDF;FEM;PL
verwandten	rudelor	verwandt	rudă	V;PL;FIN	N;DEF;FEM;PL
verwandten	rudele	verwandt	rudă	V;PL;FIN	N;DEF;FEM;PL
verwandten	rude	verwandt	rudă	V;PL;FIN	N;INDF;FEM;PL
verwandten	legate	verwandt	legat	V;PL;FIN	ADJ;INDF;FEM;PL
vögel	păsări	vögel	pasăre		N;INDF;FEM;PL
vögel	pasarile	vögel	pasarilă		N;DEF;FEM;PL
vögel	pasari	vögel	pasar		N;INDF;MASC;PL
vögel	păsările	vögel	pasăre		N;DEF;FEM;PL
vögel	pasare	vögel	pasar		N;INDF;FEM;SG
vögel	pasăre	vögel	pasăre		N;INDF;FEM;SG
vögel	pasărea	vögel	pasăre		N;DEF;FEM;SG
vögel	bird	vögel	bird		N;INDF;MASC;SG
kommunistischen	comunist	kommunistisch	comunist	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
kommunistischen	comunistă	kommunistisch	comunist	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
letztes	ultimele	letzt	ultim	ADJ;NOM;NEUT;SG	NUM;DEF;FEM;PL
letztes	ultima	letzt	ultim	ADJ;NOM;NEUT;SG	NUM;DEF;FEM;SG
letztes	ultimul	letzt	ultim	ADJ;NOM;NEUT;SG	NUM;DEF;MASC;SG
letztes	last	letzt	last	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
ursula	ursula	ursula	ursulă	PROPN;NOM;FEM;SG	N;DEF;FEM;SG
vorstellungen	spectacole	vorstellingen	spectacol	V;NFIN	N;INDF;FEM;PL
vorstellungen	idei	vorstellingen	idee	V;NFIN	N;INDF;FEM;PL
vorstellungen	ideile	vorstellingen	idee	V;NFIN	N;DEF;FEM;PL
willy	willy	willy	willy	PROPN;NOM;MASC;SG	PROPN
willy	willie	willy	willie	PROPN;NOM;MASC;SG	PROPN
alice	alice	alice	alica		N;INDF;MASC;SG
pflanze	plantele	pflanz	plantă		N;DEF;FEM;PL
pflanze	plante	pflanz	plantă		N;INDF;FEM;PL
pflanze	plantă	pflanz	plantă		N;INDF;FEM;SG
pflanze	planta	pflanz	plantă		N;DEF;FEM;SG
pflanze	decupare	pflanz	decupare		N;INDF;FEM;SG
pflanze	recolta	pflanz	recoltă		N;DEF;FEM;SG
pflanze	recoltă	pflanz	recolta		N;INDF;FEM;SG
altes	altes	alt	altes	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
geplante	programată	geplant	programat	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
geplante	programat	geplant	programa	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
geplante	plănuit	geplant	plănui	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
geplante	planificat	geplant	planificat	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
geplante	planificată	geplant	planifica	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
kämpfte	luptat	kämpfen	lupta	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
kritische	critică	kritisch	critica	ADJ;NOM;FEM;PL	V;IND;SG;3;PST;FIN
kritische	critic	kritisch	critic	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
kritische	critica	kritisch	critică	ADJ;NOM;FEM;PL	N;DEF;FEM;SG
hund	caini	hund	cain	N;NOM;MASC;SG	N;INDF;MASC;PL
hund	câinii	hund	câine	N;NOM;MASC;SG	N;DEF;MASC;PL
hund	câini	hund	câine	N;NOM;MASC;SG	N;INDF;MASC;PL
