категорія	kategorii	категорія	kategoria	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
славу	chwały	слава	chwały	N;INAN;ACC;FEM;SG	
славу	glory	слава	glora	N;INAN;ACC;FEM;SG	
жовтого	żółte	жовтий	żółty	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG
жовтого	żółta	жовтий	żółta	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG
жовтого	żółty	жовтий	żółty	ADJ;GEN;MASC;SG	ADJ;NOM;MASC;SG
агентства	agencje	агентство	agencja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
агентства	agencji	агентство	agencja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
бюджет	budżetu	бюджет	budżet	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
бюджет	budżet	бюджет	budżet	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
чисельністю	gangów	чисельність	gang	N;INAN;INS;FEM;SG	N;GEN;MASC;PL
чисельністю	gangi	чисельність	ganga	N;INAN;INS;FEM;SG	N;NOM;MASC;PL
македонія	macedonii	македонія	macedonia	PROPN;INAN;NOM;FEM;SG	
македонія	macedonia	македонія	macedonia	PROPN;INAN;NOM;FEM;SG	N;NOM;FEM;SG
дипломати	dyplomatów	дипломат	dyplomat	N;ANIM;NOM;MASC;PL	N;GEN;MASC;PL
технологічного	technologiczny	технологічний	technologiczny	ADJ;GEN;MASC;SG	ADJ;NOM;MASC;SG
технологічного	technologiczne	технологічний	technologiczny	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG
стоять	stałego	стояти	stały	V;IPFV;IND;PL;3;PRS;FIN	ADJ;ACC;MASC;SG
стоять	stały	стояти	stać	V;IPFV;IND;PL;3;PRS;FIN	V;IPFV;MASC;IND;PL;PST;FIN;ACT
стоять	stojący	стояти	stać	V;IPFV;IND;PL;3;PRS;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
стоять	stoi	стояти	stać	V;IPFV;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
водяний	woda	водяний	woda	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
водяний	wody	водяний	woda	ADJ;NOM;MASC;SG	N;GEN;FEM;SG
афіни	atenach	афін	aten	PROPN;INAN;NOM	PROPN;GEN;NEUT;PL
афіни	aten	афін	aten	PROPN;INAN;NOM	PROPN;NOM;NEUT;SG
афіни	ateny	афін	atena	PROPN;INAN;NOM	
струмок	potok	струмок	potok	N;INAN;NOM;MASC;SG	
струмок	stream	струмок	stream	N;INAN;NOM;MASC;SG	
хотіли	poszukiwana	хотіти	poszukiwać	V;IPFV;IND;PL;PST;FIN	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
хотіли	chciał	хотіти	chcieć	V;IPFV;IND;PL;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
хотіли	poszukiwany	хотіти	poszukiwać	V;IPFV;IND;PL;PST;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
хотіли	poszukiwani	хотіти	poszukiwać	V;IPFV;IND;PL;PST;FIN	ADJ;IPFV;NOM;MASC;PL;POS;V.PTCP;PASS
швидке	szybko	швидке	szybko	ADJ;NOM;NEUT;SG	ADV
швидке	szybko	швидке	szybko	ADJ;NOM;NEUT;SG	ADV
книжка	książkę	книжка	książka	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
книжка	książki	книжка	książka	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
книжка	księga	книжка	ksiągać	N;INAN;NOM;FEM;SG	
дізнається	słyszy	дізнаватися	słyszeć	V;PFV;IND;SG;3;FUT;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
реалізація	realizacji	реалізація	realizacja	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
реалізація	wdraża	реалізація	wdraż	N;INAN;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
реалізація	realizacji	реалізація	realizacja	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
сімферополь	symferopol	сімферополь	symferopol	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
ряди	szeregi	ряд	szereg	N;INAN;NOM;MASC;PL	N;ACC;MASC;SG
ряди	serie	ряд	serie	N;INAN;NOM;MASC;PL	
ряди	series	ряд	series	N;INAN;NOM;MASC;PL	
ряди	seria	ряд	seria	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG
ряди	serii	ряд	seria	N;INAN;NOM;MASC;PL	
ряди	procesja	ряд	procesja	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG
дін	dean	дін	dean		PROPN;NOM;MASC;SG
дін	dziekan	дін	dziekany		N;NOM;MASC;SG
дін	dene	дін	dena		
міжнародній	uboczu	міжнародний	ubocze	ADJ;DAT;FEM;SG	
лісова	drewno	лісовий	drewno	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
лісова	wood	лісовий	wood	ADJ;NOM;FEM;SG	
лісова	drewna	лісовий	drewna	ADJ;NOM;FEM;SG	
лісова	lasy	лісовий	las	ADJ;NOM;FEM;SG	N;NOM;MASC;PL
лісова	lasu	лісовий	las	ADJ;NOM;FEM;SG	N;GEN;MASC;SG
лісова	las	лісовий	las	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
викликала	spowodowane	викликати	spowodować	V;PFV;FEM;IND;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
викликала	wywołane	викликати	wywołać	V;PFV;FEM;IND;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
викликала	zwane	викликати	zwać	V;PFV;FEM;IND;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
викликала	zwana	викликати	zwać	V;PFV;FEM;IND;SG;PST;FIN	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
викликала	dzwonił	викликати	dzwonić	V;PFV;FEM;IND;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
викликала	nazywany	викликати	nazywać	V;PFV;FEM;IND;SG;PST;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
плата	plata	плата	plata	N;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
костянтинович	konstantinowicz	костянтинович	konstantinowicz	N;ANIM;NOM;MASC;SG	
брама	bramy	брама	brama	N;INAN;NOM;FEM;SG	
брама	bramę	брама	brama	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
брама	gate	брама	gatek	N;INAN;NOM;FEM;SG	
доньки	córki	доньки	córka	N;ANIM;NOM;FEM;PL	N;NOM;FEM;SG
доньки	córek	доньки	córka	N;ANIM;NOM;FEM;PL	N;GEN;FEM;PL
електронні	elektroniczne	електронний	elektroniczny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
електронні	elektroniczna	електронний	elektroniczny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
електронні	elektroniczny	електронний	elektroniczny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
загрозу	zagrożenia	загроза	zagrożenie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
загрозу	zagrożenie	загроза	zagrożenie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
загрозу	groźba	загроза	groźba	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
загрозу	groźby	загроза	groźba	N;INAN;ACC;FEM;SG	
маршрути	trasy	маршрути	trasa	N;INAN;NOM;MASC;PL	N;ACC;FEM;PL
маршрути	tras	маршрути	tras	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
звучить	dźwięki	звучати	dźwięk	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;MASC;PL
написи	znaków	напис	znak	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
поглядів	przekonania	погляд	przekonanie	N;INAN;GEN;MASC;PL	N;NOM;NEUT;SG
поглядів	wierzenia	погляд	wierzyć	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
алжиру	algierze	алжира	algierz	PROPN;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
алжиру	algierii	алжира	algieria	PROPN;INAN;GEN;MASC;SG	PROPN;GEN;FEM;SG
алжиру	algieria	алжира	algieria	PROPN;INAN;GEN;MASC;SG	
турі	turi	турий	turia	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
александра	alexandra	александр	alexandra	PROPN;ANIM;NOM;FEM;SG	
александра	aleksandra	александр	aleksandra	PROPN;ANIM;NOM;FEM;SG	
молекули	cząsteczka	молекула	cząsteczko	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
кути	rogach	кути	róg	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
міру	środek	міра	środek	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
міру	środka	міра	środek	N;INAN;ACC;FEM;SG	N;GEN;MASC;SG
міру	miara	міра	miara	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
міру	miary	міра	miara	N;INAN;ACC;FEM;SG	
значне	wysoka	значний	wysoki	ADJ;NOM;NEUT;SG	
значне	wysokie	значний	wysoki	ADJ;NOM;NEUT;SG	V;PFV;IND;SG;FIN;ACT
значне	high	значний	high	ADJ;NOM;NEUT;SG	
значне	wysoki	значний	wysoki	ADJ;NOM;NEUT;SG	
значне	wysoko	значний	wysoko	ADJ;NOM;NEUT;SG	ADV
зала	hala	зала	hala	N;INAN;NOM;FEM;SG	
зала	holu	зала	hol	N;INAN;NOM;FEM;SG	N;GEN;MASC;SG
зала	hall	зала	hall	N;INAN;NOM;FEM;SG	
трек	utwór	трек	utwór	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
трек	toru	трек	tor	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
башта	tower	башта	tower	N;INAN;NOM;FEM;SG	
башта	wieży	башта	wieża	N;INAN;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
майк	mike	майк	mike	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
майк	mika	майк	mika	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
дністра	dniestr	дністр	dniestr	PROPN;INAN;GEN;MASC;SG	
акти	aktów	акт	aktów	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
маршрутів	trasy	маршрут	trasa	N;INAN;GEN;MASC;PL	N;ACC;FEM;PL
маршрутів	szlaki	маршрут	szlak	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
коментарі	uwagi	коментар	uwaga	N;INAN;NOM;MASC;PL	N;ACC;FEM;SG
коментарі	komentarzy	коментар	komentarz	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
реставрації	odzysk	реставрація	odzysk	N;INAN;GEN;FEM;SG	N;NOM;MASC;SG
реставрації	regeneracja	реставрація	regeneracja	N;INAN;GEN;FEM;SG	N;NOM;FEM;SG
кузов	przewozu	кузов	przewóz	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
спеціаліст	specjalistyczne	спеціаліст	specjalistyczny	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
крістіан	chrześcijański	крістіан	chrześcijański	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
крістіан	chrześcijanie	крістіан	chrześcijanin	N;ANIM;NOM;MASC;SG	N;NOM;MASC;PL
крістіан	krystian	крістіан	krystianin	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
крістіан	kristian	крістіан	kristianin	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
подібна	podobni	подібний	podobnie	ADJ;NOM;FEM;SG	V;IPFV;MASC;IND;PL;PST;FIN;ACT
біологія	biologii	біологія	biologia	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
особливі	promocje	особливий	promocja	ADJ;NOM;PL	N;NOM;FEM;PL
особливі	zróżnicowane	особливий	zróżnicować	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
особливі	specjalna	особливий	specjalny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
особливі	specjalny	особливий	specjalny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
особливі	specjalne	особливий	specjalny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
особливі	wyjątkowy	особливий	wyjątkowy	ADJ;NOM;PL	ADJ;NOM;MASC;SG
особливі	szczególne	особливий	szczególny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
кваліфікацію	kwalifikacje	кваліфікація	kwalifikacja	N;INAN;ACC;FEM;SG	N;NOM;FEM;PL
кваліфікацію	kwalifikacji	кваліфікація	kwalifikacja	N;INAN;ACC;FEM;SG	N;GEN;FEM;SG
тем	tematy	тема	temat	N;INAN;GEN;FEM;PL	N;NOM;MASC;PL
тем	motywy	тема	motyw	N;INAN;GEN;FEM;PL	N;NOM;MASC;PL
тем	tematy	тема	temat	N;INAN;GEN;FEM;PL	N;NOM;MASC;PL
тем	tematyczne	тема	tematyczny	N;INAN;GEN;FEM;PL	ADJ;NOM;NEUT;SG
яни	gentry	яний	gentra	N;ANIM;NOM;MASC;PL	
садок	ogrodu	садка	ogród	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
садок	ogrodzie	садка	ogród	N;INAN;NOM;MASC;SG	N;DAT;MASC;SG
виконано	zrealizowane	виконати	zrealizować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виконано	wykonany	виконати	wykonać	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
виконано	wykonane	виконати	wykonać	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виконано	wykonywane	виконати	wykonywać	V;PFV;IND;0;FIN	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виконано	stracony	виконати	stracić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
виконано	zrealizowane	виконати	zrealizować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виконано	zakończone	виконати	zakończyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виконано	zakończona	виконати	zakończyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
виконано	zaliczone	виконати	zaliczyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виконано	ukończone	виконати	ukończyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виконано	zrobione	виконати	zrobić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
монреаль	montréal	монреаль	montréal	N;INAN;NOM;MASC;SG	
монреаль	montrealu	монреаль	montreal	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
погодився	uzgodnione	погодитися	uzgodnić	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
погодився	zgoda	погодитися	zgoda	V;PFV;MASC;IND;SG;PST;FIN	N;NOM;FEM;SG
дихання	oddycha	дихання	oddychać	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
дихання	oddychać	дихання	oddychać	N;INAN;NOM;NEUT;SG	V;IPFV;NFIN;ACT
визначено	zdefiniowane	визначити	zdefiniować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
визначено	określonych	визначити	określony	V;PFV;IND;0;FIN	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
визначено	zdefiniowana	визначити	zdefiniować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
визначено	zdefiniowany	визначити	zdefiniować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
визначено	zdefiniowanych	визначити	zdefiniować	V;PFV;IND;0;FIN	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
визначено	niejasne	визначити	niejasny	V;PFV;IND;0;FIN	
визначено	zidentyfikowane	визначити	zidentyfikować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
визначено	zidentyfikowany	визначити	zidentyfikować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
визначено	stwierdzone	визначити	stwierdzić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
коаліції	koalicji	коаліція	koalicja	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
кордони	granic	кордон	granica	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
кордони	granic	кордон	granica	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
суперечки	kłótnie	суперечка	kłótnie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
суперечки	sporów	суперечка	spór	N;INAN;NOM;FEM;PL	
суперечки	spory	суперечка	spór	N;INAN;NOM;FEM;PL	
сади	ogrodów	сад	ogród	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
словаччина	słowacja	словаччина	słowacja	PROPN;INAN;NOM;FEM;SG	N;NOM;FEM;SG
словаччина	słowacji	словаччина	słowacja	PROPN;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
широка	szeroko	широка	szeroko	ADJ;NOM;FEM;SG	ADV
банків	banks	банк	banks	N;INAN;GEN;MASC;PL	
банків	banki	банк	bank	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
банків	bankami	банк	bank	N;INAN;GEN;MASC;PL	N;INS;MASC;PL
перевірити	test	перевірити	test	V;PFV;NFIN	N;NOM;MASC;SG
перевірити	badanie	перевірити	badanie	V;PFV;NFIN	N;NOM;NEUT;SG
перевірити	testy	перевірити	test	V;PFV;NFIN	N;NOM;MASC;PL
перевірити	próba	перевірити	próba	V;PFV;NFIN	N;NOM;FEM;SG
перевірити	sprawdzanie	перевірити	sprawdzać	V;PFV;NFIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
процедури	procedury	процедура	procedura	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
процедури	postępowanie	процедура	postępowanie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
процедури	procedura	процедура	procedur	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
процедури	procedury	процедура	procedura	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
фахівці	specjalistów	фахівка	specjalista	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
фахівці	specjali	фахівка	specjać	N;ANIM;NOM;MASC;PL	N;DAT;MASC;PL
сильні	silna	сильний	silny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
сильні	silny	сильний	silny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
сильні	mocne	сильний	mocny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
сильні	silne	сильний	silny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
сильні	mocna	сильний	mocny	ADJ;NOM;PL	
зат	zat	зат	zat		
стандарту	zgodność	стандарт	zgodność	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG
планета	planet	планета	planet	N;INAN;NOM;FEM;SG	
планета	planety	планета	planet	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
включено	włączone	включити	włączyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
включено	uwzględnione	включити	uwzględnić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
включено	włącznie	включити	włącznie	V;PFV;IND;0;FIN	ADV
голод	głodu	голод	głód	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
валерія	valeria	валерія	valeria	PROPN;ANIM;NOM;FEM;SG	N;NOM;FEM;SG
чайковського	czajkowskiego	чайковський	czajkowski	ADJ;GEN;MASC;SG	ADJ;ACC;MASC;SG
герельс	gehrels	герельс	gehrels		
діапазон	zakresy	діапазон	zakres	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
діапазон	przedziały	діапазон	przedział	N;INAN;NOM;MASC;SG	V;PFV;MASC;IND;PL;PST;FIN;ACT
діапазон	zasięgu	діапазон	zasiąg	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
діапазон	odległość	діапазон	odległość	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
вовк	wolf	вовк	wolf	N;ANIM;NOM;MASC;SG	
вовк	wilka	вовк	wilka	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
захистити	chronić	захистити	chronić	V;PFV;NFIN	V;IPFV;NFIN;ACT
захистити	chroń	захистити	chroń	V;PFV;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
кдб	kgb	кдб	kgba	PROPN;INAN;NOM;MASC;SG	
схожа	przypomina	схожий	przypominać	ADJ;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
конте	conte	конти	conty		
тобі	toby	ти	ty	PRO;ANIM;DAT;SG;2	
вдалось	mógł	вдатися	móc	V;PFV;NEUT;IND;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
звуки	brzmi	звук	brzmieć	N;INAN;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
око	eye	око	e	N;INAN;NOM;NEUT;SG	
зон	stref	зона	stref	N;INAN;GEN;FEM;PL	
зон	strefy	зона	strefa	N;INAN;GEN;FEM;PL	N;ACC;FEM;PL
показників	wskaźniki	показник	wskaźnik	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
карпати	karpaty	карпати	karpata	PROPN;INAN;NOM	
ікона	ikony	ікона	ikona	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
ікона	ikona	ікона	ikona	N;INAN;NOM;FEM;SG	
ікона	ikonę	ікона	ikona	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
ска	ska	ско	sko	PROPN;INAN;NOM;MASC;SG	
близькі	zamknij	близький	zamknąć	ADJ;NOM;PL	V;PFV;IMP;SG;2;FIN;ACT
близькі	blisko	близький	blisko	ADJ;NOM;PL	
водню	wodór	водень	wodór	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
водню	wodoru	водень	wodor	N;INAN;GEN;MASC;SG	N;ACC;MASC;SG
трійці	trinity	трійка	trinit	N;INAN;DAT;FEM;SG	
кальвадос	calvados	кальвадос	calvados	N;INAN;NOM;MASC;SG	
офіцери	oficerów	офіцер	oficer	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
зняти	wyłączony	зняти	wyłączyć	V;PFV;NFIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
темою	temat	тема	temat	N;INAN;INS;FEM;SG	N;ACC;MASC;SG
темою	tematu	тема	temat	N;INAN;INS;FEM;SG	N;GEN;MASC;SG
темою	zagadnienie	тема	zagadnić	N;INAN;INS;FEM;SG	N;NOM;NEUT;SG
темою	temat	тема	temat	N;INAN;INS;FEM;SG	N;ACC;MASC;SG
темою	przedmiot	тема	przedmiot	N;INAN;INS;FEM;SG	N;NOM;MASC;SG
темою	obiekt	тема	obiekt	N;INAN;INS;FEM;SG	N;NOM;MASC;SG
темою	podmiot	тема	podmiot	N;INAN;INS;FEM;SG	N;NOM;MASC;SG
зуби	ząb	зуб	ząb	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
зуби	zęba	зуб	zęba	N;INAN;NOM;MASC;PL	
зуби	zębów	зуб	ząb	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
зуби	ząbki	зуб	ząbek	N;INAN;NOM;MASC;PL	
європейські	europejska	європейський	europejski	ADJ;NOM;PL	ADJ;NOM;FEM;SG
європейські	europejski	європейський	europejski	ADJ;NOM;PL	ADJ;NOM;MASC;SG
європейські	europejskiej	європейський	europejski	ADJ;NOM;PL	ADJ;GEN;FEM;SG
європейські	europejskie	європейський	europejski	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
європейські	european	європейський	european	ADJ;NOM;PL	
йоганн	johann	йоганн	johanny	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
адольф	adolphe	адольф	adolphe	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
адольф	adolph	адольф	adolph	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
адольф	adolf	адольф	adolf	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
адольф	adolf	адольф	adolf	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
щодня	dzienna	щодня	dzienny	ADV	ADJ;NOM;FEM;SG
щодня	daily	щодня	daily	ADV	
щодня	codzienne	щодня	codzienny	ADV	ADJ;NOM;NEUT;SG
меті	matty	меть	matta	N;INAN;NOM;FEM;SG	
каміння	skały	каміння	skała	N;INAN;NOM;NEUT;SG	N;ACC;FEM;PL
каміння	kamienie	каміння	kamień	N;INAN;NOM;NEUT;SG	N;NOM;MASC;PL
збігається	dopasowania	збігатися	dopasowanie	V;IPFV;IND;SG;3;PRS;FIN	N;PFV;GEN;NEUT;SG;POS;V.MSDR
збігається	mecze	збігатися	mecz	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;MASC;PL
збігається	zapałki	збігатися	zapałka	V;IPFV;IND;SG;3;PRS;FIN	N;ACC;FEM;PL
литва	litwy	литво	litwa	PROPN;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
литва	litwa	литво	litwa	PROPN;INAN;NOM;FEM;SG	
реклами	ogłoszenia	реклама	ogłoszenie	N;INAN;NOM;FEM;PL	V;PFV;IND;SG;1;FIN;ACT
реклами	reklam	реклама	reklam	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
реклами	reklamy	реклама	reklama	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
гірська	mountain	гірський	mountain	ADJ;NOM;FEM;SG	
гірська	góra	гірський	góra	ADJ;NOM;FEM;SG	
гірська	góry	гірський	góra	ADJ;NOM;FEM;SG	N;NOM;FEM;PL
іоанн	jan	іоанно	jan	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
іоанн	johna	іоанно	johny	PROPN;ANIM;NOM;MASC;SG	
іоанн	janek	іоанно	janek	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
іоанн	john	іоанно	john	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
іоанн	jana	іоанно	jani	PROPN;ANIM;NOM;MASC;SG	
краків	krakowa	крак	krakowy	PROPN;INAN;NOM;MASC;SG	PROPN;GEN;MASC;SG
краків	krakowie	крак	krak	PROPN;INAN;NOM;MASC;SG	N;ACC;MASC;SG
краків	kraków	крак	krak	PROPN;INAN;NOM;MASC;SG	N;NOM;MASC;SG
краків	krakowa	крак	krakowy	PROPN;INAN;NOM;MASC;SG	PROPN;GEN;MASC;SG
краків	krakow	крак	krak	PROPN;INAN;NOM;MASC;SG	N;NOM;MASC;SG
краків	kraków	крак	krak	PROPN;INAN;NOM;MASC;SG	N;NOM;MASC;SG
краків	kraków	крак	krak	PROPN;INAN;NOM;MASC;SG	N;NOM;MASC;SG
серп	sierp	серп	sierp	PROPN;ANIM;NOM;MASC;SG	
прямий	bezpośredni	прямий	bezpośredni	ADJ;NOM;MASC;SG	
прямий	direct	прямий	direct	ADJ;NOM;MASC;SG	
молекул	cząsteczki	молекула	cząsteczka	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
