loại	kategória	loại	kategória	N	
mong	remény	mong	remény	V	N;NOM;SG
mong	remélem	mong	remél	V	
rối	bajkeverő	rối	bajkeverő	V	N;NOM;SG
rối	gond	rối	gond	V	
rối	baj	rối	baj	V	
rối	bábu	rối	bábu	V	N;NOM;SG
rối	báb	rối	báb	V	
texas	texasi	texas	texasi	N	
texas	texas	texas	texas	N	
texas	texasban	texas	texas	N	
dakota	dakota	dakota	dakota	N	
james	james	james	james	N	
james	jakab	james	ja	N	
thẩm	shen	thẩm	shen	N	
phu	phu	phu	phu	N	
nghỉ	vakáció	nghỉ	vakáció	V	N;NOM;SG
nghỉ	nyaralás	nghỉ	nyaralás	V	N;NOM;SG
nghỉ	pihenés	nghỉ	pihenés	V	N;NOM;SG
nghỉ	többi	nghỉ	többi	V	
nghỉ	pihenő	nghỉ	pihenő	V	
thua	lúzer	thua	lúzer	V	
thua	vesztes	thua	vesztes	V	
thua	lost	thua	lost	V	
rock	rock	rock	rock	N	
uống	ivás	uống	ivás	V	N;NOM;SG
uống	ital	uống	ital	V	N;NOM;SG
uống	igy	uống	igy	V	
uống	italok	uống	ital	V	N;NOM;PL
uống	italt	uống	ital	V	N;ACC;SG
uống	ital	uống	ital	V	N;NOM;SG
nhu	kell	nhu	kell	N	V;INDF;IND;SG;3;PRS;FIN;ACT
phạt	büntető	phạt	büntető	N	
đoán	találgatás	đoán	találgatás	V	N;NOM;SG
chị	sis	chị	sis	N	
cốt	volna	cốt	volna	N	V;INDF;COND;SG;3;PRS;ACT
cốt	lenne	cốt	lesz	N	V;INDF;COND;SG;3;PRS;FIN;ACT
thịnh	sheng	thịnh	sheng	N	
phe	side	phe	side	N	
bến	algír	bến	algír	N	
lam	lam	lam	lam	N	
lam	kész	lam	kész	N	
hoài	teljesült	hoài	teljesül	N	V;INDF;IND;SG;3;PST;FIN;ACT
hoài	megvalósult	hoài	meg+valósul	N	V;INDF;IND;SG;3;PST;FIN;ACT
hoài	elért	hoài	elért	N	
ukraina	ukrajna	ukraina	ukrajna	N	PROPN;NOM;SG
internet	interneten	internet	internet		N;ON+ESS;SG
internet	internet	internet	inter		N;NOM;SG
der	der	der	der	N	
link	link	link	link	N	
link	linket	link	link	N	
kiên	türelem	kiên	türelem	ADJ	N;NOM;SG
hạc	crane	hạc	crane	N	
malaysia	malajzia	malaysia	malajzia	N	
malaysia	malajziai	malaysia	malajziai	N	ADJ;NOM;SG
malaysia	malajzia	malaysia	malajzia	N	
malaysia	malajziai	malaysia	malajziai	N	ADJ;NOM;SG
nóng	forró	nóng	forró	ADJ	
nóng	hot	nóng	hot	ADJ	
nóng	meleg	nóng	meleg	ADJ	
nóng	dögös	nóng	dögös	ADJ	N;NOM;SG
pha	pha	pha	pha	N	
phức	mikroszkóp	phức	mikroszkóp	V	N;NOM;SG
tròn	kör	tròn	kör	ADJ	N;NOM;SG
tròn	kört	tròn	kör	ADJ	N;ACC;SG
nhảy	ugrás	nhảy	ugrás	V	N;NOM;SG
lạnh	hidegen	lạnh	hideg	ADJ	N;ON+ESS;SG
lạnh	hideg	lạnh	hideg	ADJ	
đòi	kereslet	đòi	kereslet	V	N;NOM;SG
đòi	követelés	đòi	követelés	V	N;NOM;SG
đòi	igény	đòi	igény	V	
washington	washingtonban	washington	washingtonban		N;IN+ESS;SG
tiêm	injekció	tiêm	injekció	V	N;NOM;SG
tiêm	állapota	tiêm	állapot	V	N;NOM;SG
tiêm	feltétel	tiêm	feltétel	V	N;NOM;SG
tiêm	állapot	tiêm	állap	V	N;NOM;SG
trốn	elrejtése	trốn	elrejtés	V	N;NOM;SG
trốn	elbújt	trốn	elbújt	V	
bottom	alja	bottom	al		N;NOM;SG
bottom	fenék	bottom	fene		N;NOM;SG
đau	fáj	đau	fáj	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
đau	fáj	đau	fáj	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
đau	fájdalmat	đau	fájdalom	ADJ	N;ACC;SG
đau	fájdalom	đau	fájdalom	ADJ	N;NOM;SG
đau	fájdalmas	đau	fájdalmas	ADJ	
đau	fáj	đau	fáj	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
đau	bántani	đau	bánt	ADJ	V;NFIN;ACT
đau	megsérült	đau	meg+sérül	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
lọc	szűrés	lọc	szűrés	V	N;NOM;SG
lọc	szűrő	lọc	szűrő	V	N;NOM;SG
lọc	szűrés	lọc	szűrés	V	N;NOM;SG
lọc	szűrők	lọc	szűrő	V	N;NOM;PL
lọc	szűrő	lọc	szűrő	V	N;NOM;SG
vui	móka	vui	móka		N;NOM;SG
vui	szórakozás	vui	szórakozás		N;NOM;SG
vui	boldogság	vui	boldogság		N;NOM;SG
khổ	nyomorult	khổ	nyomorul	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
khổ	nyomorúságos	khổ	nyomorúságos	ADJ	
khổ	szenvedés	khổ	szenvedés	ADJ	N;NOM;SG
khổ	szenved	khổ	szenved	ADJ	V;INDF;IND;SG;3;PRS;FIN;ACT
khổ	nehéz	khổ	nehéz	ADJ	
khổ	kemény	khổ	kemény	ADJ	
khổ	szenvedés	khổ	szenvedés	ADJ	N;NOM;SG
khổ	nyomor	khổ	nyomor	ADJ	N;NOM;SG
site	helyszín	site	helyszín		N;NOM;SG
site	helyén	site	hely		N;ON+ESS;SG
site	webhely	site	webhely		N;NOM;SG
liêu	liao	liêu	liao	N	
thuế	adó	thuế	adó	N	
thuế	adó	thuế	adó	N	
kansas	kansasi	kansas	kansasi	N	
kansas	kansas	kansas	kansas	N	
dày	sűrű	dày	sűrű	ADJ	
dày	vastag	dày	vastag	ADJ	
love	szeretettel	love	szeretet		N;INS;SG
love	szeretet	love	szeretet		N;NOM;SG
love	szerelem	love	szerelem		N;NOM;SG
nương	fifi	nương	fifi	N	PROPN;NOM;SG
des	des	des	des	N	
khổng	duzzadt	khổng	duz	N	V;INDF;IND;SG;3;PST;FIN;ACT
mộc	ács	mộc	ács	N	
mộc	carpenter	mộc	carpenter	N	
mộc	asztalos	mộc	asztalos	N	
tám	nyolc	tám	nyolc	NUM	
cặp	páros	cặp	páros	N	
cặp	pár	cặp	pár	N	
lee	lee	lee	lee	N	
campuchia	kambodzsa	campuchia	kambodzs	N	
bùi	pei	bùi	pei	N	
colombia	kolumbia	colombia	kolumbia	N	
colombia	kolumbiai	colombia	kolumbiai	N	ADJ;NOM;SG
charles	károly	charles	károly		N;NOM;SG
than	szén	than	szén		N;NOM;SG
than	szenet	than	szenet		N;ACC;SG
than	panaszkodni	than	panaszkodik		V;NFIN;ACT
than	faszén	than	faszén		N;NOM;SG
tuấn	tuan	tuấn	tuan	N	
tuấn	jun	tuấn	jun	N	
