से	от	से	от		ADP
संकर	хибридни	संकर	хибриден		ADJ;INDF;PL
संकर	хибрид	संकर	хибрид		N;INDF;MASC;SG
प्रो	проф	प्रो	проф	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रो	про	प्रो	про	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रो	pro	प्रो	pro	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रो	професионалист	प्रो	професионалист	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बोस्टन	бостън	बोस्टन	бостън	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
स्तन	гърди	स्तन	гръд	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्तन	гърди	स्तन	гръд	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्तन	гърдите	स्तन	гръд	N;NOM;MASC;SG;3	N;DEF;FEM;PL
स्तन	гърди	स्तन	гръд	N;NOM;MASC;SG;3	N;INDF;FEM;PL
आदिम	примитивни	आदिम	примитивен		ADJ;INDF;PL
आदिम	примитивна	आदिम	примитивен		ADJ;INDF;FEM;SG
आदिम	примитивен	आदिम	примитивен		ADJ;INDF;MASC;SG
आदिम	примитивно	आदिम	примитивно		ADV
लिखकर	писане	लिख	писане	V;V.CVB	N;INDF;NEUT;SG
सल्तनत	султанат	सल्तनत	султана	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
सूरी	сури	सूरी	суря-(се)	PROPN;NOM;FEM;SG;3	N;INDF;FEM;PL
नाईट	найт	नाईट	найт	N;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
रॉ	сурово	रॉ	суров	N;NOM;FEM;SG;3	ADV
रॉ	сурови	रॉ	суров	N;NOM;FEM;SG;3	ADJ;INDF;PL
रॉ	суров	रॉ	суров	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
रॉ	сурова	रॉ	суров	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
रॉ	необработен	रॉ	необработен	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
यश	яш	यश	аз		PROPN;INDF;MASC;SG
भूटान	бутан	भूटान	бутан	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जॉनसन	джонсън	जॉनसन	джонсън	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
त्रिकोण	триъгълници	त्रिकोण	триъгълница	N;NOM;MASC;SG;3	N;INDF;MASC;PL
साइबेरिया	сибир	साइबेरिया	сибир	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
विकृति	светлинна	विकृति	светлинен	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
सारांश	резюме	सारांश	резю	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
सारांश	обобщение	सारांश	обобщение	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
नियामक	регулаторна	नियामक	регулаторен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
नियामक	регулаторен	नियामक	регулаторен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
नियामक	регулаторни	नियामक	регулаторен	N;NOM;MASC;SG;3	ADJ;INDF;PL
सुगंधित	ароматни	सुगंधित	ароматен	N;NOM;MASC;SG;3	ADJ;INDF;PL
सुगंधित	ароматно	सुगंधित	ароматно	N;NOM;MASC;SG;3	ADV
सुगंधित	ароматен	सुगंधित	ароматен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
दूरस्थ	отдалечен	दूरस्थ	отдалеча-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
दूरस्थ	отдалечено	दूरस्थ	отдалеча-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
दूरस्थ	дистанционно	दूरस्थ	дистанционен		ADV
दूरस्थ	отдалечена	दूरस्थ	отдалеча-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
करेगी	уил	कर	ухл	V;FEM;IND;SG;3;FUT;FIN;ACT	PROPN;INDF;MASC;SG
अपराधों	престъпление	अपराध	престъпление	N;ACC;MASC;PL;3	N;INDF;NEUT;SG
अपराधों	престъпност	अपराध	престъпност	N;ACC;MASC;PL;3	N;INDF;FEM;SG
अपराधों	престъпността	अपराध	престъпност	N;ACC;MASC;PL;3	N;DEF;FEM;SG
लौकिक	космически	लौकिक	космически	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
लौकिक	космическо	लौकिक	космически	PROPN;NOM;MASC;SG;3	ADV
मेजबान	водещ	मेजबान	водя	N;NOM;MASC;SG;3	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
संतुष्ट	удовлетворен	संतुष्ट	удовлетворя-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
संतुष्ट	удовлетворена	संतुष्ट	удовлетворя-(се)	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
बालू	пясък	बालू	пясък		N;INDF;MASC;SG
बालू	балу	बालू	балу		N;INDF;MASC;SG
चार्ज	зареден	चार्ज	зареда	N;NOM;MASC;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
चार्ज	заредена	चार्ज	зареда	N;NOM;MASC;SG;3	V;PFV;INDF;FEM;SG;V.PTCP;PASS
चार्ज	обвинен	चार्ज	обвиня	N;NOM;MASC;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
चार्ज	заредени	चार्ज	зареда	N;NOM;MASC;SG;3	V;PFV;INDF;PL;V.PTCP;PASS
चार्ज	заредено	चार्ज	зареда	N;NOM;MASC;SG;3	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
लोड	зареди	लोड	заредя	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN
मणि	мани	मणि	мана	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
उद्धरण	кавички	उद्धरण	кавичка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
उद्धरण	цитати	उद्धरण	цитат	N;NOM;MASC;SG;3	N;INDF;MASC;PL
उद्धरण	цитирам	उद्धरण	цитирам	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
मार्क्सवादी	марксист	मार्क्सवादी	марксист	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
नकली	фалшиви	नकली	фалшив		ADJ;INDF;PL
नकली	фалшифицирани	नकली	фалшифицирам		V;PFV;INDF;PL;V.PTCP;PASS
नकली	менте	नकली	менте		N;INDF;NEUT;SG
नकली	фалшив	नकली	фалшив		ADJ;INDF;MASC;SG
नकली	фалшиви	नकली	фалшив		ADJ;INDF;PL
नकली	фалшиво	नकली	фалшиво		ADV
नकली	фалшива	नकली	фалшив		ADJ;INDF;FEM;SG
पूर्वानुमान	прогнози	पूर्वानुमान	прогноза	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पूर्वानुमान	предсказания	पूर्वानुमान	предсказание	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
स्वयंसेवक	доброволците	स्वयंसेवक	доброволец	N;NOM;MASC;SG;3	N;DEF;MASC;PL
स्वयंसेवक	доброволци	स्वयंसेवक	доброволец	N;NOM;MASC;SG;3	N;INDF;MASC;PL
स्वयंसेवक	доброволци	स्वयंसेवक	доброволец	N;NOM;MASC;SG;3	N;INDF;MASC;PL
ईंट	тухла	ईंट	тухла		N;INDF;FEM;SG
ईंट	брик	ईंट	брик		N;INDF;MASC;SG
ईंट	диамантите	ईंट	диамант		N;DEF;MASC;PL
ईंट	диаманти	ईंट	диамант		N;INDF;MASC;PL
दस्तावेज़	документите	दस्तावेज़	документ	N;NOM;MASC;SG;3	N;DEF;MASC;PL
दस्तावेज़	документи	दस्तावेज़	документ	N;NOM;MASC;SG;3	N;INDF;MASC;PL
पासवर्ड	пароли	पासवर्ड	парола	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पासवर्ड	паролите	पासवर्ड	парол	N;NOM;MASC;SG;3	N;DEF;FEM;PL
परिश्रम	старание	परिश्रम	старание		N;INDF;NEUT;SG
ड्रैगन	дракон	ड्रैगन	дракон	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
रोजर	роджър	रोजर	роджър	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जिक्र	споменете	जिक्र	спомена	N;NOM;MASC;SG;3	V;PFV;IMP;PL;2;FIN
हान	хан	हान	хан		N;INDF;MASC;SG
इंटरफेस	прихващане	इंटरफेस	прихващане	N;NOM;MASC;SG;3	ADV
इंटरफेस	смущения	इंटरफेस	смущение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
फॉक्स	фокс	फॉक्स	фокс	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
फॉक्स	лисица	फॉक्स	лисица	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
फॉक्स	fox	फॉक्स	fox	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
यमन	йемен	यमन	йемен	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
आश्रित	зависима	आश्रित	зависим		ADJ;INDF;FEM;SG
आश्रित	зависими	आश्रित	зависим		ADJ;INDF;PL
आश्रित	зависимо	आश्रित	зависимо		ADV
आश्रित	зависим	आश्रित	завися		N;INDF;MASC;SG
स्टैनफोर्ड	станфорд	स्टैनफोर्ड	станфорд	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
चार्ली	чарли	चार्ली	чарла	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
पेशी	мускулно	पेशी	мускулно	N;NOM;FEM;SG;3	ADV
पेशी	мускули	पेशी	мускул	N;NOM;FEM;SG;3	N;INDF;MASC;PL
मीरा	мира	मीरा	мир	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
सिपाही	войник	सिपाही	войник	N;NOM;MASC;PL;3	N;INDF;MASC;SG
निरन्तर	непрекъсната	निरन्तर	непрекъсен		ADJ;INDF;FEM;SG
निरन्तर	непрекъснати	निरन्तर	непрекъснат		ADJ;INDF;PL
निरन्तर	непрекъснат	निरन्तर	непрекъснат		ADJ;INDF;MASC;SG
दीन	дин	दीन	дин	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
जिमी	джими	जिमी	джим	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मुलायम	меко	मुलायम	меко	PROPN;NOM;MASC;SG;3	ADV
मुलायम	мек	मुलायम	аз	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
मुलायम	меки	मुलायम	мякък	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
मुलायम	нежна	मुलायम	нежен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मुलायम	мека	मुलायम	мека	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
मुलायम	смекчи	मुलायम	смекча-(се)	PROPN;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN
दही	йогурт	दह	йогурт	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
दही	извара	दह	изварам-(се)	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
टर्मिनस	терминус	टर्मिनस	терминус	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अमीरात	емирство	अमीरात	емирство	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
अमीरात	емирства	अमीरात	емирство	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;PL
एंटी	анти	एंटी	анти	N;NOM;MASC;SG;3	ADV
महिमा	слава	महिमा	слава	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
महिमा	глори	महिमा	глоря	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
शेक्सपियर	шекспир	शेक्सपियर	шекспир	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अवशोषित	абсорбира	अवशोषित	абсорбирам	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
अवशोषित	абсорбира	अवशोषित	абсорбирам	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
अवशोषित	погълнати	अवशोषित	погълна	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
दर्शाती	експонати	दर्शा	експонат	V;IPFV;FEM;SG;V.PTCP;ACT	N;INDF;MASC;PL
मिथुन	близнаци	मिथुन	близнак	PROPN;NOM;MASC;SG;3	N;INDF;MASC;PL
रूट	маршрутите	रूट	маршрут	N;NOM;MASC;SG;3	N;DEF;MASC;PL
रूट	пътища	रूट	път	N;NOM;MASC;SG;3	N;INDF;MASC;PL
रूट	маршрути	रूट	маршрут	N;NOM;MASC;SG;3	N;INDF;MASC;PL
रूट	корени	रूट	корен	N;NOM;MASC;SG;3	N;INDF;MASC;PL
रामकृष्ण	рамакришна	रामकृष्ण	рамакришен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
आकस्मिक	инцидентно	आकस्मिक	инцидентно	N;NOM;MASC;SG;3	ADV
फिलिप्स	филипс	फिलिप्स	филипс	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
सार्वभौमिक	универсален	सार्वभौमिक	универсален	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
सार्वभौमिक	универсално	सार्वभौमिक	универсално	PROPN;NOM;SG;3	ADV
सार्वभौमिक	универсална	सार्वभौमिक	универсален	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
सार्वभौमिक	универсални	सार्वभौमिक	универсален	PROPN;NOM;SG;3	ADJ;INDF;PL
व्यर्थ	суетен	व्यर्थ	суетен	ADP	ADJ;INDF;MASC;SG
व्यर्थ	безполезен	व्यर्थ	безполезен	ADP	ADJ;INDF;MASC;SG
व्यर्थ	безполезно	व्यर्थ	безполезно	ADP	ADV
गिरा	есента	गिर	есен	V;PFV;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
गिरा	падане	गिर	падане	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;SG
गिरा	есен	गिर	есен	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
ध्येय	каузи	ध्येय	кауза	N;NOM;MASC;SG;3	N;INDF;FEM;PL
ध्येय	причини	ध्येय	причина	N;NOM;MASC;SG;3	N;INDF;FEM;PL
ध्येय	причинява	ध्येय	причинявам	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
ताइवान	тайван	ताइवान	тайван	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
ताइवान	тайпе	ताइवान	тайпа	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
पल	мигове	पल	миг	N;NOM;MASC;SG;3	N;INDF;MASC;PL
पल	моменти	पल	момент	N;NOM;MASC;SG;3	N;INDF;MASC;PL
पहुँचे	постигнато	पहुँच	постигна	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
पहुँचे	достигната	पहुँच	достигна	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
डाले	дейли	डाल	дейля	V;PFV;MASC;PL;V.PTCP;ACT	N;INDF;MASC;SG
कलाम	калам	कलाम	калам	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अत्याचार	зверства	अत्याचार	зверство	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
अत्याचार	зверствата	अत्याचार	зверство	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
हि	хехе	हि	хехе		ADV
एबरडीन	абърдийн	एबरडीन	абърдийн	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
इंकार	отказвам	इंकार	отказвам-(се)	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
वार्ड	уорд	वार्ड	уорд	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
क्लार्क	кларк	क्लार्क	кларк	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
क्लार्क	кларк	क्लार्क	кларк	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मास्को	москва	मास्को	москва	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
रकम	суми	रकम	сума	N;NOM;FEM;SG;3	N;INDF;FEM;PL
आपत्ति	възражения	आपत्ति	възражение	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
द्रौपदी	драупади	द्रौपदी	драупадя	PROPN;NOM;SG;3	N;INDF;FEM;PL
सूखी	суха	सूख	сух	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;FEM;SG
सूखी	сухи	सूख	сух	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;PL
सूखी	сухо	सूख	сухо	V;PFV;FEM;SG;V.PTCP;ACT	ADV
सूखी	сух	सूख	сух	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
सूखी	сушени	सूख	сушя	V;PFV;FEM;SG;V.PTCP;ACT	N;INDF;MASC;PL
सूखी	изсушени	सूख	изсуша	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
भूकम्प	земетресения	भूकम्प	земетресен	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;PL
भूकम्प	земетресението	भूकम्प	земетресение	PROPN;NOM;MASC;SG;3	N;DEF;NEUT;SG
भूकम्प	земетресение	भूकम्प	земетресение	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
प्रधानता	приоритетни	प्रधानता	приоритетен	N;NOM;FEM;SG;3	ADJ;INDF;PL
प्रधानता	приоритетна	प्रधानता	приоритетен	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
पिशाच	вампир	पिशाच	вампир		N;INDF;MASC;SG
जला	гори	जला	гора	V;SG;V.PTCP;ACT	N;INDF;FEM;PL
जला	изгаряне	जला	изгаряне	V;SG;V.PTCP;ACT	N;INDF;NEUT;SG
पूर्वजों	предците	पूर्वज	предци	N;ACC;MASC;PL;3	N;DEF
भाषाई	езикови	भाषाई	езиков	N;NOM;MASC;SG;3	ADJ;INDF;PL
धोखा	измамник	धोखा	измамник	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
धोखा	мами	धोखा	мамя	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;IMP;SG;2;FIN
धोखा	мами	धोखा	мамя	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;IMP;SG;2;FIN
धोखा	изневяра	धोखा	изневярам-(се)	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
धोखा	изневери	धोखा	изневеря	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;PL
धोखा	измамен	धोखा	измамя-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
दाता	донор	दाता	донор		N;INDF;MASC;SG
दाता	дарител	दाता	дарител		N;INDF;MASC;SG
दाता	дарител	दाता	дарител		N;INDF;MASC;SG
किंग्स	царе	किंग	царе	PROPN;NOM;MASC;SG;3	N;INDF;MASC;PL
किंग्स	кингс	किंग	кингс	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
किंग्स	кралете	किंग	крал	PROPN;NOM;MASC;SG;3	N;DEF;MASC;PL
किंग्स	крале	किंग	крал	PROPN;NOM;MASC;SG;3	N;INDF;MASC;PL
हटाना	изтриването	हटा	изтриване	V;MASC;NFIN;ACT	N;DEF;NEUT;SG
हटाना	заличаване	हटा	заличаване	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
हटाना	премахване	हटा	премахване	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
हटाना	изваждане	हटा	изваждане	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
हटाना	отстраняване	हटा	отстраняване	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
परिप्रेक्ष्य	перспективи	परिप्रेक्ष्य	перспектива	N;NOM;MASC;SG;3	N;INDF;FEM;PL
इंसान	човешка	इंसान	човешки	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
इंसान	човешко	इंसान	човешки	N;NOM;MASC;SG;3	ADV
इंसान	човешки	इंसान	човешки	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
सूडान	судан	सूडान	судан	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
स्पर्धा	конкурентно	स्पर्धा	конкурентно	N;NOM;FEM;SG;3	ADV
स्पर्धा	конкурентни	स्पर्धा	конкурентен	N;NOM;FEM;SG;3	ADJ;INDF;PL
चालीस	forty	चालीस	forty	NUM	N;INDF;MASC;SG
उपवास	пости	उपवास	пост	N;NOM;MASC;SG;3	N;INDF;MASC;PL
उपवास	гладно	उपवास	гладно	N;NOM;MASC;SG;3	ADV
अप्रत्यक्ष	непряко	अप्रत्यक्ष	непряко	PROPN;NOM;MASC;SG;3	ADV
अप्रत्यक्ष	косвени	अप्रत्यक्ष	косвен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
अप्रत्यक्ष	косвено	अप्रत्यक्ष	косвено	PROPN;NOM;MASC;SG;3	ADV
अप्रत्यक्ष	непреки	अप्रत्यक्ष	непреки	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
अप्रत्यक्ष	косвена	अप्रत्यक्ष	косвен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
अप्रत्यक्ष	наклонени	अप्रत्यक्ष	наклоня-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;PL;V.PTCP;PASS
एयरलाइन्स	airbus	एयरलाइन	airbus	N;NOM;FEM;PL;3	PROPN;INDF;MASC;SG
दंत	зъболекарски	दंत	зъболекарски		ADJ;INDF;MASC;SG
दंत	зъболекар	दंत	зъболекар		N;INDF;MASC;SG
विजेताओं	печеливши	विजेता	печеливш	N;ACC;MASC;PL;3	ADJ;INDF;PL
विजेताओं	печелившите	विजेता	печеливш	N;ACC;MASC;PL;3	ADJ;DEF;PL
बुधवार	сряда	बुधवार	сряда	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
बुधवार	сряда	बुधवार	сряда	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
पीस	смилане	पीस	смилане		N;INDF;NEUT;SG
पीस	късче	पीस	късче		N;INDF;NEUT;SG
पीस	парченце	पीस	парченце		N;INDF;NEUT;SG
पीस	парче	पीस	парче		N;INDF;NEUT;SG
सीमाएँ	варира	सीमा	варир	N;NOM;FEM;PL;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
सीमाएँ	предел	सीमा	предел	N;NOM;FEM;PL;3	N;INDF;MASC;SG
इथियोपिया	етиопия	इथियोपिया	етиопия	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
स्थानिक	пространствено	स्थानिक	пространствен	N;NOM;MASC;SG;3	ADV
स्थानिक	пространствен	स्थानिक	пространствен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
स्थानिक	пространствени	स्थानिक	пространствен	N;NOM;MASC;SG;3	ADJ;INDF;PL
हीरा	диамант	हीरा	диамант	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
हीरा	диамантен	हीरा	диамантен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
हीरा	диаманта	हीरा	диамант	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
हीरा	даймънд	हीरा	даймънд	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
डॉट	дот	डॉट	дот		N;INDF;MASC;PL
संध्या	ив	संध्या	ив	N;NOM;FEM;SG;3	PROPN;INDF;FEM;SG
संध्या	ева	संध्या	ева	N;NOM;FEM;SG;3	PROPN;INDF;FEM;SG
संध्या	вечерно	संध्या	вечерен	N;NOM;FEM;SG;3	ADV
बेकार	безполезен	बेकार	безполезен		ADJ;INDF;MASC;SG
बेकार	безполезно	बेकार	безполезно		ADV
बेकार	безполезна	बेकार	безполезен		ADJ;INDF;FEM;SG
बेकार	гадно	बेकार	гаден		ADV
बेकार	безполезен	बेकार	безполезен		ADJ;INDF;MASC;SG
बेकार	безполезно	बेकार	безполезно		ADV
मिशेल	мишел	मिशेल	мишел	PROPN;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
मिशेल	микеле	मिशेल	микеле	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
मिशेल	мичел	मिशेल	мичел	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
मिशेल	мичъл	मिशेल	мичъл	PROPN;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
अनिश्चित	несигурен	अनिश्चित	несигурен	PROPN;NOM;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
अनिश्चित	несигурна	अनिश्चित	несигурен	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
अनिश्चित	несигурни	अनिश्चित	несигурен	PROPN;NOM;SG;3	ADJ;INDF;PL
अनिश्चित	несигурно	अनिश्चित	несигурно	PROPN;NOM;SG;3	ADV
अनिश्चित	несигурен	अनिश्चित	несигурен	PROPN;NOM;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
अनिश्चित	несигурна	अनिश्चित	несигурен	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
अनिश्चित	несигурни	अनिश्चित	несигурен	PROPN;NOM;SG;3	ADJ;INDF;PL
मोटा	дебело	मोटा	дебело	ADJ;NOM;MASC;SG	ADV
मोटा	мазнина	मोटा	мазнина	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
मोटा	мазнини	मोटा	мазнин	ADJ;NOM;MASC;SG	N;INDF;FEM;PL
मोटा	дебели	मोटा	дебел	ADJ;NOM;MASC;SG	ADJ;INDF;PL
अंकन	маркировка	अंकन	маркировка		N;INDF;FEM;SG
अंकन	маркиране	अंकन	маркиране		N;INDF;NEUT;SG
सलमान	салман	सलमान	салман	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
फ्रेडरिक	фридрих	फ्रेडरिक	фридрих	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
फ्रेडरिक	фредерик	फ्रेडरिक	фредерик	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
फ्रेडरिक	фридрих	फ्रेडरिक	фридрих	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
प्लग	включи	प्लग	включа-(се)	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
मानद	почетен	मानद	почетен	PROPN;NOM;MASC;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
मानद	почетни	मानद	почетен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
मानद	почетна	मानद	почетен	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
सिद्धि	сидхи	सिद्धि	сидх	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
संग्रहण	колекции	संग्रहण	колекция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अंतर्निहित	присъщо	अंतर्निहित	присъщ	ADJ	ADV
काबुल	кабул	काबुल	кабул	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
फिलहाल	понастоящем	फिलहाल	понастоящем	ADV	V;IPFV;IND;PL;1;PRS;FIN;ACT
आलोचनात्मक	критично	आलोचनात्मक	критично	ADJ;NOM	ADV
प्रतिस्पर्धी	конкуренти	प्रतिस्पर्धी	конкурент	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रतिस्पर्धी	съперници	प्रतिस्पर्धी	съперник	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रतिस्पर्धी	конкурентна	प्रतिस्पर्धी	конкурентен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
प्रतिस्पर्धी	конкурентно	प्रतिस्पर्धी	конкурентно	N;NOM;MASC;SG;3	ADV
प्रतिस्पर्धी	конкурентни	प्रतिस्पर्धी	конкурентен	N;NOM;MASC;SG;3	ADJ;INDF;PL
