terra	тера	terra	тера		N;INDF;FEM;SG
vaszilij	василий	vaszilij	василие		N;INDF;MASC;SG
fertőző	инфекциозни	fertőző	инфекциозен	N;NOM;SG	ADJ;INDF;PL
fertőző	заразна	fertőző	заразен	N;NOM;SG	ADJ;INDF;FEM;SG
fertőző	заразни	fertőző	заразен	N;NOM;SG	ADJ;INDF;PL
fertőző	заразен	fertőző	заразя-(се)	N;NOM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fertőző	заразно	fertőző	заразно	N;NOM;SG	ADV
képregények	комикс	képregény	комикс	N;NOM;PL	N;INDF;MASC;SG
fertőzött	заразена	fertőz	заразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fertőzött	инфектирани	fertőz	инфектирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
fertőzött	заразен	fertőz	заразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fertőzött	заразени	fertőz	заразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
fertőzött	замърсена	fertőz	замърся-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fertőzött	заразена	fertőz	заразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fertőzött	замърсени	fertőz	замърся-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
css	css	css	css	N;NOM;SG	N;INDF;PL
naruto	наруто	naruto	наруто		N;INDF;NEUT;SG
brescia	бреша	brescia	бреша		PROPN;INDF;FEM;SG
ming	минг	ming	минг		N;INDF;MASC;SG
kertek	гардънс	ker	гардънс	N;NOM;PL	N;INDF;MASC;SG
tizenhét	седемнадесет	tizenh	седемнадесет		NUM;INDF;PL
tizenhét	седемнайсет	tizenh	седемнайсет		N;INDF;MASC;SG
zavart	объркване	zavart	объркване		N;INDF;NEUT;SG
zavart	нарушен	zavart	наруша-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
zavart	обезпокоен	zavart	обезпокоен		V;PFV;INDF;MASC;SG;V.PTCP;PASS
zavart	нарушено	zavart	наруша-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zavart	объркани	zavart	объркам-(се)		V;PFV;INDF;PL;V.PTCP;PASS
zavart	объркано	zavart	объркам-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zavart	объркан	zavart	объркам-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
zavart	объркана	zavart	объркам-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
jin	дзин	jin	дзин		N;INDF;MASC;SG
jin	джин	jin	джин		PROPN;INDF;MASC;SG
jesse	джеси	jesse	джеса		PROPN;INDF;MASC;SG
kedvezőtlen	неблагоприятни	kedvezőtlen	поблагоприятен	ADJ;NOM;SG	ADJ;INDF;PL
illő	монтаж	illő	монтаж		N;INDF;MASC;SG
illő	монтиране	illő	монтиране		N;INDF;NEUT;SG
illő	подходящо	illő	подходящ		ADV
politikailag	политически	politikai	политически		ADV
platón	платон	platón	платон		N;INDF;MASC;SG
tőke	капитали	tőke	капитал	N;NOM;SG	N;INDF;MASC;PL
csatolt	прикрепени	csatolt	прикрепя		V;PFV;INDF;PL;V.PTCP;PASS
csatolt	прикрепен	csatolt	прикрепя		V;PFV;INDF;MASC;SG;V.PTCP;PASS
csatolt	прикрепена	csatolt	прикрепя		V;PFV;INDF;FEM;SG;V.PTCP;PASS
steel	стоманен	steel	стоманен		ADJ;INDF;MASC;SG
steel	стомана	steel	стомана		N;INDF;FEM;SG
steel	стийл	steel	стийл		N;INDF;MASC;SG
kanári	канарчета	kanári	канарче		N;INDF;NEUT;PL
kanári	канарските	kanári	канарски		ADJ;DEF;PL
kanári	канарче	kanári	канарче		N;INDF;NEUT;SG
mason	мейсън	mason	мейсън		PROPN;INDF;MASC;SG
case	случай	case	случай		N;INDF;MASC;SG
case	дело	case	дело		N;INDF;NEUT;SG
case	кейс	case	кейс		N;INDF;MASC;SG
case	случаят	case	случай		N;DEF;MASC;SG
case	каса	case	каса		N;INDF;FEM;SG
edwin	едуин	edwin	едуин		N;INDF;MASC;SG
viva	вива	viva	вивам		N;INDF;FEM;SG
aux	aux	aux	aux		PROPN
jeremy	джеръми	jeremy	джеръм		N;INDF;MASC;PL
jeremy	джереми	jeremy	джеремя		N;INDF;MASC;SG
tárolt	съхранявани	tárolt	съхранявам-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;INDF;PL;V.PTCP;PASS
elengedhetetlen	съществени	elengedhetetlen	съществен	ADJ;NOM;SG	ADJ;INDF;PL
elengedhetetlen	съществено	elengedhetetlen	съществено	ADJ;NOM;SG	ADV
termés	култури	termés	култура	N;NOM;SG	N;INDF;FEM;PL
termés	насаждения	termés	насаждение	N;NOM;SG	N;INDF;NEUT;PL
christie	кристи	christie	крист	N;NOM;SG	N;INDF;FEM;PL
kertben	градински	kert	градински	N;IN+ESS;SG	ADJ;INDF;MASC;SG
számítástechnikai	изчислителни	számítástechnikai	изчислителен	ADJ;NOM;SG	ADJ;INDF;PL
kiszolgáló	сървър	kiszolgáló	сървър		N;INDF;MASC;SG
líbiai	либия	líbiai	либия	ADJ;NOM;SG	N;INDF;FEM;SG
líbiai	либийските	líbiai	либийски	ADJ;NOM;SG	ADJ;DEF;PL
kecske	коза	kecske	коза		PROPN;INDF;MASC;SG
kecske	козе	kecske	козе		N;INDF;NEUT;SG
kecske	козел	kecske	козеда		N;INDF;MASC;SG
kecske	кози	kecske	коза		N;INDF;FEM;PL
kecske	кози	kecske	коза		N;INDF;FEM;PL
hívők	вярващи	hívő	вярвам	N;NOM;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
hívők	вярващите	hívő	вярвам	N;NOM;PL	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
antwerpen	антверпен	antperp	антверпен	N;NOM;SG	PROPN;INDF;MASC;SG
napoli	неапол	napoli	неапол	N;NOM;SG	PROPN;INDF;MASC;SG
etikai	етично	etikai	етичен		ADV
etikai	етичен	etikai	етичен		ADJ;INDF;MASC;SG
etikai	етични	etikai	етичен		ADJ;INDF;PL
etikai	етика	etikai	етика		N;INDF;FEM;SG
keringési	кръвоносната	keringési	кръвоносен	N;NOM;SG	ADJ;DEF;FEM;SG
mccartney	маккартни	mccartney	маккартен		ADJ;INDF;PL
foster	приемен	foster	приемен	PROPN;NOM;SG	ADJ;INDF;MASC;SG
foster	фостър	foster	фостър	PROPN;NOM;SG	N;INDF;MASC;SG
foster	приемни	foster	приемен	PROPN;NOM;SG	ADJ;INDF;PL
búr	бур	búr	бур		PROPN;INDF;MASC;SG
enrique	енрике	enrió	енрике		PROPN;INDF;MASC;SG
dom	дом	dom	дом		N;INDF;MASC;SG
duncan	дънкан	duncan	дънкам		PROPN;INDF;MASC;SG
duncan	дънкън	duncan	дънкън		PROPN;INDF;MASC;SG
amphibia	amphibia	amphibia	amphibia	PROPN;NOM;SG	NUM;INDF;PL
hansen	хансън	hans	хансън		PROPN;INDF;MASC;SG
hansen	хансен	hans	хансен		PROPN;INDF;MASC;SG
hansen	хенсън	hans	хенсън		PROPN;INDF;MASC;SG
guido	гуидо	guido	гуидо		PROPN;INDF;MASC;SG
nyújtó	предоставяне	nyújtó	предоставяне		N;INDF;NEUT;SG
ügyes	умна	ügyes	умна		ADJ;INDF;FEM;SG
ügyes	умно	ügyes	умно		ADV
ügyes	умен	ügyes	умен		ADJ;INDF;MASC;SG
szegények	бедни	szegény	беден	N;NOM;PL	ADJ;INDF;PL
szegények	беден	szegény	беден	N;NOM;PL	ADJ;INDF;MASC;SG
berkeley	бъркли	berkeley	бъркъм		N;INDF;MASC;SG
hangzott	звучеше	hangzik	звуча	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;IPFV;FIN;ACT
végzetes	смъртоносен	végzetes	смъртоносен		ADJ;INDF;MASC;SG
végzetes	фатална	végzetes	фатален		ADJ;INDF;FEM;SG
végzetes	смъртоносно	végzetes	смъртоносно		ADV
végzetes	фатален	végzetes	фатален		ADJ;INDF;MASC;SG
végzetes	фатално	végzetes	фатален		ADV
email	имейл	email	имейл		N;INDF;MASC;SG
megerősítve	потвърдено	megerősítve	потвърдя	ADV;V.CVB	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
megerősítve	потвърден	megerősítve	потвърдя	ADV;V.CVB	V;PFV;INDF;MASC;SG;V.PTCP;PASS
megerősítve	потвърдена	megerősítve	потвърдя	ADV;V.CVB	V;PFV;INDF;FEM;SG;V.PTCP;PASS
megerősítve	потвърдени	megerősítve	потвърдя	ADV;V.CVB	V;PFV;INDF;PL;V.PTCP;PASS
megerősítve	потвърждение	megerősítve	потвърждение	ADV;V.CVB	N;INDF;NEUT;SG
megerősítve	потвърждавам	megerősítve	потвърждавам	ADV;V.CVB	V;IPFV;IND;SG;1;PRS;FIN;ACT
megerősítve	потвърждаване	megerősítve	потвърждаване	ADV;V.CVB	N;INDF;NEUT;SG
megerősítve	потвърди	megerősítve	потвърдя	ADV;V.CVB	V;PFV;IND;SG;3;PST;FIN;ACT
bűncselekmények	престъпление	bűncselekmény	престъпление	N;NOM;PL	N;INDF;NEUT;SG
bűncselekmények	престъпност	bűncselekmény	престъпност	N;NOM;PL	N;INDF;FEM;SG
bűncselekmények	престъпността	bűncselekmény	престъпност	N;NOM;PL	N;DEF;FEM;SG
zeusz	зевс	zeusz	зевс		N;DEF;MASC;SG
curtis	къртис	curtis	къртис		PROPN;INDF;MASC;SG
lőszer	муниции	lőszer	муниция	N;NOM;SG	N;INDF;FEM;PL
lőszer	боеприпаси	lőszer	боеприпаси	N;NOM;SG	N;INDF
lőszer	амуниции	lőszer	амуниция	N;NOM;SG	N;INDF;FEM;PL
lőszer	муниции	lőszer	муниция	N;NOM;SG	N;INDF;FEM;PL
lőszer	боеприпаси	lőszer	боеприпаси	N;NOM;SG	N;INDF
lőszer	амуниции	lőszer	амуниция	N;NOM;SG	N;INDF;FEM;PL
phillips	филипс	phillips	филипс		PROPN;INDF;MASC;SG
jelentések	докладване	jelentés	докладване	N;NOM;PL	N;INDF;NEUT;SG
jelentések	отчитане	jelentés	отчитане	N;NOM;PL	N;INDF;NEUT;SG
rajzolt	привлечени	rajzolt	привлека	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
rajzolt	дрю	rajzolt	дрю	V;INDF;IND;SG;3;PST;FIN;ACT	PROPN;INDF;MASC;SG
rajzolt	дру	rajzolt	дру	V;INDF;IND;SG;3;PST;FIN;ACT	N;INDF;MASC;SG
grey	сив	grey	сив		PROPN;INDF;MASC;SG
grey	сиво	grey	сиво		ADV
grey	сива	grey	сив		ADJ;INDF;FEM;SG
grey	сиви	grey	сив		ADJ;INDF;PL
grey	грей	grey	грей		PROPN;INDF;MASC;SG
michelangelo	микеланджело	michelangelo	микеланджело		N;INDF;NEUT;SG
forever	завинаги	forever	завинаги		ADV
forever	вечно	forever	вечно		ADV
liu	лиу	liu	лиу		PROPN;INDF;FEM;SG
liu	лю	liu	лю		PROPN;INDF;MASC;SG
osztva	разделена	osztva	разделя-(се)	ADV;V.CVB	V;PFV;INDF;FEM;SG;V.PTCP;PASS
osztva	разделено	osztva	разделя-(се)	ADV;V.CVB	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
osztva	разделени	osztva	разделя-(се)	ADV;V.CVB	V;PFV;INDF;PL;V.PTCP;PASS
osztva	разделен	osztva	разделя-(се)	ADV;V.CVB	V;PFV;INDF;MASC;SG;V.PTCP;PASS
érme	монети	érer	монета	N;NOM;SG	N;INDF;MASC;PL
érme	монети	érer	монета	N;NOM;SG	N;INDF;MASC;PL
érme	монетата	érer	монета	N;NOM;SG	N;DEF;NEUT;PL
antonius	антоний	antonius	антоний		N;INDF;MASC;SG
ötvenes	петдесетте	ötvenes	петдесет	N;NOM;SG	ADJ;DEF;PL
hallott	чух	hall	чуя	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
sajnálom	сори	sajnál	сора	V;DEF;IND;SG;1;PRS;FIN;ACT	INTJ
asztalos	карпентър	asztalos	карпентър		N;INDF;MASC;SG
asztalos	дърводелец	asztalos	дърводелец		N;INDF;MASC;SG
asztalos	дърводелство	asztalos	дърводелство		N;INDF;NEUT;SG
mérési	измерване	mérési	измерване	ADJ;NOM;SG	N;INDF;NEUT;SG
névleges	номинална	névleges	номинален	N;NOM;SG	ADJ;INDF;FEM;SG
névleges	номинална	névleges	номинален	N;NOM;SG	ADJ;INDF;FEM;SG
névleges	номинално	névleges	номинално	N;NOM;SG	ADV
névleges	номинален	névleges	номинален	N;NOM;SG	ADJ;INDF;MASC;SG
szabályzat	правила	szabályzat	правило	N;NOM;SG	N;INDF;NEUT;PL
szabályzat	правилата	szabályzat	правило	N;NOM;SG	N;DEF;NEUT;PL
szabályzat	регламенти	szabályzat	регламент	N;NOM;SG	N;INDF;MASC;PL
szabályzat	разпоредби	szabályzat	разпоредба	N;NOM;SG	N;INDF;FEM;PL
szabályzat	наредби	szabályzat	наредба	N;NOM;SG	N;INDF;FEM;PL
ardennes	ардените	ardennes	арден		N;DEF;MASC;PL
harag	яд	harag	яд	N;NOM;SG	INTJ
morrison	морисън	morrison	морисън		PROPN;INDF;MASC;SG
jogszabály	закон	jogszabály	закон		N;INDF;MASC;SG
jogszabály	законодателство	jogszabály	законодателство		N;INDF;NEUT;SG
mérték	ставка	mér	ставка		N;INDF;FEM;SG
mérték	измерени	mér	измеря		V;PFV;INDF;PL;V.PTCP;PASS
mérték	измерено	mér	измеря		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
mérték	измерен	mér	измеря		V;PFV;INDF;MASC;SG;V.PTCP;PASS
mérték	измерена	mér	измеря		V;PFV;INDF;FEM;SG;V.PTCP;PASS
mérték	мярка	mér	мярка		N;INDF;FEM;SG
romlott	гнило	romlik	гнило	V;INDF;IND;SG;3;PST;FIN;ACT	ADV
romlott	разглезена	romlik	разглеза	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
romlott	развалено	romlik	разваля-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
primitív	примитивни	primitív	примитивен		ADJ;INDF;PL
primitív	примитивна	primitív	примитивен		ADJ;INDF;FEM;SG
primitív	примитивен	primitív	примитивен		ADJ;INDF;MASC;SG
primitív	примитивно	primitív	примитивно		ADV
tengerpart	плажове	tengerpart	плаж	N;NOM;SG	N;INDF;MASC;PL
tengerpart	плажовете	tengerpart	плаж	N;NOM;SG	N;DEF;MASC;PL
műszer	апарати	műszer	апарат	N;NOM;SG	N;INDF;MASC;PL
villeneuve	вилньов	villeneuv	вилньов	N;NOM;SG	PROPN;INDF;MASC;SG
üresen	празно	üres	празен	ADJ;FRML;SG	ADV
üresen	празни	üres	празен	ADJ;FRML;SG	ADJ;INDF;PL
üresen	празно	üres	празен	ADJ;FRML;SG	ADV
szervez	организиране	szervez	организиране	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
izom	мускулите	izom	мускул	N;NOM;SG	N;DEF;MASC;PL
izom	мускули	izom	мускул	N;NOM;SG	N;INDF;MASC;PL
izom	мускулно	izom	мускулно	N;NOM;SG	ADV
izom	мускули	izom	мускул	N;NOM;SG	N;INDF;MASC;PL
bizonyított	доказано	bizonyított	докажа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
bizonyított	доказан	bizonyított	докажа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
bizonyított	доказана	bizonyított	докажа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
bizonyított	доказано	bizonyított	докажа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
bizonyított	доказани	bizonyított	докажа	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
képzési	тренировки	képzési	тренировка	ADJ;NOM;SG	N;INDF;FEM;PL
képzési	обучение	képzési	обучение	ADJ;NOM;SG	N;INDF;NEUT;SG
képzési	тренировка	képzési	тренировка	ADJ;NOM;SG	N;INDF;FEM;SG
ismételt	повторен	ismételt	повторен	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
veszett	бяс	veszett	бяс	V;INDF;IND;SG;3;PST;FIN;ACT	N;INDF;MASC;SG
veszett	бясно	veszett	бясно	V;INDF;IND;SG;3;PST;FIN;ACT	ADV
líbia	либийските	líb	либийски	N;NOM;SG	ADJ;DEF;PL
emlékezett	запомнен	emlékezett	запомня	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
hills	хълмове	hills	хълм		N;INDF;MASC;PL
hills	хилс	hills	хилс		PROPN;INDF;MASC;SG
fedezett	покрито	fedezett	покрия-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fedezett	обхванат	fedezett	обхвана	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;IND;PL;3;PRS;FIN;ACT
fedezett	покрит	fedezett	покрит	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
fedezett	покрити	fedezett	покрия-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
fedezett	покрита	fedezett	покрия-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zsoldos	наемник	zsoldos	наемник		N;INDF;MASC;SG
rossini	росини	rossini	росин		N;INDF;FEM;PL
kiegészítés	допълват	kiegészítés	допълвам	N;NOM;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
égő	горелка	égő	горелка		N;INDF;FEM;SG
égő	горене	égő	горене		N;INDF;NEUT;SG
égő	гори	égő	гора		N;INDF;FEM;PL
égő	парене	égő	парене		N;INDF;NEUT;SG
égő	горяща	égő	горящ		N;INDF;FEM;SG
égő	изгаряне	égő	изгаряне		N;INDF;NEUT;SG
nigel	найджъл	nigel	найджа		PROPN;INDF;MASC;SG
választható	незадължително	választható	незадължително	ADJ;NOM;SG	ADV
választható	незадължителни	választható	незадължителен	ADJ;NOM;SG	ADJ;INDF;PL
közvetett	непряко	közvetett	непряко	V;INDF;IND;SG;3;PST;FIN;ACT	ADV
közvetett	косвени	közvetett	косвен	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;INDF;PL
közvetett	косвено	közvetett	косвено	V;INDF;IND;SG;3;PST;FIN;ACT	ADV
közvetett	непреки	közvetett	непреки	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;INDF;PL
közvetett	косвени	közvetett	косвен	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;INDF;PL
közvetett	косвено	közvetett	косвено	V;INDF;IND;SG;3;PST;FIN;ACT	ADV
sugárzott	излъчени	sugárzott	излъча	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
büszke	горди	büszke	горд		ADJ;INDF;PL
büszke	горда	büszke	горд		ADJ;INDF;FEM;SG
büszke	горд	büszke	горд		ADJ;INDF;MASC;SG
mia	мия	mia	мия		N;INDF;FEM;SG
mia	миа	mia	мил		PROPN;INDF;FEM;SG
dinoszaurusz	динозаври	dinoszaurusz	динозавър	N;NOM;SG	N;INDF;MASC;PL
kambodzsa	камбоджа	kambodzs	камбоджа		N;INDF;FEM;SG
forgács	стърготини	forgács	стърготина		N;INDF;FEM;PL
kifejtett	изразена	kifejtett	изразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
kifejtett	изразено	kifejtett	изразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
kifejtett	изразен	kifejtett	изразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
kifejtett	изразени	kifejtett	изразя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
bristol	бристол	bristol	бристол		N;INDF;MASC;SG
gyümölcsök	плод	gyümölcs	плод	N;NOM;PL	N;INDF;MASC;SG
moss	мос	moss	мос		PROPN;INDF;FEM;SG
moss	мъх	moss	мъх		N;INDF;MASC;SG
énekelni	пей	énekel	пей	V;NFIN;ACT	INTJ
énekelni	пеенето	énekel	пеене	V;NFIN;ACT	N;DEF;NEUT;SG
énekelni	пеене	énekel	пеене	V;NFIN;ACT	N;INDF;NEUT;SG
énekelni	пеейки	énekel	пеейки	V;NFIN;ACT	N;INDF;FEM;PL
anders	андерс	anders	андерс	PROPN;NOM;SG	N;INDF;MASC;SG
téglalap	правоъгълник	téglalap	правоъгълник		N;INDF;MASC;SG
téglalap	правоъгълна	téglalap	правоъгълен		ADJ;INDF;FEM;SG
líra	лири	líra	лира	N;NOM;SG	N;INDF;FEM;PL
olvasott	четете	olvasot	чета	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;IMP;PL;2;FIN
olvasott	прочетете	olvasot	прочета	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;IMP;PL;2;FIN
olvasott	чета	olvasot	чета	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
olvasott	чети	olvasot	чета	V;INDF;IND;SG;3;PST;FIN;ACT	N;INDF;FEM;PL
olvasott	прочети	olvasot	прочета	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;IMP;SG;2;FIN
olvasott	четене	olvasot	четене	V;INDF;IND;SG;3;PST;FIN;ACT	N;INDF;NEUT;SG
bolton	болтън	bolton	болтън		N;INDF;MASC;SG
milton	милтън	milton	милтън		PROPN;INDF;MASC;SG
napokon	дена	nap	ден	N;ON+ESS;PL	N;DEF;MASC;SG
nagyok	голямо	nagy	голям	N;NOM;PL	ADV
nagyok	големи	nagy	голям	N;NOM;PL	ADJ;INDF;PL
nagyok	голям	nagy	голям	N;NOM;PL	ADJ;INDF;MASC;SG
nagyok	голяма	nagy	голям	N;NOM;PL	ADJ;INDF;FEM;SG
nagyok	биг	nagy	биг	N;NOM;PL	N;INDF;MASC;SG
nagyok	голямо	nagy	голям	N;NOM;PL	ADV
nagyok	големи	nagy	голям	N;NOM;PL	ADJ;INDF;PL
nagyok	голям	nagy	голям	N;NOM;PL	ADJ;INDF;MASC;SG
nagyok	голяма	nagy	голям	N;NOM;PL	ADJ;INDF;FEM;SG
zimbabwe	зимбабве	zimbabwe	зимбабве		N;INDF;NEUT;SG
csupasz	голо	csupasz	гол		N;INDF;NEUT;SG
csupasz	голи	csupasz	гол		ADJ;INDF;PL
garcia	гарсия	garcia	гарсия		PROPN;INDF;FEM;SG
repül	полети	repül	полет	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;PL
repül	летене	repül	летене	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
repül	летящи	repül	летящ	V;INDF;IND;SG;3;PRS;FIN;ACT	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
sullivan	съливан	sullivan	съливам		PROPN;INDF;MASC;SG
airways	airways	airways	airways	N;NOM;SG	PROPN;INDF;MASC;SG
érzelmek	емоция	érzelem	емоция	N;NOM;PL	N;INDF;FEM;SG
érzelmek	емоцията	érzelem	емоция	N;NOM;PL	N;DEF;FEM;SG
érzelmek	чуства	érzelem	чуствам	N;NOM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
galaxy	галактика	galaxy	галактика		N;INDF;FEM;SG
galaxy	галактиката	galaxy	галактика		N;DEF;FEM;SG
jung	юнг	jung	юнг		PROPN;INDF;FEM;SG
kívánok	пожелание	kíván	пожелание	V;INDF;IND;SG;1;PRS;FIN;ACT	N;INDF;NEUT;SG
kívánok	желаещи	kíván	желая	V;INDF;IND;SG;1;PRS;FIN;ACT	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
sandra	сандра	sand	сандра		PROPN;INDF;FEM;SG
sebész	хирурзи	sebész	хирурз	N;NOM;SG	N;INDF;MASC;PL
sebész	хирурзите	sebész	хирурз	N;NOM;SG	N;DEF;MASC;PL
nyilatkozat	показания	nyilatkozat	показание	N;NOM;SG	N;INDF;NEUT;PL
málna	малини	mál	малина	N;NOM;SG	N;INDF;FEM;PL
málna	малина	mál	малина	N;NOM;SG	PROPN;INDF;FEM;SG
málna	малини	mál	малина	N;NOM;SG	N;INDF;FEM;PL
málna	малинов	mál	малинов	N;NOM;SG	PROPN;INDF;MASC;SG
övé	нейната	övé	мой	V;DEF;IND;SG;3;PRS;FIN;ACT	DET;DEF;FEM;SG;3
övé	неин	övé	неин	V;DEF;IND;SG;3;PRS;FIN;ACT	DET;INDF;MASC;SG;3
övé	нейните	övé	мой	V;DEF;IND;SG;3;PRS;FIN;ACT	DET;DEF;PL;3
övé	нейният	övé	мой	V;DEF;IND;SG;3;PRS;FIN;ACT	DET;DEF;MASC;SG;3
övé	нейна	övé	мой	V;DEF;IND;SG;3;PRS;FIN;ACT	DET;INDF;FEM;SG;3
övé	нейни	övé	мой	V;DEF;IND;SG;3;PRS;FIN;ACT	DET;INDF;PL;3
regina	реджина	regina	реджина		N;INDF;FEM;SG
simone	симон	simone	симон		PROPN;INDF;MASC;SG
simone	симона	simone	симон		N;INDF;FEM;SG
gyermekkori	детство	gyermekkori	детство		N;INDF;NEUT;SG
gyermekkori	детството	gyermekkori	детство		N;DEF;NEUT;SG
richards	ричардс	richards	ричардс		PROPN;INDF;MASC;SG
marion	мериън	marion	мериън		N;INDF;MASC;SG
marion	марион	marion	марион		PROPN;INDF;MASC;SG
tizennyolc	eighteen	tizennyolc	eighteen		PROPN;INDF;MASC;SG
tizennyolc	осемнадесет	tizennyolc	осемнадесет		NUM;INDF;PL
lev	лев	lev	лев		N;INDF;MASC;SG
christina	кристина	christina	кристина		N;INDF;FEM;SG
helmut	хелмут	helmut	хелмут		PROPN;INDF;MASC;SG
nathan	нейтън	nat	нейтън		N;INDF;MASC;SG
nero	неро	nero	аз		PROPN;INDF;MASC;SG
nero	нерон	nero	нерон		PROPN;INDF;MASC;SG
nero	ниро	nero	нирой		PROPN;INDF;MASC;SG
fenntartott	запазено	fenntartott	запазя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
fenntartott	запазен	fenntartott	запазя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
fenntartott	запазена	fenntartott	запазя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fenntartott	запазени	fenntartott	запазя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
museo	museo	museo	museo		PROPN;INDF;MASC;SG
toledo	толедо	toledo	толедо		N;INDF;MASC;SG
petri	петри	petri	петри		PROPN;INDF;MASC;SG
operatív	оперативно	operatív	оперативно	ADJ;NOM;SG	ADV
