年	évi	年	évi	N	
大	katedrális	大	katedrális	PART	N;NOM;SG
鰓	gill	鰓	gill	N	
暴露	kitett	暴露	kitett		V;INDF;IND;SG;3;PST;FIN;ACT
暴露	expozíciós	暴露	expozíciós		N;NOM;SG
暴露	kitettség	暴露	kitettség		N;NOM;SG
暴露	expozíció	暴露	expozíció		N;NOM;SG
培養	nevelés	培養	nevelés	V	N;NOM;SG
培養	gondoskodás	培養	gondoskodás	V	N;NOM;SG
消費	fogyasztó	消費	fogyasztó	V	
消費	fogyasztói	消費	fogyasztói	V	N;NOM;SG
消費	fogyasztók	消費	fogyasztó	V	N;NOM;PL
消費	fogyasztók	消費	fogyasztó	V	N;NOM;PL
雲端	cloud	雲端	cloud	N	
時刻	pillanatok	時刻	pillanat	N	
追蹤	pálya	追蹤	pálya	V	N;NOM;SG
追蹤	vágány	追蹤	vágány	V	N;NOM;SG
追蹤	nyomon	追蹤	nyomon	V	
追蹤	nyomkövető	追蹤	nyomkövető	V	
追蹤	követés	追蹤	követés	V	N;NOM;SG
搞笑	vicces	搞笑	vicces	N	
搞笑	fergeteges	搞笑	fergeteges	N	
搞笑	vicces	搞笑	vicces	N	
三	trilógia	三	trilógia	NUM	N;NOM;SG
村落	falusi	村落	falusi	N	ADJ;NOM;SG
發言	szóvivője	發言	szóvivő	V	N;NOM;SG
發言	szóvivője	發言	szóvivő	V	N;NOM;SG
音樂	zenei	音樂	zenei	N	ADJ;NOM;SG
六	hat	六	hat	NUM	
標籤	címke	標籤	cím	N	
標籤	címkék	標籤	címkék	N	
標籤	címke	標籤	cím	N	
標籤	megjelölés	標籤	megjelölés	N	
標籤	címkék	標籤	címkék	N	
標籤	címke	標籤	cím	N	
放大	zoom	放大	zoom	V	N;NOM;SG
失望	kiábrándító	失望	kiábrándító	N	ADJ;NOM;SG
失望	csalódott	失望	csalódik	N	V;INDF;IND;SG;3;PST;FIN;ACT
瑾	jane	瑾	jane	PROPN	
雅克	jacques	雅克	jacques	PROPN	
安迪	andy	安迪	andy	PROPN	
辦公	hivatal	辦公	hivatal	V	N;NOM;SG
辦公	iroda	辦公	iroda	V	N;NOM;SG
屬性	tulajdon	屬性	tulajdon	N	
種植	telepítési	種植	telepítési	V	N;NOM;SG
豐田	toyota	豐田	toyota	PROPN	N;NOM;SG
名譽	megtiszteltetés	名譽	megtiszteltetés	N	
名譽	megtiszteltetés	名譽	megtiszteltetés	N	
特點	jellemző	特點	jellemző	N	ADJ;NOM;SG
特點	jellegzetes	特點	jellegzetes	N	
品種	fajta	品種	fajta	N	
瑪莉	mary	瑪莉	mary	PROPN	
瑪莉	mária	瑪莉	mária	PROPN	
霜	frost	霜	frost	N	
紫色	lila	紫色	lila	N	
紫色	bíbor	紫色	bíbor	N	
電流	jelenlegi	電流	jelenlegi	N	
電流	aktuális	電流	aktuális	N	ADJ;NOM;SG
特快	express	特快	express	N	
國外	tengerentúli	國外	tengerentúli	N	ADJ;NOM;SG
國外	külföldön	國外	külföld	N	
中西	középnyugati	中西	középnyugati	N	
歌劇	opera	歌劇	opera	N	
冬天	téli	冬天	téli	N	
冬天	télen	冬天	tél	N	
紀元	epoch	紀元	epoch	N	
幸運	szerencse	幸運	szerencse	N	
幸運	szerencsés	幸運	szerencsés	N	
里斯本	lisszabon	里斯本	lisszú	PROPN	N;NOM;SG
里斯本	lisszaboni	里斯本	lisszabonik	PROPN	V;NFIN;ACT
里斯本	lisbon	里斯本	lisbon	PROPN	
霍爾	terem	霍爾	terem	PROPN	N;NOM;SG
霍爾	hall	霍爾	hall	PROPN	
霍爾	csarnok	霍爾	csarnok	PROPN	N;NOM;SG
幹部	káder	幹部	káder	N	
拓展	terjeszkedés	拓展	terjeszkedés	V	N;NOM;SG
拓展	bővítés	拓展	bővítés	V	N;NOM;SG
三	szint	三	szint	NUM	N;NOM;SG
三	szintű	三	szintű	NUM	
魔鬼	ördög	魔鬼	ördög	N	
獎勵	prémium	獎勵	prémium	N	
獎勵	bónusz	獎勵	bónusz	N	
國防	védelmi	國防	védelmi	N	
國防	védelmi	國防	védelmi	N	
容許	megengedhető	容許	megengedhető	ADP	ADJ;NOM;SG
容許	megengedett	容許	megengedett	ADP	V;INDF;IND;SG;3;PST;FIN;ACT
容許	lehetővé	容許	lehető	ADP	ADJ;TRANS;SG
背後	mögötte	背後	mögöt	N	
背後	mögött	背後	mögött	N	ADP
培育	gondoskodás	培育	gondoskodás	V	N;NOM;SG
培育	tenyésztés	培育	tenyésztés	V	N;NOM;SG
培育	tenyésztési	培育	tenyésztési	V	ADJ;NOM;SG
培育	nevelés	培育	nevelés	V	N;NOM;SG
物流	logisztikai	物流	logisztikai	N	ADJ;NOM;SG
招募	felvételi	招募	felvételi	V	ADJ;NOM;SG
招募	toborzó	招募	toborzó	V	ADJ;NOM;SG
招募	újonc	招募	újonc	V	
對	leszámolás	對	leszámolás	ADP	N;NOM;SG
禽	baromfi	禽	baromfi	N	
禽	szárnyas	禽	szárnyas	N	
河內	hanoi	河內	hanoi	PROPN	
裝飾	deco	裝飾	deco	N	
術語	távú	術語	távú	N	
接待	fogadás	接待	fogadás	V	N;NOM;SG
接待	recepció	接待	recepció	V	
接待	befogadás	接待	befogadás	V	N;NOM;SG
接待	vétel	接待	vétel	V	N;NOM;SG
梅花	klubok	梅花	klub	PROPN	N;NOM;PL
梅花	szilva	梅花	szilva	PROPN	N;NOM;SG
明日	holnap	明日	holnap	N	
王牌	ász	王牌	ász	N	
王牌	ász	王牌	ász	N	
王牌	ace	王牌	ace	N	
爪哇	java	爪哇	java	PROPN	
縮短	rövidebb	縮短	rövid	V	ADJ;NOM;CMPR;SG
縮短	lerövidítése	縮短	lerövidítés	V	N;NOM;SG
上限	cap	上限	cap	N	
上限	korlátozás	上限	korlátozás	N	
上限	limit	上限	limi	N	
星期	kedd	星期	kedd	N	
研究	kutató	研究	kutató	V	N;NOM;SG
研究	kutatói	研究	kutató	V	N;NOM;PL
研究	kutatói	研究	kutató	V	N;NOM;PL
研究	kutatók	研究	kutató	V	N;NOM;PL
指標	mutató	指標	mutató	N	
商務	kereskedelmi	商務	kereskedelmi	N	ADJ;NOM;SG
商務	biz	商務	biz	N	
議長	felszólaló	議長	felszólaló	N	ADJ;NOM;SG
使徒	apostol	使徒	apos	N	
聖母	madonna	聖母	madonna	PROPN	
巴拉圭	paraguay	巴拉圭	paraguay	PROPN	
過往	elmúlt	過往	elmúlt	N	V;INDF;IND;SG;3;PST;FIN;ACT
過往	múltbeli	過往	múltbeli	N	ADJ;NOM;SG
教導	tanítások	教導	tanítás	V	N;NOM;PL
可	cuki	可	cuki	V	
可	aranyos	可	aranyos	V	
可	bájos	可	bájos	V	
可	kedves	可	kedves	V	
可	cuki	可	cuki	V	
兔子	nyuszi	兔子	nyuszi	N	
兔子	bunny	兔子	bunny	N	
兔子	nyúl	兔子	nyúl	N	
兔子	nyuszi	兔子	nyuszi	N	
超新	szupernóva	超新	szupernóva	ADJ	N;NOM;SG
大	ofc	大	ofc	ADJ	N;NOM;PL
大	óceánia	大	óceánia	ADJ	V;SG;3;NFIN;ACT
封建	feudális	封建	feudális	N	ADJ;NOM;SG
較	kisebbet	較	kis	ADV	N;ACC;SG
較	kisebbek	較	kis	ADV	PRO;NOM;PL;3
較	kisebb	較	kis	ADV	ADJ;NOM;CMPR;SG
丈	joe	丈	joe	N	
蝙蝠	bat	蝙蝠	bat	PROPN	
蝙蝠	ütő	蝙蝠	ütő	PROPN	N;NOM;SG
蝙蝠	denevér	蝙蝠	denevér	PROPN	
褐	brown	褐	brown	N	
褐	barna	褐	bar	N	
綾	aya	綾	aya	PROPN	
牡丹	bazsarózsa	牡丹	bazsarózsa	PROPN	
索引	index	索引	index	N	
索引	mutató	索引	mutató	N	
華麗	glam	華麗	glam	N	
華麗	gyönyörű	華麗	gyönyörű	N	
木材	fa	木材	fa	N	
木材	wood	木材	wood	N	
木材	erdő	木材	erdő	N	
唱歌	énekelni	唱歌	énekel	N	V;NFIN;ACT
唱歌	énekelj	唱歌	énekel	N	V;DEF;IND;SG;1;PRS;FIN;ACT
唱歌	énekel	唱歌	én	N	V;INDF;IND;SG;3;PRS;FIN;ACT
唱歌	énekelni	唱歌	énekel	N	V;NFIN;ACT
唱歌	énekel	唱歌	én	N	V;INDF;IND;SG;3;PRS;FIN;ACT
正	formális	正	formális	ADV	
放射	sugárzás	放射	sugárzás	V	N;NOM;SG
放射	radiológiai	放射	radiológiai	V	N;NOM;SG
放射	radioaktivitás	放射	radioaktivitás	V	N;NOM;SG
放射	radioaktív	放射	radioaktív	V	N;NOM;SG
候選	tagjelölt	候選	tagjelölt	V	N;NOM;SG
候選	pályázó	候選	pályázó	V	ADJ;NOM;SG
候選	jelölt	候選	jelöl	V	
埋	eltemetni	埋	eltemet		V;NFIN;ACT
埋	eltemetve	埋	eltemetve		N;NOM;SG
零	alkatrész	零	alkatrész	NUM	N;NOM;SG
零	alkatrészek	零	alkatrész	NUM	N;NOM;PL
零	részek	零	rész	NUM	N;NOM;PL
抽象	elvont	抽象	elvont	N	
魔術	trick	魔術	trick	N	
魔術	magic	魔術	magic	N	
週	hétfő	週	hétfő	N	
流動	flow	流動	flow	N	
中斷	megszakítás	中斷	megszakítás	V	
中斷	szünet	中斷	szünet	V	N;NOM;SG
中斷	törés	中斷	törés	V	N;NOM;SG
連線	kapcsolódás	連線	kapcsolódás	V	N;NOM;SG
連線	kapcsolatot	連線	kapcsolat	V	N;ACC;SG
奇蹟	csoda	奇蹟	csoda	N	
煮	cook	煮	cook	V	
煮	szakács	煮	szakács	V	N;NOM;SG
煮	főzés	煮	főzés	V	N;NOM;SG
煮	főzés	煮	főzés	V	N;NOM;SG
專屬	zártkörű	專屬	zártkörű	N	ADJ;NOM;SG
專屬	exkluzív	專屬	exkluzív	N	
專屬	kizárólagos	專屬	kizárólagos	N	ADJ;NOM;SG
土著	bennszülött	土著	bennszülött	N	
土著	őshonos	土著	őshonos	N	
土著	belföldi	土著	belföldi	N	
土著	őslakos	土著	őslakos	N	
進化	evolúció	進化	evolúció	V	N;NOM;SG
進化	fejlődés	進化	fejlődés	V	N;NOM;SG
進化	evolúció	進化	evolúció	V	N;NOM;SG
進化	evolúciós	進化	evolúciós	V	ADJ;NOM;SG
聖誕	karácsonykor	聖誕	karácsonykor	PROPN	
聖誕	karácsonyi	聖誕	karácsonyi	PROPN	N;NOM;SG
聖誕	karácsony	聖誕	karácsony	PROPN	N;NOM;SG
明亮	fényes	明亮	fényes	N	
幼稚	óvodás	幼稚	óvodás	ADJ	N;NOM;SG
幼稚	óvoda	幼稚	óvoda	ADJ	N;NOM;SG
幼稚	óvodában	幼稚	óvoda	ADJ	N;IN+ESS;SG
巡航	cruise	巡航	cruise	N	
巧克	csoki	巧克	csoki	PROPN	N;NOM;SG
巧克	csokoládé	巧克	csokoládé	PROPN	N;NOM;SG
熊本	kumamoto	熊本	kumamoto	PROPN	
將來	jövőbeli	將來	jövőbeli	N	ADJ;NOM;SG
將來	jövő	將來	jövő	N	ADJ;NOM;SG
無敵	legyőzhetetlen	無敵	legyőzhetetlen	N	
無敵	verhetetlen	無敵	verhetetlen	N	ADJ;NOM;SG
無敵	legyőzhetetlen	無敵	legyőzhetetlen	N	
雷諾	reno	雷諾	reno	PROPN	
瞳	hitomi	瞳	hitomi	N	
講	előadások	講	előadás	V	N;NOM;PL
講	előadás	講	előadás	V	N;NOM;SG
照明	világító	照明	világító	N	ADJ;NOM;SG
外籍	külföldi	外籍	külföldi	N	ADJ;NOM;SG
外籍	kül	外籍	kül	N	
海地	haiti	海地	haiti	PROPN	N;NOM;SG
查詢	érdeklődni	查詢	érdeklődik	N	V;NFIN;ACT
染色	elszíneződés	染色	elszíneződés	V	N;NOM;SG
染色	folt	染色	folt	V	N;NOM;SG
染色	festve	染色	festve	V	N;NOM;SG
染色	festék	染色	festék	V	N;NOM;SG
派	frakció	派	frakció	V;CAUS	N;NOM;SG
孤立	elszigeteltség	孤立	elszigeteltség	V	N;NOM;SG
售出	eladva	售出	eladva	V	ADV;V.CVB
危害	bántani	危害	bánt	N	V;NFIN;ACT
危害	veszélyességi	危害	veszélyességi	N	ADJ;NOM;SG
憤怒	düh	憤怒	düh	ADJ	N;NOM;SG
憤怒	harag	憤怒	harag	ADJ	N;NOM;SG
憤怒	dühöt	憤怒	düh	ADJ	N;ACC;SG
憤怒	haragot	憤怒	harag	ADJ	N;ACC;SG
憤怒	dühös	憤怒	dühös	ADJ	
憤怒	mérges	憤怒	mérges	ADJ	
憤怒	düh	憤怒	düh	ADJ	N;NOM;SG
憤怒	harag	憤怒	harag	ADJ	N;NOM;SG
旗幟	banner	旗幟	banner	N	PROPN;NOM;SG
旗幟	megjelölés	旗幟	megjelölés	N	
旗幟	lobogó	旗幟	lobogó	N	
間	közvetetten	間	közvetett	N	ADJ;FRML;SG
間	közvetett	間	közvetett	N	V;INDF;IND;SG;3;PST;FIN;ACT
間	közvetve	間	közvetve	N	ADV;V.CVB
間	közvetetten	間	közvetett	N	ADJ;FRML;SG
間	közvetve	間	közvetve	N	ADV;V.CVB
負面	negatív	負面	negatív	N	
適應	alkalmazkodás	適應	alkalmazkodás	V	N;NOM;SG
適應	kiigazítás	適應	kiigazítás	V	N;NOM;SG
適應	alkalmazkodási	適應	alkalmazkodási	V	ADJ;NOM;SG
適應	alkalmazkodás	適應	alkalmazkodás	V	N;NOM;SG
適應	alkalmazkodás	適應	alkalmazkodás	V	N;NOM;SG
關心	gondoskodó	關心	gondoskodó	N	ADJ;NOM;SG
關心	érdekel	關心	érdekel	N	V;INDF;IND;SG;3;PRS;FIN;ACT
早晨	reggel	早晨	reggel	N	
訴訟	peres	訴訟	peres	N	
現代	modern	現代	modern	N	
現代	korszerű	現代	korszerű	N	
累計	kumulatív	累計	kumulatív	V	N;NOM;SG
堪薩斯	kansasi	堪薩斯	kansasi	PROPN	
堪薩斯	kansas	堪薩斯	kansas	PROPN	
樺	birch	樺	birch	PROPN	
相互	kölcsönhatás	相互	kölcsönhatás	ADJ	N;NOM;SG
相互	kölcsönhatások	相互	kölcsönhatás	ADJ	N;NOM;PL
相互	kölcsönhatás	相互	kölcsönhatás	ADJ	N;NOM;SG
船舶	hajón	船舶	hajó	N	
漢堡	burger	漢堡	burger	N	
嬰兒	bébi	嬰兒	bébi	N	
毀滅	elpusztítani	毀滅	elpusztít	N	V;NFIN;ACT
客棧	fogadó	客棧	fogadó	N	
客棧	inn	客棧	inn	N	
客棧	hostel	客棧	hostel	N	
讀書	olvasok	讀書	olvas	N	V;INDF;IND;SG;1;PRS;FIN;ACT
讀書	olvasni	讀書	olvas	N	V;NFIN;ACT
勇敢	bátor	勇敢	bátor	N	
中西	középnyugati	中西	középnyugati	N	
選票	szavazat	選票	szavazat	N	
週末	hétvégi	週末	hétvégi	N	ADJ;NOM;SG
時常	gyakran	時常	gyakran	ADV	
中興	zte	中興	zte	PROPN	N;NOM;SG
赫爾	burkolat	赫爾	burkolat	PROPN	N;NOM;SG
赫爾	hull	赫爾	hull	PROPN	V;INDF;IND;SG;3;PRS;FIN;ACT
赫爾	hajótest	赫爾	hajótes	PROPN	N;NOM;SG
水庫	víztározó	水庫	víztározó	N	ADJ;NOM;SG
隨機	random	隨機	random	ADJ	
隨機	véletlen	隨機	véletlen	ADJ	
拉夫	luv	拉夫	luv	PROPN	
新興	feltörekvő	新興	feltörekvő	N	ADJ;NOM;SG
投訴	panaszokat	投訴	panasz	V	N;ACC;PL
投訴	panasz	投訴	panasz	V	N;NOM;SG
投訴	panaszok	投訴	panasz	V	N;NOM;PL
投訴	panaszt	投訴	panaszt	V	N;ACC;SG
投訴	panasza	投訴	panasz	V	N;NOM;SG
投訴	panasz	投訴	panasz	V	N;NOM;SG
上田	ueda	上田	ueda	PROPN	PROPN;NOM;SG
博覽	exposition	博覽	exposition	V	N;NOM;SG
博覽	expo	博覽	expo	V	
準確	pontos	準確	pontos	N	
山頂	csúcs	山頂	csúcs	N	
製造	gyártói	製造	gyártói	V	N;NOM;PL
製造	gyártók	製造	gyártó	V	N;NOM;PL
製造	gyártó	製造	gyártó	V	ADJ;NOM;SG
陸地	földi	陸地	föld	N	
陸地	szárazföldi	陸地	szárazföldi	N	
海德堡	heidelberg	海德堡	heidelberg	PROPN	N;NOM;SG
提早	korán	提早	korán	V	
提早	korai	提早	korai	V	
會	számviteli	會	számviteli	V	ADJ;NOM;SG
會	könyvelés	會	könyvelés	V	N;NOM;SG
會	elszámolás	會	elszámolás	V	N;NOM;SG
會	könyvelő	會	könyvelő	V	N;NOM;SG
派	party	派	party	V;CAUS	
派	buli	派	buli	V;CAUS	N;NOM;SG
派	parti	派	parti	V;CAUS	ADJ;NOM;SG
包裝	wrap	包裝	wrap	N	
煙	cigaretta	煙	cigaret	N	V;INDF;IND;SG;3;PST;FIN;ACT
煙	cigaretta	煙	cigaret	N	V;INDF;IND;SG;3;PST;FIN;ACT
鑽	drill	鑽	drill	N	
想像	fantázia	想像	fantázia	N	
傳輸	átviteli	傳輸	átviteli	N	ADJ;NOM;SG
樹林	erdő	樹林	erdő	N	
節奏	tempó	節奏	tempó	N	
醉	részeges	醉	részeges	N	ADJ;NOM;SG
醉	részeg	醉	részeg	N	
醉	ittas	醉	ittas	N	
醉	részegen	醉	részeg	N	
醉	részeg	醉	részeg	N	
多	multimédiás	多	multimédiás	NUM	N;NOM;SG
中毒	mérgezés	中毒	mérgezés	V	N;NOM;SG
瞬間	pillanatok	瞬間	pillanat	N	
瞬間	azonnal	瞬間	azonnal	N	
瞬間	instant	瞬間	instant	N	
瞬間	azonnali	瞬間	azonnali	N	
阿曼	aman	阿曼	aman	PROPN	
阿曼	amman	阿曼	amman	PROPN	
郵政	posta	郵政	posta	N	
郵政	post	郵政	post	N	
秋田	akita	秋田	akita	PROPN	
繪製	sorsolás	繪製	sorsolás	V	N;NOM;SG
繪製	döntetlen	繪製	döntetlen	V	N;NOM;SG
偵測	kimutatás	偵測	kimutatás	V	N;NOM;SG
籌備	előkészületek	籌備	előkészület	V	N;NOM;PL
籌備	elkészítése	籌備	elkészítés	V	N;NOM;SG
籌備	előkészítés	籌備	előkészítés	V	N;NOM;SG
籌備	felkészülés	籌備	felkészülés	V	N;NOM;SG
籌備	készítmény	籌備	készítmény	V	N;NOM;SG
籌備	előkészületek	籌備	előkészület	V	N;NOM;PL
籌備	felkészülés	籌備	felkészülés	V	N;NOM;SG
籌備	készítmények	籌備	készítmény	V	N;NOM;PL
新	menyasszony	新	menyasszony	PART	N;NOM;SG
麻煩	gond	麻煩	gond	N	
麻煩	baj	麻煩	baj	N	
疏散	evakuálás	疏散	evakuálás	V	
縱	hosszanti	縱	hosszúant		ADJ;NOM;SG
縱	hosszirányú	縱	hosszirányú		N;NOM;SG
隼	sólyom	隼	sólyom	PROPN	
化身	megtestesülés	化身	megtestesülés	V	N;NOM;SG
化身	avatár	化身	avatár	V	N;NOM;SG
欣賞	értékelni	欣賞	értékel	N	V;NFIN;ACT
欣賞	csodálom	欣賞	csodál	N	V;DEF;IND;SG;1;PRS;FIN;ACT
出版	kiadványok	出版	kiadvány	V	N;NOM;PL
出版	kiadvány	出版	kiadvány	V	N;NOM;SG
出版	közzététel	出版	közzététel	V	N;NOM;SG
表彰	megjelenítés	表彰	megjelenítés	V	N;NOM;SG
表彰	elismerés	表彰	elismerés	V	N;NOM;SG
表彰	felismerés	表彰	felismerés	V	N;NOM;SG
鼓手	dobos	鼓手	dobos	N	
安哥拉	angola	安哥拉	angola	PROPN	PROPN;NOM;SG
抵制	ellenálló	抵制	ellenálló	V	
抵制	rezisztencia	抵制	rezisztencia	V	N;NOM;SG
抵制	ellenállás	抵制	ellenállás	V	N;NOM;SG
抵制	bojkott	抵制	bojkott	V	
容器	tároló	容器	tároló	N	ADJ;NOM;SG
芙蓉	flo	芙蓉	flo	N	
哺乳	szoptató	哺乳	szoptató	N	
哺乳	ápoló	哺乳	ápoló	N	ADJ;NOM;SG
目	rendeltetési	目	rendeltetési	N	ADJ;NOM;SG
目	rendeltetési	目	rendeltetési	N	ADJ;NOM;SG
滑冰	korcsolyázni	滑冰	korcsolyáz	N	V;NFIN;ACT
滑冰	korcsolyázni	滑冰	korcsolyáz	N	V;NFIN;ACT
大島	oshima	大島	oshima	N	
和	megbékélés	和	megbékélés	ADP	N;NOM;SG
和	egyeztetés	和	egyeztetés	ADP	
白俄羅斯	fehéroroszország	白俄羅斯	fehéroroszország	PROPN	N;NOM;SG
白俄羅斯	belarusz	白俄羅斯	belarusz	PROPN	
底下	alul	底下	alul	N	
底下	alsó	底下	alsó	N	
成份	hozzávaló	成份	hozzávaló	N	
入學	felvételi	入學	felvételi	V	ADJ;NOM;SG
詹姆士	james	詹姆士	james	PROPN	
詹姆士	jakab	詹姆士	ja	PROPN	
詢問	lekérdezések	詢問	lekérdezés	V	N;NOM;PL
詢問	lekérdezés	詢問	lekérdezés	V	N;NOM;SG
詢問	vizsgálatok	詢問	vizsgálat	V	N;NOM;PL
別名	alias	別名	alias	N	
釣魚	halászati	釣魚	halászati	N	ADJ;NOM;SG
削弱	legyengült	削弱	legyengült	V	
披露	közzététel	披露	közzététel	V	N;NOM;SG
識別	azonosítás	識別	azonosítás	V	N;NOM;SG
識別	azonosító	識別	azonosító	V	ADJ;NOM;SG
自行	kerékpár	自行	kerékpár	V	N;NOM;SG
自行	kerékpározás	自行	kerékpározás	V	N;NOM;SG
自行	bicikli	自行	bicikli	V	N;NOM;SG
自行	biciklivel	自行	biciklivel	V	
自行	kerékpár	自行	kerékpár	V	N;NOM;SG
自行	motor	自行	motor	V	N;NOM;SG
自行	bicikli	自行	bicikli	V	N;NOM;SG
自行	kerékpár	自行	kerékpár	V	N;NOM;SG
巡演	touring	巡演	touring	V	
細節	részletes	細節	részletes	N	ADJ;NOM;SG
滑雪	sí	滑雪	sí	N	
滑雪	síelni	滑雪	síel	N	V;NFIN;ACT
常數	állandó	常數	állandó	N	
常數	folyamatos	常數	folyamatos	N	
摩托	moto	摩托	moto	N	
家用	hazai	家用	hazai	N	ADJ;NOM;SG
家用	belföldi	家用	belföldi	N	
罪犯	elkövető	罪犯	elkövető	N	
富裕	gazdagok	富裕	gazdag	ADJ	N;NOM;PL
協商	konzultációk	協商	konzultáció	V	N;NOM;PL
協商	konzultáció	協商	konzultáció	V	N;NOM;SG
協商	egyeztetés	協商	egyeztetés	V	
協商	konzultációk	協商	konzultáció	V	N;NOM;PL
協商	konzultáció	協商	konzultáció	V	N;NOM;SG
操縱	manipuláció	操縱	manipuláció	V	N;NOM;SG
非	informálisan	非	informális	PROPN	ADJ;FRML;SG
蛾	moly	蛾	moly	N	
困	álmos	困	álmos	V	
不當	helytelen	不當	helytelen	V	
瀏覽	böngészők	瀏覽	böngésző	V	N;NOM;PL
瀏覽	böngésző	瀏覽	böngésző	V	N;NOM;SG
不丹	bhután	不丹	bhuta	PROPN	PROPN;NOM;SG
沙皇	cár	沙皇	cár	N	
帥	jóképű	帥	jóképű	N	
罐	jar	罐	jar	N	
流放	száműzetés	流放	száműzetés	V	N;NOM;SG
流放	száműzetés	流放	száműzetés	V	N;NOM;SG
農場	farm	農場	farm	N	
寶石	jewel	寶石	jewel	N	
寶石	gem	寶石	gem	N	
拿破崙	napóleon	拿破崙	napóleon	PROPN	
拿破崙	napoleon	拿破崙	napoleon	PROPN	
存活	túlélés	存活	túlélés	V	N;NOM;SG
宣誓	eskü	宣誓	eskü	V	N;NOM;SG
白堊	kréta	白堊	kréta	PROPN	
丹尼爾	dániel	丹尼爾	dániel	PROPN	
丹尼爾	daniel	丹尼爾	daniel	PROPN	
咬	harapás	咬	harapás	V	N;NOM;SG
火炬	fáklya	火炬	fákly	PROPN	N;NOM;SG
低	bass	低	bass	PART	
低	basszus	低	basszus	PART	N;NOM;SG
八卦	pletyka	八卦	pletyka	PROPN	
八卦	pletykák	八卦	pletyka	PROPN	N;NOM;PL
勸	meggyőzés	勸	meggyőzés	V	N;NOM;SG
車道	lane	車道	lane	N	
跳水	búvárkodás	跳水	búvárkodás	V	N;NOM;SG
跳水	búvár	跳水	búvár	V	N;NOM;SG
跳水	merülés	跳水	merülés	V	N;NOM;SG
跳水	merülés	跳水	merülés	V	N;NOM;SG
格鬥	harcol	格鬥	harcol	N	V;INDF;IND;SG;3;PRS;FIN;ACT
格鬥	harcolni	格鬥	harcol	N	V;NFIN;ACT
巨型	óriás	巨型	óriás	N	
增援	erősítés	增援	erősítés	V	N;NOM;SG
增援	erősítést	增援	erősítés	V	N;ACC;SG
增援	utánpótlás	增援	utánpótlás	V	N;NOM;SG
增援	megerősítés	增援	megerősítés	V	N;NOM;SG
和	monk	和	monk	ADP	N;NOM;SG
和	szerzetes	和	szerzetes	ADP	N;NOM;SG
和	szerzetesek	和	szerzetes	ADP	N;NOM;PL
罕見	ritka	罕見	ritka	N	
約瑟夫	joseph	約瑟夫	joseph	PROPN	
約瑟夫	józsef	約瑟夫	józsef	PROPN	
西門	simon	西門	simon	PROPN	
長江	jangce	長江	jangce	PROPN	N;NOM;SG
討厭	gyűlölet	討厭	gyűlölet	V	N;NOM;SG
剩餘	maradék	剩餘	maradék	N	
剩餘	megmaradt	剩餘	meg+marad	N	V;INDF;IND;SG;3;PST;FIN;ACT
剩餘	megmaradó	剩餘	megmaradó	N	
剩餘	fennmaradó	剩餘	fennmaradó	N	
剩餘	többlet	剩餘	többlet	N	
夜晚	éj	夜晚	éj	N	
夜晚	este	夜晚	este	N	ADV
夜晚	éjjel	夜晚	éjjel	N	
轉型	átállás	轉型	átállás	V	N;NOM;SG
轉型	átmenet	轉型	átmenet	V	
轉型	áttérés	轉型	áttérés	V	N;NOM;SG
轉型	átmeneti	轉型	átmeneti	V	
轉型	átalakulás	轉型	átalakulás	V	N;NOM;SG
轉型	átalakítás	轉型	átalakítás	V	N;NOM;SG
負擔	terhek	負擔	teher	V	N;NOM;PL
負擔	terhek	負擔	teher	V	N;NOM;PL
負擔	teher	負擔	teher	V	N;NOM;SG
負擔	terhet	負擔	terh	V	N;ACC;SG
信託	bízik	信託	bízik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
關	megfelelési	關	megfelelési	PROPN	ADJ;NOM;SG
不便	kellemetlenség	不便	kellemetlenség	V	N;NOM;SG
桌面	asztali	桌面	asztali	N	
歧視	diszkrimináció	歧視	diszkrimináció	V	N;NOM;SG
歧視	megkülönböztetés	歧視	megkülönböztetés	V	N;NOM;SG
歧視	megkülönböztető	歧視	megkülönböztető	V	
歧視	diszkriminatív	歧視	diszkriminatív	V	N;NOM;SG
芽	bud	芽	bud	N	
跳舞	dance	跳舞	dance	N	
跳舞	táncolj	跳舞	táncol	N	V;DEF;IND;SG;3;PRS;FIN;ACT
跳舞	táncolni	跳舞	táncol	N	V;NFIN;ACT
跳舞	táncolni	跳舞	táncol	N	V;NFIN;ACT
跳舞	táncol	跳舞	táncol	N	V;INDF;IND;SG;3;PRS;FIN;ACT
恭喜	gratulálok	恭喜	gratulál	N	V;INDF;IND;SG;1;PRS;FIN;ACT
恭喜	gratulálunk	恭喜	gratulál	N	V;INDF;IND;PL;1;PRS;FIN;ACT
恭喜	gratulálok	恭喜	gratulál	N	V;INDF;IND;SG;1;PRS;FIN;ACT
恭喜	gratula	恭喜	gratula	N	V;DEF;IND;SG;1;PRS;FIN;ACT
粘	ragad	粘	ragad	N	V;INDF;IND;SG;3;PRS;FIN;ACT
粘	ragadós	粘	ragadós	N	
粘	ragacsos	粘	ragacsos	N	
儒	konfucianizmus	儒	konfucianizmus	PROPN	N;NOM;SG
儒	konfuciánus	儒	konfuciánus	PROPN	N;NOM;SG
追擊	törekvés	追擊	törekvés	V	N;NOM;SG
