ivar	ivar	ivar	ivara		
tjekkiske	češka	tjekkisk	češka	ADJ;PL	ADJ;NOM;FEM;SG
tjekkiske	češki	tjekkisk	češki	ADJ;PL	ADJ;NOM;DEF;MASC;SG
krisen	krize	kris	kriza	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
kronet	kronan	kron	kronan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
wiener	wiener	wiener	wiener	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
wiener	dunajski	wiener	dunajski	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
colin	colin	colin	colina	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
efterretningstjeneste	obveščevalna	efterretningstjeneste	obveščevalen	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
interwiki	interwiki	interwiki	interwika		N;NOM;MASC;SG
udløste	sprožen	udløse	sprožen	V;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
syriske	sirski	syrisk	sirski	ADJ;PL	ADJ;NOM;MASC;SG
matthias	matija	matthias	matija		N;NOM;MASC;SG
moss	mah	moss	meh		
moss	moss	moss	moss		N;NOM;MASC;SG
anvendelser	uporabe	anvendelse	uporaba	N;INDF;MASC+FEM;PL	N;GEN;FEM;SG
kontrolleret	preverjeno	kontrollere	preverjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
kontrolleret	preverjena	kontrollere	preverjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
kontrolleret	nadzorovano	kontrollere	nadzorovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
kontrolleret	nadzorovanih	kontrollere	nadzorovan	V;INDF;SG;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
kontrolleret	nadzorovana	kontrollere	nadzorovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
kontrolleret	nadzorovan	kontrollere	nadzorovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
kontrolleret	nadzorovani	kontrollere	nadzorovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
kontrolleret	preverjene	kontrollere	preverjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
kontrolleret	preverjena	kontrollere	preverjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
kontrolleret	preverjeno	kontrollere	preverjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
kontrolleret	preverjen	kontrollere	preverjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
break	break	break	break		N;NOM;MASC;SG
break	zlomil	break	zlomiti		V;PFV;MASC;SG;V.PTCP
break	zlomi	break	zlom		N;NOM;MASC;SG
done	storjeno	done	storjen		ADJ;NOM;NEUT;SG;V.PTCP
done	končano	done	končan		ADJ;NOM;NEUT;SG;V.PTCP
done	opravljeno	done	opravljen		ADJ;NOM;NEUT;SG;V.PTCP
done	narejeno	done	narejen		ADJ;NOM;NEUT;SG;V.PTCP
nancy	nancy	nancy	nancy		PROPN;NOM;FEM;SG
tårne	stolpa	tå	stolp	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
glee	glee	gle	glee	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
spirit	duh	spirit	duh		N;NOM;MASC;SG
fed	drzno	fed	drzno	ADJ;INDF;MASC+FEM;SG	ADV
fed	drzni	fed	drzen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
fed	maščob	fed	maščoba	ADJ;INDF;MASC+FEM;SG	N;GEN;FEM;PL
fed	maščobe	fed	maščoba	ADJ;INDF;MASC+FEM;SG	N;NOM;FEM;PL
fed	maščoba	fed	maščoba	ADJ;INDF;MASC+FEM;SG	N;NOM;FEM;SG
fed	debeli	fed	debela	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
tusinder	tisoče	tusinde	tisoče	N;INDF;NEUT;PL	N;ACC;MASC;SG
shepherd	shepherd	shepherd	shepherd		N;NOM;MASC;SG
shepherd	pastir	shepherd	pastir		N;NOM;MASC;SG
prøvet	testirali	prøve	testirati	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
thompson	thompson	thompson	thompson		N;NOM;MASC;SG
thompson	thompsona	thompson	thompson		N;ACC;MASC;SG
daily	dnevno	daily	dnevno		ADV
daily	dnevna	daily	dneven		ADJ;NOM;FEM;SG
daily	dnevni	daily	dneven		ADJ;NOM;MASC;SG
sagn	folklore	sagn	folklor	N;INDF;NEUT;SG	N;NOM;FEM;PL
sagn	legende	sagn	legenda	N;INDF;NEUT;SG	N;NOM;FEM;PL
blank	bleščeči	blank	bleščeč	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
dårligere	slabše	dårlig	slab	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
dårligere	hujše	dårlig	hud	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
alpes	alpes	alpes	alpes	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
nature	narave	natur	narava		N;NOM;FEM;PL
nature	narava	natur	narava		N;NOM;FEM;SG
asger	asger	asge	asgera	N;INDF;MASC+FEM;SG	
aktuelt	tok	aktuel	tok	ADJ;INDF;NEUT;SG	N;NOM;MASC;SG
aktuelt	trenutno	aktuel	trenutno	ADJ;INDF;NEUT;SG	ADV
speed	hitrosti	speed	hitrost		N;GEN;FEM;SG
speed	hitrost	speed	hitrost		N;NOM;FEM;SG
argentinske	argentinska	argentinsk	argentinski	ADJ;PL	ADJ;NOM;FEM;SG
zagreb	zagreb	zagreb	zagreba		PROPN;NOM;MASC;SG
tilfældigt	naključna	tilfældigt	naključen	ADV	ADJ;NOM;FEM;SG
tilfældigt	naključni	tilfældigt	naključen	ADV	ADJ;NOM;MASC;SG
tilfældigt	naključen	tilfældigt	naključen	ADV	ADJ;NOM;INDF;MASC;SG;V.PTCP
tilfældigt	naključja	tilfældigt	naključje	ADV	N;NOM;NEUT;PL
tilfældigt	naključje	tilfældigt	naključje	ADV	N;NOM;NEUT;SG
smart	domiselno	smart	domiselno	ADJ;INDF;SG	ADV
smart	razkošno	smart	razkošno	ADJ;INDF;SG	ADV
smart	nobel	smart	nobeti	ADJ;INDF;SG	N;NOM;MASC;SG
smart	smart	smart	smart	ADJ;INDF;SG	N;NOM;MASC;SG
holding	držala	holding	držati	N;INDF;MASC+FEM;SG	V;IPFV;FEM;SG;V.PTCP
oder	odri	oder	oder		N;NOM;MASC;SG
primitive	primitivna	primitiv	primitiven	ADJ;PL	ADJ;NOM;FEM;SG
primitive	primitivno	primitiv	primitivno	ADJ;PL	ADJ;NOM;NEUT;SG
wing	wing	wing	wing		
wing	krilo	wing	krilo		N;NOM;NEUT;SG
nytte	uporabnost	nytte	uporabnost	V;NFIN;ACT	N;NOM;FEM;SG
nytte	uporabnost	nytte	uporabnost	V;NFIN;ACT	N;NOM;FEM;SG
nytte	pripomoček	nytte	pripomoček	V;NFIN;ACT	N;NOM;MASC;SG
joan	joan	joan	joan		PROPN;NOM;MASC;SG
afhængige	odvisen	afhængig	odvisen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
afhængige	odvisniki	afhængig	odvisnik	ADJ;PL	N;NOM;MASC;PL
dirty	umazana	dirty	umazan		ADJ;NOM;FEM;SG;V.PTCP
dirty	umazani	dirty	umazan		ADJ;NOM;MASC;PL;V.PTCP
dirty	umazan	dirty	umazan		ADJ;NOM;INDF;MASC;SG;V.PTCP
dirty	umazano	dirty	umazan		ADJ;NOM;NEUT;SG;V.PTCP
dirty	umazane	dirty	umazan		ADJ;NOM;FEM;PL;V.PTCP
hud	hud	hud	hud	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
skyder	streljanje	skyde	streljanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
præsenterede	predstavljena	præsentere	predstavljen	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
præsenterede	predstavljeni	præsentere	predstavljen	V;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
præsenterede	predstavljeno	præsentere	predstavljen	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
præsenterede	predstavljene	præsentere	predstavljen	V;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
præsenterede	predstavljen	præsentere	predstavljen	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
dekoreret	odlikovan	dekorere	odlikovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
bin	bin	bin	bin		
bin	koš	bin	koš		N;NOM;MASC;SG
floyd	floyd	floyd	floyd		N;NOM;MASC;SG
hegn	ograje	hegn	ograja	N;INDF;NEUT;SG	N;NOM;FEM;PL
hegn	ograje	hegn	ograja	N;INDF;NEUT;SG	N;NOM;FEM;PL
hegn	ograje	hegn	ograja	N;INDF;NEUT;SG	N;NOM;FEM;PL
liège	liège	liège	limga		PROPN;NOM;MASC;SG
lilla	vijolično	lilla	vijoličen		ADV
lilla	škrlatna	lilla	škrlaten		ADJ;NOM;FEM;SG
lilla	vijolična	lilla	vijoličen		ADJ;NOM;FEM;SG
bros	bros	bros	bros		PROPN;NOM;MASC;SG
groft	grobi	groft	grobiti	ADV	ADJ;NOM;MASC;PL
groft	groba	groft	grob	ADV	N;NOM;MASC;SG
overdrev	pretirano	overdrev	pretirano	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;V.PTCP
overdrev	pretirane	overdrev	pretiran	N;INDF;NEUT;SG	ADJ;NOM;FEM;PL;V.PTCP
overdrev	pretirana	overdrev	pretiran	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG;V.PTCP
iowa	iowa	iowa	iow		PROPN;NOM;MASC;SG
drager	zmaji	drage	zmaj	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
drager	zmaji	drage	zmaj	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
drager	zmaje	drage	zmaj	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
kvaliteten	kakovostno	kvalitet	kakovostno	N;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
sværere	močneje	svær	močno	ADJ;CMPR	ADV;CMPR
sværere	težje	svær	težko	ADJ;CMPR	ADV;CMPR
cfg	cfg	cfg	cfg		N;NOM;MASC;SG
pablo	pablo	pablo	pabla		PROPN;NOM;MASC;SG
split	narazen	split	narazen		ADV
split	razdeli	split	razdeti		V;PFV;IND;SG;3;PRS;FIN
split	split	split	split		N;NOM;MASC;SG
johnston	johnston	johnston	johnston	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
begrænsninger	omejitev	begrænsning	omejitev	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
begrænsninger	omejevanje	begrænsning	omejevanje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
begrænsninger	omejitev	begrænsning	omejitev	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
begrænsninger	omeji	begrænsning	omejiti	N;INDF;MASC+FEM;PL	V;PFV;IND;SG;3;PRS;FIN
oplevelse	izkušenj	oplevelse	izkušnja	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
oplevelse	izkušnje	oplevelse	izkušnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
mystiske	skrivnostna	mystisk	skrivnosten	ADJ;PL	ADJ;NOM;FEM;SG
mystiske	skrivnosten	mystisk	skrivnosten	ADJ;PL	ADJ;NOM;INDF;MASC;SG
mystiske	skrivnostni	mystisk	skrivnosten	ADJ;PL	ADJ;NOM;MASC;SG
mystiske	skrivnostno	mystisk	skrivnosten	ADJ;PL	ADV
mystiske	mistično	mystisk	mistično	ADJ;PL	ADJ;NOM;NEUT;SG
mystiske	mystic	mystisk	mystica	ADJ;PL	N;NOM;MASC;SG
filosofisk	filozofski	filosofisk	filozofski	ADV	ADJ;NOM;MASC;SG
glade	srečna	glad	srečen	ADJ;PL	ADJ;NOM;FEM;SG
glade	srečen	glad	srečen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
glade	vesela	glad	vesel	ADJ;PL	ADJ;NOM;FEM;SG
glade	srečno	glad	srečno	ADJ;PL	ADJ;NOM;NEUT;SG
bestilt	rezervirano	bestille	rezervirano	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
bestilt	urejen	bestille	urejen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
bestilt	naročeno	bestille	naročen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
cola	koks	cola	koks		N;NOM;MASC;SG
cola	kokain	cola	kokain		N;NOM;MASC;SG
cola	koka	cola	koka		N;NOM;MASC;SG
cola	kola	cola	kola		N;NOM;FEM;SG
cola	kola	cola	kola		N;NOM;FEM;SG
cola	cola	cola	cola		N;NOM;MASC;SG
overlay	prekrivanje	overlay	prekrivanje		N;NOM;NEUT;SG
overlay	prevleka	overlay	prevleka		N;NOM;FEM;SG
queens	kraljice	que	kraljica	N;GEN;DEF;MASC+FEM;SG	N;NOM;FEM;PL
queens	queens	que	queens	N;GEN;DEF;MASC+FEM;SG	
moser	moser	mose	moser	N;INDF;MASC+FEM;PL	PROPN;NOM;MASC;SG
afsluttende	zaključna	afslutte	zaključen	V;PRS;V.PTCP	ADJ;NOM;FEM;SG
afsluttende	zapiranje	afslutte	zapiranje	V;PRS;V.PTCP	N;NOM;NEUT;SG
afsluttende	zaprtje	afslutte	zaprtje	V;PRS;V.PTCP	N;NOM;NEUT;SG
afsluttende	končna	afslutte	končen	V;PRS;V.PTCP	ADJ;NOM;FEM;SG
afsluttende	končni	afslutte	končen	V;PRS;V.PTCP	ADJ;NOM;DEF;MASC;SG
emilie	emilie	emilie	emilie		PROPN;NOM;MASC;SG
utah	utah	utah	uta		PROPN;NOM;MASC;SG
karakterer	like	karakter	lik	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
joint	joint	joint	joint		N;NOM;MASC;SG
joint	skupno	joint	skupen		ADJ;NOM;NEUT;SG
ondt	zlobna	ondt	zloben	ADV	ADJ;NOM;FEM;SG
ondt	zlo	ondt	zlo	ADV	
ondt	hudoben	ondt	hudoben	ADV	ADJ;NOM;INDF;MASC;SG
ondt	zloben	ondt	zloben	ADV	ADJ;NOM;INDF;MASC;SG
ondt	zlobno	ondt	zlobno	ADV	ADJ;NOM;NEUT;SG
ondt	prizadet	ondt	prizadet	ADV	ADJ;NOM;INDF;MASC;SG;V.PTCP
ondt	poškodovan	ondt	poškodovan	ADV	ADJ;NOM;INDF;MASC;SG;V.PTCP
ondt	bolelo	ondt	boleti	ADV	V;IPFV;NEUT;SG;V.PTCP
ondt	krut	ondt	krut	ADV	ADJ;NOM;INDF;MASC;SG
ondt	kruti	ondt	krut	ADV	ADJ;NOM;MASC;SG
ondt	kruta	ondt	krut	ADV	ADJ;NOM;FEM;SG
fattig	bogi	fattig	biti	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
fattig	ubogi	fattig	ubog	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
fattig	revni	fattig	reven	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
mainsnak	mainsnak	mainsnak	mainsnak		N;NOM;MASC;SG
avanceret	napredno	avanceret	napreden	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
avanceret	napredna	avanceret	napreden	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
avanceret	napredni	avanceret	napreden	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL
avanceret	napreden	avanceret	napreden	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
udsatte	odložiti	udsat	odložiti	ADJ;PL	V;PFV;NFIN
udsatte	ranljiv	udsat	ranljiv	ADJ;PL	ADJ;NOM;INDF;MASC;SG
udsatte	ranljivo	udsat	ranljivo	ADJ;PL	ADJ;NOM;NEUT;SG
udsatte	ranljiva	udsat	ranljiv	ADJ;PL	ADJ;NOM;FEM;SG
craig	craig	craig	craig		PROPN;NOM;MASC;SG
varieret	raznolike	variere	raznolik	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
bonn	bonnu	bonn	bonen	PROPN	N;DAT;MASC;SG
smal	ozko	smal	ozko	ADJ;INDF;MASC+FEM;SG	ADV
smal	ozki	smal	ozek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
smal	ozke	smal	ozek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
mekaniske	mehanska	mekanisk	mehanski	ADJ;PL	ADJ;NOM;FEM;SG
mekaniske	mehansko	mekanisk	mehanski	ADJ;PL	ADV
farvande	vode	farvand	voda	N;INDF;NEUT;PL	N;GEN;FEM;SG
farvande	waters	farvand	waters	N;INDF;NEUT;PL	
platforme	ploščadi	platform	ploščad	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
gener	nadloga	gen	nadloga	N;INDF;NEUT;PL	N;NOM;FEM;SG
flytning	premiki	flytning	premik	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
flytning	gibanja	flytning	gibanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
munke	meniha	munke	menih	N;INDF;MASC+FEM;PL	N;ACC;MASC;SG
undersøgte	pregledani	undersøge	pregledan	V;IND;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
mexicansk	mehičan	mexicansk	mehičan	ADJ;INDF;SG	N;NOM;MASC;SG
gottlieb	gottlieb	gottlie	gottlieb	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
jung	jung	jung	jung		N;NOM;MASC;SG
sheffield	sheffield	sheffield	sheffield		PROPN;NOM;MASC;SG
offensiven	žaljivo	offensiv	žaljiv	N;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
truman	truman	truman	truman		N;NOM;MASC;SG
harbor	harbor	harbor	harbor		N;NOM;MASC;SG
riges	rajh	rig	rajh	ADJ;GEN	PROPN;NOM;MASC;SG
eftermiddagen	popoldanski	eftermiddag	popoldanski	N;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
eftermiddagen	popoldan	eftermiddag	popoldan	N;DEF;MASC+FEM;SG	ADV
eftermiddagen	popoldne	eftermiddag	popoldne	N;DEF;MASC+FEM;SG	ADV
kigger	gledanje	kigge	gledanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
deutschen	deutschen	deutschen	deutschen	N;INDF;MASC+FEM;SG	
crystal	kristal	crystal	kristati		N;NOM;MASC;SG
crystal	kristalno	crystal	kristalno		ADV
crystal	crystal	crystal	crystati		
homo	homo	homo	homa		N;NOM;MASC;SG
malcolm	malcolm	malcolm	malcolm		N;NOM;MASC;SG
malcolm	malcolma	malcolm	malcolm		N;ACC;MASC;SG
fugtige	vlažno	fugtig	vlažen	ADJ;PL	ADJ;NOM;NEUT;SG
fugtige	vlažen	fugtig	vlažen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
fugtige	vlažna	fugtig	vlažen	ADJ;PL	ADJ;NOM;FEM;SG
fugtige	vlažno	fugtig	vlažen	ADJ;PL	ADJ;NOM;NEUT;SG
cat	mačji	cat	mačja		
cat	muca	cat	muca		N;NOM;FEM;SG
cat	maček	cat	maček		N;NOM;MASC;SG
cat	mačka	cat	maček		N;NOM;FEM;SG
cat	cat	cat	cat		
sild	sled	sild	sled	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
udfald	izidi	udfald	izid	N;INDF;NEUT;SG	N;NOM;MASC;PL
udfald	izidi	udfald	izid	N;INDF;NEUT;SG	N;NOM;MASC;PL
commonwealth	commonwealtha	commonwealth	commonwealth		N;ACC;MASC;SG
kunstig	umetne	kunstig	umeten	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
kunstig	umetno	kunstig	umeten	ADJ;INDF;MASC+FEM;SG	ADV
kunstig	umetni	kunstig	umeten	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
dos	dos	dos	dos		N;NOM;MASC;SG
oregon	oregon	oregon	oregon		PROPN;NOM;MASC;SG
bordeaux	bordeaux	bordeaux	bordeaux		PROPN;NOM;MASC;SG
earl	earl	earl	earla		N;NOM;MASC;SG
bæres	rabljena	bære	rabljen	V;IND;PRS;FIN;PASS	ADJ;NOM;FEM;SG;V.PTCP
heeresgruppe	heeresgruppe	heeresgruppe	heeresgruppe	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
mistanke	sume	mistanke	suma	N;INDF;MASC+FEM;SG	N;ACC;FEM;PL
mistanke	sumi	mistanke	sumiti	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
mistanke	osumljeni	mistanke	osumljen	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
mistanke	osumljenca	mistanke	osumljenca	N;INDF;MASC+FEM;SG	N;NOM;MASC;DU
digitalt	digitalne	digitalt	digitalen	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;PL
svømmer	plavanje	svømme	plavanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
svømmer	plavanja	svømme	plavanje	V;IND;PRS;FIN;ACT	N;GEN;NEUT;SG
svømmer	plavalec	svømme	plavalec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
svømmer	reševalec	svømme	reševalec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
afgrænset	opredeljen	afgrænse	opredeljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
afgrænset	opredeljeni	afgrænse	opredeljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
afgrænset	opredeljeno	afgrænse	opredeljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
afgrænset	opredeljena	afgrænse	opredeljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
moderat	zmerne	moderat	zmeren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
moderat	zmerni	moderat	zmeren	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
moderat	zmerno	moderat	zmerno	ADJ;INDF;MASC+FEM;SG	ADV
moderat	zmerno	moderat	zmerno	ADJ;INDF;MASC+FEM;SG	ADV
brændende	gori	brænde	goreti	V;PRS;V.PTCP	
brændende	gorenje	brænde	gorenje	V;PRS;V.PTCP	N;NOM;NEUT;SG
friends	prijateljev	friends	prijatelj	V;PRS;V.PTCP	N;GEN;MASC;PL
friends	prijatelji	friends	prijatelj	V;PRS;V.PTCP	N;NOM;MASC;PL
friends	friends	friends	friends	V;PRS;V.PTCP	
friends	prijatelje	friends	prijatelj	V;PRS;V.PTCP	N;ACC;MASC;PL
dedikeret	namenski	dedikere	namenski	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
dedikeret	namenske	dedikere	namenski	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
dedikeret	posvečena	dedikere	posvečen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
dedikeret	predan	dedikere	predan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
dedikeret	posvečeno	dedikere	posvečen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
gemt	skrito	gemme	skrit	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
gemt	skriti	gemme	skrit	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
gemt	skrite	gemme	skrit	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
gemt	skrit	gemme	skrit	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
gemt	skrita	gemme	skrit	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
gemt	rešen	gemme	rešen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
gemt	rešeno	gemme	rešen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
gemt	shranjeno	gemme	shranjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
gemt	rešena	gemme	rešen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
gemt	shranjena	gemme	shranjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
oplyste	razsvetljen	oplyse	razsvetljen	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
tang	klešče	tang	klešča	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
opretter	ustvarjanje	oprette	ustvarjanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
opretter	ustvarjanje	oprette	ustvarjanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
opretter	stvarnika	oprette	stvarnik	V;IND;PRS;FIN;ACT	N;ANIM;ACC;MASC;SG
opretter	ustvarjalec	oprette	ustvarjalec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
opretter	stvarnik	oprette	stvarnik	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
midterste	sredina	midter	sredina	ADJ;DEF;RL	N;NOM;FEM;SG
midterste	srednji	midter	srednji	ADJ;DEF;RL	ADJ;NOM;DEF;MASC;SG
midterste	srednja	midter	srednji	ADJ;DEF;RL	ADJ;NOM;FEM;SG
forkerte	narobe	forkert	narobe	ADJ;PL	ADV
forkerte	napačno	forkert	napačen	ADJ;PL	ADJ;NOM;NEUT;SG
forkerte	napačen	forkert	napačen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
affald	odpadki	affald	odpadek	N;INDF;NEUT;SG	N;NOM;MASC;PL
affald	odpadke	affald	odpadek	N;INDF;NEUT;SG	N;ACC;MASC;PL
affald	odpadki	affald	odpadek	N;INDF;NEUT;SG	N;NOM;MASC;PL
suzuki	suzuki	suzuki	suzuk		N;NOM;MASC;SG
jelena	jelena	jelena	jelen		ADJ;NOM;FEM;SG
taktik	taktike	taktik	taktika	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
medina	medina	medina	medina		N;NOM;MASC;SG
munden	ust	mund	usta	N;DEF;MASC+FEM;SG	N;GEN;NEUT;PL
munden	usta	mund	usta	N;DEF;MASC+FEM;SG	N;NOM;NEUT;PL
konrad	konrad	konrad	konrad		N;NOM;MASC;SG
filmet	posneli	film	posneti	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP
arkiveret	arhivirana	arkivere	arhiviran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
arkiveret	vložena	arkivere	vložen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
arkiveret	vloženo	arkivere	vložen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
larsson	larsson	larsson	larsson		N;NOM;MASC;SG
bemærkede	zabeležena	bemærket	zabeležen	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
bemærkede	zabeleženo	bemærket	zabeležen	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
