operze	opéra	operz	opéra		N;MASC;SG
luca	luca	luca	luca	PROPN;NOM;MASC;SG	PROPN
akademickie	académiques	akademicki	académique	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
akademickie	universitaires	akademicki	universitaire	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
szt	pc	szt	pc		N;MASC;SG
szt	pcs	szt	pcs		N;MASC;SG
przywilej	privilèges	przywilej	privilège	N;ACC;MASC;SG	N;MASC;PL
przywilej	privilèges	przywilej	privilège	N;ACC;MASC;SG	N;MASC;PL
sri	sri	srać	sri	PROPN;NOM;MASC;SG	PROPN
lekki	lumiere	lekki	lumiere	ADJ;NOM;MASC;SG	N;FEM;SG
lekki	lumière	lekki	lumière	ADJ;NOM;MASC;SG	N;FEM;SG
lekki	légèreté	lekki	légèreté	ADJ;NOM;MASC;SG	N;FEM;SG
lekki	légères	lekki	léger	ADJ;NOM;MASC;SG	ADJ;FEM;PL
karaibów	caraïbe	karaib	caraïbe	N;GEN;MASC;PL	ADJ;FEM;SG
roll	rouler	roll	rouler		V;NFIN
roll	roll	roll	roll		PROPN
roll	rouleau	roll	rouleau		N;MASC;SG
uchodźców	réfugiées	uchodźca	réfugié	N;ACC;MASC;PL	V;FEM;PL;PST;V.PTCP
uchodźców	réfugiée	uchodźca	réfugié	N;ACC;MASC;PL	V;FEM;SG;PST;V.PTCP
uchodźców	réfugié	uchodźca	réfugier	N;ACC;MASC;PL	V;MASC;SG;PST;V.PTCP
owoc	fruitières	owoc	fruitier	N;NOM;MASC;SG	ADJ;FEM;PL
owoc	fruits	owoc	fruit	N;NOM;MASC;SG	N;MASC;PL
empire	empire	empir	empire		N;MASC;SG
ski	ski	skiot	ski		N;MASC;SG
ski	skier	skiot	skier		V;NFIN
regularne	régulières	regularny	régulier	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
break	break	break	break		N;MASC;SG
break	pause	break	pause		N;FEM;SG
break	rupture	break	rupture		N;FEM;SG
break	briser	break	briser		V;NFIN
druku	imprimer	druk	imprimer	N;GEN;MASC;SG	V;NFIN
druku	imprimeries	druk	imprimerie	N;GEN;MASC;SG	N;FEM;PL
zasoby	ressource	zasóba	ressource	N;NOM;MASC;PL	N;FEM;SG
zasoby	stock	zasóba	stock	N;NOM;MASC;PL	N;MASC;SG
ran	blessure	rana	blessure		N;FEM;SG
ran	plaie	rana	plaie		N;FEM;SG
ran	plaies	rana	plaie		N;FEM;PL
ran	blessures	rana	blessure		N;FEM;PL
objętości	volumes	objętość	volume	N;GEN;FEM;SG	N;MASC;PL
radosław	radosław	radosław	radosław	PROPN;NOM;MASC;SG	PROPN
oskar	oscar	oskar	oscar	PROPN;NOM;MASC;SG	N;MASC;SG
oskar	oskar	oskar	oskar	PROPN;NOM;MASC;SG	PROPN
modlitwa	priant	modlitwa	prendre	N;NOM;FEM;SG	V;PRS;V.PTCP
modlitwa	prières	modlitwa	prière	N;NOM;FEM;SG	N;FEM;PL
modlitwa	prier	modlitwa	prier	N;NOM;FEM;SG	V;NFIN
modlitwa	prières	modlitwa	prière	N;NOM;FEM;SG	N;FEM;PL
modlitwa	prières	modlitwa	prière	N;NOM;FEM;SG	N;FEM;PL
modlitwa	prier	modlitwa	prier	N;NOM;FEM;SG	V;NFIN
marine	marin	mariny	marin		N;MASC;SG
marine	marins	mariny	marin		N;MASC;PL
marine	marine	mariny	marine		N;FEM;SG
tymczasowy	temporaires	tymczasowy	temporaire	ADJ;NOM;MASC;SG	ADJ;MASC;PL
tymczasowy	intérimaires	tymczasowy	intérimaire	ADJ;NOM;MASC;SG	ADJ;MASC;PL
tymczasowy	intérim	tymczasowy	intérim	ADJ;NOM;MASC;SG	N;MASC;SG
tymczasowy	provisoires	tymczasowy	provisoire	ADJ;NOM;MASC;SG	ADJ;MASC;PL
pérez	perez	porez	perer	PROPN;NOM;MASC;SG	PROPN
pérez	pérez	porez	pérer	PROPN;NOM;MASC;SG	PROPN
era	époque	era	époque		N;FEM;SG
era	eer	era	eer		N;MASC;SG
era	era	era	era		PROPN
era	époque	era	époque		N;FEM;SG
lang	lang	lang	lang		PROPN
pascal	pascal	pascal	pascal		PROPN
szóste	sixth	szósty	sixth		PROPN
szóste	sixième	szósty	sixième		ADJ;MASC;SG
pomógł	aidés	pomóc	aider	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
gridcolor	gridcolor	gridcolor	gridcolor		PROPN
koń	chevaux	koń	cheval	N;NOM;MASC;SG	N;MASC;PL
pacjenta	patiente	pacjent	patient	N;ACC;MASC;SG	ADJ;FEM;SG
pacjenta	patients	pacjent	patient	N;ACC;MASC;SG	N;MASC;PL
potrzebna	nécessité	potrzebny	nécessité	ADJ;NOM;FEM;SG	N;FEM;SG
potrzebna	besoins	potrzebny	besoin	ADJ;NOM;FEM;SG	N;MASC;PL
potrzebna	besoin	potrzebny	besoin	ADJ;NOM;FEM;SG	N;MASC;SG
potrzebna	nécessaires	potrzebny	nécessaire	ADJ;NOM;FEM;SG	ADJ;MASC;PL
potrzebna	besoin	potrzebny	besoin	ADJ;NOM;FEM;SG	N;MASC;SG
potrzebna	requis	potrzebny	requérir	ADJ;NOM;FEM;SG	V;MASC;SG;PST;V.PTCP
uderzenie	touché	uderzenie	toucher	N;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
uderzenie	frappé	uderzenie	frapper	N;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
uderzenie	frapper	uderzenie	frapper	N;NOM;NEUT;SG	V;NFIN
popełnił	engagés	popełnić	engager	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
piaski	sables	piasek	sable		N;MASC;PL
piaski	sands	piasek	sand		N;MASC;PL
annie	annie	annie	annie		N;FEM;SG
secret	secrets	secret	secret		ADJ;MASC;PL
secret	secret	secret	secret		ADJ;MASC;SG
secret	secrète	secret	secret		ADJ;FEM;SG
zmniejsza	réduit	zmniejszać	réduire	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;PST;V.PTCP
zmniejsza	baisses	zmniejszać	baisse	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
polecenia	commandements	polecenie	commandement	N;NOM;NEUT;SG	N;MASC;PL
polecenia	commandes	polecenie	commande	N;NOM;NEUT;SG	N;FEM;PL
fortu	fort	fort	fort	N;GEN;MASC;SG	ADV
aleksandrii	alexandrie	aleksandria	alexandrie	N;GEN;FEM;SG	PROPN
praktyka	stages	praktyka	stage	N;NOM;FEM;SG	N;MASC;PL
praktyka	pratiquer	praktyka	pratiquer	N;NOM;FEM;SG	V;NFIN
praktyka	pratique	praktyka	pratique	N;NOM;FEM;SG	ADJ;FEM;SG
praktyka	pratiques	praktyka	pratique	N;NOM;FEM;SG	N;FEM;PL
sainte	sainte	sainty	saint	V;IPFV;IND;SG;2;PRS;FIN;ACT	ADJ;FEM;SG
ska	ska	sko	ska		N;MASC;SG
zaangażowany	impliqué	zaangażować	impliquer	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
zaangażowany	impliqués	zaangażować	impliquer	ADJ;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
zaangażowany	impliquée	zaangażować	impliquer	ADJ;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
zaangażowany	engagée	zaangażować	engager	ADJ;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
zaangażowany	engagés	zaangażować	engager	ADJ;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
zaangażowany	commis	zaangażować	commettre	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
zaangażowany	engagé	zaangażować	engager	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
zakończony	terminée	zakończyć	terminer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zakończony	résilié	zakończyć	résilier	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
częste	commune	częsty	commune		N;FEM;SG
częste	fréquent	częsty	fréquent		ADJ;MASC;SG
częste	fréquents	częsty	fréquent		ADJ;MASC;PL
częste	commun	częsty	commun		ADJ;MASC;SG
częste	fréquentes	częsty	fréquent		ADJ;FEM;PL
częste	fréquent	częsty	fréquent		ADJ;MASC;SG
częste	fréquents	częsty	fréquent		ADJ;MASC;PL
częste	fréquente	częsty	fréquent		ADJ;FEM;SG
grażyna	grażyna	grażyna	grainyne	PROPN;NOM;FEM;SG	PROPN
jelita	intestins	jelita	intestin		N;MASC;PL
jelita	intestin	jelita	intestin		N;MASC;SG
jelita	intestins	jelita	intestin		N;MASC;PL
jelita	intestin	jelita	intestin		N;MASC;SG
jelita	intestins	jelita	intestin		N;MASC;PL
jelita	intestin	jelita	intestin		N;MASC;SG
jelita	intestinaux	jelita	intestinal		ADJ;MASC;PL
jelita	intestins	jelita	intestin		N;MASC;PL
jelita	intestinale	jelita	intestinal		ADJ;FEM;SG
jelita	intestinal	jelita	intestinal		ADJ;MASC;SG
jelita	intestin	jelita	intestin		N;MASC;SG
jelita	intestins	jelita	intestin		N;MASC;PL
jelita	boyaux	jelita	boyau		N;MASC;PL
cbs	cbs	cbs	cbs		PROPN
rolnicze	agricoles	rolniczy	agricole	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
partnerem	associé	partner	associer	N;INS;MASC;SG	V;MASC;SG;PST;V.PTCP
partnerem	associée	partner	associer	N;INS;MASC;SG	V;FEM;SG;PST;V.PTCP
partnerem	partenaires	partner	partenaire	N;INS;MASC;SG	N;MASC;PL
honoru	honorer	honor	honorer	N;GEN;MASC;SG	V;NFIN
square	carré	squary	carré		N;MASC;SG
square	carrés	squary	carré		N;MASC;PL
square	square	squary	square		N;MASC;SG
square	carrées	squary	carrée		ADJ;FEM;PL
odrębne	distinctes	odrębny	distinct	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
odrębne	distincts	odrębny	distinct	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
odrębne	séparés	odrębny	séparer	ADJ;NOM;NEUT;SG	V;MASC;PL;PST;V.PTCP
odrębne	séparé	odrębny	séparer	ADJ;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
odrębne	séparées	odrębny	séparer	ADJ;NOM;NEUT;SG	V;FEM;PL;PST;V.PTCP
odrębne	séparer	odrębny	séparer	ADJ;NOM;NEUT;SG	V;NFIN
obydwa	both	obydwa	both	V;IPFV;IND;SG;PST;FIN;ACT	PROPN
czaszki	crâne	czaszki	crâne	N;ACC;FEM;PL	N;MASC;SG
fischer	fischer	fischer	fischer		PROPN
białek	protéines	białek	protéine		N;FEM;PL
publiczny	publics	publiczny	public	ADJ;NOM;MASC;SG	ADJ;MASC;PL
publiczny	publiques	publiczny	public	ADJ;NOM;MASC;SG	ADJ;FEM;PL
mail	courrier	mail	courrier		N;MASC;SG
mail	mail	mail	mail		N;MASC;SG
kogo	qui	kto	qui	PRO;ACC;MASC;SG	PRO
kogo	oms	kto	om	PRO;ACC;MASC;SG	N;MASC;SG
kogo	who	kto	who	PRO;ACC;MASC;SG	PROPN
heaven	paradis	heaven	paradis		N;MASC;SG
heaven	heaven	heaven	heaven		PROPN
heaven	cieux	heaven	ciel		N;MASC;PL
heaven	ciel	heaven	ciel		N;MASC;SG
cen	cen	cen	cen		N;MASC;SG
piła	boire	pić	boire		V;NFIN
piła	boisson	pić	boisson		N;FEM;SG
piła	potable	pić	potable		ADJ;MASC;SG
piła	bu	pić	bu		V;MASC;SG;PST;V.PTCP
piła	buvait	pić	buvoir		V;IND;SG;3;IPFV;FIN
piła	saw	pić	saw		N;MASC;SG
piła	scie	pić	scie		N;FEM;SG
śniegu	snow	śnieg	snow	N;GEN;MASC;SG	PROPN
damian	damien	damian	damien	PROPN;NOM;MASC;SG	PROPN
damian	damian	damian	damian	PROPN;NOM;MASC;SG	PROPN
funkcjonował	fonctionnait	funkcjonować	fonctionner	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
istoty	créatures	istota	créature	N;ACC;FEM;SG	N;FEM;PL
toledo	tolède	toledo	tolède		N;FEM;SG
toledo	toledo	toledo	toledo		PROPN
cannes	cannes	cannes	canne		N;FEM;PL
geschichte	geschichte	geschicht	geschichte		PROPN
gospodarstwo	ferme	gospodarstwo	ferme	N;NOM;NEUT;SG	ADJ;FEM;SG
gospodarstwo	fermes	gospodarstwo	ferme	N;NOM;NEUT;SG	ADJ;FEM;PL
czwartego	fourth	czwarty	fourth	ADJ;ACC;MASC;SG	PROPN
czwartego	quatrièmement	czwarty	quatrièmement	ADJ;ACC;MASC;SG	ADV
ograniczona	limitée	ograniczony	limiter	ADJ;NOM;FEM;SG	V;FEM;SG;PST;V.PTCP
ograniczona	limitées	ograniczony	limiter	ADJ;NOM;FEM;SG	V;FEM;PL;PST;V.PTCP
ograniczona	limité	ograniczony	limiter	ADJ;NOM;FEM;SG	V;MASC;SG;PST;V.PTCP
ograniczona	limités	ograniczony	limiter	ADJ;NOM;FEM;SG	V;MASC;PL;PST;V.PTCP
ograniczona	limité	ograniczony	limiter	ADJ;NOM;FEM;SG	V;MASC;SG;PST;V.PTCP
kontynuować	continue	kontynuować	continu	V;IPFV;NFIN;ACT	ADJ;FEM;SG
dem	dem	dem	dem		
management	management	management	management		N;MASC;SG
management	gestion	management	gestion		N;FEM;SG
split	diviser	split	diviser		V;NFIN
split	scinder	split	scinder		V;NFIN
split	split	split	split		N;MASC;SG
split	scission	split	scission		N;FEM;SG
kenneth	kenneth	kenneth	kenneth	N;NOM;MASC;SG	PROPN
sosna	pine	sosna	pine		N;FEM;SG
sosna	pin	sosna	pin		N;MASC;SG
paragwaju	paraguay	paragwaj	paraguay	N;GEN;MASC;SG	PROPN
bunt	révoltes	bunt	révolte	N;NOM;MASC;SG	N;FEM;PL
pete	pete	pete	pete	PROPN;NOM;MASC;SG	PROPN
suche	sèche	suchy	sec		ADJ;FEM;SG
suche	sèches	suchy	sec		ADJ;FEM;PL
suche	sec	suchy	sec		ADJ;MASC;SG
suche	secs	suchy	sec		ADJ;MASC;PL
suche	sécher	suchy	sécher		V;NFIN
ward	ward	warda	ward	PROPN;NOM;MASC;SG	PROPN
ward	pupille	warda	pupille	PROPN;NOM;MASC;SG	N;FEM;SG
baz	baz	baza	baz		N;MASC;SG
owłosione	poilu	owłosić	poilu	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;MASC;SG
owłosione	poilus	owłosić	poilus	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;MASC;PL
owłosione	chevelu	owłosić	chevelu	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;MASC;SG
promieniowanie	radiations	promieniować	radiation	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;FEM;PL
promieniowanie	rayonnements	promieniować	rayonnement	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;MASC;PL
struga	struga	struga	struga		PROPN
eduardo	eduardo	eduardo	eduardo	PROPN;NOM;MASC;SG	PROPN
sweet	doux	sweet	doux		ADJ;MASC;SG
sweet	sucré	sweet	sucrer		V;MASC;SG;PST;V.PTCP
sweet	douce	sweet	doux		ADJ;FEM;SG
sweet	sweet	sweet	sweet		PROPN
skierowane	dirigé	skierować	diriger	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
skierowane	réalisé	skierować	réaliser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
skierowane	orienté	skierować	orienter	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
fernández	fernandez	fernndez	fernander	PROPN;NOM;MASC;SG	V;IMP;PL;2;PRS;FIN
fernández	fernández	fernndez	fernánder	PROPN;NOM;MASC;SG	PROPN
rycerz	knight	rycerz	knight	N;NOM;MASC;SG	PROPN
rycerz	chevaliers	rycerz	chevalier	N;NOM;MASC;SG	N;MASC;PL
zapewnienia	assurez	zapewnić	assurer	N;GEN;NEUT;SG	V;IMP;PL;2;PRS;FIN
zapewnienia	rassurer	zapewnić	rassurer	N;GEN;NEUT;SG	V;NFIN
zapewnienia	rassurée	zapewnić	rassurer	N;GEN;NEUT;SG	V;FEM;SG;PST;V.PTCP
watson	watson	watson	watson		PROPN
wprowadzona	introduit	wprowadzić	introduire	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
wprowadzona	introduits	wprowadzić	introduire	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
wprowadzona	introduites	wprowadzić	introduire	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
zwrot	rembourser	zwrot	rembourser	N;NOM;MASC;SG	V;NFIN
zwrot	remboursé	zwrot	rembourser	N;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
zwrot	remboursements	zwrot	remboursement	N;NOM;MASC;SG	N;MASC;PL
zwrot	retourner	zwrot	retourner	N;NOM;MASC;SG	V;NFIN
zwrot	revenir	zwrot	revenir	N;NOM;MASC;SG	V;NFIN
białoruś	belarus	białoruś	belarus		PROPN
białoruś	biélorussie	białoruś	biélorussie		PROPN
białoruś	bélarus	białoruś	bélarus		PROPN
socjalistyczna	socialistes	socjalistyczny	socialiste	ADJ;NOM;FEM;SG	ADJ;MASC;PL
egzemplarze	copie	egzemplarz	copie	N;NOM;MASC;PL	N;FEM;SG
słowackiej	slovaques	słowacki	slovaque	ADJ;GEN;FEM;SG	ADJ;MASC;PL
widział	saw	widzieć	saw	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;MASC;SG
widział	scie	widzieć	scie	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
połączona	fusionnées	połączyć	fusionné	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
połączona	fusionnée	połączyć	fusionnée	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
połączona	fusionnés	połączyć	fusionner	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
połączona	fusionné	połączyć	fusionner	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
patrol	patrouilles	patrol	patrouille	N;NOM;MASC;SG	N;FEM;PL
patrol	patrouiller	patrol	patrouiller	N;NOM;MASC;SG	V;NFIN
oznaczony	étiquetés	oznaczyć	étiqueté	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
oznaczony	identifié	oznaczyć	identifier	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
oznaczony	identifiées	oznaczyć	identifier	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
oznaczony	étiqueté	oznaczyć	étiqueté	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
oznaczony	marqué	oznaczyć	marquer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
oznaczony	identifiés	oznaczyć	identifier	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
oznaczony	marquées	oznaczyć	marquer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
oznaczony	marquée	oznaczyć	marquer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
oznaczony	marqué	oznaczyć	marquer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
oznaczony	marqués	oznaczyć	marquer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
control	contrôler	control	contrôler		V;NFIN
control	contrôle	control	contrôle		N;MASC;SG
chóru	chœur	chór	chœur		N;MASC;SG
chóru	chœurs	chór	chœur		N;MASC;PL
chóru	chorale	chór	chorale		N;FEM;SG
chóru	choeur	chór	choeur		N;MASC;SG
chóru	chœurs	chór	chœur		N;MASC;PL
chóru	refrain	chór	refrain		N;MASC;SG
chóru	choeur	chór	choeur		N;MASC;SG
chóru	chœur	chór	chœur		N;MASC;SG
starcia	heurts	starcie	heurt	N;NOM;NEUT;SG	N;MASC;PL
starcia	affrontements	starcie	affrontement	N;NOM;NEUT;SG	N;MASC;PL
stacjonował	stationnés	stacjonować	stationné	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
maroka	marocains	marok	marocain	PROPN;GEN;MASC;SG	ADJ;MASC;PL
maroka	marocain	marok	marocain	PROPN;GEN;MASC;SG	ADJ;MASC;SG
maroka	marocaine	marok	marocain	PROPN;GEN;MASC;SG	ADJ;FEM;SG
athletic	athlétique	athletic	athlétique		ADJ;MASC;SG
athletic	athlétisme	athletic	athlétisme		N;MASC;SG
aresztowania	arrestations	aresztowanie	arrestation	N;GEN;NEUT;SG	N;FEM;PL
okien	windows	okno	window		N;MASC;SG
okien	vitres	okno	vitre		N;FEM;PL
okien	fenêtres	okno	fenêtre		N;FEM;PL
bogato	richement	bogato	richement		ADV
karen	karen	karen	karen	PROPN;NOM;FEM;SG	PROPN
odpowiedni	appropriées	odpowiedni	approprier	ADJ;NOM;MASC;SG	V;FEM;PL;PST;V.PTCP
odpowiedni	appropriés	odpowiedni	approprié	ADJ;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
odpowiedni	appropriée	odpowiedni	approprier	ADJ;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
enwiki	enwiki	enwik	enwiki		
wrc	wrc	wrzeć	wrc		N;MASC;SG
ograniczony	limitée	ograniczyć	limiter	ADJ;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
ograniczony	limitées	ograniczyć	limiter	ADJ;NOM;MASC;SG	V;FEM;PL;PST;V.PTCP
ograniczony	limité	ograniczyć	limiter	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
ograniczony	limités	ograniczyć	limiter	ADJ;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
ograniczony	limité	ograniczyć	limiter	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
arabskie	arabes	arabski	arabe	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
arabskie	arabes	arabski	arabe	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
arabskie	arabes	arabski	arabe	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
lewo	gauche	lewo	gauche		ADJ;MASC;SG
dno	fond	dno	fond		N;MASC;SG
kopenhadze	copenhague	kopenhadz	copenhague	PROPN;DAT;MASC;SG	PROPN
wyścigi	course	wyścig	course	N;NOM;MASC;PL	N;FEM;SG
wyścigi	racing	wyścig	racing	N;NOM;MASC;PL	N;MASC;SG
holland	hollande	holland	hollande		N;MASC;SG
halle	halle	hall	halle		N;FEM;SG
dotarły	arrivé	dotrzeć	arriver	V;PFV;FEM;IND;PL;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
sumy	somme	suma	somme		N;FEM;SG
sumy	sum	suma	sum		
sumy	totaux	suma	total		ADJ;MASC;PL
tajemnica	mystérieux	tajemnica	mystérieux	N;NOM;FEM;SG	ADJ;MASC;SG
tajemnica	mystérieuse	tajemnica	mystérieux	N;NOM;FEM;SG	ADJ;FEM;SG
tajemnica	mystères	tajemnica	mystère	N;NOM;FEM;SG	N;MASC;PL
tajemnica	secrets	tajemnica	secret	N;NOM;FEM;SG	ADJ;MASC;PL
tajemnica	secret	tajemnica	secret	N;NOM;FEM;SG	ADJ;MASC;SG
tajemnica	secrète	tajemnica	secret	N;NOM;FEM;SG	ADJ;FEM;SG
targ	marketplace	targa	marketplace	N;NOM;MASC;SG	ADJ;FEM;SG
targ	marché	targa	marcher	N;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
połączony	connectée	połączyć	connecter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
połączony	connectés	połączyć	connecter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
połączony	raccordée	połączyć	raccorder	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
połączony	connecté	połączyć	connecter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
kraina	terres	kraina	terre	N;NOM;FEM;SG	N;FEM;PL
szeregi	grades	szereg	grade	N;ACC;MASC;SG	N;MASC;PL
szeregi	rangs	szereg	rang	N;ACC;MASC;SG	N;MASC;PL
szeregi	séries	szereg	série	N;ACC;MASC;SG	N;FEM;PL
potrzebny	nécessité	potrzebny	nécessité	ADJ;NOM;MASC;SG	N;FEM;SG
potrzebny	besoins	potrzebny	besoin	ADJ;NOM;MASC;SG	N;MASC;PL
potrzebny	besoin	potrzebny	besoin	ADJ;NOM;MASC;SG	N;MASC;SG
potrzebny	nécessaires	potrzebny	nécessaire	ADJ;NOM;MASC;SG	ADJ;MASC;PL
potrzebny	besoin	potrzebny	besoin	ADJ;NOM;MASC;SG	N;MASC;SG
potrzebny	requis	potrzebny	requérir	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
mig	mig	mig	mig		N;MASC;SG
oryginalna	originaux	oryginalny	original	ADJ;NOM;FEM;SG	ADJ;MASC;PL
kanały	canal	kanał	canal	N;NOM;MASC;PL	N;MASC;SG
kanały	chaîne	kanał	chaîne	N;NOM;MASC;PL	N;FEM;SG
kanały	chenal	kanał	chenal	N;NOM;MASC;PL	N;MASC;SG
kanały	channel	kanał	channel	N;NOM;MASC;PL	N;MASC;SG
konklawe	conclave	konklawy	conclave	ADJ;NOM;NEUT;SG	N;MASC;SG
boczny	latéraux	boczny	latéral	ADJ;NOM;MASC;SG	ADJ;MASC;PL
boczny	latérales	boczny	latéral	ADJ;NOM;MASC;SG	ADJ;FEM;PL
boczny	latéral	boczny	latéral	ADJ;NOM;MASC;SG	N;MASC;SG
zoo	zoos	zoo	zoos		N;MASC;PL
zoo	zoos	zoo	zoos		N;MASC;PL
zoo	zoologique	zoo	zoologique		ADJ;MASC;SG
zoo	zoo	zoo	zoo		N;MASC;SG
pokryta	couvert	pokryć	couvert	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
pokryta	couvertes	pokryć	couvert	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
pokryta	couverte	pokryć	couvrir	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
pokryta	recouvert	pokryć	recouvrir	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
pokryta	couverts	pokryć	couvrir	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
turner	turner	turner	turner		PROPN
ambasady	ambassades	ambasada	ambassade	N;GEN;FEM;SG	N;FEM;PL
ambasady	ambassades	ambasada	ambassade	N;GEN;FEM;SG	N;FEM;PL
jefferson	jefferson	jefferson	jefferson	PROPN;NOM;MASC;SG	PROPN
