खिड़की	fenêtres	खिड़की	fenêtre	N;NOM;FEM;SG;3	N;FEM;PL
असीमित	illimitées	असीमित	illimiter	ADJ;NOM	V;FEM;PL;PST;V.PTCP
असीमित	illimitée	असीमित	illimiter	ADJ;NOM	V;FEM;SG;PST;V.PTCP
असीमित	illimité	असीमित	illimité	ADJ;NOM	V;MASC;SG;PST;V.PTCP
असीमित	illimités	असीमित	illimité	ADJ;NOM	V;MASC;PL;PST;V.PTCP
माउंटबेटन	mountbatten	माउंटबेटन	mountbatten	PROPN;NOM;MASC;SG;3	N;MASC;SG
बग	punaise	बग	pounais		N;FEM;SG
बग	bogue	बग	bogue		N;MASC;SG
बग	bug	बग	bug		N;MASC;SG
बग	insecte	बग	insecte		N;MASC;SG
बग	insectes	बग	insecte		N;MASC;PL
बग	bugs	बग	bug		N;MASC;PL
बग	bogues	बग	bogue		N;MASC;PL
मॉस्को	moscou	मॉस्को	moscou	PROPN;NOM;MASC;SG;3	PROPN
बूटी	butin	बूटी	butin		N;MASC;SG
बूटी	cul	बूटी	cul		N;MASC;SG
बूटी	fesses	बूटी	fesse		N;FEM;PL
सोम	soma	सोम	soma	PROPN;NOM;MASC;SG;3	PROPN
सोम	som	सोम	som	PROPN;NOM;MASC;SG;3	
सोम	mon	सोम	son	PROPN;NOM;MASC;SG;3	DET;MASC;SG
सोम	lun	सोम	lun	PROPN;NOM;MASC;SG;3	N;MASC;SG
चन्द्रशेखर	chandrasekhar	चन्द्रशेखर	chandrasekhar	PROPN;NOM;MASC;SG;3	N;FEM;SG
टर्नर	turner	टर्नर	turner	PROPN;NOM;MASC;SG;3	PROPN
हिमानी	glacier	हिमानी	glacier	PROPN;NOM;MASC;SG;3	N;MASC;SG
हिमानी	glaciers	हिमानी	glacier	PROPN;NOM;MASC;SG;3	N;MASC;PL
हिमानी	himalaya	हिमानी	himalaya	PROPN;NOM;MASC;SG;3	PROPN
ट्रांस	trans	ट्रांस	trans		N;MASC;SG
मेहमान	invités	मेहमान	inviter	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
मेहमान	hôtes	मेहमान	hôte	N;NOM;MASC;SG;3	N;MASC;PL
मेहमान	invité	मेहमान	inviter	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
मेहमान	invitée	मेहमान	inviter	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
मेहमान	invités	मेहमान	inviter	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
जहर	empoisonné	जहर	empoisonner		V;MASC;SG;PST;V.PTCP
जहर	poisons	जहर	poison		N;MASC;PL
जहर	empoisonner	जहर	empoisonner		V;NFIN
जहर	poison	जहर	poison		N;MASC;SG
मगरमच्छ	crocodiles	मगरमच्छ	crocodile	N;NOM;MASC;SG;3	N;MASC;PL
गतिज	cinétique	गतिज	cinétique	N;NOM;FEM;SG;3	ADJ;MASC;SG
गतिज	cinématique	गतिज	cinématique	N;NOM;FEM;SG;3	ADJ;FEM;SG
तन	tan	तन	tan		
तन	bronzage	तन	bronzage		N;MASC;SG
तन	bronzé	तन	bronzé		ADJ;MASC;SG
यूटीसी	utc	यूटीसी	utc	PROPN;NOM;MASC;SG;3	N;MASC;SG
यूटीसी	tuc	यूटीसी	tuc	PROPN;NOM;MASC;SG;3	
वेनिस	venise	वेनिस	venise	PROPN;NOM;MASC;SG;3	PROPN
खांसी	tousser	खाँसी	tousser	N;NOM;FEM;SG;3	V;NFIN
खांसी	tousse	खाँसी	tousser	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
आईएसओ	iso	आईएसओ	iso	PROPN;NOM;MASC;SG;3	N;MASC;SG
युगांडा	ouganda	युगांडा	ougander	PROPN;NOM;MASC;SG;3	PROPN
जब्त	saisi	जब्त	saisir	ADJ	V;MASC;SG;PST;V.PTCP
जब्त	saisis	जब्त	saisir	ADJ	V;MASC;PL;PST;V.PTCP
सुगंध	senteurs	सुगंध	senteur	N;NOM;FEM;SG;3	N;FEM;PL
सुगंध	parfums	सुगंध	parfum	N;NOM;FEM;SG;3	N;MASC;PL
सुगंध	aromatique	सुगंध	aromatique	N;NOM;FEM;SG;3	ADJ;MASC;SG
जस्टिन	justin	जस्टिन	justin	PROPN;NOM;MASC;SG;3	PROPN
ज़ाहिर	divulguer	जाहिर	divulguer		V;NFIN
ज़ाहिर	dévoiler	जाहिर	dévoiler		V;NFIN
ज़ाहिर	révéler	जाहिर	révéler		V;NFIN
अंबेडकर	ambedkar	अंबेडकर	ambedkar	PROPN;NOM;MASC;SG;3	PROPN
ठेठ	typiques	ठेठ	typique		ADJ;MASC;PL
ठेठ	typique	ठेठ	typique		ADJ;MASC;SG
फ़ोर्स	forcer	फानर्स	forcer	N;NOM;FEM;SG;3	V;NFIN
उलट	inversés	उलट	inverser		V;MASC;PL;PST;V.PTCP
उलट	inversées	उलट	inverser		V;FEM;PL;PST;V.PTCP
उलट	inversée	उलट	inverser		V;FEM;SG;PST;V.PTCP
उलट	inversé	उलट	inverser		V;MASC;SG;PST;V.PTCP
मोरक्को	maroc	मोरक्को	maroc	PROPN;NOM;MASC;SG;3	N;MASC;SG
सुमात्रा	sumatra	सुमात्रा	sumatra	PROPN;NOM;MASC;SG;3	PROPN
छड़ी	stick	छड़	stick	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC;SG
छड़ी	bâton	छड़	bâton	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC;SG
सीरम	sérique	सीरम	sérique	N;NOM;MASC;SG;3	ADJ;MASC;SG
दाम	prix	दाम	prix	N;NOM;MASC;PL;3	N;MASC;SG
दाम	tarif	दाम	tarif	N;NOM;MASC;PL;3	N;MASC;SG
नहरें	canal	नहर	canal	N;NOM;FEM;PL;3	N;MASC;SG
नॉर्मन	norman	नॉर्मन	norman	PROPN;NOM;MASC;SG;3	PROPN
नॉर्मन	normand	नॉर्मन	normand	PROPN;NOM;MASC;SG;3	N;MASC;SG
नॉर्मन	normands	नॉर्मन	normand	PROPN;NOM;MASC;SG;3	N;MASC;PL
नॉर्मन	normande	नॉर्मन	normand	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
सराहा	appréciés	सराह	apprécier	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
सराहा	appréciées	सराह	apprécier	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
लैंडिंग	landing	लैंडिंग	landing	N;NOM;FEM;SG;3	PROPN
लैंडिंग	atterrir	लैंडिंग	atterrir	N;NOM;FEM;SG;3	V;NFIN
माँगा	manga	माँग	manga	V;MASC;SG;V.PTCP;ACT	N;MASC;SG
माँगा	mangas	माँग	manga	V;MASC;SG;V.PTCP;ACT	N;MASC;PL
प्रमाणों	yok	प्रमाण	yok	N;ACC;MASC;PL;3	PROPN
स्थायित्व	endurance	स्थायित्व	endurance		N;FEM;SG
स्थायित्व	classements	स्थायित्व	classement		N;MASC;PL
इन्दौर	indore	इन्दौर	indore	PROPN;NOM;MASC;SG;3	PROPN
हावर्ड	howard	हावर्ड	howard	PROPN;NOM;MASC;SG;3	PROPN
साम्यवाद	communisme	साम्यवाद	communisme	PROPN;NOM;MASC;SG;3	N;MASC;SG
पैमाना	portée	पैमाना	porter	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
चिड़िया	oiseau	चिड़िया	oiseau	PROPN;NOM;FEM;SG;3	N;MASC;SG
चिड़िया	oiseaux	चिड़िया	oiseau	PROPN;NOM;FEM;SG;3	N;MASC;PL
चिड़िया	bird	चिड़िया	bird	PROPN;NOM;FEM;SG;3	PROPN
पराग	pollen	पराग	pollen		N;MASC;SG
उमा	uma	उमा	uma	PROPN;NOM;FEM;SG;3	PROPN
प्री	pre	प्री	pre	N;NOM;MASC;SG;3	
कफ	manchette	कफ	manchette	PROPN;NOM;MASC;SG;3	N;FEM;SG
ग्राफिक्स	graphiques	ग्राफिक्स	graphique	N;NOM;MASC;SG;3	ADJ;MASC;PL
ग्राफिक्स	graphique	ग्राफिक्स	graphique	N;NOM;MASC;SG;3	ADJ;MASC;SG
ग्राफिक्स	graphismes	ग्राफिक्स	graphisme	N;NOM;MASC;SG;3	N;MASC;PL
संचारित	transmettre	संचारित	transmettre	ADJ	V;NFIN
पराबैंगनी	ultraviolets	पराबैंगनी	ultraviolet	PROPN;NOM;MASC;SG;3	N;MASC;PL
पराबैंगनी	ultraviolet	पराबैंगनी	ultraviolet	PROPN;NOM;MASC;SG;3	N;MASC;SG
ताम्र	cuivre	ताम्र	cuivre		N;MASC;SG
अल्पकालिक	éphémères	अल्पकालिक	éphémère	N;NOM;MASC;SG;3	ADJ;MASC;PL
अल्पकालिक	éphémère	अल्पकालिक	éphémère	N;NOM;MASC;SG;3	ADJ;FEM;SG
नोक	plume	नोक	plume		N;FEM;SG
अनुपस्थित	absents	अनुपस्थित	absent	N;NOM;MASC;SG;3	ADJ;MASC;PL
अनुपस्थित	absent	अनुपस्थित	absent	N;NOM;MASC;SG;3	ADJ;MASC;SG
अनुपस्थित	absentes	अनुपस्थित	absent	N;NOM;MASC;SG;3	ADJ;FEM;PL
अनुपस्थित	absente	अनुपस्थित	absent	N;NOM;MASC;SG;3	ADJ;FEM;SG
अनुपस्थित	manquants	अनुपस्थित	manquant	N;NOM;MASC;SG;3	ADJ;MASC;PL
अनुपस्थित	manquante	अनुपस्थित	manquant	N;NOM;MASC;SG;3	ADJ;FEM;SG
अनुपस्थित	manquant	अनुपस्थित	manquer	N;NOM;MASC;SG;3	V;PRS;V.PTCP
अनुपस्थित	disparu	अनुपस्थित	disparaître	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
फाई	phi	फाई	phi	N;NOM;MASC;SG;3	
मर्सिडीज	mercedes	मर्सिडीज	mercede	PROPN;NOM;FEM;SG;3	N;FEM;PL
कीटनाशक	pesticides	कीटनाशक	pesticide	N;NOM;MASC;SG;3	N;MASC;PL
सुनहरे	blondes	सुनहरा	blonde	ADJ;NOM;MASC;PL	N;FEM;PL
सुनहरे	blonde	सुनहरा	blonde	ADJ;NOM;MASC;PL	N;FEM;SG
सुनहरे	blond	सुनहरा	blond	ADJ;NOM;MASC;PL	N;MASC;SG
फ़ॉर्मूला	formules	फ़ॉर्मूला	formule	N;NOM;MASC;SG;3	N;FEM;PL
ग्राफिक	graphiques	ग्राफिक	graphique	N;NOM;MASC;SG;3	ADJ;MASC;PL
ग्राफिक	graphique	ग्राफिक	graphique	N;NOM;MASC;SG;3	ADJ;MASC;SG
लूप	boucles	लूप	boucle	N;NOM;MASC;SG;3	N;FEM;PL
पेरी	péri	पेरी	périr	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
पेरी	peri	पेरी	peri	PROPN;NOM;MASC;SG;3	PROPN
पेरी	perry	पेरी	perry	PROPN;NOM;MASC;SG;3	PROPN
फिल्माया	filmés	फिल्मा	filmer	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
फिल्माया	filmées	फिल्मा	filmer	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
ग्रा	gras	ग्रा	gras	N;NOM;MASC;SG;3	ADJ;MASC;SG
अनुपयुक्त	inutilisées	अनुपयुक्त	inutiliser	ADJ	V;FEM;PL;PST;V.PTCP
अनुपयुक्त	inutilisés	अनुपयुक्त	inutiliser	ADJ	V;MASC;PL;PST;V.PTCP
अनुपयुक्त	inutilisée	अनुपयुक्त	inutiliser	ADJ	V;FEM;SG;PST;V.PTCP
अनुपयुक्त	inutilisé	अनुपयुक्त	inutiliser	ADJ	V;MASC;SG;PST;V.PTCP
नरेंद्र	narendra	नरेंद्र	narendre	PROPN;NOM;MASC;SG;3	N;MASC;SG
विरोधाभास	paradoxale	विरोधाभास	paradoxal	N;NOM;MASC;SG;3	ADJ;FEM;SG
विरोधाभास	paradoxal	विरोधाभास	paradoxal	N;NOM;MASC;SG;3	ADJ;MASC;SG
विरोधाभास	paradoxes	विरोधाभास	paradoxe	N;NOM;MASC;SG;3	N;MASC;PL
जैम	zam	जैम	zam		PROPN
जैम	jam	जैम	jam		PROPN
जैम	confiture	जैम	confiture		N;FEM;SG
जैम	confitures	जैम	confiture		N;FEM;PL
रिश्तेदार	relatif	रिश्तेदार	relatif	N;NOM;MASC;SG;3	ADJ;MASC;SG
रिश्तेदार	relative	रिश्तेदार	relatif	N;NOM;MASC;SG;3	ADJ;FEM;SG
कचरा	ordures	कचरा	ordure	N;NOM;MASC;SG;3	N;FEM;PL
कचरा	détritus	कचरा	détritu	N;NOM;MASC;SG;3	N;MASC;PL
कचरा	ordures	कचरा	ordure	N;NOM;MASC;SG;3	N;FEM;PL
असिमोव	asimov	असिमोव	asimov		PROPN
स्प्रिंग	spring	स्प्रिंग	spring	N;NOM;FEM;SG;3	PROPN
पिज़्ज़ा	pizzas	पिज़्ज़ा	pizza	N;NOM;MASC;SG;3	N;FEM;PL
त्रावणकोर	travancore	त्रावणकोर	travancorer	PROPN;NOM;MASC;SG;3	PROPN
जाली	treillis	जाली	treilli		N;MASC;SG
दैवी	oracle	दैवी	oracle		N;MASC;SG
दैवी	divine	दैवी	divin		ADJ;FEM;SG
दैवी	divin	दैवी	divin		ADJ;MASC;SG
दैवी	divins	दैवी	divin		ADJ;MASC;PL
ग़रीब	pauvre	ग़रीब	pauvre	N;NOM;FEM;SG;3	ADJ;MASC;SG
ग़रीब	médiocre	ग़रीब	médiocre	N;NOM;FEM;SG;3	ADJ;MASC;SG
ग़रीब	pauvres	ग़रीब	pauvre	N;NOM;FEM;SG;3	ADJ;MASC;PL
विषैले	venimeux	विषैला	venimeux	N;NOM;MASC;PL;3	ADJ;MASC;SG
लिखें	écrivez	लिख	écrire	V;SBJV;PL;FIN;ACT	V;IMP;PL;2;PRS;FIN
लिखें	compose	लिख	composer	V;SBJV;PL;FIN;ACT	V;IND;SG;3;PRS;FIN
लिखें	brûlure	लिख	brûlure	V;SBJV;PL;FIN;ACT	N;FEM;SG
लिखें	brûlent	लिख	brûlent	V;SBJV;PL;FIN;ACT	V;IND;PL;3;PRS;FIN
देवों	devon	देव	devon	N;ACC;MASC;PL;3	PROPN
हुकूमत	dominer	हुकूमत	dominer	N;NOM;FEM;SG;3	V;NFIN
विला	villas	विला	villa	PROPN;NOM;MASC;SG;3	N;FEM;PL
विला	villa	विला	villa	PROPN;NOM;MASC;SG;3	N;FEM;SG
कोला	kola	कोला	kola	PROPN;NOM;MASC;SG;3	PROPN
कोला	colombo	कोला	colombo	PROPN;NOM;MASC;SG;3	PROPN
कोला	cola	कोला	cola	PROPN;NOM;MASC;SG;3	N;MASC;SG
प्रतिजन	antigènes	प्रतिजन	antigène	N;NOM;MASC;SG;3	N;MASC;PL
ग्राहम	graham	ग्राहम	graham	PROPN;NOM;MASC;SG;3	PROPN
सर्वोपरि	paramount	सर्वोपरि	paramount	PROPN;NOM;MASC;SG;3	PROPN
रंजीत	ranjit	रंजीत	ranjit	PROPN;NOM;MASC;SG;3	PROPN
सिरा	sira	सिरा	sira	N;NOM;MASC;SG;3	PROPN
खरीदी	achetées	खरीद	acheter	V;PFV;FEM;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
खरीदी	achetés	खरीद	acheter	V;PFV;FEM;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
खरीदी	achetées	खरीद	acheter	V;PFV;FEM;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
खरीदी	achetés	खरीद	acheter	V;PFV;FEM;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
दुखी	misérables	दुखी	misérable	ADP	ADJ;MASC;PL
दुखी	misérable	दुखी	misérable	ADP	ADJ;MASC;SG
दुखी	tristes	दुखी	triste	ADP	ADJ;MASC;PL
दुखी	tristesse	दुखी	tristesse	ADP	N;FEM;SG
दुखी	triste	दुखी	triste	ADP	ADJ;MASC;SG
दुखी	sad	दुखी	sad	ADP	
न्यूट्रॉन	neutrons	न्यूट्रॉन	neutron	N;NOM;MASC;SG;3	N;MASC;PL
इमरान	imran	इमरान	imran	PROPN;NOM;MASC;SG;3	PROPN
निरीक्षक	surveillant	निरीक्षक	surveillant	N;NOM;MASC;SG;3	V;PRS;V.PTCP
निरीक्षक	observateurs	निरीक्षक	observateur	N;NOM;MASC;SG;3	N;MASC;PL
अल्फ़ा	alpha	अल्फ़ा	alpha	PROPN;NOM;MASC;SG;3	PROPN
हैरिस	harris	हैरिस	harris	PROPN;NOM;MASC;SG;3	PROPN
सावधान	discret	सावधान	discret	ADP	ADJ;MASC;SG
सावधान	discrète	सावधान	discret	ADP	ADJ;FEM;SG
सावधान	discrètes	सावधान	discret	ADP	ADJ;FEM;PL
सावधान	discrets	सावधान	discret	ADP	ADJ;MASC;PL
गियर	engins	गियर	engin	N;NOM;MASC;SG;3	N;MASC;PL
अंडाकार	elliptique	अंडाकार	elliptique	N;NOM;MASC;SG;3	ADJ;MASC;SG
सर्कस	cirques	सर्कस	cirque	N;NOM;MASC;SG;3	N;MASC;PL
अल्बानिया	albanie	अल्बानिया	albanie	PROPN;NOM;MASC;SG;3	N;FEM;SG
बादाम	amandes	बादाम	amande	N;NOM;MASC;SG;3	N;FEM;PL
बादाम	amandes	बादाम	amande	N;NOM;MASC;SG;3	N;FEM;PL
कगार	rebord	कगार	rebord		N;MASC;SG
कगार	corniche	कगार	corniche		N;FEM;SG
नागा	naga	नागा	naga	PROPN;NOM;MASC;SG;3	PROPN
मिनेसोटा	minnesota	मिनेसोटा	minnesota	PROPN;NOM;MASC;SG;3	PROPN
अंडा	œufs	अंडा	œuf	N;NOM;MASC;SG;3	N;MASC;PL
अंडा	oeufs	अंडा	oeuf	N;NOM;MASC;SG;3	N;MASC;PL
परवेज़	pervez	परवेज़	perver	PROPN;NOM;MASC;SG;3	PROPN
एलर्जी	allergies	एलर्जी	allergie	N;NOM;FEM;SG;3	N;FEM;PL
एलर्जी	allergiques	एलर्जी	allergique	N;NOM;FEM;SG;3	ADJ;MASC;PL
वर्दी	uniformes	वर्दी	uniforme	N;NOM;FEM;SG;3	ADJ;MASC;PL
वर्दी	uniforme	वर्दी	uniforme	N;NOM;FEM;SG;3	ADJ;MASC;SG
वर्दी	uniforme	वर्दी	uniforme	N;NOM;FEM;SG;3	ADJ;MASC;SG
वर्दी	uniformes	वर्दी	uniforme	N;NOM;FEM;SG;3	ADJ;MASC;PL
सूर्यास्त	coucher	सूर्यास्त	coucher	N;NOM;MASC;SG;3	V;NFIN
सूर्यास्त	sunset	सूर्यास्त	sunset	N;NOM;MASC;SG;3	PROPN
ऐश	frêne	ऐश	frêne		N;MASC;SG
ऐश	cendres	ऐश	cendre		N;FEM;PL
ऐश	ash	ऐश	ash		
ऐश	cendre	ऐश	cendre		N;FEM;SG
कैलोरी	calories	कैलोरी	calorie	N;NOM;FEM;SG;3	N;FEM;PL
कैलोरी	calorique	कैलोरी	calorique	N;NOM;FEM;SG;3	ADJ;MASC;SG
कैलोरी	calories	कैलोरी	calorie	N;NOM;FEM;SG;3	N;FEM;PL
कैलोरी	calorique	कैलोरी	calorique	N;NOM;FEM;SG;3	ADJ;MASC;SG
कैलोरी	cal	कैलोरी	cal	N;NOM;FEM;SG;3	
मताधिकार	franchises	मताधिकार	franchise	N;NOM;MASC;SG;3	N;FEM;PL
मताधिकार	franchisé	मताधिकार	franchiser	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
मताधिकार	franchisés	मताधिकार	franchiser	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
वृत्ताकार	circulaire	वृत्ताकार	circulaire	N;NOM;MASC;SG;3	ADJ;MASC;SG
वृत्ताकार	circulaires	वृत्ताकार	circulaire	N;NOM;MASC;SG;3	ADJ;MASC;PL
निर्वासित	expulser	निर्वासित	expulser	ADJ	V;NFIN
सरस	juteuse	सरस	juteur		ADJ;FEM;SG
सरस	juteux	सरस	juteux		ADJ;MASC;SG
स्ट्रिंग	cordes	स्ट्रिंग	corde	N;NOM;FEM;SG;3	N;FEM;PL
बुनाई	tissage	बुना	tissage		N;MASC;SG
बुनाई	tisser	बुना	tisser		V;NFIN
बुनाई	tricot	बुना	tricot		N;MASC;SG
बुनाई	tricoter	बुना	tricoter		V;NFIN
विवाहित	mariées	विवाहित	marier	N;NOM;MASC;SG;3	V;FEM;PL;PST;V.PTCP
विवाहित	mariés	विवाहित	marier	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
विवाहित	mariée	विवाहित	marier	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
विवाहित	marié	विवाहित	marier	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
आभा	abha	आभा	abha	PROPN;NOM;FEM;SG;3	PROPN
आभा	aura	आभा	avoir	PROPN;NOM;FEM;SG;3	V;IND;SG;3;FUT;FIN
आभा	auras	आभा	auras	PROPN;NOM;FEM;SG;3	V;IND;SG;2;FUT;FIN
मांसाहारी	carnivores	मांसाहारी	carnivore	N;NOM;MASC;SG;3	N;MASC;PL
मांसाहारी	carnivore	मांसाहारी	carnivore	N;NOM;MASC;SG;3	ADJ;MASC;SG
बॉन	bonn	बॉन	bonn	PROPN;NOM;MASC;SG;3	PROPN
पाँव	pieds	पाँव	pied	N;NOM;MASC;SG;3	N;MASC;PL
केश	kesh	केश	kesh	N;NOM;MASC;SG;3	
द्वेष	haine	द्वेष	haine	PROPN;NOM;MASC;SG;3	N;FEM;SG
द्वेष	méchanceté	द्वेष	méchanceté	PROPN;NOM;MASC;SG;3	N;FEM;SG
द्वेष	malice	द्वेष	malice	PROPN;NOM;MASC;SG;3	N;FEM;SG
रेखांकित	soulignés	रेखांकित	souligner	ADJ	V;MASC;PL;PST;V.PTCP
रेखांकित	soulignées	रेखांकित	souligné	ADJ	V;FEM;PL;PST;V.PTCP
रेखांकित	soulignée	रेखांकित	souligner	ADJ	V;FEM;SG;PST;V.PTCP
रेखांकित	souligné	रेखांकित	souligner	ADJ	V;MASC;SG;PST;V.PTCP
रेखांकित	souligne	रेखांकित	souligner	ADJ	V;IND;SG;3;PRS;FIN
रेखांकित	soulignons	रेखांकित	soulignon	ADJ	V;IMP;PL;1;PRS;FIN
रेखांकित	souligner	रेखांकित	souligner	ADJ	V;NFIN
रेखांकित	soulignent	रेखांकित	souligner	ADJ	V;IND;PL;3;PRS;FIN
कॉलम	colonnes	कॉलम	colonne	N;NOM;MASC;SG;3	N;FEM;PL
कॉलम	poteaux	कॉलम	poteau	N;NOM;MASC;SG;3	N;MASC;PL
कॉलम	colonnes	कॉलम	colonne	N;NOM;MASC;SG;3	N;FEM;PL
समस्थानिक	isotopique	समस्थानिक	isotopique	N;NOM;MASC;SG;3	ADJ;MASC;SG
चट्टोपाध्याय	chatterjee	चट्टोपाध्याय	chatterjee	PROPN;NOM;MASC;SG;3	PROPN
कहावत	maxime	कहावत	maxime	N;NOM;FEM;SG;3	PROPN
कहावत	maxim	कहावत	maxim	N;NOM;FEM;SG;3	PROPN
टेड	ted	टेड	ted	PROPN;NOM;MASC;SG;3	PROPN
समष्टि	espace	समष्टि	espace		N;MASC;SG
टेलीग्राफ	télégraphique	टेलीग्राफ	télégraphique	N;NOM;MASC;SG;3	ADJ;MASC;SG
प्रत्याशी	candidats	प्रत्याशी	candidat	N;NOM;MASC;SG;3	N;MASC;PL
आवेग	impulsif	आवेग	impulsif	N;NOM;MASC;SG;3	ADJ;MASC;SG
आवेग	impulsions	आवेग	impulsion	N;NOM;MASC;SG;3	N;FEM;PL
मुंडा	munda	मुंडा	munda	PROPN;NOM;MASC;SG;3	PROPN
माधुरी	madhuri	माधुरी	madhuri	PROPN;NOM;FEM;SG;3	PROPN
बर्नार्ड	bernard	बर्नार्ड	bernard	PROPN;NOM;MASC;SG;3	PROPN
बर्नार्ड	barnard	बर्नार्ड	barnard	PROPN;NOM;MASC;SG;3	PROPN
एमिनेम	eminem	एमिनेम	eminem	PROPN;NOM;MASC;SG;3	PROPN
सुनी	écoutés	सुन	écouter	V;PFV;FEM;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
डेव	dave	डेव	dave	PROPN;NOM;MASC;SG;3	PROPN
पारा	mercury	पारा	mercury	N;NOM;MASC;SG;3	PROPN
पारा	para	पारा	para	N;NOM;MASC;SG;3	PROPN
धोखे	trompés	धोखा	tromper	V;MASC;SG;FIN;ACT	V;MASC;PL;PST;V.PTCP
हार्ले	harley	हार्ला	harley		N;FEM;SG
पेंट	peindre	पेंट	peindre	N;NOM;MASC;SG;3	V;NFIN
सोन	fils	सोन	fils	PROPN;NOM;FEM;SG;3	N;MASC;SG
सोन	fiston	सोन	fiston	PROPN;NOM;FEM;SG;3	N;MASC;SG
नीलामी	enchères	नीलामी	enchère	N;NOM;FEM;SG;3	N;FEM;PL
नीलामी	enchères	नीलामी	enchère	N;NOM;FEM;SG;3	N;FEM;PL
नीलामी	adjudications	नीलामी	adjudication	N;NOM;FEM;SG;3	N;FEM;PL
नाटो	otan	नाटो	otan	PROPN;NOM;MASC;SG;3	PROPN
ब्रह्मचर्य	chasteté	ब्रह्मचर्य	chasteté	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
ग्लेन	glen	ग्लेन	glen	PROPN;NOM;MASC;SG;3	PROPN
ग्लेन	vallon	ग्लेन	vallon	PROPN;NOM;MASC;SG;3	N;MASC;SG
ग्लेन	glenn	ग्लेन	glenn	PROPN;NOM;MASC;SG;3	PROPN
विरल	sporadique	विरल	sporadique	CONJ	ADJ;MASC;SG
विरल	sporadiques	विरल	sporadique	CONJ	ADJ;MASC;PL
विरल	rareté	विरल	rareté	CONJ	N;FEM;SG
विरल	rare	विरल	rare	CONJ	ADJ;MASC;SG
विरल	saignant	विरल	saigner	CONJ	V;PRS;V.PTCP
विरल	rares	विरल	rare	CONJ	ADJ;MASC;PL
पिया	bu	पे	bu	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
पिया	buvait	पे	buvoir	PROPN;NOM;MASC;SG;3	V;IND;SG;3;IPFV;FIN
आयामी	dimensionnelle	आयामी	dimensionnel	N;NOM;3	ADJ;FEM;SG
डायमंड	losange	डायमंड	losange	PROPN;NOM;MASC;SG;3	N;MASC;SG
डायमंड	diamond	डायमंड	diamond	PROPN;NOM;MASC;SG;3	PROPN
डायमंड	diamant	डायमंड	diamant	PROPN;NOM;MASC;SG;3	N;MASC;SG
डायमंड	diamants	डायमंड	diamant	PROPN;NOM;MASC;SG;3	N;MASC;PL
महंगी	chères	महंगा	cher	ADJ;FEM;SG	ADJ;FEM;PL
फ्रायड	freud	फ्रायड	freud	PROPN;NOM;MASC;SG;3	PROPN
तर्कसंगत	rationnels	तर्कसंगत	rationnel	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
तर्कसंगत	rationnelle	तर्कसंगत	rationnel	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
तर्कसंगत	rational	तर्कसंगत	rational	PROPN;NOM;MASC;SG;3	PROPN
तर्कसंगत	rationnel	तर्कसंगत	rationnel	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
पीना	boisson	पी	boisson	V;MASC;NFIN;ACT	N;FEM;SG
पीना	potable	पी	potable	V;MASC;NFIN;ACT	ADJ;MASC;SG
पीना	boisson	पी	boisson	V;MASC;NFIN;ACT	N;FEM;SG
पीना	bois	पी	bois	V;MASC;NFIN;ACT	N;MASC;SG
पीना	verre	पी	verre	V;MASC;NFIN;ACT	N;MASC;SG
पीना	boissons	पी	boisson	V;MASC;NFIN;ACT	N;FEM;PL
