для	for	для	for	ADP	
последовательности	συνεκτικότητα	последовательность	συνεκτικότητα	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
последовательности	συνέπεια	последовательность	συνέπεια	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
последовательности	συνοχή	последовательность	συνοχή	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
последовательности	αλληλουχία	последовательность	αλληλουχία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
последовательности	ακολουθία	последовательность	ακολουθία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
корпорации	corporation	корпорация	corporation	N;INAN;NOM;FEM;PL	
критику	επικρίσεις	критика	επίκριση	N;INAN;ACC;FEM;SG	N;NOM;FEM;PL
зелёные	πράσινη	зеленый	πράσινος	ADJ;NOM;PL	ADJ;NOM;FEM;SG
зелёные	πράσινα	зеленый	πράσινος	ADJ;NOM;PL	ADV
зелёные	πράσινος	зеленый	πράσινος	ADJ;NOM;PL	ADJ;NOM;MASC;SG
зелёные	πράσινο	зеленый	πράσινο	ADJ;NOM;PL	PROPN;NOM;NEUT;SG
зелёные	πρασινο	зеленый	πρασινο	ADJ;NOM;PL	N;NOM;NEUT;SG
зелёные	πράσινοι	зеленый	πράσινος	ADJ;NOM;PL	N;NOM;MASC;PL
зелёные	πρασίνων	зеленый	πράσινος	ADJ;NOM;PL	ADJ;GEN;FEM;PL
консул	ύπατος	консул	ύπατος	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
нобелевской	νόμπελ	нобелевский	νόμπελ	ADJ;INS;FEM;SG	N;NOM;NEUT;SG
хилл	λόφος	хилл	λόφος		N;NOM;MASC;SG
хилл	χιλ	хилл	χιλ		
хилл	hill	хилл	hill		
провинций	επαρχίες	провинция	επαρχία	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
разговор	συζήτηση	разговор	συζήτηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
разговор	συνομιλία	разговор	συνομιλία	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
разговор	μιλήσω	разговор	μιλώ	N;INAN;NOM;MASC;SG	V;PFV;IND;SG;1;FIN;ACT
разговор	μιλήστε	разговор	μιλώ	N;INAN;NOM;MASC;SG	V;PFV;IMP;PL;2;FIN;ACT
разговор	μίλα	разговор	μίλος	N;INAN;NOM;MASC;SG	
сара	σάρα	сар	σάρα	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
сара	sara	сар	sara	N;ANIM;NOM;FEM;SG	
сара	σάρα	сар	σάρα	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
посадки	φύτευση	посадка	φύτευση	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
посадки	φύτευσης	посадка	φύτευση	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
посадки	εκφόρτωση	посадка	εκφόρτωση	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
посадки	προσγείωση	посадка	προσγείωση	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
сербия	σερβία	сербия	σερβία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
концентрация	συγκέντρωση	концентрация	συγκέντρωση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
карту	χάρτης	карта	χάρτης	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
карту	κάρτα	карта	κάρτα	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
печать	εκτυπώσεις	печать	εκτύπωση	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
печать	seal	печать	seal	N;INAN;NOM;FEM;SG	
разделить	share	разделить	share	V;PFV;NFIN;ACT	
разделить	κοινοποίηση	разделить	κοινοποίηση	V;PFV;NFIN;ACT	N;NOM;FEM;SG
разделить	μετοχή	разделить	μετοχή	V;PFV;NFIN;ACT	N;NOM;FEM;SG
разделить	μερίδιο	разделить	μερίδιο	V;PFV;NFIN;ACT	N;NOM;NEUT;SG
разделить	διαχωρισμός	разделить	διαχωρισμός	V;PFV;NFIN;ACT	N;NOM;MASC;SG
разделить	διάσπαση	разделить	διάσπαση	V;PFV;NFIN;ACT	N;NOM;FEM;SG
разделить	σπλιτ	разделить	σπλιτ	V;PFV;NFIN;ACT	
разделить	διαίρεση	разделить	διαίρεση	V;PFV;NFIN;ACT	N;NOM;FEM;SG
разделить	μοιρασιά	разделить	μοιρασία	V;PFV;NFIN;ACT	N;ACC;FEM;SG
разделить	χάσμα	разделить	χάσμα	V;PFV;NFIN;ACT	N;NOM;NEUT;SG
разделить	διαίρεση	разделить	διαίρεση	V;PFV;NFIN;ACT	N;NOM;FEM;SG
поездки	travel	поездка	travel	N;INAN;NOM;FEM;PL	
поездки	ταξίδι	поездка	ταξίδι	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
падение	πέφτω	падение	πέφτω	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
падение	πτώση	падение	πτώση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
падение	πέφτοντας	падение	πέφτω	N;INAN;NOM;NEUT;SG	V;IPFV;V.CVB;ACT
падение	πτώση	падение	πτώση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
двери	πορτα	дверь	πορτα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
двери	πόρτα	дверь	πόρτα	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
железнодорожных	σιδηρόδρομος	железнодорожный	σιδηρόδρομος	ADJ;GEN;PL	N;NOM;MASC;SG
железнодорожных	σιδηροδρόμων	железнодорожный	σιδηρόδρομα	ADJ;GEN;PL	N;GEN;MASC;PL
железнодорожных	σιδηροδρομικός	железнодорожный	σιδηροδρομικός	ADJ;GEN;PL	ADJ;NOM;MASC;SG
железнодорожных	σιδηρόδρομος	железнодорожный	σιδηρόδρομος	ADJ;GEN;PL	N;NOM;MASC;SG
космической	space	космический	space	ADJ;INS;FEM;SG	
космической	χώρος	космический	χώρος	ADJ;INS;FEM;SG	N;NOM;MASC;SG
космической	χώρο	космический	χώρος	ADJ;INS;FEM;SG	N;ACC;MASC;SG
космической	διαστημα	космический	διαστημα	ADJ;INS;FEM;SG	N;NOM;NEUT;SG
космической	διάστημα	космический	διάστημα	ADJ;INS;FEM;SG	N;NOM;NEUT;SG
включить	ένθετο	включить	ένθετος	V;PFV;NFIN;ACT	N;NOM;NEUT;SG
включить	εισαγωγή	включить	εισαγωγή	V;PFV;NFIN;ACT	N;NOM;FEM;SG
включить	ενεργοποίηση	включить	ενεργοποίηση	V;PFV;NFIN;ACT	N;ACC;FEM;SG
включить	συμπερίληψη	включить	συμπερίληψη	V;PFV;NFIN;ACT	N;ACC;FEM;SG
включить	περιλαμβάνουν	включить	περιλαμβάνω	V;PFV;NFIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
хоккей	χόκεϊ	хоккей	χόκεϊ	N;INAN;NOM;MASC;SG	
узбекистан	ουζμπεκιστάν	узбекистан	ουζμπεκιστάν	N;INAN;NOM;MASC;SG	
бангладеш	μπανγκλαντές	бангладеш	μπανγκλαντής	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
цепи	κυκλωμάτων	цепь	κύκλωμα	N;INAN;NOM;FEM;PL	N;GEN;NEUT;PL
управляющий	μάνατζερ	управлять	μάνατζερ	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT	N;NOM;NEUT;PL
управляющий	διαχειριστής	управлять	διαχειριστής	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT	N;NOM;MASC;SG
управляющий	διευθυντής	управлять	διευθυντής	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT	N;NOM;MASC;SG
церемония	τελετή	церемония	τελετός	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
решила	αποφασίστηκε	решить	αποφασίζω	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
решила	αποφάσισαν	решить	αποφασίζω	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;PFV;IND;PL;3;PST;FIN;ACT
девы	παρθένος	дева	παρθένος	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG
входа	σύνδεση	вход	σύνδεση	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
входа	συνδεθείτε	вход	συνδέω	N;INAN;GEN;MASC;SG	V;PFV;IMP;PL;2;FIN;ACT
атлас	atlas	атлас	atlas	N;INAN;NOM;MASC;SG	
чувство	αίσθηση	чувство	αίσθηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
схеме	μοτίβο	схема	μοτίβο	N;INAN;DAT;FEM;SG	N;NOM;NEUT;SG
представил	παρουσιάστηκαν	представить	παρουσιάζω	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;PL;3;PST;FIN;PASS
представил	παρουσιάζεται	представить	παρουσιάζω	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
представил	παρουσιάστηκε	представить	παρουσιάζω	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
организаторов	διοργανωτές	организатор	διοργανωτής	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
организаторов	διοργανωτές	организатор	διοργανωτής	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
взрыв	ριπή	взрыв	ριπή	N;INAN;NOM;MASC;SG	ADP
взрыв	έκρηξη	взрыв	έκρηξη	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
взрыв	έκρηξη	взрыв	έκρηξη	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
взрыв	βομβαρδισμό	взрыв	βομβαρδισμός	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
взрыв	βομβαρδισμοί	взрыв	βομβαρδισμός	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
фернандо	φερνάντο	фернандо	φερνάν	N;ANIM;NOM;MASC;SG	
маршал	marshall	маршал	marshall	N;ANIM;NOM;MASC;SG	
маршал	μάρσαλ	маршал	μάρσαλ	N;ANIM;NOM;MASC;SG	
галереи	γκαλερί	галерея	γκαλώ	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
галереи	στοά	галерея	στοά	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
галереи	gallery	галерея	gallery	N;INAN;NOM;FEM;PL	
галереи	γκαλερί	галерея	γκαλώ	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
максимум	μέγιστη	максимум	μέγιστος	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
максимум	μέγιστος	максимум	μέγιστος	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
волосы	τρίχα	волос	τρίχος	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG
сравнение	συγκρίνοντας	сравнение	συγκρίνω	N;INAN;NOM;NEUT;SG	V;IPFV;V.CVB;ACT
лента	ζωοτροφών	лента	ζωοτροφή	N;INAN;NOM;FEM;SG	N;GEN;FEM;PL
лента	ζωοτροφές	лента	ζωοτροφή	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
лента	τροφοδοσία	лента	τροφοδοσία	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
муз	μούσες	муза	μούσα		N;NOM;FEM;PL
доп	dop	доп	dop	N;INAN;NOM;FEM;SG	
останки	παραμένει	останки	παραμένω	N;INAN;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
останки	απομένει	останки	απομένω	N;INAN;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
уайт	λευκός	уайт	λευκός	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
уайт	λευκή	уайт	λευκός	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
уайт	λευκά	уайт	λευκός	N;ANIM;NOM;MASC;SG	N;NOM;NEUT;PL
зелёная	πράσινα	зеленый	πράσινος	ADJ;NOM;FEM;SG	ADV
зелёная	πράσινο	зеленый	πράσινο	ADJ;NOM;FEM;SG	PROPN;NOM;NEUT;SG
зелёная	πρασινο	зеленый	πρασινο	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
ручей	κρικ	ручей	κρικ	N;INAN;NOM;MASC;SG	PROPN;NOM;NEUT;SG
ручей	stream	ручей	stream	N;INAN;NOM;MASC;SG	
носили	φορούσε	носить	φορώ	V;IPFV;IND;PL;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
носили	φορέσει	носить	φορώ	V;IPFV;IND;PL;PST;FIN;ACT	V;PFV;NFIN;ACT
донецк	ντονέτσκ	донецк	ντονέτσκ	N;INAN;NOM;MASC;SG	
абхазии	αμπχαζία	абхазия	αμπχαζία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
любая	οποιαδήποτε	любой	οποιοσδήποτε	DET;NOM;FEM;SG	PRO;NOM;FEM;SG;3
заказу	ανέθεσε	заказ	αναθέτω	N;INAN;DAT;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
аварии	συντριβή	авария	συντριβός	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
аварии	κρας	авария	κρας	N;INAN;NOM;FEM;PL	N;NEUT;SG
аварии	ατύχημα	авария	ατύχημα	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
аварии	δυστύχημα	авария	δυστύχημα	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
медиа	media	медиа	media	N;INAN;NOM;NEUT;SG	
компьютер	υπολογιστή	компьютер	υπολογιστής	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
компьютер	υπολογιστές	компьютер	υπολογιστής	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
танец	χόρεψε	танец	χορώ	N;INAN;NOM;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
танец	dance	танец	dance	N;INAN;NOM;MASC;SG	
танец	χορό	танец	χορό	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
уровней	βαθμίδες	уровень	βαθμίδα	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
уровней	επίπεδα	уровень	επίπεδο	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
спас	αποθηκευμένα	спасти	αποθηκεύω	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
спас	αποθηκεύτηκε	спасти	αποθηκώ	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
спас	σώθηκε	спасти	σώνω	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
спас	αποθηκευμένες	спасти	αποθηκεύω	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;NOM;FEM;PL;V.PTCP;PASS
ресурс	πόρο	ресурс	πόρο	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
азия	ασία	азия	ασία	N;INAN;NOM;FEM;SG	PROPN;NOM;FEM;SG
азия	ασίας	азия	ασία	N;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
груди	θώρακα	грудь	θώρακας	N;INAN;NOM;FEM;SG	N;VOC;MASC;SG
груди	θωρακικό	грудь	θωρακικός	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
груди	στήθη	грудь	στέκη	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
груди	στήθια	грудь	στήθιο	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
умолчанию	προκαθορισμένα	умолчание	προκαθορίζω	N;INAN;DAT;NEUT;SG	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
умолчанию	αθέτηση	умолчание	αθέτηση	N;INAN;DAT;NEUT;SG	N;ACC;FEM;SG
умолчанию	προκαθορισμένη	умолчание	προκαθορίζω	N;INAN;DAT;NEUT;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
умолчанию	προκαθορισμένο	умолчание	προκαθορίζω	N;INAN;DAT;NEUT;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
умолчанию	προεπιλογή	умолчание	προεπιλογή	N;INAN;DAT;NEUT;SG	N;NOM;FEM;SG
длинный	μακρύ	длинный	μακρύς	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
длинный	λονγκ	длинный	λονγκ	ADJ;NOM;MASC;SG	
длинный	long	длинный	long	ADJ;NOM;MASC;SG	
любую	οποιαδήποτε	любой	οποιοσδήποτε	DET;ACC;FEM;SG	PRO;NOM;FEM;SG;3
казалось	φάνηκε	казаться	φαίνομαι	V;IPFV;NEUT;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;PASS
казалось	φαινόταν	казаться	φαίνομαι	V;IPFV;NEUT;IND;SG;PST;FIN;MID	V;IPFV;IND;SG;3;PST;FIN;PASS
ярослав	jaroslav	ярослать	jaroslav	N;ANIM;NOM;MASC;SG	
вина	κρασιά	вино	κρασί	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
вина	οίνοι	вино	οίνος	N;INAN;NOM;NEUT;SG	N;NOM;MASC;PL
вина	ενοχές	вино	ενοχή	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
вина	τύψεις	вино	τύψη	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
вина	κρασιά	вино	κρασί	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;PL
лгбт	λοατ	лгбта	λοατ	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL
пересечения	διέλευση	пересечение	διέλευση	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
пересечения	διάβαση	пересечение	διάβαση	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
пересечения	διασχίζοντας	пересечение	διασχίζω	N;INAN;NOM;NEUT;PL	V;IPFV;V.CVB;ACT
пересечения	τομή	пересечение	τομή	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
пересечения	διασταύρωση	пересечение	διασταύρωση	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
жидкости	υγρή	жидкость	υγρή	N;INAN;NOM;FEM;PL	ADJ;NOM;FEM;SG
жидкости	υγρός	жидкость	υγρός	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG
жидкости	υγρό	жидкость	υγρό	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
полуострове	χερσόνησο	полуостров	χερσόνησος	N;INAN;ESS;MASC;SG	N;ACC;FEM;SG
закончился	έληξε	закончиться	λήγω	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;ACT
узел	κόμπο	узел	κόμπος	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
скота	ζώα	скот	ζώο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;PL
перенос	μετάθεση	перенос	μετάθεση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
перенос	μεταβίβαση	перенос	μεταβίβαση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
защищать	προστατέψω	защищать	προστατέψω	V;IPFV;NFIN;ACT	V;PFV;IND;SG;1;FIN;ACT
защищать	προστάτεψε	защищать	προστατεύω	V;IPFV;NFIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
защищать	υπερασπιστεί	защищать	υπερασπίζω	V;IPFV;NFIN;ACT	V;PFV;NFIN;PASS
кол	col	кол	col	N;INAN;NOM;MASC;SG	
захват	σύλληψη	захват	σύλληψη	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
захват	κατάσχεση	захват	κατάσχεση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
массового	μάζα	массовый	μάζα	ADJ;GEN;NEUT;SG	N;NOM;FEM;SG
ежедневно	ημερήσια	ежедневно	ημερήσιος	ADV	ADJ;NOM;FEM;SG
ежедневно	καθημερινή	ежедневно	καθημερινός	ADV	ADJ;NOM;FEM;SG
ежедневно	καθημερινές	ежедневно	καθημερινός	ADV	ADJ;NOM;FEM;PL
хвост	ουράς	хвост	ουρός	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
видимости	ορατότητα	видимость	ορατότητα	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
вручную	χειροκίνητο	вручную	χειροκίνητο	ADV	N;NOM;NEUT;SG
вручную	χειροκίνητα	вручную	χειροκίνητο	ADV	N;NOM;NEUT;PL
вручную	χειροκίνητη	вручную	χειροκίνητο	ADV	ADJ;NOM;FEM;SG
вручную	εγχειρίδιο	вручную	εγχειρίδιο	ADV	N;NOM;NEUT;SG
вручную	χειροκίνητα	вручную	χειροκίνητο	ADV	N;NOM;NEUT;PL
постоянный	μόνιμες	постоянный	μόνιμος	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
постоянный	μόνιμα	постоянный	μόνιμα	ADJ;NOM;MASC;SG	ADV
постоянный	σταθερά	постоянный	σταθερά	ADJ;NOM;MASC;SG	ADV
аренды	μίσθωση	аренда	μίσθωση	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
аренды	εκμίσθωση	аренда	εκμίσθωση	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
зрители	κοινό	зритель	κοινό	N;ANIM;NOM;MASC;PL	N;NOM;NEUT;SG
зрители	ακροατήριο	зритель	ακροατήριο	N;ANIM;NOM;MASC;PL	N;NOM;NEUT;SG
зрители	κοινο	зритель	κοινο	N;ANIM;NOM;MASC;PL	N;NOM;NEUT;SG
старт	ξεκινήστε	старт	ξεκινώ	N;INAN;NOM;MASC;SG	V;PFV;IND;PL;2;FIN;ACT
старт	ξεκίνα	старт	ξεκίνα	N;INAN;NOM;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
старт	εκκίνηση	старт	εκκίνηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
старт	έναρξη	старт	έναρξη	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
опытный	βιώσει	опытный	βιώνω	ADJ;NOM;MASC;SG	V;PFV;NFIN;ACT
опытный	έμπειρος	опытный	έμπειρος	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
вторжения	εισβολή	вторжение	εισβολή	N;INAN;NOM;NEUT;PL	N;ACC;FEM;SG
смоленск	σμολένσκ	смоленск	σμολένσκ	N;INAN;NOM;MASC;SG	
исключение	εξαίρεση	исключение	εξαίρεση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
исключение	εξαίρεση	исключение	εξαίρεση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
исключение	αποκλεισμού	исключение	αποκλεισμός	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
хор	glee	хор	glee	N;INAN;NOM;MASC;SG	
возражений	ενστάσεις	возражение	ένσταση	N;INAN;GEN;NEUT;PL	N;NOM;FEM;PL
возражений	αντιρρήσεις	возражение	αντίρρηση	N;INAN;GEN;NEUT;PL	N;NOM;FEM;PL
осетии	οσετία	осетия	οσετία	N;INAN;NOM;NEUT;PL	PROPN;NOM;FEM;SG
джерри	τζέρι	джеррь	τζέρι	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
джерри	τζέρι	джеррь	τζέρι	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
пациентов	ασθενείς	пациент	ασθενής	N;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;PL
избирателей	ψηφοφόρους	избиратель	ψηφόφορος	N;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;PL
избирателей	εκλογείς	избиратель	εκλογέας	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
избирателей	ψηφοφόρων	избиратель	ψηφόφορος	N;ANIM;GEN;MASC;PL	ADJ;GEN;FEM;PL
избирателей	ψηφοφόρους	избиратель	ψηφόφορος	N;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;PL
избирателей	ψηφοφόροι	избиратель	ψηφοφόρος	N;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;PL
внешняя	εξωτερικά	внешний	εξωτερικά	ADJ;NOM;FEM;SG	ADV
внешняя	εξωτερικό	внешний	εξωτερικό	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
римская	ρωμαίος	римский	ρωμαίος	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG
римская	ρόμαν	римский	ρόμα	ADJ;NOM;FEM;SG	
густав	γκούσταβ	густав	γκούσταβ	N;ANIM;NOM;MASC;SG	
сэм	sam	сэм	sam	N;ANIM;NOM;MASC;SG	
сэм	σαμ	сэм	σαμ	N;ANIM;NOM;MASC;SG	
корма	ζωοτροφή	корм	ζωοτροφή	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
корма	ζωοτροφών	корм	ζωοτροφή	N;INAN;GEN;MASC;SG	N;GEN;FEM;PL
корма	ζωοτροφές	корм	ζωοτροφή	N;INAN;GEN;MASC;SG	N;NOM;FEM;PL
корма	τροφοδοσία	корм	τροφοδοσία	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG
корма	ροή	корм	ροή	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
преобразования	μετατρέψει	преобразование	μετατρέπω	N;INAN;NOM;NEUT;PL	V;PFV;NFIN;ACT
преобразования	μεταμόρφωση	преобразование	μεταμόρφωση	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
преобразования	μεταμόρφωση	преобразование	μεταμόρφωση	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
календарь	ημερολογιακό	календарь	ημερολογιακός	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
республик	δημοκρατίες	республика	δημοκρατία	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
республик	δημοκρατιών	республика	δημοκρατία	N;INAN;GEN;FEM;PL	ADJ;GEN;FEM;PL
археологии	αρχαιολογία	археология	αρχαιολογία	N;INAN;GEN;FEM;SG	N;NOM;FEM;SG
археологии	αρχαιολογία	археология	αρχαιολογία	N;INAN;GEN;FEM;SG	N;NOM;FEM;SG
освещения	φωτισμός	освещение	φωτισμός	N;INAN;NOM;NEUT;PL	N;NOM;MASC;SG
освещения	φωτισμού	освещение	φωτισμός	N;INAN;NOM;NEUT;PL	N;GEN;MASC;SG
освещения	φωτισμός	освещение	φωτισμός	N;INAN;NOM;NEUT;PL	N;NOM;MASC;SG
освещения	φωτισμού	освещение	φωτισμός	N;INAN;NOM;NEUT;PL	N;GEN;MASC;SG
освещения	φωτισμό	освещение	φωτισμός	N;INAN;NOM;NEUT;PL	N;ACC;MASC;SG
келли	kelly	келль	kelly	N;ANIM;NOM;FEM;SG	
келли	κέλυ	келль	κέλυ	N;ANIM;NOM;FEM;SG	
келли	κέλι	келль	κέλι	N;ANIM;NOM;FEM;SG	
келли	κέλλυ	келль	κέλλο	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
пушкин	πούσκιν	пушкин	πούσκιν	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
сформирован	σχηματίζεται	сформировать	σχηματίζω	V;PFV;MASC;SG;PST;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
удалены	αφαιρέθηκε	удалить	αφαιρώ	V;PFV;PL;PST;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
административные	διοικητική	административный	διοικητικός	ADJ;NOM;PL	ADJ;NOM;FEM;SG
административные	διοικητικός	административный	διοικητικός	ADJ;NOM;PL	ADJ;NOM;MASC;SG
административные	διοικητικά	административный	διοικητικός	ADJ;NOM;PL	ADV
административные	διοικητικό	административный	διοικητικός	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
графики	γραφικά	график	γραφικά	N;INAN;NOM;MASC;PL	ADV
