το	на
μεταφραστεί	преведен
μαντόνα	мадона
ευρωπαίοι	европејци
ευρωπαίοι	европјани
ευρωπαίοι	европејците
επέβαλε	наметнати
επέβαλε	наметната
επέβαλε	наметнат
ναρκωτικών	дрога
τεράστιες	огромен
τεράστιες	огромно
τεράστιες	огромна
τεράστιες	огромни
μαθηματικό	математички
μαθηματικό	математичка
θερμική	термичка
ιντιάνα	индијана
εγκαίνια	инаугурацијата
εγκαίνια	отворање
εγκαίνια	отварање
διάνυσμα	вектор
θίασο	трупа
συνασπισμό	коалиција
πλησιάζει	приближува
τομή	раскрсница
τομή	крстосница
τομή	засек
τομή	рез
δημοφιλείς	популарно
δημοφιλείς	популарен
δημοφιλείς	популарни
δημοφιλείς	популарна
δημοφιλείς	популарно
δημοφιλείς	популарна
δημοφιλείς	популарни
λεία	мазна
λεία	мазно
λεία	плен
κρατώντας	чување
κρατώντας	држење
κρατώντας	холдинг
κατευθύνσεις	упатство
κατευθύνσεις	насоки
χαμηλότερο	најниската
χαμηλότερο	најниска
χαμηλότερο	најнизок
χαμηλότερο	најниски
χαμηλότερο	најниско
χαμηλότερο	долна
χαμηλότερο	пониско
χαμηλότερο	долен
διδάσκει	предава
βοηθάει	помагаат
βοηθάει	помага
λωρίδες	пруги
σταδιακή	постепено
πολιτιστικά	културни
πολιτιστικά	културен
πολιτιστικά	културно
πολιτιστικά	културна
πλάγια	странична
πλάγια	italics
πλάγια	курзив
επιτάχυνση	забрзување
επιτάχυνση	забрзуваат
επιτάχυνση	забрзување
επέτειο	годишнина
επέτειο	годишница
επέτειο	годишнината
πότερ	потер
καλεί	поканува
καλεί	покани
καλεί	повици
καλεί	јавувања
καλεί	повикува
γειτονικές	соседна
γειτονικές	соседни
καταστολή	репресија
καταστολή	потисне
καταστολή	потиснување
καταστολή	сузбие
καταστολή	потиснување
καταστολή	притисоци
οριζόντια	хоризонтални
οριζόντια	хоризонтално
πελάτες	клиенти
πελάτες	муштерии
πελάτες	клиенти
δημοσιεύσεις	објави
δημοσιεύσεις	публикации
ειδικοί	специјалисти
ειδικοί	експерти
βορειοανατολική	североисточна
βορειοανατολική	североисточно
βορειοανατολική	северозапад
βορειοανατολική	североисток
αντοχή	снага
αντοχή	сила
αντοχή	силата
αντοχή	отпорност
αντοχή	издржливост
αντοχή	отпорност
αντοχή	отпорот
αντοχή	отпор
αντοχή	издржливост
αντοχή	кондиција
αγόρια	дечки
αγόρια	момци
αγόρια	момчиња
αγόρια	машки
επεξεργαστή	процесор
σλοβακία	словачка
αλέξιος	алексиј
ιδιωτικά	приватно
ιδιωτικά	приватно
ιδιωτικά	приватен
ιδιωτικά	приватна
ιδιωτικά	приватни
θρίλερ	трилер
κοινός	обичен
κοινός	заедничка
κοινός	заеднички
κοινός	вообичаено
κοινός	општо
θύελλα	сторм
θύελλα	бура
θύελλα	олуја
θύελλα	невреме
ιταλούς	италијанците
ιταλούς	италијанци
ξεπεράσει	надмине
ξεπεράσει	надминати
ξεπεράσει	надминување
ξεπεράσει	надмине
ξεπεράσει	надминат
ακολουθείται	следев
ακολουθείται	следена
ακολουθείται	следени
ακολουθείται	следеше
πορτογαλικά	португалски
ταϊβάν	тајван
τιμ	тим
κλείνει	затвара
κλείνει	затвора
θέρμανση	топлина
θέρμανση	жештина
θέρμανση	греење
μπουένος	буенос
πρόληψη	спречување
πρόληψη	превенција
θέλοντας	сакање
θέλοντας	сакајќи
άνταμ	адам
νεκρό	мртво
νεκρό	мртов
νεκρό	мртви
νεκρό	мртва
πρέβεζα	превеза
αναθεώρηση	прегледај
αναθεώρηση	преглед
αναθεώρηση	ревизија
επίτιμος	почесен
προεδρικό	претседателски
προεδρικό	претседателска
προεδρικό	претседателско
ανεπάρκεια	дефицит
καταλόγου	именик
καταλόγου	папка
σκιά	сенка
σκιά	сенката
σκιά	сенка
σκιά	нијанса
εξαγωγή	извоз
εξαγωγή	изнесување
εξαγωγή	изнесување
καθυστέρηση	одложи
καθυστέρηση	доцнење
καθυστέρηση	одложување
καθυστέρηση	одложувања
καθυστέρηση	доцнења
καθυστέρηση	одложен
καθυστέρηση	одложено
συνομοσπονδία	конфедерација
αποκάλυψε	откриваат
αποκάλυψε	откриени
αποκάλυψε	откриен
αποκάλυψε	откриена
αποκάλυψε	откри
εκφράζεται	искажано
εκφράζεται	изрази
εκφράζεται	изразено
εκφράζεται	изразена
εκφράζεται	изразил
διαφωνίες	спорови
διαφωνίες	расправии
διαφωνίες	несогласувања
διαφωνίες	несогласувањата
επιβατών	патници
επιβατών	патник
αγροτικές	рурален
αγροτικές	рурална
αγροτικές	рурални
αγροτικές	руралните
συλλογική	колективни
συλλογική	колектив
συλλογική	колективна
συλλογική	колективно
συλλογική	колективен
προστάτης	заштитник
προστάτης	простата
προστάτης	простатата
προστάτης	патрон
λειψία	лајпциг
αντιγόνη	антигона
κατάστημα	шоп
κατάστημα	продавница
κατάστημα	продавница
συντονισμού	координација
λιβύης	либискиот
λιβύης	либиски
λιβύης	либија
απεικονίσεις	илустрации
τσάρος	цар
νότιος	јужен
νότιος	јужна
νότιος	јужни
μπασίστα	басист
ξένοι	туѓинци
ξένοι	странци
ξένοι	непознати
ξένοι	странци
ξένοι	странците
χούντα	хунтата
χούντα	хунта
ξεκάθαρα	јасно
ξεκάθαρα	очигледно
παραγγελία	наредил
παραγγελία	ред
παραγγελία	наредба
παραγγελία	нарачка
παραγγελία	редослед
αγαθά	стока
αγαθά	стоки
απειλές	закани
εχθρό	непријателот
εχθρό	непријател
περίοδοι	периоди
σκληρά	тешко
σκληρά	тврд
σκληρά	силно
σκληρά	јако
πόρτες	врати
αυτοβιογραφία	автобиографија
τζέιν	jane
τζέιν	џејн
τζέιν	јане
ούρα	урина
ούρα	урината
ούρα	ura
πυρηνική	нуклеарна
πυρηνική	нуклеарно
πυρηνική	нуклеарни
πυρηνική	нуклеарен
ανάμνηση	спомен
ανάμνηση	меморија
ανάμνηση	сеќавање
υπολογιστής	калкулатор
υπολογιστής	компјутер
δαβίδ	дејвид
δαβίδ	david
δαβίδ	давид
εγγραφή	снимање
εγγραφή	регистрација
απέδειξε	докажа
απέδειξε	докаже
ταχεία	забрзани
ταχεία	забрзано
ταχεία	забрзан
ταχεία	забрзана
ταχεία	брза
σιμόν	симон
σιμόν	simon
σιμόν	сајмон
σιμόν	симон
άιρες	аирес
μπουν	благодет
μπουν	бун
ολυμπία	олимпија
εξωτερικός	надворешен
εξωτερικός	надворешно
εξωτερικός	надворешни
εξωτερικός	надворешна
άξονας	осовина
άξονας	оска
προφήτης	пророк
συμεών	семјон
συμεών	симеон
ανώνυμος	анонимни
ανώνυμος	анонимен
ανώνυμος	анонимно
παρατήρησε	набљудувај
αντιπρόσωπος	претставничка
αντιπρόσωπος	претставник
αντιπρόσωπος	преставник
αντιπρόσωπος	делегат
πεν	пен
πεν	пенкало
πεν	пен
ζωντανό	жива
ζωντανό	живи
ζωντανό	жив
αναγνωρίσει	препознае
αναγνωρίσει	препознаат
αναγνωρίσει	препознава
αναγνωρίσει	идентификување
εισαγωγής	внесување
εισαγωγής	внеси
εισαγωγής	увоз
νιγηρία	нигерија
λούις	lewis
λούις	луис
λούις	луј
λούις	луис
σταθερές	константи
ντουέτο	дует
ντουέτο	дуо
βακτήρια	бактерии
βακτήρια	бактерија
βακτήρια	бактериите
κακώς	слабо
επιτροπές	комисии
επιτροπές	комисии
επιτροπές	комитети
διαβάζει	чита
πλοκή	заговор
πλοκή	парцела
πλοκή	завера
καρκίνος	рак
καρκίνος	канцер
μπανγκλαντές	бангладеш
ονοματολογία	номенклатура
πρόσφερε	понуди
πρόσφερε	понудија
πρόσφερε	понуден
πρόσφερε	понудено
πρόσφερε	понудени
πρόσφερε	понудена
πιλότος	пилот
πιλότος	пилотот
σόφια	софија
αμβούργο	хамбург
αμβούργο	hamburg
αυτοκρατορικό	кралско
στόχοι	целите
στόχοι	голови
στόχοι	цели
στόχοι	метите
στόχοι	мети
ψηλότερο	повисок
εκτελεστική	извршно
εκτελεστική	извршен
εκτελεστική	извршна
κάθριν	кетрин
κάθριν	катрин
κάθριν	кетрин
κάθριν	кетрин
κάθριν	катрин
κάθριν	катерин
κάθριν	катерина
απαιτούσε	бараа
ισχύς	снага
ισχύς	сила
ισχύς	силата
ισχύς	валидноста
ισχύς	моќ
ισχύς	власт
ισχύς	моќност
νομοθετικό	законодавната
νομοθετικό	законодавна
νομοθετικό	законодавен
νομοθετικό	законодавни
υπεύθυνο	одговорен
υπεύθυνο	одговорно
υπεύθυνο	одговорни
υπεύθυνο	одговорна
χωρίζει	одделува
χωρίζει	одвојува
χωρίζει	дели
οροπέδιο	плато
εκδίκηση	одмазда
εκδίκηση	одмаздата
εκδίκηση	одмазда
εκδίκηση	освета
εκδίκηση	одмазди
στρατηγοί	генерали
οδύσσεια	одисеј
οδύσσεια	одисеја
αποθήκευσης	магацин
αποθήκευσης	складирање
αποθήκευσης	складиште
ταξιδεύει	патувања
ταξιδεύει	патување
ταξιδεύει	патувачки
ταξιδεύει	патувања
ταξιδεύει	патува
άντριου	ендрју
άντριου	ендру
άντριου	andrew
πράγα	прага
ετυμολογία	етимологијата
παλαιολόγος	палеолог
μάθημα	лекција
μάθημα	клас
μάθημα	класа
χιούστον	хјустон
ρητά	експлицитно
ερασιτεχνικό	аматерски
ερασιτεχνικό	аматер
ερασιτεχνικό	аматерска
παράθυρο	прозорец
προτεραιότητα	приоритетни
προτεραιότητα	приоритет
μαδαγασκάρη	мадагаскар
εισάγει	додатоците
εισάγει	влошки
εισάγει	воведува
γλύπτες	скулптори
γυμνό	гола
γυμνό	гол
γυμνό	голи
γυμνό	голотија
γυμνό	гола
ουράνια	небесен
ουράνια	божествен
ουράνια	небески
ουράνια	небесна
ουράνια	небесен
ουράνια	небески
ουράνια	небесна
δέκατο	десеттина
δέκατο	десетти
αποκαλύφθηκε	откриени
αποκαλύφθηκε	откриен
αποκαλύφθηκε	откриена
αποκαλύφθηκε	откри
δημιουργού	создавач
δημιουργού	создателот
δημιουργού	креатор
δημιουργού	творец
δημιουργού	творецот
μετα	откако
μετα	по
μετα	после
ορίζοντα	хоризонт
ορίζοντα	хоризонтот
ινδική	индијанец
ινδική	индиски
ινδική	индиска
ινδική	индиец
καστοριά	мбени
καστοριά	костур
κινηματογράφος	киното
κινηματογράφος	кино
αδελφές	сестрите
αδελφές	сестри
απλός	едноставен
απλός	едноставно
απλός	едноставна
απλός	проста
πουλί	кур
πουλί	птица
πάγκο	контра
πάγκο	бројач
πάγκο	каса
πάγκο	клупа
αγαπημένη	омилено
αγαπημένη	омилен
αγαπημένη	омилена
αγαπημένη	омилени
αγαπημένη	сакан
αγαπημένη	сакана
αγαπημένη	љубена
γιανγκ	јанг
μορίων	молекули
δωμάτια	собите
δωμάτια	соби
πύργους	кули
προστάτη	заштитник
προστάτη	простата
προστάτη	простатата
ζήτηση	побарувачка
ζήτηση	барање
ιθαγενείς	домородците
λείπουν	исчезнати
λείπουν	исчезнато
λείπουν	исчезната
λείπουν	недостасува
λείπουν	фали
λείπουν	исчезнат
προτεινόμενη	предложена
προτεινόμενη	предложени
προτεινόμενη	навести
προτεινόμενη	предложено
προτεινόμενη	предложи
προτεινόμενη	препорачан
προτεινόμενη	препорачаа
προτεινόμενη	препорачано
προτεινόμενη	препорачани
προτεινόμενη	препорача
προτεινόμενη	предложени
προτεινόμενη	предложена
προτεινόμενη	предложен
ιππείς	јавачите
ιππείς	јавачи
κυριαρχεί	доминира
κυριαρχεί	доминантниот
δοκίμιο	есеј
δοκίμιο	состав
δοκίμιο	есејот
τοίχους	ѕидови
τοίχους	ѕидини
τοίχους	зидови
οδηγοί	возачите
οδηγοί	возачи
οδηγοί	водичи
μισή	пола
μισή	половина
μισή	половината
ιδρυτές	основачи
ιδρυτές	основачите
πάρκα	паркс
πάρκα	паркови
πάρκα	парковите
σταθερότητα	стабилност
μίνι	мини
μίνι	мини
άρχοντα	лорд
αυτοκτονία	самоубиство
αυτοκτονία	самоубиства
πολυάριθμες	бројни
πολυάριθμες	бројните
καταλυτική	каталитички
ευαγγέλιο	евангелие
νεότερο	најнови
νεότερο	најнова
νεότερο	понови
νεότερο	понова
βέρμαχτ	вермахтот
διορίζεται	назначени
διορίζεται	назначена
διορίζεται	наименуван
διορίζεται	назначен
γύρους	круга
γύρους	кругови
γύρους	полнења
γύρους	рунди
γύρους	круга
γύρους	куршуми
φραντσέσκο	франческо
αιχμαλωσία	фаќање
αιχμαλωσία	заробеништво
αιχμαλωσία	заложништво
χέπμπορν	хепберн
περιστατικά	инциденти
περιστατικά	инцидентите
γραμμάρια	грама
υποστηρικτής	подржувач
υποστηρικτής	поддржувач
πολιτιστικός	културни
πολιτιστικός	културен
πολιτιστικός	културно
πολιτιστικός	културна
ικανός	квалификувана
ικανός	вешта
ικανός	вешт
ικανός	вешти
ικανός	способно
ικανός	способен
ικανός	способни
ικανός	способна
λεωφόρος	булевар
λεωφόρος	булеварот
λεωφόρος	авенија
λεωφόρος	авенијата
λεωφόρος	автопат
βίο	био
άπειρο	бесконечен
άπειρο	бесконечно
άπειρο	бесконечна
άπειρο	бесконечни
άπειρο	бескрајно
άπειρο	бесконечност
άπειρο	бесконечноста
άπειρο	infinity
λευκός	бело
λευκός	бели
λευκός	бел
λευκός	бела
λευκός	вајт
καταστραφεί	уништен
καταστραφεί	уништени
καταστραφεί	уништено
καταστραφεί	уништена
παππού	дедо
παππού	дедото
παππού	прадедо
παππού	дедо
αιθιοπία	етиопија
ζωγράφισε	обоени
ζωγράφισε	насликал
περσία	персија
ξένη	странски
ξένη	странска
τακτικό	тактички
κοσμήματα	накит
κοσμήματα	скапоцености
κοσμήματα	накит
κοσμήματα	накит
συντριπτική	огромно
δεκτή	одржливи
δεκτή	одржлив
δεκτή	прифатен
δεκτή	прифатена
δεκτή	прифатено
δεκτή	прифатени
στολή	костими
στολή	костум
στολή	костим
στολή	костуми
στολή	облека
στολή	дрес
στολή	униформи
στολή	униформа
ομοσπονδίες	федерации
χάρης	харис
επικεντρώνεται	фокусира
έντυπα	формулари
έντυπα	форми
διπλά	дупла
διπλά	двојно
διπλά	дупло
διπλά	двојна
υποστηρίζοντας	расправаат
υποστηρίζοντας	тврдејќи
υποστηρίζοντας	расправаше
περιορισμένο	ограничено
περιορισμένο	лимитирана
περιορισμένο	ограничена
περιορισμένο	ограничен
περιορισμένο	ограничени
περιορισμένο	ограничено
περιορισμένο	ограничен
μαχητής	борец
μαχητής	борач
στου	сту
αποθέματα	акции
αποθέματα	резерви
αποθέματα	резервисти
οξείδωση	оксидација
αλεξάνδρα	александра
πεποιθήσεις	осуди
πεποιθήσεις	пресуди
πεποιθήσεις	верувања
πεποιθήσεις	убедувања
ντάγκλας	даглас
άγκυρα	ankara
άγκυρα	анкара
άγκυρα	сидро
μορφολογία	морфологија
περιθώριο	маргините
κατασκευάζονται	произведена
κατασκευάζονται	произведен
αξιόπιστη	веродостоен
αξιόπιστη	веродостојна
αξιόπιστη	веродостојни
αξιόπιστη	веродостоен
αξιόπιστη	сигурни
γειτονιά	кварт
γειτονιά	соседство
γειτονιά	маало
γειτονιά	населба
φοιτητής	студентски
φοιτητής	ученик
φοιτητής	ученичка
φοιτητής	студент
προσανατολισμό	ориентација
ρόλων	улоги
άρχοντες	лордови
άρχοντες	лордовите
ουρουγουάη	уругвај
περιστέρι	гулаб
περιστέρι	гулаб
ξένα	странски
ξένα	странска
φράνκο	франко
βάγκνερ	вагнер
κάμπο	кабо
κάμπο	кампо
σαφής	јасна
σαφής	јасно
σαφής	чисто
σαφής	јасен
σαφής	исчисти
γκρι	сив
γκρι	греј
γκρι	сиво
γκρι	сиви
γκρι	grad
γκρι	сив
γκρι	сиво
γκρι	сива
γκρι	греј
γκρι	сиви
φαινομένων	феномени
σέρβος	србин
σέρβος	србинка
σέρβος	српски
σέρβος	српска
σέρβος	српски
έβδομη	седмо
έβδομη	седмата
έβδομη	седми
έβδομη	седмиот
έβδομη	седма
έβδομη	седмото
συναισθήματα	емоции
συναισθήματα	чувства
συναισθήματα	чуства
πράγας	прага
παραμένοντας	преостанати
παραμένοντας	преостанат
παραμένοντας	преостанатите
φούτμπολ	фудбал
ιωαννίδης	јоанидис
ναυπηγεία	бродоградилишта
μακροχρόνια	долгорочни
πρέσβης	амбасадор
ύδρα	хидра
σλοβακίας	словачка
λίστες	плејлисти
λίστες	списоци
λίστες	листи
λίστες	списоците
διαιτητής	судија
διαιτητής	судијата
διαιτητής	судија
σωτηρία	спас
σωτηρία	спасението
σωτηρία	спасение
λάμψη	искри
λάμψη	искра
λάμψη	блесок
λάμψη	флеш
λάμψη	блиц
λάμψη	сјаен
λάμψη	свети
λάμψη	сјај
έκτο	шестото
έκτο	шеста
έκτο	шесто
έκτο	шести
έκτο	шестиот
προσθέτει	додава
σαουδική	саудиска
σαουδική	саудиски
αϊνστάιν	ајнштајн
έκπληξη	изненадување
βρέφος	новороденчињата
παραμέτρους	параметри
κύτταρο	келија
κύτταρο	ќелија
άστρα	ѕвезди
απόγονος	потомство
απόγονος	подмладок
απόγονος	потомок
αεροδρόμια	аеродроми
ξένο	ксенон
ξένο	туѓинец
ξένο	странец
ξένο	странски
ξένο	странска
ιδιοκτήτες	сопственици
αντρέι	andrej
αντρέι	андреј
αντρέι	андреј
αντρέι	андреј
φοράει	носи
γουίλιαμς	вилијамс
μαγνητικό	магнетен
μαγνητικό	магнетна
μαγνητικό	магнетни
οργή	бес
οργή	гнев
οργή	лутина
οργή	бес
οργή	бес
οργή	гнев
οργή	бес
συνεντεύξεις	интервјуа
δωρεά	донирање
δωρεά	донација
δωρεά	донира
δωρεά	донирани
δωρεά	донираше
δωρεά	донирал
αλυσίδες	ланци
αλυσίδες	окови
αλυσίδες	синџири
αλυσίδες	синџир
αλυσίδες	ланец
πιστός	лојални
πιστός	верна
πιστός	лојална
πιστός	верни
πιστός	верен
πιστός	лојален
πιστός	верен
πιστός	верници
πιστός	верниците
πιστός	верна
πιστός	верни
πιστός	верник
πυρήνες	јадра
ασθενή	трпелив
ασθενή	пациентка
ασθενή	пациент
έξοδος	излезен
έξοδος	излез
έξοδος	излези
έξοδος	егзит
έξοδος	излез
έξοδος	егзодус
δούκισσα	војвотка
λόφους	ридови
λόφους	ридовите
λόφους	хилс
βρήκα	нашол
βρήκα	пронајдени
βρήκα	најдено
βρήκα	пронајдено
βρήκα	пронајдена
βρήκα	најден
αναπτύσσει	развива
εξοπλισμός	опрема
λιγότερα	помалку
λιγότερα	помалце
ναυτιλία	достава
ναυτιλία	пратки
ναυτιλία	превоз
ράγκμπι	рагби
ράγκμπι	рагбито
καστίλης	кастилја
υποείδος	подвид
ερωτική	еротски
δείκτες	показатели
δείκτες	индикатори
δείκτες	индекси
δείκτες	индексите
χαρτονομίσματα	банкноти
χαρτονομίσματα	банкноти
χαρτονομίσματα	сметки
προδιαγραφές	спецификации
προδιαγραφές	спецификација
φίτζι	фиџи
ρον	рон
φιλαδέλφεια	филаделфија
φιλαδέλφεια	фили
φιλαδέλφεια	филаделфија
πορτ	пристаништето
πορτ	порт
πορτ	порта
πορτ	пристаниште
μαδαγασκάρης	мадагаскар
πεποίθηση	верувањето
πεποίθηση	верување
πεποίθηση	осудување
πεποίθηση	пресуда
πεποίθηση	убедување
καλωδιακή	кабел
καλωδιακή	кабловска
καλωδιακή	кабелска
καλωδιακή	кабелски
τζιν	џин
τζιν	фармерките
τζιν	џинс
τζιν	фармерки
τζιν	џин
τζιν	жан
τζιν	џин
τζιν	џин
τζιν	ген
ρέθυμνο	ретимно
ράσελ	расел
συμβάσεις	договори
συμβάσεις	конвенции
απόφοιτοι	матуранти
απόφοιτοι	дипломци
αντρέα	андреја
αντρέα	андреа
διαζύγιο	разводот
διαζύγιο	развод
διαζύγιο	разведена
διαζύγιο	разведен
διαζύγιο	разведени
ταιριάζει	одговара
ταιριάζει	достојно
ταιριάζει	водичка
ταιριάζει	fit
έχτισε	изграден
έχτισε	изградена
έχτισε	изградени
έχτισε	изградено
εμπλοκή	ангажман
εμπλοκή	интеракција
εμπλοκή	ангажираност
εμπλοκή	веридба
εμπλοκή	вклученост
εμπλοκή	вмешаност
παπούα	папуа
πυραμίδα	пирамида
σρι	сри
σρι	шри
φωτογράφος	фотограф
πρόσθεσε	додадена
πρόσθεσε	додаде
πρόσθεσε	додадени
πρόσθεσε	додадено
πρόσθεσε	додаден
δεξαμενή	контејнер
δεξαμενή	тенк
δεξαμενή	резервоар
καιρός	времето
βόμβα	бомба
μοντέρνα	модерни
μοντέρνα	модерен
μοντέρνα	модерно
μοντέρνα	модерни
μοντέρνα	современ
μοντέρνα	модерна
νεολαία	младински
νεολαία	младинска
νεολαία	младост
νεολαία	младоста
νεολαία	млади
νεολαία	младина
γκέοργκ	георг
μπους	грмушка
μπους	грмушки
μπους	буш
οντότητα	ентитет
πλαγιά	падина
νεφέλωμα	маглина
συνεπάγεται	подразбира
συνεπάγεται	имплицира
εξαιρέσεις	исклучоци
εξαιρέσεις	изземање
σάρα	сара
σάρα	sara
σάρα	сара
ανώτερος	супериорна
ανώτερος	супериорен
ανώτερος	виш
ανώτερος	високи
ανώτερος	пензионерски
ανώτερος	матурант
ανώτερος	постар
επικίνδυνη	опасен
επικίνδυνη	опасно
επικίνδυνη	опасни
επικίνδυνη	опасна
υπο	подморницата
αμπντούλ	абдул
ράμφος	клун
πολυάριθμα	бројни
πολυάριθμα	бројните
παράνομη	незаконски
παράνομη	нелегална
παράνομη	незаконска
παράνομη	нелегално
παράνομη	илегална
παράνομη	нелегален
παράνομη	незаконски
παράνομη	незаконска
παράνομη	незаконско
ελσίνκι	хелсинки
ελσίνκι	хелсиншки
σωλήνα	цевка
σωλήνα	луле
σωλήνα	цевче
εσθονία	естонија
τυνησία	тунис
οργανωμένη	организиран
οργανωμένη	организирани
οργανωμένη	организирана
οργανωμένη	организиран
οργανωμένη	организирани
οργανωμένη	организирано
ανακαλύψεις	откритијата
ανακαλύψεις	откритија
έμπνευση	инспирација
δηλώνοντας	прогласувањето
ουζμπεκιστάν	узбекистан
κλιπ	клипови
κλιπ	клип
νβα	нба
συμμετρία	симетрија
διοργανώτρια	планер
αρμοδιότητα	јурисдикција
αρμοδιότητα	јуриздикција
αρμοδιότητα	надлежност
αρμοδιότητα	компетентност
εμπόδιο	опструкција
εμπόδιο	попречување
εμπόδιο	препрека
εμπόδιο	пречка
εμφανής	очигледен
εμφανής	очигледна
εμφανής	очигледни
δούλεψε	работел
δούλεψε	работев
δούλεψε	работеше
δούλεψε	функционираше
δούλεψε	работено
γειτονικό	соседна
γειτονικό	соседни
λεόνε	леоне
υποκριτική	глумење
υποκριτική	глумата
υποκριτική	глума
πρωτοπόρος	пионерски
πρωτοπόρος	пионер
πανκ	панк
αυτο	ова
αυτο	оваа
αυτο	овој
λίρες	kg
λίρες	кг
λίρες	кила
σπηλιά	пештерата
σπηλιά	пештера
μουράτ	мурат
απεργία	удар
απεργία	страјк
απεργία	штрајк
κεφαλής	главата
κεφαλής	глава
ανεβαίνει	зголемените
ανεβαίνει	rising
επιτρέψει	одобрил
επιτρέψει	дозволи
κουβέιτ	кувајт
κουβέιτ	кувајтскиот
άνεμος	ветер
άνεμος	ветерот
άνεμος	ветрот
άνεμος	ветар
υποβρύχια	подводни
υποβρύχια	подморници
υποβρύχια	подморници
ζιμπάμπουε	зимбабве
επαναστατικό	револуционерна
επαναστατικό	револуционер
επαναστατικό	револуционерен
επαναστατικό	револуционерно
έμμεσα	индиректно
έμμεσα	индиректни
έμμεσα	индиректно
μεταπολεμική	повоената
πιστοί	верниците
πιστοί	верници
πιστοί	лојални
πιστοί	верна
πιστοί	лојална
πιστοί	верни
πιστοί	верен
πιστοί	лојален
πιστοί	верен
πιστοί	верници
πιστοί	верниците
πιστοί	верна
πιστοί	верни
πόνος	болката
πόνος	болки
πόνος	болка
ρολόι	гледајте
ρολόι	гледај
ρολόι	часовник
ρολόι	часовникот
ρολόι	часовник
γραφικά	графичка
γραφικά	графички
γραφικά	графика
γραφικά	графики
διάλογο	дијалог
απόβαση	слетувања
διανομής	распределба
διανομής	дистрибуција
τεχνολογίες	технологиите
τεχνολογίες	технологии
ριμπάουντ	булси
κύκλωμα	коло
εκδότη	издавач
εκδότη	уредник
εκδότη	уредувач
αναστασία	анастасија
μαγνητική	магнетен
μαγνητική	магнетна
μαγνητική	магнетни
δημοτικότητα	популарност
ζωρζ	жорж
ελαφρύ	светлината
ελαφρύ	светол
ελαφρύ	светло
ελαφρύ	светлина
ελαφρύ	светлост
ελαφρύ	лесна
πράσινη	зелен
πράσινη	зелена
πράσινη	зелено
πράσινη	зелени
μπλουζ	блуз
γιαγιά	прабаба
γιαγιά	баба
γιαγιά	бабата
γιαγιά	бабичка
γιαγιά	баба
γιαγιά	бабо
γιαγιά	баба
γιαγιά	бабичка
πτυχές	аспекти
ευκολία	леснотија
συνέδρια	конгреси
συνέδρια	конференции
συνέδρια	конвенции
γκάρι	гари
γκάρι	гери
γκάρι	гари
γκάρι	кери
μουσολίνι	мусолини
γλυπτό	скулптура
γλυπτό	скулптури
ερευνητής	истражувач
ερευνητής	трагач
ερευνητής	истражител
ερευνητής	истражувач
σεντ	цед
σεντ	цент
γραμμένα	напишано
γραμμένα	напишани
γραμμένα	пишано
γραμμένα	пишан
τουρισμός	туризам
τακτικές	тактики
τακτικές	тактика
ιδιοκτήτη	сопственик
όροφο	спрат
όροφο	кат
όροφο	подот
όροφο	партер
μεταφράζεται	преведува
προστατεύει	заштитува
προστατεύει	штити
αίσθημα	чуство
αίσθημα	чувство
σάντος	сантос
ήχους	звуци
ήχους	звучи
κατασκευασμένο	произведена
κατασκευασμένο	произведен
κατασκευασμένο	изграден
κατασκευασμένο	изградени
κατασκευασμένο	изградено
συνομιλίες	разговори
συνομιλίες	разговори
συνομιλίες	разговара
συνομιλίες	разговори
υπέβαλε	поднесено
υπέβαλε	поднесена
χειρότερη	најлош
χειρότερη	најлошото
χειρότερη	најлошо
χειρότερη	најлоши
χειρότερη	најлоша
χειρότερη	полошо
χειρότερη	полош
χειρότερη	полоши
χειρότερη	полоша
έμποροι	трговци
έμποροι	трговци
έμποροι	дилери
χάλυβα	челик
χιλιόμετρο	километар
χιλιόμετρο	километар
μεταλλικό	метал
μεταλλικό	метално
μεταλλικό	метален
μεταλλικό	метална
νταν	дан
νταν	дан
αρχηγία	лидерски
αρχηγία	раководство
αρχηγία	лидерска
αρχηγία	лидерство
αρχηγία	водство
εισέρχεται	влегува
οχάιο	охајо
λούκας	лукас
λούκας	лукас
κινήθηκε	преместена
ερωτήματα	прашања
θρησκείες	религии
θρησκείες	религиите
ισχυρός	моќен
ισχυρός	моќна
ισχυρός	моќно
ισχυρός	моќни
περικλή	перикле
ιόντα	јон
ιόντα	јонска
συνέχιση	континуитет
συνέχιση	продолжение
συνέχιση	продолжуваме
συνέχιση	продолжува
συνέχιση	продолжи
διώξεις	прогонување
διώξεις	прогон
εφευρέτης	пронаоѓач
άκρες	рабови
σωματική	физичко
σωματική	физичка
σωματική	физички
εοκ	еез
κρίστοφερ	кристофер
εφεύρεση	изумот
εφεύρεση	изум
εφεύρεση	пронајдок
σφραγίδα	печат
σφραγίδα	фока
σφραγίδα	печат
σφραγίδα	запечати
αναζητώντας	сакајќи
εντυπωσιακή	импресивни
εντυπωσιακή	импресивна
εντυπωσιακή	впечатливо
εντυπωσιακή	импресивен
εντυπωσιακή	импресивно
αξιοσημείωτα	забележително
αξιοσημείωτα	извонредна
αξιοσημείωτα	извонредно
αξιοσημείωτα	извонреден
προσθήκες	дополнувања
προσθήκες	додава
συμπεριλαμβάνεται	вклучени
συμπεριλαμβάνεται	вклучено
